course_code,course_name,course_subject,course_credits,course_description
ASU 101-EEE,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-EGR,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-ERM,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-ESC,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-EVE,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-FSE,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-GIT,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-HDA,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-HNR,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-HSE,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-IEE,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-IFT,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-LA,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-MAE,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-MEE,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-MSE,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-MSN,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-NCIAS,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-NU,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-ONL,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-SEM,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-SOS,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-TE,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-TEM,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-TPS,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-UC,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 101-WPC,The ASU Experience,ASU,1,"Students will learn about ASU's mission as the New American University, the importance and benefits of an entrepreneurial approach to problem solving, solutions to sustainability challenges, and the importance of social embeddedness.  Additionally, through various course discussions and assignments, students will examine the concept of academic integrity and its potential impact on their future, gain awareness of the value of engaging in research activities, and learn about taking an interdisciplinary perspective."
ASU 121,Creative Solutions in Action,ASU,3,"Equips students with the skills to address community and campus challenges using data-driven methods. Emphasizing collaboration and leadership, students identify a relevant issue affecting ASU or the local community. Through a blend of academic research and stakeholder surveys, teams develop evidence-based solutions. Hones key skills such as survey design, policy formulation, marketing and leadership. Utilizing Microsoft Excel and PowerPoint, students craft compelling data narratives for the spring showcase, aimed at persuading and enlightening stakeholders. Filtering, sorting and exploring the data collected, students use color theory, design strategies and data visualization techniques to communicate a data story. Offered as part of the LEAD Program, a 2-semester course progression where learners apply critical thinking and problem-solving skills to some of the most pressing challenges facing ourselves and our society. Learners improve academic confidence, personal leadership and mental flexibility through inquiry, debate, collaboration, argumentation, systematic evaluation and invention."
ASU 140-CHS,ProMod,ASU,0 - 18,Project-based learning.
ASU 140-CLS,ProMod,ASU,0 - 18,Project-based learning.
ASU 140-CPSCS,ProMod,ASU,0 - 18,Project-based learning.
ASU 140-CS,ProMod,ASU,0 - 18,Project-based learning.
ASU 140-FSE,ProMod,ASU,0 - 18,Project-based learning.
ASU 140-HDA,ProMod,ASU,0 - 18,Project-based learning.
ASU 140-HNR,ProMod,ASU,0 - 18,Project-based learning.
ASU 140-LA,ProMod,ASU,0 - 18,Project-based learning.
ASU 140-NCIAS,ProMod,ASU,0 - 18,Project-based learning.
ASU 140-NU,ProMod,ASU,0 - 18,Project-based learning.
ASU 140-SOS,ProMod,ASU,0 - 18,Project-based learning.
ASU 140-TB,ProMod,ASU,0 - 18,Project-based learning.
ASU 140-TE,ProMod,ASU,0 - 18,Project-based learning.
ASU 140-WPC,ProMod,ASU,0 - 18,Project-based learning.
ASU 19,Jump Start,ASU,0,One-week program for incoming first-year students to ASU and is designed to set them up for academic success. Introduces the tools and processes that support their journey. Students learn how to connect with other students via collaborative environments.
ASU 194-CLS,Special Topics,ASU,1 - 4,Covers topics of immediate or special interest to a faculty member and students.
ASU 194-LA,Special Topics,ASU,1 - 4,Covers topics of immediate or special interest to a faculty member and students.
ASU 194-NCIAS,Special Topics,ASU,1 - 4,Covers topics of immediate or special interest to a faculty member and students.
ASU 194-UC,Special Topics,ASU,1 - 4,Covers topics of immediate or special interest to a faculty member and students.
ASU 230,Life by Design,ASU,3,"Living a meaningful life that is true to you is one of life's greatest endeavors. And, it's a process that can seem overwhelming and difficult to figure out. College offers the opportunity to explore interests and find career paths that align to your genuine interests and personal goals. But where do you start on this journey of self-discovery? Start with this course; it introduces the design thinking process--a strategy used by the world's top designers to launch products and services--and applies that process to your individualized career and life plans. You'll learn how aspects of your life that may feel disconnected (e.g., skills, ambition, interests, relationships, family needs, lifestyle) can and should work together in helping you discover careers that fit you. You'll explore how the college experience--through majors, classes, experiential learning, networking and other student services--can support your journey. And you'll develop a growth mindset that helps you."
ASU 240-CHS,ProMod,ASU,0 - 18,Project-based learning.
ASU 240-CLS,ProMod,ASU,0 - 18,Project-based learning.
ASU 240-CPSCS,ProMod,ASU,0 - 18,Project-based learning.
ASU 240-CS,ProMod,ASU,0 - 18,Project-based learning.
ASU 240-FSE,ProMod,ASU,0 - 18,Project-based learning.
ASU 240-HDA,ProMod,ASU,0 - 18,Project-based learning.
ASU 240-HNR,ProMod,ASU,0 - 18,Project-based learning.
ASU 240-LA,ProMod,ASU,0 - 18,Project-based learning.
ASU 240-NCIAS,ProMod,ASU,0 - 18,Project-based learning.
ASU 240-NU,ProMod,ASU,0 - 18,Project-based learning.
ASU 240-SOS,ProMod,ASU,0 - 18,Project-based learning.
ASU 240-TB,ProMod,ASU,0 - 18,Project-based learning.
ASU 240-TE,ProMod,ASU,0 - 18,Project-based learning.
ASU 240-WPC,ProMod,ASU,0 - 18,Project-based learning.
ASU 294-UC,Special Topics,ASU,1 - 4,Covers topics of immediate or special interest to a faculty member and students.
ASU 340-CHS,ProMod,ASU,0 - 18,Project-based learning.
ASU 340-CLS,ProMod,ASU,0 - 18,Project-based learning.
ASU 340-CPSCS,ProMod,ASU,0 - 18,Project-based learning.
ASU 340-CS,ProMod,ASU,0 - 18,Project-based learning.
ASU 340-FSE,ProMod,ASU,0 - 18,Project-based learning.
ASU 340-HDA,ProMod,ASU,0 - 18,Project-based learning.
ASU 340-HNR,ProMod,ASU,0 - 18,Project-based learning.
ASU 340-LA,ProMod,ASU,0 - 18,Project-based learning.
ASU 340-NCIAS,ProMod,ASU,0 - 18,Project-based learning.
ASU 340-NU,ProMod,ASU,0 - 18,Project-based learning.
ASU 340-SOS,ProMod,ASU,0 - 18,Project-based learning.
ASU 340-TB,ProMod,ASU,0 - 18,Project-based learning.
ASU 340-TE,ProMod,ASU,0 - 18,Project-based learning.
ASU 340-WPC,ProMod,ASU,0 - 18,Project-based learning.
ASU 394-CLS,Special Topics,ASU,0.5 - 4,Covers topics of immediate or special interest to a faculty member and students.
ASU 394-UC,Special Topics,ASU,0.5 - 4,Covers topics of immediate or special interest to a faculty member and students.
ASU 440-CHS,ProMod,ASU,0 - 18,Project-based learning.
ASU 440-CLS,ProMod,ASU,0 - 18,Project-based learning.
ASU 440-CPSCS,ProMod,ASU,0 - 18,Project-based learning.
ASU 440-CS,ProMod,ASU,0 - 18,Project-based learning.
ASU 440-FSE,ProMod,ASU,0 - 18,Project-based learning.
ASU 440-HDA,ProMod,ASU,0 - 18,Project-based learning.
ASU 440-HNR,ProMod,ASU,0 - 18,Project-based learning.
ASU 440-LA,ProMod,ASU,0 - 18,Project-based learning.
ASU 440-NCIAS,ProMod,ASU,0 - 18,Project-based learning.
ASU 440-NU,ProMod,ASU,0 - 18,Project-based learning.
ASU 440-SOS,ProMod,ASU,0 - 18,Project-based learning.
ASU 440-TB,ProMod,ASU,0 - 18,Project-based learning.
ASU 440-TE,ProMod,ASU,0 - 18,Project-based learning.
ASU 440-WPC,ProMod,ASU,0 - 18,Project-based learning.
ACC 194,Special Topics,Accountancy,1 - 4,Covers topics of immediate or special interest to a faculty member and students.
ACC 231,Uses of Accounting Information I,Accountancy,3,Introduces the uses of accounting information focusing on the evolution of the business cycle and how accounting information is used for internal and external purposes.
ACC 232,Financial Accounting I,Accountancy,3,"Develops an understanding of the theory, concepts, principles and practices underlying preparation, interpretation, and use of external financial reports. Emphasizes interpreting the economic substance of events and transactions and their association with contemporaneous and prospective events, relationships, and outcomes. Gains understanding of the accounting information model and develops an ability to analyze and record business transactions and analyze basic financial statements. Meant for prospective accounting and finance majors (and students who plan current majors in these areas) and develops skills and abilities facilitating success in higher-level accounting courses."
ACC 241,Uses of Accounting Information II,Accountancy,3,Introduces the uses of accounting information focusing on the evolution of the business cycle and how accounting information is used for internal and external purposes.
ACC 242,Managerial Accounting I,Accountancy,3,"Develops an understanding of the theory, concepts, principles, and practices underlying managerial accounting. Emphasizes three functions managers must perform within their organizations: plan operations, control activities, and make decisions. Explains what accounting information is necessary, how to collect it, and how to interpret it. Meant for prospective accounting and finance majors and students who plan current majors in these areas and develop skills and abilities facilitating success in higher-level accounting courses."
ACC 261,Honors Fundamentals of Financial Accounting,Accountancy,3,Covers basic financial accounting concepts and applications. Develops an understanding of the environment in which financial reporting choices are made.
ACC 271,Honors Fundamentals of Managerial Accounting,Accountancy,3,Covers basic managerial accounting concepts and applications.
ACC 294,Special Topics,Accountancy,1 - 4,Covers topics of immediate or special interest to a faculty member and students.
ACC 310,Intermediate Accounting,Accountancy,3,"Intermediate-level financial accounting course with in-depth focus on asset, liability and owner's equity measurement, revenue determination, investments accounting, lease accounting, financial statement preparation, presentation and analysis. Emphasizes the statement of cash flows and interpreting footnote disclosures. Where appropriate, compares International Financial Reporting Standards and U.S. GAAP (Generally Accepted Accounting Principles)."
ACC 320,Management Accounting I,Accountancy,3,"Covers internal reporting systems for planning, control, and decision making. Deals with conceptually and computationally understanding the various accounting, economic and/or business models, frameworks and methods in order to be more knowledgeable and literate in these areas while building overall stronger decision-making skills."
ACC 330,Data Analytics in Accounting,Accountancy,3,"Explores accounting concepts through the application of data analytics. Focuses on developing an analytics mindset and learning how to use big data analytical tools to examine and analyze data, and then effectively interpreting results to make business decisions."
ACC 340,External Reporting I,Accountancy,3,Financial accounting theory and practice related to external reporting.
ACC 350,Internal Reporting,Accountancy,3,"Internal reporting systems for planning, control, and decision making."
ACC 382,Accounting and Financial Analysis,Accountancy,3,"Introduces financial accounting concepts related to operating, financing, investing, and ethical decisions."
ACC 410,Financial Statement Analysis,Accountancy,3,"Focuses on core knowledge and skills essential to financial statement analysis. Topics covered include strategic ratio analysis, cash flow analysis, forecasting, pro-forma financial statements and firm valuation."
ACC 420,Management Accounting II,Accountancy,3,"Covers the higher-level managerial accounting topics and uses of accounting data to assist corporate accountants in their plans and decisions regarding complex resource allocation, organizational control, and performance evaluation issues."
ACC 430,Taxes and Business Decisions,Accountancy,3,"Federal income taxation of sole proprietors, partnerships, corporations, fiduciaries and individuals with an emphasis on tax consequences of business and investment decisions."
ACC 435,Personal Tax Management and Planning,Accountancy,3,Strategies used by financial planners to help clients achieve greater tax efficiency.
ACC 440,External Reporting II,Accountancy,3,"Continuation of ACC 340 with emphasis on the recognition, research, and resolution of financial reporting issues."
ACC 444,Integrated Business Processes and Enabling Technologies,Accountancy,3,Focuses on the flow of data through ERP systems and discusses the difference between several types of data and the flow of data from various transactions through the database.
ACC 450,Principles of Auditing,Accountancy,3,"Standards and procedures in auditing. Planning, evidence gathering and accumulation, and reporting. Ethical and legal considerations."
ACC 454,Tax Planning,Accountancy,3,"Integrates tax compliance, tax planning, accounting, economics and finance. Examines current tax rules while developing the ability to think about taxes in a way that is not specific to the current federal system."
ACC 455,Governance and Enterprise Risk Management,Accountancy,3,"Equips students to understand, evaluate and participate in corporate governance. Surveys best practices in corporate governance including internal controls, enterprise risk management (ERM), fraud deterrence, and ethical organizational culture. Emphasizes the Committee of Sponsoring Organizations (COSO) framework. Provides the necessary background and understanding of key internal control and ERM concepts and tools for corporate accountants."
ACC 460,Ethics for Professional Accountants,Accountancy,3,Addresses ethical obligations and responsibilities of professional accountants.
ACC 484,Internship,Accountancy,1 - 12,"Structured practical experience following a contract or plan, supervised by faculty and practitioners."
ACC 492,Honors Directed Study,Accountancy,1 - 6,"Independent study in which a student, under the supervision of a faculty member, conducts research or creative work that is expected to lead to an undergraduate honors thesis or creative project."
ACC 493,Honors Thesis,Accountancy,1 - 6,Supervised research or creative activity focused on preparation and completion of an undergraduate honors thesis or creative project.
ACC 494,Special Topics,Accountancy,1 - 4,Covers topics of immediate or special interest to a faculty member and students.
ACC 501,Fundamentals of Financial Accounting,Accountancy,1.5,Covers contemporary financial accounting and reporting systems; emphasizes the interpretation and evaluation of a company's external financial reports. Designed for students with limited business experience and without an undergraduate business degree.
ACC 502,Financial Accounting,Accountancy,1 - 4,Contemporary financial accounting and reporting systems; emphasizes the interpretation and evaluation of a company's external financial reports.
ACC 503,Managerial Accounting,Accountancy,1 - 4,Managerial accounting concepts and procedures for internal reporting applied to the decision making activities of the professional managers.
ACC 504,Fundamentals of Managerial Accounting,Accountancy,1.5,Covers managerial accounting concepts and procedures for internal reporting applied to the decision-making activities of the professional managers. Designed for students with limited business experience and without an undergraduate business degree.
ACC 509,Statistics for Accounting Analytics,Accountancy,3,"Addresses theories of probability and uncertainty through the use of statistics including descriptive, predictive and prescriptive analyses as well as regression and other models to support audit decisions and conclusions. This heavily quantitative course starts with a realization that probability and uncertainty can be alleviated (or compounded) with different statistical decision making and so starts with theories of probability and uncertainty to properly understand these concepts. Once these concepts are grounded, this class focuses on data, techniques and technologies that can aid in appropriate decision making with accounting. Emphasizes formulating real-world models--driven by descriptive, predictive and prescriptive statistics--to represent complex real-world accounting decision problems and on using a variety of tools to gain better insight into properly addressing these problems."
ACC 510,Internal Controls Audit and Fraud Prevention and Detection,Accountancy,3,"Addresses internal control frameworks and U.S. Generally Accepted Auditing Standards (GAAS) related to an auditor's consideration of internal controls for purposes of financial statement audits and audits of internal control over financial reporting. Covers various schemes pertaining to misappropriation of assets, corruption and fraudulent financial reporting."
ACC 511,Accounting for Income Taxes,Accountancy,1 - 4,"Primarily the comprehensive study of financial accounting for income taxes. The core content focuses on ASC740, including preparation, review and audit of a corporate tax provision. Course is particularly valuable for students interested in a career in either audit or tax."
ACC 512,Advanced Auditing,Accountancy,3,"Builds on the skills obtained in the beginning auditing (assurance) course and focuses on audit planning, risk assessment, evidence, and reporting procedures and fraud."
ACC 513,Advanced Financial Accounting,Accountancy,3,"Focuses on advanced financial accounting topics along with their application in the financial reporting process. Topical coverage includes consolidations, mergers and acquisitions, derivatives, foreign currency translation, fair value accounting, and equity-based compensation. Addresses the implications of these topics for earnings management and earnings quality."
ACC 520,Statistics and Coding for Accounting Analytics,Accountancy,3,"Addresses analytics in accounting, auditing and tax contexts. Focuses on the introduction of methods and techniques to analyze data sets while also making it easier to interpret, present and utilize the results for financial decision making. Presents frameworks and approaches to equip students to recognize and interpret patterns in data and models and recommend actions. Teaches multiple concepts to improve decision making related to accounting data. Also serves as a practical introduction to the extraction, cleaning and transformation of data for accounting applications."
ACC 521,Accounting Analytics Concepts and Tools,Accountancy,3,"Addresses analytics in accounting, auditing and tax contexts. Focuses on the methods and techniques to analyze data sets while also making it easier to interpret, present and utilize the results for financial decision making. Presents additional frameworks and approaches to equip students to recognize and interpret patterns in data and models and recommend actions. Students learn multiple concepts to improve decision making related to accounting data. Also serves as a continuation of the extraction, cleaning and transformation of data for accounting applications."
ACC 522,Innovations with Auditing Technologies,Accountancy,3,"Focuses on understanding the role of technology-related innovations on audits and auditing performance. Looks at both capturing data from recent innovations in technologies for audit applications (e.g., IoT) as well as examining the roles of these recent technology innovations for audit performance (e.g., cognitive computing)."
ACC 560,Ethics for Professional Accountants,Accountancy,3,"Reviews ethics in business, fiduciary responsibility, ethical issues, codes of conduct in the field of accounting. Individualized instruction."
ACC 571,Taxation of Corporations and Shareholders,Accountancy,1 - 4,"Tax aspects of the formation, operation, reorganization, and liquidation of corporations and the impact on shareholders."
ACC 573,Taxation of Pass-Through Entities,Accountancy,1 - 4,"Tax aspects of the definition, formation, operation, liquidation, and termination of a partnership. Emphasizes tax planning."
ACC 575,"Family Financial, Tax and Wealth Transfer Planning",Accountancy,1 - 4,"Provides an understanding of family financial planning, individual income tax, taxation of wealth transfers during life (gifts) and at death (estate) with emphasis on identifying planning techniques to maximize family wealth and financial security for individuals and their families."
