"subject","course_code","course_name","description","credits"
"ACG - Accounting: General","ACG 6905","Independent Study","Independent Study. Student must have a contract with an instructor. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","1-12"
"ACG - Accounting: General","ACG 6915","Directed Research","Directed research under faculty supervision. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","1-12"
"ACG - Accounting: General","ACG 6936","Selected Topics in Accounting","The course content will depend on student demand and instructor’s interest. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","1-4"
"ACG - Accounting: General","ACG 7156","Seminar in Financial Accounting","This course investigates advanced research and methodological issues in financial accounting. It focuses primarily on research which uses financial information in contexts external to the firm. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 7157","Seminar in Archival Accounting Research","This course covers research using the archival methodology in various accounting domains. Topics include the types of research questions addressed in archival studies in accounting, theories used to generate hypotheses, and archival research techniques. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 7399","Seminar in Behavioral Accounting Research","This course covers research using the behavioral methodology in accounting domains. Topics include the types of research questions addressed in behavioral studies in accounting, theories used to generate hypotheses, and experimental research techniques. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 7415","Seminar in Accounting Information Systems","Review and critical analysis of major topics and research methods in accounting information systems. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 7646","Seminar in Auditing","This course involves a study of state-of-the-art research techniques as applied to major auditing issues and a critical analysis of the reported research findings. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 7936","Seminar in Special Topics in Accounting","Coverage of particular topics of interest to doctoral faculty and students during any given semester. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","1-4"
"ACG - Accounting: General","ACG 7939","Executive Issues in Accounting","A research seminar for executives that explores contemporary issues in accounting. The specific theme of the seminar will be determined through consultations between the instructor and the students prior to the first class meeting. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","2-4"
"ACG - Accounting: General","ACG 7980","Dissertation in Accounting","Research and writing of a dissertation on an accounting topic. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","2-21"
"ADE - Adult Education","ADE 6070","International Adult Education","Provides a survey of the field of international adult education. Current practices and historical efforts internationally will be explored. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ADE - Adult Education","ADE 6080","Adult Education in the United States","A study of the adult education movement in the United States from its beginnings to the present lifelong learning enterprise it has become. Economic and cultural factors of the past are examined with a view toward implications for the future. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ADE - Adult Education","ADE 6160","Program Management in Adult Education","An examination of the methods for establishing a productive adult education program, and the principles and procedures involved in designing, organizing, operating, and evaluating comprehensive adult education programs. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ADE - Adult Education","ADE 6161","Curriculum Construction in Adult Education","Curriculum scope, the process of planning and organizing instructional programs with emphasis on task analysis and process evaluation. Concentrates on basic principles affecting the planning of Adult Education activities, including an overview of the human forces that both impinge on and motivate human behavior in an adult learning environment. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ADE - Adult Education","ADE 6198","Effective Continuing Education for Professionals","This course will provide a description, explanation and critique of the goals, processes, outcomes, and issues related to the continuing education of professionals. The design, development and administration of these programs will be explored. Prerequisite(s):, Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ADE - Adult Education","ADE 6360","Methods of Teaching Adult Education","An exploration of different methods, techniques, and materials available to help adults learn. Concentration on the process of designing effective learning experiences for adults and developing the competencies of self-directed learning. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ADE - Adult Education","ADE 6370","Human Resource Development","A study of learning, training, and education as it is practiced in the public, private and the non-profit sectors. Course covers HRD history, key competencies, and relevant theory. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ADE - Adult Education","ADE 6385","The Adult Learner","An investigation of the physiological and psychological changes in the adult life span and the implications these have for adult learning capabilities. Concentration on the identification of principles of adult learning, differences between adults and youth as learners, and a review of research on adult learning. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ADE - Adult Education","ADE 6389","Adult Learning and Cognitive Styles","The course focuses on a foundational knowledge of brain-based learning and its impact on adult learners, including critique and assessment of learning styles. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ADE - Adult Education","ADE 6906","Independent Study","Independent Study in which students must have a contract with an instructor. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","1-19"
"ADE - Adult Education","ADE 6931","Selected Topics in ADE and HRD","Each topic is a course under the supervision of a faculty member. The title and content will vary according to the topic. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","1-5"
"ADE - Adult Education","ADE 6966","Final Master’s Seminar","This course is designed to provide in-depth review of various areas of adult education. It is designed to prepare individuals for the comprehensive exams. Emphasis also will be on developing familiarity with formal research literature. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ADE - Adult Education","ADE 7388","Adult Development and Learning","This is an advanced, in-depth study of the distinctive characteristics of adult life and learning. Prerequisite(s):Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ADE - Adult Education","ADE 7677","Emerging Trends in Adult Education: Critical Race Theory","Seminar for doctoral students(master’s students by permission of the professor) where we critically examine and explore critical race theory regarding the degree of its theoretical relevance and contribution to educational practice. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","3"
"ADE - Adult Education","ADE 7910","Directed Research in Adult Education","Directed research on topics related to adult education. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","1-4"
"ADE - Adult Education","ADE 7937","Seminar in Adult Education","Seminar in advanced topics in Adult Education. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","1-4"
"ADE - Adult Education","ADE 7947","Advanced Internship: Adult Education","Practical application in a clinical setting of knowledge acquired in the classroom. Hours may vary. May vary within an institution. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","2-4"
"ADE - Adult Education","ADE 7980","Dissertation","Dissertation hours. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Education | Department of Leadership, Policy, and Lifelong Learning","2-30"
"ADV - Advertising","ADV 5005","Advertising Planning","Introduction to the process of developing advertising strategy, emphasizing theory and research methods. Applied research course to bridge research methods with execution of creative messaging strategies that drive business success. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Zimmerman School of Advertising and Mass Communications","3"
"ADV - Advertising","ADV 5315","Interactive Advertising","An overview of interactive advertising tactics used to build dyadic relationships between consumers and the media. Topics include measurability and accountability, database advertising, digital and web advertising, augmented/virtual reality ads, in-game ads, and other forms of interactive marketing. Emphasis is placed on emerging and new technologies and measuring consumer engagement via ROI. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Zimmerman School of Advertising and Mass Communications","3"
"ADV - Advertising","ADV 5508","Return on Advertising Investment","An in-depth analysis of the performance metrics required to determine the success of advertising and marketing in fiscally accountable business practice. Metrics will include both quantitative and qualitative measures of advertising planning. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Zimmerman School of Advertising and Mass Communications","3"
"ADV - Advertising","ADV 5825","Advertising Proseminar","Students will learn the basic concepts of advertising, public relations, promotion, branding, and direct marketing and their applications for integrated marketing campaigns. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Zimmerman School of Advertising and Mass Communications","3"
"ADV - Advertising","ADV 6305","Advertising Media Strategy","Advanced knowledge of brand media strategy development across traditional, digital, and social media. Students will become acquainted with the practices, tools, and theory of media planning, media relations, and how they fit into the marketing process. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Zimmerman School of Advertising and Mass Communications","3"
"ADV - Advertising","ADV 6505","Advertising Research","Designed to teach normal campaign research through various methods, including: copy testing, survey content development, sample frame development, consumer insights, brand triggers, and purchase intent. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Zimmerman School of Advertising and Mass Communications","3"
"ADV - Advertising","ADV 6602","Advanced Advertising Management","Focuses on application of management principles and practice to effective development of advertising plans. The course includes case studies and discussion of current problems in research, planning, operations, administration, and evaluation. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Zimmerman School of Advertising and Mass Communications","3"
"AFA - African-American Studies","AFA 6108","Social Construction of Race and Racism","Examinations of the social construction of race, racism, racial identities and cross-racial relationships in the US from the colonial period to present. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | School of Interdisciplinary Global Studies","3"
"AFA - African-American Studies","AFA 6120","Social Theory and Social Thought","Course examines the nature of social theory as an analytical tool and its relevance for understanding social thought and the historical and contemporary experiences of peoples of African descent in Africa and the Diaspora. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | School of Interdisciplinary Global Studies","3"
"AFA - African-American Studies","AFA 6355","African American Community Research: Ethnography","This course is designed to assist students in understanding the dynamics of African American communities and community research in urban settings. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | School of Interdisciplinary Global Studies","3"
"AFA - African-American Studies","AFA 6387","Seminar on Genocide and Human Rights","Examines “genocide” and “human rights” as concepts and crimes; the debates that have developed around them and the circumstances in which perpetrators of these crimes deprive particular groups of people of their “right to life.” Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | School of Interdisciplinary Global Studies","3"
"AFA - African-American Studies","AFA 6905","Independent Study","Course consists of advanced graduate research on Africana studies topics selected by student and professor. The topics vary. The course allows students to develop research skills and independent work disciplines. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | School of Interdisciplinary Global Studies","1-19"
"AFA - African-American Studies","AFA 6932","Topics in Africana Studies","Variable topics course focusing on the history, culture, and lived experiences of African, African-American, and/or other peoples of African descent worldwide. Rpt. Up to 12 hours as topics may vary. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | School of Interdisciplinary Global Studies","3"
"AFA - African-American Studies","AFA 6945","Internship","This course involves working with a local agency (gov’t., NGO, private, etc.) on topic related to the theme of the MA degree, researching and documenting the process and preparing the data for writing the masters thesis. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | School of Interdisciplinary Global Studies","1-3"
"AFA - African-American Studies","AFA 6971","Thesis","Thesis. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | School of Interdisciplinary Global Studies","2-19"
"AFH - African History","AFH 6300","Roman North Africa","An overview of the material evidence and archeology of Roman North Africa that explores cultural identity, religion, imperialism, and politics, in the most important cities of the Africa Proconsularis, including Libya, Tunisia, Algeria, and Morocco. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of History","3"
"AMH - American History","AMH 6116","Early American History","Explores early American history of the sixteenth through the eighteenth centuries. Topics include: Native American relations, the spread and development of British colonies in Mainland America and the West Indies, and the development of the slave trade. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of History","3"
"AMH - American History","AMH 6199","Nineteenth-Century United States History","The history of the United States from the end of the American Revolution through the end of the nineteenth-century. Topics include: cultures of liberalism and democracy; slavery and freedom; emancipation and Reconstruction, and immigration. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of History","3"
"AMH - American History","AMH 6935","US History, 1877-1945","This graduate-level readings seminar explores the history of the United States from the end of post-Civil War Reconstruction to the end of World War II. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of History","3"
"AML - American Literature","AML 5305","Studies in Individual American Authors","This course provides advanced study of two or three selected authors who are considered to have made major contributions to the development of American literature. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of English","3"
"AML - American Literature","AML 6017","Studies in American Literature to 1860","Selected focused studies in American literature before 1860: the Puritans, Franklin, Cooper, Irving, Poe, Emerson, Hawthorne, Melville, and others. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of English","3"
"AML - American Literature","AML 6018","Studies in American Literature 1860 to 1920","Selected focused studies in American literature: Dickinson, Whitman, Twain, Howells, James, Jewett, Chopin, Crane, Dreiser, and others. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of English","3"
"AML - American Literature","AML 6027","Studies in Modern American Literature","Modern American drama, poetry, fiction, and literary criticism; authors include Faulkner, Hemingway, Fitzgerald, O’Neill, Miller, Anderson, Wolfe, Cummings, Frost, Pound, and Eliot. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of English","3"
"AML - American Literature","AML 6608","Studies in African American Literature","Focuses on varied topics in African American literature such as African American Fiction and the Harlem Renaissance. Topics will supply greatly needed coverage of increasingly important areas of American and African American literature, history, and culture. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of English","3"
"AML - American Literature","AML 6637","Studies in US Latina/Latino Literatures","Students will explore the major strands of US Latina/o Literatures including immigration narratives, auto ethnography, and historical fiction from or about the perspective of US Latinas/os. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of English","3"
"AMS - American Studies","AMS 6254","Contemporary American Culture: Selected Topics","Interdisciplinary analysis of contemporary American life. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Humanities and Cultural Studies","3"
"AMS - American Studies","AMS 6805","Enduring Questions in American Culture","Open to non‐majors. Explores the historical changes and continuities of an enduring theme, issue, pattern, or practice in American culture across multiple cultural eras. E.g., democracy, wilderness, jazz, domesticity, regionalism, ethnicity. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Humanities and Cultural Studies","3"
"AMS - American Studies","AMS 6901","Directed Readings in American Studies","Open to non-majors. A supervised program of intensive reading. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Humanities and Cultural Studies","1-3"
"AMS - American Studies","AMS 6915","Directed Research","Directed research course. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Humanities and Cultural Studies","1-12"
"AMS - American Studies","AMS 6934","Selected Topics","Open to non-majors. Variable topics such as American Autobiography, Film in American Culture, and Photography in American Culture. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Humanities and Cultural Studies","1-3"
"AMS - American Studies","AMS 6940","Internship in American Studies","A structured, out-of-class learning experience providing first hand, practical training in American Studies-related professional careers. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Humanities and Cultural Studies","1-3"
"AMS - American Studies","AMS 6971","Thesis: Master’s","A Master’s thesis course. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Humanities and Cultural Studies","2-19"
"ANG - Anthropology–Graduate","ANG 5395","Visual Anthropology","This class will examine the major dimensions of visual anthropology with an emphasis on the visual means of presenting anthropology to the discipline and general public. The course will focus on visual documentation and study of visual images. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 5406","Ethnobotany: People, Plants and Culture","This course examines the structure and function of plants, the development of the field of ethnobotany, and the practice of ethnobotany. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 5486","Quantitative Methods in Anthropology","This course is an introduction to quantitative methods for the anthropologist covering both classical statistical approaches and exploratory data analysis, using computers with statistical software. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 5901","Directed Reading","Individual guidance in concentrated reading on a selected topic in Anthropology. Contract required prior to registration. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","1-4"
"ANG - Anthropology–Graduate","ANG 5910","Individual Research","Individual guidance in selected research project. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","2-4"
"ANG - Anthropology–Graduate","ANG 5937","Seminar in Anthropology","Topics to be chosen by students and instructor. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","2-4"
"ANG - Anthropology–Graduate","ANG 6020","Environmental Justice","This course examines how race, class, and politics intersect in the unequal distribution of environmental hazards across communities, how communities of color often experience a disproportionate burden of environmental pollution and its negative health consequences, and how these factors impact, and are impacted by, federal and state environmental policies. Prerequisite(s):N/A Corequisite(s):N/A Co-Prerequisite(s):N/A USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6084","Anthropological Theory Today","This course provides an overview of contemporary theorizing in social and cultural anthropology for graduate students. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6100","Topics in Archaeological Science","This course focuses on the application of scientific methods of analysis to archaeological materials, including bone, stone, pottery, and metal. Repeatable for up to 6 hours. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6110","Archaeology Theory and Current Issues","Methodology and theory in archaeology, analysis, interpretation of data. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6115","Seminar in Archaeology","An advanced critical survey of archaeology emphasizing contributions to applied anthropology. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6153","Topics in North American Archaeology","Comprehensive understanding of the prehistoric development of American Indian cultures in the main geographical regions, with emphasis on current issues in cultural resource management. Repeatable for up to 6 hours. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6155","Southeastern U.S. Archaeology","The course examines the culture history and processes of change or continuity throughout the region of the Southeast, as well as the often differing record for various local areas, from prehistoric through historic times. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6175","Topics in Mediterranean Archaeology","A graduate seminar in Mediterranean archaeology, spanning prehistory and the early historical period, and will examine subsistence adaptations, island settlement, trade, technology, religion, rise of complex societies and early states. Repeatable to 6 hr. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6189","Ancient Diets","This course focuses on archaeological remains and studies about ancient diet, a fundamental practice by all world cultures. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6195","Ancient Trade","This course focuses on long-distance trade and contact in ancient times, based on archaeological evidence and scientific studies, and how this informs us about sociopolitical systems and economic relations and how they vary over time and space. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6197","Public Archaeology","This graduate-level course surveys archaeological practice as part of applied anthropology, in the public and private sector, from local to international. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6198","Regional Problems in Methods of Public Archaeology","Contemporary problems in Public Archaeology in the context of a specific region. Open to non-majors. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6270","Chiefdoms","This course examines theory and data on the emergence of chiefly forms of social organization using case studies from both ethnography and prehistory, and focusing on classic works of cultural evolution and recent critiques of the chiefdom concept. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6302","Gender in Cross-Cultural Perspective","Examines roles of women, men, other genders and social, economic, and political aspects of sex and gender, from a biocultural, 4-field anthropological perspective, emphasizing non-Western societies and cross-cultural comparison in past and present. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6392","Engaging Ethnography","What does engaged research and writing look like, and to what effect? Explore ethnographic monographs to discover how various forms of engagement can transform research epistemologies, questions, methodologies, and products, and define own approach. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
"ANG - Anthropology–Graduate","ANG 6404","Health and Medical Systems","An explicitly medical anthropological approach to systems-level issues in health and medicine. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF College of Arts and Sciences | Department of Anthropology","3"
