course_code,course_name,credits,description
ACCT 4391,Field Study in Accounting (May be repeated once),credit. This course may include a,"PREREQUISITES ACCT 4112 with a 3.0 GPA or higher and enrolled as an under- graduate accounting major and consent of instructor REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION The field study is a supervised, employer- site learning experience. In this experience, students have the opportunity to apply accounting skills in a professional setting. Students must consult with the instructor or with the School of Accountancy's Undergraduate Program Coordinator before registering to determine whether their employment internship experiences will qualify for Signature Experience component."
ACCT 4411,Financial Reporting Issues in the European Union,3.0,"PREREQUISITES ACCT 2101 and ACCT 2102 REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION This course provides an opportunity to examine the business climate in the European Union with a special emphasis on the Netherlands. The course emphasizes the financial reporting aspects of a business. Students will gain insight into the financial reporting of small and medium sized businesses in the Netherlands as well as European multinationals and U.S. multinationals operating in the Netherlands. Students will learn the benefits of being in the European Union and how it facilitates the movement of money, people, goods and providing services across countries in the European Union."
ACCT 4510,Introduction to Federal Income Taxes,3.0,"ACCT 4101 with a grade of C- or higher  Must meet RCB upper division course requirements and 45 semester hours  This course introduces students to the federal tax concepts applicable to sole proprietorships, partnerships, corporations, estates, and trusts. Emphasis is placed on differences between tax and financial accounting concepts. In addition, students are exposed to accounting periods and methods, deferred compensation, tax planning, ethical practices, and tax research. 780"
ACCT 4610,Introduction to Assurance Services,3.0,"PREREQUISITES ACCT 4102 and ACCT 4310 with a grade of C- or higher REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION This course develops students' knowledge of auditing, attest, and assurance services in traditional and e- business environments. Topics include the role of such services in society, evidence relevance and reliability, materiality, risk and control, information integrity, and methods of verification."
ACCT 4750,Technology and Values in the Accounting Profession,3.0,"MATH 1070, ACCT 4101 and ACCT 4102 with a grade of C- or higher  Must meet RCB upper division course requirements and 45 semester hours  The objective of this capstone course is to prepare the undergraduate student in accounting for a professional career of technological and cultural change. This course focuses on creating, managing, and controlling such change to achieve superior performance. It uses an economic decision-making approach to demonstrate the value of recent information technologies and the importance of maintaining social and professional norms. 781"
AS 3230,Financial Mathematics,3.0,"PREREQUISITES MATH 2212 REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION Topics include measure of interest, accumulation and discount, forces of interest and discount, equations of value, annuities, perpetuities, loan amortization, yield rates, bonds and securities, duration and convexity, immunization, determinants of interest rates, the term structure, and interest rate swaps."
AS 3230L,Financial Mathematics Lab,1.0,COREQUISITES AS 3230 DESCRIPTION Recommended to be taken concurrently with AS 3230 to prepare for SOA Exam FM.
AS 4140,Probability,3.0,"PREREQUISITES MATH 2215 REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION This course covers univariate probability distributions, including the binomial, negative binomial, geometric, hypergeometric, Poisson, uniform, exponential, gamma, and normal; multivariate joint distributions, conditional and marginal distributions, moments and generating functions, transformations of random variables, order statistics, and the central limit theorem."
AS 4140L,Probability Lab,1.0,COREQUISITES AS 3230 DESCRIPTION Recommended to be taken concurrently with AS 4140 to prepare for SOA Exam P.
AS 4260,Microeconomic Foundations of Actuarial Science,3.0,PREREQUISITES ECON 2106 and concurrent registration in AS 4230 DESCRIPTION This course covers the applications of interest theory and calculus to intermediate microeconomics in an actuarial context.
AS 4320,Loss Models and Credibility,3.0,"PREREQUISITES AS 4140 REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION This course covers the application of basic stochastic models in an actuarial setting. Topics include frequency- severity models, compound distributions, risk measures, selection and evaluation of parametric models, classical credibility, Buhlmann and Buhlmann-Straub credibility, and Bayesian credibility."
AS 4340,Life Contingencies I,3.0,"AS 3230, AS 4140, and MATH 4751  Must meet RCB upper division course requirements and 45 semester hours  This course is an introduction to life contingencies as applied in actuarial practice. Topics include survival models and their estimation, life tables, present value random variables for contingent annuities and insurance, their distributions and actuarial present values, and principles for determining premiums. 782"
AS 4350,Life Contingencies II,3.0,"PREREQUISITES AS 4340 REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION This course is a continuation of the study of life contingencies. Topics include insurance and annuity reserves, characterization of discrete and continuous multiple state (life and/or decrement) models in insurance, pension benefits, and profit testing."
AS 4360,Ratemaking and Loss Reserving,3.0,"PREREQUISITES AS 4320 REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION This course introduces prmium rate development and loss reserving for non- life insurance. Students will learn about various non-life insurance coverages, such as auto insurance, homeowners insurance, workers compensations, fire insurance, etc."
AS 4389,Directed Readings in Actuarial Science,1.0,PREREQUISITES Consent of instructor DESCRIPTION
AS 4510,Derivative Valuation and Risk Management,3.0,"AS 3230 and AS 4140  Must meet RCB upper division course requirements and 45 semester hours  This course introduces quantitative methods for pricing financial derivatives and managing the risk of asset portfolios. Topics include risk-weighted returns, the efficient frontier, CAPM and factor models, futures, forwards, European, American, and exotic options, option spreads, put-call parity, the binomial model, the Black-Scholes formula, option Greeks, and hedging for risk management. 783"
AAS 1141,Introduction to African and African American History to 1865,3.0,"DESCRIPTION An introductory survey of African- American History that provides engagement with significant topics, themes and issues in the African American experience from pre-colonial Africa, through enslavement in North America."
AAS 1142,Introduction to African American History Since 1865,3.0,"DESCRIPTION An introductory survey of African- American History that provides engagement with significant topics, themes and issues in the African American experience from Reconstruction into the present."
AAS 2010,Introduction to African- American Studies,3.0,"DESCRIPTION Intellectual and social origins of African- American Studies. Key concepts, themes, and theories of the discipline."
AAS 2140,Africana Literature in the Americas,3.0,"DESCRIPTION Historical survey of English-language literature by people of African descent in the Americas, particularly in the U.S., with consideration of literary genres, conventions, and modes. Issues such as periodization, canon formation, national identity, and the interrelationships between literature and other elements of culture will be explored."
AAS 3000,African-American Family,3.0,DESCRIPTION (Same as SOCI 3162.) Contemporary theories and research of the African- American family.
AAS 3010,"Narratives of Race, Gender and Sexuality: Quare Readings",3.0,DESCRIPTION Focuses on recognizing and employing various reading practices and themes of intersectionality within a number of literary narratives.
AAS 3050,Introduction to African- American Psychology,3.0,"PREREQUISITES AAS 2010, AAS 1140, AAS 1141, AAS 1142, HIST 1140, HIST 1141, or HIST 1142 with a D or higher DESCRIPTION Examination of theory and research pertaining to African-American psychology. Special emphasis on the Afrocentric perspective. (Same as PSYC 3520.)."
AAS 3070,African-Americans in the Criminal Justice System,3.0,An examination of the relationship between the African-American community and the criminal justice system. 784
AAS 3120,African Diaspora,3.0,"PREREQUISITES AAS 2010, AAS 1140, AAS 1141, AAS 1142, HIST 1140, HIST 1141, HIST 1142, or ANTH 2020 (each with a D or higher) DESCRIPTION Investigates the dispersal, growth, and influence of people of African descent throughout the world. A comparative analysis of historical, political, cultural, economic, and social development of the African diaspora. (Same as ANTH 3120.) Global Scholars course."
AAS 3240,Peoples and Cultures of Africa,3.0,"DESCRIPTION Origins, adaptations, and contemporary social, economic, political, and belief systems of the indigenous and mixed populations of Africa. (Same as ANTH 3240.) Global Scholars course."
AAS 3450,History of African-Americans in Georgia,3.0,"DESCRIPTION Examination of the political, economic, and social development of African- Americans in Georgia."
AAS 3500,Jazz History,3.0,"DESCRIPTION Study of the development of jazz from its origins to current trends including stylistic periods such as New Orleans, swing, bop, cool, avant garde, and fusions. Emphasis on evolution of form, improvisational style, and influential artists. (Same as MUS 3500.)."
AAS 3670,Social Justice in Sports,3.0,DESCRIPTION This course examines the impact that sports activism has had on global issues.
AAS 3750,Race and Racism,3.0,"DESCRIPTION Study of philosophical issues related to race and racism. Topics may include philosophical analysis of concepts such as oppression, race, racism, discrimination, and stereotyping as well as critical investigation of practices and institutions related to racism and ending it, such as the ethics of racial profiling, racism and mass incarceration, and racism and social integration. (Same as PHIL 3750.)."
AAS 3810,History of African-American Music,3.0,DESCRIPTION History and styles of African-American music. (Same as MUA 3810.).
AAS 3880,African-American Literature,3.0,"DESCRIPTION History and development of African- American literature, with emphasis on major writers. (Same as ENGL 3950.)."
AAS 3960,African-American Literature by Women,3.0,"DESCRIPTION Survey of literature from the eighteenth century to the present. Includes such authors as Wilson, Wheatley, Larsen, Hurston, Dove, Hansberry, and Morrison. (Same as ENGL 3960 and WGSS 3960.)."
AAS 3975,Concepts and Theories in African-American Studies,3.0,"Either AAS 1140, AAS 1141, or AAS 1142; and AAS 2010 and AAS 3120, each with a C or instructor approval  Examination of the major concepts and theoretical orientations used in African- American Studies. 785"
AAS 3980,Research Methods in African- American Studies-CTW,3.0,PREREQUISITES AAS 2010 with a C or higher DESCRIPTION Qualitative and quantitative research techniques employed to generate knowledge in the interdisciplinary field of African-American Studies. Serves as one of the two Critical Thinking through Writing (CTW) courses required for all African-American Studies majors.
AAS 4000,Issues in the African-American Community,3.0,DESCRIPTION Examination of the impact of major societal issues on the African-American community. (Same as SOCI 4310.).
AAS 4010,Service Learning in the African American Community,3.0,DESCRIPTION An experiential course where students develop civic responsibility and utilize their skills and talents to the service of community organizations with the specific goal of helping to empower them to address African American and broader community needs. May include a Signature Experience component.
AAS 4030,African-American Relationships,3.0,"DESCRIPTION Explores historical, social, psychological, and economic factors affecting African- American relationships. Issues include negative images and stereotypes, color, beauty and pornography, sex-gender and role identity, consumerism and narcissism, and employment. (Same as SOCI 4311.)."
AAS 4105,Race & Health,3.0,DESCRIPTION Critical exploration of the frameworks used to explain racial differences in health in the African-American community through the examination of contemporary health issues.
AAS 4110,Black Women and Health,3.0,"DESCRIPTION Examines the intersections of race, gender, and health with a critical focus on the health experiences of women in Africa, the Caribbean, and the United States. Global Scholars course."
AAS 4120,African-American Political Thought,3.0,DESCRIPTION Examination and critical analysis of African-American political and social issues. (Same as POLS 4560.).
AAS 4125,Black Feminist Thought,3.0,"AAS 2010 with a C or higher  Explores the tradition of Black feminism in the nineteenth and twentieth centuries. Students will critically read, discuss, and respond in writing to a series of texts representing Black feminist thought and its relationship to other feminisms. Students will be expected to demonstrate their knowledge of the Black feminist tradition and their ability to query, compare, and extend Black feminist theories. (Same as WGSS 4750.). 786"
AAS 4160,African-American Politics,3.0,"PREREQUISITES AAS 2010, AAS 1140, AAS 1141, AAS 1142, HIST 1140, HIST 1141, or HIST 1142 with a D or higher DESCRIPTION Analysis of the ideology, public opinions, and political behaviors of African Americans. African-American impact on the electoral system. (Same as POLS 4165.)."
AAS 4180,Politics of the Civil Rights Movement,3.0,"DESCRIPTION Examinations of the underpinnings, leadership, political strategies, and outcomes of the modern civil rights movement. (Same as POLS 4157.)."
AAS 4200,Critical Pedagogy and African American Education,3.0,"PREREQUISITES AAS 1140, AAS 1141, or AAS 1142, or"
AAS 2010,"with a D or higher DESCRIPTION This course will explore the principles and practices of critical pedagogy theory as it has developed both internationally and in the United States. This theory will be particularly focused on its application in the historical and current education in the African American community. The course will examine applications of critical pedagogy in both primary and higher education arenas with a particular focus on what it means to ""teach for freedom."" The course will review applications of critical pedagogy and its focus on cultural and social context of both students and teachers and the relationship of education to social development and social change. This course includes both class participation and class room participant observer research.",,
AAS 4230,Religions of the African World,3.0,"DESCRIPTION An overview of religion from Africa to the Diaspora. African cosmology and religions among various African peoples such as the Yoruba and the Dogon of Mali. African origins of Western religions such as Judaism, Christianity, and Islam. Various religions among African peoples in the Diaspora such as Santeria, Voodooism, Rastafarianism, as well as Christianity, Black Judaism, and the Nation of Islam. Special attention to African survivals in religion in the Diaspora. The role of religion as a tool of liberation and community and economic development. (Same as RELS 4230.) Global Scholars course."
AAS 4250,African-American Religion,3.0,"DESCRIPTION A survey of the development of African- American religion from colonial times to present, including an examination of both the theoretical arguments of religious elites and the spiritual experience of laypersons. (Same as RELS 4250.)."
AAS 4255,"Religion, Race, Nation",3.0,"From colonialism to black nationalism to globalization, how do the three issues of religion, race, and nation affect each other. The course will discover the role religion plays in shaping racial and national identity and explain how the concepts of race, religion, and nation reconfigure issues of power, privilege, and public life. We will explore these concepts using theory, world literature, and film. (Same as RELS 4255.). 787"
AAS 4280,African-American Anthropology,3.0,"DESCRIPTION Major writings in the field of African- American studies; theories, categories, and methods used in studying complex societies are brought to bear upon the literature; use of ethnographies to provide a comparative perspective for understanding African-American cultures. (Same as ANTH 4280.)."
AAS 4330,The Black Arts Movement,3.0,"DESCRIPTION This course explores and examines the ideas, major artists and institutions, artistic practices, political context and enduring legacy of the most important multi-discipline artistic movement in African American history."
AAS 4350,Black Visual Representation,3.0,"DESCRIPTION The Iconography of the African Diaspora. This course will use interdisciplinary methods to study racialized iconic figures, the production of their images, and their impact across the world. Global Scholars course."
AAS 4360,Studies of Black Dance,3.0,"DESCRIPTION Examines the centrality of movement in the social, cultural, and spiritual practices of black populations across the world. Global Scholars course."
AAS 4400,Geography of Africa,3.0,"DESCRIPTION An overview of the physical, economic, and cultural geography of Africa, including North Africa. Emphasis on relationships between Africa's resources, both human and physical, and the development process. (Same as GEOG 4402.) Global Scholars course."
AAS 4550,Activism and the Black Freedom Movement,3.0,"PREREQUISITES AAS 1140, AAS 1141, AAS 1142, or"
AAS 2010,with a D or higher DESCRIPTION Examine 20th and 21st century Black movements for social justice. Insurgent movements that primarily worked outside of parliamentary taking a multi- disciplinary approach and studying theories and histories of social movements.,,
AAS 4600,Enslavement and Resistance in North America,3.0,DESCRIPTION Examines the character of the system of chattel slavery and racial oppression in Colonial America and in the United States and insurgent responses to it by the captive and free population of African descent in North America. (Same as HIST 4280.) Global Scholars course.
AAS 4620,Enslavement and Resistance in the Americas,3.0,"Comparative examination of systems of captivity and forced labor in the western hemisphere and the social development and popular responses of captive Africans and their descendants to these systems. Emphasis on the continuities of African culture and the unique adaptation of culture and social organization in each country. The nature of resistance and the process of eliminating the system of captivity, with a focus on Maroon nations in the Americas. (Same as HIST 4290.) Global Scholars course. 788"
AAS 4625,Atlanta and Black Culture,3.0,"PREREQUISITES AAS 1140, AAS 1141, AAS 1142, or"
AAS 2010,with a C or higher; and at least,48 undergraduate credit hours,"DESCRIPTION This course focuses on the history, politics and culture within the ""Black New South"", a subfield within the academic field of African American Studies. With an interdisciplinary approach the focus will be on the major issues involved in the study of the African American experience, both the objective issues being analyzed in the research literature and the subjective issues of how the world sees Atlanta, Georgia as the Black Mecca."
AAS 4640,African-American People,4.0,"DESCRIPTION Major topics and themes in African- American history, including slavery, development of American racism, urbanization, civil rights, and black contributions to American culture. (Same as HIST 4270.) City Scholars Course."
AAS 4650,African-American Theatre,3.0,DESCRIPTION Examination of the history and contributions of African-Americans to the American theatre. (Same as THEA 4090.).
AAS 4660,African-American Women,4.0,"DESCRIPTION Examination of the varied history of African-American women. Centered in the tradition of race and gender protest; how women have generationally developed agendas and forums around social justice reform; exploration of themes, individuals, and collective action, revealing the impact of race, class, and gender on the lives of African- American women. (Same as HIST 4260.)."
AAS 4670,Education of Blacks in the South,credit hours,"PREREQUISITES Either AAS 1140, AAS 1141, or AAS 1142; and AAS 2010 (each with a C or better); and at least 48 undergraduate DESCRIPTION This course focuses on the history, politics and culture within Education of Black Folk in the American South. This an interdisciplinary investigation of the complexities of the African American experience in American culture that particularly explores important comparative questions about the American education system. In this course we will understand how Africans in America negotiated, disrupted, and transformed popular education."
AAS 4771,Gender and Sexuality in the African Diaspora,3.0,"PREREQUISITES WGSS 2010 with a C or better DESCRIPTION This course thinks about the kinds of conceptual tools: questions, methods, theories, histories, geographies, time periods, and social/cultural movements needed in order to understand the dynamic and shifting terrain of gender and sexuality in the African Diaspora. Colonialism, slavery, social movements as well as transnational circuits of music, self-expression, desire and consumption/production will frame our approach to theorizing gender and sexuality in the actual and imagined spaces of the African Diaspora. (Same as WGSS 4770.) Global Scholars course."
AAS 4772,Women in Africa,3.0,"An examination of African women's roles in domestic production, their relationship to the state, and the effect of social change on women from the pre- colonial period to the contemporary era. (Same as HIST 4772.) Global Scholars course. 789"
AAS 4774,African Rebellions,3.0,DESCRIPTION An examination of African resistance in the colonial and post-colonial contexts. Global Scholars course.
AAS 4776,"Africa and Hollywood: Myth, Romance, and Savage Imagery",4.0,DESCRIPTION This course explores the image of Africa projected into American mass culture through the vehicle of commercial films produced about Africa.
AAS 4780,African-American Lesbian and Gay Activism,3.0,"PREREQUISITES AAS 2010 DESCRIPTION Examines the speeches, writings, and other public communication of African- American lesbians and gay men who promote democratic ideals. Surveys historical and contemporary issues confronting this marginalized population. Emphasis on thematic and cultural critical approaches. (Same as WGSS 4780.)."
AAS 4870,Honors Thesis I,1.0,PREREQUISITES Good standing with the Honors College and consent of the instructor and the Honors College DESCRIPTION Readings or research preparatory to honors thesis or project. Signature Experience course.
AAS 4880,Honors Thesis II,1.0,PREREQUISITES Good standing with the Honors College and consent of the instructor and the Honors College DESCRIPTION Writing or production of honors thesis or project. Signature Experience course.
AAS 4890,Caribbean Literature,3.0,"PREREQUISITES AAS 2010, AAS 1140, AAS 1141, AAS 1142, HIST 1140, HIST 1141, or HIST 1142 (each with a D or higher) DESCRIPTION Survey of twentieth-century literature of the English-speaking or Commonwealth Caribbean. Includes such writers as Prince, Brathwaite, Kincaid, Naipaul, and Walcott. (Same as ENGL 3970.) Global Scholars course."
AAS 4900,African-Americans in Film,4.0,DESCRIPTION Mainstream Hollywood representation of African-Americans and the alternative film portrayals by African-American producers. (Same as FLME 4760.).
AAS 4940,African-American Achievement,least 48 undergraduate credit hours,"PREREQUISITES Either AAS 1140, AAS 1141, AAS 1142, or AAS 2010 with a C or higher; and at DESCRIPTION Examination of the various contexts of African-American academic performance."
AAS 4950,African-American Popular Culture,3.0,DESCRIPTION Intellectual debates over the definitions and diversities of everyday African- American cultural production. (Same as JOUR 4590.).
AAS 4970,Topics in African-American Studies,repeated for 12 credit hours.,"AAS 2010, AAS 1140, AAS 1141, AAS 1142, HIST 1140, HIST 1141, or HIST 1142 (each with a D or higher)  Intensive treatment of selected topics in African-American studies. May be 790"
AAS 4975,"Race, Class and Gender in Contemporary South Africa",3.0,"DESCRIPTION In this course students learn how class, gender and racial categories have impacted the lives of South Africans. Global Scholars course."
AAS 4980,Seminar and Practicum in African-American Studies-CTW,3.0,PREREQUISITES AAS 3975 with a C or higher DESCRIPTION Serves as one of the two Critical Thinking Through Writing (CTW) courses required of all African-American Studies majors. This course may include a Signature Experience component.
AAS 4995,Directed Readings B.I.S.-CTW,3.0,Directed Readings designed for Bachelor of Interdisciplinary Studies students. This course may satisfy the Critical Thinking Through Writing requirement. 791
ASL 1001,Elementary American Sign Language I,3.0,"DESCRIPTION This course prepares students to understand and use American Sign Language grammar, signs, fingerspelling and non-manual markers at the basic level. Students receive an orientation to Deaf culture and explore the Georgia Performance Standards (GPS) for ASL."
ASL 1002,Elementary American Sign Language II,3.0,"PREREQUISITES ASL 1001 with a grade of C or higher DESCRIPTION This course prepares students to understand and use American Sign Language grammar, signs, fingerspelling and non-manual markers at the elementary level. Students receive an orientation to Deaf culture and explore the Georgia Performance Standards (GPS) for ASL."
ASL 2001,Intermediate American Sign Language I,3.0,"PREREQUISITES ASL 1001 with a grade of ""C"" or higher and ASL 1002 with a grade of âBâ or higher DESCRIPTION This course prepares students to understand and use the grammar, signs, fingerspelling, and classifier system of ASL at the intermediate level. Students refine expressive and receptive skills and engage in extended discourse."
ASL 2002,Intermediate American Sign Language II,3.0,"PREREQUISITES ASL 1001 with a grade of ""C"" or higher;"
ASL 1002,"with a grade of ""B"" or higher; and ASL 2001 with a grade of ""B"" or higher DESCRIPTION This course continues the study of ASL, Deaf Culture, deaf literature and poetry, and extended discourse at the advanced intermediate level. It surveys the skills associated with the ASL GACE. 792",,
ANTH 1102,Introduction to Anthropology,3.0,"DESCRIPTION This course is designed as an introduction to the discipline of anthropology through a survey of the five subfields: cultural, biological, archaeological, linguistics, and applied anthropology. The course will use a holistic and comparative approach to study the human condition with emphasis on human cultural, behavioral, and biological variation across place and time."
ANTH 2010,Introduction to Biological Anthropology,3.0,"DESCRIPTION This evidence-based course is designed to introduce students to the general concepts of biological anthropology. The course will use lecture and hands-on activities to explore major topics in evolution and natural selection, variation and adaptation, molecular and population genetics, the intersections of biology and cultural behavior, and the fossil record from early hominins through modern populations."
ANTH 2020,Introduction to Cultural Anthropology,3.0,"DESCRIPTION This course examines the theories, methods, and basic issues in contemporary cultural anthropology, stressing comparison and interpretation of contemporary social problems cross- culturally. An emphasis will be placed on applied methodologies used in cultural studies such as fieldwork, participant observation, ethnography, and ethnology. Topics include culture and cultural diversity, cultural categories of race, ethnicity, gender, as well as social institutions such as marriage, family, religion, and subsistence patterns."
ANTH 2030,Archaeology and Prehistory,3.0,DESCRIPTION Brief overview of archaeological methods and concepts followed by an examination of major cultural developments including the geographical spread of humans and the emergence of agriculture and complex societies. Implications for understanding contemporary humanity are included.
ANTH 2040,Introduction to Linguistic Anthropology,3.0,"DESCRIPTION Linguistic anthropology is broadly understood as the study of language as a part of culture. This course shows how language constitutes social action. Language is much more than a transparent medium for communicating ideas. Rather, the way we speak can have profound implications in terms of community membership, social exclusion, economic opportunity, identity, the way we view and understand the world. This course will cover the complexity of human languages and the significance of linguistic and cultural difference."
ANTH 3033,The Anthropology of Violence- CTW,3.0,"ANTH 2010, ANTH 2020, or ANTH 2030 with grade of C or higher, or consent of instructor  Drawing on three subfields of anthropology (biological anthropology, archaeology, and sociocultural anthropology), this course takes a holistic approach to the study of violence. The course fosters critical thinking through writing, and it promotes the understanding of how scholarly-scientific and popular interpretations of violence are rooted in the ideological paradigms of their time. Serves as one of the two Critical Thinking Through Writing (CTW) courses required of all anthropology majors. 793"
ANTH 3050,Anthropology of Religion,3.0,"DESCRIPTION This course provides an introduction to the comparative study of the worldâs religions, a discipline that has its roots in the fields of anthropology, philosophy and sociology. The course will explore the role that the invention of writing played in the emergence of scriptural religions, as well as provide an introduction to some of the key categories in comparative religion, including: athletics, civil religion, ethics, gender, modernity, prophecy, ritual, sainthood and time. The course will conclude with a three-week ethnography of a Vodou priestess (âMama Lolaâ) in the Haitian diaspora of New York City. Global Scholars course."
ANTH 3075,Greek Mythology,3.0,"DESCRIPTION This course explores the lives, and long afterlives, of certain canonical mythic cycles such as the Epic of Gilgamesh, the Iliad and the Odyssey, or the Ramayana. The course will use the Greek case study as exemplary."
ANTH 3100,"Sex, Culture, and Sexuality",3.0,"DESCRIPTION This course takes a comparative, cross- cultural approach to understanding sex and sexuality/sexualities in anthropological and historical perspective. This will include an examination of beliefs about sex, sexuality, and the body; the interaction of culture and biology in the shaping of sexual identity; the many roles of sex in both nonhuman and human primate societies; evidence of sexual attitudes and practices based on the material culture of past societies; and the variety of sexual practices and their meanings around the world in contemporary society."
ANTH 3120,African Diaspora,3.0,"PREREQUISITES AAS 1140, AAS 1141, AAS 1142, AAS 2010, HIST 1140, HIST 1141, HIST 1142, or ANTH 2020 with grade of C or higher DESCRIPTION Investigates the dispersal, growth, and influence of people of African descent throughout the world. A comparative analysis of historical, political, cultural, economic, and social developments of the African diaspora. (Same as AAS 3120.) Global Scholars course."
ANTH 3500,Culture and Change in Africa,3.0,"DESCRIPTION Provides an introduction to the ethnography of Sub-Saharan Africa. It highlights change and resistance to change and seeks to understand the historical and cultural conditions underpinning current predicaments facing African societies, as well as the fact that tragedy is only one facet of African lives and experiences. Suitable for students majoring in Global Studies, Anthropology, African-American Studies, History, and the Social and Behavioral Sciences. Same as GLOS 3500."
ANTH 3770,Tragedy and Comedy in Cultural Theory,3.0,"DESCRIPTION This course offers a history of the way tragedy emerged as a major theoretical preoccupation in the 19th century in Europe, and returned to ethical theory in the US in the late 20th century. Attention will focus on the cultural reasons for this preoccupation."
ANTH 4020,Anthropological Theory,3.0,"ANTH 2020 with grade of C or higher, or consent of instructor  Historical treatment of the major theoretical trends in anthropology. 794"
