"course_title","code","subject","description"
"ESL Reading and Vocabulary","AC ENG 22B","AC ENG - Academic English","Extensive reading and discussion with emphasis on journal articles, textbook chapters, notetaking, and the interpretation of charts, diagrams, tables, and figures.Grading Option: Pass/no pass only."
"Special Topics in ESL","AC ENG 29","AC ENG - Academic English","Directed and individualized work in English as a second language not covered in the AC ENG 20, 21, 22 sequence.Grading Option: Pass/no pass only.Repeatability: Unlimited as topics vary."
"Research in Biological Chemistry","BIOCHEM 200A","BIOCHEM - Biological Chemistry","Individual research under the supervision of a professor.Repeatability: Unlimited as topics vary."
"Research in Biological Chemistry","BIOCHEM 200B","BIOCHEM - Biological Chemistry","Individual research under the supervision of a professor.Repeatability: Unlimited as topics vary."
"Research in Biological Chemistry","BIOCHEM 200C","BIOCHEM - Biological Chemistry","Individual research under the supervision of a professor.Repeatability: Unlimited as topics vary."
"Research in Biological Chemistry for First-Year Students","BIOCHEM 200R","BIOCHEM - Biological Chemistry",""
"Laboratory Seminar Series","BIOCHEM 202A","BIOCHEM - Biological Chemistry","Study within a laboratory group including research and journal presentations.Grading Option: Satisfactory/unsatisfactory only.Repeatability: Unlimited as topics vary."
" Laboratory Seminar Series","BIOCHEM 202B","BIOCHEM - Biological Chemistry","Study within a laboratory group including research and journal presentations.Grading Option: Satisfactory/unsatisfactory only.Repeatability: Unlimited as topics vary."
"Laboratory Seminar Series","BIOCHEM 202C","BIOCHEM - Biological Chemistry","Study within a laboratory group including research and journal presentations.Grading Option: Satisfactory/unsatisfactory only.Repeatability: Unlimited as topics vary."
"Current Topics in Cancer Genomics","BIOCHEM 207","BIOCHEM - Biological Chemistry",""
"Medical Biochemistry and Molecular Biology","BIOCHEM 210A","BIOCHEM - Biological Chemistry","Covers the following topics from a biomedical perspective: protein and nucleic acid biochemistry, carbohydrates, lipids, amino acids, purines and pyrimidines, genome structure, molecular mechanisms of development, and signal transduction.Restriction: Graduate students only."
"Epigenetics in Health and Disease ","BIOCHEM 225","BIOCHEM - Biological Chemistry","Focuses on the role of chromatin/nuclear structure organization (histone and DNA modification, chromatin remodeling, higher order chromatin structure and nuclear organization) on gene regulation, DNA replication and repair, relevant to development, metabolism, learning and memory, and human disease.Prerequisite:MOL BIO 203orMOL BIO 204orNEURBIO 206.MOL BIO 203with a grade of B- or better.MOL BIO 204with a grade of B- or better.NEURBIO 206with a grade of B- or betterSame asNEURBIO 230.Restriction: Graduate students only."
"Fundamentals of Informatics for Biologists","BIOCHEM 281","BIOCHEM - Biological Chemistry","Students learn the fundamentals of bioinformatics and the unix operating system.Same asECO EVO 282.Restriction: Graduate students only."
"Research Seminar","BIOCHEM 291","BIOCHEM - Biological Chemistry",""
"Scientific Communication","BIOCHEM 292A","BIOCHEM - Biological Chemistry",""
"Scientific Communication","BIOCHEM 292B","BIOCHEM - Biological Chemistry",""
"Scientific Communication","BIOCHEM 292C","BIOCHEM - Biological Chemistry",""
"Pathways in Biomedical and Translational Science","BATS 201","BATS - Biomed and Translational Sci","Provides fundamental knowledge to promote understanding of the process of bringing discoveries to the bedside and then to the population, providing a fundamental basis for clinical and translational science.Restriction: Graduate students only."
"Introduction to Medical Statistics","BATS 209A","BATS - Biomed and Translational Sci","Provides understanding of medical statistics for clinicians; clinical and biomedical researchers to read and interpret literature.Restriction: Graduate students only."
"Introduction to Medical Statistics II","BATS 209B","BATS - Biomed and Translational Sci","Provides sufficient understanding of medical statistics to read and interpret medical literature critically, identify appropriate statistics for basic research designs used in medicine, and discriminate between appropriate and inappropriate statistical applications for common research designs.Prerequisite:BATS 209A.BATS 209Awith a grade of B- or betterRestriction: Graduate students only."
"Introduction to Clinical Epidemiology","BATS 210A","BATS - Biomed and Translational Sci","Introduces principles and practice of clinical epidemiology and the population-based approach to health and disease.Restriction: Graduate students only."
"Design and Analysis of Clinical Trials","BATS 232","BATS - Biomed and Translational Sci","Presents history, organization and planning, rationale for methods, limits, and ethics in conducting clinical trials.Restriction: Graduate students only."
"Science Communication Skills for Clinical and Translational Scientists","BATS 240","BATS - Biomed and Translational Sci","Designed to train clinical and translational researchers to communicate their research effectively to expert audiences and community members, and creates opportunities for training in scientific writing, presenting scientific talks, or doing job interviews. Recommended elective for all MS-BATS students.Restriction: Graduate students only."
"Comparative Effectiveness Research ","BATS 245A","BATS - Biomed and Translational Sci","Provides a comprehensive overview of comparative effectiveness research (CER) with in-depth methodologic clinical practice and policy/dissemination issues related to the conduct, interpretation, and clinical applications of CER.Restriction: Graduate students only."
"Measurement Science, Outcomes Research, and Advanced Applied Methods","BATS 247","BATS - Biomed and Translational Sci","Furthers the understanding of methodologic issues involved in the conducting of comparative effectiveness research (CER). Topics include risk adjustment, balancing observational study designs, use of outcomes from multiple data sources, innovations clinical trial designs, the conduct of meta-analysis, psychometric methods.Restriction: Graduate students only."
"Quality Efficiency and Cost Effectiveness","BATS 251","BATS - Biomed and Translational Sci","Introduces the principles and practice of quality of care, patient safety, and patient experience research, along with major national and statewide policy and legislative initiatives related to quality of care and patient safety.Restriction: Graduate students only."
"Disparities in Health and Health Care","BATS 253","BATS - Biomed and Translational Sci","Reviews all aspects of culture that influence health status, development of public health policy, and management and practice of health care. Explores how race and ethnicity affect health and health care, including health care services and policies governing these services.Restriction: Graduate students only."
"Health Politics and Policy","BATS 255","BATS - Biomed and Translational Sci","Offers political and analytical insights into understanding U.S. health policymaking and developing strategies that influence health policy outcomes.Restriction: Graduate students only."
"Biomedical and Translational Science Seminar","BATS 280","BATS - Biomed and Translational Sci",""
"Master's Thesis Research and Writing","BATS 295","BATS - Biomed and Translational Sci",""
"Ethics in Clinical Research","BATS 296","BATS - Biomed and Translational Sci","Covers major frameworks and concepts of ethics in public health research as well as human subject protection issues.Restriction: Graduate students only."
"Independent Directed Research","BATS 299","BATS - Biomed and Translational Sci",""
"Research in Anatomy","ANATOMY 200","ANATOMY - Anatomy and Neurobiology",""
"Research in Anatomy and Neurobiology for First-Year Students","ANATOMY 200R","ANATOMY - Anatomy and Neurobiology",""
"Human Gross Anatomy","ANATOMY 201","ANATOMY - Anatomy and Neurobiology","Study and dissection of the human body, including muscular, skeletal, nervous, and cardiovascular systems. Emphasis on both normal and abnormal structure and function.Restriction: Graduate students only."
"Human Neuroscience","ANATOMY 202B","ANATOMY - Anatomy and Neurobiology","Study of the human nervous system at the systems level including the physiology and anatomy of sensory, motor, and integrative functions.Prerequisite: ANATOMY 202A. ANATOMY 202A with a grade of B- or better"
"Human Microscopoic Anatomy","ANATOMY 203A","ANATOMY - Anatomy and Neurobiology","Lecture and laboratory course on human microscopic anatomy. Emphasis is on functional implications of structure of cells and tissues.Restriction: Graduate students only."
"Human Microscopoic Anatomy","ANATOMY 203B","ANATOMY - Anatomy and Neurobiology","Lecture and laboratory course on human microscopic anatomy. Emphasis is on functional implications of structure of cells and tissues.Prerequisite:ANATOMY 203A.ANATOMY 203Awith a grade of B- or betterRestriction: Graduate students only."
"Tutorial in Anatomy","ANATOMY 206","ANATOMY - Anatomy and Neurobiology",""
"Neuroanatomy","ANATOMY 206B","ANATOMY - Anatomy and Neurobiology",""
"Tutorial in Microanatomy","ANATOMY 206C","ANATOMY - Anatomy and Neurobiology",""
"Systems Neuroscience","ANATOMY 210A","ANATOMY - Anatomy and Neurobiology",""
"Epilepsy as a Window to Mechanisms of Neuronal Plasticity","ANATOMY 215","ANATOMY - Anatomy and Neurobiology","Understanding the mechanisms of brain disorders provides novel insights into the normal function of neurons and circuits. Discusses approaches to studying mechanisms of brain function ranging from imaging, the use of models and others to study epilepsy.Grading Option: Satisfactory/unsatisfactory only."
"Current Topics in Neuroscience","ANATOMY 227A","ANATOMY - Anatomy and Neurobiology",""
"Current Topics in Neuroscience","ANATOMY 227B","ANATOMY - Anatomy and Neurobiology",""
"Current Topics in Neuroscience","ANATOMY 227C","ANATOMY - Anatomy and Neurobiology",""
"Topics in Translational Neuroscience","ANATOMY 230","ANATOMY - Anatomy and Neurobiology","One-hour seminar presentation by participating faculty or guest lecturer and open to the science community, followed by one-hour student discussion of the lecture topic or related topic. Students are responsible for presentations and readings.Repeatability: May be taken for credit 2 times as topics vary.Restriction: Graduate students only. Interdepartmental Neuroscience Majors have first consideration for enrollment."
"Molecular, Cellular, &amp; Developmental Neurobiology","ANATOMY 230A","ANATOMY - Anatomy and Neurobiology","Molecular aspects of the structure and function of neurons and glia including neurotransmission, synaptic modulation, and channels.  Neural development at the cellular and molecular level including neurogenesis, pattern formation, trophic factors, axonal growth, and synaptic rearrangement.Restriction: Graduate students only."
"Topics in Neural Circuit Mapping","ANATOMY 292A","ANATOMY - Anatomy and Neurobiology",""
"Scientific Communication","ANATOMY 292B","ANATOMY - Anatomy and Neurobiology",""
"Scientific Communication","ANATOMY 292C","ANATOMY - Anatomy and Neurobiology",""
"Political Economy: Methods and Critique","CLT&THY 200A","CLT&THY - Culture and Theory","Introduction to canonical texts in Marxism coupled with an examination of the questions of race, gender, ethnicity, and sexuality that distend the calculus of the canon’s assumptive logic. May be taken afterCLT&THY 200B.Same asCRITISM 200A.Restriction: Graduate students only."
"Libidinal Economy: Methods and Critique","CLT&THY 200B","CLT&THY - Culture and Theory","Introduction to canonical texts in psychoanalysis coupled with an examination of the questions of race, gender, ethnicity, and sexuality that distend the calculus of the canon’s assumptive logic. May be taken beforeCLT&THY 200A.Restriction: Graduate students only."
"Theory from Below","CLT&THY 200C","CLT&THY - Culture and Theory","Introduction to systems of thought understudied or undervalued in academic canons; for instance, systems constituted in communities' practices or theories that do not seek permanence or generality.Restriction: Graduate students only."
"Ethics, Erotics, and Will: Gendered Black Politics, Sexualized Racisms, and the Humanities","CLT&THY 241","CLT&THY - Culture and Theory","Introduces doctoral students to an interdisciplinary conversation about black queer sexuality and black heteropatriarchy. Uses disciplinary formations as a tool for understanding knowledge formations about the shifting relations that constitute sexuality, gender, and racial blackness.Restriction: Graduate students only."
"Afro-Pessimism and the Status of the Subject","CLT&THY 242","CLT&THY - Culture and Theory","Afro-Pessimism theorizes the Black as a being against which all other beings become legible as human subjects. Focuses on either the subject of psychoanalysis or the subject of capital accumulation in their explorations of the antagonism between Blackness.Restriction: Graduate students only."
"Independent Study","CLT&THY 280","CLT&THY - Culture and Theory",""
"Topics in Culture and Theory","CLT&THY 289","CLT&THY - Culture and Theory","Seminars on various topics in Culture and Theory.Repeatability: Unlimited as topics vary."
"Directed Reading","CLT&THY 298","CLT&THY - Culture and Theory",""
"Dissertation Research","CLT&THY 299","CLT&THY - Culture and Theory",""
"Foundations of Business Analytics","BANA 200","BANA - Business Analytics","Provides overview of the field of business analytics, and the theory and practice underpinnings of the three MSBA curricular tracks: Data Analytics, Marketing Analytics, and Operations Analytics. Provides students with a working knowledge of the R programming language.Restriction: Graduate students only. Business Analytics Majors only."
"Statistics for Data Science","BANA 201A","BANA - Business Analytics","Methods of statistical inference, emphasizing applications to administrative and management decision problems. Topics include classical estimation and hypothesis testing, regression, correlation, analysis of variance, decision analysis, and forecasting.Restriction: Graduate students only. Business Analytics Majors only."
"Management Science for Analytics","BANA 201B","BANA - Business Analytics","An introduction to computer-based models for decision making. Topics include optimization (linear programming, integer programming, network flow models) and computer simulation. Uses spreadsheets extensively, including Excel built-in and add-in packages.Restriction: Graduate students only. Business Analytics Majors only."
"Foundations of Marketing","BANA 205","BANA - Business Analytics","Introduction to the field of marketing. Objectives include developing familiarity with fundamental concepts, theories, and techniques in marketing, and acquainting students with the type of decisions made by marketing managers, including customer targeting, product, pricing, distribution, promotion, and research.Restriction: Graduate students only. Business Analytics Majors only."
"Operations Analytics","BANA 208","BANA - Business Analytics","Introduction to strategic and tactical issues in production and operations management. A blend of quantitative and qualitative considerations. Topics include product planning, process design, capacity management, production planning, inventory control, distribution management, just-in-time manufacturing, quality management.Restriction: Graduate students only. Business Analytics Majors only."
"MSBA ProSeminar","BANA 211","BANA - Business Analytics",""
"Data and Programming for Analytics","BANA 212","BANA - Business Analytics","Challenges and teaches students how to handle data, from initial data acquisition to final data analysis. Provides students with a working knowledge of the Python programming language.Prerequisite: Basic familiarity with programming is recommended.Restriction: Graduate students only. Business Analytics Majors only."
"Business Analytics Internship","BANA 241","BANA - Business Analytics",""
"Marketing Analytics","BANA 271","BANA - Business Analytics","Introduces students to quantitative marketing analytics methods and teaches them how to apply the methods to business problems of interest. Topics include: resource allocation and ROI, marketing mix analytics, customer analytics, market segmentation and targeting, advertising, promotions, and digital marketing.Restriction: Graduate students only."
"Machine Learning for Analytics","BANA 273","BANA - Business Analytics","Introduces methods to mine data repositories for business intelligence to facilitate analytical decision-making. Topics include clustering for market segmentation, association rules to discover relationships between different purchase decisions, and  Naive-Bayes classification techniques for decision making using decision-trees.Restriction: Graduate students only. Business Analytics Majors only."
"Deep Learning and Applications","BANA 274","BANA - Business Analytics","Provides students with an understanding of specific topics in machine learning including networks and deep learning, improving neural networks, structuring deep learning projects, and convolutional neural networks.Restriction: Graduate students only. Business Analytics Majors only."
"Natural Language Processing and Applications","BANA 275","BANA - Business Analytics","Focuses on providing students knowledge of advanced techniques for data analytics. Students deepen their understanding of topics including: dimension reduction, text mining and topic modeling, sentiment analysis, collaborative filtering, and causal estimation.Restriction: Graduate students only."
"Customer and Social Analytics","BANA 277","BANA - Business Analytics","Examines how business managers can leverage Web 2.0 and social media analytics to create value for their organizations and customers. Topics include digital and social strategies; Web and search analytics; display and mobile advertising; social networks and influence; social media.Restriction: Graduate students only."
"Business Data Management","BANA 279","BANA - Business Analytics","Provides essential knowledge for business managers to store and utilize data effectively. Aims to introduce the core concepts in databases, data warehouses, and big data on cloud. Offers an in-depth understanding of each technology’s core concepts with hands-on programming.Restriction: Graduate students only. Business Analytics Majors only."
"Supply Chain Analytics","BANA 285","BANA - Business Analytics","Introduces students to the tools and strategies to effectively match supply and demand. Focuses on the coordination of material and information flows in supply chains. Recent innovations are also discussed, including globalization, the impact of electronic commerce, and sustainability issues.Restriction: Graduate students only. Business Analytics Majors only."
"The Art and Science of Applied Forecast Modeling","BANA 287","BANA - Business Analytics","Covers core and advanced techniques of forecasting. Emphasizes the innovation required to develop accurate models, inspires the need to break rules, leverages ideation needed to discover data sources and engineer variables, and seeks ways to build new models.Restriction: Graduate students only. Business Analytics Majors only."
"Predictive Analytics","BANA 288","BANA - Business Analytics","Deals with predicting entities (forecasting) and predicting membership of known groups (classification). Blends methodologies of forecasting and data mining, focusing on multiple regression, logistic regression, neural nets, ARIMA, discriminate analysis, and k-nearest neighbors, and applying these methods to managerial problems/decision-making.Restriction: Graduate students only."
"Special Topics in Business Analytics","BANA 290","BANA - Business Analytics","Studies in selected areas of business analytics. Topics addressed vary each quarter.Repeatability: Unlimited as topics vary.Restriction: Graduate students only."
"Big Data Management Systems","BANA 295","BANA - Business Analytics","Provides an introductory-level overview to the emerging technologies in database systems. Students gain critical insight into big data challenges, the choices of different systems and technologies available, relative advantages/disadvantages, and unique aspects of different systems.Restriction: Graduate students only."
"Business Analytics Capstone Prep","BANA 298A","BANA - Business Analytics","Prep course for the required capstone project. Students apply the knowledge and methods acquired through the program’s coursework to an applied business analytics problem. Requirements include project selection, submission of project plan, and data collection/analysis.Restriction: Graduate students only. Business Analytics Majors only."
"Business Analytics Capstone Project","BANA 298B","BANA - Business Analytics","Continuation of the capstone project. Students apply the knowledge and methods acquired through the coursework in the program to an applied business analytics problem. Work includes data analysis, completed research paper, and final presentation.Prerequisite:BANA 298A.BANA 298Awith a grade of B- or betterRestriction: Graduate students only. Business Analytics Majors only."
"Individual Study","BANA 299","BANA - Business Analytics",""
"Modern African American Art","AFAM 111A","AFAM - African American Studies","Investigates the history of modern African American art; emphasis on the politics of representation. Examines art in a variety of media from material culture and textiles to painting and photography. Issues of migration, nationalism, gender, sexuality, and hybridity are discussed.Same asAHIS 164A."
"Contemporary African American Art","AFAM 111B","AFAM - African American Studies","Investigates the history of contemporary African American art; emphasis on the politics of representation. Explores art in a variety of media: painting, sculpture, photography, installation, and new media. Cultural politics, appropriation, identity, gender, sexuality, hybridity and civil rights issues discussed.Same asAHIS 164B."
"Early African American Literature","AFAM 112A","AFAM - African American Studies","Examines the earliest forms of black literary practices, including the jeremiad, the slave narrative, the pamphlet, poetry, the short story, and how these literary forms are related to the historical experiences of enslavement and emancipation.Repeatability: Unlimited as topics vary."
"African American Literature 1900-Present","AFAM 112B","AFAM - African American Studies","Examines individual literary forms and/or authors, as well as movements such as the Harlem Renaissance and the Black Arts Movement. Explores how black literary practices represent the conditions of modern subjectivities and environments.Repeatability: Unlimited as topics vary."
"African American Cinema and Media","AFAM 113","AFAM - African American Studies","Explores the diversity of Black creative production and the historical, social, and economic forces that shaped their emergence. May include Black film, hip-hop culture, fine art, photography, and others.Repeatability: Unlimited as topics vary."
"International Cultures","AFAM 114","AFAM - African American Studies","Explores the various cultures of the African diaspora and their impacts on a global scale. Examines a diverse range of media, including music (reggae, hip-hop), literature, film, and others and the links between culture and social movements throughout the diaspora.Repeatability: Unlimited as topics vary."
"Race and Visual Representation","AFAM 115","AFAM - African American Studies","Examines film, documentary, fine art, photography, and other visual media to explore the multiple ways in which ideas about race are projected and woven through the visual landscape and the impacts this has on perpetuating social inequalities.Repeatability: Unlimited as topics vary."
"Topics in African American Humanities","AFAM 118","AFAM - African American Studies","Provides students with an opportunity to pursue advanced work in African American studies from one or more humanities approaches (literature, film and media studies, art history, and others).Repeatability: Unlimited as topics vary."
"African American Women in Art","AFAM 125","AFAM - African American Studies","Examines depictions of and by African American women in art and popular culture through a variety of media including textiles, painting, sculpture, photography, and installation. Focuses on African American women's experiences, perspectives, and strategies for contemporary representation.Same asAHIS 164D."
"Topics in Gender/Sexuality","AFAM 128","AFAM - African American Studies","Expressions of genders and sexualities across the spectrum of African American experience and creativity.Repeatability: Unlimited as topics vary."
"Caribbean History: Colonization to Emancipation","AFAM 134A","AFAM - African American Studies","Exploration of the history of the archipelago from pre-Columbian times to the end of slavery; examining the impact of European colonization, decimation of the indigenous populations, African slavery, resistance, and emancipation; the unity and diversity of experience in region.Same asHIST 164A."
"Caribbean History: Emancipation to Independence","AFAM 134B","AFAM - African American Studies","Post-emancipation and anti-colonial struggles ending with political independence for most of the region. Examines social, political, economic, cultural dimensions of post-emancipation period, including large-scale migration to Central America, the U.S., and Britain; the region's global cultural and political contribution.Same asHIST 164B."
"History of the African Diaspora","AFAM 137","AFAM - African American Studies","Examines the causes and consequences of the multiple diasporas of African peoples since the sixteenth century in the Atlantic world, especially the Americas and Europe.Same asHIST 134E."
"Topics in African American History","AFAM 138","AFAM - African American Studies","Studies in selected areas of African American history.  Topics addressed vary each quarter.Repeatability: Unlimited as topics vary.Same asHIST 150."
"Topics in African American Music","AFAM 143","AFAM - African American Studies","Examines African American musical forms and traditions, such as blues, jazz, and reggae, in performance and/or critical and theoretical contexts.Repeatability: Unlimited as topics vary."
"Topics in Expressive Forms","AFAM 144","AFAM - African American Studies","Examines various forms of aesthetic expression in the African diaspora, including dance, music, and the plastic arts, as well as artistic visions of black cyberspace, digital activism, film, video, and aesthetic conceptions of the future.Repeatability: Unlimited as topics vary."
"African Americans and Photography","AFAM 145","AFAM - African American Studies","Explores depictions of and by African Americans through photography. Examines the history of photography in relationship to African American culture through a variety of media from early daguerreotype processes to digital imagery.Same asAHIS 164E."
"Comparative Minority Politics","AFAM 151","AFAM - African American Studies","Examines the political experiences of Blacks, Latinos, and Asian Americans in the United States from roughly 1950 to the present. Focuses on how each group has pursued political empowerment via both conventional political channels and social movements.Same asASAM 132,CHLT 147,PLSC 124C."
"African American Politics","AFAM 152","AFAM - African American Studies","Examines politics of African Americans in order to gain a broader perspective of the American political process. Major developments in African American politics (including the civil rights movement, Black presidential bids), continuing problem of racism, responsiveness of key governing institutions.Same asPLSC 124E."
"African American Psychology","AFAM 153","AFAM - African American Studies","Historical overview of the development of black psychology and the African American frame of reference. Topics include personality development, psychological assessment, issues in education, black mental health, and the role of the African American psychologist in the community.Same asPSYC 174E."
"African American Social Formations","AFAM 154","AFAM - African American Studies","Topics which promote critical investigation into the historical, political, and social formations associated with the Black Diaspora.Repeatability: Unlimited as topics vary."
"Intercultural Studies","AFAM 155","AFAM - African American Studies","Studies relationships between various cultural formations within the Black Diaspora and the exchange, amalgamations, and tensions between Black Diasporic formations and non-Black formations. Examines expressions of racialization as representation, adaption, and resistance.Repeatability: Unlimited as topics vary."
