"code","level","title","credits","description"
"EDLF 399R","","Academic Internship",9.0,"On-the-job experience and training under the guidance of a mentor."
"TMA 399R","","Academic Internship",9.0,"Off-campus experience or internship in theatre or media arts."
"NDFS 399R","","Academic Internship",9.0,"Off-campus work experience sponsored by industrial, government, or academic institutions."
"MFGEN 399R","","Academic Internship",3.0,"Working in teams to solve problems encountered in industry. Project management and reporting under guidance of industry supervisor and department faculty."
"PSYCH 399R","","Academic Internship",9.0,"Supervised professional experiences linking academic learning with experience in the field of psychology."
"AM ST 399R","No","Academic Internship",6.0,"Examining the American experience from a variety of standpoints.  Honing skills in writing; literary criticism; historical research; and social, political, and economic analysis."
"SFL 399R","","Academic Internship",9.0,"Supervised professional experiences linking academic learning with experience in the field."
"TMA 599R","","Academic Internship",9.0,"Off-campus experience or internship in theatre or media arts."
"TMA 688R","","Academic Internship",9.0,"Off-campus experience or internship in theatre or media arts."
"IP&T 599R","","Academic Internship",6.0,"Practicing skills learned and receiving evaluation and feedback from internship sponsors."
"LFSCI 399R","","Academic Internship",6.0,"Approved experiential learning."
"SWED 399R","","Academic Internship",3.0,"On-the-job experience in Swedish."
"POLI 399R","No","Academic Internship",9.0,"Work-study on the international, national, state, and local level."
"IHUM 399R","","Academic Internship",9.0,"Combined study-work experience related to the humanities major (museums, government agencies, publishing firms, etc.)."
"PHSCS 399R","No","Academic Internship",9.0,"Research experience in an industrial, academic, or government laboratory, reported to a BYU faculty member."
"ECON 199R","No","Academic Internship",3.0,"Internship to apply economic analysis."
"GEOL 399R","No","Academic Internship",9.0,""
"TMA 496R","","Academic Internship",12.0,"Off-campus experience or internship in theatre or media arts."
"SOC 399R","No","Academic Internship",6.0,"Individualized work or volunteer experience in either a research setting or some kind of field placement with an organization."
"MSB 199R","No","Academic Internship",3.0,"Supervised experience for Pre-Business students in business related work. Opportunity to link learning with practical field applications."
"KOREA 399R","","Academic Internship",9.0,"On-the-job cultural and language experience."
"MATH 399R","No","Academic Internship",9.0,"On-the-job experience."
"ECE 496R","","Academic Internship",12.0,"A full-year classroom teaching internship in the public schools."
"STDEV 199R","","Academic Internship",3.0,"Work experience evaluated by supervisor and faculty mentor and posted on transcript."
"TMA 199R","","Academic Internship",3.0,"Off-campus experience or internship in theatre and media arts."
"ARTHC 599R","","Academic Internship",8.0,"Professional museum experience with a curatorial mentor."
"RUSS 199R","","Academic Internship",3.0,"On-the-job experience evaluated by supervisor and posted on student's transcript. Report required"
"PWS 199R","No","Academic Internship",3.0,"Work experience evaluated by supervisor and posted on student's transcript."
"COMMS 496R","No","Academic Internship",6.0,"Professional field experience."
"COMMS 399R","","Academic Internship",1.0,"Professional field experience."
"ENGL 599R","","Academic Internship",9.0,"On-the-job training."
"MUSIC 399R","","Academic Internship",6.0,"Internship or externship in creative, performing, producing, or teaching applications of major course work."
"TES 496","","Academic Internship",12.0,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required."
"PHSCS 599R","Yes","Academic Internship",9.0,"Cooperative education internships off campus."
"EL ED 496R","No","Academic Internship",12.0,"A full-year classroom teaching internship in the public schools."
"EC EN 199R","","Academic Internship",3.0,"Work experience evaluated by supervisor and posted on student's transcript."
"BIO 399R","","Academic Internship",6.0,"This course provides credit for students engaged in internship opportunities within the university or with research or industry groups outside of the university. Students will gain practical skills through mentored experiences in authentic environments."
"P POL 599R","","Academic Internship",9.0,"Internship with an organization conducting policy analysis."
"NORWE 399R","","Academic Internship",3.0,"On-the-job experience in Norwegian."
"ICLND 399R","","Academic Internship",3.0,"On-the-job experience in Icelandic."
"GEOL 599R","Yes","Academic Internship",9.0,""
"TES 399R","","Academic Internship",3.0,"Work experience in technical and/or teaching environment.  Internship will be supervised by employer and program internship coordinator.  Formal technical report required."
"SCAND 399R","No","Academic Internship",9.0,""
"CPSE 688R","","Academic Internship",3.0,"Practical experience in a public school setting."
"RUSS 399R","","Academic Internship",9.0,"On-the-job experience in Russian-related areas. Report required."
"C S 199R","No","Academic Internship",3.0,"Internships or cooperative education experiences with organizations outside BYU."
"GEOG 399R","","Academic Internship",6.0,"On-the-job experience."
"TMA 299R","","Academic Internship",9.0,"Off-campus experience or internship in theatre or media arts."
"JAPAN 599R","","Academic Internship",9.0,"On-the-job cultural and/or language experience."
"CHIN 599R","","Academic Internship",9.0,"On-the-job cultural and/or language experience."
"DANSH 399R","No","Academic Internship",3.0,"On-the-job experience in Danish."
"CHIN 399R","","Academic Internship",9.0,"On-the-job cultural and/or language experience."
"POLI 599R","Yes","Academic Internship",9.0,"Internships for master's candidates."
"MSB 496R","","Academic Internship",3.0,"Supervised experience for business majors either in business-related work. Opportunity to link learning with practical field applications."
"PETE 496R","","Academic Internship--Phys Educ",12.0,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards.  Seminar required."
"NDFS 399R","","Acad Internship in Dietetics",9.0,"Off-campus work experience sponsored by industrial, government, or academic institutions."
"NDFS 399R","","Acad Internship in Food Sci",9.0,"Off-campus work experience sponsored by industrial, government, or academic institutions."
"NURS 399R","No","Academic Internship",4.0,"Work experience evaluated by supervisor and posted on student's transcript."
"NDFS 399R","","Acad Internship: Nutritnl Sci",9.0,"On- or off-campus work experience sponsored by industrial, government, or academic institutions."
"CH EN 496","No","Academic Internship Thesis",3.0,"Experiential learning in complex problem solving through an industrial internship or co-op.  Thesis writing."
"PSYCH 496R","No","Academic Internship, Capstone",3.0,"An academic internship for those who are fulfilling their capstone requirement in their senior year."
"SC ED 496R","","Academic Internship--Biol Sci",12.0,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards.  Seminar required."
"ELING 399R","No","Academic Internship",9.0,"On-the-job experience and education related to editing and English language studies."
"SC ED 496R","","Academic Internship--English",12.0,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards.  Seminar required."
"LING 299R","No","Academic Internship",9.0,"Students with focused training teach specific English skills to speakers of other languages in the U.S. or abroad."
"GERM 496R","","Academic Internship: Germ Tchg",12.0,"Capstone, field-based, year-long, full-time experience in teaching secondary students; demonstrating proficiency in all program standards.  Seminar required."
"IT&C 199R","","Academic Internship",3.0,"Work experience evaluated by supervisor and posted on student's transcript."
"IT&C 399R","","Academic Internship",3.0,"Experience in industrial environment.  Approved job function supervised by employer and Information Technology & Cybersecurity advisor.  Formal technical report required."
"SC ED 496R","","Academic Internship--Math",12.0,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards.  Seminar required."
"TMA 599R","","Academic Internship: Media",9.0,"Off-campus experience or internship in media arts."
"TMA 496R","","Academic Internship: Media",9.0,"Off-campus experience or internship in media arts."
"ACC 599R","","Academic Internship",3.0,"On-the-job experience and training in industry, government, or public accounting firms."
"DANCE 399R","","Academic Internship: Ballroom",4.0,"Internship in Ballroom Dance."
"CELL 399R","","Academic Internship",9.0,"On-the-job experience in off-campus laboratories with a focus related to cell biology or physiology."
"CHEM 496R","No","Academic Internship",6.0,"Research experience in an industrial, academic, or government laboratory in collaboration with a BYU faculty colleague/supervisor."
"PETE 399R","","Academic Internship: Coaching",4.0,"On-the-job experience in coaching."
"DANCE 399R","","Academic Internship: Dance BFA",4.0,"Off-campus dance internship for Dance BFA students."
"DANCE 399R","","Academic Internship: Dance Ed",4.0,"Public school K-6 internship for Dance Education majors, including Arts Bridge or other pre-approved placement."
"HLTH 496R","No","Academic Internship: EH/OH",9.0,"Application of professional competencies in the field of Environmental and Occupational Health. During the internship, students will obtain experience as proctored by an approved internship supervisor. Performance will be assessed through an internship report and internship supervisor rating."
"HLTH 496R","No","Academic Intern: EPI",9.0,"Public Health Internship for Epidemiology"
"SFL 496R","","Secondary Teaching Internship",12.0,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required. "
"HIST 496R","","Acad Internship: Family Hist",6.0,"Work-study involving family, local, and/or social history at one or more archives, libraries, publishers, data providers, or research organizations on the international, national, state, or local level, under supervision of a professional genealogist, historian, archivist, or librarian."
"ANTHR 696R","Yes","Academic Internship",6.0,"Earning credit while employed in federal agency archaeology (BLM, U.S. Forest Service, etc.); or 320 hours in collections-holding institution (sixteen weeks half-time; eight weeks full-time). "
"FREN 399R","","Academic Internship",6.0,"On-the-job experience in French."
"FREN 599R","","Academic Internship",3.0,"On-the-job experience in French; research paper analyzing the experience and other requirements as graduate coordinator sees fit."
"DANCE 399R","","Academic Intrnshp: Gen'l Dance",4.0,"Academic Internship in dance. Application and faculty pre-approval required."
"GERM 399R","","Academic Internship",9.0,"On-the-job ten-week summer language experience in German-speaking countries. Report required."
"HLTH 496R","No","Academic Internship: Hlth Prom",9.0,"Senior culminating internship experience for students in the Health Promotion Emphasis."
"HLTH 496R","No","Academic Internship: Hlth Sci",9.0,"Experiential learning within a public health, primary care/health care, health services, or health policy setting in addressing the social determinants of health. During the internship, students will obtain experience as proctored by an approved internship supervisor. Performance will be assessed through an internship report and internship supervisor rating."
"HIST 496R","","Acad Internship--HT and SST",12.0,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required."
"IS 199R","","Academic Internship",3.0,"Approved on-the-job experience. Applying classroom theory and technology to actual problems; exploring career opportunities; learning role of information systems in business environment."
"IS 599R","","Academic Internship",3.0,"Approved on-the-job experience. Applying classroom theory and technology to actual problems; exploring career opportunities; learning role of information systems in business environment."
"IR 399R","","Academic Internship",12.0,"Individualized work or volunteer experience in an international setting."
"ME EN 199R","No","Academic Internship",0.5,"Credit is given for the documentation of work done during during an internship that is approved and provides practical experience in Mechanical Engineering."
"ITAL 399R","","Academic Internship",6.0,"On-the-job experience in Italian."
"AEROS 399R","","Academic Internship",4.0,"Air Force ROTC field leadership training course.  Provides advanced fundamentals of military leadership, planning, organizing, and team building at various levels of responsibility. "
"LINGC 496R","","Academic Internship",3.0,"On-the-job experience in publishing production (print or electronic), courseware/software development, museum/collection/textbase management, language/linguistics research, or other application of linguistic computing."
"LING 399R","","Academic Internship: Ling",9.0,"On-the-job experience and education related to linguistics."
"LING 599R","","Academic Internship",9.0,"On-the-job experience under faculty supervision, with department approval."
"TMA 299R","","Academic Internship: Media",9.0,"Off-campus experience or internship in media arts."
"TMA 199R","","Academic Internship: Media",3.0,"Off-campus experience or internship in media arts."
"TMA 399R","","Academic Internship: Media",9.0,"Off-campus experience or internship in media arts."
"ARTHC 496R","","Academic Internship",3.0,"On-the-job experience."
"SC ED 496R","","Academic Internship--Phys Sci",12.0,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards.  Seminar required."
"PORT 599R","","Academic Internship",3.0,""
"PORT 399R","","Academic Internship",6.0,"On-the-job experience."
"TRM 199R","","Academic Internship",3.0,"Internship or cooperative education experience evaluated by supervisor and posted on student's transcript."
"EXDM 199R","","Academic Internship",3.0,"Internship or cooperative education experience evaluated by supervisor and posted on student's transcript."
"ART 496R","No","Academic Internship",6.0,""
"DES 496R","","Academic Internship",6.0,"Work experience in professional design studio evaluated by supervisor."
"ANTHR 496R","","Academic Internship",3.0,"Field or library research."
"FREN 496R","No","Academic Internship",12.0,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards."
"ARTED 496R","No","Art Education Internship",12.0,"Capstone, field-based, year-long experience in teaching elementary or secondary students; demonstrating proficiency in all program standards. Seminar required."
"PHY S 496","No","Acad Intern: Secondary Ed",12.0,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required."
"SC ED 496R","","Academic Internship",12.0,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards.  Seminar required."
"MTHED 496","No","Academic Internship - Math",12.0,"Capstone, field-based, semester-long experience in teaching mathematics to secondary students; demonstrating proficiency in all program standards. Seminar required."
"SPAN 599R","","Academic Internship",3.0,""
"SPAN 399R","","Academic Internship",6.0,"On-the-job experience."
"CPSE 496R","","Academic Internship: Spec Ed",12.0,"Culminating experience in the licensure program teaching students with disabilities in a school setting full-time for one academic year."
"STAT 599R","Yes","Academic Internship",9.0,"On-the-job experience. Report required."
"STAT 496R","No","Academic Internship",9.0,"On-the-job experience or internships for undergraduates. Report is required."
"ECON 599R","","Academic Internship",6.0,""
"LING 688R","","Academic Internship: TESOL",9.0,"Supervised field experience involving English language teaching, testing, or materials development in an approved domestic or international setting."
"TMA 199R","","Academic Internship: Theatre",3.0,"Off-campus experience or internship in theatre."
"TMA 299R","","Academic Internship: Theatre",9.0,"Off-campus experience or internship in theatre arts."
"TMA 399R","","Academic Internship: Theatre",9.0,"Off-campus experience or internship in theatre."
"TMA 599R","","Academic Internship: Theatre",9.0,"Off-campus experience or internship in theatre."
"TMA 496R","","Academic Internship: Theatre",12.0,"Off-campus experience or internship in theatre."
"T ED 624","Yes","Academic Writing",3.0,"This course is a writing seminar designed to help students learn to prepare for and write a master’s thesis AND to become better academic writers overall.  Academic writing can be a new form of writing for many students and they need assistance in order to successfully express their ideas in academic settings.
This course will emphasize a variety of topics including how to write a research question, how to write a problem statement and rationale for a study, how to craft a purpose for the study, how to conduct, synthesize, and write a review of the literature, how to use APA formatting appropriately to improve academic writing skills. "
"ESL 304","","Academic Writing",3.0,"Learning how to write essays, reports, and research papers acceptable in an American university"
"CL CV 399R","","Academic Internship",9.0,"Combined study-work experience related to classical studies majors (museums, libraries, international universities and centers, publishers, etc.)."
"DANCE","No","Accelerated Street Dance",2.0,"Studio course facilitating accelerated skills, freestyle movement, and surveying of various street dance and hip hop traditions including breaking, poppin, lockin, and party dances. These skills will be addressed mainly through physical practice in class and includes readings, viewings, listening, and an off-campus community event to understand the cultural context of hip hop dance. Classes will perform tasks and battle in each evaluation, as well as in the final exam."
"DANCE 345","No","Accelerated Street Dance",1.5,"Studio course facilitating accelerated skills, freestyle movement, and surveying of various street dance and hip hop traditions including breaking, poppin, lockin, and party dances. These skills will be addressed mainly through physical practice in class and includes readings, viewings, listening, and an off-campus community event to understand the cultural context of hip hop dance. Classes will perform tasks and battle in each evaluation, as well as in the final exam.\n"
"COMMS 309","","Account Planning Mgmt",3.0,"Development and execution of comprehensive strategic advertising qualitative research, including data collecting, interpretation, field investigating, audience analysis, and strategy development."
"LAW 612","","Accounting for Lawyers",3.0,"This course teaches generally accepted accounting principles, practices, and standards. Includes information about accrual accounting and revenue recognition, double-entry record keeping, development of accounting principles and auditing standards, the time value of money, financial statement analysis, and contingencies. Intended for law students who do not have an accounting background. Students who have a substantial background in accounting or who have recently taken an introductory accounting class are ineligible to take or receive credit for this course."
"ACC 515","","Accounting Research Seminar",3.0,"Professional standards and professional literature of accounting and auditing; related academic research.  Research tools, information technologies, and critical analysis emphasized."
"ACC 558","Yes","Accounting Technology Hub",3.0,"Develop and post technology challenges on TechHub.training, focusing on essential accounting tools such as Excel, Alteryx, and Tableau. Engage in peer mentoring, enhance technical writing, communication skills, and website design for a global audience."
"PHSCS 560","Yes","Acoustical Measurement Methods",3.0,"Acoustics-based data acquisition and signal processing in the time and frequency-domain domains. Use of acoustical measurement standards. Preparation of technical memoranda."
"G E 106","","ACT Math",3.0,"Not a valid course. Only to be used to apply credits to General Education requirements."
"TMA 128","","Acting 1: BFA or Pre-BFA",3.0,"Accelerated fundamental acting skills:  exercises in perception, objective/action, thought processes, scoring of scripts.  Lab required."
"TMA 228","","Acting 2",3.0,"Integrating acting skills; building a character through exercises and scene work."
"TMA 410","","Acting Capstone",3.0,"Participation in a final acting project on the BYU main-stage season."
"TMA 324","","Acting Classics",3.0,"Acting skills helpful in classical literature, emphasizing Shakespearean scansion and text analysis."
"TMA 227","","Acting Explorations",3.0,"Exploration into various Western acting techniques, styles, and practices to provide further acting experiences as part of a liberal arts education."
"TMA 224","","Acting for Film & TV",3.0,"On-camera techniques for features, sitcoms, industrials, and commercials."
"TMA 123","No","Acting Fundamentals",2.0,"Fundamental acting skills: exercises in perception, objective/action, thought processes, scoring of scripts. Lab required."
"TMA 223","","Acting Improvisation",2.0,"Discovery of emotion, thought process, and impulse through improvisation."
"TMA 355","","Acting Pedagogy",2.0,"Students will become perceptive, inquisitive, practical theatre artists and educators by researching, performing, and teaching diverse acting pedagogies.\n"
"TMA 428","","Acting Practicum",4.0,"Acting practicum experience focused on acting performance in theatre or media arts."
"T ED 698R","","Action Research Project",6.0,"Developing, observing, gathering, interpreting, and reporting data from action research project. Two project credit hours must be taken during semester of project defense. "
"EC EN 541","","Act/Pass Filter",3.0,"Design methods for electronic filters based on passive components, active components, and integrated circuit components."
"STAT 372","No","Actuarial Problems",1.0,"Applying mathematical statistics in actuarial science. Prepares for SOA Exam P."
"PETE 461","","Adapted/Multicultural PE Tchrs",3.0,"Legal mandates, assessing and identifying special needs students, multicultural issues, and management and instructional techniques."
"MIL S 320","","Adaptive Team Leadership",4.0,"Adaptive leadership skills; demands of leadership in tactical and garrison situations. Cadets have multiple opportunities to lead one another and receive feedback on leadership abilities.  Lab included."
"SFL 400","","Addiction Recovery Healing",3.0,"Addiction, recovery, and healing are examined in marriage and family context; beginning preparation for relationship-oriented addiction recovery counseling careers."
"MFT 649","","Addictions&Violenc",3.0,"Assessment and treatment of multiple-problem family systems, emphasizing addictions and abuse."
"SFL 420","","Admin ECE Program",2.0,"Strategies for planning and administering quality programs in settings for young children. Budgeting, staffing, accrediting, selecting equipment, etc."
"EXSC 423","","Adm of Athletic Training Prog",2.0,"Management and administration of athletic training facilities and staff members."
"LAW 602","","Administrative Law",3.0,"An examination of the administrative process.  The course examines why administrative agencies are created, how they obtain information and the uses of that information, what proceedings (rulemaking/adjudication) agencies can commence, and what controls over agency action (political/judicial) exist.  The role of the attorney in this process is emphasized."
"SC ED 375","","Ad Dev & Class Mgmt",3.0,"Analysis of education practice and the relationship between theories and research on development, classroom management, education and the practice of teaching. Focus on adolescent development and an introduction to classroom management."
"SC ED 350","","Adolescent Development",2.0,"Adolescent development in the context of education.  Focus is on the implications for integrated school culture, curriculum design, instructional practices, and assessment."
"SOC 318","","Adol Dev Fam & Soc",3.0,"Examining developmental and social contexts of adolescents, emphasizing the importance of the family. Other contexts include peers, religion, community, schools, and cross-cultural issues."
"SFL 333","","Adolescent Dev in Fam & Soc",3.0,"Examining the developmental and social contexts of adolescents with emphasis on the importance of the family. Other contexts include peers, religion, community, schools, and cross-cultural issues."
"TEE 630","","Adult Applied Technology Prgms",2.0,"Identifying, developing, and implementing relevant applied technology training programs."
"SFL 334","","Adult Development & Aging",3.0,"Adjustments to physical, emotional, social, and economic changes. Needs arising from changes in family relationships, living arrangements, and employment; retirement planning."
"PSYCH 713","Yes","Adult Neuropsychology",3.0,"Overview of basic concepts and methods in the neuropsychological assessment of adult populations, including recognizing quantitative and qualitative aspects of test performance and behaviors most relevant to diagnosis."
"DESPX 310","No","Adv. 3D Modeling",3.0,"Focus on improving Solidworks and Keyshot software proficiency by understanding software terms, practicing modeling techniques, combining solid modeling with surface modeling, evaluating design intent, and designing for assembly. "
"ESL 301","","Adv Academic English",3.0,"Integrated skills course for nonnative English speakers, primarily focused on academic listening, speaking, and the basic skills needed for success at an American university."
"CH EN695R","Yes","Advanced Academic Internship",2.0,"Work experience evaluated by supervisor and posted on student's transcript."
"ACC 525","Yes","Adv Acc Analytics-Prof",3.0,"Apply an analytic mindset to problems. Learn advanced data analytic tools and techniques including extracting, transforming, and loading data; querying databases; visualizing data; and applying statistical concepts in accounting settings."
"ACC 526","Yes","Adv Acc Analytics-Tax",3.0,"Apply an analytic mindset to problems. Learn advanced data analytic tools and techniques including extracting, transforming, and loading data; querying databases; visualizing data; and applying statistical concepts in accounting settings."
"TMA 424","","Advanced Acting",3.0,"Scene studies in extended realism. Absurdism, American classics, Shaw, Chekhov, etc."
"COMMS 433","","Adv Advertising Concept 3",3.0,"Capstone course in creating consumer advertising concepts, copywriting, design, and layout.  Emphasizes finished portfolios."
"C S 393","No","Adv Algorithms & Probl Solving",3.0,"This course will help students to become better at problem solving, increasing their ability to excel at technical/coding interviews (a challenging part of the hiring/interviewing process).  Students will build on the algorithms and problem-solving strategies that they were taught and had limited practice with in CS 312. learning primarily through targeted practice.  This will result in (1) strengthened skills in each style of problem-solving strategy and (2) the ability to quickly decide which strategy(ies) to apply to a given problem.  Students are expected to spend 6+ hours outside of class each week solving interview-type problems. "
"ASL 301","No","Advanced ASL",3.0,"Fifth in a series of five courses, which aims to increase interpersonal, receptive, and presentational ASL skills at the advanced level in the context of society and culture of the Deaf community."
"LAW 651","","Adv Appellate Adv",3.0,"Written and oral advocacy in the appellate process, including strategy, persuasion techniques, circuit splits, policy argument, standards of review, adverse authority, and counterargument."
"MUSIC 505B","","Advanced Applied Literature",2.0,"Intensification and deeper study of Music 505A materials."
"MUSIC 505B","","Brass Literature",2.0,"Intensification and deeper study of Music 505A materials."
"MUSIC 505B","","Organ Literature",2.0,"Intensification and deeper study of Music 505A materials."
"MUSIC 505B","","Percussion Literature",2.0,"Intensification and deeper study of Music 505A materials."
"MUSIC 505B","","Piano Literature",2.0,"Intensification and deeper study of Music 505A materials."
"MUSIC 505B","","String Literature",2.0,"Intensification and deeper study of Music 505A materials."
"MUSIC 505B","","Vocal Literature",2.0,"Intensification and deeper study of Music 505A materials."
"MUSIC 505B","","Woodwind Literature",2.0,"Intensification and deeper study of Music 505A materials."
"ARAB 426R","","Advanced Arabic Grammar",2.0,"The morphology and syntax of modern Arabic, including advanced vocabulary study. "
"EXSC 514","","Advanced AT Lab",1.0,"Advanced athletic training skills, including taping, bracing and splinting, custom-fitted equipment, massage and stretching techniques, and emergency splinting and transport."
"MMBIO 461","","Advanced Bacterial Physiology",3.0,"Principles of prokaryotic physiology, including cell structure and function, gene regulation, and biochemical processes; focusing on the unique aspects of prokaryotic biology. "
"NEURO 602","Yes","Advanced Behavioral Neurosci",3.0,"Graduate-level principles and contemporary developments in neural science. Structure-function relationships and integration anatomic, systems, behavioral, cognitive, and/or clinical neuroscience."
"CHEM 581","Yes","Adv Biochemical Methodology 1",3.0,"Analytical and structural determination methods used in biochemical research, including mass spectrometry-based proteomics, immunotechniques, atomic force and electron microscopy, NMR and X-ray diffraction."
"CHEM 583","Yes","Adv Biochemical Methodology 2",3.0,"Maintenance and expression of genetic information, the role of nucleic acids in biology at the chemical and structural level, and methods to study and control nucleic acid function as a means of solving biological problems."
"CHEM 584","Yes","Adv Biochemistry Methods 1",3.0,"Introduction to current biochemical research methods, techniques, and instrumentation directed toward the isolation and characterization of DNA, RNA, and proteins including, DNA cloning, protein expression, enzyme kinetics, and nucleic acid and protein ligand interactions."
"CHEM 586","Yes","Adv Biochemistry Methods 2",3.0,"Continued development of expertise in and the application of biochemical research methods, techniques, and instrumentation building on the skills and experience gained in Chem 584 including, the design and carrying out of directed group research projects."
"PSYCH 626","","Adv Biolog Bases of Developmnt",3.0,"An advanced examination of the biological foundations of social, emotional, perceptual, and cognitive development."
"ART 330","","Adv. Bookbinding",3.0,"This course will instruct students in advanced techniques for bookbinding as well as engaging with the creative, contextual, and content-oriented possibilities of the medium. "
"MBA 660","","Advanced Brand Strategy",3.0,"Strategic market analysis and development and implementation of a strategic marketing plan for a new product, new business, or an ongoing operation."
"COMMS 488","","Adv Broadcast Producing",3.0,"Advanced concepts in television news producing, news judgment, audiences and newsroom leadership."
"COMMS 486","","Adv Broadcast Reporting",3.0,"In-depth broadcast news coverage of major public issues and trends. Formats may include daily news reports, series, and documentaries. "
"CFM 320","No","Advanced Building Systems",3.0,"Understanding and managing large MEP systems; utility infrastructure planning and development, performing system assessments; performing energy, sustainability, and retro-commissioning cost-benefit analysis; understanding system outputs, metering, and costs; code compliance and problem solving."
"CPSE 744","","Adv Career Counsel",3.0,"Survey of current research in career psychology. Advanced career counseling techniques focusing on the interface between career and personal issues and the use of assessment."
"NEURO 601","Yes","Advanced Cellular Neuroscience",3.0,"Graduate-level principles and contemporary developments in neural science. Structure-function relationships and integration of biophysical, molecular, and/or cellular neuroscience."
"DESAN 362R","","Adv Charac Anim",3.0,"Advanced character and performance animation and scene direction."
"CHEM 669R","Yes","Adv Chem Thermo",3.0,""
