"code","level","title","description","credits"
"PSYCH 1100","Undergraduate","Introduction to Psychology","A prerequisite to advanced courses; a broad survey of psychological science. Application of the scientific method to the empirical study of behavior with emphasis on individual and cultural differences.
Prereq: Not open to students with credit for 100, 1100H (100H) or 1100E (100E). This course is available for EM credit. GE soc sci indivs and groups and diversity soc div in the US course. GE foundation social and behavioral sci course.",3
"ENGLISH 1110.01","Undergraduate","First-Year English Composition","Practice in the fundamentals of expository writing, as illustrated in the student's own writing & in the essays of professional writers. May be available as a service learning course with five hours community service required at the Lima campus only.
Prereq: EduTL1902 (108.01) or 1902.04 (108.01), or English Placement Level 4. Not open to students with credit for 1109 (109.01 or 109.02), 1110.01 (non-DL version), 1110.01H (110.01H), 1110.02 (110.02), 1110.02H (110.02H), 1110.03 (110.03), 1167H (167H ), 110.01. This course is available for EM credit. GE writing and comm course: level 1. GE foundation writing and info literacy course.",3
"ANTHROP 2200","Undergraduate","Introduction to Biological Anthropology","A scientific examination of humans as a biological and cultural organism based on primate evolution from living and fossil evidence; evolutionary theory and population adaptability. This course includes laboratory activities.
GE nat sci bio course. GE foundation natural sci course.",4
"MATH 1050","Undergraduate","Precollege Mathematics I","Fractions and decimals, basic algebra, graphing lines, factoring, systems of equations. Credit for this course will not count toward graduation in any degree program.
Prereq: 1040 (040) or 050, or Math Placement Level T, or permission of department. Not open to students with credit for any Math course above 1050 (050). This course is available for EM credit.",5
"MATH 1075","Undergraduate","Precollege Mathematics II","Algebraic, rational, and radical expressions; functions and graphs; quadratic equations; absolute value; inequalities; and applications. Credit for this course will not count toward graduation in any degree program.
Prereq: 1074 or 075; or a grade of C- or above in 1050; or Math Skills Assessment Level R or S; or ACT math subscore of 22 or higher that is less than 2 years old. Not open to students with credit for any Math course above 1075, except for 1116; or for any quarter-system course above 075, except for 116. This course is available for EM credit. GE quant reason basic computation course.",4
"ART 3002","Undergraduate","Intro to Ceramics: Structure","Introduction to Ceramic Structures; lab practices with various modeling and potter's wheel techniques with lectures covering a broad survey of structural ceramics from brick to tile to sculpture.
Prereq: Not open to students with credit for 2502. GE VPA course. GE foundation lit, vis and performing arts course.",3
"ECON 2001.01","Undergraduate","Principles of Microeconomics","Introduction to economic theory: supply and demand for goods, services, and factor inputs; market structure; international trade, the distribution of income. First required course for students planning to take 4000-level courses in Econ.
Prereq: Not open to students with credit for 2001.02, 2001.03H, 200, 200H, or AEDEcon 2001 (200). This course is available for EM credit. GE soc sci human, nat, and econ resources course. GE foundation social and behavioral sci course. SS Admis Cond course.",3
"SOCIOL 1101","Undergraduate","Introductory Sociology","Fundamental concepts of sociology and introduction to the analysis of social problems and interactions (e.g. wealth, gender, race, inequality, family, crime) using sociological theories.
Prereq: Not open to students with credit for 1101H, 1101E, 1102, RurlSoc 1500, or equiv. GE soc sci orgs and polities and diversity soc div in the US course. GE foundation social and behavioral sci course.",3
"THEATRE 2811","Undergraduate","The Craft of Acting","An introductory acting class exploring the basic techniques of imagination, concentration, character development, and script analysis through work on monologues, scenes, and plays.
Prereq: Not open to students with credit for 280. GE VPA course. GE foundation lit, vis and performing arts course.",3
"HISTORY 2701","Undergraduate","History of Technology","Survey of the history of technology in global context from ancient times.
Prereq or concur: English 1110.xx, or completion of GE Foundation Writing and Information Literacy Course, or permission of instructor. GE historical study course. GE theme lived environments course.",3
"HISTORY 3712","Undergraduate","Science and Society in Europe, from Newton to Hawking","The history of science from the eighteenth through to the late twentieth century. Students will study major developments in the physical, geological, biological and chemical sciences, and the relation of the history of science to social, economic, political and cultural developments in European history.
Prereq or concur: English 1110.xx, or GE foundation writing and info literacy course, or permission of instructor. GE historical study course. GE theme citizenship for div and just wrld course.",3
"ENGLISH 1193","Undergraduate","Individual Studies","Intensive practice in the fundamentals of expository writing.
Prereq: Permission of Director of First-Year Writing. Concur: 1110.03. Repeatable to a maximum of 6 cr hrs or 6 completions. This course is graded S/U.","1 - 4"
"SPHHRNG 4530","Undergraduate","Introduction to Autism","This course provides an overview of the identification and diagnosis of autism, scientific perspectives on etiology, and the neurobiological underpinnings of autism, as well as treatment components of autism.
GE theme health and well-being course.",3
"PHILOS 2340","Undergraduate","The Future of Humanity","Examination of long-term ethical challenges facing humanity due to technological, environmental, and other developments.
GE cultures and ideas course. GE theme sustainability course.",3
"STAT 1350.02","Undergraduate","Elementary Statistics","Introduction to probability and statistics, experiments, and sampling, data analysis and interpretation. Offered online.
Prereq: Math 1050, or Math Placement Level S, or permission of instructor. Not open to students with credit for GE Data Analysis course (AEDEcon 2005, AnimSci 2260, Astron 3350, Chem 2210, 2210H, ComLdr 3537, EarthSc 2245, Econ 3400, ENR 2000, Geog 2200.01, 2200.02, HCS 2260, IntStds 3400, Ling 2051, 2051H, Philos 1520, Physics 3700, PolitSc 3780, 4781, Sociol 3549, Stat 1350, 1350.01, 1430, 1430.01, 1430.02, 1430H, 1450, 1450.01, 1450.02, 2450, 2450.01, 2450.02, 2480, 2480.01, 2480.02, 3450, 3450.01, 3450.02, 3460, 3470, 3470.01, 3470.02, 4202, 5301, or 5302). GE data anly course. GE foundation math and quant reasoning or data anyl course.",3
"ISE 2040.02","Undergraduate","Engineering Economics - Online","Economic Analysis of engineering project alternatives. Cash flow modeling; time value of money; techniques for comparing project alternatives and making solid business recommendations; influence of financial accounting and cost accounting on cash flow models. Course uses MS Excel as primary business tool for modeling.
Prereq: Soph standing in Engineering.",2
"PHYSICS 1231","Undergraduate","Physics for Engineering Technology: Electricity and Magnetism","Calculus-based introduction to electricity and magnetism, for students in Engineering Technology.
Prereq: 1250, 1250H, or 1260; and Math 1141 or 1151 or 1154 or above; or permission of instructor. Concur: Math 1152, 1155, 1158, 1161, 1172, 1181H, or 4181H. Not open to students with credit for 1251. This course is available for EM credit. GE  nat sci phys course.",3
"JAPANSE 1103.61","Undergraduate","Level 2 I Online Individualized Instruction","Continuation of 1102.01, 1102.02, or 4 credits of 1102.51 or 1102.61. Distance and individualized. Students complete from 1 to 4 units during the semester. Progress is sequential from one cr hr to the next. Not open to native speakers of this language through regular course enrollment or EM credit.
Prereq: 1102.01, 1102.02, or 4 cr hrs of 1102.51 or 1102.61. Not open to students with credit for 1103.01, 1103.02, or 4 cr hrs of 1103.51 or 1103.61. Repeatable to a maximum of 4 cr hrs or 4 completions. This course is available for EM credit. GE for lang course. GE world languages course.","1 - 4"
"GENED 1201","Undergraduate","GE Launch Seminar","This course is first GE Bookend class. The Launch seminar provides a strong introduction for the broad goals of the General Education program, introduces key skills, and supports sustained growth in terms of attaining program goals.
This course is graded S/U. GE bookend launch seminar course.",1
"HISTORY 3676","Undergraduate","Leadership in History","This course employs the lessons, models, and narratives of history to consider different characteristics of leadership and analyze how those qualities might shape students' own vision of what it means to be an informed citizen, leader, and follower.
GE theme citizenship for div and just wrld course.",3
"ANMLTEC 2200.02T","Undergraduate","Introduction to Animal Sciences Laboratory","Laboratory application of basic animal husbandry practices in the various livestock and related industries.
Prereq or concur: 2200T or AnimSci 2200.01. This course is available for EM credit.",1
"ANMLTEC 2603T","Undergraduate","Swine Production and Management I","A study of the basic principles of production and management for contemporary commercial swine production enterprises. 1 to 3 day field trips, including weekends, may be required.  Students will pay costs associated with field trips (lodging, transportation, meals, etc.) above Ohio State tuition and fees.
Prereq: Not open to students with credit for 222.02T. This course is available for EM credit.",3
"ANMLTEC 3167T","Undergraduate","Dairy Cattle Milking and Reproductive Management","A study of recommended dairy cattle milking and reproductive management practices, based on the anatomy and physiology of the systems.
Prereq: Not open to students with credit for 201T and 203T. This course is available for EM credit.",4
"ANMLTEC 2202T","Undergraduate","Introduction to Beef and Small Ruminant Production","Overview of beef cattle, sheep, goat, and other small ruminant species industries with regard to production and marketing; focus on ruminant livestock needs and the opportunities involved in their production.
Prereq: Not open to students with credit for 222.01T. This course is available for EM credit.",3
"ANMLTEC 3407T","Undergraduate","Dairy Cattle Facilities, Environment, and Equipment","Design and management of dairy cattle facilities, environment, and associated equipment; emphasizing milking equipment and parlors, animal housing, environmental control, waste management, feeding systems, and utilities. 1 to 3 day field trips, including weekends, may be required. Students pay costs associated with field trips (lodging, transportation, meals, etc.) above Ohio State tuition & fees.
Prereq: GenMath 1040T or Math 1050 or Math placement level R or higher. Prereq or concur: 3167T. This course is available for EM credit.",3
"ENGTECH 2015T","Undergraduate","Agricultural Equipment Operation and Maintenance","A study of tractors and other agricultural equipment with emphasis on operation, maintenance and adjustment for safe, efficient operation.
Prereq: Not open to students with credit for 215.01T or 215.02T. This course is available for EM credit.",2
"ENGTECH 2016T","Undergraduate","Tillage, Planting, Harvesting, and Storage Equipment","Principles and applications of safely operating, adjusting, and maintaining agricultural equipment and storing crops. Recommended prereq: Completion of tractor/mobile equipment safety certification process.
This course is available for EM credit.",3
"ENGTECH 2240T","Undergraduate","Welding Technology","A study of basic welding including materials, equipment, and techniques.
Prereq: Not open to students with credit for 250T. This course is available for EM credit.",3
"ANMLTEC 3191.03T","Undergraduate","Swine Industry Internship","Employment in swine industry structured to provide varied occupational experiences; supervised by an industry employer & coordinated by faculty; written comprehensive report required. A grade of C or better is required to meet graduation requirements.
Prereq: 2603T, 2510.03T; CPHR 2.0 or above; permission of instructor. Not open to students with credit for 290.02T. Repeatable to a maximum of 6 cr hrs or 3 completions.","2 - 3"
"ENGTECH 2191.01T","Undergraduate","Construction Management Internship","Construction Management occupational internship, structured to provide occupational experiences; supervised by an industry employer and coordinated by faculty. A grade of C or better is required to meet graduation requirements.
Prereq: 2110T and 2120T (253T, 256T, and 257T), and 2600T, and CPHR 2.0 or above, and permission of instructor. Repeatable to a maximum of 6 cr hrs or 2 completions.","2 - 3"
"ENGTECH 2191.04T","Undergraduate","Agricultural Systems Technology Internship","Agricultural Systems Technology occupational internship structured to provide occupational experiences; supervised by an industry employer and coordinated by faculty. A grade of C or better is required to meet graduation requirements.
Prereq: CPHR 2.0 or above, and permission of instructor. Repeatable to a maximum of 4 cr hrs.",2
"ENGTECH 2612T","Undergraduate","Fundamentals of Fluid Power and Components","An introduction to the fluid power industry and the principles of fluid power system operation. Characteristics of operation and performance are investigated for pumps, motors, and valves.
Credit available by exam.",3
"ANMLTEC 2193T","Undergraduate","Individual Studies","Designed to give an individual student an opportunity to pursue special studies not offered in other courses.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 3"
"FABENG 3120","Undergraduate","Thermodynamics in Food, Agricultural and Biological Engineering","Fundamentals of thermodynamics applied to food, agricultural, biological, and ecological systems.
Prereq or concur: Math 2177, 2255, 2415 or 2174. Not open to students with credit for ChBE 508 and 509, or MechEng 501. This course is available for EM credit.",4
"AGSYSMT 2371","Undergraduate","Land Surveying for Agricultural and Environmental Systems","Principles of land surveying applied to soil and water management on agricultural, forested, and environmentally sensitive areas. Traditional surveying methods, total stations and GPS will be covered.
Prereq: Math 1148 (148), or permission of instructor. Concur: Physics 1103 (103), 1200 (111), or 1250 (131). Not open to students with credit for AgSysMgt 371. This course is available for EM credit.",2
"CONSYSM 2240","Undergraduate","Construction Materials and Methods I","A study of the principles and practices in basic metal fabrication using the current joining, metallurgical and welding processes required in the construction industry.
Prereq or concur: Math 1130, 1148, 1149, 1150 or 1151. Not open to students with credit for AgSysMt 2240. This course is available for EM credit.",3
"FABENG 3400.01","Undergraduate","Sustainability of the Food Supply Chain","Sustainability of the food supply chain depends on the efficiency of transforming raw food materials into consumer food products. This course introduces key operations in each sector of the supply chain along with sustainability parameters, focusing on energy, water, and waste. Students will recognize the challenges of maintaining a sustainable food supply while minimizing environmental impact.
Prereq: Not open to students with credit for AgSysMt 3400, FdScTe 3400, or FdScTe 3400.01. GE theme sustainability course. Cross-listed in FdScTe.",3
"PHYSICS 1200","Undergraduate","Mechanics, Kinematics, Fluids, Waves","Algebra-based introduction to classical physics: Newtons laws, fluids, waves.
Prereq: A grade of C- or above in Math 1120 or 1148, or Math Placement Level M. This course is available for EM credit. GE nat sci phys course. GE foundation natural sci course.",5
