"subject","level","course_code","course_name","description","credits"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4319","Agribusiness Enterprise Management","Prerequisite: AAEC 2305 or ECO 2301 . Organization and management of the individual small business including farms, ranches, input suppliers, commodity processors, etc.    [AAEC 5319]","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4320","Agribusiness Law","Focuses on various areas of law that directly affect the operation of agricultural businesses and producers.  Examines nature and source of law, contracts, real estate matters, commercial transactions, business entities and environmental issues.      F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4325","The US-Mexico Border Economy","Prerequisite: ECO 2302 . Examines the evolution of the U.S.-Mexico border economy from colonial times until today using economic, sociological, environmental, and political insights.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4330","Natural Resource Law","General examination of the regulatory and legal framework of natural resource laws that affect the operation of agricultural businesses and producers.     S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4385","The Economics of Food Security, Terrorism, and Conflict","Prerequisite: ECO 2301 or AAEC 2305 or equivalent. Covers the economics of food security and other factors and catalysts for engagement in terrorism and conflict.  Addresses myths and realities of terrorism through economics.     S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5000","Professional Internship","Supervised study providing in-service training and practice in a professional setting, including businesses and non-profits.","V1-6 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5301","Special Study in Agricultural and Applied Economics","Prerequisite: Instructor consent. Individual and group study in advanced topics not covered in other graduate courses. May be repeated for credit.    F, S, SS.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5302","Food and Agriculture Sector Public Policy","Prerequisite: AAEC 4305 . Analysis of public policies affecting the food and fiber sector; commodity programs, environmental laws, and trade policy.     F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5303","Advanced Production Economics","Prerequisite: AAEC 3315 . Criteria for resource use optimality under price and yield certainty and uncertainty.     F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5304","Applied Logistics","Logistics and supply chain management course about managing relationships across the complex agribusiness networks that today’s supply chains have become.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5305","Applied Behavioral Economics","Introduction to the concepts and applications of behavioral economics in business, academic, policy, government, and other diverse contexts.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5306","Agribusiness Analytics","Introduction to big data management, processing, and analyses. Emphasis on applied economics and agribusiness applications using dynamic visualization, classification, and prediction methods.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5307","Applied Econometrics I","Prerequisite: AAEC 4302 . Advanced statistical methods, including multiple regression analysis, for applied economic problems; constructing econometric models; multicollinearity, autocorrelation, heteroscedasticity, and related problems.     F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5308","Natural Resource Economics","Prerequisite: ECO 5312 or instructor consent. Economic theory and empirical investigations of resource utilization with special emphasis on arid and semi-arid land areas and environmental issues.     F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5309","Natural Resources and International Economic Development","Prerequisite: AAEC 3315 . International economic development issues with a focus on resource use, institutional analysis, political economy, and geography.     F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5310","Advanced Market Analysis","Theoretical and empirical approaches to market structures and market price behavior.      S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5312","Applied Economic Analysis for Agribusiness","Application of economic theory and methods to management problems of the business firms in the food and fiber sector.     SS.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5313","Microcomputer Applications in Agribusiness and Research","Prerequisites: AGSC 2300 and instructor consent. Use of microcomputers, software, and design of software for agricultural business and research purposes. Not open to majors.     F, S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5314","Environmental Economics and Policy Analysis","Familiarize students with economic techniques and their use in analyzing natural resources and environmental policy issues. For non-majors only.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5315","Property Appraisal","Prerequisites: C or better in AAEC 2305 and a 2000-level ENGL course. Factors governing land prices, valuation. Appraisal for use, sale, lending, condemnation, estate settlement, taxation.     F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5316","International Agricultural Trade","Economic theory dealing with the international movement of goods, services, and capital; welfare and distributional aspects of trade; and policy issues in international agricultural trade.      S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5317","Financial and Commodity Futures and Options","Prerequisite: C or better in AAEC 2305 or ECO 2301 . Mechanics of futures trading, history and functions of futures market. Role of futures and options markets in managing risks.     F, S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5318","Finance and Agribusiness Sector","Prerequisite: C or better in AAEC 3302 or FIN 3320 . Applications of financial theory for the agribusiness sector. Risk, capital structure, business structure, investment analysis.     S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5319","Advanced Agribusiness Enterprise Management","Analysis of the organization and management of agribusiness operations including farms, ranches, input suppliers, commodity processors, etc.    [ AAEC 4319 ]","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5320","Agribusiness Law","Course focuses on various areas of law that directly affect the operation of agricultural businesses and producers.  Course examines nature and source of law, contracts, real estate matters, commercial transactions, business entities and environmental issues.      F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5321","Research Methodology in Economics","Review of philosophical and conceptual basis of economic research and study of the procedural aspects of designing, planning, and conducting research in economics.      S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5325","Applied Regression and Least Squares Analysis for Agricultural Sciences","Application of regression analysis to analyze problems in the agricultural sciences; simple linear and multiple regression models, residual analysis, introduction to time series models.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 5330","Graduate Studies in Natural Resource Law","General examination of the regulatory and legal framework of natural resource laws that affect the operation of agricultural businesses and producers.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 6000","Master’s Thesis","","V1-6 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 6301","Advanced Special Problems in Agricultural and Applied Economics","Prerequisite: Instructor consent. Individual study in advanced topics not covered in other graduate courses.     F, S, SS.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 6302","Food, Agriculture, and Natural Resource Policy Analysis","Prerequisite: AAEC 4305 . Analysis of policies, programs affecting food, agricultural commodities, trade, and natural resources. Includes policies in the U.S. and other countries.     F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 6305","Economic Optimization","Prerequisite: AAEC 5303 . Development and use of mathematical economic models emphasizing static and stochastic linear, nonlinear and dynamic processes.     F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 6308","Advanced Natural Resource Economics","Prerequisite: ECO 5312 . Advanced economic theory and analysis of environmental and natural resource issues, both domestic and global.     F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 6310","Demand and Price Analysis","Prerequisite: ECO 5312 . Applied price and demand analysis including complete demand systems and hedonic-characteristic price analysis.     S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 6311","Applied Econometrics II","Prerequisite: AAEC 5307 . Methods and applications of single and multi-equation models in agricultural economics; logit and probit models, nonstructural models and related methods.     S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 6312","Applied Econometrics III","Prerequisite AAEC 6311.Advanced econometrics methods, including nonlinear OLS, GMM, MLE, panel data, limited dependent variables models, and time series.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 6315","Applied Microeconomics I","Prerequisites: ECO 5313 and ECO 5312 or instructor consent. Covers consumer theory, production theory, market equilibrium, imperfect competition, general equilibrium, welfare economics topics related agricultural and natural resource economics.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 6316","Advanced International Trade and Policy","Prerequisites: AAEC 6315 and AAEC 5316 (or comparable course), or instructor consent. Covers advanced materials in Ricardian theory of comparative advantage, Heckscher-Ohlin theory, New Trade Theory, firm-level trade theory, and trade policies. Applications to agriculture.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 7000","Research","","V1-12 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 7200","Teaching Practicum","Prerequisite: Doctoral student in the program, previous or concurrent enrollment in a higher education teaching methods course, instructor consent. Supervised teaching at the university level.","2 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Graduate Courses","AAEC 8000","Doctor’s Dissertation","","V1-12 Semester Credit Hours"
"ACCT - Accounting ","Undergraduate Courses","ACCT 2300","Financial Accounting","TCCNS:[ACCT2301, 2401]Prerequisites: minimum overall 2.75 TTU GPA; COBA and AGBS majors only; C or better in any college-level mathematics course. Concepts and terminology of accounting and financial reporting for modern business enterprises and the relationships between accounting information and business activities. Must make an A or B to declare accounting or finance as a major.","3 Semester Credit Hours"
"ACCT - Accounting ","Undergraduate Courses","ACCT 2301","Managerial Accounting","TCCNS:[ACCT2302, 2402]Prerequisites: minimum cumulative 2.75 TTU GPA; COBA and AGBS majors only; C or better in ACCT 2300 . Uses of accounting information for planning decisions about products and services, activities and processes, suppliers and customers, organizational subunits, and time periods as these relate to organizations in changing environments. Must make A or B to declare accounting major.","3 Semester Credit Hours"
"ACCT - Accounting ","Undergraduate Courses","ACCT 3101","Seminar in Professional Practice","Prerequisite: 2.75 TTU GPA. Structure of the accounting profession, requirements for certification, qualification for and preparation for professional practice in industry, government, and/or public accounting. Must complete before participating in “Meet the Firms.”       F.","1 Semester Credit Hours"
"ACCT - Accounting ","Undergraduate Courses","ACCT 3304","Intermediate Accounting I","Prerequisites: Minimum overall 2.75 TTU GPA and a B or better in ACCT 2300 . Net income concepts, corporations, current assets, and investments. Must make A or B to declare accounting major.","3 Semester Credit Hours"
"ACCT - Accounting ","Undergraduate Courses","ACCT 3305","Intermediate Accounting II","Prerequisites: C or better in ACCT 3304 ; 2.75 TTU GPA. Fixed assets, liabilities and reserves, interpretation and analysis of financial statements, application of funds, cash flow statement, reorganizations, and price level impact on financial statements.","3 Semester Credit Hours"
"ACCT - Accounting ","Undergraduate Courses","ACCT 3306","Cost Profit Analysis in Managerial Accounting","Prerequisites: Minimum overall 2.75 TTU GPA and a B or better in ACCT 2301 . Covers traditional topics in managerial and cost accounting and provides hands-on experience with emerging technologies for analyzing cost and profit across products, services, and stakeholders.","3 Semester Credit Hours"
"ACCT - Accounting ","Undergraduate Courses","ACCT 3307","Income Tax Accounting","Prerequisites: Minimum overall 2.75 TTU GPA and a B or better in ACCT 2300 . A study in detail of certain provisions of the Internal Revenue Code, combined with elementary tax planning in business and individual transactions.","3 Semester Credit Hours"
"ACCT - Accounting ","Undergraduate Courses","ACCT 4300","Accounting Systems","Prerequisites: B or better in ACCT 3304 and C or better in ISQS 2340 and BA 2140 ; 2.75 TTU GPA. The theories, procedures, and techniques of accounting information systems for organizations.   (CL)","3 Semester Credit Hours"
"ACCT - Accounting ","Undergraduate Courses","ACCT 4301","Principles of Auditing","Prerequisites: B or better in ACCT 3304 AND ACCT 3306 and completion of or concurrent enrollment in ACCT 3305 AND ACCT 3315 or ACCT 4300 ; 2.75 TTU GPA. An introduction to the theory and practice of auditing, emphasizing auditor decision making through a cycle approach to an audit engagement.   (CL)","3 Semester Credit Hours"
"ACCT - Accounting ","Undergraduate Courses","ACCT 4310","Energy Accounting","Prerequisites: B or better in ACCT 2300 and ACCT 2301 ; 2.75 TTU GPA. Introduces basic financial accounting, taxation and reporting issues related to energy producing activities, including current accounting practices of energy producing companies.","3 Semester Credit Hours"
"ACCT - Accounting ","Undergraduate Courses","ACCT 4381","Individual Problems in Accounting","Prerequisite: Consent of instructor. For students with high academic achievement who are interested in enhancing their degree program by pursuing individual research or study under the guidance of an accounting faculty member.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5301","Financial and Managerial Accounting","Examines the objectives, structure, and substance of financial reports and the use of accounting in the management of an organization.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5303","Data Analytics for Accountants","Prerequisites: Admission to M.S.A. program and ACCT 4301 . Provides an understanding of advanced analytics used in the accounting profession, the software tools necessary for conducting rigorous statistical analysis, and the methods utilized for accessing, integrating, and analyzing large amounts of data.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5304","Data and Analytics for Tax Accountants","Prerequisites: ACCT 3305 , ACCT 4300 , ISQS 2340 . The introduction of computerized information systems topics tailored to the technical information tax accountants will need to be successful in the profession. The focus will include systems controls and development procedures, and automated data analyses techniques.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5305","Accounting Research and Communication","Prerequisite: Admission to M.S.A. program Written and oral communication examining individual studies of selected accounting topics.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5306","International Taxation","Prerequisite: Admission to M.S.A. program. Study of taxation of individual and business entities operating outside the States and foreign entities operating in the States.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5307","Income Tax Accounting for Managers","A detailed study of key provisions of the Internal Revenue Code combined with tax planning in common business and personal transactions.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5308","Federal Income Tax Law for Partnerships","Prerequisites: Admission to M.S.A. program and ACCT 5318 . Analysis of accounting by partnerships and other pass-through entities including LLCs. Focus is on economic and tax consequences for investors operating business or investment activities through partnerships and other pass-through entities.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5309","Advanced Accounting","Prerequisites: Admission to M.S.A. program and ACCT 3305 . A study of the accounting and reporting problems associated with consolidated financial statements, partnerships, and issues related to selected entities or types of ownership.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5310","Energy Accounting for Managers","Prerequisite: B or better in first attempt at ACCT 3304 , or equivalent course in financial reporting. Accounting as it applies to the production of oil and gas; including taxation and reporting issues. Introduction to accounting issues relating to renewable energies such as solar and wind.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5311","Individual Study in Accounting","Prerequisite: Consent of instructor. Directed individual study of advanced accounting problems varying with the need of each student. May be repeated for up to 9 hours credit if subject matter differs.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5312","Introduction to Data Analytics","Prerequisites: ACCT 3305 , ACCT 4300 , ISQS 2340 . Learn strategies designed to manage and manipulate data to support decision-making by management, the accounting function and other stakeholders. Also focuses on developing skillsets related to usage of advanced statistical software common to the accounting profession.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5315","Estate and Gift Taxation","Prerequisite: Admission to M.S.A. program. Intensive study of federal taxation of the estate and trust entities and the transfer of property rights through gifts and bequest.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5318","Income Tax Research and Planning","Prerequisite: Admission to M.S.A. program. Fundamental procedures in research of income tax subject areas, such as property transactions, employment contracts, etc. Principles involved in necessary planning of actions for a desired tax result.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5319","Auditing Theory and Practice","Prerequisites: Admission to M.S.A. program and ACCT 4301 . A study of advanced concepts, theories, and techniques applied to external financial, governmental, and internal audit engagements.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5320","Analysis of Financial Accounting Information","Prerequisites: Admission to M.S.A. program and ACCT 4301 . Study of how financial accounting information is used by auditors, lenders, investors, regulatory compliance officers, management, and employees. Includes advanced analysis of financial reports, as well as economic trends and business valuation.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5321","Advanced Data and Analytics for Accountants","Prerequisites: ACCT 3305 , ACCT 4300 , ACCT 4301 , ACCT 5312 , ISQS 2340 . Corequisite: ACCT 5303 . Learn strategies related to advanced database and querying skills in addition to expanding on forensic accounting topics and financial information modeling techniques.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5327","Advanced Income Taxation Accounting","Prerequisite: Admission to M.S.A. program. Study of advanced income tax affecting business and investment.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5332","Ethics in Accounting","Prerequisite: Admission to M.S.A. program. Introduces students to accounting ethics and professionalism. Independence issues and the Code of Professional Ethics are highlighted.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5334","Professional Accountancy Capstone","Prerequisites: All requirements of the M.S.A. program must be met prior to enrollment, must be taken in last semester of study, and must have instructor consent. Prepares students for the accounting profession through intensive study, testing, and preparation for professional certification.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5382","Internship in Accounting","Prerequisites: Admission to M.S.A. program and completion of ACCT 4301 for non-tax internships and ACCT 5318 for tax internships. Students apply knowledge of concepts, principles and technologies learned in class, within their field of specialization.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 5392","Advanced Business Law","Prerequisite: C or better in BLAW 3391 . Second course in business law.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 6300","Colloquium in Accounting Research","Studies in selected areas of accounting research. Topics vary by semester. May be repeated for credit.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 6301","Archival Research in Accounting","This seminar explores accounting research using empirical-archival methods, primarily with respect to the role of financial accounting in capital markets.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 6303","Applied Accounting Research Methods","Explores topics including, but not limited to, philosophy of science, cutting edge research methods and current statistical tools, software and programming used in empirical accounting research.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 6305","Advanced Seminar in Corporate Governance Accounting Research","Explores current topics and issues related to corporate governance, including advanced technologies and methodologies used in this research stream.","3 Semester Credit Hours"
"ACCT - Accounting ","Graduate Courses","ACCT 6314","Behavioral Research in Accounting","Prerequisite: Admission to doctoral program. This seminar explores how accounting research uses experimentation to investigate the ways in which accounting impacts judgments and decisions.","3 Semester Credit Hours"
"ACOM - Agricultural Communications ","Undergraduate Courses","ACOM 1300","Introduction to Agricultural Communications","An overview of information systems and media associated with the agricultural industry.","3 Semester Credit Hours"
"ACOM - Agricultural Communications ","Undergraduate Courses","ACOM 2300","Professional Development in Agricultural Communications","Focuses on job applications, business etiquette, soft skills, event planning, and professionalism.","3 Semester Credit Hours"
"ACOM - Agricultural Communications ","Undergraduate Courses","ACOM 2302","Scientific Communications in Agriculture and Natural Resources","Improve written, visual, and oral communications. Development of press releases, scientific papers, popular press articles, poster presentations, technical presentations, and grant applications.   (CL)","3 Semester Credit Hours"
"ACOM - Agricultural Communications ","Undergraduate Courses","ACOM 2303","Digital Imaging in Agriculture","Basics of composition, techniques, and lighting involved in photographing agricultural images. Students will learn about photographing agricultural subjects, people, and landscapes.","3 Semester Credit Hours"
"ACOM - Agricultural Communications ","Undergraduate Courses","ACOM 2305","Digital Communications in Agriculture","Examination of the use of computers in agricultural communications with emphasis on graphic art production, photo manipulation, and elements of design.","3 Semester Credit Hours"
"ACOM - Agricultural Communications ","Undergraduate Courses","ACOM 3300","Communicating Agriculture to the Public","Principles and procedures in communicating agricultural news and information to general and specialized audiences through presentations and various media.     S.","3 Semester Credit Hours"
"ACOM - Agricultural Communications ","Undergraduate Courses","ACOM 3301","Video Production in Agriculture","Prerequisite: Must be ACOM or INAG major. Basics in producing an agricultural video. Students learn scripting, shooting, and digital video editing.","3 Semester Credit Hours"
"ACOM - Agricultural Communications ","Undergraduate Courses","ACOM 3302","Advocating for Agriculture","Promotes understanding of the agricultural industry with a focus on advocacy, written, online, and oral communications.","3 Semester Credit Hours"
"ACOM - Agricultural Communications ","Undergraduate Courses","ACOM 3305","Layout and Design in Agricultural Sciences","Prerequisite: ACOM 2305 . Examination of design principles and desktop publishing in the agricultural industry.","3 Semester Credit Hours"
"ACOM - Agricultural Communications ","Undergraduate Courses","ACOM 3311","Web Design in Agricultural Sciences and Natural Resources","Prerequisite: ACOM 2305 . Promote basic understanding of Web design principles and experiential learning through a project requiring students to develop a Web site for a client in the agriculture industry.","3 Semester Credit Hours"
"ACOM - Agricultural Communications ","Undergraduate Courses","ACOM 4000","Internship in Agricultural Communications","","V1-12 Semester Credit Hours"
