"department","description","course_code","course_name","credits"
"Advertising","Portfolio II builds on Portfolio I. It is a hands-on, experiential learning course. Students create concepts and typical ad agency projects beyond traditional media and single executions. Students create integrated, experiential, digital, and shopper marketing campaigns. Grading Scheme:Letter Grade","ADV 4950","Advertising Portfolio II: Beyond Traditional Media","3 Credits"
"Advertising","Continues the development of professional-level advertising portfolios and emphasizes the mastery of strategic, creative, and conceptual thinking. Creative professionals will review portfolios. Students will also enter creative advertising-student competitions to showcase their work. Grading Scheme:Letter Grade","ADV 4951","Advertising Portfolio III","3 Credits"
"Advertising","This course is centered around two pivotal questions in the realm of modern communication: “How can we communicate effectively in a world with AI?” and “How can AI tools be utilized for effective communication and collaboration for better social decisions?” It aims to explore both the positive potential and the challenges posed by AI in professional/science communication, fostering a balanced and critical understanding of these tools. Emphasizing its interdisciplinary nature, this course explores the impact of AI on social institutions, structures, and processes, highlighting the intersection between technology and social science. Students will engage with key themes, principles, and methodologies used in social and behavioral sciences, applying them to understand and navigate the AI-influenced communication landscape. Grading Scheme:Letter Grade","COM 2380","Collaboration With AI for Better Communication","3 Credits"
"Advertising","Immersive experience to understand fundamental aspects of translational health communication research. Learn through structured readings, class discussions and applications, and guest lectures. Pays special attention to communicating health/science research to diverse audiences. Grading Scheme:Letter Grade","COM 3251C","STEM Research and Application","3 Credits"
"Advertising","Introduces the tools, resources, and academic and extra-curricular activities offered by the College of Journalism and Communications. Includes lessons on the history and organization of the college and academic and career preparation. Grading Scheme:Letter Grade","MMC 1009","Introduction to Media and Communications1 Credit","1 Credit"
"Advertising","A preprofessional course designed to provide fundamental instruction and practice in writing as a basis for upper-division courses in advertising, journalism and public relations. Stresses the basic similarities in writing for all mass media. (WR) Grading Scheme:Letter Grade","MMC 2100","Writing for Mass Communication","3 Credits"
"Advertising","One-third of the course is to ensure students have sufficient skill in grammar and punctuation to write with clarity. In two-thirds of the course, students put principles of good writing into practice with short writing assignments that have real-world applications. Grading Scheme:Letter Grade","MMC 2121","Writing Fundamentals for Communicators","3 Credits"
"Advertising","Professional development course that stresses how to communicate and connect as professionals. Emphasizes mastery of writing, speaking, presentation and employment-seeking skills, working with media, handling media interviews and using social media to establish a professional identity. Grading Scheme:Letter Grade","MMC 3030","Personal Branding for Communicators1 Credit","1 Credit"
"Advertising","A cross-disciplinary introduction to ethics-relevant situations faced by media professionals. Topics include professional standards of conduct, audience representation and engagement and issues associated with the production, presentation and delivery of messages that reflect the best interests of audiences, clients and stakeholders. Grading Scheme:Letter Grade","MMC 3203","Ethics and Problems in Mass Communications","3 Credits"
"Advertising","Introduces media entrepreneurship with a focus on how digital technologies are transforming industries. Work in teams to develop new digital media businesses. Develop and pitch ideas, explore market analysis, develop business and financial plans, and study social media strategies. Grading Scheme:Letter Grade","MMC 3254","Media Entrepreneurship1 Credit","1 Credit"
"Advertising","Provides practical analytical skill-sets, benefiting those who plan careers in analytics/research, social media, media business, advertising/marketing, and public relations. Grading Scheme:Letter Grade","MMC 3420","Consumer and Audience Analytics","3 Credits"
"African American Studies","This course explores the broad and deep experiences of Africans in America, beginning in Africa, the birthplace of civilization and humanity. Utilizing an interdisciplinary approach, we will examine the political, cultural, economic, artistic, and social themes that have shaped African American realities. The curriculum emphasizes high-level academic and critical thinking skills, ensuring students develop a broad foundational knowledge. It includes historically accurate content that promotes an understanding of the constitutional republic, the historical background, and the philosophical foundations of Western civilization, including key documents such as the Declaration of Independence, the United States Constitution, and the Federalist Papers. This course meets the general education standards and competencies required for informed citizenship and lifelong learning. Grading Scheme:Letter Grade","AFA 2000","Introduction to African American Studies","3 Credits"
"African American Studies","In-depth exploration of the rich and vast cultural heritage of African Americans. An interdisciplinary approach examines various modes of expression such as art, literature, music, sports, fashion, and social movements that have shaped African American culture from its roots in African aesthetics to modern-day popular culture. Highlights the significant contributions of African Americans to American culture, much of which are inspired by the pursuit of freedom, equality, and justice. Grading Scheme:Letter Grade","AFA 2151","Surveying African-American Culture","3 Credits"
"African American Studies","Examine race, racism, and racialization in the sporting context in order to understand many salient issues in American society such as nationalism and patriotism, capitalism, sexism, oppression, etc. See the ways sports influence racial ideologies as well as the pervasiveness of racial oppression that exists on and off the playing field. Grading Scheme:Letter Grade","AFA 2390","Race and Sports in America","3 Credits"
"African American Studies","The leading voices of resistance and social change that have influenced African American intellectual history, black public consciousness, political action and social theory. Grading Scheme:Letter Grade","AFA 3110","Key Issues in African American and Black-Atlantic Thought","3 Credits"
"African American Studies","Examines the history of African Americans in the United States from the end of the Civil War in 1865 to the present day. Through readings, lectures, discussions, and research, explores the major political, social, and cultural events and movements that have shaped the lives of African Americans during this period. Grading Scheme:Letter Grade","AFA 3223","African American History: 1865 to Today","3 Credits"
"African American Studies","Overview of transnational fields of cultural contact, power and competing economic interests in which the African Diaspora developed. Grading Scheme:Letter Grade","AFA 3240","The African Diaspora","3 Credits"
"African American Studies","Critically examine various themes presented in the television show, The Wire. Major topics include the illegal drug trade, race and ethnicity, sexuality, public policy and politics, K-12 education, and the news media. Grading Scheme:Letter Grade","AFA 3303","The Wire","3 Credits"
"African American Studies","Interdisciplinary survey of African American and Afro-descendant women's contributions to feminist theory. Grading Scheme:Letter Grade","AFA 3332","Black Feminist and Womanist Theory","3 Credits"
"African American Studies","An examination of the Black Power Movement, including major themes, roots in previous black organizing, associated groups and figures, and its influence on present society and activism. Grading Scheme:Letter Grade","AFA 3333","Black Power Movement","3 Credits"
"African American Studies","Analyzes the history of African and African American healing traditions in medicine, beginning in West Africa and ending in the United States, paying particular attention to the role of women in ethnomedical traditions. Grading Scheme:Letter Grade","AFA 3342","African Diaspora, Women, and Medicine","3 Credits"
"African American Studies","Integrated interdisciplinary exploration of selected themes and resources that represent the Black Masculine experience in North America, emphasizing continuity and change. (WR) Grading Scheme:Letter Grade","AFA 3350","Black Masculinity","3 Credits"
"African American Studies","Examination of the interplay of religion, race, and rebellion in the organization and execution of the various revolts, insurrections, and social movements of black people in the US from the slavery period through the Civil Rights and Black Power Eras. Grading Scheme:Letter Grade","AFA 3354","Race, Religion, and Rebellion","3 Credits"
"African American Studies","Explores the African American religious experience from the beginning of the African sojourn here in North America until the present. Grading Scheme:Letter Grade","AFA 3356","African American Religion","3 Credits"
"African American Studies","Examination of the role of religion in the African American Civil Rights Movement from the 1950s through the 1980s. Grading Scheme:Letter Grade","AFA 3357","Civil Rights and Religion","3 Credits"
"African American Studies","Historical overview of African American archaeology, including important cases, key figures, major issues, and development of the field. Grading Scheme:Letter Grade","AFA 3360","Archaeology of African American Life and Culture","3 Credits"
"African American Studies","Interdisciplinary examination of themes, premises, and theories presented by major psychological theorists in their depictions and accounts of the behavior of Black people in America; the growth of Black psychology. Grading Scheme:Letter Grade","AFA 3363","The Black Experience: Psychological Perspectives","3 Credits"
"African American Studies","Examines the blossoming of hip-hop as a musical genre and as a cultural and political youth movement from the 1970s to the present, extending from its origins in New York city to the rest of the nation and the world. Grading Scheme:Letter Grade","AFA 3371","History of Hip-Hop","3 Credits"
"African American Studies","Examines historical and contemporary construction of the concept of race within scientific theories and ideologies. Explores the role race plays in scientific and technological cultures. Grading Scheme:Letter Grade","AFA 3553","Science, Technology, and Race","3 Credits"
"African American Studies","Introduces Black Digital Humanities as a discipline. Examines Black life using computational tools, methods, and approaches combining computational and humanistic inquiry. Explores different modes of inquiry through readings, lectures, discussions, and research. Grading Scheme:Letter Grade","AFA 3840","Black Digital Humanities","3 Credits"
"African American Studies","Research methods in African American history. Grading Scheme:Letter Grade","AFA 3850","Research Methods in African American History","3 Credits"
"African American Studies","A community service-learning course that develops mentoring and critical-thinking skills though instruction, analysis and service. (WR) Grading Scheme:Letter Grade","AFA 3915C","Mentoring At-Risk Youth","3 Credits"
"African American Studies","Lectures and seminars covering selected topics of current interests in African American studies. Grading Scheme:Letter Grade","AFA 3930","Special Topics in African American Studies","3 Credits"
"African American Studies","A multi-disciplinary examination of some of the important theories and concepts used to explain Black social, political and cultural behavior in the United States for the past 150 years. Grading Scheme:Letter Grade","AFA 4135","Theories of Black America","3 Credits"
"African American Studies","Explores the history of African Americans from their arrival in the United States in 1619 to the end of the Civil War in 1865. Examines the experiences of enslaved Africans and African Americans, their resistance to slavery, and the various social, cultural, economic, and political forces that shaped their lives during this time period. Grading Scheme:Letter Grade","AFA 4222","African American History: 1619 to 1865","3 Credits"
"African American Studies","Addresses the history and themes of Blacks in Florida between 1492 and 1975. Grading Scheme:Letter Grade","AFA 4225","Blacks in Florida","3 Credits"
"African American Studies","Provides a comprehensive interdisciplinary examination of the history, sociology, psychology and economics of Black hair. Students will explore the textures, styles and meanings of Black hair as they relate to identity and power in society. Grading Scheme:Letter Grade","AFA 4352","Black Hair Politics","3 Credits"
"African American Studies","Examination of the particular historical, geographical, cultural, social, and political ways in which race was, and continues to be configured and deployed in the United States. Grading Scheme:Letter Grade","AFA 4430","Black Lives Matter","3 Credits"
"African American Studies","Directed individual reading or research on topics in African American studies. Grading Scheme:Letter Grade","AFA 4905","Individual Study","1-5 Credits"
"African American Studies","Provides opportunity for firsthand, supervised research in areas related to African American Studies. Projects may involve inquiry, design, investigation, scholarship, discovery, or application. Grading Scheme:Letter Grade","AFA 4911","Undergraduate Research in African American Studies","0-3 Credits"
"African American Studies","Selected topics in African American studies. Grading Scheme:Letter Grade","AFA 4931","Special Topics","3 Credits"
"African American Studies","Examination of bibliographic resources and analysis of theory, method, and special problems in the field of African American studies. Grading Scheme:Letter Grade","AFA 4936","African American Studies Senior Integrative Seminar","3 Credits"
"African American Studies","Complete internships with companies, individuals, institutions, or organizations whose work adds to the knowledge and well-being of the African American community. Grading Scheme:Letter Grade","AFA 4940","African American Studies Internship","3 Credits"
"African American Studies","Comprehensive research paper that examines a relevant topic in the discipline of African American studies. Grading Scheme:S/U","AFA 4970","Honors Thesis","3 Credits"
"African Studies","Introductory study of African society and culture that examines the richness, diversity, and time-depth of African civilizations. Grading Scheme:Letter Grade","AFS 2002","The African Experience: An Introduction to African Studies","3 Credits"
"African Studies","Contemporary study of development issues in Africa, their challenges and possible solutions; theme based and includes economic development, agriculture and the environment, social issues and gender equality, and democracy and political development. Grading Scheme:Letter Grade","AFS 3300","Poverty and Development in Africa","3 Credits"
"African Studies","Explores Sub-Saharan African cultures, health issues and belief systems related to health and the arts. Also provides a framework to better understand health and health care systems in other cultures. Grading Scheme:Letter Grade","AFS 3352","Culture, Health and Arts in Sub-Saharan Africa","3 Credits"
"African Studies","Explores African conceptions of childhood through the mediums of literature and film; examines how childhood is represented in diverse African cultures. Grading Scheme:Letter Grade","AFS 3800","Childhood in African Literature and Cinema","3 Credits"
"African Studies","Selected variable topics in African Studies. Grading Scheme:Letter Grade","AFS 3930","Special Topics in African Studies","3 Credits"
"African Studies","Understanding African societies south of the Sahara through the study of the functions, roles and meanings of households and families. Emphasizes diversity within and commonalities among the myriad forms of African families. Grading Scheme:Letter Grade","AFS 4240","The African Family","3 Credits"
"African Studies","Upper-division seminar that discusses perspectives on conflict resolution, corruption, economic development, environmental management, food security, governance, international assistance, and public health in contemporary Africa. In addition, enhances skills in analysis, discussion, and debate. Grading Scheme:Letter Grade","AFS 4315","Critical Issues in Contemporary Africa","3 Credits"
"African Studies","Introduces historical and contemporary roles of women in African political systems, from local to national governance. Grading Scheme:Letter Grade","AFS 4330","Women and Politics in Africa","3 Credits"
"African Studies","Examines the practicalities and theoretical foundations of community conservation in Africa, with particular attention on the relationship between conservation and rural development issues. Main themes include property rights, governance, and local-global relations. Grading Scheme:Letter Grade","AFS 4340","Community Conservation and Rural Development in Africa","3 Credits"
"African Studies","Analyzes effectiveness of diverse approaches to natural resource preservation and uses. Case studies are primarily from southern and eastern Africa, and readings focus on political and economic aspects of conservation strategies. Grading Scheme:Letter Grade","AFS 4345","Political Economy of Conservation in Africa","3 Credits"
"African Studies","Interdisciplinary seminar incorporates scholarship from anthropology, geography, history, political science, sociology, and urban planning to understand African cities, their rapid growth, and their future development. Grading Scheme:Letter Grade","AFS 4365","Urban Africa Today","3 Credits"
"African Studies","Individual study and research for topics not covered in other courses. Grading Scheme:Letter Grade","AFS 4905","Individual Work","1-9 Credits"
"African Studies","Provides firsthand, supervised research. Projects may involve inquiry, design, investigation, scholarship, discovery, or application. Grading Scheme:Letter Grade","AFS 4911","Undergraduate Research in African Studies","0-3 Credits"
"African Studies","Seminar on a selected interdisciplinary theme. Grading Scheme:Letter Grade","AFS 4935","African Studies Interdisciplinary Seminar","3 Credits"
"African Studies","Complements an Africa-related internship experience through guided reflection, critical analysis, synthesis, and discussion. Grading Scheme:S/U","AFS 4940","African Studies Internship","1-3 Credits"
"African | Languages, Literatures, and Cultures","Similar in philosophy and purpose to the basic sequence, with content selected from the philosophies, literature, arts, and music of various African countries and regions. Grading Scheme:Letter Grade","HUM 2420","African Humanities","3 Credits"
"African | Languages, Literatures, and Cultures","A culturally based study of folktales, proverbs, drama, poetry and novels; and how these forms are used to portray African arts and ideas. Grading Scheme:Letter Grade","HUM 2424","African Cultures and Literatures","3 Credits"
"African | Languages, Literatures, and Cultures","The role of language in the development of African societies. Language and nation building. Grading Scheme:Letter Grade","SSA 3730","Language in African Society","3 Credits"
"African | Languages, Literatures, and Cultures","For those who seek independent work not offered in another course. Grading Scheme:Letter Grade","SSA 4905","Individual Work","1-5 Credits"
"African | Languages, Literatures, and Cultures","Variable topics dealing with specific issues in African studies. Grading Scheme:Letter Grade","SSA 4930","Special Topics in African Studies","3 Credits"
"African | Languages, Literatures, and Cultures","Traces African influence in the Americas from the arrival of Africans on the continent until the present. Grading Scheme:Letter Grade","SST 2501","African Elements in the Americas","3 Credits"
"African | Languages, Literatures, and Cultures","Explore the African continent through film and media to provide a critical analysis of issues of (mis)/representation of Africans in selected moving images and printed materials both in Africa and in diaspora. Grading Scheme:Letter Grade","SST 3500","Africa through Film & Media","4 Credits"
"African | Languages, Literatures, and Cultures","An overview of African oral literature, introduces methodological and theoretical problems, and examines the sociopolitical and cultural relevance of the literature. Grading Scheme:Letter Grade","SST 4502","African Oral Literature","3 Credits"
"African | Languages, Literatures, and Cultures","Beginning study covering four skills: listening, speaking, reading and writing. Grading Scheme:Letter Grade","AKA 1130","Beginning Akan 1","5 Credits"
"African | Languages, Literatures, and Cultures","Continued study of the four skills with additional vocabulary and grammar. Grading Scheme:Letter Grade","AKA 1131","Beginning Akan 2","5 Credits"
"African | Languages, Literatures, and Cultures","Intermediate study of the four skills with new vocabulary and grammar. Grading Scheme:Letter Grade","AKA 2200","Intermediate Akan 1","3 Credits"
"African | Languages, Literatures, and Cultures","Continuation of intermediate study. Grading Scheme:Letter Grade","AKA 2201","Intermediate Akan 2","3 Credits"
"African | Languages, Literatures, and Cultures","Advanced study of the four skills with attention to more complex structures. Grading Scheme:Letter Grade","AKA 3410","Advanced Akan 1","3 Credits"
"African | Languages, Literatures, and Cultures","Continuation of advanced study. Grading Scheme:Letter Grade","AKA 3411","Advanced Akan 2","3 Credits"
"African | Languages, Literatures, and Cultures","Beginning study covering four skills: listening, speaking, reading, and writing. Grading Scheme:Letter Grade","AHM 1130","Beginning Amharic 1","5 Credits"
"African | Languages, Literatures, and Cultures","Continued study of the four skills with additional vocabulary and grammar. Grading Scheme:Letter Grade","AHM 1131","Beginning Amharic 2","5 Credits"
"African | Languages, Literatures, and Cultures","Intermediate study of the four skills with new vocabulary and grammar. Grading Scheme:Letter Grade","AHM 2200","Intermed Amharic 1","3 Credits"
"African | Languages, Literatures, and Cultures","Continuation of intermediate study. Grading Scheme:Letter Grade","AHM 2201","Intermediate Amharic 2","3 Credits"
"African | Languages, Literatures, and Cultures","Advanced study of the four skills with attention to more complex structures. Grading Scheme:Letter Grade","AHM 3410","Advanced Amharic 1","3 Credits"
"African | Languages, Literatures, and Cultures","Continuation of advanced study. Grading Scheme:Letter Grade","AHM 3411","Advanced Amharic 2","3 Credits"
"African | Languages, Literatures, and Cultures","Introduces various genres of Swahili oral literatures and shows their importance, relevance, and function within Swahili culture. Grading Scheme:Letter Grade","SSW 3303","Swahili Oral Literature","3 Credits"
"African | Languages, Literatures, and Cultures","Beginning study covering four skills: listening, speaking, reading and writing. Grading Scheme:Letter Grade","SWA 1130","Beginning Swahili 1","5 Credits"
"African | Languages, Literatures, and Cultures","Continued study of the four skills with additional vocabulary and grammar. Grading Scheme:Letter Grade","SWA 1131","Beginning Swahili 2","5 Credits"
"African | Languages, Literatures, and Cultures","Intermediate study of the four skills with new vocabulary and grammar. Grading Scheme:Letter Grade","SWA 2200","Intermediate Swahili 1","3 Credits"
"African | Languages, Literatures, and Cultures","Continuation of intermediate study of the four skills with new vocabulary and grammar. Grading Scheme:Letter Grade","SWA 2201","Intermediate Swahili 2","3 Credits"
"African | Languages, Literatures, and Cultures","Advanced study of the four skills with attention to more complex structures. Grading Scheme:Letter Grade","SWA 3410","Advanced Swahili 1","3 Credits"
"African | Languages, Literatures, and Cultures","Continuation of advanced study of the four skills with attention to more complex structures. Grading Scheme:Letter Grade","SWA 3411","Advanced Swahili 2","3 Credits"
"African | Languages, Literatures, and Cultures","For those who seek independent work not offered in another course. Grading Scheme:Letter Grade","SWA 4905","Individual Study","1-5 Credits"
"African | Languages, Literatures, and Cultures","Readings in Swahili Grading Scheme:Letter Grade","SWW 4100","Readings in Swahili","3 Credits"
