"department","code","title","description","credits"
"Accounting (ACCTG)","ACCTG 600","Thesis Research","No description.","1-15 Credits/Maximum of 999"
"Accounting (ACCTG)","ACCTG 601","Ph.D. Dissertation Full-Time","No description.","0 Credits/Maximum of 999"
"Accounting (ACCTG)","ACCTG 800","Financial and Managerial Accounting","The purpose of this course is to prepare students to interpret, evaluate, and use both financial and managerial accounting information. Accounting information can be used to evaluate an organization's financial position, to plan future activities (both short-term and long-term), to motivate behavior, and to evaluate performance. The course also focuses on corporate governance and ethical issues.","3 Credits"
"Accounting (ACCTG)","ACCTG 801","Tax Law and Policy","This course will provide an overview of domestic and international tax policy issues by examining applicable tax reforms, theories of tax law, and interdisciplinary topics. This course will focus on the taxation of individuals including applicable requirements, deductions, and consequences. Additionally, this course will examine relevant tax issues in relation to divorce proceedings, settlement agreements, attorney fees, and sales.","3 Credits"
"Accounting (ACCTG)","ACCTG 802","Topics in Corporate and Tax Law","This course is designed to teach students about the federal income taxation of corporations and provide an overview of federal estate and gift taxation law. Half of the course will be allocated to topics in federal income taxation of corporations and half of the course will be allocated to topics in federal estate and gift taxation. This course will deepen students' understanding of taxed corporate entities by focusing on topics such as mergers and acquisitions; bankruptcy; corporate tax reform; and tax exemption among other topics. Additional topics covered will include valuation; power of appointment and revocation; and tax exclusions and deductions (marital and charitable).","3 Credits"
"Accounting (ACCTG)","ACCTG 803","Forensic Accounting and Litigation Support","Study of investigative accounting, consulting and litigation support activities undertaken in forensic accounting engagements.","3 Credits"
"Accounting (ACCTG)","ACCTG 804","Data Analytics in the Accounting Profession","ACCTG 804provides Master of Accounting in Accounting Analytics (MAA) students with knowledge designed to prepare them for entry-level positions in the rapidly-evolving field of Accounting. The course will give students an overview of basic programming tools and techniques that can scale to larger data sets, specifically related to financial information and reporting systems, and decision making by both entities and individuals. The course will include an overview of the Python programming language, with a focus on Python modules that are relevant for basic data analytics. The course will also provide students with a comprehensive understanding of the Extract-Transform-Load process, including processes related to obtaining data, cleaning data, visualizing data, and analyzing data. The course will also include an overview of blockchain technology as it relates to the Accounting profession. An introduction to the ethical use of data will also be provided during the course.","3 Credits"
"Accounting (ACCTG)","ACCTG 805","Applied Accounting and Financial Analytics","ACCTG 805impounds knowledge gained from prior coursework and serves as the culminating experience for students enrolled in the Master of Accounting in Accounting Analytics (MAA) program. This course provides an advanced application of the Python programming language to the analysis of large-scale datasets which lie at the intersection of accounting and finance. Students will build upon prior work with the Python programming language and acquire more advanced syntax and building blocks for use in Python. They will also build upon prior work with the Extract-Transform-Load process and learn how to acquire, import, modify, join, summarize, visualize, and analyze datasets in order to better understand the relationships between accounting information and capital markets such as how stock prices respond to earnings information, what financial statement information best predicts accounting irregularities, and how eXtensible Business Reporting Language (XBRL) can be harnessed to make more uniform comparisons across companies. Prior work with designing and using relational databases will be enhanced in this course, with a continued emphasis on using data in an ethical manner. The course will be structured around hands-on programming sessions and accompanied by individual assignments to gauge students¿ mastery of the Python language and multiple projects built around using data to gain insights about the real-world relationships between accounting information and capital market outcomes. Specific topics will vary based on current issues and instructor interest.","3 Credits"
"Accounting (ACCTG)","ACCTG 806","Taxes and Business Planning","Effects of tax regimes on decision-making, tax planning and market outcomes. Also, ethics, tax research, and policy.","3 Credits"
"Accounting (ACCTG)","ACCTG 811","Financial Accounting","Accounting rules, practices and applications that characterize the accounting presentations that for-profit organizations provide to the public.ACCTG 811is part of a series of four accounting courses designed to provide students with the core accounting knowledge needed for an accounting career in industry. This course introduces students to the basic principles, procedures, and objectives of financial accounting that govern the reporting of information about a business to individuals, institutions and other external groups. Course content focuses on: upon (1) conveying the conventions and institutional framework that define accounting rules and practice, including basic exposure to Generally Accepted Accounting Principles; (2) developing familiarity with financial statements; (3) teaching fundamental accounting transactions; and (4) training students in rudimentary analysis of the financial statements.","3 Credits"
"Accounting (ACCTG)","ACCTG 812","TAXATION","Introduction to U.S. federal income tax, covering the basics of taxation of individuals, corporations, flow-through entities and property transactions.ACCTG 812is part of a series of four accounting courses designed to provide students with the core accounting knowledge needed for an accounting career in industry. This course introduces students to the U.S. federal income tax system. It discusses the pervasive nature of taxation in the U.S. economy and teaches students how to recognize major tax issues, with an emphasis on understanding how they impact economic decision-making. Course content focuses on: (1) developing familiarity with the tax research process and the basic principles of tax planning, (2) the taxation of individuals, and (3) the taxation of business entities including corporations and partnerships.","3 Credits/Maximum of 999"
"Accounting (ACCTG)","ACCTG 813","Auditing","Principles of the risk-based approach to the audit of financial statements, with special focus on financial information systems.","3 Credits/Maximum of 999"
"Accounting (ACCTG)","ACCTG 814","Managerial Accounting","Examination of the internal organizational accounting procedures that establish accountability within organizations.","3 Credits/Maximum of 999"
"Accounting (ACCTG)","ACCTG 821","Analysis and Interpretation of Tax Law","ACCTG 821provides accounting and law students who are interested in the practice of taxation with an overview of U.S. federal income tax system research. The course focuses on resolving tax law questions in support of economic decision making and tax return position defense. Students learn to conduct and document in-depth legal research and analysis within the domain of tax law. This writing intensive course hones students' writing skills within the domain of tax law and business decision making. Additionally, the course provides an in-depth understanding of the ethical constructs that guide and limit the practice of taxation.","3 Credits"
"Accounting (ACCTG)","ACCTG 822","Corporate Taxation and Financial Reporting","ACCTG 822provides accounting students with knowledge about the taxation of corporations. The course focuses on the tax law treatment of corporate formations, operations, distributions, mergers, and acquisitions. Additionally, students learn about Accounting Standards Codification Topic 740--Income Tax, planning for corporate structure classification, and related ethical considerations.","3 Credits"
"Accounting (ACCTG)","ACCTG 823","Taxation of Pass-Through Entities","ACCTG 823provides accounting students who are interested in the practice of taxation a survey of the law defining the taxation of pass-through entities including partnerships, S-corporations, limited liability companies, and trusts. The course focuses on the tax law treatment of formation, operations, distributions, mergers, and acquisitions to the entity and its owners. Planning for structure classification and limitations thereof are embellishments to the basic tax law applicable to pass-through entities.","3 Credits"
"Accounting (ACCTG)","ACCTG 826","International Taxation","ACCTG 826provides Taxation students knowledge about international tax. The course focuses on the United States taxation of income earned by foreign individuals and entities (inbound transactions) as well as the taxation of U.S. taxpayers operating in foreign jurisdictions (outbound transactions). Students will learn to evaluate legal jurisdiction, residency, and income sourcing, along with planning to optimize transfer pricing and income deferral. In addition, the course provides for an in-depth understanding of treaty utilization and the foreign tax credit in order to limit the same income being taxed by multiple jurisdictions as well as analyzing ethical considerations relating to international taxation.","1.5 Credits"
"Accounting (ACCTG)","ACCTG 827","State and Local Taxation","ACCTG 827provides Taxation students knowledge about state and local tax. The course focuses on state taxation of entities and individuals, including constitutional restrictions. In particular, students will acquire the knowledge necessary to recommend solutions that are in conformity with both corporate and personal tax laws. Additionally, the course provides for an in-depth understanding of sales and use tax in order to both promote compliance as well as limit tax exposure to the extent permitted by law.","1.5 Credits"
"Accounting (ACCTG)","ACCTG 829","Tax Research and Analysis","ACCTG 829is the capstone course for students in the M.Acc. in Taxation program, providing a culminating experience near completion of the program. The course focuses on resolving tax law questions in support of economic decision making and tax return position defense. Students learn to conduct and document in-depth legal research and analysis within the domain of tax law. This writing intensive course hones students' communications skills within the domain of tax law and permits students to build on content knowledge learned in other Taxation core courses. Additionally, the course provides an in-depth understanding of the ethical constructs that guide and limit the practice of taxation.","3 Credits"
"Accounting (ACCTG)","ACCTG 831","Advanced Auditing","The goal of this course is to advance knowledge in contemporary issues in auditing and in auditing research and case analysis. The focus includes implementing the auditing principles, standards, procedures, and practices, and applying them in case analysis. Topics comprise integrated auditing of financial statements and internal controls; continuous auditing; assurance services on nonfinancial information; auditing of computer-based systems; emphasis on auditing software and computer auditing techniques used to evaluate accounting systems controls and test accounting data integrity; forensic accounting and fraud detection; and the nature and use of expert systems in accounting with emphasis on their use as an audit tool.","3 Credits"
"Accounting (ACCTG)","ACCTG 873","Advanced Topics in Financial Reporting","Financial disclosure and reporting for complex business enterprises and activities; current issues in financial reporting.","3 Credits"
"Accounting (ACCTG)","ACCTG 881","Financial Statement Analysis","Analysis of financial reports to identify business strategy, assess performance and economic standing, and value claims.","3 Credits"
"Accounting (ACCTG)","ACCTG 895","Internship","Supervised, professionally oriented, off-campus, nongroup instruction, including field experiences, practicums, or internships.","1-6 Credits/Maximum of 6"
"Accounting (ACCTG)","ACCTG 897","Special Topics","Formal courses given on a topical or special interest subject with a professional orientation that may be offered infrequently; several different topics may be taught in one year or semester.","1-9 Credits/Maximum of 9"
"Accounting - CA (ACCT)","ACCT 501","Financial Statement Analysis","Study of financial reporting, financial statement analysis, capital markets, asset pricing and impact of ethical, legal, regulatory and environmental concerns.","3 Credits"
"Accounting - CA (ACCT)","ACCT 504","Auditing Theory and Practice","Auditing theory pertaining to the regulatory environment, risk assessment, internal controls, materiality, computerization, analytical procedures, sampling, fraud, ethics, and professional responsibilities.ACCT 504Auditing Theory and Practice (3) This course provides in-depth coverage of the theory and practice of auditing. Topics may include the regulatory environment, risk assessment and planning, internal controls, materiality, computerized auditing, analytical procedures and sampling, accounting fraud, ethics and professional responsibilities. Students are expected to apply professional judgment in practical applications of course concepts, building on technical knowledge acquired in undergraduate accounting coursework.","3 Credits"
"Accounting - CA (ACCT)","ACCT 510","Business Tax Planning Theory and Practice","Tax theory pertaining to corporations, partnerships and conduit entities, estates, trusts, ethics, and professional tax responsibilities.ACCT 510Business Tax Planning Theory and Practice (3) This course provides in-depth coverage of the theory and practice of tax planning for corporations, partnerships and other related pass-through entities. Topics will include tax research, corporate formation and capital structure, corporate non-liquidating distributions, corporate acquisitions and reorganizations, consolidated tax returns, partnership formation and operation, special partnership issues, S corporations, taxation of gifts, estates and trusts, and professional responsibilities and ethics.","3 Credits"
"Accounting - CA (ACCT)","ACCT 532","Accounting Information and Decision Systems","The study of business processes, transactions cycles, and internal control structure with an emphasis on computerized accounting information systems.ACCT 532Accounting Information and Decision Systems (3) The course includes the study of business processes, transactions cycles, and internal control structure with an emphasis on computerized accounting information systems. The course explores the need for communication of information across functional areas to meet an organization's contemporary auditing, professional and legal considerations. The role of information systems is demonstrated by a focus on reporting objectives, management needs, transaction trails, documentation, security, internal controls, and the integration of accounting systems in the evaluation and selection of software.","3 Credits"
"Accounting - CA (ACCT)","ACCT 540","Accounting for Managerial Decisions","Application of accounting to monitoring and improving the internal operation of an organization.  ACCT 540ACCT 540 Managerial Accounting (3) Accounting is the language of economic activity. Managers in all organizations - business, government, and not-for-profit - use accounting information to make decisions. As such, managerial accounting is an important competency area for MBA graduates.Managerial Accounting addresses resource-related questions from a cost perspective. Relevant issues include resources consumed and the related cost of producing goods and providing services, and the effectiveness and efficiency of resource usage.","3 Credits"
"Accounting - CA (ACCT)","ACCT 545","Strategic Cost Management","Current managerial accounting topics such as activity-based costing, theory of constraints, performance measures and their use in organizations.","3 Credits"
"Accounting - CA (ACCT)","ACCT 550","Professional Responsibilities and Ethics in Accounting","The study of ethical systems and ethical decision making and their application in Accounting.ACCT 550Professional Responsibilities and Ethics in Accounting (3) This course provides students with a foundation in professional codes of conduct and ethics adopted by professional associations and licensing boards for accountants, auditors, and fraud examiners. Topics include research into and discussions of selected historical and contemporary ethical cases and issues as they relate to accounting and business. The course includes an introduction to the concepts of ethical reasoning, integrity, objectivity, independence, core values, and professional issues in accounting. The course provides a working knowledge of ethical and justice theories on which students will be able to build as their careers progress. Some of the ethical issues that they may have to address include corporate social responsibility, distributive justice, accounting and economic development, accounting and the environment, professionalism, whistleblowing, and tax avoidance and evasion. Students will gain an understanding of the ethical foundations from which they can address the ethical issues that they will face as a professional.","3 Credits"
"Accounting - CA (ACCT)","ACCT 561","Financial Statement Analysis II","The exploration of conventional and advanced methods of analyzing financial statements, including earnings quality and financial distress assessment.  ACCT 561ACCT 561 Financial Statement Analysis II (3) The objective of this course is to explore conventional and advanced analytical methods of analyzing financial statements. Expanding on the material covered in a financial accounting or financial statement analysis course and using actual financial statements, students: � review and apply the traditional methods for analyzing financial statements, such as ratio analysis, trend analysis, and common-size analysis � apply advanced tools for analyzing financial statements, such as financial distress prediction models and earning manipulation prediction models � evaluate accounting policies and disclosures and their impact on the financial statements through the assessment of earnings qualityEvaluation methods include case studies of actual companies and a comprehensive project to analyze the financial statements of a publicly-traded company. This course typically will be offered once a year.","3 Credits"
"Accounting - CA (ACCT)","ACCT 572","Financial Reporting I","Accounting theory and practice for reporting consolidations, foreign currency transactions, and preparing financial statements for governmental and NGOs.ACCT 572Financial Reporting I (3) This course covers accounting theories and procedures as they pertain (a) to the preparation of financial statements for consolidated entities, (b) to the use of foreign currency and (c) to the financial reporting of activities of governmental and of not-for-profit entities. Contemporary reporting issues are reviewed and explored. This course may utilize textbooks, lectures and/or cases. It is guided by financial reports. It explores the means of preparing certain financial statements and the ways of interpreting them. This course is recommended for students who did not take Advanced Accounting and/or Governmental Accounting at the undergraduate level.","3 Credits"
"Accounting - CA (ACCT)","ACCT 573","Financial Reporting II","Topics involving consolidated financial statements, special purpose entities, derivative financial instruments, and use of the Financial Accounting Research System (FARS).ACCT 573Financial Reporting II (3) This course covers (a) advanced topics related to the preparation of consolidated financial statements, (b) accounting for derivative financial instruments, (c) accounting for off-balance sheet financing and special purpose entities, and (d) the use of the Financial Accounting Research System (FARS) to explore advanced financial reporting issues. This course relies upon textbooks-based, lecture-based, and case-based learning. It is guided by financial reports. It explores the means of preparing certain financial statements and the ways of interpreting them. It is assumed that students taking this course have either completedACCT 572or have completed courses providing significant coverage of consolidations, foreign currency trasactions, governmental accounting and not-for-profit accounting at either the undergraduate or graduate level.","3 Credits"
"Accounting - CA (ACCT)","ACCT 590","Colloquium","Continuing seminars that consist of a series of individual lectures by faculty, students, or outside speakers.","1-3 Credits/Maximum of 3"
"Accounting - CA (ACCT)","ACCT 596","Individual Studies","Creative projects, including research and design, that are supervised on an individual basis and which fall outside the scope of formal courses.","1-9 Credits/Maximum of 9"
"Accounting - CA (ACCT)","ACCT 597","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.","1-9 Credits/Maximum of 9"
"Accounting - CA (ACCT)","ACCT 834","Information Technology (IT) Auditing","This course centers on auditing elements of the information technology environment that are required for any financial or operational audit that is significantly dependent on computerized systems. This course exposes students to the key areas of IT auditing - security, system development, operations including business resilience - using a risk management and controls approach. The course helps students develop the ability to evaluate automated and manual controls within the IT infrastructure for potential impacts on critical attributes like confidentiality, availability, and privacy. Control failures will be covered to highlight the unique judgment decision making paradigm that auditing brings to the operation of the IT control environment. Finally, the IT related frameworks and regulations that exist within the United States will be examined.","3 Credits"
"Acoustics (ACS)","ACS 501","Elements of Acoustics and Vibration","Vibrational acoustics including mechanical oscillation, forced and damped response, vibration of strings, membranes, rods, bars, and plates.ACS 501Elements of Acoustics and Vibration (3) Acoustics is a broad subject that crosses and interacts with many engineering, science, mathematics, medical, and artistic disciplines. This course provides a thorough foundation necessary for studying structural acoustics and vibration problems and the exploration of acoustic waves in solids. A detailed analysis of the single-degree-of-freedom mechanical mass-spring system provides the building block for exploring lumped-element models of more complicated acoustic systems and the phenomena of resonance for forced and damped systems. Multiple-degree-of-freedom mechanical systems are used to investigate the coupled oscillation between oscillating systems, the design of vibration absorbers, and methods for modeling the low frequency behavior of guitars, violins, and vented-boxed loudspeakers. Extending the mass-spring model to an infinite number of degrees-of-freedom leads to a development of the wave equation and its solutions for longitudinal acoustic waves in elastic solids. Boundary conditions and the concept of mechanical impedance are used to explore standing waves in a bounded elastic medium and the transmission of waves between media with different elastic properties. Transverse waves on an elastic string, while fundamentally different from longitudinal waves, obey the same differential equation of motion and the same application of boundary conditions and mechanical impedance. For both longitudinal and transverse wave systems, the mechanical impedance approach and the method of separation of variables are used to study systems with specified boundary conditions. Longitudinal and transverse waves in structures with varying cross-section, density, or elastic properties are also explored. Torsional waves in elastic solids are explored with application to systems with various cross-sectional shapes. Membranes serve as a two-dimensional extension of transverse waves on an elastic string, and provide mode shapes which may be described using rectangular and cylindrical coordinates (with Bessel function solutions). The fourth-order differential equation of motion for flexural bending vibrations of thin beams is derived and solutions are explored using the separation of variables approach for boundary value problems. Finally, the flexural vibration of two-dimensional rectangular and circular plates are investigated. Homework problem sets will illustrate theory and applications to real world problems.","3 Credits"
"Acoustics (ACS)","ACS 502","Elements of Waves in Fluids","Thermodynamic and hydrodynamic foundations of linear acoustics in fluids with applications to lumped-elements, reflection, refraction, radiation, attenuation, enclosures, and waveguides. The purpose of this course is to provide the foundation for understanding the behavior of waves in fluids in the ""linear acoustic"" limit for first-year graduate students entering the Graduate Program in Acoustics. The course provides a common ground for students coming from a broad range of varying undergraduate programs in sciences, engineering, mathematics, and the arts. This self-consistent foundation will be built upon an understanding of thermodynamics and the consequences for the behavior of gases and gas mixtures (i.e., ideal gas equations-of-state, heat capacity), and hydrodynamics (both dissipative and non-dissipative) as expressed from the Eulerian perspective. This perspective will be used to develop techniques for understanding oscillations in lumped-element acoustical networks that are smaller than the wavelength of sound and will be applied to extended media in which waves propagate, are reflected and transmitted through interfaces between media with different acoustical properties, and are refracted through media with continuously-varying acoustical properties. The same equations will be applied to the excitation of sound waves that propagate in 3-dimensions by vibrating bodies that are smaller than the wavelength of sound. Those results will be extended by superposition of such ""compact sources"" to produce both discrete and continuous one- and two-dimensional arrays. The directional properties and strength of such extended sources will be examined. The behavior of sound within 3-dimentional rectangular enclosures is studied via the method of ""separation of variables"" to identify the sound modes in such enclosures, their characteristic frequencies, and the selective excitation and detection of such modes. The frequency dependence of the density of modes is introduced to motivate the relationship between the modal and raytracing (i.e., ballistic) perspectives. The techniques of ""statistical energy analysis"" will be applied such enclosures to quantify architectural phenomena such as reverberation time and critical distance. Those results will be extended to non-rectangular enclosures and to rectangular and cylindrical waveguides, focusing on the concept of group and phase speed and the coupling of sources to planewave and higher-order waveguide modes. Attenuation of sound waves is also treated from the hydrodynamic perspective and results are derived for boundary-layer dissipation, classical thermoviscous sound absorption within bulk fluids, and the relaxation-time approximation is applied for sound absorption by chemical association-dissociation in seawater and the effects of humidity on collision-times in air. Problem sets that illustrate the theory and applications are a central component of this course.","3 Credits"
"Acoustics (ACS)","ACS 503","Signal Analysis for Acoustics and Vibration","This course will provide students with an in-depth treatment of time/frequency analysis of acoustic or vibration signals with direct connection to physical measurements. Students will build an awareness of the various techniques of signal analysis and a proficiency with these techniques and the language of signal analysis, skills that will facilitate their independent reading and learning beyond this course. Students will develop their ability to check answers for validity. Applications will be discussed in the context of actual measurements as students explore the implications and limitations of conventional techniques as applied to real signals in the background of real noise. Building on these insights, the students will demonstrate proficiency in the application of the techniques of signal analysis using common analysis-software packages and will develop proficiency in interpretation of the results.","3 Credits"
"Acoustics (ACS)","ACS 505","Experimental Techniques in Acoustics","Properties of acoustical and vibrational transducers, electronic and other instrumentation used in fundamental data measurement, acquisition and analysis.","2 Credits"
"Acoustics (ACS)","ACS 513","Digital Signal Processing","Discrete linear systems, transforms, digital filter design and applications, discrete fourier transforms, spectrum analysis.","1-3 Credits"
"Acoustics (ACS)","ACS 514","Electroacoustic Transducers","The theory, design, and calibration of passive, linear, reciprocal electroacoustic transducers for use in both air and water media.","3 Credits"
"Acoustics (ACS)","ACS 515","Acoustics in Fluid Media","Wave propagation in stationary and moving fluids; acoustic radiation and scattering; standing waves in ducts and cavities.","3 Credits"
"Acoustics (ACS)","ACS 516","Acoustical Data Measurement and Analysis","Presents the engineering applications of recent developments in correlation and spectral analysis to acoustical measurement problems.","2-3 Credits/Maximum of 3"
"Acoustics (ACS)","ACS 519","Sound-Structure Interaction","Acoustic radiation from and effects of fluid-loading on vibrating infinite and finite plates and shells.  Acoustic transmission through and reflection from elastic plates and shells, acoustic excitation of elastic plates and coupling between panels and acoustic spaces.","3 Credits"
"Acoustics (ACS)","ACS 521","Stress Waves in Solids","Recent advances in Ultrasonic Nondestructive Evaluation: waves; reflection and refraction; horizontal shear; multi-layer structures; stress; viscoelastic media; testing principles.","3 Credits"
"Acoustics (ACS)","ACS 523","Signal Analysis for Acoustics and Vibration II","This course is concerned with the time and frequency-domain analysis of discrete-time signals and discrete-time linear systems, with an emphasis on developing and applying analysis techniques with applications in acoustics and vibrations. In this course, students will learn how to apply amplitude and frequency modulation to signals, evaluate the stability and causality of systems, extract features from measured acoustic signals, and design and use common filters (i.e. infinite impulse response, finite impulse response, adaptive, and tracking).","3 Credits"
"Acoustics (ACS)","ACS 524","Transducers II and Acoustics System Modeling","The course covers current research in the design analysis and performance prediction for acoustic transducers and acoustical systems that include transducers. Examples of such systems are microphones, loudspeakers, piezoelectric sources and sensors, and systems that include one or more of these devices. This course builds on the understanding developed inACS 514to synthesize knowledge necessary for understanding and analyzing the nonlinearities in transducer systems to enable improved designs with reduced distortion or compensation for nonlinear behavior.","3 Credits"
"Acoustics (ACS)","ACS 530","Flow-Induced Noise","Introduction to the basic and applied aspects of flow-induced noise created by subsonic flows of various complexities.  ACS 530ACS 530 Flow-Induced Noise (3) The objective of this course is to introduce the basic and applied aspects of flow noise created by subsonic flows of various complexities. Basic concepts of noise and pressure fluctuations induced by unsteady fluid flows are discussed, including theoretical as well as experimental approaches. For a given class of flow, mechanisms for the creation of unsteady wall pressures and forces, radiated sound, and fluid-structure interactions are detailed. Various prediction schemes are presented which range from purely theoretical to empirical. The intent is to keep the material practical while at the same time introducing the student to a wide variety of specific topics. Some of the topics to be presented include: basic fluid mechanics, fundamental flow noise theory, flow noise measurement issues including wave vector-frequency spectral estimates of unsteady pressures and forces, compact Green's functions, unsteady forces and noise created by bluff bodies in flow, vortex shedding noise, wall pressure fluctuations and acoustics associated with turbulent boundary layers, including separated layers and transition zones, unsteady forces and noise due to flow over lifting surfaces, edge acoustic scattering mechanisms, axial-flow fan noise, rotor/flow interactions, turbulence ingestion, centrifugal blower noise, and noise generated by flow in pipes. The prerequisite for this course is a solid understanding of the fundamentals of acoustics, as demonstrated by successful completions ofACS 501and502. Students with a minor in Acoustics from accredited universities may also have the proper background to take this course. Although basic fluid mechanics is covered in the course, any previous courses or experience in this area will be beneficial. Homework problems will be assigned weekly and graded. Some of the homework may involve reading technical papers and providing a written synopsis. The average of all homework grades will constitute one-third of the final course grade. Another third will come from the mid-term exam and the final third from the final exam.","3 Credits"
"Acoustics (ACS)","ACS 533","Outdoor Sound Propagation","The course provides an overview of the ongoing research, theory, and practice of outdoor sound propagation, also called atmospheric acoustics. Topics covered include sound propagation over realistic ground surfaces (including barriers and terrain) with temperature gradients and turbulence, computational methods for outdoor sound, outdoor sound metrics, and experimental techniques for measuring sound outdoors. Ongoing research in outdoor sound will be discussed, as prediction of sound levels in complicated environments, including in a real atmosphere and over real ground surfaces, does not match experimental measurements.","3 Credits"
"Acoustics (ACS)","ACS 537","Noise Control Engineering I","As the first of three courses, this course provides an orientation to the program and covers fundamentals of noise control.ACS 537Noise Control Engineering I (3)  This course will introduce students to the application of acoustic and vibration fundamentals to the analysis and reduction of noise and vibration problems in industrial and residential settings.  Topics will include: source-path-receiver model, human hearing and psychoacoustics, human response to noise and vibration, sound quality metrics and criteria for quantifying noise,  acoustic standards related to noise and vibration control, instrumentation for measuring and analyzing noise and vibration, noise sources (distributed sources, impact sources, flow noise), absorption (materials, measurement, placement), control of sound in large and small rooms, partitions and barriers,  mufflers, and vibration control techniques.   Homework will combine problem solving with analysis of case studies.  Group projects may be used to encourage collaborative approaches to problem solving.","3 Credits"
"Acoustics (ACS)","ACS 540","Nonlinear Acoustics in Fluids","This course will analyze nonlinear acoustics, the study of loud sound waves where linear acoustics is not a good approximation. Active research in nonlinear acoustics spans many areas including noise control, biomedical ultrasound, underwater acoustics, and in the enhancement and control of industrial processes. This course is primarily focused on the nonlinear acoustics of fluids, but it is also a good background preparation for studies on the nonlinear acoustics of solids.","3 Credits"
"Acoustics (ACS)","ACS 542","Physical Principles in Biomedical Ultrasonics","Physical principles of advanced ultrasonic imaging and quantitative data acquisition techniques in fields of biology and medicine.  E MCH (ACS) 542 Physical Principles in Biomedical Ultrasonics (3) This course focuses on the phenomenon of ultrasound in the context of medical and biological applications, systematically discussing physical principles and concepts. Concepts of wave acoustics are examined and practical implications are explored - first, the generation and nature of acoustic fields and then their formal descriptions and measurement. Real tissues attenuate and scatter ultrasound in ways that have interesting relationships to their physical chemistry, and the course includes coverage of these topics. This course also includes critical accounts and discussions of the wide variety of diagnostic and investigative applications of ultrasound that are available in medicine and biology. The course encompasses the biophysics of ultrasound and its practical applications to therapeutic and surgical objectives. The course utilizes finite element methods for simulation.","3 Credits"
"Acoustics (ACS)","ACS 544","Computational Acoustics","This course provides exposure to the field of computational acoustics including several important computational tools such as symbolic mathematics software, finite differences, finite elements, boundary elements, scientific visualization, and sound propagation algorithms. When possible, emphasis will be placed on commercially available software for solving noise and vibration problems. Guidelines will be given for choosing the right numerical approach, generating meshes, and solving problems in active research areas such as product noise, audio and telephony, structural acoustics, and automobile and aircraft interior noise. Time domain, frequency domain, and fluid-structure interaction problems are all addressed.","3 Credits"
"Acoustics (ACS)","ACS 547","Noise Control Applications","Noise Control Applications explores research into predicting noise from sound sources, designing methods to muffle sounds from pipe and duct systems, and ongoing research into acoustic enclosures and vibration control to block noise.","3 Credits"
