"course_code","course_name","course_level","course_hours","course_description"
"ACCT 714","Auditing and Assurance","Graduate","3 Hours","The purpose of this seminar is to introduce the theory of auditing and the empirical methodologies used to research audit and assurance. During the seminar, we will read and critique published research papers related to auditing. We will also discuss alternative ways in which the author(s) might have achieved their research objectives."
"ACCT 793","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"ACCT 795","Independent Study","Graduate","1-9 Hours","Faculty-supervised study of topics not available through regular course offerings."
"ACCT 797","Research","Graduate","1-9 Hours","PR: Consent.  Research activities leading to thesis, problem report, research paper or equivalent scholarly project, or a dissertation. (Grading will be S/U.)."
"ACE 508","The Profession of Sport Coaching","Graduate","3 Hours","An interaction-based course pertaining to professional coaching, coaching theory, and the engagement in problem solving and critical thinking in the profession of sport coaching."
"ACE 510","Training Theories for Coaches","Graduate","3 Hours","This course is designed to promote critical thinking, problem solving and use of current training theories for best practice in coaching across all levels to develop and nurture talent."
"ACE 518","Psychology of Coaching","Graduate","3 Hours","In-depth understanding of the psychology of coaching athletes and application of this knowledge into coaching practices for optimal athlete development and performance. Contemporary issues also covered."
"ACE 522","Motor Behavior for Sport Coaches","Graduate","3 Hours","Designed to increase coaches' understanding of how athletes learn motor skills. Theories of motor learning, techniques to provide effective instruction, practice design, stages of learning, assessment, and coaching strategies to structure training and practice to optimize skill acquisition and performance."
"ACE 524","Data Analytics in Sport Development & Performance","Graduate","3 Hours","This graduate-level course explores data analytics theories and practices in sport. The modern sport team coach utilizes analytics that support individual and team development and performance across contexts."
"ACE 525","Talent Development and Identification in Sport","Graduate","3 Hours","This course explores both talent identification and talent development theories and practices in sport that support individual development and sport performance across contexts."
"ACE 530","Coaching Education Administration","Graduate","3 Hours","An administrative focus on leadership, finance, fundraising, planning, facility development, personnel supervision, public relations, rules and regulations, purchase and care of equipment and the conducting of athletic events."
"ACE 539","Create Healthy Competitive Environments","Graduate","3 Hours","Course explores topics related to techniques of training, ergogenic aids, performance enhancement, and the coach roles and responsibilities in designing, creating and maintaining a safe and healthy environment."
"ACE 541","Positive Youth Development in Sport","Graduate","3 Hours","PR:ACE 508. Review literature and outreach programs in positive youth development. Emphasis on development of psychosocial assets in youth such as life skills and character."
"ACE 568","Sport Movement Analysis","Graduate","3 Hours","This course applies the laws of physics to sport activities with the objective of finding the most efficient use of the human body to achieve the highest levels of performance."
"ACE 569","Strength and Conditioning Methods for Coaches","Graduate","3 Hours","Present basic exercise performance methodologies to assist in coaching athletes. Types of training include speed drills, agility drills, conditioning workouts, flexibility exercises, balance-improvement drills, and proper training- environment safety techniques."
"ACE 573","Advanced Strength and Conditioning Coaching Techniques","Graduate","3 Hours","Present various exercises in hands-on setting to utilize in training. Proficiency is taught in Olympic movements, free weights, machine weights, and plyometrics. Speed and agility track exercises will be included."
"ACE 580","Evaluation in Coaching","Graduate","1 Hour","Key principles of research methods, evaluation, and planning to identify and organize instruments for data analysis and formulation of a Program Evaluation Strategy. Knowledge and skills needed to initiate a well-designed evaluation of their team, program, and self (as a coach). Course is online."
"ACE 582","Program Evaluation for Coaches","Graduate","1 Hour","PR:ACE 580. Integration of a Program Evaluation Strategy (PES) utilizing program materials and concepts in an applied professional setting. The PES will be implemented and evaluated over two full semesters. Students must have a position coaching in an applied sport setting. Course is online. (1 credit; repeated twice)."
"ACE 584","Evaluation Based Planning for Coaches","Graduate","1 Hour","PR:ACE 582with a minimum grade of B-. This course enhances coaches’ understanding of their own coaching through reflection. Insights, limitations, and future coaching strategies to overcome limitations in students’ coaching practices are presented as a way of reflecting to facilitate coach development."
"ACE 585","Applied Professional Development","Graduate","3 Hours","This is a graduate level course designed to enhance coaches’ understanding of their own coaching through reflection."
"ACE 587","Strength and Conditioning Program Design Coach","Graduate","3 Hours","Students in this course will learn to design programs in athletic resistance training, plyometrics, conditioning, and agility, and students will learn to handle detraining, sports specificity, and periodization for offseason and competition programs."
"ACE 591","Advanced Topics","Graduate","1-6 Hours","PR: Consent.   Investigation in advanced topics that are not covered in regularly scheduled courses."
"ACE 592","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"ACE 593","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"ACE 594","Seminar","Graduate","1-6 Hours","Special seminars arranged for advanced graduate students."
"ACE 595","Independent Study","Graduate","1-9 Hours","Faculty-supervised study of topics not available through regular course offerings."
"ACE 602","Action-based Research for Coaching","Graduate","3 Hours","Examination of action based research as applied to sport studies. Emphasis placed on learning the skills of disciplined inquiry to inform and change ones practices in the future."
"ACE 645","Contemporary Issues in Sport","Graduate","3 Hours","Contemporary issues in sport; to make you a more successful coach, expose you to situations in today's coaching profession, and prepare you to plan for situations that may arise."
"ACE 671","Women in Sport","Graduate","3 Hours","ACE Graduate: Study the history of women in sport, and investigate issues that are directly related to women in sport as participants, coaches, administration, parents and fans."
"ACE 682","Program Evaluation for Coaches","Graduate","1 Hour","PR: ACE 680. Integration of a Program Evaluation Strategy (PES) utilizing program materials and concepts in an applied professional setting. The PES will be implemented and evaluated over two full semesters. Students must have a position coaching in an applied sport setting. Course is online. (1 credit; repeated twice)."
"ACE 685","Coaching Internship","Graduate","1-6 Hours","Students will complete a contract detailing terms of the learning experience. The levels of coaching include but are not limited to elementary schools, little league, secondary schools, and collegiate levels."
"ACE 688","Coaching Techniques","Graduate","1-6 Hours","Students will complete a contract detailing terms of coaching technique topics relevant to their individual coaching experience."
"ACE 691","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"ACE 692","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"ACE 693","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"ACE 694","Seminar","Graduate","1-6 Hours","Special seminars arranged for advanced graduate students."
"ACE 695","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"ACE 696","Graduate Seminar","Graduate","1-3 Hours","PR: Consent.   Each graduate student will present at least one seminar to the assembled faculty and graduate student body of his or her program."
"ACE 697","Research","Graduate","1-9 Hours","PR: Consent.  Research activities leading to thesis, problem report, research paper or equivalent scholarly project, or a dissertation. (Grading may be S/U.)."
"ACE 698","Thesis or Dissertation","Graduate","1-6 Hours","PR: Consent.  This is an optional course for programs that wish to provide formal supervision as needed during the writing of student reports, theses, or dissertations. (Grading is Normal)."
"ACE 699","Graduate Colloquium","Graduate","1-6 Hours","PR: Consent.   For graduate student not  seeking coursework credit but who wish to meet residency requirements, use the University's facilities, and participate in its academic and cultural programs. Note: Graduate students who are not actively involved in coursework or research are entitled, through enrollment in their department's Graduate Colloquium to consult with graduate faculty, participate in both formal and informal academic activities sponsored by their program, and retain all of the rights and privileges of duly enrolled students. Grading is Normal; colloquium credit may not be counted against credit requirements for masters programs. Registration for one credit of 699/799 graduate colloquium satisfies the University requirement of registration in the semester in which graduation occurs."
"ACE 900","Professional Development","Graduate","1-6 Hours","Professional development courses provide skill renewal or enhancement in a professional field or content area (e.g. education, community health, geology.) The continuing education courses are graded on a pass/fail grading scale and do not apply as graduate credit toward a degree program."
"ACE 930","Professional Development","Graduate","1-6 Hours","Professional development courses provide skill renewal or enhancement in a professional field or content area (e.g. education, community health, geology.) These tuition-waived, continuing education courses are graded on a pass/fail grading scale and do not apply as graduate credit toward a degree program."
"ADPR 521S","Audience Insights and Analysis","Graduate","3 Hours","PR: ADV 315 orADV 315Sor PR 324 orPR 324SorSTCM 315with a minimum grade of C- or consent. Strategic communications research builds upon an understanding of advertising and public relations fundamentals, theory and practice. This course is designed to introduce advertising and public relations graduate students to communication research methods that are commonly used to identify problems and issues of concern; guide strategic planning, message development and placement; and evaluate plans and campaigns."
"ADPR 559S","Advertising and Public Relations Campaigns","Graduate","3 Hours","PR: ADPR 421 orADPR 421Sor ADPR 521 orADPR 521Sor STCM 421 or STCM 521 with a minimum grade of C- or consent. This course is the graduate level section of the advertising and public relations campaigns capstone course. As such, it draws heavily on students' previous training in principles, techniques, writing, and research methods to help lead and implement the development of a strategic communications campaign for a real organizational client."
"ADPR 593","Special Topics","Graduate","1-6 Hours","Study of advanced topics that are not covered in regularly scheduled courses."
"ADV 521","Mass Communication Research","Graduate","3 Hours","Introduction to use of marketing research as a campaign strategy, research methodologies, and the generation, understanding, and application of marketing and advertising research findings. Lecture, in-class exercises, outside projects, individual and team assignments."
"ADV 591","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation in advanced topics that are not covered in regularly scheduled courses."
"ADV 592","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"ADV 593","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"ADV 594","Seminar","Graduate","1-6 Hours","Special seminars arranged for advanced graduate students."
"ADV 595","Independent Study","Graduate","1-9 Hours","Faculty-supervised study of topics not available through regular course offerings."
"AEM 545","Food Microbiology","Graduate","3 Hours","PR:AEM 341. The relationships of micro-organisms to food-borne illness and intoxications, microbial food quality, food spoilage, food preservation and bio-processing.  The emerging food preservation technologies and predictive microbiology will be introduced."
"AEM 549","Food Microbiology Lab","Graduate","1 Hour","PR:AEM 545. Laboratory training in methods used in microbiological examination of foods.  This laboratory will provide hands-on experience for students who take or have takenAEM 545."
"AEM 591","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"AEM 592","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"AEM 593","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"AEM 594","Seminar","Graduate","1-6 Hours","Special seminars arranged for advanced graduate students."
"AEM 595","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"AEM 748","Sanitary Microbiology","Graduate","3 Hours","PR:AEM 341or Consent.  Microbiology and health hazards associated with food handling, water treatment, and sanitary waste disposal."
"AEM 750","Current Concepts in Microbial Ecology","Graduate","1 Hour","Emphasis on reading, criticism, and discussion of recent journal articles from the primary literature in microbial ecology/environmental microbiology."
"AEM 790","Teaching Practicum","Graduate","1-3 Hours","PR: Consent. Supervised practice in college teaching of applied and environmental microbiology. NOTE: This course is intended to insure that graduate assistants are adequately prepared and supervised when they are given college teaching responsibility.  It will also present a mechanism for students not on assistantships to gain teaching experience. (Grading will be S/U.)."
"AEM 792","Directed Study","Graduate","1-6 Hours","Directed study, reading and/or research."
"AEM 795","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"AEM 797","Research","Graduate","1-9 Hours","PR: Consent.  Research activities leading to thesis, problem report, research paper or equivalent scholarly project, or a dissertation. (Grading may be S/U.)."
"AFCS 590","Teaching Practicum","Graduate","1-3 Hours","PR: Consent. Supervised practice in college teaching of agriculture, forestry and consumer sciences. Note: This course is intended to insure that graduate assistants are adequately prepared and supervised when they are given college teaching responsibility. It will also present a mechanism for students not on assistantships to gain teaching experience. (Grading will be S/U.)."
"AFCS 591","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"AFCS 592","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"AFCS 593","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"AFCS 594","Seminar","Graduate","1-6 Hours","Special seminars arranged for advanced graduate students."
"AFCS 595","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"AFCS 690","Teaching Practicum","Graduate","1-3 Hours","PR: Consent. Supervised practice in college teaching of agriculture, forestry and consumer sciences. Note: This course is intended to insure that graduate assistants are adequately prepared and supervised when they are given college teaching responsibility. It also provides a mechanism for students not on assistantships to gain teaching experience. (Grading will be S/U.)."
"AFCS 691","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"AFCS 692","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"AFCS 693","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"AFCS 694","Seminar","Graduate","1-6 Hours","Special seminars arranged for advanced graduate students."
"AFCS 695","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"AFCS 696","Graduate Seminar","Graduate","1-3 Hours","PR: Consent. Each graduate student will present at least one seminar to the assembled faculty and graduate student body of his or her program."
"AFCS 697","Research","Graduate","1-9 Hours","PR: Consent.  Research activities leading to thesis, problem report, research paper or equivalent scholarly project, or a dissertation. (Grading may be S/U.)."
"AFCS 698","Thesis or Dissertation","Graduate","1-6 Hours","PR: Consent. This is an optional course for programs that wish to provide formal supervision during the writing of student reports (698), or dissertation (798). Grading is normal."
"AFCS 699","Graduate Colloquium","Graduate","1-6 Hours","PR: Consent. For graduate students not seeking coursework credit but who wish to meet residency requirements, use of the University's facilities, and participate in its academic and cultural programs. Note: Graduate students who are not actively involved in coursework or research are entitled, through enrollment in their department's 699/799 Graduate Colloquium to consult with graduate faculty, participate in both formal and informal academic activities sponsored by their program, and retain all of the rights and privileges of duly enrolled students. Grading is S/U; colloquium credit may not be counted against credit requirements for masters programs. Registration for one credit of 699/799 graduate colloquium satisfies the University requirement of registration in the semester in which graduation occurs."
"AFCS 790","Teaching Practicum","Graduate","1-3 Hours","PR: Consent. Supervised practice in college teaching of agriculture, forestry and consumer sciences. Note: This course is intended to insure that graduate assistants are adequately prepared and supervised when they are given college teaching responsibility. It will also present a mechanism for students not on assistantships to gain teaching experience. (Grading will be S/U.)."
"AFCS 791","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"AFCS 792","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"AFCS 793","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"AFCS 795","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"AFCS 796","Graduate Seminar","Graduate","1-3 Hours","PR: Consent. Each graduate student will present at least one seminar to the assembled faculty and graduate student body of his or her program."
"AFCS 797","Research","Graduate","1-9 Hours","PR: Consent.  Research activities leading to thesis, problem report, research paper or equivalent scholarly project, or a dissertation. (Grading may be S/U.)."
"AGBI 512","Nutritional Biochemistry","Graduate","3 Hours","PR:AGBI 410or Consent.  Nutritional biochemistry of domestic animals."
"AGBI 512L","Nutritional Biochemistry Laboratory","Graduate","1 Hour","PR:AGBI 410andAGBI 410Land PR or CONC:AGBI 512. Experiments to determine the nutritional constituents in animal and plant tissues."
"AGBI 514","Animal Biotechnology","Graduate","4 Hours","PR: Corequisite ofAGBI 514L. The course will introduce students to the concepts and techniques of molecular biology and the application of these technologies in animal research. It will give the students laboratory experience in many molecular biology techniques."
"AGBI 514L","Animal Biotechnology Laboratory","Graduate","0 Hours","PR: Corequisite ofAGBI 514. Animal Biotechnology -AGBI 514Laboratory."
"AGBI 591","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation in advanced topics that are not covered in regularly schedules courses."
"AGBI 592","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"AGBI 593","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"AGBI 594","Seminar","Graduate","1-6 Hours","Special seminars arranged for advanced graduate students."
"AGBI 595","Independent Study","Graduate","1-9 Hours","Faculty-supervised study of topics not available through regular course offerings."
"AGBI 610","General Biochemistry","Graduate","4 Hours","PR: 8 hours of Organic Chemistry.  The first half of a general course of biochemistry designed for graduate students of biological sciences. The course emphasizes the chemical properties of cellular constituents."
"AGBI 612","General Biochemistry","Graduate","4 Hours","PR:AGBI 610or Consent.  The second half of a general course of biochemistry designed for graduate students of biological sciences. The course emphasizes reactions and control of intermediary metabolism."
"AGBI 690","Teaching Practicum","Graduate","1-3 Hours","PR: Consent. Supervised practice in college teaching of agricultural biochemistry. Note: This course is intended to insure that graduate assistants are adequately prepared and supervised when they are given college teaching responsibility. It also provides a mechanism for students not on assistantships to gain teaching experience. (Grading will be S/U.)."
"AGBI 691","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"AGBI 692","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"AGBI 693","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"AGBI 694","Seminar","Graduate","1-6 Hours","Special seminars arranged for advanced graduate students."
"AGBI 695","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"AGBI 696","Graduate Seminar","Graduate","1-3 Hours","PR: Consent. Each graduate student will present at least one seminar to the assembled faculty and graduate student body of his or her program."
"AGBI 697","Research","Graduate","1-9 Hours","PR: Consent.  Research activities leading to thesis, problem report, research paper or equivalent scholarly project, or a dissertation. (Grading may be S/U.)."
"AGBI 698","Thesis or Dissertation","Graduate","1-6 Hours","PR: Consent. This is an optional course for programs that wish to provide formal supervision during the writing of student reports (698), or dissertations (798). Grading is normal."
"AGBI 699","Graduate Colloquium","Graduate","1-6 Hours","PR: Consent. For graduate students not seeking coursework credit but who wish to meet residency requirements, use of the University's facilities, and participate in its academic and cultural programs. Note: Graduate students who are not actively involved in coursework or research are entitled, through enrollment in their department's 699/799 Graduate Colloquium to consult with graduate faculty, participate in both formal and informal academic activities sponsored by their program, and retain all of the rights and privileges of duly enrolled students. Grading is S/U; colloquium credit may not be counted against credit requirements for masters programs. Registration for one credit of 699/799 graduate colloquium satisfies the University requirement of registration in the semester in which graduation occurs."
"AGBI 791","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation in advanced topics that are not covered in regularly scheduled courses."
"AGBI 792","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"AGBI 793","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"AGBI 795","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"AGBI 796","Graduate Seminar","Graduate","1-3 Hours","PR: Consent. Each graduate student will present at least one seminar to the assembled faculty and graduate student body of his or her program."
"AGBI 797","Research","Graduate","1-9 Hours","PR: Consent. Research activities leading to thesis (697), problem report (697), research paper or equivalent scholarly project (697), or a dissertation (797). (Grading may be S/U.)."
"AGEE 520","Laboratory Teaching Methods","Graduate","2 Hours","Organization and preparation of teaching materials for middle and high school agriculture laboratory courses."
"AGEE 521","Laboratory Teaching Methods Practicum","Graduate","1 Hour","PR:AGEE 520. Organization and preparation of teaching materials for middle and high school agriculture laboratory courses."
