course_code,title,credits,description
AERO 202,Team and Leadership Fundamentals II,1,"Course Prerequisite: Concurrent enrollment in AERO 203 required; AERO 102 or concurrent enrollment. Fundamental principles of leadership, followership, team building, and accountability within the military; develops communication skills."
AERO 203,Leadership Laboratory II,2 (0-4),"May be repeated for credit ; cumulative maximum 4 credits . Intercollegiate athletics and leadership course; leadership principles, military experience, and management practice; 2 hours laboratory and 2-3 hours required physical training; fitness tests include strength/conditioning muscle fitness, cardiorespiratory/aerobic endurance, and body composition requirements. Location of the course alternates between WSU and UI campuses throughout the term. S, F grading."
AERO 311,Leading People and Effective Communication I,3,"Course Prerequisite: Concurrent enrollment in AERO 313 required; AERO 201. Applied leadership through supervision, mentorship, and case studies; expands on military knowledge, ethics, and communications."
AERO 312,Leading People and Effective Communication II,3,"Course Prerequisite: Concurrent enrollment in AERO 313 required; AERO 202. Applied leadership through supervision, mentorship, and case studies; expands on military knowledge, ethics, and communications."
AERO 313,Leadership Laboratory III,2 (0-4),"May be repeated for credit ; cumulative maximum 4 credits . Intercollegiate athletics and leadership course; leadership principles, military experience, and management practice; 2 hours laboratory and 2-3 hours required physical training; fitness tests include strength/conditioning muscle fitness, cardiorespiratory/aerobic endurance, and body composition requirements. Location of the course alternates between WSU and UI campuses throughout the term. S, F grading."
AERO 411,"National Security, Leadership, and Commissioning Preparation I",3,"Course Prerequisite: Concurrent enrollment in AERO 413 required; AERO 311. National security, regional studies, ethics, and doctrine; discusses military profession, justice, communications, and active-duty preparation."
AERO 412,"National Security, Leadership, and Commissioning Preparation II",3,"Course Prerequisite: Concurrent enrollment in AERO 413 required; AERO 312. National security, regional studies, ethics, and doctrine; discusses military profession, justice, communications, and active-duty preparation."
AERO 413,Leadership Laboratory IV,2 (0-4),"May be repeated for credit ; cumulative maximum 4 credits . Intercollegiate athletics and leadership course; introduces students to leadership principles, military experience, and management practice; 2 hours laboratory and 2-3 hours required physical training; fitness tests include strength/conditioning muscle fitness, cardiorespiratory/aerobic endurance, and body composition requirements. Location of the course alternates between WSU and UI campuses throughout the term. S, F grading."
AERO 499,Special Problems,V 1-4,"May be repeated for credit . Independent study conducted under the jurisdiction of an approving faculty member; may include independent research studies in technical or specialized problems; selection and analysis of specified readings; development of a creative project; or field experiences. S, F grading."
AFS 101,Introduction to Agricultural and Food Systems,1,"For new undergraduate agricultural and plant sciences majors; an introduction to advising, student success resources, academic skills, goal setting, development of graduation plans, and exploration of professional pathways."
AFS 102,Professional Development in the Agricultural and Natural Resource Sciences,1,"Professional skill development with an emphasis on behavior, goal setting, internship selection, and building a portfolio."
AFS 103,Field Experience in Agricultural and Food Systems,1,May be repeated for credit ; cumulative maximum 6 credits . Professional development with hands on experience through interactive class sessions and field trips with faculty and external partners. Two field trips required.
AFS 201,Systems Skills for Agricultural and Food Systems,3,"Introduction to the foundational concepts and vocabulary of food systems, building skills and critical systems thinking."
AFS 250,Civic Engagement in Sustainable Food Systems,2,"Introduction to sustainable food systems through lecture, discussion, and engagement. Spring Break field trip required."
AFS 302,[M] Introduction to Agroecology,3,"Agroecological crop production through case study analyses and applications of ecological principles in traditional and modern farming systems. Recommended preparation: SOIL SCI 201. (Crosslisted course offered as SOIL SCI 302, AFS 302.)"
AFS 336,"[SSCI] Agriculture, Environment, and Community",3,"Course Prerequisite: Sophomore standing Sociological perspectives on major agrifood trends, alternative agrifood movements, and impacts on human communities and the natural environment."
AFS 350,Food Systems in Western Washington,3,"Course Prerequisite: CROP SCI/HORT 102; ECONS 101; SOIL SCI 201. Introduction to local and regional food systems unique to western Washington with an emphasis on the farm-to-table processes of foods and beverages. (Course offered as HORT 350, AFS 350)."
AFS 401,[CAPS] [M] Advanced Systems Analysis and Design in Agricultural and Food Systems,3,Course Prerequisite: AFS 201; junior standing. Problem solving methodologies as applied to integrated agricultural systems analysis and design problems; strong emphasis on teamwork.
AFS 418,Soil Health and Regenerative Agriculture,2,Expert guest seminars and group discussions explore concepts in soil health and regenerative agriculture from microscale mechanisms to policies and practices for improving the food system. Recommended preparation: SOIL SCI 201.
AFS 435,Leadership for Agriculture and Natural Resources Professionals,2,"Exploration of skills, goals, philosophies, and other qualities of leadership related to agriculture and natural resources in Washington state."
AFS 445,Field Analysis of Sustainable Food Systems,3,"Course Prerequisite: By instructor permission. Experiential course visiting farms, food processing and marketing sites to develop understanding of issues in food systems sustainability. Field trip required. Credit not granted for both AFS 445 and 545. Offered at 400 and 500 level."
AFS 483,Special Topics in Study Abroad,V 2-6,May be repeated for credit ; cumulative maximum 6 credits . Interdisciplinary course that integrates experiential learning activities in agricultural food systems in an international context.
AFS 501,Current Research in Organic and Sustainable Agriculture,3,Multidisciplinary framework to assess the sustainability of a range of farming and food systems.
AFS 505,Topics in Computational and Analytical Methods for Scientists,V 1-6,"May be repeated for credit ; cumulative maximum 6 credits . Applied computational methods for researchers processing, managing, and analyzing data in scientific and engineering fields."
AFS 511,Statistical Methods for Graduate Researchers,4 (3-2),"Fundamentals of experimental design and statistical methods for graduate students in the sciences. Covers t-test for one and two means, ANOVA through completely randomized designs with one and two factors, chi-square tests and regression analysis using R. Recommended preparation: One prior course in statistics. Cannot be used for credit in the Department of Mathematics and Statistics graduate programs. (Crosslisted course offered as STAT 511, AFS 511.)"
AFS 545,Field Analysis of Sustainable Food Systems,3,"Experiential course visiting farms, food processing and marketing sites to develop understanding of issues in food systems sustainability. Field trip required. Credit not granted for both AFS 445 and 545. Offered at 400 and 500 level."
AFS 590,Sociology of Agriculture and Food Systems,3,"Theories, concepts, debates, and methods associated with the sociology of agriculture and food systems. Cooperative: Open to UI degree-seeking students."
AG_ED 110,Introduction to Agricultural Education,2,"Introduction to Agricultural Education Model, requirements for becoming an agricultural teacher; roles of the agricultural teacher."
AG_ED 407,[CAPS] Student Teaching in Agricultural Education,V 4-16,"Course Prerequisite: AG ED 440; AG ED 450; AG ED 471; senior standing. Supervised teaching in public schools including seminars reflecting effective teaching. Required preparation: Includes applying; paying certification fees; completing all other coursework for degree and teacher certification; receiving fingerprint clearance from WSP, FBI, and Office of Professional Practices; maintaining 2.5 GPA overall and in endorsement and professional core classes. Placement by interview only. S, F grading."
AG_ED 430,Reinforcing Core Academics in Agricultural Education,4 (3-3),Strategies of reinforcing core academics in secondary agricultural education. This course leads to CASE certification.
AG_ED 431,Applied Instructional Strategies in Agricultural Education,4 (2-6),"Introduction to agriculture, food, and natural resource systems, and strategies for reinforcing core academics in secondary education. Leads to CASE certification in AFNR."
AG_ED 440,[M] Principles of Career and Technical Education,V 2-3,"Course Prerequisite: TCH LRN 464 or concurrent enrollment; TCH LRN 465 or concurrent enrollment; TCH LRN 466 or concurrent enrollment. Local, state, and national vocational technical educational legislation, policies, programs, and organizations."
AG_ED 450,"Planning, Curriculum, and Techniques in Ag Ed",3,"Course Prerequisite: TCH LRN 301; TCH LRN 317; admitted to teacher education (Secondary Education). Focus on career and technical education program planning, curriculum development, and instructional techniques for agricultural education programs."
AG_ED 471,Student Organizations in Agricultural Education,2,Role of Future Farmers of America (FFA) in student organizations; role of advisor; principles of leadership; characteristics of successful FFA chapters. Course equivalent to OSU's Ag 421/521.
AG_ED 497,Internship in Agricultural Education,V 2-12,"May be repeated for credit ; cumulative maximum 12 credits . Course Prerequisite: By interview only. Off-campus professional experience. S, F grading."
AG_ED 499,Special Problems,V 1-4,"May be repeated for credit . Course Prerequisite: By department permission. Independent study conducted under the jurisdiction of an approving faculty member; may include independent research studies in technical or specialized problems; selection and analysis of specified readings; development of a creative project; or field experiences. S, F grading."
AG_ED 504,Special Topics in Vocational Education,V 1-3,Special topics in agricultural education or agriculture that will provide advanced training for teachers of agriculture.
AG_ED 508,Foundations of Vocational Education,3,"Historical, philosophical, social, political and economic factors that influence education in vocational environments."
AG_ED 511,Seminar in Career and Technical Education,V 1-2,Seminar addressing new and emerging legislation and educational programs in vocational education.
AGING 486,Special Topics in Aging: Study Abroad,V 1-15,"May be repeated for credit ; cumulative maximum 15 credits . S, F grading."
AGRI 501,Agriculture Master's Practicum,V 2-3,May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: Admission to graduate program in Masters of Science in Agriculture. Course individually designed to provide practical participation/experience under professional supervision in areas related to student's specialization.
AGRI 562,Advanced Topics,V 1-3,May be repeated for credit ; cumulative maximum 4 credits . Directed group study of selected advanced topics in agriculture and related areas.
AGRI 587,Research and Extension Communications in Agriculture,3,"Ways to effectively communicate research and extension information to diverse audiences, including scientific writing and oral presentations in each style."
AGRI 700,"Master's Research, Thesis, and/or Examination",V 1-18,"May be repeated for credit . Course Prerequisite: Admission to the MS Agriculture thesis plan. Independent research and advanced study for students working on their master's research, thesis and/or final examination. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 700 credit. S, U grading."
AGRI 702,"Master's Special Problems, Directed Study, and/or Examination",V 1-18,"May be repeated for credit . Independent research in special problems, directed study, and/or examination credit for students in a non-thesis master's degree program. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 702 credit. S, U grading."
AGTM 201,Metal Fabrication,3 (1-6),"Credit not granted for students who have already completed AGTM/ENGR 202, 203, or 204. Theory, applications, and practices of welding, machining, and associated techniques in fabricating with metals. (Crosslisted course offered as AGTM 201, ENGR 201.)"
AGTM 202,Welding,1 (1-3),"Credit not granted for students who have already completed AGTM/ENGR 201. Theory application and practices of welding and associated techniques in fabricating with metals. One of 3 two-week sessions of Metal Fabrication. Each session includes 3 hours lecture and 12 hours lab per week. (Crosslisted course offered as AGTM 202, ENGR 202.)"
AGTM 203,Machining,1 (1-3),"Credit not granted for students who have already completed AGTM/ENGR 201. Theory application and practices of machining and associated techniques in fabricating with metals. One of 3 two-week sessions of Metal Fabrication. Each session includes 3 hours lecture and 12 hours lab per week. (Crosslisted course offered as AGTM 203, ENGR 203.)"
AGTM 204,Metal Fabrication,1 (1-3),"Credit not granted for students who have already completed AGTM/ENGR 201. Theory application and practices of cutting and associated techniques in fabricating with metals. One of 3 two-week sessions of Metal Fabrication. Each session includes 3 hours lecture and 12 hours lab per week. (Crosslisted course offered as AGTM 204, ENGR 204.)"
AGTM 305,Agricultural Precision Systems,3 (2-3),"Systems for precision agriculture, equipment, software uses, principles, construction, care, tillage, planting, spraying, harvesting, and materials handling machinery. Field trips required. Cooperative: Open to UI degree-seeking students."
AGTM 310,Small Engine Maintenance and Repair,3 (2-3),"Safety, operation, maintenance, and troubleshooting engines; understanding of engine systems and components including compression, carburetion, cooling, fuel, and lubrication. Cooperative: Open to UI degree-seeking students."
AGTM 314,Agricultural Power Units and Mobile Electrical Systems,3 (2-3),"Principles of thermodynamics, engine cycles, transmissions, electrical, starting, braking, steering, suspension systems, differentials and hydraulic systems. Cooperative: Open to UI degree-seeking students."
AGTM 315,Irrigation Systems and Water Management,3 (2-3),"Principles of irrigation and drainage, water measurement, irrigation methods and practices, selection of irrigation system components. Cooperative: Open to UI degree-seeking students."
AGTM 330,Electrical Power Systems for Agriculture,3 (2-3),Course Prerequisite: Sophomore standing. Methods of selecting and installing electrical power circuits in agricultural operations; light frame construction; motor and control circuits; Programmable Logic Controllers (PLCs).
AGTM 402,"Methods, Materials, and Machines for Teaching Ag Mechanics",3,"Course Prerequisite: AGTM 201. Development of shop programs in project planning, demonstrations, and skills performance; safety and management of materials, tools, and machines."
AGTM 405,Advanced Agricultural Precision Systems,2 (1-3),"Course Prerequisite: AGTM 305. Advanced principles of precision agricultural systems, software uses, management of controllers on equipment, geographical information systems and global positioning systems."
AGTM 412,Human and Machinery Risk Management,3,"Legal guidelines and best practices for reducing risk in agricultural settings; topics include equipment, electrical, chemical, livestock, and other hazards around the farm as well as worker protection standards and injury compensation programs; includes an opportunity to prepare and test for a WSDA Private Pesticide Applicators License."
AGTM 416,Fluid Power Systems,3 (2-3),"Fluid power principles applied to the selection, design, operation, and management of agricultural and industrial machinery. Field trips required."
AGTM 444,Teaching Practicum,V 1-4,May be repeated for credit ; cumulative maximum 8 credits . Course Prerequisite: By instructor permission. Laboratory and research techniques for AgTM.
AGTM 451,Seminar,1,"May be repeated for credit ; cumulative maximum 2 credits . Course Prerequisite: Junior standing. Readings and interviews, research, and oral presentation of professional subjects."
AGTM 481,Independent Research,V 1-4,May be repeated for credit ; cumulative maximum 8 credits . Course Prerequisite: By instructor permission.
AGTM 495,Internship in Agricultural Technology and Management,V 2-12,"May be repeated for credit ; cumulative maximum 12 credits . Course Prerequisite: Sophomore standing; prior approval of internship coordinator and advisor required. Work experience related to academic learning. S, F grading."
AGTM 499,Special Problems,V 1-4,"May be repeated for credit . Course Prerequisite: By department permission. Independent study conducted under the jurisdiction of an approving faculty member; may include independent research studies in technical or specialized problems; selection and analysis of specified readings; development of a creative project; or field experiences. S, F grading."
AIS 320,[DIVR] Native Peoples of North America,3,"A holistic exploration of various Indigenous peoples and cultures of North America, through the lens of anthropology. (Crosslisted course offered as ANTH 320, AIS 320.)"
AIS 327,[DIVR] Contemporary Native Peoples of the Americas,3,"Contemporary cultures of Native American communities emphasizing North America. (Crosslisted course offered as ANTH 327, AIS 327.)"
AIS 331,[SSCI] Archaeology of the Americas,3,"Archaeological investigations of cultures and environments of the Americas. (Crosslisted course offered as ANTH 331, AIS 331.)"
AIS 334,Time and Culture in the Northwest,3,"The archaeologically reconstructed environmental and cultural past of the Northwest including contemporary scientific and social approaches and issues. Recommended preparation: ANTH 101. (Crosslisted course offered as ANTH 334, AIS 334.)"
AIS 401,Tribal Nation Building Leadership - Research I,2,"May be repeated for credit ; cumulative maximum 4 credits . Course Prerequisite: By department permission. Ontology and epistemology; indigenous research methods; participatory research, collaborative research, critical ethnography."
AIS 402,Tribal Nation Building Leadership - Research II,2,"May be repeated for credit ; cumulative maximum 4 credits . Course Prerequisite: By department permission. Indigenous research methods; participatory research, collaborative research, critical ethnography."
AMDT 105,"Introductory College Seminar in Apparel, Merchandising, Design, and Textiles",1,Course Prerequisite: Concurrent enrollment in AMDT 108. Concepts of shared responsibility in planning and actual completion of AMDT undergraduate study.
AMDT 108,"Introduction to Apparel, Merchandising, Design and Textiles",3,"An introduction to apparel, textiles, merchandising and design with an emphasis on an examination of industry structures and careers."
AMDT 210,[PSCI] Textiles,4 (3-3),"Examination of basic textile components including fibers, yarns, structure, coloration, and finishes relative to performance standards and expectations for intended use."
AMDT 211,Apparel Assembly,3 (0-6),Problem solving approach to apparel and textile product assembly with emphasis on product development process.
AMDT 212,Apparel Product Development,3,Course Prerequisite: AMDT 210. Examination and evaluation of ready-to-wear apparel as it applies to the retail industry; explores concepts and principles of apparel production and terminology in the apparel industry.
AMDT 220,Historic Costumes and Textiles,3,Global survey of dress and textiles from prehistory to mid-1800s.
AMDT 221,Historic Costume II,3,"Course Prerequisite: AMDT 210 or concurrent enrollment. Overview of apparel design, designers and social history in the 20th century."
AMDT 222,[EQJS] Fat Studies,3,"Course Prerequisite: Sophomore standing. Examination of weight-based oppression as a social justice issue with other systems of oppression based on gender, race, class, age, sexual orientation, and ability. (Crosslisted course offered as AMDT 222, WGSS 222.)"
AMDT 230,Creating Visual Advertising in Fashion,3,"Hands-on opportunity to visualize and execute cross-sector visual advertising campaigns within the commercial, editorial, and lifestyle world of fashion in advertising."
AMDT 250,Principles of Merchandising,3,"Course Prerequisite: AMDT 108. Concepts and functions of merchandising in apparel and textiles industries; cost, pricing, and profit; marketing and retailing strategies."
AMDT 268,Communicating Creative Concepts in Fashion,3 (0-6),"Illustration and rendering used for fashion and costume design; drawing fashion figures and apparel; studies or composition for fashion presentation, advertising, and portfolio."
AMDT 307,Consumer Behavior in Fashion,3,Course Prerequisite: AMDT 314. Concepts and theories from social sciences to consumer behavior research related to fashion and apparel marketing.
AMDT 308,Visual Merchandising and Promotion,3 (2-2),Course Prerequisite: AMDT 250; AMDT 268. Examination of fashion promotion components of visual display and store layout; application of principles and elements of design and concept development.
AMDT 310,Advanced Apparel Assembly,4 (1-6),"Course Prerequisite: AMDT 211; admitted to the major in Apparel, Merchandising, Design, and Textiles. Advanced assembly techniques for a range of textiles and multi-layer garments; emphasis of high-quality execution on final products."
AMDT 311,Apparel Flat Patterning and Design,3 (0-6),Course Prerequisite: AMDT 211. Flat pattern techniques for apparel patternmaking; development and creation of original design.
AMDT 312,"Apparel Draping, Fitting, and Design",3 (0-6),"Course Prerequisite: AMDT 311; admitted to the major in Apparel, Merchandising, Design, and Textiles. Exploration of draping and flat pattern techniques; fitting techniques emphasized; development and creation of original design."
AMDT 313,[ARTS] Visual Analysis and Aesthetics,3,"Course Prerequisite: Sophomore standing. In-depth analysis of the visual interaction among apparel, accessories and the body; identifying effective visual communication."
AMDT 314,Fashion Forecasting,3,"Course Prerequisite: AMDT 210; AMDT 221; AMDT 250; AMDT 268. Developing forecasting expertise needed to work in merchandising environment; examined through influences on acceptance and rejection of apparel/textile products; analysis of the forces such as socio-cultural indicators, past and present trends that influence existing trends, and the role of fashion forecasting theory and technique method in determining future trends in fashion and related industries."
AMDT 315,[M] Textile Product Analysis,3 (2-2),"Course Prerequisite: AMDT 210. Analysis of textile product characteristics including fiber, structure, finish, apparel product properties, garment performance, and overall quality assessment and assurance."
AMDT 317,[DIVR] [M] Multicultural Perspectives on the Body and Dress,3,"Course Prerequisite: Junior standing. Engagement in multidisciplinary approaches that explore the social importance of the body, gender and dress."
AMDT 318,Merchandise Buying and Planning,3 (2-2),"Course Prerequisite: AMDT 250; MATH [QUAN]; admitted to the major in Apparel, Merchandising, Design, and Textiles. In-depth study of apparel buying and planning, application of buying and planning principles, problem solving skill development."
AMDT 409,Technical Apparel Design,3 (0-6),"Course Prerequisite: AMDT 312; AMDT 492; admitted to the major in Apparel, Merchandising, Design, and Textiles. Advanced understanding of technical applications in apparel production, development, and construction related to modern manufacturing. Credit not granted for both AMDT 409 and 509. Offered at 400 and 500 level."
AMDT 411,Advanced Apparel Design,3 (0-6),"Course Prerequisite: AMDT 312; AMDT 492; admitted to the major in Apparel, Merchandising, Design, and Textiles; senior standing. Integrated application of apparel design, patternmaking principles with assembly processes to demonstrate capacity to develop and create high quality original designs."
AMDT 412,Apparel Design Collection,3 (0-6),"Course Prerequisite: AMDT 411; admitted to the major in Apparel, Merchandising, Design, and Textiles. Problem-solving creation and presentation of two and three-dimensional high quality original apparel and designs."
AMDT 413,[CAPS] [M] Global Sourcing,3,"Course Prerequisite: ADMT 307; ADMT 318; admitted to the major in Apparel, Merchandising, Design, and Textiles; junior standing. Knowledge, skills, and effective solutions for textile and apparel sourcing in a global context."
AMDT 429,National Experience in Apparel/Textiles Field,V 1-3,"May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: Admitted to the major in Apparel, Merchandising, Design, and Textiles. Field trip to experience national culture integrated with the field of textiles and apparel in industry centers in the US. Additional cost associated with class. See department for details."
AMDT 430,Soft Goods Supply Chain Management,3,"Course Prerequisite: AMDT 318; admitted to the major in Apparel, Merchandising, Design, and Textiles. Stages and functional areas of soft goods supply chain management."
AMDT 435,Retailing in the Apparel and Textile Industries,3,Exploration of apparel and textile multi-channel retailing from a managerial point of view; use of industry-standard software to work through common scenarios; critical examination of current industry issues.
AMDT 439,International Experience in Apparel/Textiles Field,V 1-3,May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: Admitted to any major. Field trip to experience international culture integrated with the field of textiles and apparel in industry centers worldwide. Additional cost associated with class. See department for details.
AMDT 450,[M] Strategy Planning and Decision Making,3,"Course Prerequisite: AMDT 307; AMDT 318; admitted to the major in Apparel, Merchandising, Design, and Textiles. Examination and synthesis of advanced merchandising theory; strategic planning, decision-making and the role of technology in the textile and apparel industry."
AMDT 488,Internship Preparation,1,May be repeated for credit ; cumulative maximum 2 credits . Orientation and practical information for students in preparation for an internship.
AMDT 490,Cooperative Education Internship,V 1-6,"May be repeated for credit ; cumulative maximum 12 credits . Course Prerequisite: AMDT 488. Experience with business, industry or government unit."
AMDT 492,"Computer Applications in Apparel, Textile, and Design",3 (1-4),"Course Prerequisite: AMDT 268; admitted to the major in Apparel, Merchandising, Design, and Textiles. Computer-aided design techniques in fashion graphics; portfolio development and presentation."
AMDT 495,Instructional Practicum,V 1-4,May be repeated for credit ; cumulative maximum 4 credits . Course Prerequisite: By interview only.
AMDT 496,Special Event Production,V 1 (0-2) to 3 (0-6),"May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: By permission of instructor; AMDT 211 or 308; admitted to the major in Apparel, Merchandising, Design, and Textiles. Producing, exhibiting, and promoting product lines/special events or apparel, textiles and illustrations exhibits."
AMDT 498,Special Topics,V 1-3,"May be repeated for credit ; cumulative maximum 6 credits . Current issues, trends, and merchandising strategies in apparel and textiles."
