"department","course_code","course_name","course_hours","course_description"
"African American and African Diaspora Studies","AFAS GU4037","Third World Studies.","4 points.","Introduction to third world studies; an introduction to the methods and theories that inform the field of third world studies (aka ethnic studies), including imperialism, colonialism, third world liberation movements, subjectivities, and racial and social formation theories;"
"African American and African Diaspora Studies","AFAS GU4080","Black Feminist Imaginaries: Practices and Poethics.","4.00 points.","This seminar will focus on theories, practices, and literature of Black thought and Black feminist imaginaries. We will read some of the significant Black feminist scholarship and literature that have emerged over the past three centuries with particular attention to Black feminist theorizing of the intersections of race and gender. The bulk of our reading will concentrate on 20th and 21st century texts with particular attention to the ways that Black feminists (even those retroactively so-named) have long insisted on the material, social, and spiritual significance of Black lives, Black life, and Black thought. In this course, we will read across genre and field to consider the myriad discourses in which Black feminist theorizing has intervened. The list of writers, artists, and thinkers whose work will guide our interrogations include Phillis Wheatley, Rebecca Cox Jackson, Zora Neale Hurston, Fanny Lou Hamer, Johnetta B. Cole, Audre Lorde, Angela Davis, Hortense Spillers, June Jordan, Toni Cade Bambara, Toni Morrison, Lucille Clifton, Susan Lori Parks, Saidiya Hartman, Adrienne Piper, Daphne Brooks, and Carrie Mae Weems, among others. Central to the course investigations is Carolyn Martin Shaw’s description in “Disciplining the Black Female Body: Learning Feminism in Africa and the United States”: “The individual, the social agent or actor, is a product of culture and produces culture. An individual's subjectivity is determined by that which he or she is subject to (such as laws, language, and stories) and that which he or she is subject of (such as personal decisions, actions, and stories). What holds together fragmentary cultures and part societies? I find the term discourse useful for thinking about linkages and articulations within and across “part societies.”” And across fields. Black feminist imaginaries offer discourses which intervene in dominating narrative, language, image, and knowledge structures. Multiple areas of knowledge and knowledge production must be brought to bear. We will read and think through how Black feminist imaginaries may reframe our understandings of the individual, the state, and the state of things"
"African American and African Diaspora Studies","ENGL GU4621","HARLEM RENAISSANCE.","3.00 points.","(Lecture). This course will focus on the arts of the Harlem Renaissance as experiments in cultural modernity and as forms of incipient political empowerment. What was the Harlem Renaissance? Where and when did it take place? Who were its major players? What difference did it make to everyday Harlemites? What were its outposts beyond Harlem itself? Was there a rural HR? An international HR? As we wonder about these problems of definition, we will upset the usual literary/historical framework with considerations of music and painting of the period. How to fit Bessie Smith into a frame with W.E.B. Du Bois? Ellington with Zora Neale Hurston? Aaron Douglas with Langston Hughes? Where is Harlem today? Does it survive as more than a memory, a trace? Is it doomed to be black no more? How does Harlem function in our national/(international?) imagination? Has the Harlem Renaissance's moment come and gone? What continuities might we detect? What institutions from the early twentieth century have endured?"
"African American and African Diaspora Studies","ENGL GU4622","AFRICAN AMERICAN LITERATURE II.","3.00 points.","(Lecture). This survey of African American literature focuses on language, history, and culture. What are the contours of African American literary history? How do race, gender, class, and sexuality intersect within the politics of African American culture? What can we expect to learn from these literary works? Why does our literature matter to student of social change? This lecture course will attempt to provide answers to these questions, as we begin with Zora Neale Hurstons Their Eyes Were Watching God (1937) and Richard Wrights Native Son (1940) and end with Melvin Dixons Loves Instruments (1995) with many stops along the way. We will discuss poetry, fiction, drama, and non-fictional prose. Ohter authors include Ralph Ellison, James Baldwin, Gwendolyn Brooks, Malcom X, Ntzozake Shange, Audre Lorde, and Toni Morrison. There are no prerequisites for this course. The formal assignments are two five-page essays and a final examination. Class participation will be graded"
"African American and African Diaspora Studies","AFAS UN3001","SING A BLACK GIRL'S SONG: THE NON FICTION WRITING OF NTOZAKE SHANGE.","4.00 points.","This undergraduate seminar offers an in-depth exploration of the nonfiction work of the renowned African-American poet and playwright Ntozake Shange, whose archives are at Barnard College, her alma mater. Through readings, discussion, and visits to her archives, students will probe this lesser-examined aspect of Shange's oeuvre, including her essays on her life, the arts, food, and other artists and creators. This course invites participants to engage critically with Shange's essays and personal writings while delving into her archive. Students will identify key themes and literary techniques in Shange's nonfiction and the historical and cultural context in which she wrote these works. We will examine how Shange's nonfiction contributes to her broader work and her perspectives on history, gender, feminism, and race as they intersect in her life as a Black woman artist. Students will develop critical thinking skills through close reading, analysis, and discussion of Shange's nonfiction and will improve their writing skills by composing reflections and essays on Shange's works. They will develop research skills and gain insights into Shange's creative process through firsthand engagement with Shange's archive at Barnard"
"American Studies","AMST UN3920","SENIOR PROJECT COLLOQUIUM.","1.00 point.","This course is for American studies majors planning to complete senior projects in the spring. The course is designed to help students clarify their research agenda, sharpen their questions, and locate their primary and secondary sources. Through class discussions and a workshop peer review process, each member of the course will enter spring semester with a completed bibliography that will provide an excellent foundation for the work of actually writing the senior essay. The colloquium will meet every other week and is required for everyone planning to do a senior research project. Application due June 15. See American Studies website"
"American Studies","AMST UN3930","Topics in American Studies.","4 points.","Please refer to the Center for American Studies website for course descriptions for each section.americanstudies.columbia.edu"
"American Studies","AMST UN3937","JOURNALISM AND DEMOCRACY: THE 2024 ELECTION.","4.00 points.","The 2024 presidential election poses a dramatic test of both our political system and the media that covers it. The campaign offers us an opportunity to examine, in real time, the critical role the press plays in our democracy and how it has been disrupted in an era dominated by social media and hyper-partisanship. We’ll look back at some iconic pieces of political reporting and compare them to the landscape journalists face today. How are groups that were underrepresented (or misrepresented) in legacy media changing the discourse? Is objectivity obsolete? And what happens to the decisions voters make when disinformation is rampant, and the fact base is under assault? Join waitlist and attend first class for instructor's permission"
"American Studies","AMST UN3931","Topics in American Studies.","4 points.","Please refer to the Center for American Studies for section descriptions"
"Anthropology","ANTH UN1002","THE INTERPRETATION OF CULTURE.","3.00 points.","The anthropological approach to the study of culture and human society. Case studies from ethnography are used in exploring the universality of cultural categories (social organization, economy, law, belief system, art, etc.) and the range of variation among human societies"
"Anthropology","ANTH UN1007","THE ORIGINS OF HUMAN SOCIETY.","3.00 points.","An archaeological perspective on the evolution of human social life from the first bipedal step of our ape ancestors to the establishment of large sedentary villages. While traversing six million years and six continents, our explorations will lead us to consider such major issues as the development of human sexuality, the origin of language, the birth of “art” and religion, the domestication of plants and animals, and the foundations of social inequality. Designed for anyone who happens to be human"
"Anthropology","ANTH UN2004","INTRO TO SOC ＆ CULTURAL THEORY.","3.00 points.","This course presents students with crucial theories of society, paying particular attention at the outset to classic social theory of the early 20th century. It traces a trajectory of writings essential for an understanding of the social: from Saussure, Durkheim, Mauss, Weber, and Marx, on to the structuralist ethnographic elaboration of Claude Levi-Strauss and the historiographic reflections on modernity of Michel Foucault. We revisit periodically, reflections by Franz Boas, founder of anthropology in the United States (and of Anthropology at Columbia), for a sense of origins, an early anthropological critique of racism and cultural chauvinism, and a prescient denunciation of fascism. We turn as well, also with ever-renewed interest in these times, to the expansive critical thought of W. E. B. Du Bois. We conclude with Kathleen Stewart’s A Space on the Side of the Road--an ethnography of late-twentieth-century Appalachia and the haunted remains of coal-mining country--with its depictions of an uncanny otherness within dominant American narratives"
"Anthropology","ANTH UN2017","Mafias and Other Dangerous Affiliations.","3.00 points.","Regimes of various shapes and sizes tend to criminalize associations, organizations, and social relations that these ruling powers see as anathema to the social order on which their power depends: witches, officers of toppled political orders, alleged conspirators (rebels, traitors, terrorists, and dissidents), gangsters and mafiosi, or corrupt officers and magnates. Our main goal will be to understand how and under what conditions do those with the power to do so define, investigate, criminalize and prosecute those kinds of social relations that are cast as enemies of public order. We will also pay close attention to questions of knowledge – legal, investigative, political, journalistic, and public – how doubt, certainty, suspicion and surprise shape the struggle over the relationship between the state and society. The main part of the course is organized around six criminal investigations on mafia-related affairs that took place from the 1950s to the present (two are undergoing appeal these days) in western Sicily. After the introductory section, we will spend two weeks (four meetings) on every one of these cases. We will follow attempts to understand the Mafia and similarly criminalized organizations, and procure evidence about it. We will then expand our inquiry from Sicily to cases from all over the world, to examine questions about social relations, law, the uses of culture, and political imagination. *Although this is a social anthropology course, no previous knowledge of anthropology is required or presumed. Classroom lectures will provide necessary disciplinary background"
"Anthropology","ANTH UN2972","Unsettling Science: An Introduction to Science, Technology, and Society.","3.00 points.","This course is an introduction to the interplay between science, technology, and society. Unsettling Science invites students to: ask big questions about science and technology, interrupt preconceived ideas about what sicience is and who does it, and engage deeply with troubling social implications. By offering historical and contemporary perspectives, this course equips students with critical and methodological skills essential to exploring not only longstanding questions about the world but also urgent issues of our time. To do so, the course focuses on a series of fundamental and foundational questions (e.g., what is knowledge? what is prog that underpin the study of science, technology, and society from a variety of interdisicplinary perspectives"
"Anthropology","ANTH UN3040","ANTHROPOLOGICAL THEORY.","4.00 points.","Prerequisites: an introductory course in anthropology.Comprehensive and in-depth engagement with foundational and contemporary theoretical concepts and texts in Anthropology. Required of all Barnard students majoring in Anthropology (including specialized tracks). Permission of instructor required for non-majors. Not open to First Year students. Prerequisite: an introductory (1000 level) course in Anthropology"
"Anthropology","ANTH UN3151","LIVING WITH ANIMALS: ANTHROPOLOGICAL PER.","4.00 points.","This course examines how humans and animals shape each other’s lives, using the tools and perspectives of anthropology. We’ll explore the astounding diversity of human-animal relationships in time and space, tracing the ways animals have made their impact on human societies (and vice-versa). Using contemporary ethnographic, historical, and archaeological examples from a variety of geographical regions and chronological periods, this class will consider how humans and animals live and work together, and the ways in which humans have found animals “good to think with”. In this course, we will also discuss how knowledge about human-animal relationships in the past might change contemporary and future approaches to living with animals. Through the reading and thinking that this course requires, you will explore what an anthropological perspective on living with animals looks like and how thinking about animals might change anthropology"
"Anthropology","ANTH UN3091","Disability.","4.00 points.","This course centers disability in its many manifestations and meanings – as an embodied, social, and cultural experience, as an organizing discourse in local and global contexts, as an analytic framework, and as a position from which to approach, think about, and engage in the world. Together, we will seek to understand disability in diverse settings and contexts through ethnographic texts, autobiography, documentary film, and essays, drawing primarily from works in anthropology but also more broadly from the interdisciplinary traditions known as (Critical) Disability Studies. Throughout the semester, we will move between considering disability in more and less specific and categorical terms. We will ask what the stakes are – intellectually, socially, politically - for different ways of doing, thinking, and representing disability. What becomes apparent when we consider, say, the experiences of deaf young adults in India working together to learn Indian Sign Language, or physically disabled adults in the United States whose disabilities must be situated within histories of racialized poverty and urban neglect? What happens – what are the resonances and the tensions – when we put these settings into conversation? Through our engagements with materials analyzing these and many other instances, we will think together about what it means to study and think with disability from different disciplinary perspectives, different methods, and different media"
"Anthropology","ANTH UN3663","The Ancient Table: Archaeology of Cooking and Cuisine.","4.00 points.","Prerequisites: None Humans don’t just eat to live. The ways we prepare, eat, and share our food is a complex reflection of our histories, environments, and ideologies. Whether we prefer coffee or tea, cornbread or challah, chicken breast or chicken feet, our tastes are expressive of social ties and social boundaries, and are linked to ideas of family and of foreignness. How did eating become such a profoundly cultural experience? This seminar takes an archaeological approach to two broad issues central to eating: First, what drives human food choices both today and in the past? Second, how have social forces shaped practices of food acquisition, preparation, and consumption (and how, in turn, has food shaped society)? We will explore these questions from various evolutionary, physiological, and cultural viewpoints, highlighted by information from the best archaeological and historic case studies. Topics that will be covered include the nature of the first cooking, beer-brewing and feasting, writing of the early recipes, gender roles and ‘domestic’ life, and how a national cuisine takes shape. Through the course of the semester we will explore food practices from Pleistocene Spain to historic Monticello, with particular emphasis on the earliest cuisines of China, Mesoamerica, and the Mediterranean"
"Anthropology","ANTH UN3723","American Material Culture.","4 points.","This seminar provides an intensive introduction to material culture analysis and its potential contributions to the study of American history. As such, our focus is methodological. In seminar discussions, we will consider both (1) key texts that give intellectual shape to the central questions in modern material culture studies and (2) published case studies demonstrating how to engage in serious object-based research. Seminar discussions will be supplemented by visits to three NYC museums (the American Museum of Natural History, the 9/11 Museum, and the Tenement Museum) as well as three laboratory practicums. Designed for both Archaeology/Anthropology and American Studies majors, as well as other students interested in using the methods of material culture analysis in original research projects. (Depending on the student’s choice of a research paper topic, this seminar also fulfills either the pre-1800, the 19thcentury, or the post-1900 Foundations requirement of the American Studies major.) No prerequisites."
"Anthropology","ANTH UN3728","Ethnographies of Black Life.","4 points.","This course explores themes that have shaped Anthropology’s (often fraught) engagement with Black life. We will critically examine texts that reveal the ways that the discipline and its practitioners have sought to interface with people and populations of African descent—and have sought to define the constitution of Blackness itself—in the Americas. Plumbing the dynamic relationship between historical and ethnographic inquiry, we will ask pressing questions not only about conditions of Black life (and Black death), but also about the production of knowledge about the people who live under Blackness’ sign. Finally, we will turn our collective attention to key issues in the practice, ethics, and politics of ethnography, while also immersing ourselves in the archives produced through ethnographic and auto-ethnographic practice, including those found in various NYC collections."
"Anthropology","ANTH UN3829","ABSENCE/PRESENCE.","4.00 points.","Prerequisites: Open to undergrad majors; others with the instructor's permission.Prerequisites: Open to undergrad majors; others with the instructors permission. Across a range of cultural and historic contexts, one encounters traces of bodies - and persons - rendered absent, invisible, or erased. Knowledge of the ghostly presence nevertheless prevails, revealing an inextricable relationship between presence and absence. This course addresses the theme of absent bodies in such contexts as war and other memorials, clinical practices, and industrialization, with interdisciplinary readings drawn from anthropology, war and labor histories, and dystopic science fiction"
"Anthropology","ANTH UN3851","Theatricality ＆ the Political.","4.00 points.","This course addresses the articulation between theatricality and the political from a cross-cultural and trans-historical perspective. From the Renaissance theater to the profuse baroque, to the modernizing logics and aesthetics, to so-called “neo-baroque”, the course addresses logics and grammars within past and present dramaturgies of the social. How do certain theatrical traditions articulate with various power formations? How do these connect and complicate the relation between power and resistance, colonialism and liberation, center and periphery, particular and universal, actors and audiences? What technical apparatuses, cultural structures, ethical dispositions and bodily repertoires are mobilized? And how do old and new media technologies reconfigure protocols of stage-form in ancient and contemporary political theater?"
"Anthropology","ANTH BC3871","SENIOR THESIS SEMINAR I.","4.00 points.","Prerequisites: Limited to Barnard Anthropology Seniors. Offered every Fall. Discussion of research methods and planning and writing of a Senior Essay in Anthropology will accompany research on problems of interest to students, culminating in the writing of individual Senior Essays. The advisory system requires periodic consultation and discussion between the student and her adviser as well as the meeting of specific deadlines set by the department each semester. Limited to Barnard Senior Anthropology Majors"
"Anthropology","ANTH UN3888","ECOCRITICISM FOR THE END TIMES.","4.00 points.","Prerequisites: the instructor's permission.Prerequisites: the instructors permission. This seminar aims to show what an anthropologically informed, ecocritical cultural studies can offer in this moment of intensifying ecological calamity. The course will not only engage significant works in anthropology, ecocriticism, philosophy, literature, politics, and aesthetics to think about the environment, it will also bring these works into engaged reflection on living in the end times (borrowing cultural critic Slavoj Zizeks phrase). The seminar will thus locate critical perspectives on the environment within the contemporary worldwide ecological crisis, emphasizing the ethnographic realities of global warming, debates on nuclear power and energy, and the place of nature. Drawing on the professors long experience in Japan and current research on the aftermath of the Fukushima Daiichi nuclear power plant disaster, the seminar will also take care to unpack the notion of end times, with its apocalyptic implications, through close considerations of works that take on the question of ecocatastrophe in our times. North American and European perspectives, as well as international ones (particularly ones drawn from East Asia), will give the course a global reach"
"Anthropology","ANTH UN3921","Anticolonialism.","4 points.","Through a careful exploration of the argument and style of five vivid anticolonial texts, Mahatma Gandhi'sHind Swaraj, C.L.R. James'The Black Jacobins, Aimé Césaire'sDiscourse on Colonialism, Albert Memmi'sColonizer and Colonized, and Frantz Fanon'sThe Wretched of the Earth, this course aims to inquire into the construction of the image of colonialism and its projected aftermaths established in anti-colonial discourse."
"Anthropology","CSER UN3935","Historical Anthropology of the US-Mexico Border.","4 points.","Beginning in the 1980s, border crossing became an academic rage in the humanities and the social sciences. This was a consequence of globalization, an historical process that reconfigured the boundaries between economy, society, and culture; and it was also a primary theme of post-modernist aesthetics, which celebrated playful borrowing of multiple and diverse historical references. Within that frame, interest in the US-Mexican border shifted dramatically. Since that border is the longest and most intensively crossed boundary between a rich and a poor country, it became a paradigmatic point of reference. Places like Tijuana or El Paso, with their rather seedy reputation, had until then been of interest principally to local residents, but they now became exemplars of post-modern “hybridity,” and were meant to inspire the kind of transnational scholarship that is required in today’s world. Indeed, the border itself became a metaphor, a movable imaginary boundary that marks ethnic and racial distinction in American and Mexican cities. This course is an introduction to the historical formation of the US-Mexican border."
"Anthropology","ANTH UN3939","ANIME EFFECT: JAPANESE MEDIA.","4.00 points.","Culture, technology, and media in contemporary Japan. Theoretical and ethnographic engagements with forms of mass mediation, including anime, manga, video, and cell-phone novels. Considers larger global economic and political contexts, including post-Fukushima transformations. Prerequisites: the instructor's permission"
"Anthropology","ANTH UN3997","SUPERVISED INDIVIDUAL RESEARCH.","2.00-6.00 points.","Prerequisite: the written permission of the staff member under whose supervision the research will be conducted"
"Anthropology","ANTH UN3999","SENIOR THESIS SEM IN ANTHROPOL.","4.00 points.","Prerequisites: The instructor's permission. Students must have declared a major in Anthropology prior to registration. Students must have a 3.6 GPA in the major and a preliminary project concept in order to be considered. Interested students must communicate/meet with thesis instructor in the previous spring about the possibility of taking the course during the upcoming academic year. Additionally, expect to discuss with the instructor at the end of the fall term whether your project has progressed far enough to be completed in the spring term. If it has not, you will exit the seminar after one semester, with a grade based on the work completed during the fall term.Prerequisites: The instructors permission. Students must have declared a major in Anthropology prior to registration. Students must have a 3.6 GPA in the major and a preliminary project concept in order to be considered. Interested students must communicate/meet with thesis instructor in the previous spring about the possibility of taking the course during the upcoming academic year. Additionally, expect to discuss with the instructor at the end of the fall term whether your project has progressed far enough to be completed in the spring term. If it has not, you will exit the seminar after one semester, with a grade based on the work completed during the fall term. This two-term course is a combination of a seminar and a workshop that will help you conduct research, write, and present an original senior thesis in anthropology. Students who write theses are eligible to be considered for departmental honors. The first term of this course introduces a variety of approaches used to produce anthropological knowledge and writing; encourages students to think critically about the approaches they take to researching and writing by studying model texts with an eye to the ethics, constraints, and potentials of anthropological research and writing; and gives students practice in the seminar and workshop formats that are key to collegial exchange and refinement of ideas. During the first term, students complete a few short exercises that will culminate in a substantial draft of one discrete section of their senior project (18-20 pages) plus a detailed outline of the expected work that remains to be done (5 pages). The spring sequence of the anthropology thesis seminar is a writing intensive continuation of the fall semester, in which students will have designed the research questions, prepared a full thesis proposal that will serve as a guide for the completion of the thesis and written a draft of one chapter. Only those students who expect to have completed the fall semester portion of the course are allowed to register for the spring; final enrollment is contingent upon successful completion of first semester requirements. In spring semester, weekly meetings will be devoted to the collaborative refinement of drafts, as well as working through issues of writing (evidence, voice, authority etc.). All enrolled students are required to present their project at a symposium in the late spring, and the final grade is based primarily on successful completion of the thesis/ capstone project. Note: The senior thesis seminar is open to CC and GS majors in Anthropology only. It requires the instructor’s permission for registration. Students must have a 3.6 GPA in the major and a preliminary project concept in order to be considered. Interested students should communicate with the thesis instructor and the director of undergraduate study in the previous spring about the possibility of taking the course during the upcoming academic year. Additionally, expect to discuss with the instructor at the end of the fall term whether your project has progressed far enough to be completed in the spring term. If it has not, you will exit the seminar after one semester, with a grade based on the work completed during the fall term. Enrollment limit is 15. Requirements: Students must have completed the requirements of the first semester of the sequence and seek instructor approval to enroll in the second"
"Anthropology","ANHS GU4001","THE ANCIENT EMPIRES.","3.00 points.","The principal goal of this course is to examine the nature and histories of a range of early empires in a comparative context. In the process, we will examine influential theories that have been proposed to account for the emergence and trajectories of those empires. Among the theories are the core-periphery, world-systems, territorial-hegemonic, tributary-capitalist, network, and IEMP approaches. Five regions of the world have been chosen, from the many that could provide candidates: Rome (the classic empire), New Kingdom Egypt, Qin China, Aztec Mesoamerica, and Inka South America. These empires have been chosen because they represent a cross-section of polities ranging from relatively simple and early expansionist societies to the grand empires of the Classical World, and the most powerful states of the indigenous Americas. There are no prerequisites for this course, although students who have no background in Anthropology, Archaeology, History, or Classics may find the course material somewhat more challenging than students with some knowledge of the study of early societies. There will be two lectures per week, given by the professor"
"Anthropology","ANTH GU4196","Mexico’s Disappeared Practicum.","4.00 points.","This practicum is an exercise in engaged pedagogy. The academic work we do will be conducted for the benefit of the cause of Mexico's now over 110,000 disappeared persons. Students will be engaged in a sustained research effort to development a ""context analysis"" of disappearances in the state of Zacatecas (Mexico)-- an exercise in social study that focuses on the economic, political, social, and criminological context in which disappearances occur. Research is done in coordination with Mexico's National Commission for the Search of the Disappeared. Alongside the practical, real-world, objective, this Practicum is designed to perfect research skills in the social sciences PREREQUISITE: Spanish language comprehension is compulsory for 60％ of those enrolled"
"Anthropology","ANTH GU4378","Strange Resonances, Close Listening.","3.00 points.","How does one live with sound and move within worlds of sound? In pursuit of this question the course explores: soundscapes and sound arts; echoes of audible pasts and resonances of auditory cultures; sound and the uncanny; repetitive listening in the age of electronic reproduction, ethereal transmissions, and audio-vision; sounds at the edges of listening with experimental music and sonic installations. Sound, chambers, noise, feedback, voice, resonance, silence: from the sirens of the Odyssey, to compositional figures ala John Cage, to contemporary everyday acoustical encounters, if one were to really listen, closely, how might one write about sound? How might one rethink the ties between sound and image? How then might one think with sound, and through sound?"
"Anthropology","ANTH UN1007","THE ORIGINS OF HUMAN SOCIETY.","3.00 points.","An archaeological perspective on the evolution of human social life from the first bipedal step of our ape ancestors to the establishment of large sedentary villages. While traversing six million years and six continents, our explorations will lead us to consider such major issues as the development of human sexuality, the origin of language, the birth of “art” and religion, the domestication of plants and animals, and the foundations of social inequality. Designed for anyone who happens to be human"
"Anthropology","ANTH UN2031","Corpse Life: Anthropological Histories of the Dead [Previously Archaeologies of Death and .","4 points.","The awareness of mortality seems to be a peculiarly human affliction, and its study has been a key theme of 20thcentury philosophy. This class will address the question of human finitude from outside of the western philosophical tradition. Anthropologists have shown that humans deal with the challenge of death in diverse ways, which nevertheless share some common themes. During the semester we’ll look at case studies from across the world and over time and also explore the ethics and politics of disturbing the dead. The evidence of past human mortuary assemblages will provide some of our key primary texts. We’ll analyze famous burials such as those of Tutankhamun, the Lord of Sipan, and Emperor Qin’s mausoleum, containing the celebrated terracotta warriors, but we’ll also consider less well-known mortuary contexts. We will also critically examine the dead body as a privileged site for anthropological research, situating its study within the broader purview of anthropological theories of the body's production and constitution."
