"subject","course_code","course_name","credits","description"
"Administration, Rehabilitation and Postsecondary Education","ARP 620","Student Affairs and Student Success","3","Historical roots, diversity of institutions and students; philosophical foundations of the field and student success, guiding values, key legal principles and theoretical bases; functional areas within student affairs, their evolution, purpose, professional associations, standards, and current issues."
"Administration, Rehabilitation and Postsecondary Education","ARP 621","Theoretical Foundations of Student Affairs and Student Success","3","Major theoretical foundations of student affairs, including student personnel point of view, student development, and student learning imperative."
"Administration, Rehabilitation and Postsecondary Education","ARP 622","Intra and Interpersonal Communication for Student Success","3","Four major domains of communication and leadership: interpersonal, intrapersonal, small group, and organizational dynamics. Addresses assessment of techniques and intervention strategies for each domain."
"Administration, Rehabilitation and Postsecondary Education","ARP 623","Seminar in Critical Leadership Issues in Student Affairs","3","Current topics and issues critical to effective leadership in student affairs, academic mission of postsecondary education and creating a supportive learning environment for students."
"Administration, Rehabilitation and Postsecondary Education","ARP 624","Advising and Coaching for Student Success","3","Developmental relationships in postsecondary education. Major advising and coaching theories. Applications, competencies, and practices to support student success."
"Administration, Rehabilitation and Postsecondary Education","ARP 631","Seminar in Teaching in Postsecondary Education","3","Teaching process in postsecondary education addressing syllabus construction, lesson planning, using technology in teaching, and infusing multicultural education into courses. Assessing student learning through authentic evaluation techniques."
"Administration, Rehabilitation and Postsecondary Education","ARP 640","Sport, Society, and Education","3","This course examines sports’ influence on society and education, focusing on student development, resource allocation, governance, and community engagement.  Implications for educational governance, policy, and practice in athletics will be explored to prepare students for diverse roles in educational settings."
"Administration, Rehabilitation and Postsecondary Education","ARP 645","Assessment in Rehabilitation","3","Broad-based perspective on assessment approaches involved in mental health, student disability support rehabilitation counseling practice, and vocational rehabilitation. Theory and practical applications of achievement, aptitude, ecological, intelligence, learning disabilities, mental health, neuropsychological, personality, and work samples assessment. Selected sections offered as distance education."
"Administration, Rehabilitation and Postsecondary Education","ARP 646","Career Development","3","The construct of career development specific to disability and rehabilitation counseling to include career development assessment, interventions, and theory. Selected sections offered as distance education."
"Administration, Rehabilitation and Postsecondary Education","ARP 648","Group Dynamics in Rehabilitation","3","Theory, dynamics, process and leadership function as applied to group work in rehabilitation. Development and application of group leadership skills/techniques for adjustment, support, skill training, self-directed groups, organizational problem solving and team-building groups in rehabilitation."
"Administration, Rehabilitation and Postsecondary Education","ARP 650","Policy and Governance in Intercollegiate Athletics","3","Offers an in-depth look at intercollegiate athletics’ policy and governance structures. It equips students to navigate, interpret, and apply relevant regulations while exploring historical contexts, current issues, and future trends in athletic governance, and developing strategies for administrators."
"Administration, Rehabilitation and Postsecondary Education","ARP 660","Theory and Process of Counseling in Rehabilitation","3","Counseling theories, approaches to and techniques for counseling, and research concerning counseling effectiveness."
"Administration, Rehabilitation and Postsecondary Education","ARP 680","Seminar in Administration, Rehabilitation and Postsecondary Education","2-6","Study of administration, rehabilitation, or postsecondary education in a specialized field, such as a postsecondary institution, and subject fields, or designated services. Field experience when appropriate."
"Administration, Rehabilitation and Postsecondary Education","ARP 684","Rehabilitation Foundations","3","Background and legislation related to vocational rehabilitation, consumer services, role and function of rehabilitation counselor as a professional. Orientation to community rehabilitation agencies."
"Administration, Rehabilitation and Postsecondary Education","ARP 685A","Medical and Psychological Aspects of Disability","3","Interface of the individual and the environment covering disabilities from the perspective of each disability viewed in terms of functional capacities and rehabilitative services needed."
"Administration, Rehabilitation and Postsecondary Education","ARP 685B","Medical and Psychological Aspects of Disability","3","Interface of the individual and the environment covering disabilities from the perspective of each disability viewed in terms of functional capacities and rehabilitative services needed."
"Administration, Rehabilitation and Postsecondary Education","ARP 687","Job Development for Individuals with Disabilities","3","Determination of employment and community integration needs of individuals with disabilities. Theories and techniques are presented through case study methods. Strategies focus on continuous surveys and readings focus on employment needs and opportunities for individuals with disabilities."
"Administration, Rehabilitation and Postsecondary Education","ARP 696","Advanced Topics in Administration, Rehabilitation and Postsecondary Education","1-3","Intensive study in specific areas of Administration, Rehabilitation and Postsecondary Education."
"Administration, Rehabilitation and Postsecondary Education","ARP 708","Human Development and Disability","3","Developmental theories with implications of living with a disability. Ecological approach to human growth and development across the lifespan. Psychological, social, and spiritual aspects of individual and family response to disability and chronic illness throughout the lifespan."
"Administration, Rehabilitation and Postsecondary Education","ARP 710","Seminar in Organizational Development in Disability and Postsecondary Systems","3","Principles of organizations, perspective of change within systems, and its impact on disability and postsecondary administrators, employees, constituencies, consumers, and leaders. Principles of program evaluation, planning, and change within the context of the organization’s community environment. Selected sections offered as distance education."
"Administration, Rehabilitation and Postsecondary Education","ARP 711","Seminar in Program Development in Disability and Postsecondary Systems","3","Mechanics of proposal writing and grantsmanship to include the fundamental components of grant propsals and researching funding opportunities. Proposals for community-based programs and nonprofit agencies that address the needs of a target population to include underserved and underrepresented groups. Selected sections offered as distance education."
"Administration, Rehabilitation and Postsecondary Education","ARP 730","Seminar in Adult Learning","3","Patterns and implications of life-long learning. Emphasizes adult learning principles and styles, effects of adult development changes on learning, and teaching techniques in adult education programs."
"Administration, Rehabilitation and Postsecondary Education","ARP 740","Advanced Seminar in Administration, Rehabilitation and Postsecondary Education","3","Study of a selected area in administration, rehabilitation or postsecondary education, such as educational law, finance, supervision, personnel procedures, etc."
"Administration, Rehabilitation and Postsecondary Education","ARP 743","Fieldwork in Rehabilitation","3-6","Orientation to the rehabilitation process including organizational goals, operating strategies, responsibilities and ethics, employee role expectations in partnership with consumers and service providers."
"Administration, Rehabilitation and Postsecondary Education","ARP 745","Internship in Rehabilitation","3-9","Supervised internship in rehabilitation setting which involves application of rehabilitation counseling experiences."
"Administration, Rehabilitation and Postsecondary Education","ARP 747","Equity-Minded Approaches for Student Success","3","Current theory and practice in meeting needs of diverse learners. Leadership and administration of educational organizations as political, complex systems requiring consensus-building dynamics in a multicultural society."
"Administration, Rehabilitation and Postsecondary Education","ARP 750","Student-Athlete Development: Understanding and Supporting the Whole College Student-Athlete","3","This graduate course explores student-athlete development in intercollegiate sports, focusing on holistic growth including physical, psychological, academic, social, and career aspects. Integrating theory, practice, case studies, and research, it addresses challenges, opportunities, and support structures essential for student-athlete success and welfare."
"Administration, Rehabilitation and Postsecondary Education","ARP 755","Governance and Policy Development in Postsecondary and Disability Systems","3","Development and examination of relevant policy and impact of politics in governance and administration in postsecondary and disability-related systems; control functions of federal, state, and local agencies; influence of lay citizens and special interest groups; roles of judiciary, employee organizations and students."
"Administration, Rehabilitation and Postsecondary Education","ARP 760","Internship in Postsecondary Educational Leadership","1-6","Internship for prospective educational leaders. Released time may be required."
"Administration, Rehabilitation and Postsecondary Education","ARP 777","Critical Issues in Intercollegiate Athletics","3","This graduate course examines critical issues in intercollegiate athletics, including commercialization, gender equity, athlete rights, NCAA governance, diversity, academic integrity, media impact, NIL rights, and athlete mobility, through case studies and scholarly articles to understand these complex challenges."
"Administration, Rehabilitation and Postsecondary Education","ARP 798","Special Study","1-6","May involve fieldwork. Individual study."
"Administration, Rehabilitation and Postsecondary Education","ARP 801","Seminar in Community College History and Development","3","Mission, functions, organization, student characteristics, and problems with community college operations. Future trends in community college operations and need for new leadership and research opportunities."
"Administration, Rehabilitation and Postsecondary Education","ARP 810","Seminar in Community College Law and Finance","3","Legal framework for operating community colleges in California. Community college finance system including state and local contributions to funding."
"Administration, Rehabilitation and Postsecondary Education","ARP 812","Seminar in Budget and Resource Management in Community Colleges","3","Equitably and ethically managing, sustaining, and acquiring human, fiscal, and information resources, as well as assets to fulfill mission of the community college and postsecondary education institutions. Financial strategies and human resource systems and conflict resolution."
"Administration, Rehabilitation and Postsecondary Education","ARP 813","Strategic Planning in Community Colleges","3","Knowledge-based strategic planning to maximize student success in community colleges and postsecondary educational institutions. Board-administrator relationship development and use of data-driven evidence for decision-making."
"Administration, Rehabilitation and Postsecondary Education","ARP 827","Seminar in Emerging Issues in Postsecondary Education","3","Identification and analysis of complex emerging local, national, and international issues that face high level postsecondary educational leaders."
"Administration, Rehabilitation and Postsecondary Education","ARP 837","Advanced Research Writing and Support","3","Meaning-making and synthesis of research findings/results into a cogent and persuasive narrative. Connecting findings/results to established scholarship and selected guiding frameworks and/or theories. Describing possible implications on practice and future research directions based on findings/results. Institutional process and steps to completion."
"Administration, Rehabilitation and Postsecondary Education","ARP 845","Seminar in Postsecondary Student Success","3","Functions, leadership, and roles of student affairs in postsecondary institutions. Social justice, socio-cultural, and socio-historical theories and practices."
"Administration, Rehabilitation and Postsecondary Education","ARP 896","Selected Topics in Administration, Rehabilitation and Postsecondary Education","1-3","Intensive study in specific areas of Administration, Rehabilitation and Postsecondary Education. In-depth investigation of specific challenges in the field as well as introduction to current and emerging issues."
"Administration, Rehabilitation and Postsecondary Education","LEAD 100","First Year Seminar - Leadership Emphasis","1","Provides opportunities for students to interact with faculty and staff in a small seminar setting. Students develop learning strategies, time management, and interpersonal skills, and are introduced to various campus resources (e.g., library, advising, career, health and wellness services, etc.)"
"Administration, Rehabilitation and Postsecondary Education","LEAD 205","Exploring Leadership","3","Understanding, applying and critiquing leadership theories, examining personal strengths, values, goals, and philosophy of leadership."
"Administration, Rehabilitation and Postsecondary Education","LEAD 250","Leadership - Campus Leadership Experience","1-3","Laboratory on campus and at other postsecondary settings to integrate academic work with experiences on campus and in postsecondary settings."
"Administration, Rehabilitation and Postsecondary Education","LEAD 307","Leadership Community Service","1-3","Community service and concepts associated with the servant leadership model."
"Administration, Rehabilitation and Postsecondary Education","LEAD 350","Introduction to Leadership Inquiry","3","Introduction to qualitative and quantitative methods used to investigate leadership. Strategies to become critical and well-informed consumers of published research. Concepts and applications of analytical, empirical, and qualitative research methods. Access, examine, and critique leadership research."
"Administration, Rehabilitation and Postsecondary Education","LEAD 404","Leadership Internship and Career","1-3","Laboratory in public agencies and business settings to integrate academic work with experiences in the community."
"Administration, Rehabilitation and Postsecondary Education","LEAD 405","Enacting Leadership","3","Capstone course. Synthesis and integration of learning to demonstrate self-efficacy. Apply analytical reasoning in leadership scenarios. Articulate individual leadership abilities and apply leadership principles to major field and career."
"Administration, Rehabilitation and Postsecondary Education","LEAD 420","Ethnography of Organizational Culture and Leadership","3","Conduct independent research utilizing ethnography, qualitative research methods, and personal narrative. Observing naturally occurring interactions drawn from a variety of leadership and organizational settings. Primary methods of gathering data include: participant observation, interviewing, appreciative inquiry, critical perspectives, visual strategies, fieldnotes, and other approaches."
"Administration, Rehabilitation and Postsecondary Education","LEAD 440","Organizational Assessment","3","Best practices, models, theories, tools for assessing organizational performance. Assessment as diagnostic intervention. Practical applications and frameworks for the collection, analysis, and interpretation/meaning of data to inform decision-making."
"Administration, Rehabilitation and Postsecondary Education","LEAD 499","Special Study","1-3","Individual study."
"Aerospace Engineering","A E 123","The Aerospace Engineer","1","Introduction to professional aerospace engineering. Emphasis on aeronautics and astronautics."
"Aerospace Engineering","A E 200","Statics","3","Force systems, equilibrium, structures, distributed forces, friction, virtual work, moments of inertia, vector algebra."
"Aerospace Engineering","A E 220","Dynamics","3","Kinetics of a particle; central force motion; systems of particles; work and energy; impulse and momentum; moments and products of inertia; Euler’s equations of motion; vibration and time response; engineering applications."
"Aerospace Engineering","A E 260","Programming and Numerical Methods in Aerospace","3","Basic programming concepts and numerical methods for aerospace applications. Hands-on MATLAB programming. Branching, data structure, debugging, functions, iteration, plotting, recursion. Common numerical methods in aerospace engineering to include interpolation, numerical differentiation and integration, regression. Simulink is introduced with aerospace applications."
"Aerospace Engineering","A E 280","Methods of Analysis","3","Selected topics from ordinary differential equations, the Laplace transform, Fourier series, and linear algebra, with engineering applications."
"Aerospace Engineering","A E 296","Experimental Topics","1-4","Selected topics."
"Aerospace Engineering","A E 301","Low Speed Aerodynamics","3","Subsonic flow, airfoil and wing theory, experimental characteristics of wing sections, high lift devices."
"Aerospace Engineering","A E 302","High Speed Aerodynamics","3","Normal shocks, one-dimensional governing flow equations, shock-expansion theory, small perturbation theory for subsonic and supersonic flow, supersonic flows in nozzles and diffusers, thermodynamics of high-speed flow."
"Aerospace Engineering","A E 303","Experimental Aerodynamics","2","Operating characteristics of subsonic and supersonic wind tunnels. Aerodynamic characteristics of wings and bodies. Flow visualization techniques. Force, moment and pressure distribution measurement. Use of hot-wire anemometer and schlieren equipment."
"Aerospace Engineering","A E 310","Aerospace Structural Mechanics and Materials","4","Equations of linear elasticity; energy methods; analysis of thin-walled structures; buckling; engineering materials and their processing: atomic and molecular structure of materials, structure-property relationships in materials; material failure by yield, fracture and fatigue. Design of simple aircraft and spacecraft structures."
"Aerospace Engineering","A E 320","Astrodynamics","3","Two-body orbital mechanics on Keplerian orbits and orbital transfers."
"Aerospace Engineering","A E 331","Feedback Flight Control","3","Bode plots, lead/lag compensator design using root locus and PID controller design and PID tuning, modeling mechanical and electro-mechanical systems, open loop response, principles of feedback, root locus construction, Routh’s criterion. stability (gain and phase) margins and analysis, state variable approach, stability analysis, pole placement; time domain specifications."
"Aerospace Engineering","A E 340","Fluid Mechanics","3","Dimensional analysis and modeling, drag forces on moving or immersed objects, fluid dynamic equations and the first law of thermodynamics, fluid statics. Laminar and turbulent flow of liquids and gases in channels, nozzles, and pipes. Reversible and irreversible processes. Not open to students with credit in Mechanical Engineering 360."
"Aerospace Engineering","A E 341","Fluid Mechanics Laboratory","1","Flow measuring devices. Experimental applications of continuity, Bernoulli and momentum equations. Model studies. Pipe and channel flows. Flow visualization techniques. Operating characteristics of wind tunnel and water table."
"Aerospace Engineering","A E 403W","Aerospace Engineering Senior Project","3","Design and build an aerospace project, conduct experimental measurements, perform analyses of measured data, write engineering reports, and present project results."
"Aerospace Engineering","A E 410","Aerospace Structural Dynamics","3","Methods of structural dynamic analysis of problems encountered in aerospace vehicles."
"Aerospace Engineering","A E 430","Aircraft Propulsion Systems","3","Theory and performance of aircraft propulsion systems. Modeling of ramjet, turbofan, and turbojet engine components. Design of turbomachinery to include axial and centrifugal compressors and turbines."
"Aerospace Engineering","A E 440","Aircraft Stability and Control I","3","Static stability and control, general equations of unsteady motion, stability derivatives, stability of uncontrolled motion, response of aircraft to actuation of controls."
"Aerospace Engineering","A E 460A","Aerospace Engineering Applications","3","Student projects in aerospace design."
"Aerospace Engineering","A E 460B","Aerospace Engineering Applications","2","Student projects in aerospace design."
"Aerospace Engineering","A E 496","Advanced Aerospace Engineering Topics","1-3","Modern developments in engineering."
"Aerospace Engineering","A E 499","Special Study","1-3","Individual study."
"Aerospace Engineering","A E 510","Finite Element Methods in Aerospace Structures","3","Static and dynamic analysis of aerospace structures utilizing finite element methods."
"Aerospace Engineering","A E 515","Methods of Analysis","3","Selected topics from vector calculus, partial differential equations, and complex analysis, with engineering applications."
"Aerospace Engineering","A E 520","Spacecraft Attitude Dynamics and Control","3","Spacecraft rigid-body attitude dynamics and feedback control."
"Aerospace Engineering","A E 530","Rocket and Space Propulsion","3","Equilibrium combustion thermodynamics. Performance of rocket propelled vehicles. Rocket propulsion fundamentals. Topics in chemical (solid and liquid) and electrical propulsion systems."
"Aerospace Engineering","A E 535","Mechanics of Composite Structures","3","Micro- and macro-mechanics of composite materials, classical lamination theory, initial failure prediction and progressive failure analysis of laminates, analysis of beam and plate structures, stiffness and strength based design of composites."
"Aerospace Engineering","A E 540","Aircraft Stability and Control II","3","Dynamic stability and control of rigid aircraft; general equations of unsteady motion, stability derivatives, perturbed state thrust forces and moment, special problems in dynamic stability and response."
"Aerospace Engineering","A E 546","Aerospace Guidance and Navigation","3","Principles and theories of navigation for aerospace vehicles. Aerospace guidance for entry vehicles, launch vehicles, missiles, and spacecraft. Classical and advanced guidance designs."
"Aerospace Engineering","A E 550","Viscous Flow","3","Kinematics of fluid motion. Conservation of mass, momentum, and energy. Navier-Stokes equations; exact solutions. Boundary layer approximations, turbulent flow."
"Aerospace Engineering","A E 596","Advanced Aerospace Engineering Topics","3","Modern developments in aerospace engineering."
"Aerospace Engineering","A E 600","Seminar","1-3","Intensive study of one of the following topics: Nonlinear vibrations, random vibrations, continuum mechanics, anisotropic elasticity, energy methods, plasticity, and other areas of engineering mechanics."
"Aerospace Engineering","A E 601","Computational Fluid Mechanics","3","Finite difference method of solving general fluid mechanics problems. Study of stability, convergence, compatibility, dissipation, and dispersion. A project is required."
"Aerospace Engineering","A E 611","Vibration of Elastic Solids","3","Vibrational characteristics of elastic media. Vibration of plates. Longitudinal and transverse wave motion in infinite, semi-infinite and finite thickness media."
"Aerospace Engineering","A E 612","Compressible Fluid Flow","3","Theory of flow at supersonic speeds. Linearized theory, three-dimensional wings in steady flight, slender-body theory, methods of characteristics."
"Aerospace Engineering","A E 613","Hypersonic Aerodynamics","3","Theory and computation of hypersonic aerodynamics, including atmospheric re-entry. Advanced topics in compressible flows of non-perfect gases with varying specific heat and composition."
"Aerospace Engineering","A E 620","Incompressible Aerodynamics","3","Theory of incompressible aerodynamics; airfoil and wing theory; computational methods."
"Aerospace Engineering","A E 621","Theory of Elasticity","3","Analysis of stress and strain: stress-strain relations; the equations of elasticity; uniqueness theorem; compatibility conditions; flexure and torsion."
"Aerospace Engineering","A E 629","Trajectory Design in Cislunar Space","3","Covers fundamental topics for trajectory design in the Earth-Moon region, including modeling of the dynamical environment, how to find periodic orbits under these dynamics, and how their stability can be leveraged for mission design in an emerging cislunar economy."
"Aerospace Engineering","A E 631","Analysis of Elastic Plates","3","Elasticity, energy principles, variational methods, classical theory, bending, and vibration of rectangular plates with various boundary conditions, shear deformation plate theories."
