"course_code","course_title","department","credits","description"
"ACCT401","Fraud Examination and Internal Audit","Accounting (ACCT)","Credit Hours:3","Description:Principles and methodologies of detecting and deterring fraud using accounting, auditing, and investigative skills. Also introduces the fundamentals of internal auditing in a changing business environment."
"ACCT404","Advanced Financial Accounting","Accounting (ACCT)","Credit Hours:3","Description:In-depth study of complex topics in financial accounting, including combined and consolidated financial statements; equity method accounting; partnership accounting; accounting for foreign currency transactions and translations; hedge accounting; segment accounting; and governmental and not-for-profit accounting."
"ACCT407","Ethics and Accountant's Professional Responsibility","Accounting (ACCT)","Credit Hours:3","Description:Role of a professional accountant, codes of accountants, ethical decision making, the legal, regulatory and social environment in which an accountant makes an ethical decision."
"ACCT410","Auditing","Accounting (ACCT)","Credit Hours:3","Description:Audit environment, generally accepted audit standards, audit risk, materiality, audit evidence, the audit report, and other special issues in auditing."
"ACCT413","Corporate Tax Accounting","Accounting (ACCT)","Credit Hours:3","Description:Federal income taxation for corporations. Tax laws associated with formation, operation, distribution, redemption, and reorganizations are analyzed."
"ACCT455","Research and Communication in Accounting","Accounting (ACCT)","Credit Hours:3","Description:Improvisation, professional writing, and professional presentations."
"ACCT499H","Honors Thesis","Accounting (ACCT)","Credit Hours:3-6","Description:Conduct a scholarly research project and write a University Honors Program or undergraduate thesis."
"ACTS95","Actuarial Practicum","Actuarial Science (ACTS)","Credit Hours:0","Description:Course tracks completion of internship or professional development requirement for undergraduate Actuarial Science majors and graduate students in the Actuarial Science masters program."
"ACTS250","Actuarial Technical Skills","Actuarial Science (ACTS)","Credit Hours:3","Description:Data organization, manipulation, and analysis using current software tools and
programming languages to solve business problems of an actuarial nature."
"ACTS395","Professional InternshipCrosslisted withBSAD 395,ACCT 395,ECON 395,FINA 395,MNGT 395,SCMA 395","Actuarial Science (ACTS)","Credit Hours:0-3","Description:Provides an opportunity to study theories, principles, practices, techniques, and strategies utilized in the business field through an internship related to the major field of study and an integral or important part of their program of study. Reflect on classroom knowledge and develop practical experience in professional business situations through an approved internship."
"ACTS396","Independent Study","Actuarial Science (ACTS)","Credit Hours:1-3","Description:Faculty supervised independent study."
"ACTS410","Credibility Theory and Loss DistributionsCrosslisted withACTS 810","Actuarial Science (ACTS)","Credit Hours:3","Description:Introduction to a variety of loss distributions used for prediction of losses in short-term insurance, different approaches to model selection, and Bayesian and empirical Bayesian credibility theory."
"ACTS430","Actuarial Applications of Applied StatisticsCrosslisted withACTS 830","Actuarial Science (ACTS)","Credit Hours:3","Description:Introduction to forecasting in actuarial science. Simple and multiple regression, instrumental variables, time series methods, and applications of methods in forecasting actuarial variables. Interest rates, inflation rates, and claim frequencies."
"ACTS431","Actuarial Applications of Time Series and Machine LearningCrosslisted withACTS 831","Actuarial Science (ACTS)","Credit Hours:3","Description:Introduction to statistical learning with actuarial applications using time series models and machine learning techniques. The topics covered include time series models, principal component analysis (PCA), decision tree, and clustering."
"ACTS440","Interest TheoryCrosslisted withACTS 840","Actuarial Science (ACTS)","Credit Hours:3","Description:Fundamental concepts of financial mathematics, and how those concepts are applied in calculating present and accumulated values for various streams of cash flows. Practical applications of these concepts in loans, bonds, capital budgeting, and portfolio management."
"ACTS445","Introduction to Actuarial Models","Actuarial Science (ACTS)","Credit Hours:3","Description:Basic probability theory, random variables for actuarial models, bask distributional quantiles, characteristics of actuarial models, commonly used discrete and continuous distributions for actuarial models, and survival models."
"ACTS450","Stochastic Processes for ActuariesCrosslisted withACTS 850","Actuarial Science (ACTS)","Credit Hours:3","Description:Introduction to stochastic processes and their applications in actuarial science. Discrete-time and continuous-time processes; Markov chains; the Poisson process; compound Poisson processes; non-homogeneous Poisson processes; arithmetic and geometric Brownian motions. Applications of these processes in computation of resident fees for continuing care retirement communities. Pricing of financial instruments."
"ACTS460","Short-Term Actuarial MathematicsCrosslisted withACTS 860","Actuarial Science (ACTS)","Credit Hours:3","Description:Introduction to short-term insurance coverage, risk measure, coverage modifications, aggregate loss models, introduction to credibility, short-term insurance loss reserving, and short-term insurance ratemaking."
"ACTS470","Long-Term Actuarial MathematicsCrosslisted withACTS 870","Actuarial Science (ACTS)","Credit Hours:3","Description:Theory and applications of contingency mathematics in the areas of life and health insurance, annuities, and pensions. Probabilistic models."
"ACTS471","Advanced Long-Term Actuarial Mathematics ICrosslisted withACTS 871","Actuarial Science (ACTS)","Credit Hours:3","Description:Further applications of actuarial probabilistic methods to determine net premiums, gross premiums, and reserves in the areas of life and health insurance, and annuities. Other topics include insurance and annuities involving multiple lives, multiple decrements, multi-state models, and pensions."
"ACTS472","Advanced Long-Term Actuarial Mathematics IICrosslisted withACTS 872","Actuarial Science (ACTS)","Credit Hours:3","Description:Further applications of actuarial probabilistic methods to determine in the areas of interpreting and performing calculations involving profit testing on both traditional life insurance and more modern life insurance such as universal life and equity-linked insurance, as well as pricing and reserving embedded options."
"ACTS473","Introduction to Advanced Short-Term Risk ModelsCrosslisted withACTS 873","Actuarial Science (ACTS)","Credit Hours:3","Description:The theory and applications of short-term actuarial models are explored. Topics include Interpreting and performing calculations involving: (i) some commonly used claim frequency and claim severity distributions as they are applied in so-called aggregate risk models; (ii) coverage modifications; (iii) actuarial ratemaking; and (iv) various loss-reserving techniques for property/casualty insurance policies."
"ACTS475","Actuarial Applications in PracticeCrosslisted withACTS 875","Actuarial Science (ACTS)","Credit Hours:3","Description:Principles and practices of pricing and/or funding and valuation for life, health, property and liability insurance, and annuities and pension plans. Commercially available actuarial modeling software."
"ADPR98","Senior Assessment","Advertising and Public Relations (ADPR)","Credit Hours:0","Description:Appropriate career-related announcements, activities, and responsibilities."
"ADPR151","Introduction to Advertising and Public Relations","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Fundamental concepts and processes underlying integrated marketing communications in a global market place. The discipline's historical roots and current role of professionals."
"ADPR189H","University Honors Seminar","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Topic varies. All topics will focus on ACE 8 and be taught accordingly."
"ADPR191","Special Topics","Advertising and Public Relations (ADPR)","Credit Hours:1-4","Description:Topics vary each term."
"ADPR207","Communicating Science with Public AudiencesCrosslisted withALEC 207","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Concepts and techniques of strategic communication, with a special focus on issues involving food, agricultural production, environmental sustainability, and natural resources. Skills and theory essential for relating to public audiences and other stakeholders."
"ADPR221","Strategic Writing for Advertising and Public Relations","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Advertising and public relations writing styles and techniques to develop effective, goal-oriented communications designed for diverse audiences, tactics and media. Spans objective news-style writing to digital storytelling, persuasive ad copywriting and promotional direct marketing."
"ADPR283","Strategy Development for Advertising and Public Relations","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Examine client problems and possible solutions and develop and evaluate strategies and tactics for promotional communications."
"ADPR291","Special Topics","Advertising and Public Relations (ADPR)","Credit Hours:1-4","Description:Topics vary each term."
"ADPR323","Copy and Concept","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:The core of any great advertisement is its concept. This course is for copywriters to find that big idea then execute it by developing copy that effectively promotes the brand. Copywriters will have to write long copy, short copy, scripts for television and radio, and copy for interactive media."
"ADPR329","Jacht Ad Lab","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Learn agency processes and business fundamentals. Work as junior member of one or more teams to conduct research and evaluate the findings, develop and present integrated marketing communications strategy and creative materials for a multimedia advertising and public relations campaign needed by a client."
"ADPR333","Design and Layout","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Graphics and design of advertising. Principles and techniques of typography, layout and design, computer graphics, and production methods. Develop strategies and design ads for various media using industry-standard graphic design programs."
"ADPR339","Student Ad Competitions","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Conduct research and evaluate the findings to develop and present an integrated marketing communications strategy and creative materials for a nationally competitive advertising and public relations campaign for a national client."
"ADPR350","Public Relations Planning and Strategy","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Focus on strategic public relations planning process and explore many of the specialty practice areas related to PR. Apply strategic principles to solve public relations problems."
"ADPR355","Event Planning for Branded Activations + Experiences","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Explore the purpose of an owned experience and experiential marketing for branded experiences. Understand pre-planning, logistics, budgeting, execution, and post-event follow up for event planning that translates across industries."
"ADPR357","Account Planning","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Examines the role of an advertising agency account planner in developing strategies in the form of creative briefs based on insights from both primary and secondary research research."
"ADPR358","UX/UI Design","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Study of design systems and the web design process from concept to prototyped execution."
"ADPR360","Media Planning and Strategy","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:The principles and practices of planning, evaluating, and selecting a variety of traditional and non-traditional media in a local and national context. Marketing-driven strategic approaches to understand how media fits into an integrated communication system. Integrating information from a variety of resources and applying basic numerical and statistical concepts that build the foundation for strategic media planning."
"ADPR361","Connecting Through Owned, Earned, and Paid Media","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Understanding connections between paid media (advertising) and owned and earned media (public relations) as part of integrated marketing communications."
"ADPR362","Digital Content Strategy","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Overview of decisions communications managers must make when developing digital content. Introduction to breadth of digital content strategy."
"ADPR381","Applied Research in Advertising and Public Relations","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Develop, conduct and interpret primary research to arrive at actionable insights that increase a brand's engagement with its target audiences, attract new consumers, reverse declining sales, or make a campaign go viral overnight that building on skills from previous courses."
"ADPR391","Special Topics","Advertising and Public Relations (ADPR)","Credit Hours:1-4","Description:Topics vary each term."
"ADPR417","Issues Management and Crisis Communications in Agricultural and Environmental SciencesCrosslisted withALEC 417","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Examines strategic communication practices of issues management, risk assessment, and crisis communications in agriculture and other industries, explores the process necessary to address current and future issues, and outlines effective communication in times of crisis. Focused on issues and crisis in agriculture, environmental science, natural resources, and society."
"ADPR429","Jacht Student Ad Agency","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Conduct research and evaluate the findings to develop and present an integrated marketing communications strategy and creative materials for a multimedia advertising and public relations campaign needed by a client. Learn and apply basic business concepts involved in a working ad agency startup. Application of knowledge, experience, and skills learned in previous courses to a new situation."
"ADPR433","Art DirectionCrosslisted withADPR 833","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Visual and graphic design as applied to the corporate environments of advertising and public relations. Print and electronic design principles, strategies and elements using traditional and new digital technologies. Development of creative materials for actual clients, corporate identities, electronic presentations, professional creative portfolios, non-traditional resumes, and World Wide Web (WWW) sites."
"ADPR434","Digital Insight & AnalyticsCrosslisted withADPR 834","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:A study of the digital communication landscape. Course explores how various channels of digital communication can be used to analyze audiences, connect with them and ultimately build brands."
"ADPR437","International/Multicultural Public RelationsCrosslisted withADPR 837","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Content and discussions on global issues affecting the public relations profession, the professional, the specialized practices, and the engagement of stakeholders simultaneously at home and at transnational levels."
"ADPR438","Global AdvertisingCrosslisted withADPR 838","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Global advertising and communication. Cultural, economic, political and social differences that affect advertising strategy and execution in foreign markets. Advertising a USA product or service in the global market."
"ADPR439","Student Competitions","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Conduct research and evaluate the findings to develop and present an integrated marketing communications strategy and creative materials for a nationally competitive advertising and public relations campaign for a national client."
"ADPR447","Strategic and Creative ConceptingCrosslisted withADPR 847","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:The alternative and advanced methods of communicating a message, a need, a perception or attitude. Creative storytelling and problem-solving, critique and analysis, and how to creatively communicate with strategic thinking and design."
"ADPR450","Public Relations Management and Case StudiesCrosslisted withADPR 850","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Philosophies and theories that underlie the discipline and profession of public relations. The critical and supportive perspectives used to gain insight into the history and direction of public relations."
"ADPR451","Public Relations TechniquesCrosslisted withADPR 851","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Multimedia tools in advertising, public relations, direct marketing, and sales promotion. Promotional writing, publications development, and media relations."
"ADPR457","Crisis Management in Corporations and NonprofitsCrosslisted withADPR 857","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Role of public relations in prevention of crises, response to crises, and recovery from crises. How to preempt, prepare for and respond to corporate, nonprofit and government sector crises from a public relations perspective."
"ADPR458","Interactive Media DesignCrosslisted withADPR 858","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Communication strategies and tactics using interactive media. Exploration of interactive's role in strategic communications, user experience, information architecture, interactive design and development using current web technologies."
"ADPR464","Sports Media Relations & PromotionsCrosslisted withADPR 864,SPMC 464,SPMC 864","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Issues in sports media relations and integrated marketing communications. Background of the unpredictable nature of the sports industry and the relationships with its various publics and the media."
"ADPR466","Social Media Theory and PracticeCrosslisted withADPR 866","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Key theories related to the study of social media, important social media monitoring and management practices, and advertising/PR opportunities on the most popular social and mobile media platforms."
"ADPR481","Advertising and Public Relations Research","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Research in the planning, development and evaluation of advertising. The research process, use of secondary sources of information and how to analyze data from these sources. The planning and execution of primary research. Survey techniques."
"ADPR483","Portfolio DevelopmentCrosslisted withADPR 883","Advertising and Public Relations (ADPR)","Credit Hours:1","Description:How to improve individual portfolios of creative work and execute a variety of creative pieces that demonstrate improvement in their collections."
"ADPR484","Brands & Branding","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:The managerial philosophy, techniques, and processes in advertising. Organizational structures, integrated marketing communications, strategic planning, marketing planning, advertising planning, advertising research, budgeting, and decision paradigms."
"ADPR488","Media Sales and PromotionCrosslisted withADPR 888","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Techniques for print and electronic media sales and promotion. Rate structures, legal requirements, and social and economic effects."
"ADPR489","Advertising and Public Relations CampaignsCrosslisted withADPR 889","Advertising and Public Relations (ADPR)","Credit Hours:3","Description:Conduct research and evaluate the findings to develop and present an integrated marketing communications strategy and creative materials for a multimedia advertising and public relations campaign needed by a client. Application of knowledge, experience, and skills learned in previous courses to a new situation."
"ADPR491","Special Topics in AdvertisingCrosslisted withADPR 891","Advertising and Public Relations (ADPR)","Credit Hours:1-4","Description:Topics vary each term."
"ADPR495","Advertising or Public Relations Internship","Advertising and Public Relations (ADPR)","Credit Hours:1-3","Description:Advertising- or Public Relations-related internships, paid or unpaid, provide an opportunity to enhance professional skills while contributing meaningful work and expanding career networks. Required minimum of 150 hours of internship regardless of number of credit hours earned."
"ADPR496","Independent Study in Advertising and Public RelationsCrosslisted withADPR 896","Advertising and Public Relations (ADPR)","Credit Hours:1-24",""
"ADPR499H","Honors Course","Advertising and Public Relations (ADPR)","Credit Hours:1-4",""
"AERO185","Heritage and Values I","Aerospace Studies (AERO)","Credit Hours:1","Description:Officership, communication skills, opportunities, and benefits in today's US Air Force. A weekly one and one-half hour Leadership Lab consists of Air Force customs and courtesies, Air Force environment, drill and ceremonies."
"AERO185L","Leadership Laboratory","Aerospace Studies (AERO)","Credit Hours:0","Description:Increasing students' knowledge of Air Force uniform wear, customs, and active duty opportunities."
"AERO186","Heritage and Values II","Aerospace Studies (AERO)","Credit Hours:1","Description:Communication and leadership skills, US Military history, and the organizational structure of today's US Air Force. A weekly one and one-half hour Leadership Lab consists of Air Force customs and courtesies, Air Force environment, drill and ceremonies."
"AERO186L","Leadership Laboratory","Aerospace Studies (AERO)","Credit Hours:0","Description:Increasing students' knowledge of Air Force uniform wear, customs, and active duty opportunities."
"AERO285","Team and Leadership Fundamentals I","Aerospace Studies (AERO)","Credit Hours:2","Description:Establishes the foundation for both leadership and team building skills to include listening, followership, and problem solving efficiently. Practice and demonstrate basic verbal and written communication skills along with self-reflection and self assessments."
"AERO285L","Leadership Laboratory I","Aerospace Studies (AERO)","Credit Hours:0","Description:Introduction to cadet leadership training. Practical experience in leadership roles."
"AERO286","Team and Leadership Fundamentals II","Aerospace Studies (AERO)","Credit Hours:2","Description:Builds on the topics established inAERO 285, with a focus on teams, conflict management, stress management and resiliency, and further development of verbal and written communication skills. Continued self-reflection will be required in order to increase both followership and leadership skills."
"AERO286L","Leadership Laboratory II","Aerospace Studies (AERO)","Credit Hours:0","Description:Introduction to cadet leadership training. Practical experience in leadership roles."
"AERO331","Leading People and Effective Communication I","Aerospace Studies (AERO)","Credit Hours:3","Description:Communications skills, leadership, quality initiatives, and human relations. Requires cadet research and participation in the instructional process."
"AERO331L","Leadership Laboratory","Aerospace Studies (AERO)","Credit Hours:0","Description:Practical application of the principles of leadership in the operation and administration of the cadet wing."
"AERO332","Leading People and Effective Communication II","Aerospace Studies (AERO)","Credit Hours:3","Description:Principles of leadership, professionalism, ethics, communications skills, and problem solving, including quality leadership applications."
"AERO332L","Leadership Laboratory","Aerospace Studies (AERO)","Credit Hours:0","Description:Practical application of the principles of leadership in the operation and administration of the cadet wing."
"AERO441","National Security Leadership Responsibilities and Commissioning Preparation I","Aerospace Studies (AERO)","Credit Hours:3","Description:Environment in which defense policy is formulated. Requisites for maintaining adequate national security forces; political, economic, and social constraints of the national defense structure; and the overall defense policymaking process."
"AERO441L","Leadership Laboratory","Aerospace Studies (AERO)","Credit Hours:0","Description:Practical application of the principles of leadership and experience in the operation and administration of the cadet wing."
"AERO442","National Security Leadership Responsibilities and Commissioning Preparation II","Aerospace Studies (AERO)","Credit Hours:3","Description:The armed forces as an integral element of society; the broad range of civil-military relations. The role of the professional officer in a democratic society, the socialization process within the armed services, and the military justice system."
"AERO442L","Leadership Laboratory","Aerospace Studies (AERO)","Credit Hours:0","Description:Practical application of the principles of leadership and experience in the operation and administration of the cadet wing."
"ABUS341","MarketingCrosslisted withMRKT 341","Agribusiness (ABUS)","Credit Hours:3","Description:The marketing system, its relations with the socioeconomic system, and the influences of each upon the other. Evolution and present structure of marketing institutions and processes. Customer attributes and behavioral characteristics, and how a marketing manager responds to these in the design of marketing strategies, using research, product development, pricing, distribution structure, and promotion."
"ABUS388","Business Systems in EntrepreneurshipCrosslisted withPLAS 388,ENTR 388,EAEP 388","Agribusiness (ABUS)","Credit Hours:3","Description:Introductory models for a startup business. Ideation, customer segments, value proposition, minimal viable product and market fit."
"ABUS488","Entrepreneurship and Enterprise DevelopmentCrosslisted withPLAS 488,HORT 888,EAEP 488,ENTR 488,EAEP 888,AGRO 888,ENTR 888","Agribusiness (ABUS)","Credit Hours:3","Description:The process of starting your own enterprise. Competitive environment, risk management, finance for business startups, funding, and business plan writing."
"AECN20","Seminar in Agricultural and Applied Economics","Agricultural Economics (AECN)","Credit Hours:0","Description:Overview of the agricultural and applied economics field, highlighting the broad range of topics that agricultural and applied economists work on. Student involvement (campus organizations, research, and study abroad) and career opportunities will also be discussed."
"AECN100","New Student Career Orientation","Agricultural Economics (AECN)","Credit Hours:1","Description:Academic success and development of leadership skills through involvement and activities on campus. Time management and study skills. Identify potential internship and career opportunities."
"AECN109","Water in SocietyCrosslisted withSCIL 109,NRES 109,ENVR 109,GEOG 109","Agricultural Economics (AECN)","Credit Hours:3","Description:Introduction to the scientific, social, and economic dimensions of historical and contemporary water systems.  Students will develop an understanding of hydrologic systems and analyze and engage in decision-making about complex challenges associated with water resource use."
"AECN141","Introduction to the Economics of Agriculture","Agricultural Economics (AECN)","Credit Hours:3","Description:Introductory course on the basic principles of agricultural economics. Production economics, principles of supply and demand, resource economics, world food situation, marketing of agricultural products, and agricultural public policy."
"AECN175","Introduction to Excel","Agricultural Economics (AECN)","Credit Hours:1","Description:Introduction to spreadsheet use, specifically Microsoft Excel.  Become proficient at the basic uses of Excel, including data entry, record-keeping, and formula use.  Also includes more advanced topics including programming logic, data analysis, and presentation of results."
"AECN201","Farm and Ranch Management","Agricultural Economics (AECN)","Credit Hours:4","Description:Various economic principles and business management concepts which are involved in the decision-making process when organizing and operating a farming/ranching operation. Includes production economics, record keeping systems, financial budgets and analysis, crop and livestock enterprise analysis, leasing arrangements, depreciation, farm business organizations, farm investment analysis, pasture/rangeland management, and production efficiency indicators."
"AECN218","Intro to Behavioral Economics","Agricultural Economics (AECN)","Credit Hours:3","Description:Provides both foundational and cutting-edge knowledge of behavioral economic models of individual decision-making in the context of agriculture, food, health, and natural resources. Learn to analyze and design public policy, interventions, and practices. Topics include intertemporal choice, risk and uncertainty, heuristics and biases, and identity, norms, and social preferences."
"AECN220","International Agricultural Trade","Agricultural Economics (AECN)","Credit Hours:3","Description:Introduction to the foundational concepts and applications of international trade with a strong focus on agriculture and food markets. Establish basic literacy in international trade with applications to agricultural commodity and affiliated markets and policy issues such as tariff-rate quotas and phytosanitary regulations unique to agriculture."
"AECN225","Agribusiness Entrepreneurship in Food Products MarketingCrosslisted withEAEP 225,MRKT 225","Agricultural Economics (AECN)","Credit Hours:3","Description:Marketing strategies and entrepreneurship ventures throughout a food systems channel from producers of agricultural commodities to processors of food products and the final consumer.  Entrepreneurship studies dealing with food processors, wholesaling, retailing and food service firms.  Create strategic marketing plan to introduce a new food product into a retail consumer market."
"AECN230","Energy and the Environment: Economics and PolicyCrosslisted withENSC 230","Agricultural Economics (AECN)","Credit Hours:3","Description:Introduction to the economics of energy.  How the economic system determines production and consumption.  The linkages between economic and environmental outcomes.  How future energy use can be influenced by economic, environmental, trade, and research policy."
"AECN235","Introduction to Commodity MarketingCrosslisted withMRKT 235","Agricultural Economics (AECN)","Credit Hours:3","Description:This course focuses on the foundations of commodity markets. It discusses how markets were created, how commodities are traded from producers to final consumers, the role of transportation and storage, among other topics. It provides a broad and detailed discussion of economic theories behind markets, how they work in practice, and the current state of these markets in the world."
"AECN256","Legal Aspects in Agriculture","Agricultural Economics (AECN)","Credit Hours:3","Description:Legal aspects of agriculture: taxation, contracts, property rights, buying and selling real estate, condemnation, land use regulations, leases, co-ownership, partnerships, corporations, commercial transactions, credit, liability, insurance, estate planning, water law, and agricultural regulations. A practical exposure to the legal institutions of Nebraska."
"AECN265","Resource and Environmental Economics ICrosslisted withNREE 265","Agricultural Economics (AECN)","Credit Hours:3","Description:Introduction to environmental and natural resource economics and the role of such concepts in natural resource management. Application of economic principles to actual natural resource/environmental issues with focus on tradeoffs, cost and benefits, and decision making."
"AECN275","Agribusiness Entrepreneurial FinanceCrosslisted withEAEP 275,ENTR 275,PLAS 275","Agricultural Economics (AECN)","Credit Hours:3","Description:Overview of financial issues for agribusiness start-ups. Business funding specific to new enterprises. Case studies on financial practices for start-up firms."
"AECN276","Rural SociologyCrosslisted withSOCI 241","Agricultural Economics (AECN)","Credit Hours:3","Description:The rural environment and its people; its groups and associations; and its social institutions."
"AECN301","Farm Accounting, Analysis, and Tax Management","Agricultural Economics (AECN)","Credit Hours:3","Description:Business record systems for farming and ranching. Financial statements; income tax and decision making; farm business and enterprise analysis."
"AECN316","Agribusiness Management","Agricultural Economics (AECN)","Credit Hours:3","Description:For students interested in careers leading to managerial positions in the grain, feed, fertilizer, farm petroleum and related agricultural industries.  The focus is on the use of financial statements, operating and managerial functions, communication, and the inter-personal work environment within an organization.  Presentation is by lecture integrated with experiential learning through use of an agribusiness management simulation."
"AECN320","International Trade Policy and PoliticsCrosslisted withINTF 320,ECON 320","Agricultural Economics (AECN)","Credit Hours:3","Description:Foundational elements necessary for understanding and analyzing modern-day trade policy-making, including the origins and evolution of the modern international trading system, U.S. domestic trade policy processes, the interaction between business goals and government policy, and the interplay between trade policy and overall U.S. foreign policy objectives. Analytical frameworks and the opportunity to develop practical skills applicable to any future professional or policy-making setting."
"AECN325","Marketing of Agricultural CommoditiesCrosslisted withMRKT 325","Agricultural Economics (AECN)","Credit Hours:3","Description:Operation and use of agricultural commodity markets and institutions as applied to enterprise and firm risk management. Cash; futures and futures option markets; basis; hedging; price discovery; fundamental analysis; and risk management strategies."
