"subject","course_code","course_name","description","credits"
"Activity/Physical Education Classes","KIN 38","Beginning Jogging","1 Jogging is a moderate-impact activity designed to improve cardiovascular fitness.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 40A","Topics in Modern Dance I","2 Training experience in the field of beginning modern dance with varied topics. Can be repeated when topic changes.   Misc/Lab: Activity 4 hours.  SatisfiesPE: Physical Education.  Course may be repeated for credit for up to 8 units.  Grading:Letter Graded   Note(s):Movement Area 3 Dance   Cross-listed with DANC 40A . Film and Theatre is responsible for scheduling.    Class Schedule|Syllabus Information|University Bookstore","2"
"Activity/Physical Education Classes","KIN 41A","Topics in Ballet I","2 Training experience in the field of beginning ballet dance with varied topics. Can be repeated when topic changes.   Misc/Lab: Activity 4 hours.  SatisfiesPE: Physical Education.  Course may be repeated for credit for up to 8 units.  Grading:Letter Graded   Note(s):Movement Area 3 Dance   Cross-listed with DANC 41A . Film and Theatre is responsible for scheduling.    Class Schedule|Syllabus Information|University Bookstore","2"
"Activity/Physical Education Classes","KIN 42A","Topics in Jazz Dance I","2 Training experience in the field of beginning Jazz dance with varied topics. Can be repeated when topic changes.   Misc/Lab: Activity 4 hours.  SatisfiesPE: Physical Education.  Course may be repeated for credit for up to 8 units.  Grading:Letter Graded   Note(s):Movement Area 3 Dance   Cross-listed with DANC 42A . Film and Theatre is responsible for scheduling.    Class Schedule|Syllabus Information|University Bookstore","2"
"Activity/Physical Education Classes","KIN 45A","Beginning Lindy Hop and Night Club Swing","1 This course is focused on the development of fundamental Swing dance skills and knowledge. Steps, technique, and styling will be drawn from Lindy Hop, Jitterbug, Street Swing, Jive and Triple-Time Swing dances.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 3 Dance   Cross-listed with DANC 45A . Kinesiology is responsible for scheduling.    Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 46A","Beginning Social Dance","1 This course is focused on the development of fundamental social dance skills and knowledge. Dances will be selected from the American Smooth (e.g. Waltz, Tango), American Rhythm (e.g. Rumba, Cha Cha) and night club (e.g. Hustle, West Coast Swing) dance categories.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 3 Dance   Cross-listed with DANC 46A . Kinesiology is responsible for scheduling.    Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 48A","Beginning Latin Dance","1 This course is focused on the development of fundamental Latin dance skills and knowledge. Dances will be selected from the International Latin, American Rhythm (e.g. Rumba, Cha Cha) and night club (e.g. Salsa) dance categories.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 3 Dance   Cross-listed with DANC 48A . Kinesiology is responsible for scheduling.    Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 49A","Topics in Tap Dance I","1 Training and experience in the field of beginning tap dance with varied topics. Can be repeated when topic changes.   Misc/Lab: Activity 3 hours.   Course may be repeated for credit for up to 2 units.  Grading:Letter Graded   Note(s):Movement Area 3 Dance   Cross-listed with DANC 49A . Film and Theatre is responsible for scheduling.    Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 50","Tai Chi (Non-Combative)","1 Emphasis on knowledge and skill, development of the standard Simplified Tai Chi Form and applications of Tai Chi for life. It is assumed that students enrolled in the class have had little or no experience in Tai Chi.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 51A","Beginning Aikido","1 This course is focused on the philosophy, history, and basic skills related to the Japanese-derived martial art of Aikido.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 1 Combatives     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 51B","Intermediate Aikido","1 This course is focused on the development of intermediate level skills and knowledge related to the Japanese-derived martial art of Aikido. It builds upon the basic movement patterns and falling skills introduced in the beginning class.    SatisfiesPE: Physical Education.   Prerequisite(s):KIN 51A or equivalent Aikido skills and experience.  Grading:Letter Graded   Note(s):Movement Area 1 Combatives     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 52A","Beginning Judo","1 Course is focused on developing the fundamental skills and knowledge related to Judo. Included are basic groundwork and throwing techniques.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 1 Combatives     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 52B","Intermediate Judo","1 This course is focused on development of intermediate level ground and throwing skills and learning in-depth strategies, philosophy, and culture related to Judo. It builds upon the basic ukemi, newaza, and tachiwaza techniques learned in the beginning class.    SatisfiesPE: Physical Education.   Prerequisite(s):KIN 52A or equivalent judo skills and experience.  Grading:Letter Graded   Note(s):Movement Area 1 Combatives     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 52C","Competitive Judo","1 Prepares students to use Judo techniques in competitive tournaments. The course will offer intermediate and advanced skills (standing, mat and falling techniques) and strategies to improve competitiveness.    SatisfiesPE: Physical Education.  Course may be repeated for credit for up to 12 units.  Prerequisite(s):KIN 52A or KIN 52B , and/or instructor consent.  Grading:Letter Graded   Note(s):Movement Area 1 Combatives     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 53A","Beginning Karate","1 This course is focused on development of fundamental skills and knowledge related to Karate. Included are basic kicking, punching, and blocking techniques.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 1 Combatives     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 53B","Intermediate Karate","1 This course is focused on development of intermediate level skills and knowledge related to Karate. It builds upon the fundamental skills and techniques developed in the beginning class.    SatisfiesPE: Physical Education.   Prerequisite(s):KIN 53A or equivalent karate skills and experience.  Grading:Letter Graded   Note(s):Movement Area 1 Combatives     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 54A","Beginning Tae Kwon Do","1 This course is focused on development of fundamental skills and knowledge related to Tae Kwon Do. Included are basic patterns (poomse), kicking and one-step defenses.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 1 Combatives     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 54B","Intermediate Tae Kwon Do","1 This course is focused on development of intermediate level skills and knowledge related to Tae Kwon Do. It builds upon the fundamental skills and techniques developed in the beginning Tae Kwon Do class.    SatisfiesPE: Physical Education.   Prerequisite(s):KIN 54A or equivalent Tae Kwon Do skills and experience.  Grading:Letter Graded   Note(s):Movement Area 1 Combatives     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 55A","Beginning Self-Defense","1 This course is focused on development of fundamental skills and knowledge related to self defense. Included are mental and physical self-defense skills and techniques applicable under a variety of conditions.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 1 Combatives     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 58A","Introductory Brazilian Jiu-Jitsu","1 Development of the essential skills and principles of Brazilian jiu-jitsu practice.  Included are the basic escapes, sweeps, and submissions from the most common positions.      Grading:Letter Graded   Note(s):Movement Area 1 Combatives     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 59A","Beginning Rock Climbing","1 Course introduces students to the fundamental skills, techniques, and safety procedures of rock climbing. Students will learn about indoor climbing, bouldering, knot tying, belaying, movement techniques, mental and physical training strategies and risk management.    Activity 2 hours.  SatisfiesPE: Physical Education.   Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 61A","Beginning Hatha Yoga","1 In this course the student will learn the correct movements, postures, and sequence used in traditional Hatha Yoga.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 61B","Intermediate Hatha Yoga","1 Further exploration of the theories and practices of Hatha Yoga encompassing the second level series of traditional intermediate Hatha Yoga postures, breathing exercises, and relaxation techniques.    SatisfiesPE: Physical Education.   Prerequisite(s):Beginning level or its equivalent.  Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 62A","Beginning Ice Skating","1 A beginning ice skating course that covers the skills identified by the International Ice Skating Association (IISA).    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 63A","Beginning Hiking and Backpacking","1 An introductory course designed to impact skills such as topographical map reading, navigation and hiking. The emphasis is on logistics and operations of adventure excursions and fitness in various wilderness environments.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 6 Adventure     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 65A","Beginning Ice Hockey","1 Basic skills, techniques, strategies and rules of ice hockey. No previous skating is required but the ability to skate is highly recommended.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 5 Team     Class Schedule|Syllabus Information|University Bookstore","1"
"Advertising","ADV 91","Introduction to Advertising","3 Comprehensive survey of the basic principles of advertising. Topics include: strategic planning, integrated communications, audience targeting, creative strategy, advertising media, social responsibility, advertising ethics, international advertising and current issues in advertising.      Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Advertising","ADV 92","International Program Studies","1-12 Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.      Grading:Mixed Grading     Class Schedule|Syllabus Information|University Bookstore","1-12"
