"course_code","course_name","course_credits"
"ACC 615","ACC 615 - Entity Taxation-Theory and Practice","3 credits"
"ACC 616","ACC 616 - Structured Accounting Analytics and Emerging Technologies","3 credits"
"ACC 617","ACC 617 - International Accounting","3 credits"
"ACC 618","ACC 618 - Advanced Accounting","3 credits"
"ACC 620","ACC 620 - Accounting Theory","3 credits"
"ACC 622","ACC 622 - Tax Research and Writing","3 credits"
"ACC 623","ACC 623 - Sales, Exchanges, and Other Property Dispositions","3 credits"
"ACC 624","ACC 624 - Corporate Tax I","3 credits"
"ACC 625","ACC 625 - Corporate Tax II","3 credits"
"ACC 627","ACC 627 - Estate, Gift, and Trust I","3 credits"
"ACC 628","ACC 628 - Fiduciary Income Tax","3 credits"
"ACC 629","ACC 629 - Partnership Taxation","3 credits"
"ACC 630","ACC 630 - Multistate Taxation","3 credits"
"ACC 631","ACC 631 - Employee Benefit Plans and Deferred Compensation","3 credits"
"ACC 632","ACC 632 - Tax Accounting","3 credits"
"ACC 633","ACC 633 - International Tax Practice","3 credits"
"ACC 636","ACC 636 - Taxation Problems, Planning, and Current Issues","3 credits"
"ACC 639","ACC 639 - Federal Tax Practice and Procedure","3 credits"
"ACC 640","ACC 640 - S Corp and Limited Liability Co Taxation","3 credits"
"ACC 641","ACC 641 - Advanced Estate and Gift Taxation","3 credits"
"ACC 680","ACC 680 - Special Topics in Accounting","1 to 3 credits"
"ACC 690","ACC 690 - Accounting Internship","1 to 3 credits"
"ACC 697","ACC 697 - Professional Learning","1 to 3 credits"
"ACC 699","ACC 699 - Independent Study","1 to 3 credits"
"AFN 281","AFN 281 - Advocacy in Food and Nutrition","1 credits"
"AFN 300","AFN 300 - Food Protection Management","3 credits"
"AFN 400","AFN 400 - Applied Medical Nutrition Therapy I","3 credits"
"AFN 401","AFN 401 - Emerging Issues in Food and Nutrition","2 credits"
"AFN 405","AFN 405 - Applied Medical Nutrition Therapy II","3 credits"
"AFN 410","AFN 410 - Nutrition Care Delivery: Assessment, Implementation, and Evaluation","4 credits"
"AFN 416","AFN 416 - Applied Food and Culinary Science","3 credits"
"AFN 417","AFN 417 - Food Service Practicum","1 to 2 credits"
"AFN 418","AFN 418 - Community Nutrition Practicum","1 to 3 credits"
"AFN 419","AFN 419 - Clinical Nutrition Practicum","1 to 3 credits"
"AFN 460","AFN 460 - Nutrition Education and Counseling with Vulnerable Populations","3 credits"
"AFN 495","AFN 495 - Applied Food and Nutrition Capstone","3 credits"
"AHS 100","AHS 100 - Medical Terminology","3 credits"
"AHS 110","AHS 110 - Introduction to Health Care","3 credits"
"AHS 180","AHS 180 - Special Topics in Health Professions","1 to 4 credits"
"AHS 301","AHS 301 - Introduction to Health Care Research","3 credits"
"AHS 310","AHS 310 - Equity in Health Care","3 credits"
"AHS 321","AHS 321 - Ethical and Legal Responsibilities in Health Care","3 credits"
"AHS 330","AHS 330 - Health Care: A Global Perspective","3 credits"
"AHS 340","AHS 340 - Health Care Management","3 credits"
"AHS 352","AHS 352 - Introduction to Holistic Health Care","3 credits"
"AHS 380","AHS 380 - Special Topics in Allied Health Science","1 to 12 credits"
"AHS 480","AHS 480 - Special Topics in Allied Health Sciences","3 credits"
"AHS 490","AHS 490 - Health Care Internship","3, 6, or 12 credits"
"AHS 495","AHS 495 - Issues in Health Professions","3 credits"
"AHS 499","AHS 499 - Independent Study","1 to 3 credits"
"AHS 580","AHS 580 - Special Topics in Allied Health Sciences","3 credits"
"AHS 680","AHS 680 - Special Topics in Health Professions","3 credits"
"AHS 697","AHS 697 - Professional Learning","1 to 3 credits"
"AHS 699","AHS 699 - Independent Study","1 to 3 credits"
"ANT 204","ANT 204 - Peoples and Cultures of the World","3 credits"
"ANT 206","ANT 206 - Human Origins","3 credits"
"ANT 207","ANT 207 - Language and Culture","3 credits"
"ANT 210","ANT 210 - History of Anthropological Theory","3 credits"
"ANT 215","ANT 215 - Origins of Civilization","3 credits"
"ANT 220","ANT 220 - Introduction to Archaeology","4 credits"
"ANT 305","ANT 305 - Methods in Biological Anthropology","3 credits"
"ANT 307","ANT 307 - Field Techniques and Laboratory Methods in Anthropology","1 to 9 credits"
"ANT 308","ANT 308 - Field Experience Abroad","1 to 6 credits"
"ANT 311","ANT 311 - Native Peoples of North America","3 credits"
"ANT 312","ANT 312 - Human Osteology","4 credits"
"ANT 313","ANT 313 - Primate Behavior and Ecology","3 credits"
"ANT 314","ANT 314 - Bioarchaeology","3 credits"
"ANT 315","ANT 315 - Comparative Religions","3 credits"
"ANT 317","ANT 317 - Advanced Cross-cultural Linguistics","3 credits"
"ANT 320","ANT 320 - Culture and Disease","3 credits"
"ANT 325","ANT 325 - Archaeology of North America","3 credits"
"ANT 330","ANT 330 - Anthropology of Selected World Areas","3 credits"
"ANT 331","ANT 331 - Issues in Contemporary Anthropology","3 credits"
"ANT 340","ANT 340 - Culture and Environment","3 credits"
"ANT 350","ANT 350 - Archaeology of the Middle East/Southwest Asia","3 credits"
"ANT 370","ANT 370 - Cross-cultural Perspectives on Gender","3 credits"
"ANT 375","ANT 375 - Language, Identity, and Diversity","3 credits"
"ANT 380","ANT 380 - Special Topics in Anthropology","3 credits"
"ANT 399","ANT 399 - Independent Readings","1 to 3 credits"
"ANT 400","ANT 400 - Ethnographic Methods","3 credits"
"ANT 405","ANT 405 - Contemporary Anthropological Theory","3 credits"
"ANT 420","ANT 420 - Applied Anthropology","3 credits"
"ANT 421","ANT 421 - Anthropology of Social Movements","3 credits"
"ANT 431","ANT 431 - Historical Perspectives in Anthropology","3 credits"
"ANT 490","ANT 490 - Practicum: Career-Service","1 to 9 credits"
"ANT 495","ANT 495 - Practicing Anthropology (Capstone)","3 credits"
"ANT 498","ANT 498 - Honors Research in Anthropology","3 credits"
"ANT 499","ANT 499 - Independent Study and Research","1 to 4 credits"
"ARA 101","ARA 101 - Beginning Arabic I: Language and Culture","4 credits"
"ARA 102","ARA 102 - Beginning Arabic II: Language and Culture","4 credits"
"ARA 180","ARA 180 - Special Topics in Arabic","1 to 4 credits"
"ARA 201","ARA 201 - Intermediate Arabic I: Language and Culture","4 credits"
"ARA 202","ARA 202 - Intermediate Arabic II: Language and Culture","4 credits"
"ARA 280","ARA 280 - Special Topics in Arabic","1 to 4 credits"
"ARA 285","ARA 285 - Colloquial and Media Arabic","3 credits"
"ARA 301","ARA 301 - Arabic Conversation","3 credits"
"ARA 302","ARA 302 - Arabic Composition","3 credits"
"ARA 310","ARA 310 - Media Arabic","3 credits"
"ARA 312","ARA 312 - Contemporary Arabic Culture","3 credits"
"ARA 330","ARA 330 - Arab Identity in Literature and Culture","3 credits"
"ARA 380","ARA 380 - Special Topics in Arabic","1 to 4 credits"
"ARA 386","ARA 386 - Arabic through Culture and Customs","3 credits"
"ARA 480","ARA 480 - Special Topics in Arabic","1 to 4 credits"
"ARC 400","ARC 400 - Archaeological Methods and Research Design","3 credits"
"ARC 401","ARC 401 - Archaeological Theory","3 credits"
"ARC 499","ARC 499 - Independent Study in Archaeology","1 to 3 credits"
"ART 101","ART 101 - Introduction to Art","3 credits"
"ART 149","ART 149 - Introduction to Visual Composition","3 credits"
"ART 150","ART 150 - Foundations: 2-D Design and Color","3 credits"
"ART 151","ART 151 - Foundations: 3-D Design","3 credits"
"ART 152","ART 152 - Foundations: Color and Design","3 credits"
"ART 153","ART 153 - Foundations: Making and Meaning in Art and Design","3 credits"
"ART 155","ART 155 - Foundations: Introduction to Drawing I","3 credits"
"ART 157","ART 157 - Foundations: Introduction to Drawing II","3 credits"
"ART 159","ART 159 - Drawing Fundamentals","3 credits"
"ART 209","ART 209 - Graphic Design Basics","3 credits"
"ART 210","ART 210 - Graphic Design Studio I: Introduction to Typography","3 credits"
"ART 211","ART 211 - Graphic Design II","3 credits"
"ART 214","ART 214 - Experience Design Studio I: Digital Interfaces","3 credits"
"ART 215","ART 215 - Advanced Typography","3 credits"
"ART 217","ART 217 - Graphic Design Internship Seminar","1 credits"
"ART 218","ART 218 - Design History","3 credits"
"ART 219","ART 219 - History of Illustration","3 credits"
"ART 221","ART 221 - Survey of Art History I","3 credits"
"ART 222","ART 222 - Survey of Art History II","3 credits"
"ART 231","ART 231 - Integrating the Visual Arts Across Disciplines","3 credits"
"ART 245","ART 245 - Fabricating Adornment: Jewelry Basics and Design","3 credits"
"ART 246","ART 246 - Fluidity in Small Form: Jewelry Casting","3 credits"
"ART 257","ART 257 - Life Drawing","3 credits"
"ART 258","ART 258 - Intermediate Drawing","3 credits"
"ART 260","ART 260 - Introduction to Painting","3 credits"
"ART 263","ART 263 - Screenprint and Relief","3 credits"
"ART 264","ART 264 - Etching and Monotype","3 credits"
"ART 265","ART 265 - Introduction to Printmaking","3 credits"
"ART 270","ART 270 - Sculpture: Creating/Building/Making","3 credits"
"ART 271","ART 271 - Sculpture: Digital 3D Modeling and Design","3 credits"
"ART 275","ART 275 - Ceramics: The Basics","3 credits"
"ART 280","ART 280 - Special Topics in Art and Design","3 credits"
"ART 281","ART 281 - Fundamentals of Illustration: Ideation and Sequence","3 credits"
"ART 282","ART 282 - Fundamentals of Illustration: Materials and Techniques","3 credits"
"ART 293","ART 293 - Image Studio: Art, Production, Meaning, Display","3 credits"
"ART 295","ART 295 - Space Studio: Art, Installation, Environment, Site","3 credits"
"ART 296","ART 296 - Time Studio: Art, Video, Sound, Action","3 credits"
"ART 307","ART 307 - Digital Prepress","3 credits"
"ART 310","ART 310 - Graphic Design Studio II: Typographic Systems","3 credits"
"ART 312","ART 312 - Graphic Design IV - Experience Design","3 credits"
"ART 313","ART 313 - Graphic Design for 3D Experiences","3 credits"
"ART 314","ART 314 - Experience Design Studio II: Integrated Systems","3 credits"
"ART 318","ART 318 - Graphic Design Forum","3 credits"
"ART 322","ART 322 - Goths to Gothic: Medieval Art","3 credits"
"ART 323","ART 323 - Rethinking Renaissance Art","3 credits"
"ART 327","ART 327 - Art Since 1945","3 credits"
"ART 332","ART 332 - Introduction to Art Education","3 credits"
"ART 333","ART 333 - Curriculum Development and Practice","3 credits"
"ART 335","ART 335 - Digital Creativity","3 credits"
"ART 347","ART 347 - The Functional Metal Object in the Domestic Space","3 credits"
"ART 348","ART 348 - The Body Adorned: Constructed Identity","3 credits"
"ART 349","ART 349 - Jewelry and Metalsmithing Production","3 credits"
"ART 350","ART 350 - Learning to See: Visual Training for the Health Care Professional","3 credits"
"ART 355","ART 355 - Advanced Drawing I","3 credits"
"ART 356","ART 356 - Advanced Drawing II","3 credits"
"ART 361","ART 361 - Intermediate Painting I","3 credits"
"ART 362","ART 362 - Intermediate Painting II","3 credits"
"ART 363","ART 363 - Screenprint and Relief II: Mashups, Mutations, Multiples","3 credits"
"ART 364","ART 364 - Etching and Monotype II: Mashups, Mutations, Multiples","3 credits"
"ART 366","ART 366 - Intermediate Printmaking I","3 credits"
"ART 367","ART 367 - Intermediate Printmaking II","3 credits"
"ART 368","ART 368 - Alternative Photographic Print Processes","3 credits"
"ART 371","ART 371 - Materials and Making: Digital Fabrication in Sculpture","3 credits"
"ART 372","ART 372 - Mold Making and Casting: Digital Foundry in Sculpture","3 credits"
"ART 373","ART 373 - Design and Materiality: Objects and Sculpture","3 credits"
"ART 376","ART 376 - Ceramics: Process","3 credits"
"ART 377","ART 377 - Ceramics: Idea","3 credits"
"ART 378","ART 378 - Ceramics: Concept","3 credits"
"ART 379","ART 379 - Ceramics: Material","3 credits"
"ART 380","ART 380 - Special Topics in Art and Design","1 to 3 credits"
"ART 383","ART 383 - Intermediate Illustration: World Building","3 credits"
"ART 384","ART 384 - Intermediate Illustration: Applied Design","3 credits"
"ART 386","ART 386 - Art History Study Abroad","3 credits"
"ART 387","ART 387 - Studio Art Abroad","3 credits"
"ART 389","ART 389 - Illustration Mentorship","3 credits"
"ART 391","ART 391 - Civic Studio: Art in Public","3 credits"
"ART 392","ART 392 - Curatorial Studio: Art, Exhibitions, Events","3 credits"
"ART 394","ART 394 - Interactive Studio: Art, Interface, Collaboration","3 credits"
"ART 399","ART 399 - Independent Readings in Art","1 to 4 credits"
"ART 401","ART 401 - Senior Seminar","3 credits"
"ART 410","ART 410 - Graphic Design V","3 credits"
"ART 413","ART 413 - Graphic Design Professional Practice Seminar","3 credits"
"ART 414","ART 414 - Portfolio: Illustration","3 credits"
"ART 415","ART 415 - Graphic Design Senior Project","3 credits"
"ART 416","ART 416 - Senior Project: Illustration","3 credits"
"ART 420","ART 420 - Asian Art","3 credits"
"ART 421","ART 421 - Surrealism","3 credits"
"ART 422","ART 422 - Art and the Worlds of Islam","3 credits"
"ART 423","ART 423 - Animals in Art","3 credits"
"ART 425","ART 425 - Depicting a Nation: 19th Century American Art","3 credits"
"ART 447","ART 447 - Advanced Jewelry and Metalsmithing I","3 credits"
"ART 448","ART 448 - Advanced Jewelry and Metalsmithing II","3 credits"
"ART 462","ART 462 - Advanced Painting I","3 credits"
"ART 463","ART 463 - Advanced Painting II","3 credits"
"ART 465","ART 465 - Print Media Mixed: Signs, Series, Stories","3 credits"
"ART 467","ART 467 - Advanced Printmaking I","3 credits"
"ART 468","ART 468 - Advanced Printmaking II","3 credits"
"ART 472","ART 472 - Advanced Sculpture 1","3 credits"
"ART 473","ART 473 - Advanced Sculpture 2","3 credits"
"ART 478","ART 478 - Ceramics: Advanced Studio","3 credits"
"ART 481","ART 481 - Advanced Illustration: Narrative","3 credits"
"ART 484","ART 484 - Advanced Illustration: Commentary","3 credits"
"ART 490","ART 490 - Internship in Art History","1 to 6 credits"
"ART 491","ART 491 - Internship in Studio Art","1 to 6 credits"
"ART 495","ART 495 - Issues in Art (Capstone)","3 credits"
"ART 498","ART 498 - Senior Project","3 credits"
"ART 499","ART 499 - Independent Study in Art","1 to 6 credits"
"ASL 201","ASL 201 - American Sign Language 1","3 credits"
"ASL 202","ASL 202 - American Sign Language 2","3 credits"
"ASL 203","ASL 203 - American Sign Language 3","3 credits"
"ASL 380","ASL 380 - Special Topics in American Sign Language","1 to 9 credits"
"ASL 421","ASL 421 - Deaf History and Culture","3 credits"
"ATH 210","ATH 210 - Athletic Training Career Exploration","1 credits"
"ATH 217","ATH 217 - Modern Principles of Athletic Training","2 credits"
"ATH 218","ATH 218 - Modern Principles of Athletic Training Lab","1 credits"
"ATH 506","ATH 506 - Intervention and Referral","2 credits"
"ATH 510","ATH 510 - Foundational Concepts and Techniques in Athletic Training","3 credits"
"ATH 514","ATH 514 - Assessment and Evaluation I","4 credits"
"ATH 515","ATH 515 - Assessment and Evaluation II","4 credits"
"ATH 521","ATH 521 - Athletic Training Clinical I","3 credits"
"ATH 522","ATH 522 - Athletic Training Clinical II","3 credits"
"ATH 523","ATH 523 - Methods of Evidence-Based Practice in Athletic Training","3 credits"
"ATH 525","ATH 525 - Prehospital Care of the Injured Patient","4 credits"
"ATH 530","ATH 530 - General Medical Conditions in Athletic Training","4 credits"
"ATH 575","ATH 575 - Therapeutic Interventions I","4 credits"
"ATH 607","ATH 607 - Pharmacology in Athletic Training","3 credits"
"ATH 626","ATH 626 - Athletic Training Clinical III","3 or 4 credits"
"ATH 628","ATH 628 - Athletic Training Clinical IV","3 to 4 credits"
"ATH 675","ATH 675 - Therapeutic Interventions II","4 credits"
"ATH 685","ATH 685 - Advanced Techniques in Athletic Training","2 credits"
"ATH 689","ATH 689 - Professional Topics in Athletic Training","3 credits"
"ATH 693","ATH 693 - Project in Athletic Training","1 to 3 credits"
"ATH 697","ATH 697 - Professional Learning","1 to 3 credits"
"BAS 301","BAS 301 - Concepts in Learning Integration","3 credits"
"BAS 491","BAS 491 - Practicum in Applied Science","1 to 6 credits"
"BAS 495","BAS 495 - Senior Seminar in Applied Science","3 credits"
"BIO 104","BIO 104 - Biology for the 21st Century","4 credits"
"BIO 105","BIO 105 - Environmental Science","3 credits"
"BIO 107","BIO 107 - Great Lakes and Other Water Resources","4 credits"
"BIO 109","BIO 109 - Plants in the World","4 credits"
"BIO 120","BIO 120 - General Biology I","4 credits"
"BIO 121","BIO 121 - General Biology II","4 credits"
"BIO 130","BIO 130 - Careers in Biology","1 credits"
"BIO 180","BIO 180 - Special Topics in Biology","1 to 4 credits"
"BIO 205","BIO 205 - Genetics for PK-6 Teachers","3 credits"
"BIO 210","BIO 210 - Evolutionary Biology","3 credits"
"BIO 215","BIO 215 - Ecology","4 credits"
"BIO 222","BIO 222 - Natural History of Vertebrates","3 credits"
"BIO 230","BIO 230 - Introduction to Wildland Fire Management","2 credits"
"BIO 232","BIO 232 - Natural History of Invertebrates","3 credits"
"BIO 243","BIO 243 - Plant Identification and Natural History","3 credits"
"BIO 272","BIO 272 - Insect Biology and Diversity","3 credits"
"BIO 280","BIO 280 - Special Topics in Biology","1 to 4 credits"
"BIO 302","BIO 302 - Comparative Vertebrate Anatomy","4 credits"
"BIO 303","BIO 303 - Plant Morphology","4 credits"
"BIO 308","BIO 308 - Wildlife Ecology","4 credits"
"BIO 309","BIO 309 - Plants and Human Health","3 credits"
"BIO 311","BIO 311 - Who's Running Your Life: Genes, Evolution and Behavior","3 credits"
"BIO 313","BIO 313 - Plants and Islands","4 credits"
"BIO 319","BIO 319 - Global Agricultural Sustainability","3 credits"
"BIO 323","BIO 323 - Aquatic and Wetland Plants","3 credits"
"BIO 325","BIO 325 - Human Sexuality","3 credits"
"BIO 328","BIO 328 - Biomedical Ethics","3 credits"
"BIO 329","BIO 329 - Evolution of Social Behavior","3 credits"
"BIO 333","BIO 333 - Systematic Botany","4 credits"
"BIO 338","BIO 338 - Environmental Ethics","3 credits"
"BIO 342","BIO 342 - Ornithology","3 credits"
"BIO 352","BIO 352 - Animal Behavior","3 credits"
"BIO 355","BIO 355 - Human Genetics","3 credits"
"BIO 357","BIO 357 - Environmental Microbiology","4 credits"
"BIO 362","BIO 362 - Biology and Diversity of Fishes","4 credits"
"BIO 370","BIO 370 - Marine Biology","3 credits"
"BIO 375","BIO 375 - Genetics","3 credits"
"BIO 376","BIO 376 - Genetics Laboratory","1 credits"
"BIO 380","BIO 380 - Special Topics in Biology","1 to 4 credits"
"BIO 383","BIO 383 - Plant-Fungal Interactions","4 credits"
"BIO 386","BIO 386 - Ecological Restoration and Management","4 credits"
"BIO 396","BIO 396 - Laboratory Assistant in Genetics","1 credits"
"BIO 399","BIO 399 - Selected Experiences in Biology","1 to 4 credits"
"BIO 402","BIO 402 - Aquatic Insects","3 credits"
"BIO 403","BIO 403 - Plant Structure and Function","4 credits"
"BIO 408","BIO 408 - Wildlife Management","4 credits"
"BIO 412","BIO 412 - Mammalogy","4 credits"
"BIO 413","BIO 413 - Freshwater Algae","3 credits"
"BIO 415","BIO 415 - Fire Ecology and Management","3 credits"
"BIO 416","BIO 416 - Advanced Genetics Laboratory","2 credits"
"BIO 417","BIO 417 - International Field Biology","1 to 4 credits"
"BIO 422","BIO 422 - Animal Developmental Biology","3 credits"
"BIO 423","BIO 423 - Plant Biotechnology","3 credits"
"BIO 430","BIO 430 - Advanced Wildland Fire Management","2 credits"
"BIO 433","BIO 433 - Plant Ecology","4 credits"
"BIO 440","BIO 440 - Limnology","4 credits"
"BIO 444","BIO 444 - Herpetology","4 credits"
"BIO 451","BIO 451 - Stream Ecology","3 credits"
"BIO 460","BIO 460 - Terrestrial Ecosystem Ecology","4 credits"
"BIO 470","BIO 470 - Conservation Biology","3 credits"
"BIO 473","BIO 473 - Ecology and Evolution of Plant-Animal Interactions","3 credits"
"BIO 475","BIO 475 - Population Genetics","3 credits"
"BIO 480","BIO 480 - Special Topics in Biology","1 to 4 credits"
"BIO 485","BIO 485 - Molecular Ecology","3 credits"
"BIO 486","BIO 486 - Restoration Ecology","3 credits"
"BIO 490","BIO 490 - Internship","1 to 6 credits"
"BIO 495","BIO 495 - Perspectives in Biology (Capstone)","3 credits"
"BIO 499","BIO 499 - Research in Biology","1 to 4 credits"
"BIO 502","BIO 502 - Aquatic Insects","3 credits"
"BIO 503","BIO 503 - Plant Structure and Function","4 credits"
"BIO 508","BIO 508 - Wildlife Management","4 credits"
"BIO 512","BIO 512 - Mammalogy","3 credits"
"BIO 513","BIO 513 - Freshwater Algae","3 credits"
"BIO 515","BIO 515 - Fire Ecology and Management","3 credits"
"BIO 532","BIO 532 - Advanced Aquatic Ecology","3 credits"
"BIO 540","BIO 540 - Limnology","4 credits"
"BIO 544","BIO 544 - Herpetology","3 credits"
"BIO 551","BIO 551 - Stream Ecology","3 credits"
"BIO 560","BIO 560 - Advanced Community Ecology","3 credits"
"BIO 570","BIO 570 - Landscape Ecology Theory and Application","3 credits"
"BIO 572","BIO 572 - Conservation Biology","3 credits"
"BIO 573","BIO 573 - Ecology and Evolution of Plant-Animal Interactions","3 credits"
"BIO 575","BIO 575 - Population Genetics","3 credits"
"BIO 580","BIO 580 - Special Topics in Biology","1 to 4 credits"
"BIO 585","BIO 585 - Molecular Ecology","3 credits"
"BIO 586","BIO 586 - Restoration Ecology","3 credits"
"BIO 593","BIO 593 - Advanced Univariate Methods","3 credits"
"BIO 594","BIO 594 - Advanced Multivariate Methods","3 credits"
"BIO 610","BIO 610 - Scientific Methodology","3 credits"
"BIO 651","BIO 651 - Emerging Issues in Water Resources","2 credits"
"BIO 680","BIO 680 - Special Topics in Biology","1 to 3 credits"
"BIO 691","BIO 691 - Graduate Internship","3 to 9 credits"
"BIO 693","BIO 693 - Graduate Project","3 to 9 credits"
"BIO 695","BIO 695 - Thesis Research","3 to 9 credits"
"BIO 696","BIO 696 - Continuation of Master's Project or Thesis Research","1 credits"
"BIO 697","BIO 697 - Professional Learning","1 to 3 credits"
"BIO 698","BIO 698 - Perspectives in Biology","3 credits"
"BIO 699","BIO 699 - Independent Study","1 to 3 credits"
"BMS 100","BMS 100 - Human Health and Disease","3 credits"
"BMS 105","BMS 105 - Basic Nutrition","3 credits"
"BMS 180","BMS 180 - Special Topics in the Biomedical Sciences","1 to 4 credits"
"BMS 202","BMS 202 - Anatomy and Physiology","4 credits"
"BMS 208","BMS 208 - Human Anatomy","3 credits"
"BMS 212","BMS 212 - Introductory Microbiology","3 credits"
"BMS 213","BMS 213 - Laboratory in Microbiology","1 credits"
"BMS 223","BMS 223 - Infectious Human Diseases; Prevention and Control","3 credits"
"BMS 250","BMS 250 - Anatomy and Physiology I","4 credits"
"BMS 251","BMS 251 - Anatomy and Physiology II","4 credits"
"BMS 280","BMS 280 - Special Topics in Biomedical Sciences","1 to 4 credits"
"BMS 290","BMS 290 - Human Physiology","3 credits"
"BMS 301","BMS 301 - Introduction to Research in the Biomedical Sciences","3 credits"
"BMS 304","BMS 304 - Community Nutrition","3 credits"
"BMS 305","BMS 305 - Clinical Nutrition","3 credits"
"BMS 306","BMS 306 - Advanced Human Nutrition","3 credits"
"BMS 309","BMS 309 - Laboratory in Human Anatomy","1 credits"
"BMS 310","BMS 310 - Basic Pathophysiology","3 credits"
"BMS 311","BMS 311 - Pharmacological Aspects of Biomedical Sciences","3 credits"
"BMS 312","BMS 312 - Bacterial Genetics","3 credits"
"BMS 313","BMS 313 - Bacterial Genetics Laboratory","1 credits"
"BMS 355","BMS 355 - Anatomy of Joints","2 credits"
"BMS 374","BMS 374 - Physiological Aspects of Death and Dying","3 credits"
"BMS 375","BMS 375 - The Biology of Aging","3 credits"
"BMS 380","BMS 380 - Special Topics in the Biomedical Sciences","1 to 6 credits"
"BMS 391","BMS 391 - Laboratory in Human Physiology","2 credits"
"BMS 392","BMS 392 - Laboratory Assistant in Physiology","1 credits"
"BMS 393","BMS 393 - Laboratory Assistant in Human Anatomy","1 credits"
"BMS 394","BMS 394 - Laboratory Assistant in Microbiology","1 credits"
"BMS 399","BMS 399 - Readings in the Biomedical Sciences","1 to 3 credits"
"BMS 407","BMS 407 - Nutrition in the Life Cycle","3 credits"
"BMS 409","BMS 409 - Endocrinology","3 credits"
"BMS 410","BMS 410 - Immunology","3 credits"
"BMS 412","BMS 412 - Medical Bacteriology","3 credits"
"BMS 413","BMS 413 - Medical Bacteriology Laboratory","2 credits"
"BMS 415","BMS 415 - Nutrition and Physical Performance","3 credits"
"BMS 422","BMS 422 - Bacterial Physiology","3 credits"
"BMS 423","BMS 423 - Bacterial Physiology Laboratory","2 credits"
"BMS 426","BMS 426 - Sensory Systems Neuroscience: Anatomy and Physiology","3 credits"
"BMS 427","BMS 427 - Neuroanatomy","1 credits"
"BMS 428","BMS 428 - Neurosciences","3 credits"
"BMS 431","BMS 431 - Medical Virology","3 credits"
"BMS 432","BMS 432 - Medical Mycology","3 credits"
"BMS 433","BMS 433 - Medical Parasitology","3 credits"
