"code","level","title","credits","subject","description"
"ACC676","Graduate","Audit of Accounting Information Systems","3","Accounting","In this course, students will explore the specialized area of auditing specific to accounting information systems and internal controls. Students will analyze the role of information technology and its impact on internal controls and financial reporting. Students will analyze an organization’s internal controls structure within an accounting information system. Students will formulate recommendations for improvements to accounting information system processes."
"ACC677","Graduate","Information Systems Assurance and Advising","3","Accounting","In this course, students will gain an understanding of IT governance and strategy within organizations. Students will examine how IT governance is constructed. They will analyze internal controls and the potential risks within IT governance and systems and develop recommendations for optimal solutions. Students will also explore best practices in data use and management."
"ACC680","Graduate","International Accounting","3","Accounting","This course focuses on accounting in the global marketplace and reviews international accounting standards for financial reporting and introduces and compares taxation and financial and managerial accounting issues in the international environment. NOTE: ACC 680 can be used as an international business elective."
"ACC680X","Graduate","International Accounting","2","Accounting","This course focuses on accounting in the global marketplace and reviews international accounting standards for financial reporting and introduces and compares taxation and financial and managerial accounting issues in the international environment."
"ACC685","Graduate","Governmental and Nonprofit Accounting","3","Accounting","This course examines the core principles and practices of nonprofit accounting."
"ACC690","Graduate","Advanced Topics in Financial Reporting","3","Accounting","In this course, students will explore advanced financial reporting topics in accounting for investments, foreign currency transactions, and state and local governmental accounting. Students will analyze the impact of investments and goodwill impairment testing on an organization’s financial statements. Students will evaluate foreign currency transactions and their impact on financial statements and apply Governmental Accounting Standards to state and local governments."
"ACC691","Graduate","Detection and Prevention of Fraudulent Financial Statements","3","Accounting","This course will explore more fully the detection and prevention methods and techniques for assessing risk and reducing fraud. Students will gain a deeper understanding of the COSO framework used to evaluate internal controls within an organization. They will also more closely examine the fraud detection and prevention techniques and how these are implemented within industry. The relevant laws, regulations, and ethical standards will be examined and applied throughout this course. This course will cover content that is included in the Certified Fraud Examiner (CFE) certification exam."
"ACC692","Graduate","Interview Techniques/Legal Aspects of Fraud","3","Accounting","This course will explore the legal requirements and relevant guidelines that need to be followed during a fraud examination. The role of the Fraud Examiner and their ethical and legal responsibilities will be reviewed. Students will also closely examine the behavioral factors that are associated with those who commit fraud and the current trends and data related to fraudulent activities. Effective interview strategies and techniques during a fraud investigation will be further examined in this course. This course will cover content that is included in the Certified Fraud Examiner (CFE) certification exam."
"ACC693","Graduate","Investigating with Computers","3","Accounting","This fourth course in the Graduate Certificate will provide guidance and knowledge for conducting investigations via machine.  The skills of the participant in this course will be strengthened in such areas as identification of the types of public records available to investigate; how to access the public records through databases; navigation of the Internet to find useful material; the use of fraud-related software packages to detect and investigate possible fraudulent activities; and the use of data analysis programs and spreadsheets to detect fraud."
"ACC695","Graduate","Seminar in Audit and Information Assurance","3","Accounting","This course is designed to deepen your conceptual understanding of the function of auditing and information assurance and provide you with a framework for analyzing contemporary accounting issues."
"ACC696","Graduate","Situational Ethics in Accounting","3","Accounting","In this course, students will participate in an in-depth exploration of ethical issues and considerations for accountants. Students will contrast various ethical frameworks and their impacts on accounting processes and professional behaviors. Students will apply ethical models to accounting and financial situations. Students will analyze the environmental, social, and governmental (ESG) impacts and expectations on organizations."
"ACC700","Graduate","Accounting Capstone","3","Accounting","This capstone course is the culminating experience for the M.S. in Accounting program. The aim of the capstone is to assess students’ ability to synthesize and integrate the knowledge and skills they have developed throughout their coursework, rather than introducing new concepts. This course is structured to support student success in fulfilling program requirements."
"ACC700X","Graduate","Seminar in Accounting Topics","2","Accounting","As the final step in students' journeys toward their Master of Science degrees in Accounting, this capstone course will integrate previous coursework and practical experience with a focus on authentic demonstration of competencies outlined by the program. Rather than introducing new concepts, students will synthesize and integrate prior learning to design or develop a capstone as a culmination of their studies. The course will be structured to support student success in fulfilling program requirements and developing a well-thought-out, comprehensive capstone project."
"ACC701","Graduate","Advanced Topics in Financial Reporting I","2","Accounting","Course includes in-depth coverage of several important advanced accounting topics: Going Concerns assumptions, Fair Value Measurements"
"ACC702","Graduate","Advanced Topics in Financial Reporting II","2","Accounting","Course includes in-depth coverage of several important advanced accounting topics:  Pensions and Post-Retirement Benefits, Asset Retirement Obligations, and Troubled Debt Restructuring
"
"ACC705","Graduate","Advanced Topics in Information Systems and Controls","3","Accounting","This course will provide students with an in-depth understanding of the SOC engagement process and evaluation of risk within a system. Students will learn about the types of SOC engagements and how they are used to assess risk and identify strategies for reducing risk within a service organization. Students will also gain skills needed to determine and communicate recommendations for solutions based on SOC report findings."
"ACC720","Graduate","Auditing and Attestation Review Course","4","Accounting","This is a CPA Exam review course for the Auditing and Attestation section of the Uniform Certified Public Accountants examination. This course is an intense immersion in those topics from undergraduate and graduate auditing classes that are likely to be on the CPA exam."
"ACC730","Graduate","Financial Reporting Review Course","4","Accounting","This course will be a review of the content of the financial accounting and reporting section of the Uniform CPA exam.  This will prepare students to take that portion of the CPA exam."
"ACC735","Graduate","Advanced Managerial Accounting","3","Accounting","This course will focus on the role of managerial level accountants in providing organizations with the financial and operational data analysis needed to make improvements and advance strategic goals. In this course, students will explore types of analyses and how they support types of strategic decisions made by organizations. Students will also gain experience in developing data-driven narratives that support their recommendations and presenting these recommendations in an effective and concise manner."
"ACC740","Graduate","Culminating Experience for Accounting","3","Accounting","This course is a culminating experience course for accounting. The aim of the course is to assess students’ ability to synthesize and integrate the knowledge and skills they have developed throughout their coursework, rather than introducing new concepts. Students will integrate their knowledge and skills gained from various areas of accounting, including auditing, cost, tax, and ethics within an authentic, workforce relevant project."
"ADV263","Undergraduate","Advertising Copy and Design","3","Advertising","This course focuses on the creative end of advertising, including the actual presentation of advertisements.  Harmony, consistency and effective use of colors, headlines, subheadlines, borders and amplification of the features, as well as advantages and benefits of the product/service, are emphasized. Students will be familiar with the creative competencies and skills needed in the formulation of effective campaigns in various media."
"ADV340","Undergraduate","Advertising Media Planning","3","Advertising","This course addresses the connection between media and markets from a quantitative perspective. Students learn to read and understand available statistical tools providing measurement data of media audiences and media usage patterns.  The course covers media selection criteria, such as effective reach and frequency, cost per thousand and cost per rating point, weighting, and continuity patterns.  Students also become cognizant of the impact of a firm's corporate strategies, particularly the marketing and financial strategies, on media planning.  Lastly, the course considers the strategic issues of fragmentation and selectivity as new technology and methods of reaching target markets emerge. Writing intensive course."
"AM201","Undergraduate","Aviation Law","3","Aviation Management","This course covers the development of air law including federal and state regulatory functions, rights and liabilities of aviators and operators, rights of third parties on the ground, and passengers in tort and contract cases. It also provides a study of international conventions, agreements, and associations such as the International Civil Aviation Organization. "
"AM205","Undergraduate","Aircraft Operating Economics","3","Aviation Management","This course covers the analysis of aircraft operating capabilities, the capital value of aircraft, and the cost of aircraft operation. An emphasis will be placed on identifying the interrelationship between these three factors. Aircraft from the basic general aviation trainers to large commercial transports will be included. Computer applications programs will be used in the analysis and presentation of information. "
"AM215","Undergraduate","General Aviation Operations","3","Aviation Management","This course provides an in-depth study of the general aviation field, including finances, management, operations and regulations. Major concentration will be placed on the management and administration of a fixed-base operation; the duties and responsibilities of the airport manager; and the managerial considerations in the application of the small airplane in business aviation, aerial photography, agricultural spraying, aircraft sales, financing, and insurance. Guest lecturers are often scheduled.  "
"AM220","Undergraduate","Airport Operations","3","Aviation Management","This course provides an introduction to airport operating practices. Topics will include the history of airport development, landside and airside operations, airport layout, airport equipment, applicable regulations, and the impact of technological advances in air transportation. The course will also introduce students to airport planning, airport finances, managing growth, airport management, and community relations. The course will cover general aviation, regional, and major airports. Field trips may be required."
"AM320","Undergraduate","Air Carrier Operation","3","Aviation Management","This course covers analysis of the economic and administrative factors involved in airline operations. An emphasis is placed on demand analysis, pricing, route structure, fleet planning and financing. A simulation of airline operations will be used to provide practical insights into the problems faced in managing an airline.  "
"AM330","Undergraduate","Business & Corporate Aviation","3","Aviation Management","This course provides an analysis of the operation of corporate/business flight operations, including administration and operations. Topics include how aviation relates to business and industry; the administrative and fiscal concerns of a flight department; maintenance operations and departmental organization; and aircraft and equipment evaluation. "
"AM340","Undergraduate","Airport and Airspace Capacity Management","3","Aviation Management","This course provides an analysis of the key elements of airport and airspace capacity. Current techniques for measuring airport and airspace capacity will be examined, including the relationship between delay and capacity, as well as aircraft operating characteristics and airline scheduling practices. The impact of airport development on airspace capacity, including projects such as locating new airports and building new runways at existing airports, will also be explored. The role of federal, state, and local agencies and the private sector will be analyzed in terms of airport/airspace capacity. Computer simulation modeling, such as the FAA's SIMMOD, will be used in analyzing case studies in airspace and airport capacity and delay."
"AM340L","Undergraduate","Airport and Airspace Capacity Management","1","Aviation Management","This course provides an analysis of the key elements of airport and airspace capacity. Current techniques for measuring airport and airspace capacity will be examined, including the relationship between delay and capacity, as well as aircraft operating characteristics and airline scheduling practices. The impact of airport development on airspace capacity, including projects such as locating new airports and building new runways at existing airports, will also be explored. The role of federal, state, and local agencies and the private sector will be analyzed in terms of airport/airspace capacity. Computer simulation modeling, such as the FAA's SIMMOD, will be used in analyzing case studies in airspace and airport capacity and delay."
"AM460","Undergraduate","Airport Planning and Management","3","Aviation Management","This is an advanced course in the planning, management, and operation of airports. Students will learn to apply fundamental management theory to airports; determine an airport's capacity and assess the potential for delays; evaluate the environmental impact of an airport; identify the basic components of the National Airspace System and its relationship to airports; apply basic financial management and accounting techniques to airport finances; set airport fees, rates, and charges; understand the process required to obtain capital funding for airport improvements; evaluate and use airport master plans, state airport system plans, and airport layout plans; apply basic principles of terminal design and operations; have a working knowledge of Part 139 of the Federal Aviation Regulations; evaluate the security of an airport; and prepare basic airport emergency response procedures."
"AS101","Undergraduate","Heritage and Values of the U.S. Air Force Part I","1","Aerospace Studies","AS-101 is a survey course designed to introduce students to the United States Air Force and provides an overview of the basic characteristics, missions, and organization of the Air Force. This course provides an introduction to the Air Force (AF), hopefully encouraging students to pursue an AF career or at least seek additional information to be better informed about the role of the USAF. The course allows students to examine general aspects of the Department of the Air Force, AF Leadership, Air Force benefits, and opportunities for AF officers. The course also lays the foundation for becoming an Airman such as AF customs and courtesies, AF dress and appearance, team building, communication skills, AF Core values, and more. As a foundational course, AS-101 also provides a historical perspective such as lessons on war and US military, AF operations, principles of war, and airpower (see the complete lesson list below). As a whole, this course provides students with a knowledge-level understanding for the employment of air and space power, from an institutional, doctrinal, and historical perspective. The students will be introduced to the Air Force way of life and gain knowledge on what it means to be an Airman. A succinct perspective of the AS-101 course objective is to sell the AF as a career and lay a strong foundation built on AF Core Values and AF perspectives."
"AS101L","Undergraduate","Leadership Laboratory – Air Force ROTC Leadership Lab",0,"Aerospace Studies","LLAB is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. It is a student planned, organized, and executed practicum conducted under the supervision of the Detachment Commander and Operations Flight Commander. LLAB cadets are classified into one of four groups with respect to field training attendance and/or commissioning. Initial Military Training (IMT) cadets are part of the General Military Course (GMC) but are not scheduled to attend field training (normally AS100 cadets). The focus of IMT objectives/activities are to promote the Air Force way of life and help effectively recruit and retain qualified cadets. This time is spent acquainting the cadets with basic Air Force knowledge and skills to help them determine whether they wish to continue with the AFROTC program. Field Training Prep (FTP) cadets are scheduled to attend field training in the upcoming year (normally AS200 cadets). The FTP objectives provide training to ensure every cadet is mentally and physically prepared for the rigorous field training environment. Intermediate Cadet Leaders (ICL) are cadets returning from field training (normally AS300 cadets). ICL objectives/activities give cadets the opportunity to further develop the leadership and followership skills learned at field training. Every cadet position should provide the ICL the opportunity to sharpen their planning, organizational, and communication skills, as well as their ability to effectively use resources to accomplish a mission in a constructive learning environment. Senior Cadet Leaders (SCL) are cadets scheduled to be commissioned in the upcoming year (normally AS400 cadets). This time is spent on additional opportunities to develop leadership and supervisory capabilities, and prepares cadets for their first active duty assignment. Extended Cadet Leaders (ECL) are cadets whose AFROTC academic requirements are complete but still have one or more terms of college left to complete. These cadets may hold special duty or regular positions within the cadet corps upon discretion of the Detachment Commander (Det CC) or Operations Flight Commander (OFC)."
"AS102","Undergraduate","Heritage and Values of the U.S. Air Force Part II","1","Aerospace Studies","AS-102 is a survey course designed to introduce students to the United States Air Force and provides an overview of the basic characteristics, missions, and organization of the Air Force. This course provides an introduction to the Air Force (AF), hopefully encouraging students to pursue an AF career or at least seek additional information to be better informed about the role of the USAF. The course allows students to examine general aspects of the Department of the Air Force, AF Leadership, Air Force benefits, and opportunities for AF officers. The course also lays the foundation for becoming an Airman such as AF customs and courtesies, AF dress and appearance, team building, communication skills, AF Core values, and more. As a foundational course, AS-102 also provides a historical perspective such as lessons on war and US military, AF operations, principles of war, and airpower (see the complete lesson list below). As a whole, this course provides students with a knowledge-level understanding for the employment of air and space power, from an institutional, doctrinal, and historical perspective. The students will be introduced to the Air Force way of life and gain knowledge on what it means to be an Airman. A succinct perspective of the AS-102 course objective is to sell the AF as a career and lay a strong foundation built on AF Core Values and AF perspectives."
"AS102L","Undergraduate","Leadership Laboratory",0,"Aerospace Studies","LLAB is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. It is a student planned, organized, and executed practicum conducted under the supervision of the Detachment Commander and Operations Flight Commander. LLAB cadets are classified into one of four groups with respect to field training attendance and/or commissioning. Initial Military Training (IMT) cadets are part of the General Military Course (GMC) but are not scheduled to attend field training (normally AS100 cadets). The focus of IMT objectives/activities are to promote the Air Force way of life and help effectively recruit and retain qualified cadets. This time is spent acquainting the cadets with basic Air Force knowledge and skills to help them determine whether they wish to continue with the AFROTC program. Field Training Prep (FTP) cadets are scheduled to attend field training in the upcoming year (normally AS200 cadets). The FTP objectives provide training to ensure every cadet is mentally and physically prepared for the rigorous field training environment. Intermediate Cadet Leaders (ICL) are cadets returning from field training (normally AS300 cadets). ICL objectives/activities give cadets the opportunity to further develop the leadership and followership skills learned at field training. Every cadet position should provide the ICL the opportunity to sharpen their planning, organizational, and communication skills, as well as their ability to effectively use resources to accomplish a mission in a constructive learning environment. Senior Cadet Leaders (SCL) are cadets scheduled to be commissioned in the upcoming year (normally AS400 cadets). This time is spent on additional opportunities to develop leadership and supervisory capabilities, and prepares cadets for their first active duty assignment. Extended Cadet Leaders (ECL) are cadets whose AFROTC academic requirements are complete but still have one or more terms of college left to complete. These cadets may hold special duty or regular positions within the cadet corps upon discretion of the Detachment Commander (Det CC) or Operations Flight Commander (OFC)."
"AS201","Undergraduate","Team and Leadership Fundamentals, Part I","1","Aerospace Studies","AS-201 features topics on Air Force heritage and leaders; introduction to air power through examination of the Air Force Core Functions; and continued application of communication skills. Its purpose is to instill an appreciation of the development and employment of air power and to motivate sophomore students to transition from AFROTC cadet to AFROTC officer candidate. This course is designed to examine general aspects of air and space power through a historical perspective. Utilizing this perspective, the course covers a time period from the first balloons and dirigibles to the space-age systems of air power today. Historical examples are provided to show the development of Air Force distinctive capabilities (previously referred to as core competencies), and missions (operations) to demonstrate the evolution of what has become today’s USAF. Furthermore, the course examines several fundamental truths associated with war in the third dimension, e.g., principles of war and tenets of air and space power. As a whole, this course provides the students with a knowledge-level understanding for the employment of air and space power, from an institutional, doctrinal, and historical perspective. The students will be introduced to The Air Force Core Values through the use of operational examples, and they will conduct several writing and briefing assignments to meet Air Force communication skills requirements."
