"code","title","credits","department","campus"
"AAAD-A 240","SOCIAL WELFARE AND MINORITIES",3,"College of Arts and Sciences","Northwest"
"AAAD-A 243","RACE AND REPRESENTATION IN AMERICAN ART",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 249","AFRICAN AMERICAN AUTOBIOGRAPHY",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 249","AFRICAN AMERICAN AUTOBIOGRAPHY",3,"College of Arts and Sciences","Northwest"
"AAAD-A 250","U.S. CONTEMPORARY MINORITIES",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 251","PHOTOGRAPHY OF AND BY THE AFRICAN DIASPORA",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 255","THE BLACK CHURCH IN AMERICA",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 255","THE BLACK CHURCH IN AMERICA",3,"College of Arts and Sciences","Northwest"
"AAAD-A 257","MONUMENTS AND MEMORIES: JEWISH AND BLACK EXPERIENCES",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 261","THE BLACK FAMILY",3,"College of Arts and Sciences","Northwest"
"AAAD-A 263","CONTEMPORARY SOCIAL ISSUES IN THE AFRICAN AMERICAN COMMUNITY",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 264","HISTORY OF SPORT & THE AFRICAN AMERICAN EXPERIENCE",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 265","MODERN SPORTS AND THE AFRICAN AMERICAN EXPERIENCE",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 265","MODERN SPORTS AND THE AFRICAN AMERICAN EXPERIENCE",3,"College of Arts and Sciences","Northwest"
"AAAD-A 275","LANGUAGE AND IDENTITY IN THE BLACK DIASPORA",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 277","IMGS BLACKS FILMS: 1903-1950'S",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 278","CONTEMPORARY BLACK FILM",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 278","CONTEMPORARY BLACK FILM",3,"College of Arts and Sciences","Northwest"
"AAAD-A 280","RACISM AND THE LAW",3,"College of Arts and Sciences","Northwest"
"AAAD-A 282","BLACK COMMUNITY, LAW AND SOCIAL CHANGE",3,"College of Arts and Sciences","Northwest"
"AAAD-A 290","SOCIOCULTURAL PERSPECTIVE OF AFRICAN AMERICAN MUSIC",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 295","SURVEY OF HIP HOP",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 297","POPULAR MUSIC OF BLACK AMERICA",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 299","SPECIAL TOPICS IN ARTS AND HUMANITIES FOR AAADS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 301","COMMUNITY PLANNING AND DEVELOPMENT",3,"College of Arts and Sciences","Northwest"
"AAAD-A 303","TOPICS IN AFRO-AMERICAN STDYS","1 - 1","College of Arts and Sciences","Northwest"
"AAAD-A 320","BLACK DANCE HISTORY",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 330","AFRICAN AMERICAN CINEMATIC EXPERIENCE",3,"College of Arts and Sciences","Northwest"
"AAAD-A 331","VISUAL ARTS OF THE HARLEM RENAISSANCE",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 332","ART OF THE CIVIL RIGHTS MOVEMENT",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 333","SURVEY OF AFRICAN BRAZILIAN CULTURE AND SOCIETY",3,"College of Arts and Sciences","Northwest"
"AAAD-A 337","SOUL REVUE: ADVANCED STUDIES AND PRACTICES",2,"College of Arts and Sciences","Bloomington"
"AAAD-A 338","AFRICAN AMERICAN DANCE COMPANY: ADVANCED STUDIES AND PRACTICES",2,"College of Arts and Sciences","Bloomington"
"AAAD-A 339","AFRICAN AMERICAN CHORAL ENSEMBLE: ADVANCED STUDIES AND PRACTICES",2,"College of Arts and Sciences","Bloomington"
"AAAD-A 341","POVERTY IN AMERICA",3,"College of Arts and Sciences","Northwest"
"AAAD-A 343","PRACTICUM IN URBAN STUDIES",3,"College of Arts and Sciences","Northwest"
"AAAD-A 345","HIP HOP MUSIC AND CULTURE",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 350","BLACK ATLANTIC",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 352","AFRICAN AMERICAN ART II: AFRICAN AMERICAN ARTISTS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 354","TRANSNATIONAL AMERICAS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 355","AFRICAN-AMERICAN HISTORY I",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 355","AFRICAN-AMERICAN HISTORY I",3,"College of Arts and Sciences","Northwest"
"AAAD-A 356","AFRICAN-AMERICAN HISTORY II",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 356","AFRICAN-AMERICAN HISTORY II",3,"College of Arts and Sciences","Northwest"
"AAAD-A 357","SPECIAL TOPICS IN AFRO-AMERICAN HISTORY",3,"College of Arts and Sciences","Northwest"
"AAAD-A 359","ETHNIC/RACIAL FILM STEREOTYPES",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 360","SLAVERY: WORLDWIDE PERSPECTIVE",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 363","RESEARCH ON CONTEMPORARY AFRICAN AMERICAN PROBLEMS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 370","RECENT BLACK AMERICAN WRITING",3,"College of Arts and Sciences","Northwest"
"AAAD-A 379","EARLY BLACK AMERICAN WRITING",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 380","CONTEMPORARY BLACK AMERICAN WRITING",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 382","BLACK COMM, LAW, & SOC CHANGE",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 384","BLACKS IN AMERICAN DRAMA AND THEATRE, 1945-PRESENT",3,"College of Arts and Sciences","Northwest"
"AAAD-A 386","BLACK FEMINIST PERSPECTIVES",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 386","BLACK FEMINIST PERSPECTIVES",3,"College of Arts and Sciences","Northwest"
"AAAD-A 387","BLACK MIGRATION",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 388","MOTOWN",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 388","MOTOWN",3,"College of Arts and Sciences","Northwest"
"AAAD-A 391","BLACK NATIONALISM",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 393","HISTORY OF JAZZ",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 394","SURVEY OF AFRICAN AMERICAN MUSIC",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 395","CONTEMPORARY JAZZ AND SOUL MUSIC",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 396","ART MUSIC OF BLACK COMPSERS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 398","ADVANCED TOPICS IN SOCIAL AND HISTORICAL STUDIES FOR AAADS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 399","ADVANCED TOPICS IN ARTS AND HUMANITIES FOR AAADS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 400","TOPICS IN AFRICAN AMERICAN AND AFRICAN DIASPORA STUDIES",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 401","MINORITIES, POLITICS AND SOCIAL CHANGE",3,"College of Arts and Sciences","Northwest"
"AAAD-A 404","TOPICS IN AFRO-AMERICAN STUDIES",3,"College of Arts and Sciences","Northwest"
"AAAD-A 405","CIV RHTS/BLACK POW MVMNT 54-74",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 406","LITERATURE BY AMERICAN WOMEN OF COLOR",3,"College of Arts and Sciences","Northwest"
"AAAD-A 407","AFRICAN AMERICAN AND AFRICAN PROTEST STRATEGIES",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 408","RACE, GENDER AND CLASS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 410","BLACK WMN & AFRO-AMERICAN EXPR",3,"College of Arts and Sciences","Northwest"
"AAAD-A 415","POLIT IMPACT OF BLK RELIGION",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 420","TRANSFORMING DIVIDED COMMUNITIES AND SOCIETIES",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 425","BL FAM IN RURAL AM 1900-1970",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 427","CROSS-CULTURAL COMMUNICATION",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 430","THE CINEMA OF AFRICANA WOMEN",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 447","RACE, CRIME & MEDIA",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 452","HISTORICAL ISS IN BLACK EDUC",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 479","CONTEMPORARY BLACK POETRY",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 481","RACISM AND THE LAW",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 488","COMMUNITY EXPERIENCE INTERNSHIP",3,"College of Arts and Sciences","Northwest"
"AAAD-A 493","SENIOR SEMINAR IN AFRICAN AMERICAN AND AFRICAN DIASPORA STUDIES",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 493","SENIOR SEMINAR IN AFRICAN AMERICAN AND AFRICAN DIASPORA STUDIES",3,"College of Arts and Sciences","Northwest"
"AAAD-A 495","INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES","1 - 1","College of Arts and Sciences","Northwest"
"AAAD-A 496","BLACK RELIGIOUS MUSIC",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 499","HONORS THESIS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 500","INTR AFRC AM&AFRC DIASP PART I",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 550","BLACK ATLANTIC",4,"College of Arts and Sciences","Bloomington"
"AAAD-A 552","HISTORY OF THE EDUCATION OF BLACK AMERICANS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 555","CARIB/AFRO-AMER/AFRI LEADRSHP",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 556","RACE AND CULTURE IN THE AFRICAN DIASPORA",4,"College of Arts and Sciences","Bloomington"
"AAAD-A 557","RACE AND POLITICS IN THE AFRICAN DIASPORA",4,"College of Arts and Sciences","Bloomington"
"AAAD-A 561","AFRO-AMERICAN AUTOBIOGRAPHY",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 579","EARLY BLACK AMERICAN WRITING",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 580","CONTEMPORARY BLACK AMERICAN WRITING",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 590","SPECIAL TOPICS IN AFRO-AMERICAN STUDIES",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 594","ISSUES IN AFRICAN AMERICAN MUSIC",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 599","MA THESIS RESEARCH","1 - 1","College of Arts and Sciences","Bloomington"
"AAAD-A 600","TOPICS IN AFRO-AMERICAN STUDIES",3,"College of Arts and Sciences","Northwest"
"AAAD-A 605","RACE AND THE GLOBAL CITY, PART I",4,"College of Arts and Sciences","Bloomington"
"AAAD-A 606","RACE AND THE GLOBAL CITY, PART II",4,"College of Arts and Sciences","Bloomington"
"AAAD-A 620","TRANSFORMING DIVIDED COMMUNITIES AND SOCIETIES",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 651","INDEPENDENT RESEARCH/DIRECTED READINGS",3,"College of Arts and Sciences","Northwest"
"AAAD-A 669","INDEP PROJ BLACK SOCIAL ISSUES",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 679","CONTEMPORARY BLACK POETRY",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 686","GRAD INTERNSHIP AFRO-AMER STDS",4,"College of Arts and Sciences","Bloomington"
"AAAD-A 689","INDEP. PROG. IN BLK LITERATURE",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 690","CORE RDGS IN AFRO-AMER STUDIES",4,"College of Arts and Sciences","Bloomington"
"AAAD-A 692","WR & LIT IN AFRC AM&AFRC DIASP",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 694","THE ARTS IN AFRC AM&AFRC DIASP",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 695","MASTER'S THESIS COLLOQUIUM",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 696","INTERDISCIPLINARY RESEARCH METHODS",4,"College of Arts and Sciences","Bloomington"
"AAAD-A 697","SPECIAL TOPICS IN AAADS","1 - 1","College of Arts and Sciences","Bloomington"
"AAAD-A 698","FIELD STUDY SEMINAR",4,"College of Arts and Sciences","Bloomington"
"AAAD-A 699","INDPT PROJECT IN BLACK MUS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 702","COMPARATIVE SOCIAL MOVEMENTS IN THE AFRICAN DIASPORA",4,"College of Arts and Sciences","Bloomington"
"AAAD-A 703","BLACK FEMINISMS",4,"College of Arts and Sciences","Bloomington"
"AAAD-A 704","AFRICAN AMERICANS AND CONTINENTAL AFRICANS: TIES THAT BIND",4,"College of Arts and Sciences","Bloomington"
"AAAD-A 710","RURAL BLACKS IN THE AFRICAN DIASPORA",4,"College of Arts and Sciences","Bloomington"
"AAAD-A 799","STUDY AND RESEARCH ABROAD IN AAADS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 899","AAADS PHD DISSERTATION RESEARCH","1 - 1","College of Arts and Sciences","Bloomington"
"AAAD-G 599","THESIS RESEARCH",0,"College of Arts and Sciences","Bloomington"
"AAAD-G 901","ADVANCED RESEARCH",6,"College of Arts and Sciences","Bloomington"
"AAAD-OS 100","UNDISTRIBUTED OVERSEAS STUDY","0 - 0","College of Arts and Sciences","Bloomington"
"AAAD-OS 300","UNDISTRIBUTED OVERSEAS STUDY","0 - 0","College of Arts and Sciences","Bloomington"
"AAAD-OS 500","UNDISTRIBUTED OVERSEAS STUDY","0 - 0","College of Arts and Sciences","Bloomington"
"AAAD-X 373","INTERNSHIP IN AFRICAN AMERICAN AND AFRICAN DIASPORA STUDIES","1 - 1","College of Arts and Sciences","Bloomington"
"AAAD-X 490","INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES","1 - 1","College of Arts and Sciences","Bloomington"
"AADM-Y 500","TOPICS IN ARTS ADMINISTRATION","1 - 1","O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 502","INTRODUCTION TO ARTS ADMINSTRATION AND ORGANIZATIONAL BEHAVIOR",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 504","ARTS ORGANIZATIONS IN THE PUBLIC AND PRIVATE SECTORS",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 505","PROGRAMMNG THE PERFORMING ARTS",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 506","CURATING IN GALLERIES AND MUSEUMS",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 508","PERFORMING ARTS ORGANIZATION MANAGEMENT",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 511","PERFORMING ARTS CENTER MANAGEMENT",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 515","FINANCIAL MANAGEMENT FOR THE ARTS",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 525","MUSEUM MANAGEMENT",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 526","ART AND SOCIAL CHANGE",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 530","AUDIENCE DEV & MRKTG THE ARTS",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 550","PRACTICUM IN ARTS ADMINISTRATION","0 - 0","O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 551","CULTURAL PLANNING AND URBAN DEVELOPMENT",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 558","FUND DEVELOPMENT FOR NONPROFIT ORGANIZATIONS",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 559","PUBLIC POLICY AND THE ARTS",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 562","LEGAL ISSUES IN THE ARTS",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 650","SEMINAR IN ARTS ADMINISTRATION",3,"O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 680","READINGS IN ARTS ADMINISTRATION","1 - 1","O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 690","INDEPENDENT STUDY IN ARTS ADMINISTRATION","1 - 1","O'Neill School of Public and Environmental Affairs","Bloomington"
"AADM-Y 750","INTERNSHIP IN ARTS ADMINISTRATION","0 - 0","O'Neill School of Public and Environmental Affairs","Bloomington"
"AAST-A 101","INTRODUCTION TO ASIAN AMERICAN STUDIES",3,"College of Arts and Sciences","Bloomington"
"AAST-A 200","ASIAN AMERICAN LITERATURE",3,"College of Arts and Sciences","Bloomington"
"AAST-A 201","ASIAN DIASPORA EXPERIENCE",3,"College of Arts and Sciences","Bloomington"
"AAST-A 300","TOPICS IN ASIAN AMERICAN STUDIES",3,"College of Arts and Sciences","Bloomington"
"AAST-A 320","ADVANCED TOPICS IN ASIAN AMERICAN LITERATURE",3,"College of Arts and Sciences","Bloomington"
"AAST-A 499","CAPSTONE SEMINAR IN ASIAN AMERICAN STUDIES",3,"College of Arts and Sciences","Bloomington"
"AAST-X 490","INDEPENDENT READINGS AND RESEARCH IN ASIAN AMERICAN STUDIES",3,"College of Arts and Sciences","Bloomington"
"ABEH-A 101","INTRODUCTION TO ANIMAL BEHAVIOR",3,"College of Arts and Sciences","Bloomington"
"ABEH-A 200","WORKSHOP IN ANIMAL BEHAVIOR",3,"College of Arts and Sciences","Bloomington"
"ABEH-A 301","ANIMAL CONSERVATION SCIENCE",3,"College of Arts and Sciences","Bloomington"
"ABEH-A 350","ANIMAL BEHAVIOR LABORATORY",3,"College of Arts and Sciences","Bloomington"
"ABEH-A 400","ADVANCED WORKSHOP IN ANIMAL BEHAVIOR",3,"College of Arts and Sciences","Bloomington"
"ABEH-A 401","TOPICAL ISSUES IN ANIMAL BEHAVIOR","1 - 1","College of Arts and Sciences","Bloomington"
"ABEH-A 501","SEMINAR IN THE INTEGRATIVE STUDY OF ANIMAL BEHAVIOR","1 - 1","College of Arts and Sciences","Bloomington"
"ABEH-A 502","RESEARCH AND PROFESSIONAL ETHICS IN BIO-BEHAVIORAL SCIENCES",1,"College of Arts and Sciences","Bloomington"
"ABEH-X 473","ANIMAL BEHAVIOR INTERNSHIP","1 - 1","College of Arts and Sciences","Bloomington"
"ABEH-X 491","INDEPENDENT STUDY IN ANIMAL BEHAVIOR","1 - 1","College of Arts and Sciences","Bloomington"
"AERO-A 101","HERITAGE AND VALUES OF THE UNITED STATES AIR FORCE I",1,"","Bloomington"
"AERO-A 101","HERITAGE AND VALUES OF THE UNITED STATES AIR FORCE I",1,"School of Health & Human Sciences","Indianapolis"
"AERO-A 102","HERITAGE AND VALUES OF THE UNITED STATES AIR FORCE II",1,"","Bloomington"
"AERO-A 102","HERITAGE AND VALUES OF THE UNITED STATES AIR FORCE II",1,"School of Health & Human Sciences","Indianapolis"
"AERO-A 151","AIR FORCE ROTC LEADERSHIP LABORATORY (LLAB) I",1,"","Bloomington"
"AERO-A 151","AIR FORCE ROTC LEADERSHIP LABORATORY (LLAB) I",1,"School of Health & Human Sciences","Indianapolis"
"AERO-A 152","AIR FORCE ROTC LEADERSHIP LAB (LLAB) II",1,"","Bloomington"
"AERO-A 152","AIR FORCE ROTC LEADERSHIP LAB (LLAB) II",1,"School of Health & Human Sciences","Indianapolis"
"AERO-A 201","TEAM AND LEADERSHIP FUNDAMENTALS I",1,"","Bloomington"
"AERO-A 201","TEAM AND LEADERSHIP FUNDAMENTALS I",1,"School of Health & Human Sciences","Indianapolis"
"AERO-A 202","TEAM AND LEADERSHIP FUNDAMENTALS II",1,"","Bloomington"
"AERO-A 202","TEAM AND LEADERSHIP FUNDAMENTALS II",1,"School of Health & Human Sciences","Indianapolis"
"AERO-A 301","LEADING PEOPLE AND EFFECTIVE COMMUNICATION I",3,"","Bloomington"
"AERO-A 301","LEADING PEOPLE AND EFFECTIVE COMMUNICATION I",3,"School of Health & Human Sciences","Indianapolis"
"AERO-A 302","LEADING PEOPLE AND EFFECTIVE COMMUNICATION II",3,"","Bloomington"
"AERO-A 302","LEADING PEOPLE AND EFFECTIVE COMMUNICATION II",3,"School of Health & Human Sciences","Indianapolis"
"AERO-A 401","NATIONAL SECURITY AND PREPARATION FOR ACTIVE DUTY I",3,"","Bloomington"
"AERO-A 401","NATIONAL SECURITY AND PREPARATION FOR ACTIVE DUTY I",3,"School of Health & Human Sciences","Indianapolis"
"AERO-A 402","NATIONAL SECURITY AND PREPARATION FOR ACTIVE DUTY II",3,"","Bloomington"
"AERO-A 402","NATIONAL SECURITY AND PREPARATION FOR ACTIVE DUTY II",3,"School of Health & Human Sciences","Indianapolis"
"AFAM-A 150","SURVEY OF THE CULTURE OF BLACK AMERICANS",3,"College of Arts and Sciences","South Bend"
"AFRI-A 100","INTRODUCTION TO AFRICAN STUDIES",3,"College of Arts and Sciences","Bloomington"
"AFRI-A 301","REIMAGINING AFRICA: CONTEMPORARY LANDSCAPES AND TACIT GLOBAL INFLUENCES",3,"College of Arts and Sciences","Bloomington"
"AFRI-A 500","ADVANCED TOPICS IN AFRICAN STUDIES","1 - 1","College of Arts and Sciences","Bloomington"
"AFRI-A 600","CONTEMPORARY TOPICS IN AFRICAN STUDIES","1 - 1","College of Arts and Sciences","Bloomington"
"AFRI-A 650","INTERDISCIPLINARY RESEARCH METHODS",3,"College of Arts and Sciences","Bloomington"
"AFRI-A 651","INDEPENDENT RESEARCH / DIRECTED READINGS","1 - 1","College of Arts and Sciences","Bloomington"
"AFRI-A 731","SEMINAR ON CONTEMPORARY AFRICA","1 - 1","College of Arts and Sciences","Bloomington"
"AFRI-B 101","ELEMENTARY BAMANA I",4,"College of Arts and Sciences","Bloomington"
"AFRI-B 102","ELEMENTARY BAMANA II",4,"College of Arts and Sciences","Bloomington"
"AFRI-B 201","INTERMEDIATE BAMANA I",3,"College of Arts and Sciences","Bloomington"
"AFRI-B 202","INTERMEDIATE BAMANA II",3,"College of Arts and Sciences","Bloomington"
"AFRI-B 301","ADVANCED BAMANA I",3,"College of Arts and Sciences","Bloomington"
"AFRI-B 302","ADVANCED BAMANA II",3,"College of Arts and Sciences","Bloomington"
"AFRI-B 501","ELEMENTARY BAMANA I",3,"College of Arts and Sciences","Bloomington"
"AFRI-B 502","ELEMENTARY BAMANA II",3,"College of Arts and Sciences","Bloomington"
"AFRI-B 601","INTERMEDIATE BAMANA I",3,"College of Arts and Sciences","Bloomington"
"AFRI-B 602","INTERMEDIATE BAMANA II",3,"College of Arts and Sciences","Bloomington"
"AFRI-B 701","ADVANCED BAMANA I",3,"College of Arts and Sciences","Bloomington"
"AFRI-B 702","ADVANCED BAMANA II",3,"College of Arts and Sciences","Bloomington"
"AFRI-K 100","AKAN LANGUAGE FOR BUSINESS AND TOURISM",3,"College of Arts and Sciences","Bloomington"
"AFRI-K 101","ELEMENTARY AKAN I",4,"College of Arts and Sciences","Bloomington"
"AFRI-K 102","ELEMENTARY AKAN II",4,"College of Arts and Sciences","Bloomington"
"AFRI-K 150","ACCELERATED ELEMENTARY AKAN I",4,"College of Arts and Sciences","Bloomington"
"AFRI-K 201","INTERMEDIATE AKAN I",3,"College of Arts and Sciences","Bloomington"
"AFRI-K 202","INTERMEDIATE AKAN II",3,"College of Arts and Sciences","Bloomington"
"AFRI-K 301","ADVANCED AKAN I",3,"College of Arts and Sciences","Bloomington"
"AFRI-K 302","ADVANCED AKAN II",3,"College of Arts and Sciences","Bloomington"
"AFRI-K 501","ELEMENTARY AKAN I",3,"College of Arts and Sciences","Bloomington"
"AFRI-K 502","ELEMENTARY AKAN II",3,"College of Arts and Sciences","Bloomington"
"AFRI-K 601","INTERMEDIATE AKAN I",3,"College of Arts and Sciences","Bloomington"
"AFRI-K 602","INTERMEDIATE AKAN II",3,"College of Arts and Sciences","Bloomington"
