course_name,department,college,subject,description
Preparation of Doctoral Thesis Proposal,ADV 9503 009,GSD,Architecture,Independent study with doctoral advisor to produce a preliminary literature review. Prerequisite: Enrollment in GSD DDes program.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 001,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 002,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 003,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 004,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 005,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 006,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 007,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 008,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 009,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 010,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 011,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 012,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 013,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 014,GSD,Architecture,Thesis extension in satisfaction of the degree Doctor of Design.
MArch II Proseminar,ADV 9601,GSD,Architecture,"This course provides a forum for critical discussion of contemporary design practices that is exploratory and speculative in nature. The course emphasizes collaborative thinking and debate and prepares students to develop research interests and to formulate positions in architecture. Through inquiries based upon readings, analysis of architectural projects, and presentations given by the instructor, faculty of the Department of Architecture, and visitors, the course seeks to expand the stud"
Proseminar in Landscape Architecture,ADV 9641,GSD,Landscape Architecture,"How do we understand a landscape? This proseminar explores epistemologies that constitute the field of landscape architecture. The proseminar will introduce MLA II students to a range of landscape knowledge and practice from around the world, and the implications for design and research. The focus is on developing a critical perspective from understanding landscape architecture theory, practice, and speculation from diverse, climatic, cultural, social, and racial backgrounds.The proseminar takes"
Proseminar in PUBLICS: Of the Public. In the Public. By the Public,ADV 9671,GSD,Graduate School of Design,"Public, as a noun or adjective, is not confined to a single discipline, practice, narrative or theory. It is instead, a complicated construct that can either dictate the rules and regulations that order our cities, reveal, and disclose “fake news” or knowledge about the city, or include and exclude the right to occupy the city. With this in mind, this proseminar seeks to define what constitutes the Public, historically, spatially and socially: how, when, and why it becomes legible and desirable,"
"Proseminar in MEDIUMS: On Making Culture, Technology, and Art",ADV 9672,GSD,Graduate School of Design,"In this proseminar, we will take a critical look at the current and emerging landscape of design technologies and technologically driven design. We will examine new and emerging tools, technologies, and methods that help us augment ourselves and our environments, and learn to think critically about their significance in current cultural contexts. Situated in contemporary spatial, environmental, and social problems - students will have opportunities to explore and debate and take a position on th"
Proseminar in NARRATIVES: Word and Image as Narrative Structure,ADV 9673,GSD,Graduate School of Design,"In our Proseminar, we will grapple with a selection of critical discussions on word and image as these have been formulated in aesthetic philosophy, literary criticism, media studies, and art and architectural history. The encounter between graphic form and written discourse has been construed as a seamless exchange, a contentious rivalry, or an outright war between incommensurable modes of expression. By setting this encounter against design-related tropes and themes (these might incl"
"Proseminar in ECOLOGIES: Regenerative, Interrelated, Evolving",ADV 9674,GSD,Graduate School of Design,"""Ecology is not simply a project of the natural sciences. Ecology is an overarching idea for a set of conditions or relationships with political, economic, and social implication.""         - Chris Reed and Nina-Marie Lister, Projective Ecologies, 2013.The Domain of ECOLOGIES engages the relationships between the living and mineral world, between science and technology, between infrastructural and ecological networks, and between human society and the non-h"
Master in Real Estate Practicum Prep,ADV 9850,GSD,Urban Planning & Design,This 0-unit seminar is part of the 12-unit Master in Real Estate Practicum. Participation is limited to students in the Master in Real Estate program at the GSD.
Race and Public Health Crises: From TB to AIDS to COVID-19,AFRAMER 86,FAS,African & African Amer Studies,"This course explores the complex interplay between race and public health crises, from tuberculosis to AIDS and COVID-19. Students will examine the visual culture of epidemics, critically analyze systems of racial classification, and study the work of influential sociologists, political scientists and historians of medicine and public health. The course challenges students to question the racial epistemology underlying epidemiological research and practice, fostering a deeper understanding of ho"
Supervised Reading and Research,AFRAMER 91R,FAS,African & African Amer Studies,"Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
Junior Tutorial - African American Studies,AFRAMER 98,FAS,African & African Amer Studies,"Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have the permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
Junior Tutorial - African Studies,AFRAMER 98A,FAS,African & African Amer Studies,"Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have the permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
Senior Thesis Workshop,AFRAMER 99A,FAS,African & African Amer Studies,Thesis supervision under the direction of a member of the Department. Part one of a two part series.
Transition(s),AFRAMER 112X,FAS,African & African Amer Studies,"In this introductory course, we examine and question the sameness often ascribed to African literature as a sociological and anthropological archive. We will explore stories of mobility, movement, and exchange, drawing from the archives of Transition, a magazine founded in 1961 in Kampala, Uganda, and now housed at Harvard. Transition fostered some of the most engaging intellectual debates of its time, introducing a critical idiom that shaped a generation's postcolonial and postnational critique"
The Politics of Paradise: Tourism in Latin America & the Caribbean,AFRAMER 133Y,FAS,African & African Amer Studies,"What does tourism sell? How do destination images condition our perceptions of native people, public space and collective memory? This seminar explores tourism beyond its facile association with leisure to consider its implications for development, environmental protection, heritage conservation, and the commodification of history. Treating tourism as an enterprise that trades in everything from sensory fantasies to cheap cosmetic surgeries and pictures of tropical paradise, this course contempl"
"The Philosophy and Politics of Malcolm X and Martin Luther King, Jr.",AFRAMER 134Y,FAS,African & African Amer Studies,"This seminar for graduate students and undergraduates with backgrounds in political theory, philosophy, or African American Studies undertakes a rigorous examination of the political  lives and philosophical thought of Malcolm X and Martin Luther King, Jr. Through their speeches, writings, debates, and unpublished texts, we will engage critically with their evolving visions of justice, democracy, and social transformation. We will read both figures in dialogue with their intellectual influe"
A Black History of Electronic Dance Music,AFRAMER 146X,FAS,African & African Amer Studies,"Electronic dance music. Mentioning the genre elicits questions over origins and boundaries. While oft forgotten, Black queer, femme, and non-binary people invented the modern-day genre’s arrangement, composition, production, and distribution, undergirding distressed communities’ sonic landscapes, enlivening social movements, and seeding multibillion-dollar markets. From disco to house to techno, each seminar will crisscross wide-ranging geographies including Chicago, Detroit, New Yor"
African Language Archives in disciplines and professions,AFRAMER 166X,FAS,African & African Amer Studies,"Language is a fundamental for thought and communication, playing a vital role in human achievements and societal progress. This course explores African languages as rich sources of knowledge that require collection and cataloguing using current AI technologies. By examining archives of African thought and life, students will delve into how archival information can be shared across languages. The course emphasizes the significance of African languages as instruments of thought, expressed through"
"Poverty, Race, and Health",AFRAMER 197,FAS,African & African Amer Studies,"This course critically examines the health status of the poor, and of African Americans and other socially disadvantaged racial and ethnic groups in the US. Attention will be focused on the patterned ways in which the health of these groups is embedded in the social, cultural, political, and economic contexts, and arrangements of US society. Topics covered include the meaning and measurement of race, the ways in which racism affects health, the historic uses of minorities in medical research, ho"
Theory and Race in Africa,AFRAMER 201,FAS,African & African Amer Studies,"This course focuses on theoretical debates and frameworks in African studies from the past to the postcolony. The course strives to open up a critical, open-ended discussion that treats Africa as People, and reclaims the epistemic freedom and virtue of African people through a double-consciousness of deprovincializing Africa and provincializing Europe. The course will examine the lines of knowledge production in Africa, beyond hegemonic Eurocentric knowledge-production, with the aim of achieving"
Race and Ethnicity in Latin America,AFRAMER 219A,FAS,African & African Amer Studies,"This yearlong seminar introduces students to current questions and debates in the study of race and ethnicity in Latin America, from the colonial period to the present. Our seminar answers the call, issued by anthropologist Peter Wade (1997), to produce scholarship integrating the study of Africans and their descendants, along with indigenous peoples, as participants in shared processes of racial formation, nation making, and state building. Through the systematic comparison of several cases, th"
"Comparative Slavery & the Law: Africa, Latin America, & the US: Seminar",AFRAMER 221,FAS,African & African Amer Studies,"This seminar surveys the booming historiographies of slavery and the law in Latin America, the United States, and Africa. Earlier generations of scholars relied heavily on European legal traditions to draw sharp contrasts between U.S. and Latin American slavery. The most recent scholarship, however, approaches the legal history of slavery through slaves' legal initiatives and actions. These initiatives were probably informed by the Africans' legal cultures, as many of them came from societies wh"
African Postcolonial State,AFRAMER 224,FAS,African & African Amer Studies,"This course, primarily for graduate students, is designed to analyze the form and function of the postcolonial state in Africa. Decolonization left African states and policymaker with many decisions regarding what states should do politically, economically, socially, and culturally. How should states create a national identity out of an emerging anti-colonial consciousness? Given the challenges of colonial rule, how could postcolonial state create vibrant economies and durable political systems,"
People of Print,AFRAMER 225,FAS,African & African Amer Studies,"When does an African book begin or end? This course investigates new and experimental African book forms that have emerged in recent years. Since 2000, a new generation of writers, readers, and publishers has moved away from the African Writers Series model toward a more artisan approach—one that integrates design, print, and aesthetics. Our primary focus will be the Chimurenga Library (based in Cape Town, South Africa), which, in its rhizomatic way, references contemporary and past systems of k"
Black Classicisms: A Research Seminar and Pedagogy Workshop,AFRAMER 234,FAS,African & African Amer Studies,"From the enslaved poet Phillis Wheatley writing in Boston in the 1760s and 1770s, to contemporary authors and artists in Africa, the Caribbean, and the US, this lecture course will explore uses of ancient Greek and Roman Classics in the literatures, arts, and thought of Africa and the Black Diaspora. We will analyze how African and black diasporic authors and intellectuals have engaged with, revised, and re-imagined the classics of ancient Greece and Rome, both to expose and critique discourses"
"Pedagogies of Liberation: Race, Gender, and Class(rooms)",AFRAMER 245,FAS,African & African Amer Studies,"This course is meant as preparation and accompaniment for new teachers of language and literature. It is designed for anyone dedicated to developing a pedagogical praxis that alternates between theory and implementation. The objective is to achieve a rigorous theoretical framework for the formative work of language instruction that supports literary analysis. The exemplary teachers featured in this course display a remarkable coherence of good practices that remain ""alternative"" to normalized ap"
Individual Reading Tutorial,AFRAMER 310,FAS,African & African Amer Studies,Allows students to work with an individual member of the faculty in a weekly tutorial.
Individual Research,AFRAMER 390,FAS,African & African Amer Studies,Requires students to identify and carry out a research project under the guidance of a member of the faculty. Graduate students may use this course to begin work on the research paper required for admission to candidacy.
Directed Writing,AFRAMER 391,FAS,African & African Amer Studies,Requires students to identify a major essay and carry it out under the guidance of a member of the faculty. Graduate students may use this course to begin to work on the research paper that is a requirement of admission to candidacy.
"Teaching, Writing, and Research",AFRAMER 392,FAS,African & African Amer Studies,
Reading and Research,AFRAMER 398,FAS,African & African Amer Studies,
Direction of Doctoral Dissertations,AFRAMER 399,FAS,African & African Amer Studies,
ASCO: Drawing as Intervention,AFVS 13,FAS,"Art, Film, and Visual Studies","ASCO, Spanish for “Disgust” or “Nausea,” evokes discomfort—an apt name for the Chicano art collective whose subversive performances and interventions challenged cultural invisibility and institutional exclusion in 1970s East Los Angeles. Rejecting artistic boundaries, ASCO transformed drawing into an act of resistance, using murals and graffiti, printmaking, photography, performance, and installation to reclaim space and disrupt dominant narratives.This course takes ASCO’s radical defiance as a"
Silkscreen,AFVS 15AR,FAS,"Art, Film, and Visual Studies","For the student who is interested in the manipulation of found and original imagery. Students will create monotypes on paper and other surfaces utilizing the silkscreen process. Through slide presentations, the class will be introduced to the work of artists such as Rauschenberg and Warhol, as well as others who use the silkscreen process."
Introduction to Photography,AFVS 41A,FAS,"Art, Film, and Visual Studies","This studio course will introduce you to the conceptual and artistic potential of photography. Your understanding and use of the medium will be contextualized within contemporary and historic photographic art practices. Your own art practice will be developed alongside technical skills. We will discuss topics such as the ethics of photographing people, how to make meaningful images amid the proliferation of digital images, and traits that are unique to photography. This class is organized around"
Introduction to Nonfiction Filmmaking,AFVS 50A,FAS,"Art, Film, and Visual Studies",Introductory exercises in live-action 16mm filmmaking culminating in the production of a nonfiction film as a group project in the spring term. Part one of a two-part series .Students are required to take both parts A and B of the course within the same academic year.
Introduction to Nonfiction Videomaking,AFVS 52,FAS,"Art, Film, and Visual Studies","This production course introduces students to the concepts and practices of nonfiction film. Students will learn the fundamentals of making compelling images and watch films that define the genre. The heart of the class is an independent project, an observational film, the subject of which is the student's choosing. In the process of creating this film, students will become familiar with the technical aspects of videomaking as well as professional editing software."
Fundamentals of Animation,AFVS 53AR,FAS,"Art, Film, and Visual Studies",An introduction to the possibilities of animation for absolute beginners.
Embodied Practices: Coding and Interactivity for Artists,AFVS 55P,FAS,"Art, Film, and Visual Studies","This course serves as a practical introduction to the world of programming and electronic arts, emphasizing the use of open-source software and hardware. Utilizing platforms like Arduino and Processing, students will learn how to craft systems, circuits, and tools allowing them to create experimental videos, films, installations or sculptures. The curriculum merges on-screen and off-screen experimentations, bridging together notions of programming, electronics, and artistry. Using code and elect"
Approaching Narrative: Introduction to Fiction Filmmaking,AFVS 60X,FAS,"Art, Film, and Visual Studies","In this production course, students will learn the basic principles of narrative filmmaking, experiment with the visual language of cinema, and push the boundaries of their own moving image work. Students will be introduced to the aesthetic and formal elements of cinema and the terminology of film production. Techniques explored include cinematography, sound recording, and editing. In-class screenings and lectures will give an overview of different modes of filmmaking, including narrative, docum"
Introduction to Time-Based Media,AFVS 63,FAS,"Art, Film, and Visual Studies","An introduction to drawing, sculpture, performance, and film through time-based materials and practices. Students will develop their own relationship to the creative process through the transformation of humble materials (cardboard, charcoal, found objects), inspiration from a diverse range of artists, and critical reflection guided both by the instructors and the students themselves."
Special Projects,AFVS 91R,FAS,"Art, Film, and Visual Studies",Open to a limited number of students who wish to carry out a special project under supervision. Students wishing to enroll in AFVS 91R must find a member of the faculty to advise the project and submit an application to the Director of Undergraduate Studies.
Tutorial - Junior Year,AFVS 98R,FAS,"Art, Film, and Visual Studies","This workshop for junior concentrators in Art, Film, & Visual Studies continues development of approaches and questions central to research and practice from the Sophomore Tutorial. For concentrators in the film/video or studio art curricular areas, Junior Tutorial is optional and offers exposure to visiting artists and filmmakers as well as a space to cultivate and workshop approaches to a senior thesis. For AFVS undergraduate concentrators in the film and visual studies curricular are"
Tutorial - Senior Year (Thesis/Senior Project),AFVS 99A,FAS,"Art, Film, and Visual Studies","All students wishing to undertake an AFVS 99 project, either a senior thesis or senior project, must have permission of the project adviser, chosen by the student, before being considered. The Director of Undergraduate Studies and the AFVS Honors Board must approve all AFVS 99 projects and theses in advance.  Part one of a two part series."
Tutorial - Senior Year (Thesis/Senior Project),AFVS 99B,FAS,"Art, Film, and Visual Studies","All students wishing to undertake an AFVS 99 project, either a senior thesis or senior project, must have permission of the project adviser, chosen by the student, before being considered.  The Director of Undergraduate Studies and the AFVS Honors Board must approve all AFVS 99 projects and theses in advance.  Part two of a two part series."
Woven Forms: The Textile Studio,AFVS 136K,FAS,"Art, Film, and Visual Studies","This hybrid studio/visual studies course explores textiles and textile practices from multiple perspectives. We will examine the histories of textile cultures, study the pioneering work of women weavers and artists in the 20th and 21st centuries, and engage directly with weaving techniques and textile design.Combining seminar discussions with hands-on practice, we will explore textile histories, cultures, and methodologies through readings, guest lectures, archival visits, and weekly weaving wor"
Surreal Self: Intermediate Photography Course,AFVS 140S,FAS,"Art, Film, and Visual Studies","This course is designed for students to embrace the experimental depths of photography. This class will chart the history of surrealism as a cultural movement from the 1920s to its current iteration as a vehicle for resistance and visual pleasure. Through the language of surrealism, students will explore how to incorporate symbolism and metaphors to make latent narratives complexly visible. A series of prompts and collaborative activities will offer students expansive entry points for approachin"
Sequencing Photographs,AFVS 143F,FAS,"Art, Film, and Visual Studies","In this course we will explore visual language and the photobook. The meaning of a single photograph is ambiguous until it bumps into something else. Visual language is like verbal language, where context determines the message. Understanding this will help give you more control over the possible meanings of your own photographs, and to help you read and critique pictures out in the world. The first half of the term will involve group & individual exercises with found imagery, where we"
Where the Wild Things Are: Intermediate Photography Course,AFVS 149,FAS,"Art, Film, and Visual Studies","Students will develop a cohesive, long-term photographic project originating from their own experience. They will be challenged to approach difficult themes, interior emotional content, or imbalances they perceive in the world around them. Subjects may include, but are not limited to, significant events, upheaval, or desire. The course will address the uses of allegory and metaphor in image-making, as well as the mechanics of editing, sequencing, and essay-writing in support of a body of work th"
Film Directing: Approaching Fiction Now,AFVS 150A,FAS,"Art, Film, and Visual Studies","This course guides students through different issues and challenges in the filmmaking process from the initial development of ideas through to completion.Throughout the semester, students will write and discuss their own short film scripts. At the end of the first semester, these projects will be ready to move through the pre-production process so that they can be shot during the second semester.   Emphasis is placed on finding a voice, point of view and approaching the film language."
Nonfiction Video Projects,AFVS 151BR,FAS,"Art, Film, and Visual Studies","Working from a proposal approved in advance by the instructor, each student plans, shoots, and edits a documentary video of their own design. Students shoot their films over the summer, or complete shooting for a longer-term project, and edit it to completion during the fall term. Readings, screenings, workshops, and critique will augment individual work."
Intermediate Animation: Intermediate Studio Course,AFVS 153BR,FAS,"Art, Film, and Visual Studies",A chance for students with some experience of animation to expand and deepen their skills and to undertake a semester-long project.
Lo-fi Sci-fi (intermediate video production),AFVS 164L,FAS,"Art, Film, and Visual Studies","In this intermediate video production course, students will work with narrative, conceptual, aesthetic forms, and filmmaking processes derived from science fiction to produce hybrid nonfiction short films. The class will explore the generative possibilities of the real in the production of fiction works, as well as fictional and genre strategies for working in nonfiction filmmaking. We will work hybridly between fiction and nonfiction, exploring the possibilities that scriptwriting for nonfictio"
Introduction to Visual Culture,AFVS 175,FAS,"Art, Film, and Visual Studies","What is a medium? And how can the history of the term—the ways in which it has been used and defined, both by artists and theorists—help us answer this question?The first part of the course will present the different ways in which the concept of medium has been historically understood:  as a set of techniques and material supports for some form of artistic representation (such as painting, photography, and film); as an extension of the human body and its sensory organs into the"
Global Photography:Decolonizing the Gaze,AFVS 188P,FAS,"Art, Film, and Visual Studies","Photography has since its first public presentation in 1839 been described as an essentially Western technology and a tool of imperialism. Yet, this apparatus was appropriated across the globe almost simultaneously, from Ethiopia to India, from China to Mexico. This course will offer an introduction to photography's global histories and theories from the nineteenth century to the present, centering the gaze, art and epistemologies of those working outside the West, in what Shahidul Alam prefers"
Directed Research: Studio Course,AFVS 196R,FAS,"Art, Film, and Visual Studies",Direct Research is an opportunity for enrolled students to work on independent projects throughout the semester in a dedicated studio space. The course runs similarly to a seminar with shared readings and weekly critiques.
Feminist Approaches to Film,AFVS 198F,FAS,"Art, Film, and Visual Studies","How are stories told differently through a feminist lens? Whose histories and experiences are centered and how? What patriarchal narratives and metanarratives are taken as a given in film viewing, and should be questioned, critiqued, and upended? This seminar will examine how feminist theory, methodology, and aesthetics are expressed through the moving image medium. We will encounter a multitude of filmmaking practices that radically rethink cinematic conventions by applying feminist tools to cr"
"Curation, Conservation and Programming",AFVS 209R,FAS,"Art, Film, and Visual Studies","For research and independent projects in the archives, collections, and exhibitions of the Carpenter Center for the Visual Arts, the Harvard Film Archive, or the Harvard Museums and other campus arts institutions. Open only by petition to the Department; petitions should be presented during the term preceding enrollment, and must be signed by the instructor or staff member with whom the project is to be done."
AI and Art,AFVS 222,FAS,"Art, Film, and Visual Studies","This seminar will study the ways in which, beginning with the early 2010s, artists have tackled the various deep learning algorithms and models that are currently profoundly transforming the ways in which images are captured, generated, modified, described, and seen. We will analyze some of these different algorithms and models, studying their architecture, the datasets that are used to train them, and the different operations they may perform. After discussing the ways in which artists have ela"
Advanced Projects in Time-Based Media,AFVS 264,FAS,"Art, Film, and Visual Studies","A workshop for advanced students pursuing self-directed projects in film, video, performance, or other time-based media. Students are expected to produce one substantial project which can take the form of a single-channel film or video, moving image installation, live event, or other time-based work. One-on-one meetings with the instructor, midterm in-progress and final group critiques, and a small production budget support the development of student work. Screenings, visits by guest artists, wo"
Proseminar in Film and Visual Studies,AFVS 272,FAS,"Art, Film, and Visual Studies","This course prepares students to generate research questions in Visual Studies through close analysis of visual artifacts in Harvard collections and rigorous readings of major 20th and 21st century scholarly sources, largely but not exclusively in photo and film history. It defines Visual Studies in terms of relationships between disciplines dedicated to aesthetic analysis such as art history and film studies with fields engaged with the social meaning of images such as anthropology, critical th"
Photography and Textile: A History of Intermediality,AFVS 288P,FAS,"Art, Film, and Visual Studies","This graduate seminar explores photography’s—historical, material and theoretical—entanglements with textile. While extensive literature exists on the relation between photography and painting, and photography and sculpture, studies on the intermedial relation between photography and textile remain to a great extent isolated case studies. This course will offer the opportunity to track such intimate connections across history and geographies, spanning from Henry Fox Talbot’s lace photographs of"
Film and Visual Studies Workshop,AFVS 301,FAS,"Art, Film, and Visual Studies",
Reading and Research,AFVS 310,FAS,"Art, Film, and Visual Studies",
Directed Study,AFVS 320,FAS,"Art, Film, and Visual Studies",
Teaching Workshop,AFVS 330R,FAS,"Art, Film, and Visual Studies","This course serves as an introduction to teaching in Art, Film, and Visual Studies, as well as a forum for designing instruction. There will be an emphasis on discussions of hybrid methodologies between research and practice."
Film Study Center Non-Fiction Filmmaking Workshop,AFVS 351HF,FAS,"Art, Film, and Visual Studies",A graduate workshop for Film Study Center non-fiction film and video projects.
Advanced Critical Media Practice,AFVS 355R,FAS,"Art, Film, and Visual Studies",Advanced CMP is an opportunity for graduate students to develop a studio practice in a dedicated studio space. The course is centered around critique and shared readings.
Graduate Studio Workshop,AFVS 390,FAS,"Art, Film, and Visual Studies","This graduate-level studio class is for advanced students in Film & Visual Studies and Critical Media Practice, who wish to develop their artistic practice in conjunction with their scholarship.  Students develop individual and collaborative studio projects that explore the principles and potential of the visual and performing arts.  Projects may be in drawing, painting, printmaking, sculpture, photography, video, film, installation, graphic design, or performance."
Introductory Akkadian I,AKKAD AA,FAS,Near Eastern Languages & Civ,"An introduction to the Semitic language of Akkadian, primarily through the Old Babylonian dialect and cuneiform writing system as used during the time of Hammurabi (c. 1750 BCE). Students learn the fundamentals of grammar and the writing system, as well as the most common cuneiform signs in official and cursive script. Readings span a variety of genres, including private letters, judicial documents, literary and religious texts, divinatory compendia, legal code, and royal inscriptions. The cours"
Akkadian Incantations (Advanced Akkadian),AKKAD 130R,FAS,Near Eastern Languages & Civ,"In this advanced Akkadian reading course, we will read a selection of Akkadian and Sumerian-Akkadian bilingual incantations from different periods in Mesopotamian history. Course objectives include: introducing the genre of incantations; extending reading ability in the Akkadian language and the cuneiform writing system; gaining familiarity with the scripts, writing conventions, and dialects of Akkadian in different periods; and exploring points of continuity and change in the practice of writin"
Elementary Modern Albanian I,ALBANIAN AA,FAS,Near Eastern Languages & Civ,"Emphasis on all aspects of Albanian grammar toward developing a solid foundation for speaking, listening, reading, writing, and vocabulary skills.  Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit."
Independent Study by Candidates for Master's Degrees,ADV 9201,GSD,Graduate School of Design,"Students may take a maximum of 8 units with different GSD instructors in this course series. 9201 must be taken for either 2 or 4 units.Prerequisites: GSD student seeking a Master's degreeCandidates may arrange individual work focusing on subjects or issues that are of interest to them but are not available through regularly offered coursework. Students must submit an independent study petition, and accompanying documentation as noted on the petition, after securing approval of the fac"
Preparation of MUP Design Thesis,ADV 9204,GSD,Urban Planning & Design,"What does it take to complete an Urban Planning Thesis? The seminar introduces different types of theses that might be produced by students, whether textual, design-focused, or based in some other medium, such as film. It addresses topic and question identification, research methods, case selection, the craft of thesis production, managing the student-advisor relationship, and techniques for verbally defending a thesis.Over the semester, students identify and refine their thesis topic, solidify"
Independent Thesis in Satisfaction of Degree MArch,ADV 9301,GSD,Architecture,"The Thesis Program encourages students to take advantage of the wide range of resources and research initiatives of the Graduate School of Design and its faculty to make a thoughtful contribution to the discipline. Thesis is a required component of the March I program, and an optional track for the March II program.Each student works on a final thesis project based upon the interests and research done in the semesters leading up to the final term and under the guidance of a designated faculty ad"
