"school","subject","course_code","course_name","credits","description"
"School of Business","Graduate Business Courses","BUKO-C 590","Independent Study In Business And Administration","1-3 cr.","P: permission of instructor and MBA Director. The objective behind an independent study is to provide an opportunity to the graduate student to study, analyze, and/or evaluate in-depth some topic of interest."
"School of Business","Graduate Business Courses","BUKO-C 599","Project Demonstrating Expertise (PDE)","3 cr.","P: Permission of instructor and MBA Director. A significant project in the studentâs field that demonstrates expertise in applying knowledge to the benefit of the organization and student. Expectations, determined jointly by faculty and executive mentors, include the ability to effectively manage the responsibilities involved. To optimize learning, PDE may coincide with other projects and studies."
"School of Business","Graduate Business Courses","BUKO-D 542","Advanced Managerial Accounting","3 cr.","P: BUS-A 201. Spring Semesters. The uses of accounting information for decision making, and for planning and controlling business operations. The behavioral aspects of performance reports, budgets, and variance analysis."
"School of Business","Graduate Business Courses","BUKO-E 542","Strategic Managerial Economics","3 cr.","P: ECON-E 201 and ECON-E 202 or equivalent. Fall Semesters. Provides the microeconomic understanding that business managers will find useful in making decisions under conditions of uncertainty. Topics include demand and cost estimations, pricing, market structure and analysis, and the organization of the firm. The course will include case analyses of situations in business using a managerial economics perspective."
"School of Business","Graduate Business Courses","BUKO-F 542","Advanced Financial Management","3 cr.","P: BUS-F 301. Spring Semesters. Study of the aggregation and distribution of financial resources. Topics include analysis of money and capital markets, financial instruments and securities, interest rate theory, and public and private institutions of the United States financial system."
"School of Business","Graduate Business Courses","BUKO-F 571","International Corporate Finance","3 cr.","P: BUS-F 301 or equivalent. This course examines how firms and investors manage their operation or investments in an international environment. Topics to be discussed include foreign exchange risk management, financing the global firm, foreign investment decisions and multinational capital budgeting."
"School of Business","Graduate Business Courses","BUKO-I 500","Financial Management","2 cr.","Conceptual framework of the firm's investment, financing and dividend decision, includes working capital management, capital budgeting, and capital structure strategies."
"School of Business","Graduate Business Courses","BUKO-J 512","Small Business Management and Entrepreneurship","3 cr.","P: permission of instructor. This course integrates studentsâ knowledge in various application of management theory and development of practical solutions for real problems necessary to formulate a business plan. Attention is given to the role of the entrepreneur or small business manager."
"School of Business","Graduate Business Courses","BUKO-J 542","Ethical and Regulatory Environment of Business","3 cr.","Recognizing that major business decisions have social and legal implications, this course builds awareness and understanding of these dimensions of managerial actions. It explores the ethical concerns of organizations and the challenges in managerial decision making."
"School of Business","Graduate Business Courses","BUKO-J 552","Principles of Leadership and Ethics","3 cr.","Ethical teamwork and leadership are required for sustainable organizational success. Leadership competencies are essential for leading and managing diverse organizations in ethical ways. This course delivers critical knowledge and skills in the areas of ethical teamwork and leadership and aims to develop leaders through applied and reflective learning."
"School of Business","Graduate Business Courses","BUKO-J 560","Global Strategic Management","3 cr.","Spring Semesters. Must have completed Phase I. This course emphasizes the integration and application of diverse knowledge and understanding of organizational strategy. Students, as top executive decision makers, study actual business cases; then test and present their ideas. Successful global commerce requires innovative strategies. Use of analytical, creative, collaborative, and teamwork skills."
"School of Business","Graduate Business Courses","BUKO-J 561","Advanced Integrated Business Simulation","3 cr.","Using computer simulation, teams will be introduced to entrepreneurial business strategies and will manage businesses within a competitive marketplace. Students will start up and run a company, and integrate marketing, human resources, operations, finance, and accounting. Repeatedly, students must analyze data and plan a business strategy to build competitive advantage."
"School of Business","Graduate Business Courses","BUKO-L 506","Employment Problems and the Law","3 cr.","Current legal problems in the area of employment. Topics include the hiring process, managing a diverse workforce, affirmative action, race and sex discrimination, harassment, the American with Disabilities Act, pay equity, employment at will, privacy issues such as drug testing and limits on monitoring and testing, termination issues and post-termination issues."
"School of Business","Graduate Business Courses","BUKO-L 512","Law and Ethics in Business","3 cr.","Fall Semesters. The objective is to provide the student of management with that knowledge of the American legal system--its processes and the substantive law itself--which is necessary to the making of informed and effective business decisions. Because the law develops and evolves in response to changing social, economic, political, and technological forces, and because business decisions often carry long-lasting as well as delayed effects, this course will emphasize the study of legal change. It is hoped that consideration of past legal developments will give prospective managers sufficient insight into the dynamics of this process to enable them to predict as soundly as possible the future legal environment in which their present decisions will bear fruit."
"School of Business","Graduate Business Courses","BUKO-M 500","Marketing Management","2 cr.","Overview of marketing for all undergraduates marketing planning and decision making concept and its company-wide implications; integration of marketing with other functions. Market structure and behavior and their relationship to marketing strategy. Marketing systems viewed in terms of both public and private policy in aÂ pluralistic society."
"School of Business","Graduate Business Courses","BUKO-M 542","Organizational Theory and Development","3 cr.","P: BUS-Z 302 or equivalent. The study of organizational theories, structure, processes, and outcomes in a dynamic environment with emphasis on achieving effectiveness through planned change.Â  Topics include organizational and environmental diagnostic methods, organizational capacity for change, and organizational transformation strategies."
"School of Business","Graduate Business Courses","BUKO-M 560","Advanced Marketing Management","3 cr.","P: BUS-M 301. Fall Semesters. The formulation and implementation of strategic marketing plans for the development, pricing, promotion, and distribution of products and services in domestic and international markets. Topics include the role of marketing research and information systems, market opportunity analysis, market segmentation, and analytical tools for optimizing marketing decisions. Extensive use of selected readings, cases, and research projects."
"School of Business","Graduate Business Courses","BUKO-M 570","Advanced Operations Management","3 cr.","P: BUS-K 302. Spring Semesters. An in-depth study of topics such as operations planning, material requirements, planning, capacity planning, scheduling, master production scheduling, forecasting, inventory management, the just in time inventory system, and operations control."
"School of Business","Graduate Business Courses","BUKO-Q 520","Quantitative Business Analysis","2 cr.","Application of mathematical modeling techniques to business decision making. Topics include basic concepts of model building, linear programming, sensitivity analysis and duality, goal programming, network models, deterministic and probabilistic inventory models, decision analysis, queuing theory, game theory and simulation."
"School of Business","Graduate Business Courses","BUKO-Z 542","Foundations of Strategic Human Resource Management","3 cr.","P: BUS-Z 302. Fall Semesters. This course explores how managers create high-performance organizations by marshaling traditional and non-traditional human resource management, organization leadership and change-management practices to align those practices with organizational strategy."
"School of Business","Graduate Public Management Courses","PAHM-H 509","Financial Management Principles of Healthcare","3 cr.","Provides knowledge of corporate finance practice in health care organizations. Establishes an understanding of the basic elements of financial theory used to address service expansion or contraction, capital investment issues, developing business plans and working capital management."
"School of Business","Graduate Public Management Courses","PAHM-H 514","Health Economics","3 cr.","Examines the principles and applications of economic analysis in the health field; the economist's approach to health care issues, and provides insights offered by economic analysis of specific health issues and problems."
"School of Business","Graduate Public Management Courses","PAHM-H 515","Seminar in Health Policy: Special Topic","3 cr.","Exploration of health policy topics from economic, financial, sociological, political and psychological perspectives. Analytical paradigms are applied to organizational or macro-policy making issues that vary in response to changing environments."
"School of Business","Graduate Public Management Courses","PAHM-H 612","Marketing for Health Services Delivery","3 cr.","The course provides a working knowledge and the skills required to market health services. Health institution-based projects are emphasized."
"School of Business","Graduate Public Management Courses","PAHM-H 628","Health Care Information Systems","3 cr.","A study of the terminology, technology, and application of information systems in various health care settings. Topics include the gathering, organization, storage, and retrieval of complex data banks, as well as assessment of health service data needs and considerations in developing information systems. Includes many computer-based exercises."
"School of Business","Graduate Public Management Courses","PAHM-V 502","Public Management","3 cr.","Analysis of concepts, methods, and procedures involved in managing public organizations. Problems of organization, planning, decision making, performance evaluation, and management of human resources are considered. Cases are drawn from a variety of public services found at federal, state, and local levels of government."
"School of Business","Graduate Public Management Courses","PAHM-V 504","Public Organizations","3 cr.","This course focuses on the behavior and theory of public organizations in four areas: (1) individual and groups in public organizations; (2) the design of public organizations; (3) organization environment relations, and (4) inter organizational relations."
"School of Business","Graduate Public Management Courses","PAHM-V 506","Statistical Analysis for Effective Decision Making","3 cr.","Non-calculus survey of concepts in probability, estimation, and hypothesis testing. Applications of contingency table analysis and analysis of variance, regression, processing of data emphasized."
"School of Business","Graduate Public Management Courses","PAHM-V 509","Administrative Ethics in Public Sector","3 cr.","Ethical conduct in the public sector is examined. Topics covered could include personal ethical responsibility, deception, corruption, code of ethics, policy making, morality, politics, and whistle bowling. Case studies and media materials will be used to illustrate these and other such issues affecting the workplace."
"School of Business","Graduate Public Management Courses","PAHM-V 512","Public Policy Process","3 cr.","An examination of the role of the public affairs professionals in policy processes. Focuses on relationships with political actors in various policy areas."
"School of Business","Graduate Public Management Courses","PAHM-V 517","Public Management Economics","3 cr.","This course focuses on applications of the principles and concepts of intermediate microeconomic theory and managerial economics to public-sector management decisions and policy analysis. The course utilizes case studies with the goal of giving students opportunities to recognize the economic dimensions inherent in the public policy problems and to develop an analytical problem solving orientation."
"School of Business","Graduate Public Management Courses","PAHM-V 525","Management in the Nonprofit Sector","3 cr.","P: PAHM-V 521. An examination of nonprofit organizations and their role in society. Management issues and public policy affecting these organizations are discussed. Primary emphasis is upon U.S. organizations, but attention is given to the global nature of the sector."
"School of Business","Graduate Public Management Courses","PAHM-V 540","Law and Public Policy","3 cr.","Explanation of law in society and its influence on public-sector operations. Examination of some of the central substantive areas of the study of law, including regulatory processes, administrative adjudication, the Administrative Procedures Act, ombudsmen, and citizensâ rights, among others."
"School of Business","Graduate Public Management Courses","PAHM-V 543","Health Services Management","3 cr.","A course that integrate theory and application with respect to management of health service organizations. Emphasis on the role of managers and management within formal health service organizations. Current management and organization theories are applied to an understanding of health care delivery settings."
"School of Business","Graduate Public Management Courses","PAHM-V 550","Topics in Public Affairs","3 cr.","Selected research and discussion topics organized on a semester-by-semester basis usually with significant student input in the course design."
"School of Business","Graduate Public Management Courses","PAHM-V 557","Proposal Development and Grant Administration","3 cr.","This course provides the opportunity for each student to develop a complete proposal through participation in the entire grant application process. The integration of case studies, visual media, printed materials, and class discussions provides students with practical knowledge for writing successful proposals."
"School of Business","Graduate Public Management Courses","PAHM-V 560","Public Finance and Budgeting","3 cr.","The fiscal role of government in a mixed economy; sources of public revenue and credit; administrative, political revenue and credit; administrative, political, and institutional aspects of the budget and the budgetary process; problems and trends in intergovernmental fiscal relations."
"School of Business","Graduate Public Management Courses","PAHM-V 561","Public Human Resources Management","3 cr.","Analysis of the structure, operations, and design of public personnel systems, including government agencies and public enterprise. Relationships between public policy and personnel concepts, values, and operations considered."
"School of Business","Graduate Public Management Courses","PAHM-V 562","Public Program Evaluation","3 cr.","Examination of how the program of public agencies is proposed, established, operated, and evaluated. Discussion of the role and conduct of research in the program evaluation process. In addition, techniques of effective evaluation and analysis are discussed."
"School of Business","Graduate Public Management Courses","PAHM-V 566","Executive Leadership","3 cr.","The course offers an in-depth examination of factors that contribute to successful executive leadership practices in a variety of organizational settings. Topics include what leadership is, what impact leadership has, and how leaders use various approaches and powers to achieve their goals."
"School of Business","Graduate Public Management Courses","PAHM-V 585","Practicum in Public Affairs","1-9 cr.","Students hold work assignments with public agencies. Grading is on an S/F basis."
"School of Business","Graduate Public Management Courses","PAHM-V 631","Health Planning","3 cr.","A workshop in analysis and use of health data in a planning context. Course deals with the planning process and methods with an emphasis on systems theory. Class project or plan is developed and presented and defended in a simulated public hearing format."
"School of Education","Graduate Education Courses","EDUC-A 500","Introduction to Educational Leadership","3 cr.","Online Collaborative Course. This course entails an introduction to the history, philosophy, and social aspects of educational leadership. It reviews relevant theories of administration; the historical role of administration in schools; and the political, social, economic, and philosophical frameworks that have informed administration."
"School of Education","Graduate Education Courses","EDUC-A 510","School Community Relations","3 cr.","Online Collaborative Course. This course investigates characteristics of the community school, including the multicultural quality of the community. It also explores adapting the educational program to community needs, using community resources in instruction, and planning school-community relations programs."
"School of Education","Graduate Education Courses","EDUC-A 515","Educational Leadership: Teacher Development and Evaluation","3 cr.","Online Collaborative Course."
"School of Education","Graduate Education Courses","EDUC-A 608","Legal Perspectives on Education","3 cr.","Online Collaborative Course. This course entails an overview of the legal framework affecting the organization and administration of public schools, including church-state issues, pupil rights, staff-student relationships, conditions of employment, teacher organizations, tort liability, school finance, and desegregation."
"School of Education","Graduate Education Courses","EDUC-A 624","Educational Leadership: Principalship K-12","3 cr.","Online Collaborative Course."
"School of Education","Graduate Education Courses","EDUC-A 629","Data-Informed Decision Making for School Leaders","3 cr.","Online Collaborative Course."
"School of Education","Graduate Education Courses","EDUC-A 635","Public School Budgeting and Accounting","3 cr.","Online Collaborative Course. This course explores the normative and positive aspects of financing K-12 public education. After a rigorous introduction to the foundation of school finance theory, the course investigates the concepts and practices of effective budget management."
"School of Education","Graduate Education Courses","EDUC-A 695","Practicum in Educational Leadership","3 cr.","Online Collaborative Course."
"School of Education","Graduate Education Courses","EDUC-E 524","Workshop in Early Childhood Education","arr. cr.","Individual and group study of problems in nursery school and kindergarten education. Emphasis on broadening understanding of curriculum problems and their application to teaching in nursery schools and kindergarten."
"School of Education","Graduate Education Courses","EDUC-E 525","Advanced Curriculum Study in Early Childhood Education","3 cr.","Curriculum planning, guiding and evaluating learning experiences, and interpreting values of early childhood education. New approaches to teaching."
"School of Education","Graduate Education Courses","EDUC-E 534","Inquiry in Math and Science","2-3 cr.","Students must be admitted to the Elementary Transition to Teaching Program. This course will focus on developing teaching competencies in science and math instructional methodologies. Science methods will foster students' scientific literacy and develop the evidence-based science instruction approaches. Math methods will emphasize teaching math through problem-solving strategies."
"School of Education","Graduate Education Courses","EDUC-E 535","Elementary School Curriculum","3 cr.","Social, economic, and educational forces influencing changes in the curriculum of the elementary school; observation and study of the curriculum and methods of evaluating it."
"School of Education","Graduate Education Courses","EDUC-E 536","Supervision of Elementary School Instruction","3 cr.","Modern concepts of supervision and the evolutionary processes through which they have emerged. Supervisory work of the principal, general supervisor, and supervisor or consultant. Study of group processes in a democratic school system."
"School of Education","Graduate Education Courses","EDUC-E 543","Advanced Study in the Teaching of Mathematics in the Elementary Schools","3 cr.","Designed to help the experienced teacher improve the teaching of mathematics. Opportunities will be provided for individual and group study of content, methodology, and instructional materials for modern mathematics programs."
"School of Education","Graduate Education Courses","EDUC-E 545","Advanced Study in the Teaching of Reading in the Elementary Schools","3 cr.","For experienced teachers. Review of developmental reading program in the elementary school, use of reading in various curriculum areas, appraisal of reading abilities, and techniques and materials for individualized instruction."
"School of Education","Graduate Education Courses","EDUC-E 547","Advanced Study in the Teaching of Social Studies in the Elementary Schools","3 cr.","For experienced teachers. Goals and functions of social studies and underlying principles that influence the teaching of social studies; content, resources, and methodology that facilitate the implementation of these."
"School of Education","Graduate Education Courses","EDUC-E 548","Advanced Study in the Teaching of Science in the Elementary Schools","3 cr.","Helps experienced teachers gain proficiency in the teaching of science in the elementary school. Characteristics of good elementary school science programs."
"School of Education","Graduate Education Courses","EDUC-E 549","Advanced Study in the Teaching of Language Arts in the Elementary Schools","3 cr.","Helps experienced teachers gain further insight into the development of the English language and how best to teach language arts. Emphasizes basic communication skills and significant trends and materials."
"School of Education","Graduate Education Courses","EDUC-E 553","The Teacher and Elementary School Organization","3 cr.","The structure and organization of the elementary school and the role of the teacher in its effective operation. For classroom teachers."
"School of Education","Graduate Education Courses","EDUC-G 504","Counseling Theory and Techniques II: Behavior and Family Systems","3 cr.","Analysis of major behavioral and family counseling theories emphasizing didactic and experimental activities designed to model application of processes, procedures, and techniques of behavior and family approaches to professional practice."
"School of Education","Graduate Education Courses","EDUC-G 507","Lifestyle and Career Development","3 cr.","Lifestyle and career development includes such areas as vocational choice theory, relationship between career choice and lifestyle, sources of occupational and educational information, approaches to career decision-making processes, and career development exploration techniques."
"School of Education","Graduate Education Courses","EDUC-H 520","Education and Social Issues","3 cr.","P: Graduate Standing. Identification and analysis of major problems set for education by the pluralistic culture of American society."
"School of Education","Graduate Education Courses","EDUC-J 500","Instruction in the Context of Curriculum","3 cr.","Extends concepts introduced in undergraduate teacher preparation. Topics include conceptions and definitions of curriculum and instruction; and their impact on social contexts, learning theories, and schooling practices. Elementary and secondary contexts are studied."
"School of Education","Graduate Education Courses","EDUC-J 501","Strategies for Teaching, Learning, and Curriculum","3 cr.","This course is required for the collaborative MS in Teaching, Learning, and Curriculum. Participants learn about research-based principles of learning and use them to design, deliver, and adapt instruction and curriculum for individuals with diverse learning needs.Â  Will focus on the interplay between teaching, learning and curriculum for applications across dynamic community contexts."
"School of Education","Graduate Education Courses","EDUC-J 630","Curriculum Theory and Practice","3 cr.","Explores fundamental dimensions of curriculum theory, such as: the social construction of knowledge, curriculum as cultural mindset, political reality, and scholarly discourse. Examines varied ideological orientations to curriculum studies. Introduces basic concepts of curriculum design and provides opportunities for curriculum development."
"School of Education","Graduate Education Courses","EDUC-K 505","Introduction to Special Education for Graduate Students","3 cr.","P: Graduate standing or consent of instructor. Basic special education principles for graduate students with no previous course work in special education."
"School of Education","Graduate Education Courses","EDUC-K 510","Assistive Technology in Special Education","3 cr.","Prepares future teachers with the knowledge required to integrate assistive technology into curricula for students with mild to moderate disabilities."
"School of Education","Graduate Education Courses","EDUC-K 535","Assessment/Remediation of Mildly Handicapped I","3 cr.","Emphasizes the collection and use of formal and informal assessment information for designing the content of individual educational plans for handicapped children in such academic areas as reading and mathematics."
"School of Education","Graduate Education Courses","EDUC-K 548","Families, School and Society","3 cr.","The course focuses on the family as a system and discusses the impact of disabilities on the daily lives of family members. Historical, legal and ethical perspectives on family involvement and empowerment are explored. Approaches for providing services to families with members who are developmentally disabled, chronically ill, at risk or who have other types of impairments also are presented."
"School of Education","Graduate Education Courses","EDUC-K 553","Classroom Management","3 cr.","Surveys principles of behavior management as they pertain to educational environments. Students will learn how to define, observe, measure, record, and change academic and social behavior."
"School of Education","Graduate Education Courses","EDUC-K 563","Diagnosis and Remediation of Learning Disabilities","3 cr.","This course is designed to promote understanding of what constitutes a learning disability, how classroom teachers can accommodate, adapt and modify assignments to meet the needs of students with special needs, and what the presence of a learning disability means for identified students, their families, and their teachers.Â  Causes of learning disabilities, the development of students with learning disabilities, assessment of learning disabilities, and planning appropriate instruction and behavior interventions for students with learning disabilities will be addressed."
"School of Education","Graduate Education Courses","EDUC-K 565","Collaboration & Service Delivery","3 cr.","Reviews methods of implementing service delivery systems; consulting with professionals and parents; designing in-service training programs; and developing referral systems, curricular and personnel resources, and evaluation techniques used in special education programs."
"School of Education","Graduate Education Courses","EDUC-M 550","Practicum: (variable title)","1-8 cr.","Grade: S or F. Teaching or experience in an accredited school, normally in Indiana. Credit will be commensurate with time spent in the instructional setting.Â Â"
"School of Education","Graduate Education Courses","EDUC-P 503","Introduction to Research","3 cr.","Methods and procedures in educational research."
"School of Education","Graduate Education Courses","EDUC-P 507","Assessment in Schools","3 cr.","P: Graduate Standing. 


Introductory assessment course for teachers and school administrators. Topics include principles of assessment, formal and informal classroom assessment instruments and methods, formative and summative assessment, interpretation and use of standardized test results, social and political issues in assessment, use of student data bases in schools."
"School of Education","Graduate Education Courses","EDUC-P 510","Psychology in Teaching","3 cr.","Basic study of psychological concepts and phenomena in teaching. An analysis of representative problems and the teacherâs assumptions about human behavior and its development. This course is intended for those working toward the masterâs degree and who currently are or are planning to be classroom teachers."
"School of Education","Graduate Education Courses","EDUC-P 514","Life Span Development: Birth to Death","3 cr.","A survey course of human development from infancy through old age, emphasizing the life span perspective of development. Classical stage theorists, current popular conceptions, major research findings, and educational implications for all life stages from birth to death."
"School of Education","Graduate Education Courses","EDUC-P 570","Behavior Problems in the Public Schools","3 cr.","For teachers, administrators, psychologists, case workers, and others concerned with the adjustment of children in school. Recognition of behavioral symptoms indicative of the need for special attention; role and methods used in dealing with behavioral problem children."
"School of Education","Graduate Education Courses","EDUC-Q 528","Demonstration and Field Strategies in Science","1-6 cr.","Identification, selection, design, implementation, and evaluation of demonstrations and field trips. Strategies in science for elementary, middle school, junior high, and secondary school teachers."
"School of Education","Graduate Education Courses","EDUC-Q 540","Teaching Environmental Education","3 cr.","For elementary and secondary teachers. Basic principles of environmental/conservation education stressed in grades K-12. Methods and techniques for integrating these principles into existing curricula. Designed for the development and evaluation of new interdisciplinary teaching materials."
"School of Education","Graduate Education Courses","EDUC-S 503","Secondary School Education","3 cr.","Designed to provide an overview for the teacher of the basic theories underlying the secondary school curriculum, as well as an examination of the subject areas, problems, trends, challenges for the future and significant research in the field."
"School of Education","Graduate Education Courses","EDUC-S 504","Introduction to Stem Teaching","3 cr.","An introduction to the foundational principles necessary to create a student-centered, inquiry-based learning environment. Students will identify and evaluate their preconceptions about classroom teaching and reflect on the following: Why do we teach STEM? What does quality STEM instruction look like? What are the implicit and explicit messages conveyed by the teacher?"
"School of Education","Graduate Education Courses","EDUC-S 505","The Junior High and Middle School","3 cr.","Role of the junior high school and middle school in American education. Total program: philosophy, functions, curriculum, guidance, activities, personnel, and administration."
"School of Education","Graduate Education Courses","EDUC-S 507","The Teacher and Secondary School Organization","3 cr.","For teachers and administrators. Functions of school personnel, organization of professional and lay people for a more effective school program, professional leadership, lay participation, and effective personnel organization."
"School of Education","Graduate Education Courses","EDUC-S 514","Advanced Study in the Teaching of Reading in the Junior High and Secondary School","3 cr.","The developmental reading program in junior high and secondary schools; use of reading in various curriculum areas, appraisal of reading abilities, and techniques and materials for helping reluctant and retarded readers."
"School of Education","Graduate Education Courses","EDUC-S 530","Junior High and Middle School Curriculum","3 cr.","The educational program designed for the junior high and middle school. Functions, organization, planning, and evaluation of the junior high and middle school curriculum in specific areas."
"School of Education","Graduate Education Courses","MATH-T 620","Topics in Topology/Geometry","3 cr.","Required course for the Graduate Certificate in Math-Online collaborative. Students will develop graduate-level knowledge in essential concepts of Topology/Geometry including topics in Euclidean and non-Euclidean Geometry, Point set topology, Differential Topology, Differential Geometry, and other topics in Topology/Geometry."
"School of Education","Graduate Education Courses","EDUC-W 505","Multimedia in the Classroom","3 cr.","Intended to equip teachers and administrators with confidence when using the myriad of technology tools available for educators. Skills covered include: scanning, digital camera photography, video capture, creating slide shows, developing web pages, and audio capture."
"School of Education","Graduate Education Courses","EDUC-W 590","Individual Research in Computer Education","1-6 cr.","P: EDUC-Y 510 (Action Research 1) Individual study or research for students exploring issues in educational technology. To be arranged with a technology faculty member in advance of registration. A one- or two-page written proposal should be submitted to the instructor during the first week of the term specifying the scope of the project, project activities, meeting times, completion date, and student product(s). Ordinarily W590 will not be used for the study of material taught in a regularly scheduled course."
"School of Education","Graduate Education Courses","EDUC-X 501","Critical Reading in Content Areas","3 cr.","P: Graduate Standing 


Analyzes and applies to reading various theories and models of thinking; presents teaching/learning strategies for developing critical reading; evaluates instructional materials and methodologies designed to foster critical reading."
"School of Education","Graduate Education Courses","EDUC-X 504","Diagnosis of Reading Difficulties in the Classroom","3 cr.","P: Graduate standing. Treats the theory, correlates, instruments, and techniques of diagnosing reading difficulties in the classroom."
"School of Education","Graduate Education Courses","EDUC-X 530","Topical Workshop in Reading","3 cr.","Individual and group study of special topics in the field of reading. Means for improving the teaching of reading. One credit hour is offered for each week of full-time work."
"School of Education","Graduate Education Courses","EDUC-Y 520","Strategies for Educational Inquiry","3 cr.","Methods and procedures in educational research. The primary purpose of this course is to introduce students to the basics of educational research, principally as it occurs in and is applied to practical, classroom settings. Course design will include lecture and discussions, independent study, individual conferences/ tutorials with the instructor, and student-led presentations related to proposed research projects."
"School of Education","Graduate Education Courses","EDUC-Y 595","Educational Inquiry: Authentic Application","3 cr.","P: Graduate standing.  Application of methods and procedures in educational research. The primary purpose of this course is to apply educational inquiry strategies and skills learned in EDUC-Y 520 Strategies for Educational Inquiry. Course design will include lecture and discussions, independent study, individual conferences/tutorials with the instructor, and student-led presentations related to completed research projects."
"School of Education","Graduate Education Courses","EDUC-J 500","Instruction in Context of Curriculum","3 cr.","Online Collaborative Course. First course for the Master's degree in Curriculum & Instruction. Extends concepts introduced in undergraduate teacher preparation. Topics include conceptions and definitions of curriculum and instruction and their impact on social contexts, learning theories, and schooling practices. Elementary and secondary contexts are studied."
"School of Education","Graduate Education Courses","EDUC-G 504","Counseling Theory and Techniques II","3 cr.","Analysis of major behavioral and family counseling theories emphasizing didactic and experimental activities designed to model application of process, procedures, and techniques of behavior and family approaches to professional practice."
"School of Education","Graduate Education Courses","EDUC-G 507","Lifestyle and Career Development","3 cr.","Lifestyle and career development includes such areas as vocational choice theory, relationship between career choice and lifestyle, sources of occupational and educational information, approaches to career decision-making processes, and career development exploration techniques."
"School of Humanities and Social Sciences","Communication and Culture","CMCL-C 545","Communication Pedagogy","3 cr.","Online Collaborative Course. Focuses on critical, theoretical, philosophical and strategic approaches to problems of pedagogy in communication and culture."
"School of Humanities and Social Sciences","Communication and Culture","CMCL-C 592","Advanced Health Communication","3 cr.","Online Collaborative Course. A course designed to teach communication skills and practices related to health care, by examining health care communication theory. Topics covered range across communication levels (interpersonal, intrapersonal, group, organizational, mass media & mediated communication) within a variety of health care contexts."
