"department","description","course_code","course_name","credits"
"AASP - African American Studies","Through a review and analysis of classic texts of Black intellectuals, artists, writers, and activists, students will examine the compelling themes in African American life and scholarship. Restriction:Permission of BSOS-African American Studies department.","AASP611","Classic Texts and Contemporary Issues","3 Credits"
"AASP - African American Studies","This course explores the role of race in social policy formation and emphasizes the importance of both political institutions and economic relations as determinants of the policy making process and context. Restriction:Permission of BSOS-African American Studies department.","AASP621","Public Policy and Black Communities","3 Credits"
"AAST - Asian American Studies","Examines the intersection of gender, race and class as it relates to Asian American women in the United States; how institutionalized cultural and social statuses of gender, race, ethnicity and social class produce and reproduce inequality with implications for Asian Americans and the broader society. Cross-listed with:WGSS420.","AAST420","Asian American Women: The Social Construction of Gender","3 Credits"
"AAST - Asian American Studies","Using Asian Pacific Americans as a case study, this course will analyze the development of public policy in America. Each week, topics such as community development, voting rights, and the movement to redress the wartime internment of Japanese Americans will serve as backdrops for discussion. We will explore the policy-making roles of legislators, judges, local and national political leaders, journalists, writers, unions, social movements, and community organizations. Cross-listed with:AMST418N.","AAST421","Asian American Public Policy","3 Credits"
"AAST - Asian American Studies","Examines Asian/American cultural production along with theories of gender and sexuality in the field of Asian American Studies. We consider how Asian American femininities/masculinities are conceived and circulated, drawing from a diverse selection of twentieth-century and contemporary texts, films and images that connect Asian American bodies to ideas of absence, danger, inscrutability, hyper- or hypo-sexuality, and virulence. Beginning with early to mid-twentieth century representations, the course attends to theories that clarify the contested relationship between the East/West and Asia/U.S. Also examined are the methods through which bodies differentiated by sex, gender, and race are managed, surveilled, and rehabilitated, with close attention to the enduring legacies of American expansionism and conquest, anti-immigration policies in the U.S., and twentieth-century wars and occupations in Asia. The course engages Women of Color feminisms, queer theory, and disability studies. Credit Only Granted for:AAST498G orAAST422.","AAST422","Asian American Women and Gender","3 Credits"
"AAST - Asian American Studies","Encourages sociological thinking about US racial and ethnic minority populations, with a focus on African Americans, Latinos, Asian Americans, and Native Americans. The central concern is to understand and explain racial/ethnic inequality. A wide array of topics are discussed, including prejudice and discrimination, slavery, residential segregation, cultural inequality, skin tone stratification, economic and educational disparities, and assimilation/generational processes. Prerequisite:6 credits in SOCY courses; or permission of the Sociology department.","AAST424","Sociology of Race Relations","3 Credits"
"AAST - Asian American Studies","Examines writing by South Asian American authors and authors writing about South Asian American issues. It explores major South Asian diaspora themes, considering how migration, war, the events of 9/11, global capitalism, and the changing socio-political and racial scene have affected South Asians in the United States. We will use a transnational approach to consider how writers and filmmakers explore gender, class, religious, caste, and other differences amongst South Asian Americans. We will also examine the place of South Asian Americans in relation to other Asian American populations. We will consider how South Asian American texts disrupt traditional literary classifications based on national identities by reflecting the complex global conditions, imperialistic and capitalistic expansion, and interconnectedness of peoples, nations, and cultures that have transformed American literature and conceptions of American identity. Credit Only Granted for:AAST440or AAST498W.","AAST440","South Asian American Literature and Culture","3 Credits"
"AAST - Asian American Studies","Students will gain a greater understanding of 1) the role of Asian Americans in US politics, 2) the political attitudes and behaviors of Asian Americans and 3) how to conduct research on Asian American politics. Though the class will concentrate on Asian Americans, issues related to Asian American politics will be examined within the larger context of America's multicultural political landscape. Cross-listed with:AMST498J,GVPT368C.","AAST443","Asian American Politics","3 Credits"
"AAST - Asian American Studies","Advanced study of the cultural and historical antecedents of contemporary Asian American society. Emphasis on the social, political, economic, and behavioral factors affecting Asian Americans and their communities. Repeatable to:6 credits if content differs.","AAST498","Advanced Topics in Asian American Studies","3 Credits"
"AAST - Asian American Studies","Under the supervision of faculty, research regarding a specific topic of the Asian American experience will be completed. Prerequisite:AAST201andAAST200.","AAST499","Senior Thesis","3 Credits"
"AGNR - Agriculture and Natural Resources","Credit according to time scheduled and organization of the course. A lecture series organized to study in depth a selected phase of agriculture not normally associated with one of the existing programs. Restriction:Permission of AGNR-College of Agriculture & Natural Resources.","AGNR489","Field Experience","1-4 Credits"
"AGNR - Agriculture and Natural Resources"," Formerly:AGRI499.","AGNR499","Special Problems","1-3 Credits"
"AGNR - Agriculture and Natural Resources","Second semester. Analysis of community agricultural education needs, selection and organization of course content, criteria and procedures for evaluating programs. Formerly:AGRI606.","AGNR606","Program Planning and Evaluation in Agricultural Education","2-3 Credits"
"AGNR - Agriculture and Natural Resources","The teaching/learning process in adult continuing education. Instructional techniques and methodologies appropriate for adults. The curriculum development process. Issues and priorities in adult continuing education. Formerly:AGRI630.","AGNR630","Teaching-Learning in Adult and Continuing Education","3 Credits"
"AGNR - Agriculture and Natural Resources","Communities as social systems composed of organizations which interact in a system of cultural institutions, norms, and values. Functional and structural linkages between organizations within as well as outside the community; rural vs. urban similarities and differences; and the role of the social processes such as competition, cooperation and conflict in the context of community power and leadership structure. Formerly:AGRI661.","AGNR661","Rural Community Analysis","3 Credits"
"AGNR - Agriculture and Natural Resources"," Formerly:AGRI699.","AGNR699","Special Problems","1-3 Credits"
"AGNR - Agriculture and Natural Resources"," Repeatable to:9 credits if content differs.","AGNR789","Special Topics","1-3 Credits"
"AGNR - Agriculture and Natural Resources","Problems in the organization, administration, and supervision of the several agencies of rural and/or vocational education. Repeatable to:8 credits if content differs.","AGNR798","Seminar in Rural Education","1-3 Credits"
"AGNR - Agriculture and Natural Resources"," Formerly:AGRI799.","AGNR799","Master's Thesis Research","1-6 Credits"
"AGNR - Agriculture and Natural Resources","Apprenticeships in the major area of study are available to selected students whose application for an apprenticeship has been approved by the education faculty. Each apprentice is assigned to work for at least a semester full-time or the equivalent with an appropriate agency. The sponsor of the apprentice maintains a close working relationship with the apprentice and the other persons involved. Prerequisite:Must have completed 6 credits in Education at the University of Maryland.","AGNR888","Apprenticeship in Education","1-8 Credits"
"AGNR - Agriculture and Natural Resources","Internships in the major area of study for experienced students who are assigned to an appropriate school system, educational institution, or agency in a situation different than that in which the student is regularly employed. Formerly:AGRI889.","AGNR889","Internship in Education","3-8 Credits"
"AGNR - Agriculture and Natural Resources"," Formerly:AGRI899.","AGNR899","Doctoral Dissertation Research","1-8 Credits"
"AGST - Agricultural Science and Technology","Did yeast create civilization? Fermented foods have played a major role in the transition from nomadic to settled agrarian societies, the establishment of social and religious customs, the expansion of empires, and modern economies. To what extent are our past and current attitudes towards fermented foods rooted in historical and cultural imprints? Explore the central role of fermentation in human history and culture, the basic microbiological processes underlying fermentation processes, and the processes used to produce and distribute fermented foods. Find out how the fruits, grains, and dairy products used to produce fermented foods are grown and selected. Students will learn about the development and modern use of fermented dairy products, pickles, bread, tea, chocolate, wine, beer, distilled liquors, and pharmaceutical/manufactured products. Recommended:CHEM103,CHEM131,CHEM135, orCHEM146.","AGST130","Did Yeast Create Civilization?","3 Credits"
"AGST - Agricultural Science and Technology","An in-depth discussion of chemistry targeted to students enrolled in plant and animal management curricula offered in AGNR. Covers the nomenclature and basic functional groups in organic chemistry, natural products and pesticides. Current practices of crop, agriculture and environmental management and genetic engineering also discussed. Prerequisite:Minimum grade of C- inCHEM131andCHEM132; and minimum grade of C- in (PLSC110and PLSC11) or (PLSC112andPLSC113) or (BSCI160andBSCI161) or (BSCI170andBSCI171).","AGST275","Fundamentals of Agricultural and Environmental Chemistry","3 Credits"
"AGST - Agricultural Science and Technology","From soda to wine, a scientific introduction to ""crafty beverage crops"". Students will expand their horticulture knowledge and gain an appreciation for craft beverages and the plants that made them. Topics include history, biology, production and management techniques, harvest, storage and market potential for crafty beverage crops. Recommended:PLSC110orPLSC112; or 1 course in BSCI, BCHM, BIOL.","AGST333","Crafty Beverage Crops","3 Credits"
"AGST - Agricultural Science and Technology","An experiential learning course with a focus on non-formal agricultural education. This is a supervised learning experience within a career focused environment to assist in refinement of a student's career interests prior to graduation. Restriction:Permission of the instructor.","AGST389","Internship in Agricultural Education","1-3 Credits"
"AGST - Agricultural Science and Technology","A problem based learning course with a focus on class or group based research projects in Agricultural Science and Technology with a focus on addressing outreach targeted needs. Restriction:Permission of the instructor.","AGST399","Special Problems in Agricultural Science & Technology","1-3 Credits"
"AGST - Agricultural Science and Technology","Focuses on the study of the agronomic principles and practices required for the production of food, feed, fiber and fuel crops. This is a project-based course where students will develop a farm plan from knowledge gained in previous courses and built upon in this course. Students will learn to integrate data and information from many sources in order to build and operate a successful and sustainable agronomic farm operation using current and new technology. The use of farm management software will be an integral part of the course and farm project. Prerequisite:PLSC112,PLSC113,BSCI160,BSCI161, andMATH113or higher.","AGST400","Advanced Crop Science","3 Credits"
"AGST - Agricultural Science and Technology","Provides students with basic skills needed to safely operate and maintain farm equipment, such as tractors and implements used in agronomic production. Students will receive introductory background training in the basic safety and operation of tractors through hands-on learning. Emphasis will also be placed on the mechanical functioning of equipment and the functional similarities and differences between gasoline (two-stroke and four-stroke) and diesel engines as well as electric motors as they relate to farm equipment (mobile and stationary). This knowledge will be used to teach students to safely perform basic care and maintenance of different tractor types as well as various implements. Students will also learn basic implement connection and disconnection, including the safe use of implements that employ a power take-off unit. Included in the course will be an introduction to the equipment and use of satellite navigation systems used in agronomic production. Prerequisite:PLSC112andPLSC113;MATH113or higher MATH course; and must have completed or be concurrently enrolled inAGST400.","AGST401","Tractor and Equipment Operation, Safety and Maintenance","1 Credit"
"AGST - Agricultural Science and Technology","Explore methods in pedagogy, andragogy, and heutagogy to facilitate science learning through the development of a teaching philosophy, outreach teaching skills, motivation in learning, assessment foundations, and review of current literature on instruction in science fields. Credit Only Granted for:AGST426or PLSC489L.","AGST426","Scientists Teaching and Translating Science","3 Credits"
"AGST - Agricultural Science and Technology","Explore the mission and history of the Land Grant System as well as current work conducted through the University of Maryland to extend research to citizens. Often referred to as America in miniature, Maryland boasts diverse people, agricultural practices, cultures, and ecosystems which students will examine to perceive the decision making processes within and across ecological systems as well as the development of advisory boards. ","AGST440","Exploring Maryland Agriculture, Agricultural Industry, and Agricultural Literacy","3 Credits"
"AGST - Agricultural Science and Technology","Selected novel topics of study in Agricultural Science & Technology (AGST). Restriction:Permission of the instructor.","AGST489","Special Topics in Agricultural Science and Technology","1-3 Credits"
"AGST - Agricultural Science and Technology","An inquiry based learning course with individualized projects designed by student and faculty focused on: research or advanced learning experiences in Agricultural Science and Technology including field, greenhouse, laboratory, educational site, travel abroad and/or library studies. Conducted under the direction of a faculty member. Restriction:By permission of instructor.","AGST499","Independent Studies in Agricultural Science and Technology","1-3 Credits"
"AGST - Agricultural Science and Technology","An advanced research focused course on examining the mission and history of the Land Grant System as well as appraising the current work conducted through the University of Maryland Extension to extend research to citizens. Often referred to as America in miniature, Maryland boasts diverse people, agricultural practices, cultures, and ecosystems which students will examine to perceive the decision making processes within and across ecological systems. An enriching field practicum with an agricultural agency is required. ","AGST640","Analysis of Maryland Agriculture","3 Credits"
"AGST - Agricultural Science and Technology","Selected advanced novel topics of study in Agricultural Science and Technology (AGST). Restriction:Permission of the instructor.","AGST689","Special Topics in Agricultural Science and Technology","1-3 Credits"
"AGST - Agricultural Science and Technology","Development of a terminal thesis on a problem in extension education, designed to demonstrate comprehensive skills and knowledge achieved in the graduate program. The subject will be selected in consultation with an advisor and periodically reviewed with a committee headed by the advisor. Restriction:Permission of instructor.","AGST799","Master's Thesis Research","1-6 Credits"
"AMSC - Applied Mathematics & Scientific Computation","The course will develop skills in data-driven mathematical modeling through individual and group projects. Emphasis will be placed on both analytical and computational methods, and on effective oral and written presentation of results. Prerequisite:1 course with a minimum grade of C- from (MATH240,MATH461,MATH341); and 1 course with a minimum grade of C- from (MATH241,MATH340); and 1 course with a minimum grade of C- from (MATH246,MATH341); and 1 course with a minimum grade of C- from (STAT400,STAT410); and 1 course with a minimum grade C- from (CMSC106,CMSC131).","AMSC420","Mathematical Modeling","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","An introduction to mathematical dynamics and chaos. Orbits, bifurcations, Cantor sets and horseshoes, symbolic dynamics, fractal dimension, notions of stability, flows and chaos. Includes motivation and historical perspectives, as well as examples of fundamental maps studied in dynamics and applications of dynamics. Prerequisite:MATH341; orMATH246and one of (MATH240orMATH461).","AMSC452","Introduction to Dynamics and Chaos","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Basic computational methods for interpolation, least squares, approximation, numerical quadrature, numerical solution of polynomial and transcendental equations, systems of linear equations and initial value problems for ordinary differential equations. Emphasis on methods and their computational properties rather than their analytic aspects. Intended primarily for students in the physical and engineering sciences. Prerequisite:1 course with a minimum grade of C- from (MATH240,MATH341,MATH461); and 1 course with a minimum grade of C- from (MATH241,MATH340); and 1 course with a minimum grade of C- from (CMSC106,CMSC131); and minimum grade of C- inMATH246.","AMSC460","Computational Methods","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Floating point computations, direct methods for linear systems, interpolation, solution of nonlinear equations. Prerequisite:1 course with a minimum grade of C- from (MATH240,MATH341,MATH461); and 1 course with a minimum grade of C- from (MATH241,MATH340); and 1 course with a minimum grade of C- from (CMSC106,CMSC131); and minimum grade of C- inMATH410.","AMSC466","Introduction to Numerical Analysis I","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Topics in applied mathematics of special interest to advanced undergraduate students. Repeatable to:6 credits if content differs.","AMSC498","Selected Topics in Applied Mathematics","1-3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Modern numerical methods for solving unconstrained and constrained nonlinear optimization problems in finite dimensions. Design of computational algorithms and the analysis of their properties. Prerequisite:MATH410or equivalent; or permission of instructor.","AMSC607","Advanced Numerical Optimization","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Fundamental techniques in scientific computation with an introduction to theory and software for each topic. Computer numbers and sources of errors, numerical linear algebra, optimization, and Monte Carlo methods. Prerequisite:Must have knowledge of Matlab or Python.","AMSC660","Scientific Computing I","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Numerical methods for solving ordinary and partial differential equations (elliptic, parabolic, hyperbolic, and dispersive): motivation, analysis, and implementation. Finite difference methods, finite element methods, Fourier and Chebyshev spectral methods, and meshless methods. Prerequisite:Must have knowledge of Matlab or Python. Must have basic knowledge of ordinary and partial differential equations (MATH246andMATH462or equivalent, or permission of instructor).","AMSC661","Scientific Computing II","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","This course presents fundamental issues of computer hardware, software parallel computing, and scientific data management for programming for scientific computation. Prerequisite:Must have Knowledge of C or Fortran.","AMSC662","Computer Organization and Programming for Scientific Computing","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","In the sequence Advanced Scientific Computing I & Advanced Scientific Computing II, (CMSC663/CMSC663andAMSC664/CMSC664, respectively) students work on a year-long individual project to develop software for a scientific task in a high performance computing environment. Lectures will be given on available computational environments, code development, implementation of parallel algorithms. Prerequisite:AMSC660orCMSC660; and (AMSC661orCMSC661).","AMSC663","Advanced Scientific Computing I","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","In the sequence Advanced Scientific Computing I & Advanced Scientific Computing II, (AMSC663/CMSC663andCMSC664/CMSC664, respectively) students work on a year-long individual project to develop software for a scientific task in a high performance computing environment. Lectures will be given on available computational environments, code development, implementation of parallel algorithms. Prerequisite:AMSC663orCMSC663.","AMSC664","Advanced Scientific Computing II","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Approximation theory, numerical solution of initial-value problems, iterative methods for linear systems, optimization. Prerequisite:CMSC466orAMSC466; andMATH410.","AMSC666","Numerical Analysis I","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Existence and uniqueness, linear systems usually with Floquet theory for periodic systems, linearization and stability, planar systems usually with Poincare-Bendixson theorem. Prerequisite:MATH405.","AMSC670","Ordinary Differential Equations I","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","The content of this course varies with the interests of the instructor and the class. Stability theory, control, time delay systems, Hamiltonian systems, bifurcation theory, and boundary value problems. Prerequisite:MATH630.","AMSC671","Ordinary Differential Equations II","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Analysis of boundary value problems for Laplace's equation, initial value problems for the heat and wave equations. Fundamental solutions, maximum principles, energy methods. First order nonlinear PDE, conservation laws. Characteristics, shock formation, weak solutions. Distributions, Fourier transform. Prerequisite:MATH411; or students who have taken courses with comparable content may contact the department.","AMSC673","Partial Differential Equations I","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Boundary value problems for elliptic partial differential equations via operator-theoretic methods. Hilbert spaces of functions. Duality, weak convergence. Sobolev spaces. Spectral theory of compact operators. Eigenfunction expansions. Prerequisite:MATH673orAMSC673; or permission of instructor.","AMSC674","Partial Differential Equations II","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","The students participate in a vertically integrated (undergraduate, graduate and/or postdoctoral, faculty) research group. Format varies, but includes regular meetings, readings and presentations of material. See graduate program's online syllabus or contact the graduate program director for more information. Restriction:Permission of instructor.","AMSC689","Research Interactions in Applied Mathematics and Scientific Computation","1-3 Credits"
"AMSC - Applied Mathematics & Scientific Computation"," Repeatable to:99 credits if content differs.","AMSC698","Advanced Topics in Applied Mathematics","1-4 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Seminar to acquaint students with a variety of applications of mathematics and to develop skills in presentation techniques. Repeatable to:99 credits if content differs.","AMSC699","Applied Mathematics Seminar","1-3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Topics include: Maximum principle, finite difference method, upwinding, error analysis; Variational formulation of elliptic problems, inf-sup theory; The finite element method and its implementation; Piecewise polynomial interpolation theory in Sobolev spaces; A priori and a posteriori error analyses, adaptivity; Fast solvers; Variational crimes; Mixed finite element methods. Prerequisite:One graduate level course in partial differential equations or one graduate level course in numerical analysis or scientific computing; or permission of instructor.","AMSC714","Numerical Methods For Stationary PDEs","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Topics include: Heat and wave equations: maximum principle, energy methods and Sobolev spaces, finite difference and finite element methods, von Neumann analysis, stability and error estimates;Linear first order PDEs: upwinding and monotone schemes, finite difference, finite volume, and discontinuous Galerkin methods; Nonlinear conservation laws: weak solutions and entropy conditions,monotone methods. Prerequisite:Permission of instructor; or one graduate level course in partial differential equations or one graduate level course in numerical analysis or scientific computing.","AMSC715","Numerical Methods for Evolution Partial Differential Equations","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Foundational principles for modeling and analysis of real-life phenomena in population biology. Topics include design and analysis of models for general classes of unstructured (single species discrete-time and continuous-time, interacting populations etc.) and structured (spatially-structured, age- structured, sex-structured) population biology models in ecology and epidemiology, dynamics analysis of population biology models (asymptotic stability and bifurcation theory), numerical discretization of continuous-time models, statistical analysis (parameter estimation, uncertainty quantification). Prerequisite:Calculus, differential equations, modeling, linear algebra, familiarity with mathematical software and programming languages (e.g., MATLAB, R, Python etc.); or permission of instructor.","AMSC721","Mathematical Population Biology","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","A semester long applied applied statistical project (a minimum 10 hours per week or 120 hours in total), in an internship of collaborative research-laboratory setting working on a substantive applied quantitative project with significant statistical content. Prerequisite:Must have completed one year of graduate study in Applied Statistics.","AMSC760","Applied Statistics Practicum","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Seminar taught once yearly on a rotating basis by faculty engaged in the Applied Statistics area. Required of AMSC Applied Statistics area doctoral students within one year following the completion of their practicum project,AMSC760, and open only to Applied Statistics Area students. The seminar will include sessions on presentation skills, but will consist primarily of oral presentations of students' past Practicum project results. Students attend throughout the term, give one talk (at least 1/2 hour). Recommended:STAT700orSTAT701; and (STAT740orSTAT741).","AMSC761","Applied Statistics Seminar","1 Credit"
"AMSC - Applied Mathematics & Scientific Computation","This course cannot be used to meet any of the Applied Statistics Area's seminar requirements. Offered yearly, required of and limited to MS non-thesis and doctoral students in Applied Statistics Area, for whom the resulting projects serve as a Qualifying Exam component. After 5-6 lectures or presentations on components of successful data analyses and write-ups, 3-4 sessions will discuss previous student project submissions. The culminating project, to be completed in a two week period between semesters, is an analysis and written report of one of three project choices made available each year to represent a spectrum of realistic applied statistical problems. Restriction:Permission of CMNS-Applied Mathematics department; and permission of instructor.","AMSC762","Data Analysis Project","1 Credit"
"AMSC - Applied Mathematics & Scientific Computation","Advanced topics in numerical linear algebra, such as dense eigenvalue problems, sparse elimination, iterative methods, and other topics. Prerequisite:AMSC666orCMSC666; or permission of instructor.","AMSC763","Advanced Linear Numerical Analysis","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Modern numerical methods for solving unconstrained and constrained nonlinear optimization problems in finite dimensions. Design of computational algorithms and the analysis of their properties. Prerequisite:MATH410; or permission of instructor. Cross-listed with C MSC764.","AMSC764","Advanced Numerical Optimization","3 Credits"
"AMSC - Applied Mathematics & Scientific Computation"," ","AMSC799","Master's Thesis Research","1-6 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Advanced topics of current interest. Restriction:Permission of instructor.","AMSC808","Advanced Topics in Applied Mathematics","1-3 Credits"
"AMSC - Applied Mathematics & Scientific Computation","Advanced topics of current interest. Restriction:Permission of instructor.","AMSC819","Applied Mathematics Seminar","1-3 Credits"
"AMSC - Applied Mathematics & Scientific Computation"," ","AMSC898","Pre-Candidacy Research","1-8 Credits"
"AMSC - Applied Mathematics & Scientific Computation"," ","AMSC899","Doctoral Dissertation Research","1-8 Credits"
"AMST - American Studies","Examination of structure and development of American culture through themes such as ""growing up American,"" ""culture and mental disorders,"" ""race,"" ""ethnicity,"" ""regionalism,"" ""landscape,"" and ""humor."" Repeatable to:6 credits if content differs.","AMST418","Cultural Themes in America","3 Credits"
"AMST - American Studies","Using Asian Pacific Americans as a case study, this course will analyze the development of public policy in America. Each week, topics such as community development, voting rights, and the movement to redress the wartime internment of Japanese Americans will serve as backdrops for discussion. We will explore the policy-making roles of legislators, judges, local and national political leaders, journalists, writers, unions, social movements, and community organizations. Cross-listed with:AAST421.","AMST418N","Asian American Public Policy","3 Credits"
"AMST - American Studies","Explores how representations of various geographic spaces in American film impact our understanding of community, identity, and place. In particular, we will think about how these spaces are culturally produced and changeable rather than static. The same space can hold diverse meanings for various groups of people and how such a space is represented in film is often wrapped up with issues of power, the reinforcement of stereotypes, and the creation of self/other dichotomies. By analyzing a variety of narrative, documentary, major studio, and independent films, we will seek to understand how American films' representations of rural, urban, and suburban spaces both reflect, contradict, and often influence our lived experiences of these spaces; in other words, this course will examine how the ""reel"" intersects with the ""real"". Credit Only Granted for:AMST418K orAMST425.","AMST425","Film and American Landscape","3 Credits"
"AMST - American Studies","Investigation of a decade, period, or generation as a case study in significant social change within an American context. Case studies include ""Antebellum America, 1840-1860"" and ""American culture in the Great Depression."" Repeatable to:6 credits if content differs.","AMST428","American Cultural Eras","3 Credits"
"AMST - American Studies","Topics in popular culture studies, including the examination of particular genres, themes, and issues. Repeatable to:6 credits if content differs.","AMST429","Perspectives on Popular Culture","3 Credits"
"AMST - American Studies","Developments in theories and methods of American Studies scholarship, with emphasis upon interaction between the humanities and the social sciences in the process of cultural analysis and evaluation. Prerequisite:AMST201 andAMST340; and 1 course in AMST.","AMST450","Seminar in American Studies","3 Credits"
"AMST - American Studies","Topics of special interest. Repeatable to:9 credits if content differs.","AMST498","Special Topics in American Studies","3 Credits"
"AMST - American Studies","Students will gain a greater understanding of 1) the role of Asian Americans in US politics, 2) the political attitudes and behaviors of Asian Americans and 3) how to conduct research on Asian American politics. Though the class will concentrate on Asian Americans, issues related to Asian American politics will be examined within the larger context of America's multicultural political landscape. Cross-listed with:AAST443,GVPT368C.","AMST498J","Asian American Politics","3 Credits"
"AMST - American Studies","Provides the student with the opportunity to pursue independent, interdisciplinary research and reading in specific areas of American culture studies. Restriction:Permission of ARHU-American Studies department; and must be in American Studies program.","AMST499","Independent Studies","1-3 Credits"
"AMST - American Studies","Explores the formative literature, theories, research approaches, and history of American Studies. Restriction:Must not be a Graduate Advanced Special Student.","AMST601","Introductory Theories and History in American Studies","3 Credits"
