"course_code","course_title","department","description","credits","level"
"AD LDSP 297","Study Abroad:","Administrative Leadership (AD LDSP)","Designed to enroll students in UWM sponsored program before course work level, content, and credits are determined and/or in specially prepared program course work. Prerequisites:cons instr; acceptance for Study Abroad Prog. Course Rules:May be retaken w/chg in topic. ","1-12"," Undergraduate"
"AD LDSP 497","Study Abroad:","Administrative Leadership (AD LDSP)","Designed to enroll students in UWM sponsored program before course work level, content, and credits are determined and/or in specially prepared program course work. Prerequisites:jr st; cons instr; acceptance for Study Abroad Prog. Course Rules:May be retaken w/chg in topic. ","1-12"," Undergraduate/Graduate"
"AD LDSP 497G","Study Abroad:","Administrative Leadership (AD LDSP)","Designed to enroll students in UWM sponsored program before course work level, content, and credits are determined and/or in specially prepared program course work. Prerequisites:jr st; cons instr; acceptance for Study Abroad Prog. Course Rules:May be retaken w/chg in topic. ","1-12"," Undergraduate/Graduate"
"AD LDSP 507","Introduction to Group Leadership","Administrative Leadership (AD LDSP)","Concepts and theories of group and organizational leadership applied to problems of youth-serving organizations and student activities in secondary and post-secondary schools and colleges. Prerequisites:jr st. Last Taught:Fall 2019. ","3"," Undergraduate/Graduate"
"AD LDSP 507G","Introduction to Group Leadership","Administrative Leadership (AD LDSP)","Concepts and theories of group and organizational leadership applied to problems of youth-serving organizations and student activities in secondary and post-secondary schools and colleges. Prerequisites:jr st. Last Taught:Fall 2019. ","3"," Undergraduate/Graduate"
"AD LDSP 517","Introduction to Adult Education Practice","Administrative Leadership (AD LDSP)","Objectives, organization and practices of postsecondary programs of lifelong learning, adult and continuing education, and community and public service programs. Prerequisites:jr st. Last Taught:Fall 2016, Fall 2015. ","3"," Undergraduate/Graduate"
"AD LDSP 517G","Introduction to Adult Education Practice","Administrative Leadership (AD LDSP)","Objectives, organization and practices of postsecondary programs of lifelong learning, adult and continuing education, and community and public service programs. Prerequisites:jr st. Last Taught:Fall 2016, Fall 2015. ","3"," Undergraduate/Graduate"
"AD LDSP 537","Leadership and Management of Volunteer Programs","Administrative Leadership (AD LDSP)","Introduction to volunteers and organizations which utilize them. Course emphasizes practical application of leadership skills needed for effective management and training of volunteers. Prerequisites:jr st. Last Taught:Spring 2018, Spring 2016. ","3"," Undergraduate/Graduate"
"AD LDSP 537G","Leadership and Management of Volunteer Programs","Administrative Leadership (AD LDSP)","Introduction to volunteers and organizations which utilize them. Course emphasizes practical application of leadership skills needed for effective management and training of volunteers. Prerequisites:jr st. Last Taught:Spring 2018, Spring 2016. ","3"," Undergraduate/Graduate"
"AD LDSP 547","The Educational Dimensions of Practice with Older Adults","Administrative Leadership (AD LDSP)","Current problems, issues and research relating to the development and organization of educational programs for older adults. Prerequisites:jr st. Last Taught:Spring 2021, Spring 2019. ","3"," Undergraduate/Graduate"
"AD LDSP 547G","The Educational Dimensions of Practice with Older Adults","Administrative Leadership (AD LDSP)","Current problems, issues and research relating to the development and organization of educational programs for older adults. Prerequisites:jr st. Last Taught:Spring 2021, Spring 2019. ","3"," Undergraduate/Graduate"
"AD LDSP 557","Foundations and Philosophy of WTCS in Wisconsin","Administrative Leadership (AD LDSP)","History, philosophy, objectives, organization and legal bases for vocational education, with special emphasis given the movement in Wisconsin. Prerequisites:jr st or vocational teachers or cons instr. Last Taught:Spring 2014, Spring 2012. ","3"," Undergraduate/Graduate"
"AD LDSP 557G","Foundations and Philosophy of WTCS in Wisconsin","Administrative Leadership (AD LDSP)","History, philosophy, objectives, organization and legal bases for vocational education, with special emphasis given the movement in Wisconsin. Prerequisites:jr st or vocational teachers or cons instr. Last Taught:Spring 2014, Spring 2012. ","3"," Undergraduate/Graduate"
"AD LDSP 567","Supervision and Planning for Vocational and Technical Education","Administrative Leadership (AD LDSP)","Social, economic, philosophical, and historical foundations of career education. Exploration of past, present and projected models. Strategies for program selection, community involvement, evaluation and management. Prerequisites:jr st or cons instr. Last Taught:Fall 2013, Fall 2009. ","3"," Undergraduate/Graduate"
"AD LDSP 567G","Supervision and Planning for Vocational and Technical Education","Administrative Leadership (AD LDSP)","Social, economic, philosophical, and historical foundations of career education. Exploration of past, present and projected models. Strategies for program selection, community involvement, evaluation and management. Prerequisites:jr st or cons instr. Last Taught:Fall 2013, Fall 2009. ","3"," Undergraduate/Graduate"
"AD LDSP 577","Adult Literacy and Workforce Development","Administrative Leadership (AD LDSP)","Analyzes the problem of adult low literacy and its effects on work force development; presents alternative procedures for providing educational programs. Prerequisites:jr st. Last Taught:Spring 2012, Spring 2010. ","3"," Undergraduate/Graduate"
"AD LDSP 577G","Adult Literacy and Workforce Development","Administrative Leadership (AD LDSP)","Analyzes the problem of adult low literacy and its effects on work force development; presents alternative procedures for providing educational programs. Prerequisites:jr st. Last Taught:Spring 2012, Spring 2010. ","3"," Undergraduate/Graduate"
"AD LDSP 579","Current Topics in Administrative Leadership:","Administrative Leadership (AD LDSP)","Current problems, issues and research in administrative leadership and supervision and their implications for practitioners. Prerequisites:jr st. Last Taught:Fall 2011, Spring 2011. ","Course Rules:May be retaken w/chg in topic to max of 9",""
"AD LDSP 579G","Current Topics in Administrative Leadership:","Administrative Leadership (AD LDSP)","Current problems, issues and research in administrative leadership and supervision and their implications for practitioners. Prerequisites:jr st. Last Taught:Fall 2011, Spring 2011. ","Course Rules:May be retaken w/chg in topic to max of 9",""
"AD LDSP 581","Administration and Supervision in Early Childhood Programs","Administrative Leadership (AD LDSP)","Analyzes, from a quality perspective, the administrative roles and responsibilities of various early care and education programs, and the groups with whom they have relationships. Prerequisites:junior standing. Last Taught:Spring 2021. ","3"," Undergraduate/Graduate"
"AD LDSP 581G","Administration and Supervision in Early Childhood Programs","Administrative Leadership (AD LDSP)","Analyzes, from a quality perspective, the administrative roles and responsibilities of various early care and education programs, and the groups with whom they have relationships. Prerequisites:junior standing. Last Taught:Spring 2021. ","3"," Undergraduate/Graduate"
"AD LDSP 582","Operations Management in Early Childhood Programs","Administrative Leadership (AD LDSP)","An introduction to systems and operations theory. Students explore and apply management concepts, systems, policies, and procedures to improve the quality of programs and services. Prerequisites:junior standing;AD LDSP 581(P); or consent of instructor. Course Rules:AD LDSP 582andED POL 582are jointly offered and count as repeats of one another. Last Taught:Spring 2021, Summer 2019. ","3"," Undergraduate/Graduate"
"AD LDSP 582G","Operations Management in Early Childhood Programs","Administrative Leadership (AD LDSP)","An introduction to systems and operations theory. Students explore and apply management concepts, systems, policies, and procedures to improve the quality of programs and services. Prerequisites:junior standing;AD LDSP 581(P); or consent of instructor. Course Rules:AD LDSP 582andED POL 582are jointly offered and count as repeats of one another. Last Taught:Spring 2021, Summer 2019. ","3"," Undergraduate/Graduate"
"AD LDSP 583","Financial Management and Planning in Early Childhood Programs","Administrative Leadership (AD LDSP)","Identifies the principles of sound financial management and develops the ability to apply those principles to the financial planning and management of early childhood programs. Prerequisites:junior standing &AD LDSP 581(P); or consent of instructor. Last Taught:Spring 2021. ","3"," Undergraduate/Graduate"
"AD LDSP 583G","Financial Management and Planning in Early Childhood Programs","Administrative Leadership (AD LDSP)","Identifies the principles of sound financial management and develops the ability to apply those principles to the financial planning and management of early childhood programs. Prerequisites:junior standing &AD LDSP 581(P); or consent of instructor. Last Taught:Spring 2021. ","3"," Undergraduate/Graduate"
"AD LDSP 586","Administrative Seminar: Leadership in Early Childhood Programs","Administrative Leadership (AD LDSP)","Integrates and applies the concepts and skills acquired in the first five courses as demonstrated in the development of a major project by each student. Prerequisites:junior standing &AD LDSP 581(P);AD LDSP 582(P) orED POL 582(P);AD LDSP 583(P);ED POL 584(P); andCURRINS 585(P). Last Taught:Spring 2021, Fall 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 586G","Administrative Seminar: Leadership in Early Childhood Programs","Administrative Leadership (AD LDSP)","Integrates and applies the concepts and skills acquired in the first five courses as demonstrated in the development of a major project by each student. Prerequisites:junior standing &AD LDSP 581(P);AD LDSP 582(P) orED POL 582(P);AD LDSP 583(P);ED POL 584(P); andCURRINS 585(P). Last Taught:Spring 2021, Fall 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 587","Serving Multicultural and Special Needs Learners","Administrative Leadership (AD LDSP)","Examines the needs of multicultural and adult vocational special needs learners; explores strategies for revising instructional methods/approaches and program development. Prerequisites:jr st. Last Taught:Fall 2012, Fall 2010. ","3"," Undergraduate/Graduate"
"AD LDSP 587G","Serving Multicultural and Special Needs Learners","Administrative Leadership (AD LDSP)","Examines the needs of multicultural and adult vocational special needs learners; explores strategies for revising instructional methods/approaches and program development. Prerequisites:jr st. Last Taught:Fall 2012, Fall 2010. ","3"," Undergraduate/Graduate"
"AD LDSP 591","Early Childhood Leadership: The Personal Disposition of a Leader","Administrative Leadership (AD LDSP)","Leadership definitions and skills and the role of vision, emotional intelligence, resilience, optimism and reflective practice for successful early childhood leaders. Prerequisites:junior standing; completion of childcare credentials or consent of instructor. Last Taught:Fall 2020, Spring 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 591G","Early Childhood Leadership: The Personal Disposition of a Leader","Administrative Leadership (AD LDSP)","Leadership definitions and skills and the role of vision, emotional intelligence, resilience, optimism and reflective practice for successful early childhood leaders. Prerequisites:junior standing; completion of childcare credentials or consent of instructor. Last Taught:Fall 2020, Spring 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 592","Early Childhood Leadership: Leading in Your Program","Administrative Leadership (AD LDSP)","Leadership roles, responsibilities and skills necessary for leadership in staff development and excellence in early childhood programs. Prerequisites:junior standing; completion of childcare credentials or consent of instructor. Last Taught:Spring 2021, Summer 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 592G","Early Childhood Leadership: Leading in Your Program","Administrative Leadership (AD LDSP)","Leadership roles, responsibilities and skills necessary for leadership in staff development and excellence in early childhood programs. Prerequisites:junior standing; completion of childcare credentials or consent of instructor. Last Taught:Spring 2021, Summer 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 593","Early Childhood Leadership: Leading in Your Community and the Field","Administrative Leadership (AD LDSP)","Leadership skills necessary for leadership in communities and the profession with a focus on collaboration, interconnections, relationships, transformation and advocacy. Prerequisites:junior standing; completion of childcare credential or consent of instructor. Last Taught:Spring 2021, Spring 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 593G","Early Childhood Leadership: Leading in Your Community and the Field","Administrative Leadership (AD LDSP)","Leadership skills necessary for leadership in communities and the profession with a focus on collaboration, interconnections, relationships, transformation and advocacy. Prerequisites:junior standing; completion of childcare credential or consent of instructor. Last Taught:Spring 2021, Spring 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 594","Early Childhood Leadership: Leading for Change","Administrative Leadership (AD LDSP)","Transformational leadership, theories on change, action research, and advocacy strategies. Completion of action research project to effect change. Prerequisites:junior standing; completion of childcare credential or consent of instructor. Last Taught:Summer 2021, Summer 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 594G","Early Childhood Leadership: Leading for Change","Administrative Leadership (AD LDSP)","Transformational leadership, theories on change, action research, and advocacy strategies. Completion of action research project to effect change. Prerequisites:junior standing; completion of childcare credential or consent of instructor. Last Taught:Summer 2021, Summer 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 597","Program Development in Occupational Education","Administrative Leadership (AD LDSP)","Technical, administrative, organizational, and participatory skills and knowledge associated with program development in occupational education for adults and adolescents. Prerequisites:jr st. ","3"," Undergraduate/Graduate"
"AD LDSP 597G","Program Development in Occupational Education","Administrative Leadership (AD LDSP)","Technical, administrative, organizational, and participatory skills and knowledge associated with program development in occupational education for adults and adolescents. Prerequisites:jr st. ","3"," Undergraduate/Graduate"
"AD LDSP 598","Introduction to Workforce Education and Development","Administrative Leadership (AD LDSP)","Foundations of workforce education and development; nature and role of education in preparing individuals for work. Prerequisites:jr st. Last Taught:Spring 2022, Spring 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 598G","Introduction to Workforce Education and Development","Administrative Leadership (AD LDSP)","Foundations of workforce education and development; nature and role of education in preparing individuals for work. Prerequisites:jr st. Last Taught:Spring 2022, Spring 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 605","Survey of Human Resource Development","Administrative Leadership (AD LDSP)","Introduction to human resource development theories, principles, concepts, and practices. Prerequisites:sr st. Last Taught:Fall 2018, Fall 2017. ","3"," Undergraduate/Graduate"
"AD LDSP 605G","Survey of Human Resource Development","Administrative Leadership (AD LDSP)","Introduction to human resource development theories, principles, concepts, and practices. Prerequisites:sr st. Last Taught:Fall 2018, Fall 2017. ","3"," Undergraduate/Graduate"
"AD LDSP 607","Coordination of Staff Development and Training Program","Administrative Leadership (AD LDSP)","Provides knowledge and skills required for the design, coordination and administration of staff development and training programs. Prerequisites:jr st. Last Taught:Summer 2020, Summer 2019. ","3"," Undergraduate/Graduate"
"AD LDSP 607G","Coordination of Staff Development and Training Program","Administrative Leadership (AD LDSP)","Provides knowledge and skills required for the design, coordination and administration of staff development and training programs. Prerequisites:jr st. Last Taught:Summer 2020, Summer 2019. ","3"," Undergraduate/Graduate"
"AD LDSP 617","Leadership in Youth-Serving Organizations","Administrative Leadership (AD LDSP)","Introduction to the philosophy and operations of youth-serving organizations, administration of programs, and the role of youth-serving organizations in the larger community. Prerequisites:jr st. Last Taught:Fall 2017, Fall 2016. ","3"," Undergraduate/Graduate"
"AD LDSP 617G","Leadership in Youth-Serving Organizations","Administrative Leadership (AD LDSP)","Introduction to the philosophy and operations of youth-serving organizations, administration of programs, and the role of youth-serving organizations in the larger community. Prerequisites:jr st. Last Taught:Fall 2017, Fall 2016. ","3"," Undergraduate/Graduate"
"AD LDSP 630","Field Work in Schools, Agencies and Institutions","Administrative Leadership (AD LDSP)","Field inquiry and experience in applied problems of administrative leadership in school administration, supervision or adult education in conjunction with seminar sessions to relate theory to practice. Prerequisites:Ad Ldsp 517(P) or 702(P) or 757(657)(P); cons instr. Last Taught:Fall 2024, Spring 2020. ","Course Rules:May be retaken to max of 6",""
"AD LDSP 630G","Field Work in Schools, Agencies and Institutions","Administrative Leadership (AD LDSP)","Field inquiry and experience in applied problems of administrative leadership in school administration, supervision or adult education in conjunction with seminar sessions to relate theory to practice. Prerequisites:Ad Ldsp 517(P) or 702(P) or 757(657)(P); cons instr. Last Taught:Fall 2024, Spring 2020. ","Course Rules:May be retaken to max of 6",""
"AD LDSP 631","Emerging Research in Human Resource Development","Administrative Leadership (AD LDSP)","Examines the role of research in Human Resource Development (HRD). Prerequisites:jr st. Course Rules:Counts as repeat of Ad Ldsp 779 with similar title. Last Taught:Spring 2015, Spring 2014. ","3"," Undergraduate/Graduate"
"AD LDSP 631G","Emerging Research in Human Resource Development","Administrative Leadership (AD LDSP)","Examines the role of research in Human Resource Development (HRD). Prerequisites:jr st. Course Rules:Counts as repeat of Ad Ldsp 779 with similar title. Last Taught:Spring 2015, Spring 2014. ","3"," Undergraduate/Graduate"
"AD LDSP 632","International Cross-Cultural Experiences in Developing Human Resources","Administrative Leadership (AD LDSP)","Examining Human Resource Development (HRD) in international and global contexts. Prerequisites:jr st. Course Rules:Counts as repeat of Ad Ldsp 779 with similar title. ","3"," Undergraduate/Graduate"
"AD LDSP 632G","International Cross-Cultural Experiences in Developing Human Resources","Administrative Leadership (AD LDSP)","Examining Human Resource Development (HRD) in international and global contexts. Prerequisites:jr st. Course Rules:Counts as repeat of Ad Ldsp 779 with similar title. ","3"," Undergraduate/Graduate"
"AD LDSP 647","Evaluation of Adult, Continuing, and Higher Education Programs","Administrative Leadership (AD LDSP)","Provides an awareness, analysis, and synthesis of the purposes, methods, and procedures for evaluating diverse types of adult, continuing, and higher education programs, e.g., HRD, extension/outreach, etc. Prerequisites:jr st. Course Rules:Counts as repeat of Ad Ldsp 579 with similar title. Last Taught:Summer 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 647G","Evaluation of Adult, Continuing, and Higher Education Programs","Administrative Leadership (AD LDSP)","Provides an awareness, analysis, and synthesis of the purposes, methods, and procedures for evaluating diverse types of adult, continuing, and higher education programs, e.g., HRD, extension/outreach, etc. Prerequisites:jr st. Course Rules:Counts as repeat of Ad Ldsp 579 with similar title. Last Taught:Summer 2020. ","3"," Undergraduate/Graduate"
"AD LDSP 667","Program Planning in Adult Education","Administrative Leadership (AD LDSP)","Principles and processes affecting programming of adult education. Focus on planning, execution, and evaluation dimensions of the programming process. Prerequisites:jr st; Ad Ldsp 517(P) or 757(657)(P). Last Taught:Fall 2024, Fall 2023. ","3"," Undergraduate/Graduate"
"AD LDSP 667G","Program Planning in Adult Education","Administrative Leadership (AD LDSP)","Principles and processes affecting programming of adult education. Focus on planning, execution, and evaluation dimensions of the programming process. Prerequisites:jr st; Ad Ldsp 517(P) or 757(657)(P). Last Taught:Fall 2024, Fall 2023. ","3"," Undergraduate/Graduate"
"AD LDSP 687","Instructional Design and Teaching Strategies","Administrative Leadership (AD LDSP)","Using an instructional design approach, students develop skills in selecting, using, and evaluating instructional strategies and procedures appropriate to particular domains of adult learning. Prerequisites:jr st; Ad Ldsp 517(P); or cons instr. Last Taught:Fall 2024, Fall 2022. ","3"," Undergraduate/Graduate"
"AD LDSP 687G","Instructional Design and Teaching Strategies","Administrative Leadership (AD LDSP)","Using an instructional design approach, students develop skills in selecting, using, and evaluating instructional strategies and procedures appropriate to particular domains of adult learning. Prerequisites:jr st; Ad Ldsp 517(P); or cons instr. Last Taught:Fall 2024, Fall 2022. ","3"," Undergraduate/Graduate"
"AD LDSP 691","Leadership Ethics in Multicultural Organizations","Administrative Leadership (AD LDSP)","Introduction to the concept of ethics and leadership in multicultural organizations. Prerequisites:jr st Course Rules:Counts as repeat of Ad Ldsp 579 with similar title. Last Taught:Spring 2023. ","1"," Undergraduate/Graduate"
"AD LDSP 691G","Leadership Ethics in Multicultural Organizations","Administrative Leadership (AD LDSP)","Introduction to the concept of ethics and leadership in multicultural organizations. Prerequisites:jr st Course Rules:Counts as repeat of Ad Ldsp 579 with similar title. Last Taught:Spring 2023. ","1"," Undergraduate/Graduate"
"AD LDSP 692","Quality Management in Education","Administrative Leadership (AD LDSP)","Introduction to the principles of quality management in education. Prerequisites:jr st. Course Rules:Counts as repeat of Ad Ldsp 579 with same topic. Last Taught:Fall 2022, Fall 2021. ","1"," Undergraduate/Graduate"
"AD LDSP 692G","Quality Management in Education","Administrative Leadership (AD LDSP)","Introduction to the principles of quality management in education. Prerequisites:jr st. Course Rules:Counts as repeat of Ad Ldsp 579 with same topic. Last Taught:Fall 2022, Fall 2021. ","1"," Undergraduate/Graduate"
"AD LDSP 693","Decision Making in Multicultural Organizations","Administrative Leadership (AD LDSP)","Introduction to individual planning and decision making in multicultural organizations. Prerequisites:jr st. Course Rules:Counts as repeat of Ad Ldsp 579 with title 'Planning and Decision Making Skills'. Last Taught:Summer 2024. ","1"," Undergraduate/Graduate"
"AD LDSP 693G","Decision Making in Multicultural Organizations","Administrative Leadership (AD LDSP)","Introduction to individual planning and decision making in multicultural organizations. Prerequisites:jr st. Course Rules:Counts as repeat of Ad Ldsp 579 with title 'Planning and Decision Making Skills'. Last Taught:Summer 2024. ","1"," Undergraduate/Graduate"
"AD LDSP 702","Leadership in Educational Organizations","Administrative Leadership (AD LDSP)","Governance; social, political, and economic influences; theories of organizations and organizational behavior related to the administration of elementary and secondary schools. Prerequisites:grad st. Last Taught:Spring 2025, Fall 2024, Summer 2024, Spring 2024. ","3"," Graduate"
"AD LDSP 703","Resources for Self-directed Learning","Administrative Leadership (AD LDSP)","Resources for self-directed learning to help students succeed in online courses and programs. Prerequisites:grad st. Last Taught:Fall 2024, Fall 2023, Fall 2022, Fall 2021. ","1"," Graduate"
"AD LDSP 704","Technologies for Online Student Support","Administrative Leadership (AD LDSP)","Synchronous and asynchronous technologies for conducting online sessions for advising, teaching, academic, and student support. Prerequisites:grad st. Last Taught:Spring 2025, Spring 2024, Spring 2023, Spring 2022. ","1"," Graduate"
"AD LDSP 706","Professional Development for Online Instruction","Administrative Leadership (AD LDSP)","Prepares both current and future instructors of adults to understand online instruction as it relates to pedagogy, professional development, and institutions. Prerequisites:grad st. Last Taught:Summer 2022, Summer 2021, Summer 2020, Summer 2019. ","1"," Graduate"
"AD LDSP 707","Using Technology With Adult Learners","Administrative Leadership (AD LDSP)","Design and management of web-based instructional programs/classes applying principles of instructional design, media, and software applications for adult learners. Prerequisites:grad st; Ad Ldsp 757. Last Taught:Spring 2025, Spring 2024, Spring 2023, Spring 2022. ","3"," Graduate"
"AD LDSP 708","Online Support Services in Adult, Continuing, and Higher Education","Administrative Leadership (AD LDSP)","Assessment of trends, theory, and research for online student support; development of a plan for an online student support program. Prerequisites:grad st. Last Taught:Fall 2024, Fall 2023, Fall 2022, Fall 2021. ","3"," Graduate"
"AD LDSP 709","Introduction to Higher Education Administration","Administrative Leadership (AD LDSP)","Contemporary issues of higher education focusing on historical, philosophical and sociological forces that affect higher education from an administrative perspective. Prerequisites:grad st Last Taught:Fall 2024, Fall 2023, Fall 2022, Fall 2021. ","3"," Graduate"
"AD LDSP 710","Organizational Change and Team Leadership","Administrative Leadership (AD LDSP)","Organizational change and team leadership is designed to introduce theories and concepts in organizational change and the interpersonal dynamics of working with and leading teams. Prerequisites:grad st; Ad Ldsp 702 or 757(657) or cons instr. Last Taught:Spring 2025, Summer 2024, Spring 2024, Summer 2023. ","3"," Graduate"
