"course_code","course_title","department","description","credits"
"ACCT 5363External","Auditing","Accounting (ACCT)","Prerequisites:Admission to a Spears School of Business graduate degree or certificate program andACCT 3103orACCT 3104orACCT 5204. Description:External auditing theory, procedures, and practices required of early career accountants. May not be used for degree credit if a student has credit inACCT 4503or the equivalent. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5453Ethics","for Public Accountants","Accounting (ACCT)","Prerequisites:ACCT 3113with a grade of ""C"" or better. Description:Ethics concepts and applications required of early career accountants. Topics likely to include basic theories of ethics, including moral reasoning, moral values, relativity and objectivity, freedom and responsibility. Lecture and case approach for examination of issues such as independence, integrity, objectivity, client relationships, employee-employer relations, advertising, preferential treatment, core values and the corporation, and corporate governance, such as Sarbanes-Oxley Act, Foreign Corrupt Practices Act, and SEC regulations. Some states, including Texas, California, Colorado, and Virginia, requires the completion of an ethics course to be eligible to sit for the CPA Exam. May not be used for degree credit withACCT 4553. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5503Advanced","Auditing","Accounting (ACCT)","Prerequisites:Admission to MS in accounting. Description:Auditing theory, procedures and practices. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5543Fraud","Examination","Accounting (ACCT)","Prerequisites:Permission of SSB Graduate Programs office. Description:Schemes used in the commission of white-collar fraud, as well as causes, symptoms and prevention methods related to these crimes. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5563Special","Topics in Taxation","Accounting (ACCT)","Prerequisites:Admission to the MS in Accounting Program andACCT 5013. Description:The study of specialized topics including state and local income tax, tax issues related to non-profit entities, tax compliance and planning, and international tax issues. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5603Advanced","Accounting-based Information Systems","Accounting (ACCT)","Prerequisites:Admission to MS in accounting. Description:Concepts underlying the design and use of an effective accounting information system. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting Additional Fees:Business Graduate Program fee of $6 per credit hour applies. ","3"
"ACCT 5623Contemporary","Issues in Taxation","Accounting (ACCT)","Prerequisites:Admission to the MS in Accounting Program andACCT 5013. Description:Contemporary issues in taxation. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5723Expanding","Accounting Horizons in the US","Accounting (ACCT)","Prerequisites:Admission to MS in accounting. Description:A visit to a region or regions within the United States. An integrated approach to the organizational, economic, political, historical, and technological issues impacting the firms, industries, and standard settlers visited. Effect on the accounting profession of the firms, industries, and standard settlers visited is also examined. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5763International","Accounting Abroad","Accounting (ACCT)","Prerequisites:Admission to MS in accounting. Description:A visit to a location or locations outside the United States. An integrated approach to the cultural, economic, political, historical, and technological effects of the region on international accounting. Comparison of the accounting issues of the region to that of the U.S. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5783MBA","International Acct","Accounting (ACCT)","Prerequisites:ACCT 5183and admission to MBA program or consent of MBA director. Description:Diversity in financial reporting across countries and its effect on global capital flows. Corporate financial information across borders. Accounting in emerging markets. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5833Graduate","Internship in Accounting","Accounting (ACCT)","Prerequisites:Admission to MS in accounting. Completion of eitherMSIS 5393or department approved Excel program. Description:Minimum 320-hour supervised internship in an accounting-related function. May be counted as elective hours only. May not be used for degree credit withACCT 4933. Graded on a pass-fail basis.

Supervised internship in public accounting, industry, or not-for-profit organizations. May be counted as elective hours only.  Previously offered as ACCT 5900 and ACCT 5830. May not be used for degree credit withACCT 4933. Graded on a pass-fail basis. Contact hours:Contact: 3 Other: 3 Levels:Graduate Schedule types:Independent Study Department/School:Accounting Additional Fees:Business Graduate Program fee of $6 per credit hour applies. ","3"
"ACCT 5840Special","Topics and Individual Work in Accounting","Accounting (ACCT)","Prerequisites:Admission to MS in accounting and consent of instructor. Description:Individual work on special topics, projects or readings selected to acquaint students with significant accounting literature. Previously offered as ACCT 5110.

Offered for variable credit, 1-10 credit hours, maximum of 10 credit hours. Contact hours:Lecture: 1-10 Contact: 1-10 Levels:Graduate Schedule types:Lecture Department/School:Accounting Additional Fees:Business Graduate Program fee of $6 per credit hour applies. ","1-10"
"ACCT 5880MBA","Special Topics in Accounting","Accounting (ACCT)","Prerequisites:ACCT 5183and admission to MBA program or consent of MBA director. Description:Individual work on special topics, projects or readings to acquaint students with accounting literature.

Offered for variable credit, 1-3 credit hours, maximum of 3 credit hours. Contact hours:Contact: 1-3 Other: 1-3 Levels:Graduate Schedule types:Independent Study Department/School:Accounting ","1-3"
"ACCT 5980CPA","Review","Accounting (ACCT)","Prerequisites:Admission to MS in accounting program. Description:Review of content and skills tested on the Certified Public Accountant exam. May not be used for degree credit withACCT 4943,ACCT 4953,ACCT 4963, orACCT 4970. Please see Program Coordinator for additional costs associated with the course and related materials. Previously offered as ACCT 5990 and ACCT 5994.

Offered for variable credit, 1-4 credit hours, maximum of 4 credit hours. Contact hours:Contact: 1-4 Other: 1-4 Levels:Graduate Schedule types:Independent Study Department/School:Accounting ","1-4"
"ACCT 6000Doctoral","Research and Thesis","Accounting (ACCT)","Prerequisites:Approval of advisory committee. Description:For students working on the doctoral degree.

Offered for variable credit, 1-18 credit hours, maximum of 36 credit hours. Contact hours:Contact: 1-18 Other: 1-18 Levels:Graduate Schedule types:Independent Study Department/School:Accounting ","1-18"
"ACCT 6110Graduate","Readings and Special Topics in Accounting","Accounting (ACCT)","Prerequisites:Consent of supervising professor and coordinator of graduate programs in accounting. Description:Supervised reading of significant literature and study of special topics not covered in regularly scheduled accounting courses.

Offered for variable credit, 1-3 credit hours, maximum of 20 credit hours. Contact hours:Contact: 1-3 Other: 1-3 Levels:Graduate Schedule types:Independent Study Department/School:Accounting ","1-3"
"ACCT 6703Seminar","in Accounting Research","Accounting (ACCT)","Prerequisites:Doctoral student status and consent of coordinator of graduate programs in accounting. Description:The theoretical literature and research methodology in accounting. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 6803Capital","Markets Research in Accounting","Accounting (ACCT)","Prerequisites:Consent of supervising professor and coordinator (or director) of the doctoral program in accounting. Description:This course introduces empirical accounting research literature, particularly in the areas of capital markets, security valuation, and determinants of accounting choices made by managers. Students read and discuss several papers that examine a broad range of research questions and that use a variety of empirical research techniques. The course is designed to enable the student to understand and appreciate extant research, and help the student develop the skills necessary to conduct their own research. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 6903Analytical","and Archival Research","Accounting (ACCT)","Prerequisites:Consent of supervising professor and coordinator (or director) of the doctoral program in accounting. Description:This course introduces analytical research literature in the areas of accounting, finance, and economics. Students read and discuss several papers that examine a broad range of research questions and that address those questions using analytical and archival research techniques. The course is designed to enable the student to understand and appreciate extant research, and help the student develop the skills necessary to conduct their own research. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"AERO 1111United","States Air Force Heritage and Values I","Aerospace Studies - Air Force (AERO)","Description:This course allows students to examine general aspects of the Air Force, leadership, benefits, and opportunities for AF officers. As a foundational course,AERO 1111also provides a historical perspective such as lessons on war and US military, AF operations, principles of war, and airpower. This provides students with a knowledge-level understanding of the Air Force way of life and the employment of air and space power, from an institutional, doctrinal, and historical perspective. Contact hours:Lecture: 1 Lab: 0 Contact: 1 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Aerospace Studies ","1"
"AERO 1211United","States Air Force Heritage and Values II","Aerospace Studies - Air Force (AERO)","Description:Continuation of the knowledge-level instruction of the employment of air and space power, from an institutional, doctrinal, and historical perspective. The students will be introduced to the Air Force way of life and gain knowledge on what it means to be an Airman. Contact hours:Lecture: 0 Lab: 1 Contact: 2 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Aerospace Studies ","1"
"AERO 2111Team","and Leadership Fundamentals I","Aerospace Studies - Air Force (AERO)","Description:This course is designed to provide a fundamental understanding of both leadership and team building. Topics include listening, understanding themselves, being a good follower and problem solving efficiently. The students will apply these leadership perspectives when completing team building activities and discussing things like conflict management. Cadets will apply these lessons at Field Training, which follows the AS200 year. Contact hours:Lecture: 1 Lab: 0 Contact: 1 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Aerospace Studies ","1"
"AERO 2211Team","and Leadership Fundamentals II","Aerospace Studies - Air Force (AERO)","Description:This course builds on the fundamental understanding of both leadership and team building. Topics include listening, understanding themselves, being a good follower and problem solving efficiently. The students will apply these leadership perspectives when completing team building activities and discussing things like conflict management. Cadets will apply these lessons at Field Training, which follows the AS200 year. Contact hours:Lecture: 1 Lab: 0 Contact: 1 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Aerospace Studies ","1"
