"course_code","course_title","department","credits","description"
"AERO 307","Experimental Aerodynamics","Aerospace Engineering (AERO)","2 units","Wind tunnel testing of basic aerodynamic properties of airfoils, finite wings, aircraft or spacecraft models, and vehicle flight performance.  Emphasis on both static and dynamic responses of aircraft.  Various measurement techniques, data reduction schemes, and analysis methods.  2 laboratories."
"AERO 310","Air and Space","Aerospace Engineering (AERO)","4 units","Technological developments of modern aircraft and spacecraft through physics of flight equations, mission analysis, propulsion, structures, materials, and control systems for civil and military aircraft/spacecraft.  Synthesis of current and future aerospace technologies through emerging ethical considerations, and global impact.  4 lectures.  Course may be offered in classroom-based or online format.  Crosslisted as AERO/HNRS 310.  Fulfills GE Upper-Division B (GE Areas B5, B6, or B7 for students on the 2019-20 catalog)."
"AERO 320","Fundamentals of Dynamics and Control","Aerospace Engineering (AERO)","4 units","Introduction to six degree of freedom rigid body dynamic and kinematic equations of motion, including coordinate transformations, Euler angles and quaternions for aerospace vehicles.  Linearization and dynamic system theory and stability.  Introduction to linear control theory, controller design and analysis.  Course may be offered in classroom-based or online format.  4 lectures."
"AERO 321","Experimental Sensors, Actuators and Control","Aerospace Engineering (AERO)","1 unit","Experiments in translational and rotational dynamics, structural, thermal, and flow control.  Comparison of modeling/simulation results to experimental data.  Role of actuators, sensors, noise, feedback, and supporting instrumentation hardware and software.  Introduction to technical communication.  1 laboratory."
"AERO 331","Aerospace Structural Analysis I","Aerospace Engineering (AERO)","4 units","Deflection analysis.  Principles of fictitious displacement, virtual work, and unit load method.  Energy methods:  Castigliano's theorem, Maxwell-Betti reciprocal theorem, minimum principles, Rayleigh-Ritz's method and Galerkin's method.  Stress analysis of aircraft and spacecraft components.  4 lectures."
"AERO 350","Fundamentals of Systems Engineering","Aerospace Engineering (AERO)","2 units","Systems engineering principles and methods applied to the design of aerospace systems.  System-level requirements, user needs and stakeholder constraints, component-level requirements, and requirements breakdown structure.  Project planning and tracking.  Trade studies for design decision making.  2 lectures."
"AERO 351","Introduction to Orbital Mechanics","Aerospace Engineering (AERO)","4 units","Motion of a body in a central field.  Keplerian Orbits.  Orbital maneuvers.  Interplanetary trajectories.  4 lectures."
"AERO 354","Space Environment Laboratory","Aerospace Engineering (AERO)","2 units","Laboratory examples of the effects of the space environment on a spacecraft and design considerations.  Topics include the launch, vacuum, particulate, plasma, and radiation environments.  All topics are applied to how the environment affects spacecraft design considerations.  Not open to students with credit inAERO 356.  2 laboratories."
"AERO 355","Space Environments I","Aerospace Engineering (AERO)","3 units","Effects of the space environment on a spacecraft and design considerations.  Lecture and laboratory topics include the launch, vacuum, neutral and particulate environments.  Not open to students with credit in AERO 353 orAERO 354.  2 lectures, 1 laboratory."
"AERO 356","Space Environments II","Aerospace Engineering (AERO)","3 units","Effects of the space environment on a spacecraft and design considerations.  Lecture and laboratory topics include the radiation, plasma, and thermal environments and the synergistic effects.  Not open to students with credit in AERO 353 orAERO 354.  2 lectures, 1 laboratory."
"AERO 360","Creative Problem Solving in Engineering Design","Aerospace Engineering (AERO)","2 units","The creative problem solving process for an engineering design team.  How to explore context and causes as part of defining a design problem; the principles of brainstorming, synthesis, and judgment.  Role of iteration, implementation, and communication.  Importance of a diverse view, including:  customers, products, processes, systems, ethics, and professional responsibility.  Team-based applications to case studies and real-world engineering design problems.  2 laboratories."
"AERO 400","Special Problems for Advanced Undergraduates","Aerospace Engineering (AERO)","1-4 units","Individual investigation, research, studies, or surveys of selected problems.  Total credit limited to 8 units."
"AERO 401","Propulsion Systems","Aerospace Engineering (AERO)","5 units","Power plant types, components, characteristics, and requirements.  Principles of thrust and energy utilization.  Thermodynamic processes and performance of turboprop, turboshaft, turbofan, turbojet, ramjet, and rocket engines.  4 lectures, 1 laboratory."
"AERO 402","Spacecraft Propulsion Systems","Aerospace Engineering (AERO)","5 units","Effects of the propulsion subsystem on spacecraft design.  Introduction to air breathing propulsion systems.  Topics include basic rocket performance, monopropellant thrusters, bipropellant thrusters, electric thrusters, thruster placement, plumbing, tank sizing and design, system layout, component design, and systems integration.  4 lectures, 1 laboratory."
"AERO 405","Supersonic and Hypersonic Aerodynamics","Aerospace Engineering (AERO)","4 units","Review of gas dynamics, shock-wave and boundary-layer interaction, aerodynamic design.  2-dimensional supersonic flows around thin airfoil; finite wing in supersonic flow.  Local surface inclination methods for high-speed flight, boundary-layer and aerodynamic heating, viscous interactions.  4 lectures."
"AERO 406","Applied Computational Fluid Dynamics","Aerospace Engineering (AERO)","4 units","Application of Computational Fluid Dynamics to study a range of problems relating to applications in aerospace and automotive engineering.  Grid generation, sources of errors in CFD studies, boundary conditions, 2D and 3D external flows, and turbulence modeling.  2 lectures, 2 laboratories."
"AERO 407","Reentry Aerodynamics","Aerospace Engineering (AERO)","4 units","Near planet environments.  Transition from orbital to aero-dynamic motion.  Aerodynamic heating and effects on design.  4 lectures."
"AERO 408","Plasma Applications in Aerospace","Aerospace Engineering (AERO)","4 units","Plasma applications in aerospace technology and operations including hypersonics, space weather, shielding, stealth, communications, power, and aerodynamics.  Computational modelling of plasma and plasma theory.  4 lectures."
"AERO 409","Flight Test","Aerospace Engineering (AERO)","4 units","Overview of flight tests, test equations, and supporting facilities.  Principles of team-centered flight testing with applications to performance, stability and control, and avionics systems testing.  Test planning, instrumentation, data analysis and reports.  2 lectures, 2 laboratories."
"AERO 420","Aircraft Dynamics and Control","Aerospace Engineering (AERO)","4 units","Newton's 6-degree-of-freedom equations of motion applied to aerospace vehicles.  Stability and control derivatives, reference frames, steady-state and perturbed dynamic analyses applied to aerospace vehicles.  Stability and control design principles applied to transfer functions, state-space, and modal system dynamics.  4 lectures."
"AERO 421","Spacecraft Attitude Dynamics and Control","Aerospace Engineering (AERO)","4 units","Introduction to spacecraft attitude dynamics and control.  Momentum exchange devices and bang-bang thruster control.  Attitude determination (GPS), maneuvers and station keeping.  Fundamentals of guidance and navigation systems.  Analysis and design of control systems for aerospace vehicles.  4 lectures."
"AERO 425","Aircraft Performance","Aerospace Engineering (AERO)","4 units","Fundamentals of propeller and jet aircraft performance.  Steady and accelerated flight.  Equations of motion.  Level flight, gliding, climbing, driftdown.  Takeoff and landing.  Federal Aviation Regulations (FARs).  Range and endurance.  Payload-range diagram.  Maneuvering.  V-n diagram.  Turning and pull-ups.  Stall and spin behavior.  Energy methods.  4 lectures."
"AERO 431","Aerospace Structural Analysis II","Aerospace Engineering (AERO)","4 units","Basic equations of elasticity with applications to typical aerospace structures.  Concepts studied include analysis of aircraft and aerospace structures; airworthiness and airframe loads; structural constraints; elementary aeroelasticity; structural instability; introduction to modern fatigue; fracture mechanics; and composite structures analysis.  4 lectures."
"AERO 432","Advanced Composite Structures Analysis","Aerospace Engineering (AERO)","4 units","Review of isotropic material behavior.  Behavior of unidirectional fiber composites.  Properties of short-fiber composites and orthotropic lamina.  Analysis of laminated composites.  Stresses and strains of composites.  Strength and hygrothermal behavior of composite materials.  3 lectures, 1 laboratory."
"AERO 433","Experimental Stress Analysis","Aerospace Engineering (AERO)","1 unit","Employing the knowledge of stress analysis and aerospace structural analysis in an individual and group design project dealing with aerospace structures.  1 laboratory."
"AERO 434","Aerospace Structural Analysis III","Aerospace Engineering (AERO)","4 units","Analysis and design applications for aircraft and spacecraft structures.  Stress concentrations, fatigue, and fracture mechanics.  Structural dynamics.  Framed structures, plates and shells.  Composite applications.  4 lectures."
"AERO 435","Aerospace Numerical Analysis","Aerospace Engineering (AERO)","4 units","Taylor series.  Finite difference calculus.  Interpolation and extrapolation.  Finite difference method.  Basic equations of elasticity.  Global stiffness matrix.  Rayleigh-Ritz method.  Galerkin method.  Bernoulli-Euler beam element.  Finite element formulation.  Dynamic analysis.  3 lectures, 1 laboratory."
"AERO 443","Aircraft Design I","Aerospace Engineering (AERO)","3 units","System and conceptual design of an aircraft using design and calculation techniques developed in previous aerospace engineering courses.  Determination of system requirements and design of a flight vehicle, including its structures and systems.  Preparation of necessary drawings, briefings, and reports.  Field trip required.  3 laboratories."
"AERO 444","Aircraft Design II","Aerospace Engineering (AERO)","3 units","Preliminary layout of a typical aircraft vehicle using design and calculation techniques developed in previous aerospace engineering courses.  Design of a flight vehicle, including its structures and systems.  Preparation of necessary drawings and a report.  Field trip required.  3 laboratories."
"AERO 445","Aircraft Design III","Aerospace Engineering (AERO)","3 units","Preliminary layout of a typical aircraft vehicle using design and calculation techniques developed in previous aerospace engineering courses.  Design of a flight vehicle, including its structures and systems.  Preparation of necessary drawings and a report.  Field trip required.  3 laboratories."
"AERO 446","Spacecraft Electrical and Electric Systems","Aerospace Engineering (AERO)","4 units","Basic satellite types and their applications.  Major subsystems of a satellite system including ground support and launch systems.  Interactions between subsystems and their effects on the overall system design.  Detailed analysis of key subsystems on a spacecraft with special emphasis on power and communications subsystems.  4 lectures."
"AERO 447","Spacecraft Design I","Aerospace Engineering (AERO)","3 units","System and conceptual design of a space vehicle using design and calculations techniques in previous aerospace engineering courses.  Determination of system requirements and design of a spacecraft or system of spacecraft.  Preparation of necessary drawings, briefings and reports.  Field trip required.  3 laboratories."
"AERO 448","Spacecraft Design II","Aerospace Engineering (AERO)","3 units","Preliminary layout of typical space vehicle using design and calculation techniques developed in previous aerospace engineering courses.  Design of selected components and preparation of necessary drawings.  3 laboratories.  Field trip required."
"AERO 449","Spacecraft Design III","Aerospace Engineering (AERO)","3 units","Preliminary layout of typical space vehicle using design and calculation techniques developed in previous aerospace engineering courses.  Design of selected components and preparation of necessary drawings.  Field trip required.  3 laboratories."
"AERO 450","Introduction to Aerospace Systems Engineering","Aerospace Engineering (AERO)","4 units","Aerospace systems and subsystems.  Systems integration.  Development of system requirements.  Analysis, modeling and simulation of complex systems.  Project management.  Cost analysis.  Optimization and trade studies.  4 lectures."
"AERO 452","Spaceflight Dynamics II","Aerospace Engineering (AERO)","4 units","Relative orbital motion and rendezvous, linearization of the equations of motion.  Clohessy-Wiltshire equations.  Two-impulse rendezvous.  Aspherocity of the earth, aerodynamic drag, solar radiation pressure, and n-body perturbations on an orbit.  Encke, Cowell, and Variation of Parameters solution techniques.  Speciality orbit due to perturbations such as low thrust trajectories, sun-synchronous, and molynia orbits.  4 lectures."
"AERO 455","Introduction to Human Spaceflight","Aerospace Engineering (AERO)","4 units","Requirements and considerations for human spaceflight design and operations.  Effects of the spaceflight environment on the human body and countermeasures to mitigate those effects.  Designing a spacecraft for the human payload focusing on space operations.  4 lectures."
"AERO 460","Aerospace Engineering Professional Preparation","Aerospace Engineering (AERO)","1 unit","Topics on professional development for student success including resume building and career prospecting, current events in the aerospace industry, graduate studies, engineering ethics, intellectual property, non-disclosure agreements, teamwork, and innovation and entrepreneurship.  1 lecture."
"AERO 465","Aerospace Systems Senior Laboratory","Aerospace Engineering (AERO)","1 unit","Culminating laboratory based experience.  Experiments require the integration of the many disciplines in Aerospace Engineering.  The successful completion of each experiment requires synthesis and integration of the fundamental concepts of the engineering sciences.  Experimentation in the areas of aeroelasticity, active vibration control, inertial navigation, thermal control, hardware-in-the-loop simulation, and momentum exchange.  1 laboratory."
"AERO 470","Selected Advanced Topics","Aerospace Engineering (AERO)","1-4 units","Directed group study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 lectures."
"AERO 471","Selected Advanced Laboratory","Aerospace Engineering (AERO)","1-4 units","Directed group laboratory study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 laboratories."
"AERO 493","Cooperative Education Experience","Aerospace Engineering (AERO)","2 units","Part-time work experience in business, industry, government, and other areas of student career interest.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  Formal report and evaluation by work supervisor required.  Credit/No Credit grading only.  No major credit allowed; total credit limited to 6 units."
"AERO 494","Cooperative Education Experience","Aerospace Engineering (AERO)","6 units","Full-time work experience in business, industry, government, and other areas of student career interest.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  Formal report and evaluation by work supervisor required.  Credit/No Credit grading only.  No major credit allowed; total credit limited to 18 units."
"AERO 495","Cooperative Education Experience","Aerospace Engineering (AERO)","12 units","Full-time work experience in business, industry, government, and other areas of student career interest.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  A more fully developed formal report and evaluation by work supervisor required.  Credit/No Credit grading only.  No major credit allowed; total credit limited to 24 units."
"AERO 500","Individual Study","Aerospace Engineering (AERO)","1-4 units","Advanced study planned and completed under the direction of a member of the department faculty.  Open only to graduate students who have demonstrated ability to do independent work.  Enrollment by petition.  Total credit limited to 12 units."
"AERO 513","Applications of Remotely Piloted Aircraft Systems","Aerospace Engineering (AERO)","4 units","Engineering development and analysis of Remotely Piloted Aircraft Systems (RPAS) as airborne tools for societal benefit.  Use of RPAS for military, public service, and commercial purposes.  Characterization of missions and applications.  Development of system requirements and concepts of operation.  Evaluation of relative merits and limitations of RPAS.  4 lectures."
"AERO 515","Continuum Mechanics","Aerospace Engineering (AERO)","4 units","Vectors and tensors stress analysis.  Analysis of deformation.  Velocity fields and compatibility conditions.  Constitutive equations.  Isotropy.  Mechanical properties of real fluids and solids.  Field equations and boundary conditions in fluid mechanics problems and applications in elasticity.  Active remodeling of structures.  4 seminars."
"AERO 522","Boundary-Layer Theory","Aerospace Engineering (AERO)","4 units","Concept of boundary-layer.  Boundary-layer equations, similarity transformation, integral and differential methods for steady, two-dimensional laminar and turbulent boundary layers.  4 lectures."
"AERO 525","Computational Fluid Dynamics","Aerospace Engineering (AERO)","4 units","Classification of partial differential equations.  Numerical methods applicable to the solution of elliptic, parabolic, and hyperbolic partial differential equations.  Consideration of accuracy and stability of numerical methods.  Application to the fundamental equations of fluid dynamics, grid generation, turbulence modeling.  4 lectures."
"AERO 526","Spacecraft Thermal/Fluid Control","Aerospace Engineering (AERO)","4 units","Satellite thermal/fluid control hardware.  Governing equations for flow and heat transfer.  Surface tension and liquid/vapor interface.  Heat transfer by free convection, forced convection and radiation in low-gravity environment.  Heat pipes.  Capillary-pumped loops.  Cryogenic systems.  Fluid management in space.  4 lectures."
"AERO 532","Advanced Aerospace Composite Design","Aerospace Engineering (AERO)","4 units","Behavior of composite materials.  Bending, buckling, and vibration of laminated plates.  Fatigue and fracture mechanics analysis of composite structures.  Optimum design of composite pressure vessels.  2 seminars, 2 laboratories."
"AERO 533","Finite Elements for Aerospace Structural Analysis","Aerospace Engineering (AERO)","4 units","Overview of theoretical and applied methods of finite element analysis for aerospace structures including composite and light weight structures.  Topics include basic equations of elasticity, solutions of linear systems of equations transformation, global stiffness matrix, Bernoulli-Euler element, plane stress triangles, finite element formulation, isoparametric elements, alternative formulation, eigenvalue problems and dynamic analysis.  3 lectures, 1 laboratory."
"AERO 534","Aerospace Structural Dynamics Analysis","Aerospace Engineering (AERO)","4 units","Structural dynamics and aeroelasticity of flight vehicles.  Vibration and forced response of continuous structures.  Introduction to unsteady aerodynamic analysis methods.  Normal-Mode Method and Modal Analysis.  Framed structures and rigid body structures.  Airworthiness and aeroelasticity.  Random Vibrations.  3 lectures, 1 laboratory."
"AERO 535","Advanced Aerospace Structural Analysis","Aerospace Engineering (AERO)","4 units","Types of failure.  Theories of failure.  Stability of structures.  Advanced flight vehicle and fracture mechanics analysis and design.  Fundamentals and applications of modern fatigue analysis in the aerospace industry.  3 lectures, 1 laboratory."
"AERO 540","Elements of Rocket Propulsion","Aerospace Engineering (AERO)","4 units","Thrust and impulse equations, propellant composition and mixture ratios, nozzle expansion ratios, solid and liquid propellant combustion, internal ballistics, thermo-chemical computations, chemical kinetics, and combustion instability, nozzle design and exhaust plumes.  4 seminars."
"AERO 541","Air Breathing Propulsion","Aerospace Engineering (AERO)","4 units","Aerothermodynamics of propulsion systems, power plant selection and design, on-off design performance, component characterization, component design, component matching, optimization, and introduction to power plant and airframe integration systems for aircraft.  4 seminars."
"AERO 548","Complexity in Engineered Systems","Aerospace Engineering (AERO)","4 units","Relates systems engineering to complexity in the design and development of modern large engineered systems, with emphasis on aerospace applications.  Covers methods currently available to address complexity, including systems thinking, model based systems engineering and life cycle governance.  4 lectures."
"AERO 549","Systems Engineering Applications","Aerospace Engineering (AERO)","4 units","Systems engineering principles and methods.  Program planning, scheduling and budgeting, risk management, and design strategies to meet system/mission requirements.  Quality function development and quality control concepts.  Proposal development, evaluation, and selection.  Not open to students with credit in AERO/IME 510or AERO/IME 511.  4 lectures."
"AERO 553","Advanced Control Theory","Aerospace Engineering (AERO)","4 units","Advanced control theory techniques.  Analytical and computational methods applied to dynamic systems.  State space system representation, solutions to dynamic systems, non-linear and linear stability analysis, full-state and output feedback, controllability and observability and advanced control topics (LQR/LQG, Kalman Filters, Adaptive Control, etc.).  4 lectures."
"AERO 557","Advanced Orbital Mechanics","Aerospace Engineering (AERO)","4 units","Initial orbit determination using angles only methods.  Various Solutions to Lambert's Problem.  Orbit and transfer optimization, libration points, halo orbits, and secondary orbit perturbations.  4 lectures."
"AERO 560","Advanced Spacecraft Dynamics and Control","Aerospace Engineering (AERO)","4 units","Attitude determination and control of rigid spacecraft via reaction wheels, control moment gyros and thrusters.  Modeling, analysis and control of flexible spacecraft.  Non-linear stability theory as applied to spacecraft.  4 lectures."
"AERO 561","Vehicle Integration and Testing","Aerospace Engineering (AERO)","2 units","Space vehicle integration requirements and procedures.  Clean room requirements and operations.  Quality control and inspection.  Qualification and acceptance testing requirements.  Test equipment.  Vibration and shock testing.  Space environment and thermal-vac testing.  Development of test procedures.  1 lecture, 1 laboratory."
"AERO 562","Space Operations","Aerospace Engineering (AERO)","2 units","Launch operations and vehicle integration with launch vehicle.  In-orbit operations and maneuvers.  Spacecraft tracking.  Telemetry and command.  Ground systems.  Failure detection and identification.  Emergency operations.  1 lecture, 1 laboratory."
"AERO 565","Advanced Topics in Aircraft Design","Aerospace Engineering (AERO)","4 units","Application of advanced analytic engineering methods to aircraft design problems.  Analysis and synthesis of advanced topics related to design of aircraft.  4 lectures."
"AERO 566","Advanced Topics in Spacecraft Design","Aerospace Engineering (AERO)","4 units","Application of advanced engineering tools to the design of space vehicles.  System architecture and mission design.  Concept of operations.  Requirements development and flow down.  System and subsystems trade studies and preliminary design.  4 lectures."
"AERO 568","Aerodynamic Research and Development I","Aerospace Engineering (AERO)","4 units","Immersive team-based approach to an aerodynamic research and development cycle.  Theoretical work, preliminary design based upon computational fluid dynamics, and model manufacture.  Advanced techniques in multi-variable wind tunnel tests.  Validation of numerical work using correlation techniques.  Field trip may be required.  Total credit limited to 8 units.  2 lectures, 2 laboratories."
"AERO 569","Aerodynamic Research and Development II","Aerospace Engineering (AERO)","4 units","Continuation ofAERO 568.  Single or multi-variable design optimization cycle based upon computational fluid dynamics.  Numerical and experimental experimentation, high-fidelity validation and correlation of testing data, and archival-quality technical reporting of aerodynamic data and analysis.  Total credit limited to 8 units.  2 lectures, 2 laboratories."
"AERO 570","Selected Advanced Topics","Aerospace Engineering (AERO)","4 units","Directed group study of selected topics for graduate students.  Open to undergraduate and graduate students.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  4 lectures."
"AERO 571","Selected Advanced Topics Laboratory","Aerospace Engineering (AERO)","1-4 units","Directed group laboratory study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 laboratories."
"AERO 593","Cooperative Education Experience","Aerospace Engineering (AERO)","2 units","Advanced study analysis and part-time work experience in student's career field; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government.  Must have demonstrated ability to do independent work and research in career field.  Credit/No Credit grading only."
"AERO 594","Cooperative Education Experience","Aerospace Engineering (AERO)","6 units","Advanced study analysis and full-time work experience in student's career field; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government.  Must have demonstrated ability to do independent work and research in career field.  Credit/No Credit grading only."
"AERO 595","Cooperative Education Experience","Aerospace Engineering (AERO)","12 units","Advanced study analysis and full-time work experience in student's career field; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government.  Must have demonstrated ability to do independent work and research in career field.  A fully-developed formal report and evaluation by work supervisor required.  Credit/No Credit grading only."
"AERO 599","Thesis (Design Project)","Aerospace Engineering (AERO)","1-9 units","Each individual or group will be assigned a project for solution under faculty supervision as a requirement for the master's degree, culminating in a written report/thesis."
"AGB 101","Introduction to Agribusiness","Agribusiness (AGB)","4 units","Orientation to the agribusiness sector of agriculture.  An overview of the breadth, size, scope and management aspects of the agricultural business complex.  Agribusiness students are required to complete this within the first year of the major.  4 lectures."
"AGB 200","Special Problems for Undergraduates","Agribusiness (AGB)","1-2 units","Individual investigation, research, studies, or surveys of selected problems.  Total credit limited to 4 units, with a maximum of 2 units per quarter.  Credit can only be used to satisfy free electives.  Credit/No Credit grading only."
"AGB 202","Introduction to Sales","Agribusiness (AGB)","4 units","Development of professional business-to-business selling principles within the supply chain, including an introduction to understanding the sales process from different buying and selling perspectives, communication techniques, and basic sales competency. 4 lectures."
"AGB 212","Agricultural Economics","Agribusiness (AGB)","4 units","Theoretical development of factors affecting demand and supply for food and fiber and for agricultural inputs. Methods of selecting optimal levels of agricultural production and consumption variables. Evaluation of market structure and price formulation for agricultural products and resources. Course may be offered in classroom-based or online format. 4 lectures."
"AGB 214","Agribusiness Financial Accounting","Agribusiness (AGB)","4 units","Principles of financial accounting for the agriculture and food industry. Introduction of basic concepts and standards underlying financial accounting systems. Emphasizes the construction of the financial accounting statements and the impact of business transactions on information presented to interested stakeholders. Not open to students with credit inBUS 214. Course may be offered in classroom-based, online, or hybrid format. 3 lectures, 1 activity."
"AGB 260","Agribusiness Data Literacy","Agribusiness (AGB)","4 units","Using data and analysis in making decisions related to agribusiness. Developing basic and intermediate spreadsheet skills necessary to organize, analyze, and summarize information. Development of data management and analysis as tools to assist in agribusiness problem-solving. Course may be offered in classroom-based, online, or hybrid format. 4 lectures."
"AGB 270","Selected Topics","Agribusiness (AGB)","1-4 units","Directed group study of selected topics.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 lectures."
"AGB 301","Food and Fiber Marketing","Agribusiness (AGB)","4 units","Food and fiber marketing, examining commodity, industrial, and consumer product marketing from a managerial viewpoint.  A global perspective in understanding consumer needs and developing the knowledge of economic, political, social and environmental factors that affect food and fiber marketing systems.  Course may be offered in classroom-based, online, or hybrid format.  4 lectures."
"AGB 304","Innovation and Entrepreneurship in Agriculture","Agribusiness (AGB)","4 units","Innovation and entrepreneurship with application to the Food and Agriculture sector.  Identification of opportunities, value proposition, Business Model Canvas (BMC), product market fit and market sizing, minimum viable product, and identification of target market consumers.  Field trip may be required.  Course may be offered in classroom-based, online, or hybrid format.  4 lectures."
"AGB 308","Introduction to Agribusiness Finance","Agribusiness (AGB)","4 units","Concepts and analytical methods related to agricultural finance.  Focus on applied spreadsheet analysis of financial statements, time value of money, risk and return, portfolio theory, and capital budgeting within the context of financial institutions specific to agriculture.  Not open to students with credit inAGB 310.  Course may be offered in classroom-based, online, or hybrid format.  4 lectures."
"AGB 309","Advanced Sales Techniques","Agribusiness (AGB)","4 units","Expansion of basic sales principles and skills, focusing on prospecting, sales styles, pipelining, forecasting, and product planning.  4 lectures."
"AGB 310","Agribusiness Credit and Finance","Agribusiness (AGB)","4 units","Financing California's agricultural industry.  Sources of credit and types of loans used by agribusinesses.  Costs of credit.  Financial analysis of agricultural borrowers.  Future and present value techniques used in evaluating agricultural investments.  Agricultural financial management.  Financial capital markets and leasing.  Not open to Agricultural Business majors.  Not open to students with credit inAGB 308.  4 lectures."
"AGB 311","Intermediate Agribusiness Finance","Agribusiness (AGB)","4 units","Financial tools applied to the agribusiness industry, focusing on unique risks in agriculture.  Risk and return in the production and processing sectors, working capital management, cash flows and financial statement forecasting for agribusiness firms, using spreadsheet analysis.  Course may be offered in classroom-based, online, or hybrid format.  4 lectures."
"AGB 312","Agricultural Policy","Agribusiness (AGB)","4 units","Agricultural policy objectives and formulation, resource allocation and production adjustments.  Survey of State and Federal agricultural policies as they influence the planning and practices of agribusiness.  Course may be offered in classroom-based, online, or hybrid format.  4 lectures."
"AGB 313","Agriculture Economic Analysis","Agribusiness (AGB)","4 units","Advanced agricultural microeconomics with emphasis on mathematical problem solving; production and cost functions, single and multiple input allocation, agricultural output combinations, agricultural market structures, and economies of size.  Course may be offered in classroom-based, online, or hybrid format.  4 lectures."
"AGB 318","Global Agricultural Marketing and Trade","Agribusiness (AGB)","4 units","Analysis of international marketing opportunities for agricultural products.  Strategies for enhancing the performance of U.S.  agricultural exports/ imports.  Impact of government trade policies and regulations, distribution systems, and the changing consumer.  Course may be offered in classroom-based, online, or hybrid format.  4 lectures."
"AGB 322","Principles of Agribusiness Management","Agribusiness (AGB)","4 units","Organization and operation of agribusinesses.  Identification of factors affecting profitability.  Evaluation of the business for increased efficiency and profit.  Application of budgeting to representative firms and independent analysis of an agribusiness.  3 lectures, 1 activity."
"AGB 323","Decision Making with Agribusiness Accounting Information","Agribusiness (AGB)","4 units","Decision making using agribusiness accounting information.  Focus on setting and monitoring objectives, analysis, forecasting and budgeting, business ethics, and decision making.  Topics covered within the food supply chain.  Course may be offered in classroom-based, online, or hybrid format.  3 lectures, 1 activity."
