"department","code","title","description","credits"
"ACCT - Accounting","ACCT 615","Contemporary Tax Topics","Credits 3. 
3 Lecture Hours.Explores business tax topics that provide current/future significant professional tax service opportunities such as specialized applications of business taxation. Intended for graduate students in the Tax Track in the Professional Program in Accounting. May be taken two times for credit.Prerequisite:ACCT 611.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 620","Management Accounting and Control","Credits 1 to 3. 
1 to 3 Lecture Hours.Applications of concepts useful to management, in the analysis of accounting data for the purposes of costing and income determination, decision making and control of various organizational activities. May be repeated for up to 3 hours credit. Classification 6 students may not enroll in this course. Enrollment is limited to BUAD classification 7 graduate students.Prerequisite:ACCT 610or equivalent; graduate classification or approval of instructor.","Credits 1 to 3. 
1 to 3 Lecture Hours."
"ACCT - Accounting","ACCT 621","Corporate Taxation I","Credits 3. 
3 Lecture Hours.Formation and capital structures, partial liquidations, S corporations, accumulated earnings tax, personal holding companies and other topics. Classification 6 students may not enroll in this course.Prerequisites:Graduate classification.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 622","Accounting for Income Taxes","Credits 3. 
3 Lecture Hours.Study of accounting concepts and principles related to reporting of income taxes; including book-tax differences, deferred tax assets and liabilities, valuation allowances, uncertain tax positions, various advanced topics.Prerequisites:ACCT 328andACCT 405, or equivalent; graduate classification.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 624","Tax Technology and Analytics","Credits 3. 
3 Lecture Hours.Streamlining the data collection and management process of the tax function needed to work with people, processes and technologies; includes transformation, direct tax, indirect tax, emerging technologies, global mobility and asset management.Prerequisites:ACCT 427andACCT 405, or equivalent.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 625","Professional Accounting Seminar","Credit 1. 
1 Lecture Hour.Focuses on increasing understanding of the emerging issues facing professional accountants; provides opportunities to enhance skills necessary to succeed as professional accountants.Prerequisite:Enrollment in Master of Science in accounting program.","Credit 1. 
1 Lecture Hour."
"ACCT - Accounting","ACCT 628","Business Application Modeling","Credits 3. 
3 Lecture Hours.Focuses on modeling application software commonly used in accounting and business;  primary emphasis on Visual Basic for Applications in Microsoft Excel; application exercises will deal with financial problem solving. Classification 6 students may not enroll in this course.Prerequisite:ACCT 427or approval of instructor.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 629","Controls and Audit Technology","Credits 3. 
3 Lecture Hours.Focuses on internal controls and their importance with regards to financial reporting and arrangement; topics include process walkthrough techniques, documentation, business processes, control frameworks, application controls, change management, operations management and security.Prerequisite:ACCT 407.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 640","Accounting Concepts and Procedures I","Credits 3. 
3 Lecture Hours.Accounting concepts and relationships essential to administrative decisions; use of accounting statements and reports as policymaking and policy execution tools. Classification 6 students and non-business graduate students may enroll in this course.Prerequisite:Graduate classification.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 644","Control and Audit of Information Systems","Credits 3. 
3 Lecture Hours.Focuses on the control, audit, and security of information systems;  aimed at enhancing the ability of accounting professionals to deal with complex computer-based accounting systems as auditors of these systems; topics include general and application controls, audit software, and e-commerce security.Prerequisite:ACCT 427; graduate classification.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 646/IBUS 646","International Accounting","Credits 3. 
3 Lecture Hours.Introduction and examination of accounting issues unique to multinational enterprises and international business activity. Classification 6 students may not enroll in this course.Prerequisites:ACCT 328;FINC 341.Cross Listing:IBUS 646/ACCT 646.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 647/FINC 647","Financial Statement Analysis","Credits 3. 
3 Lecture Hours.Analytical approach to financial statements; application of finance and accounting principles relevant to the analysis of financial statements. Classification 6 students may not enroll in this course.Prerequisites:Graduate classification.Cross Listing:FINC 647/ACCT 647.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 648","Accounting Information Systems","Credits 3. 
3 Lecture Hours.Design, implementation, operation, control and audit techniques of accounting information systems.Prerequisite:Graduate classification.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 650","Accounting Ethics","Credits 3. 
3 Lecture Hours.Integration of ethical reasoning, objectivity, independence and other core values into the development of a professional accountant; critical analysis of the ethical lapses which have occurred in business and the accounting profession; explores ways to integrate ethical behavior into professional life.Prerequisites:Graduate classification.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 651","Development of Accounting Thought","Credits 3. 
3 Lecture Hours.Examination of contemporary financial reporting issues in terms of institutional, ethical, and regulatory environment; framework for exercising judgment when literature provides no direct prescription about correct reporting. Tools used include unstructured cases and open-ended research assignments. Course not open to classification 6 students.Prerequisite:ACCT 642 or approval of instructor.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 657","Accounting Data Analytics","Credits 3. 
3 Lecture Hours.Use of data analytics process in accounting, audit and tax; formulation of business questions; acquisition of financial and business data to address those questions; use of extract, transform, load (ETL) techniques on financial data; analysis of the data; communication of the results of the data through data visualizations.Prerequisites:Graduate classification.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 658","Advanced Accounting Data Analytics","Credits 3. 
3 Lecture Hours.Conceptual and practical understanding of data analytics that may be encountered in accounting careers; survey of state-of-the-art methods (including visualization, automation, and machine learning) which are applied to financial data used by internal and external business stakeholders.Prerequisites:Graduate classification.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 659","Introduction to Academic Research","Credits 3. 
3 Lecture Hours.Overview of accounting scholarly research in the main topic areas of accounting research; research methodologies; characteristics of quality research.Prerequisite:ACCT 327; approval of instructor.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 660","Accounting Information and Financial Markets","Credits 3. 
3 Lecture Hours.Financial accounting research with emphasis on financial markets; investigates major areas of financial accounting research, related statistical techniques and the progress of research in a historical perspective. Classification 6 students may not enroll in this course.Prerequisite:ACCT 665or approval of instructor.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 665","Research Methodology I","Credits 3. 
3 Lecture Hours.Nature and evaluation of accounting research; includes preparation and evaluation of original research papers. Classification 6 students may not enroll in this course.Prerequisite:Doctoral classification.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 671","Contemporary Accounting Topics","Credits 1 to 3. 
1 to 3 Lecture Hours.Current issues and research in topical areas: financial data audit and control; international accounting; accounting for natural resources; tax planning, theory and structure of taxation. Classification 6 students may not enroll in this course.Prerequisite:Approval of instructor.","Credits 1 to 3. 
1 to 3 Lecture Hours."
"ACCT - Accounting","ACCT 677","Chief Financial Officers and Financial Leadership","Credits 3. 
3 Lecture Hours.Application of the theory underlying financial accounting and reporting used by accounting leaders; use of cases and financial statements to illustrate practical issues related to standard setting and financial statement measurement and reporting topics; actual topics covered vary as conditions change.Prerequisites:Graduate classification and approval of instructor.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 680","Tax Research and Policy","Credits 3. 
3 Lecture Hours.Methodology and sources of tax research; tax analysis research, policy implications, behavioral aspects and use of quantitative analysis. Classification 6 students may not enroll in this course.Prerequisite:ACCT 405 or 611.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 684","Professional Internship","Credits 0 to 3. 


0 to 3 Other Hours.A directed internship in an organization to provide on-the-job training under the supervision of accounting professionals in organizational settings appropriate to the student's professional objectives. May be taken up to 3 hours for credit. Must be taken on a satisfactory/unsatisfactory basis. Classification 6 students may not enroll in this course.Prerequisites:Accounting major or approval of committee chair and department head.","Credits 0 to 3. 


0 to 3 Other Hours."
"ACCT - Accounting","ACCT 685","Directed Studies","Credits 1 to 4. 


1 to 4 Other Hours.Directed individual study of selected problems using recent developments in business research methods. Classification 6 students may not enroll in this course.Prerequisites:Graduate classification and approval of instructor.","Credits 1 to 4. 


1 to 4 Other Hours."
"ACCT - Accounting","ACCT 688","Doctoral Seminar","Credits 3. 


3 Other Hours.Historical development of the conceptual framework of accounting theory and practices; analysis of current research and controversial issues in the field. For doctoral students only. May be repeated for credit. Classification 6 students may not enroll in this course.Prerequisiteorcorequisite:ACCT 665.","Credits 3. 


3 Other Hours."
"ACCT - Accounting","ACCT 689","Special Topics in...","Credits 1 to 4. 
1 to 4 Lecture Hours. 
0 to 4 Lab Hours.Selected topics in an identified area of accounting. May be repeated for credit. Classification 6 students may not enroll in this course.","Credits 1 to 4. 
1 to 4 Lecture Hours. 
0 to 4 Lab Hours."
"ACCT - Accounting","ACCT 691","Research","Credits 1 to 23. 


1 to 23 Other Hours.Research for thesis or dissertation. Classification 6 students may not enroll in this course.","Credits 1 to 23. 


1 to 23 Other Hours."
"ACCT - Accounting","ACCT 705","Accounting for Business Results","Credits 1 to 4. 
1 to 4 Lecture Hours.Interpretation of annual reports; financial statement creation; assessment of company financial health; identification of factors that impact company earnings quality; valuation model implementation.Prerequisite:For Master of Science in Business students only.","Credits 1 to 4. 
1 to 4 Lecture Hours."
"ACCT - Accounting","ACCT 710","Accounting for Managerial Decision Making","Credits 1 to 4. 
1 to 4 Lecture Hours.Use of accounting information for managerial decision making; cost behavior and control; budgeting; performance measurement; application of accounting data in managing organizational production activities and operation processes.Prerequisite:For Master of Science in Business students only.","Credits 1 to 4. 
1 to 4 Lecture Hours."
"AEGD - Adv Ed Gen Dentistry","AEGD 600","Clinical Dentistry I","Credits 0. 


0 Other Hours.Clinical diagnosis and treatment of advanced comprehensive multidisciplinary cases under faculty guidance and supervision.","Credits 0. 


0 Other Hours."
"AEGD - Adv Ed Gen Dentistry","AEGD 601","Clinical Dentistry II","Credits 0. 


0 Other Hours.Clinical diagnosis and treatment of advanced comprehensive multidisciplinary cases under faculty guidance and supervision.","Credits 0. 


0 Other Hours."
"AEGD - Adv Ed Gen Dentistry","AEGD 602","Clinical Dentistry III","Credits 0. 


0 Other Hours.Clinical diagnosis and treatment of advanced comprehensive multidisciplinary cases under faculty guidance and supervision.","Credits 0. 


0 Other Hours."
"AEGD - Adv Ed Gen Dentistry","AEGD 603","Implant Dentistry","Credit 1.5. 
1.5 Lecture Hour.Diagnosis, management and treatment of both fixed and removable implant patients. Lecture, seminars and patient treatment.","Credit 1.5. 
1.5 Lecture Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 604","Practice Management I","Credits 0 to 1.5. 
0 to 1.5 Lecture Hours.5. All areas of practice and business management will be discussed, including office management, personnel management, professional ethics, financial planning, starting a practice, office design and legal responsibilities.","Credits 0 to 1.5. 
0 to 1.5 Lecture Hours."
"AEGD - Adv Ed Gen Dentistry","AEGD 605","Practice Management II","Credits 0 to 1.5. 
0 to 1.5 Lecture Hours.5. All areas of practice and business management will be discussed, including office management, personnel management, professional ethics, financial planning, starting a practice, office design and legal responsibilities.","Credits 0 to 1.5. 
0 to 1.5 Lecture Hours."
"AEGD - Adv Ed Gen Dentistry","AEGD 606","Advanced Removable Prosthodontics","Credit 1.5. 


1.5 Other Hour.Diagnosis, treatment planning and clinical treatment of complicated cases requiring advanced skills in removable prosthodontics.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 607","Advanced Fixed Prosthodontics","Credit 1.5. 


1.5 Other Hour.Diagnosis, treatment planning and clinical treatment of complicated cases requiring advanced skills in fixed prosthodontics, including implant restoration.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 608","Advanced Clinical Periodontics","Credit 1.5. 


1.5 Other Hour.Diagnosis, treatment planning, prognosis and instrumentation skills; basic surgical techniques.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 609","Advanced Clinical Orthodontics","Credit 1.5. 


1.5 Other Hour.Diagnosis and evaluation of a variety of malocclusions; emphasis on minor tooth movement, interceptive treatment and maintenance of arch integrity.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 610","Advanced Pediatric Dentistry","Credit 1.5. 


1.5 Other Hour.Diagnosis, treatment planning and clinical treatment of complex pediatric patients; emphasis on medically compromised and behavior management cases.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 611","Advanced Clinical Endodontics I","Credits 2. 


2 Other Hours.Diagnosis, management and treatment of patients with complex endodontic problems; surgical and nonsurgical treatment and retreatment of complicated cases.","Credits 2. 


2 Other Hours."
"AEGD - Adv Ed Gen Dentistry","AEGD 612","Advanced Geriatric Dentistry","Credit 1.5. 


1.5 Other Hour.Diagnosis, treatment planning and treatment of geriatric patients with special needs; emphasis on medically, physically and mentally compromised patients.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 613","Advanced Maxillofacial Surgery","Credits 2. 


2 Other Hours.(0-0-2).  Principles of oral surgery techniques and procedures in the outpatient clinic and operating room environments; demonstrations and clinical application.","Credits 2. 


2 Other Hours."
"AEGD - Adv Ed Gen Dentistry","AEGD 614","Advanced Dentistry for Special Care Patients","Credit 1.5. 


1.5 Other Hour.Clinical application and experience in the care and treatment of special care patients with medical, physical and mental handicaps.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 615","Treatment Planning Conference I","Credit 1.5. 


1.5 Other Hour.Diagnosis and treatment planning for comprehensive cases involving a multidisciplinary approach; student presentation of complex cases to a graduate faculty forum; defense of treatment plans using documented scientific or clinical evidence.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 616","Treatment Planning Conference II","Credit 1.5. 


1.5 Other Hour.Diagnosis and treatment planning for comprehensive cases involving a multidisciplinary approach; student presentation of complex cases to a graduate faculty forum; defense of treatment plans using documented scientific or clinical evidence.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 617","Treatment Planning Conference III","Credit 1.5. 


1.5 Other Hour.Diagnosis and treatment planning for comprehensive cases involving a multidisciplinary approach; student presentation of complex cases to a graduate faculty forum; defense of treatment plans using documented scientific or clinical evidence.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 618","Current Literature Review I","Credit 1.5. 


1.5 Other Hour.Detailed review of relevant literature on topics selected by the graduate faculty and presentation by graduate students; enhancement of student knowledge in selected subject areas and development of ability to critically evaluate scientific literature.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 619","Current Literature Review II","Credit 1.5. 


1.5 Other Hour.Detailed review of relevant literature on topics selected by the graduate faculty and presentation by graduate students; enhancement of student knowledge in selected subject areas and development of ability to critically evaluate scientific literature.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 620","Current Literature Review III","Credit 1.5. 


1.5 Other Hour.Detailed review of relevant literature on topics selected by the graduate faculty and presentation by graduate students; enhancement of student knowledge in selected subject areas and development of ability to critically evaluate scientific literature.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 621","Clinical Pathology I","Credits 1.50 to 2. 


1.50 to 2 Other Hours.5-2. Presentation and discussion of clinical cases representing various types of oral pathology of both hard and soft tissues; formulation of a logical differential diagnosis and appropriate treatment.","Credits 1.50 to 2. 


1.50 to 2 Other Hours."
"AEGD - Adv Ed Gen Dentistry","AEGD 622","Clinical Pathology II","Credits 1.50 to 2. 


1.50 to 2 Other Hours.5-2. Presentation and discussion of clinical cases representing various types of oral pathology of both hard and soft tissues; formulation of a logical differential diagnosis and appropriate treatment.","Credits 1.50 to 2. 


1.50 to 2 Other Hours."
"AEGD - Adv Ed Gen Dentistry","AEGD 623","Clinical Pathology III","Credits 1.50 to 2. 


1.50 to 2 Other Hours.5-2. Presentation and discussion of clinical cases representing various types of oral pathology of both hard and soft tissues; formulation of a logical differential diagnosis and appropriate treatment.","Credits 1.50 to 2. 


1.50 to 2 Other Hours."
"AEGD - Adv Ed Gen Dentistry","AEGD 624","Ethics in Dentistry","Credit 1.5. 
1.5 Lecture Hour.Ethical approach to practice promotion and professional interactions.","Credit 1.5. 
1.5 Lecture Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 625","Current Concepts in Operative Dentistry","Credit 1.5. 


1.5 Other Hour.Recent theories and techniques relating to restorative dental materials; emphasis on indications and contraindications for tooth-colored restorative materials; esthetic dentistry.","Credit 1.5. 


1.5 Other Hour."
"AEGD - Adv Ed Gen Dentistry","AEGD 626","Advanced Restorative Dentistry Based on Digital Technologies","Credits 0 to 5. 
0 Lecture Hours. 

0 to 5 Other Hours.Implementation of latest technology; intraoral scanners; computer-aided design (CAD) software; additive manufacturing and 3D printing technologies. May be repeated two times for credit.Prerequisite:Graduate classification in the college of dentistry.","Credits 0 to 5. 
0 Lecture Hours. 

0 to 5 Other Hours."
"AEGD - Adv Ed Gen Dentistry","AEGD 689","Special Topics In...","Credits 0 to 4. 


0 to 4 Other Hours.Selected topics in an identified area of advanced education in general dentistry. May be repeated for credit.Prerequisite:Graduate classification.","Credits 0 to 4. 


0 to 4 Other Hours."
"AEGD - Adv Ed Gen Dentistry","AEGD 691","Research","Credits 0 to 10. 


0 to 10 Other Hours.Research for thesis or dissertation.","Credits 0 to 10. 


0 to 10 Other Hours."
"AERO - Aerospace Engineering","AERO 601","Advanced Aerodynamics","Credits 3. 
3 Lecture Hours.Theoretical and approximate solutions for steady and unsteady incompressible flows and steady transonic flows; applications to airfoil, wing and whole-vehicle aerodynamics; approximate methods for boundary layers; introduction to aerodynamic design concepts; design of swept wings and delta wings and control surfaces.Prerequisite:Approval of instructor.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 602","The Theory of Fluid Mechanics","Credits 3. 
3 Lecture Hours.Entry-level theory of fluid mechanics with emphasis on viscous subsonic flows; governing principles and equations, exact solutions to simple problems of the Navier-Stokes equations, similarity solutions and boundary layer theory; flow stability, transition and turbulence.Prerequisite:Graduate classification and approval of instructor.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 603","Continuum Mechanics","Credits 3. 
3 Lecture Hours.Development of field equations for analysis of continua (solids as well as fluids); conservation laws; kinematics, constitutive behavior of solids and fluids; applications to aerospace engineering problems involving solids and fluids.Prerequisite:Graduate classification.Cross Listing:MEMA 602andMEEN 608.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 604","Aerospace Structural Design","Credits 3. 
3 Lecture Hours.Overall structural integrity of complete aerospace systems; structures subjected to critical loads; design considerations in aerospace structures; use of Abaqus as a finite element analysis tool.Prerequisites:Graduate classification;AERO 306, or approval of instructor.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 605","Theory of Elasticity","Credits 3. 
3 Lecture Hours.Analysis of stress and strain in two and three dimensions, equilibrium and compatibility equations, strain energy methods; torsion of noncircular sections; flexure; axially symmetric problems.Prerequisite:Mechanics of Materials, Advanced Calc Different Equations.Cross Listing:MEEN 603andMEMA 601.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 606","Multifunctional Materials","Credits 3. 
3 Lecture Hours.In-depth analysis of multifunctional materials and composites, and their novel applications.Prerequisites:MEMA 602/AERO 603,MSEN 601.Cross Listing:MEMA 606andMSEN 606.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 607","Aerospace Human Systems Integration - Bioastronautics","Credits 3. 
3 Lecture Hours.This course is designed for graduate students and will provide fundamental interdisciplinary topics related to research, engineering, and manufacturing of systems to support humans in spaceflight or similar extreme environments, Human Systems Integration (HSI); engineering design requirements and operations of EVA suits, space stations, and planetary habitats, the changes in human physiology due to microgravity or hypo-gravity; the space environment in LEO, on the Moon and at Mars, thermal, pressure, radiation, micrometeoroids, g-level; design and functions of life support systems; functional components of spacesuits, past, current and future designs of EVA suits; human anthropometric considerations; specific NASA design requirements for Extravehicular Activity (EVA) and Space Habitat Intravehicular Activity (IVA,) with design solution comparisons; discussion of risk and past spacecraft accidents, both US and Russian; may include seminars by Subject Matter Experts (SME) from NASA, academia and industry, subject to availability.Prerequisite:Graduate classification or approval of instructor.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 608","Nanomechanics","Credits 3. 
3 Lecture Hours.Application of mechanics concepts to nano-scale behavior of materials; review of continuum mechanics; extensions to generalized continua; nonlocal elasticity; nano-scale plasticity; focus on multi-scale modeling - dislocation dynamics; quasi-continuum method; molecular dynamics with introductions to quantum mechanics and statistical mechanics.Prerequisite:AERO 603.Cross Listing:MEMA 608andMSEN 608.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 610","Space Domain Awareness","Credits 3. 
3 Lecture Hours.Astronautical and astrodynamical topics pertinent to Space Domain Awareness; Resident Space Objects in Earth orbit and in the Earth-moon system, and observational/ computational resources necessary for their characterization; satellites in cislunar space; space surveillance assets and systems; algorithms for orbit determination, catalog maintenance, and estimation of actionable information.Prerequisites:Graduate classification;AERO 423or equivalent upper-level astrodynamics course; upper-level undergraduate linear algebra course; scientific and engineering programming experience; or approval of instructor.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 614","Human Performance in Aerospace Environments","Credits 3. 
3 Lecture Hours.Introduction to current physiological and psychological aspects affecting human performance during space missions using a quantitative approach and engineering methods.Prerequisite:Graduate classification or approval of instructor.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 615","Computational Fluid Dynamics for Aerospace Applications","Credits 3. 
3 Lecture Hours.Methods for solving internal and external flow problems; viscous and inviscid compressible flow, Euler, Navier-Stokes and Large Eddy Simulation solvers, boundary conditions.Prerequisite:MATH 601or approval of instructor.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 617/MEMA 625","Micromechanics","Credits 3. 
3 Lecture Hours.Eigenstrains; inclusions, and inhomogeneities; Eshelby's solution for an ellipsoidal inclusion; Eshelby's equivalent inclusion method; effective elastic properties of composites; composite spheres and cylinders models; bounds on effective moduli; Hashin-Shtrikman bounds; applications to fiber, whisker and particulate reinforced composites; introduction to micromechanics of inelastic composites and solids with damage.Prerequisites:MEMA 602, orAERO 603,AERO 605.Cross Listing:MEMA 625/AERO 617.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 618/MEMA 626","Mechanics of Active Materials","Credits 3. 
3 Lecture Hours.Introduction to coupled field theories: constitutive response of materials with thermal and electromagnetic coupling; microstructural changes due to phase transformations; shape memory alloys; piezoelectric and magnetostrictive materials; active polymers and solutions; micromechanics of active composites.Prerequisites:MEMA 602.Cross Listing:MEMA 626/AERO 618.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 622","Spacecraft Dynamics and Control","Credits 3. 
3 Lecture Hours.Elements of analytical dynamics; modeling different types of spacecraft and control systems, sensors, and actuators; stability; control system design; effects of flexibility; attitude and orbital coupling; environmental effects.Prerequisites:AERO 422orECEN 420.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 623","Optimal Spacecraft Attitude and Orbital Maneuvers","Credits 3. 
3 Lecture Hours.Application of optimization and optimal control techniques to spacecraft maneuver problems; computation of open loop and feedback controls for linear and nonlinear spacecraft dynamical systems; low-thrust and impulsive control, discretization methods, case studies.Prerequisite:AERO 423or equivalent.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 624","Celestial Mechanics","Credits 3. 
3 Lecture Hours.Analytical and numerical methods for computing spacecraft orbits under the influence of gravitational, aerodynamic, thrust and other forces; Keplerian two-body problem, perturbation methods, orbit determination, navigation and guidance for aerospace vehicles.Prerequisite:AERO 423or equivalent.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 625","Modern Control of Aerospace Systems","Credits 3. 
3 Lecture Hours.Linear and nonlinear controllers for aircraft and spacecraft; state and output feedback of sampled-data control systems; feedback linearization and dynamic inversion; direct sampled-data design using optimal MIMO techniques; sensing considerations, sources and modeling of uncertainties unique to aircraft and spacecraft, robustness analysis.Prerequisite:AERO 422or equivalent.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 626","Estimation of Dynamic Systems","Credits 3. 
3 Lecture Hours.Traditional concepts and recent advances in estimation related to modern dynamic systems found in aerospace disciplines; least squares estimation, state estimation, nonlinear filtering, aircraft position and velocity tracking, attitude determination of spacecraft vehicles, gyro bias estimation and calibration.Prerequisites:AERO 310or equivalent;STAT 211or equivalent.","Credits 3. 
3 Lecture Hours."
"AERO - Aerospace Engineering","AERO 630","Introduction to Random Dynamical Systems","Credits 3. 
3 Lecture Hours.Building on basic probability theory, course covers theory and applications of discrete and continuous random processes; particular attention shall be paid to the response of dynamical systems (discrete, linear and non-linear), to random input processes and their application to Engineering Systems.Prerequisite:Graduate classification.","Credits 3. 
3 Lecture Hours."
