course_code,course_name,credits,description
ACC-465,Taxation II,4 credits,"This course provides a study of the theory and practices of accounting for income taxes of corporations, partnerships, and S corporations. Students explore tax treatment of transactions frequently encountered by various entities and prepare illustrative tax returns and related schedules. Prerequisite: ACC-460."
ACC-482,Accounting Capstone,4 credits,"This course is a synthesis of concepts learned throughout the student’s prior coursework, with a focus on material tested on the Uniform Certified Public Accountant (CPA) Exam. Students reinforce concepts that have been introduced throughout the program and apply these concepts through completing questions and simulations like those found on the Uniform Certified Public Accountant (CPA) Exam. Prerequisites: ACC-485, ACC-460, and ACC-491. Honors Major Course | Ω Non-Transferable © 2017 Grand Canyon University. All Rights Reserved."
ACC-485,Advanced Accounting,4 credits,"This course provides a study of accounting theory as it applies to partnerships and business combinations, international accounting, and governmental accounting. Prerequisites: ACC-370 and ACC- 371."
ACC-486,Financial Statement Analysis,4 credits,"This course provides a detailed analysis and interpretation of a firm’s three principal financial statements and their uses from a managerial perspective. Prerequisites: ACC-240, ACC-260, or ACC-350; and FIN-350."
ACC-491,Auditing,4 credits,"Auditing is an examination of generally accepted auditing standards, procedures involved in the auditing process, and ethical issues faced by the auditor. Through class discussions, practical applications, and case studies, students learn the responsibilities of the independent public auditor in the expression of opinion within the guidelines set by the AICPA’s Code of Professional Ethics. Topics include the nature and types of audits, auditor responsibilities and legal liabilities, audit reports, auditing procedures, ethical issues, contemporary issues in auditing, and the Sarbanes-Oxley Act of 2002. Prerequisites: ACC-260 or ACC-350, and ACC-370."
ACC-502,Accounting Practices,4 credits,"This course is designed for students who are preparing for more advanced coursework in business but who have not had accounting in undergraduate work. Topics covered include the principles and practices of financial accounting, including the fundamentals of revenue recognition, the components of the balance sheet, and financial statement analysis. The course explores accounting theories using publicly traded companies and case studies."
ACC-614,Accounting Research,2 credits,"This course provides students with applied research experience using electronic databases to determine proper application of GAAP, IASs, and IFRSs to practical situations. Students develop the skills needed to access accounting and auditing rules and regulations, company financial statements, and related industry data used for analyzing financial statements."
ACC-616,Financial Research and,4 credits,"Compliance This course provides students with applied research experience using electronic databases to determine proper application of GAAP, IASs, and IFRSs to practical situations. Students develop the skills needed to access accounting, auditing, and taxation rules and regulations; company financial statements; and related industry data used for analyzing financial statements."
ACC-622,Accounting Information Systems,4 credits,"This course provides students with an analysis of current practices and techniques used to design, install, operate, and manage an integrated accounting system in either a manual or a computerized setting. Application controls, information security requirements, and integration with other business information systems are examined. ------------------ ∆ Writing intensive course |  Fulfills General Education requirement | ------------------ Summer 2025 Academic Catalog 265"
ACC-650,Managerial Accounting,4 credits,"This course covers managerial accounting concepts and procedures for internal reporting, including the study of cost behavior, cost systems, budgeting, and performance evaluation. Coursework includes case studies, group projects, and class discussion. Prerequisite: ACC-502."
ACC-653,Advanced Managerial and Cost,4 credits,Accounting This course explores advanced managerial and cost accounting methods frequently used in accounting. Students apply managerial and cost accounting methods that are commonly tested on the Uniform Certified Public Accountant (CPA) Exam Business Analysis and Reporting (BAR) discipline.
ACC-656,Advanced Accounting,4 credits,This course explores advanced accounting theories and practices frequently used in public accounting. Students apply advanced accounting methods that are commonly tested on the Uniform Certified Public Accountant (CPA) Exam: Business Analysis and Reporting (BAR) Discipline.
ACC-657,Advanced Data Analytics,4 credits,This course explores advanced data analytics techniques frequently used in public accounting. Students apply financial data analytics methods that are commonly tested on the Uniform Certified Public Accountant (CPA) Exam: Business Analysis and Reporting (BAR) Discipline.
ACC-658,Governmental and Not-For-Profit,4 credits,Accounting This course explores accounting theories and practices used for governmental and not-for-profit entities. Students apply governmental and not-for-profit accounting methods that are commonly tested on the Uniform Certified Public Accountant (CPA) Exam: Business Analysis and Reporting (BAR) Discipline.
ACC-660,Advanced Financial Accounting,4 credits,"This course is an exploration of advanced topics in financial accounting and reporting, including recognition, measurement, and valuation issues affecting organizations. Prerequisite: ACC- 650."
ACC-661,Flow-Through Entities and,4 credits,"Planning This course is a study of the theory and practices of accounting for income taxes of flow-through entities. In addition, students explore advanced tax planning concepts, including joint ventures and tax research. Prerequisite: ACC-669."
ACC-663,Personal Financial Advisory,4 credits,"Services This course is a study of the theory and practices of financial planning for individuals and business owners. In addition, students explore advanced tax planning concepts, including estate, gift, and trust taxation. Prerequisite: ACC-614. Honors Major Course | Ω Non-Transferable © 2017 Grand Canyon University. All Rights Reserved."
ACC-669,Corporate Taxation,4 credits,"This course is a study of the theory and practices of accounting for income taxes of corporations and state taxation. In addition, students explore advanced tax planning concepts, including acquisitions and consolidated financial statements for tax compliance. Prerequisite: ACC-614."
ACC-670,Advanced Financial Statement,4 credits,"Analysis This course covers in-depth analysis and interpretation of corporate financial reports. Students examine the form, content, and general accounting principles governing the construction of financial statements. There is particular emphasis on the analysis and interpretation of financial data as well as on the utility and limitations of financial accounting data. Prerequisites: ACC-650 or ACC-653, and ACC-660."
ACC-680,Auditing and Data Analytics Core,4 credits,This course is a review of concepts frequently tested on the Uniform Certified Public Accountant (CPA) Exam: Auditing and Accounting Information Systems Core (AUD). Students reinforce concepts learned in undergraduate work and apply them by completing questions and simulations similar to those found on the Uniform CPA Exam.
ACC-681,Tax Core,4 credits,This course is a review of concepts frequently tested on the Uniform Certified Public Accountant (CPA) Exam: Regulation and Taxation Core (REG). Students reinforce concepts learned in undergraduate work and apply them by completing questions and simulations similar to those found on the Uniform CPA Exam.
ACC-682,Accounting and Data Analytics,4 credits,Core This course is a review of concepts frequently tested on the Uniform Certified Public Accountant (CPA) Exam: Accounting and Data Analytics Core (ACC). Students reinforce concepts learned in undergraduate work and apply them by completing questions and simulations similar to those found on the Uniform CPA Exam.
ACC-683,TCP Discipline Capstone,2 credits,"This course is a review of concepts frequently tested on the Uniform Certified Public Accountant (CPA) Exam: Tax Compliance and Planning (TCP). Students reinforce concepts learned in prior graduate work and apply them by completing questions and simulations similar to those found on the Uniform CPA Exam. Prerequisites: ACC-669, ACC-661, and ACC-663."
ACC-685,BAR Discipline Capstone,2 credits,"This course is a review of concepts frequently tested on the Uniform Certified Public Accountant (CPA) Exam: Business Analysis and Reporting (BAR) Discipline. Students reinforce concepts learned throughout the program and apply them by completing questions and simulations similar to those found on the Uniform CPA Exam. Prerequisites: ACC-653, ACC-656, ACC-657, and ACC-658. ------------------ ∆ Writing intensive course |  Fulfills General Education requirement | ------------------ Summer 2025 Academic Catalog 266 Administration (ADM)"
ADM-530,Public and Nonprofit,4 credits,"Administration This course examines the day-to-day duties of public administrators. Relationship building, political awareness, and collaborative strategies are highlighted throughout the course. How to best employ skills for the effective running of an organization is incorporated."
ADM-560,"Influence, Power, and Politics in",4 credits,Public Administration This course examines power and political structures employed within public administration. The ethical use of power and how to effectively influence others in public administration is practiced.
ADM-614,Economics for Public,4 credits,"Administrators In this course, the role of government in the economy is explored within the general context of market failure and social equity. Topics include allocation of goods and services, income distribution, externalities, public goods, and public choice theory. This course also examines the impact of macroeconomic events and policy decisions on the budgets and service levels of public entities."
ADM-620,Leading Public Organizations,4 credits,This course examines leadership practices and qualities necessary to lead an organization. A focus is given to the science of organizational behavior and how it contributes to effective leaders and managers.
ADM-624,Public Governance,4 credits,"This course focuses on how government and public organizations serve their stakeholders, the manner in which their services are carried out, how resources are managed, and how regulatory powers are complied with and/or managed. The best practices in public governance, issues related to transparency, participation, and accountability are examined."
ADM-626,Public Budgeting and Financial,4 credits,"Management This course provides an introduction to the revenue and expenditure structure of the public sector, including revenue policy, expenditure policy, and budget structure and administration."
ADM-630,Introduction to the Nonprofit and,4 credits,"NGO Sector This course explores the theories and concepts of nonprofit and nongovernmental organizations, stressing their waxing importance in the domestic and international arenas. In particular, the course examines the history, structure, management, missions, and future of nonprofits and NGOs. Honors Major Course | Ω Non-Transferable © 2017 Grand Canyon University. All Rights Reserved."
ADM-634,Policy Studies,4 credits,"This course focuses on how challenges and problems facing society become policy issues. Leading theories in policy analysis and the policy-making process are examined and critiqued. The impact of policy decisions on various groups within society (related to gender, age, ethnicity, etc.) is also examined."
ADM-638,Fundamentals of Community,4 credits,"Development This course reviews the theoretical concepts on community development. The practice of community development includes effective mobilization, building, and management of collective efforts. In particular, the course explores the social, political, economic, environmental, and religious aspects of community- based collective action to solve pressing problems."
ADM-640,Program Evaluation,4 credits,This course examines systematic program evaluation using various research methods. A focus is given to Local and State programs and policies.
ADM-641,Funding and Program Evaluation,4 credits,"of Nonprofit Organizations This course addresses the many facets of funding for nonprofit organizations. Relationship building, in addition to various funding strategies are covered. Approaches to keep an organization on solid financial ground are examined."
ADM-645,Strategic Planning and Program,4 credits,"Evaluation in Healthcare This course exposes students to the role strategic planning and program evaluation play in developing, implementing, and assessing public health care programs. The use of a strategic planning and program evaluation framework for program proposals is covered. Advertising (ADV)"
ADV-110,Fundamentals of Advertising,4 credits,This course introduces the fundamentals of the advertising industry including basic elements of campaign strategy and design. Students learn the foundational communication and writing skills necessary to create effective campaigns. Contemporary legal and ethical issues in advertising are also addressed. Technology requirement: Students are responsible for providing their own laptop that is capable of running the Adobe Creative Cloud. Verify required technical specifications in the University Policy Handbook available on www.gcu.edu. ------------------ ∆ Writing intensive course |  Fulfills General Education requirement | ------------------ Summer 2025 Academic Catalog 267
ADV-250҂,Advanced Design Fundamentals,4 credits,"This course builds on design fundamentals by increasing students’ understanding of content development and production methods within the advertising design process. Students will create and produce advertising campaigns and products of various scope and size. Technology requirement: Students are responsible for providing their own laptop that is capable of running the Adobe Creative Cloud. Verify required technical specifications in the University Policy Handbook available on www.gcu.edu. Prerequisite: ADV-110, DDN-110 or DDN-115."
ADV-260∆,Advertising Copywriting,4 credits,This writing intensive course focuses on creative copywriting techniques to develop advertising campaigns for print and multimedia channels. Students enhance persuasive writing skills to create compelling and ethical advertising campaigns that are competitive in the industry. Technology requirement: Students are responsible for providing their own laptop that is capable of running the Adobe Creative Cloud. Verify required technical specifications in the University Policy Handbook available on www.gcu.edu.
ADV-340∆҂,Media Law and Ethics,4 credits,"This writing intensive course provides an overview of the laws and regulations that apply to advertising, marketing, and media organizations with emphasis on business organization, intellectual property, and regulatory processes. Ethical practices and theory as they apply to the mass media industry are also addressed. Technology requirement: Students are responsible for providing their own laptop that is capable of running the Adobe Creative Cloud. Verify required technical specifications in the University Policy Handbook available on www.gcu.edu."
ADV-350∆҂,Digital Advertising Communication,4 credits,"This writing intensive course explores integrated marketing communications and the development of marketing and advertising messages across digital platforms. Students focus on current trends in online advertising, social media platforms, and relevant emerging technologies. Technology requirement: Students are responsible for providing their own laptop that is capable of running the Adobe Creative Cloud. Verify required technical specifications in the University Policy Handbook available on www.gcu.edu. Prerequisite: DDN-110 or DDN-115, ADV-260."
ADV-355,Image Creation,4 credits,"Students learn methods of image creation, including vectors, typographic, and pixel-based imagery manipulation, for the purposes of aligning image production with advertising campaign strategy. Emphasis is placed on selection of appropriate imagery through analysis of audience needs, historical representation of ideas, stereotypes, and cultural iconography. Technology requirement: Students are responsible for providing their own laptop that is capable of running the Adobe Creative Cloud. Verify required technical specifications in the University Policy Handbook available on www.gcu.edu. Prerequisite: DDN-110 or DDN-115. Honors Major Course | Ω Non-Transferable © 2017 Grand Canyon University. All Rights Reserved."
ADV-371,Design Studio I,4 credits,"Students work with industry-based projects within a highly collaborative environment to develop strong strategy and concept development methodologies. Projects focus on production methods for print, web, and digital media. Technology requirement: Students are responsible for providing their own laptop that is capable of running the Adobe Creative Cloud. Verify required technical specifications in the University Policy Handbook available on www.gcu.edu. Prerequisites: DDN-120 and DDN-210."
ADV-456,Design Studio II,4 credits,In this course students use the principles of user experience and user interaction to improve client-brand relationships within industry-based projects. Students create client and consumer profiles and develop projects within a highly collaborative environment. Technology requirement: Students are responsible for providing their own laptop that is capable of running the Adobe Creative Cloud. Verify required technical specifications in the University Policy Handbook available on www.gcu.edu. Prerequisite: ADV-371.
ADV-471,Design Studio III,4 credits,"Working with industry-based projects, students act as art directors to concept, develop, and produce interactive and multi- platform advertising solutions within a highly collaborative environment. Working in teams, students strengthen their process of collaboration from initial project identification through to final production. Technology requirement: Students are responsible for providing their own laptop that is capable of running the Adobe Creative Cloud. Verify required technical specifications in the University Policy Handbook available on www.gcu.edu. Prerequisite: ADV-350, ADV-456. Aerospace Studies (AES)"
AES-101,Air Force Today I,2 credits,"Every Fall. A survey course designed to introduce students to the United States Air Force and Air Force Reserve Officer Training Corps (AFROTC). Featured topics include: mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, group leadership problems and an introduction to communication skills. Leadership Laboratory (AES-102) is mandatory for AFROTC cadets and complements this course by providing cadets with followership and leadership experiences."
AES-101A,Heritage and Values I,2 credits,"A survey course designed to introduce students and cadets to the Department of the Air Force (DAF) and the Air Force Reserve Officer Training Corps (AFROTC). The course allows students and cadets to examine general aspects of the DAF, leadership fundamentals, service benefits, and opportunities for officers. The course also lays the foundation for becoming an Airman or Guardian by outlining our heritage and values. As a foundational course, this course provides a historical perspective such as lessons on war and US military, DAF operations, principles of war, and airpower. ------------------ ∆ Writing intensive course |  Fulfills General Education requirement | ------------------ Summer 2025 Academic Catalog 268"
AES-101B,DAF Professionalism,2 credits,"The aim of Course 1: “DAF Professionalism” is to cultivate a foundational understanding and appreciation of the Department of the Air Force's (DAF) core values, culture, and the essential personal attributes that define professionalism within this unique environment. This course is meticulously designed to bridge theoretical knowledge with practical skills, fostering a cadre of well-rounded students ready to excel in the DAF ecosystem. Upon completion of this course, students will have a solid grasp of the DAF culture and the personal and professional qualities necessary for success within it. They will understand the significance of self-mastery, the dynamics of effective followership, and the importance of innovative problem-solving. With these foundational skills and knowledge, students will be better prepared to embark on their journey to become future leaders of the DAF."
AES-102,Leadership Laboratory,0 credits,"Every Fall. Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. It is a student planned, organized, and executed practicum conducted under the supervision of the detachment commander and commandant of cadets. Leadership Lab emphasizes common Air Force customs and courtesies, drill and ceremonies, health and physical fitness through group participation. Co-requisite: AES-101."
AES-103,The Air Force Today II,2 credits,"Every Spring. A survey and follow-on course to AES-101 designed to introduce students to the United States Air Force and encourage participation in Air Force Reserve Officer Training Corps (AFROTC). Featured topics include: introduction to leadership, Air Force Core Values, introduction to interpersonal communication and team building, and a continuation of communication skills. Prerequisite: AES-101. Co-Requisites: Leadership Laboratory (AES-104) is mandatory for AFROTC cadets and complements this course by providing cadets with followership experiences."
AES-103A,Heritage and Values II,2 credits,"A survey course designed to introduce students and cadets to the Department of the Air Force (DAF) and the Air Force Reserve Officer Training Corps (AFROTC). The course allows students and cadets to examine general aspects of the DAF, leadership fundamentals, service benefits, and opportunities for officers. The course also lays the foundation for becoming an Airman or Guardian by outlining our heritage and values. As a foundational course, this course provides a historical perspective such as lessons on war and US military, DAF operations, principles of war, and airpower. Honors Major Course | Ω Non-Transferable © 2017 Grand Canyon University. All Rights Reserved."
AES-103B,Competition and Security,2 credits,"The overarching aim of Course 2, “Competition and Security,"" is to introduce students to the concept of national security from a broad perspective, encompassing the military's involvement in securing national interests through a range of activities from cooperation to armed conflict. This course is designed to lay a solid foundation for understanding the multifaceted nature of global security and the critical role of the DAF in maintaining peace and security. By the end of this course, students will have a solid grasp of the nature of conflict and the continuum of competition, appreciating the nuanced roles the military plays in both peacetime and wartime efforts to secure national interests. Students should understand the DoD structure and the specific contributions of the DAF, grounded in a comprehensive view of national security strategies."
AES-104,Leadership Laboratory,0 credits,"Every Spring. Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. It is a student planned, organized, and executed practicum conducted under the supervision of the detachment commander and commandant of cadets. Prerequisites: AES-104 is a continuation of AES-102 with more in-depth emphasis on learning the environments and dynamics of an Air Force officer. Co-Requisite: AES-103."
AES-201,Evolution of USAF Air/Space,2 credits,"Power Every Fall. This course focuses on facilitating the transition from Air Force ROTC cadet to Air Force ROTC candidate. The course is designed to examine the general aspects of air and space power through a historical perspective. Utilizing this perspective, the course covers a time period from the first balloons and dirigibles to the modern technology currently used in overseas contingency operations. Featured topics include: Air Force heritage, Air Force leaders, introduction to ethics and values, group leadership problems and continuing application of communication skills. Leadership Laboratory (AES-202) is mandatory for AFROTC cadets and complements this course by providing cadets with followership and leadership experiences. Prerequisite: AES-103."
AES-201A,Team and Leadership,2 credits,"Fundamentals I A survey course designed to provide a fundamental understanding of both leadership and team building. Students and cadets will learn that there are many layers to leadership, including aspects that do not always come to mind. Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students and cadets will apply these leadership perspectives when completing team building activities and discussing things like conflict management. Students and cadets should demonstrate basic verbal and written communication skills. ------------------ ∆ Writing intensive course |  Fulfills General Education requirement | ------------------ Summer 2025 Academic Catalog 269"
AES-202,Leadership Laboratory,2 credits,"Every Fall. Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. AES-202 provides application of advanced drill and ceremonies, issuing commands, knowing flag etiquette, and developing, directing, and evaluating skills to lead others. Co-requisite: AES-201."
AES-202A,Leadership Laboratory,0 credits,"Every Fall. Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. AES-202A provides application of advanced drill and ceremonies, issuing commands, knowing flag etiquette, and developing, directing, and evaluating skills to lead others. Co-requisite: AES-201."
AES-203,Evolution of USAF Air/Space,2 credits,"Power Every Spring. Continuation of AES-201. The course provides students with knowledge level understanding for general element and employment of air and space power. Furthermore, it discusses the importance of Air Force Core Values with use of operational examples and historical Air Force leaders. Continues to develop communication skills. Topics include: the Air Force mission and organization, modern joint expeditionary Airmen, officer opportunities, and professionalism. Prerequisite: AES-201 or department approval. Co-Requisites: Leadership Laboratory (AES-204) is mandatory for AFROTC cadets and complements this course by providing cadets with followership and leadership experiences."
AES-203A,Team and Leadership,2 credits,"Fundamentals II A survey course designed to provide a fundamental understanding of both leadership and team building. Students and cadets will learn that there are many layers to leadership, including aspects that do not always come to mind. Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students and cadets will apply these leadership perspectives when completing team building activities and discussing things like conflict management. Students and cadets should demonstrate basic verbal and written communication skills."
AES-204,Leadership Laboratory,0 credits,Every Spring. Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. Continuation of AES-202 with an emphasis on preparation for field training. Co-requisite: AES-203. Honors Major Course | Ω Non-Transferable © 2017 Grand Canyon University. All Rights Reserved.
AES-294A,Air Force Physical Fitness,2 credits,Every Spring. Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. Continuation of AES-202 with an emphasis on preparation for field training. Co-requisite: AES-203.
AES-294B,Air Force Physical Fitness,2 credits,Every Spring. Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. Continuation of AES-202 with an emphasis on preparation for field training. Co-requisite: AES-203.
AES-294C,Air Force Physical Fitness,2 credits,Every Spring. Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. Continuation of AES-202 with an emphasis on preparation for field training. Co-requisite: AES-203.
AES-294D,Air Force Physical Fitness,2 credits,Every Spring. Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. Continuation of AES-202 with an emphasis on preparation for field training. Co-requisite: AES-203.
AES-294E,Air Force Physical Fitness,2 credits,Every Spring. Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. Continuation of AES-202 with an emphasis on preparation for field training. Co-requisite: AES-203.
AES-294F,Air Force Physical Fitness,2 credits,"Instruction on adapted physical activities to promote a healthy Air Force lifestyle mixed with a variety of sports and sports activities to include calisthenics, sit-ups, push-ups, running, basketball, volleyball, and other physical events. Co-Requisite: AES-101, AES-103, AES-201, AES-203, AES-301, AES-303, AES-401 or AES-403."
AES-294G,Air Force Physical Fitness,2 credits,"Instruction on adapted physical activities to promote a healthy Air Force lifestyle mixed with a variety of sports and sports activities to include calisthenics, sit-ups, push-ups, running, basketball, volleyball, and other physical events. Co-Requisite: AES-101, AES-103, AES-201, AES-203, AES-301, AES-303, AES-401 or AES-403. ------------------ ∆ Writing intensive course |  Fulfills General Education requirement | ------------------ Summer 2025 Academic Catalog 270"
AES-294H,Air Force Physical Fitness,2 credits,"Instruction on adapted physical activities to promote a healthy Air Force lifestyle mixed with a variety of sports and sports activities to include calisthenics, sit-ups, push-ups, running, basketball, volleyball, and other physical events. Co-Requisite: AES-101, AES-103, AES-201, AES-203, AES-301, AES-303, AES-401 or AES-403."
AES-301,U.S. Air Force Communication,3 credits,"Management Leadership Every Fall. A study of leadership, quality management fundamentals, professional knowledge, Air Force personnel evaluation systems, leadership ethics, and the communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical applications of the concepts being studied. Individual leadership skills and personal strengths and weaknesses are applied to the Air Force environment. Prerequisite: AES-203. Co-Requisites: Leadership Laboratory (AES-302) is mandatory for AFROTC cadets and complements this course by providing cadets with followership and leadership experiences."
AES-301A,Leading People and Effective,3 credits,"Communication I This survey course is a study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Lecture, text, case studies, and class discussion will be used to examine all aspects of leadership including counseling, mentoring, empowering, problem solving, accountability and authority. Students and cadets will develop upon basic written and oral communications skills primarily through written assignments and oral presentations."
AES-302,Leadership Laboratory,0 credits,Every Fall. Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. Advanced leadership experiences applying leadership and management principles to motivate and enhance the performance of other cadets. Leadership traits and abilities are enhanced. Co-Requisite: AES-301.
AES-303,Air Force Leadership Studies II,3 credits,"Every Spring. AES-303 is a continuation of AES-301 on the study of leadership and management fundamentals, professional knowledge, leadership ethics, and communicative skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. Prerequisite: AES-203. Co-Requisites: Leadership Laboratory (AES-304) is mandatory for AFROTC cadets and complements this course by providing cadets with followership and leadership experiences. Honors Major Course | Ω Non-Transferable © 2017 Grand Canyon University. All Rights Reserved."
AES-303A,Leading People and Effective,3 credits,"Communication II This survey course is a study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Lecture, text, case studies, and class discussion will be used to examine all aspects of leadership including counseling, mentoring, empowering, problem solving, accountability and authority. Students and cadets will develop upon basic written and oral communications skills primarily through written assignments and oral presentations."
AES-304,Leadership Laboratory,0 credits,Every Spring. Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. Continuation of AES-302 with emphasis on planning the military activities of the cadet corps and applying advanced leadership methods. Co-Requisite: AES-303.
AES-401,National Security Affairs,3 credits,"Every Fall. The course examines the national security process, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics of interest include the military as a profession, officership, military justice, civilian control of the military, preparation for active duty, and current issues affecting the military profession. Within this structure, continued emphasis is given to the refinement of communication skills. Prerequisite: AES-303. Co-Requisites: Leadership Laboratory (AES-402) is mandatory for AFROTC cadets and complements this course by providing cadets with followership and leadership experiences."
AES-401A,"National Security, Leadership",3 credits,Responsibilities Commissioning Preparation I This course is designed to address the basic elements of national security policy and process. The cadets and students will comprehend the air and space power operations as well as understand selected roles of the military in society and current domestic and international issues affecting the military profession. Students and cadets will develop upon basic written and oral communications skills primarily through written assignments and oral presentations.
AES-402,Leadership Laboratory,0 credits,Every Fall. Leadership Laboratory (LLAB) is a dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air Force second lieutenants and complement the AFROTC academic program. Advanced leadership experience demonstrating learned skills in planning and controlling the military activities of the corps. Co-Requisite: AES-401. ------------------ ∆ Writing intensive course |  Fulfills General Education requirement | ------------------ Summer 2025 Academic Catalog 271
