"code","level","title","department","description"
"ANTHRO-150","Undergraduate","Ancient Civilizations","Anthropology","The emergence and character of the world&#039;s first civilizations: Mesopotamia, Egypt, Indus Valley, Shang China, the Olmec and Maya of Mesoamerica, and the Chavin of Peru. Topics include the Neolithic background to the rise of civilizations and theories on the rise and fall of civilizations. (Gen.Ed. HS, DG)"
"ANTHRO-208","Undergraduate","Human Ecology","Anthropology","The study of human/environmental interactions. Emphasis on biological and cultural responses by contemporary human groups to pervasive environmental problems. Examples from mountains, grasslands, deserts, and tropical forests. (Gen.Ed. SB, DG)"
"ANTHRO-270","Undergraduate","North American Indians","Anthropology","Survey of the indigenous people of America north of Mexico; their regional variations and adaptations, their relationship to each other, and the changes taking place in their lifeways. (Gen.Ed. SB, DU)"
"ANTHRO-330","Undergraduate","Anthropology of Childhood: Global Perspectives","Anthropology","this course will introduce students to the anthropological study of children and youth drawing on classical and contemporary ethnography. Students will explore the ways in which childhood is socially constructed with a wide breadth and variety of meanings and expectations. Students will become familiar with some socio-historical and theoretical frameworks to help them think critically about childhood as an object of ethnographic study. We will challenge assumptions about childhood including depictions of children as passive receivers of cultural knowledge, and children as future workers. This course will engage students in ethnographic accounts that demonstrate a variety of contexts in which children learn and participate in everyday life outside of the classroom. In this course, we will consider how children and youth are active agents in shaping the world around them and conversely, how they are shaped by social, political and economic conditions. (Gen. Ed. SB, DG)"
"ARCH-101","Undergraduate","Introduction to Architecture Design and Graphics II","Architecture","An introduction to fundamental &quot;design thinking&quot; and graphic communication skills in architecture. Second of a 2-part series. Course can be taken alone or as part of series. (Gen. Ed. AT)"
"ARTS-EXT-390D","Undergraduate","Creative Community Leadership","Arts Extension","This course teaches how to use the arts and the creative process as a tool for social change, as well as the skills to practice effective creative community collaboration and partnership development. Students will explore the structure and dynamics of social and cultural ecosystems and strategies for working effectively within them; develop awareness of how race, rank and privilege affect community cultural development; and acquire and practice adaptive leadership and inquiry-based learning skills as keys to successful work in change-constant environments. This course will provide leadership training to support cultural practice as an overarching resource for advancing collaborative, creative problem solving and innovation across multiple community sectors."
"ARTS-EXT-391A","Undergraduate","Seminar- Foundations in Arts Entrepreneurship","Arts Extension","This 3-credit course is designed as a primer in entrepreneurship for arts students and those in cognate fields. Students will examine the breadth of professional opportunities available in the Creative Economy and explore strategies for pursuing them. Based on these examinations, students will construct a personal mission statement, build an individualized portfolio of materials appropriate for professional development purposes, and begin a journal to formulate, collect, and grow creative venture ideas. Topics will include creative visioning, an introduction to the for-profit and non-profit economies, and relevant arts policy."
"ARTS-EXT-500","Graduate","Introduction to Arts Management","Arts Extension","Arts Managers perform the work that is required to bring the arts and cultural programs to audiences, organizing programs such festivals and exhibits, performing arts events and film screenings. This course will introduce you to the &quot;business of the arts,&quot; providing you with an overview of the careers in arts management, the types of work that arts managers do, and the current issues and trends now affecting arts management professionals. This course is designed for individuals who are new to the field of arts management, are considering an arts management career, or are interested in arts management principles for the purposes of starting one&#039;s own nonprofit. This course is a requirement for all UMass students joining the Arts Management program who have no prior experience in the field."
"ARTS-EXT-502","Graduate","Arts Marketing","Arts Extension","Marketing is the most important tool to build awareness of your programs and services, and - if properly planned - can help you to reach new audiences and cultivate loyalty in those you already serve. This course will introduce you to the fundamentals of marketing for arts and cultural programs. You will learn basic marketing concepts, such as understanding the marketing mix, utilizing environmental analysis, developing position statements and branding an organization to help you formulate effective marketing strategies. Emphasis will be placed on understanding audiences and building participation in your programs and services. Assignments will culminate in the development of a marketing plan for your own nonprofit or a case study organization of your choosing. Please note: all course work is applied to a case study organization, which may be your own organization or one where you volunteer. Students will be required to take HM&amp;FNART 500 - Introduction to Arts Managment, either concurrently or as a prerequisite."
"ASTRON-101","Undergraduate","The Solar System","Astronomy","Lecture: For nonscience majors. Introduction to the physical characteristics of the earth, moon, planets, asteroids and comets, their motions and gravitational interactions. Recent discoveries of space probes relative to formation of the solar system and origin of life. Lab: Multiple sections. For nonscience students. Introduction to the night sky, telescopes, astronomical events, and celestial maps. Visual and telescopic observations of the constellations, moon, planets, stars, and other interesting astronomical objects. (Gen.Ed. PS)"
"BDIC-391F","Undergraduate","S-The Paranormal: Ways of Thinking about the Unknown","Bachelor's Degree Individual Concentration (BDIC)","The study of the paranormal, straddling the space between belief and science, brings to the fore the manner in which humans attempt to distinguish real from unreal. This course will not attempt to prove or isprove the existence of ghosts, UFOs or Big Foot, but, by exploring the history of the paranormal, its literature, science and pseudo-science, we will study its methodology, difficulties, and extraordinary emotional appeal."
"BDIC-391L","Undergraduate","Seminar- FUNDamentals of Grants in the Nonprofit Sector","Bachelor's Degree Individual Concentration (BDIC)","This course focuses on the pre-award phase of grantseeking from private grantmaking foundations. It will offer a solid introduction to the philanthropic landscape while imparting best practices and sharpening skills required to produce a successful grant proposal. Topics include the history of institutional charity, current trends in grantmaking, strategic prospect research, understanding funding guidelines and documentation requirements, grantsmanship, and the grants review process."
"CE-ENGIN-541","Graduate","Structural Dynamics","Civil and Environmental Engineering","Behavior of structures and structural components exposed to time dependent loadings. Vibrations of systems; descriptions of dynamic systems. Prerequisites: CE-ENGIN 331, MATH 331."
"CHEM-111","Undergraduate","Gen Chem-Sci","Chemistry","Basic principles of structure and reactivity. Microscopic nature of atoms and molecules; the macroscopic properties of chemical systems. Topics include stoichiometry, thermochemistry, atomic structure, molecular structure, properties of gases. (Gen.Ed. PS)"
"CHEM-112","Undergraduate","Gen Chem-Sci","Chemistry","Continuation of CHEM 111. States of matter, solutions, thermodynamics, equilibrium, kinetics, oxidation-reduction processes, and electrochemical cells. (Gen.Ed. PS)"
"CHEM-261","Undergraduate","Organic Chemistry","Chemistry","Together with CHEM 262 satisfied requirements for medical school admissions. Acceptable, with approval of the Undergraduate Chemistry Adviser, though not recommended, for chemistry majors. Brief review of basic principles of chemical bonding, electronic theory, and acid-base reactions. Introduction to principles of stereochemistry and organic spectroscopy. Discussions of the most common types of reactions of organic molecules and their mechanisms."
"CHEM-262","Undergraduate","Organic Chemistry","Chemistry","Organic Chemistry II for Non Majors. Together with CHEM 261 satisfies requirements for medical school admissions. Acceptable, with approval of the Undergraduate Chemistry Adviser, though not recommended, for chemistry majors. Brief review of basic principles of chemical bonding, electronic theory, and acid-base reactions. Introduction to principles of stereochemistry and organic spectroscopy. Discussions of the most common types of reactions of organic molecules and their mechanisms."
"COMM-121","Undergraduate","Introduction to Media and Culture","Communication","Media play a central role in politics, economics, culture, and our everyday lives. Our key concern is to understand both the direct and subtle operations of media power in society today: How do media construct meaning? How do new communication technologies shape our most intimate and personal relationships? How and why do data-driven corporations track and monetize their users often without their consent or political accountability? This class introduces students to different media studies traditions including medium theory, political economy, representation, media effects, and audience studies that examine media as technologies, institutions, narratives, and their audiences / users."
"COMM-310","Undergraduate","Social Influence and Persuasion","Communication","Social influence is a powerful driving force for human behavior. Understanding the fundamental mechanism of social influence is essential for strategic communication and decision making, whether you are in communication, data science, or management. In this course, we will learn why and under what conditions our attitudes and actions can be influenced by those around us. We will explore key theories and research findings in social psychology and economics, and apply persuasive communication techniques through case studies and hands-on projects."
"COMM-386","Undergraduate","Race, Inequality and Representation","Communication","This course deals with issues of racial stratification and inequality in the United States, and the ways in which we understand them - the stories we tell ourselves about WHY the world is organized as it. It deals with both the reality of race as well as the way that reality is represented, and why, as a society, we refuse to seriously address its disastrous consequences. (Gen. Ed. SB)"
"COMM-491X","Undergraduate","Seminar- Social Media &amp; Society","Communication","Social media continue to evolve and interact with our existing patterns of communication. Individuals, organizations, as well as policy makers are tasked with evaluating the risks and merits of information spread through online social networks. In this course, we will examine the current state of research and key findings on the uses and effects of social media. We will cover a wide range of theoretical perspectives to understand complex issues that emerged in social media platforms, such as big data and ethics, digital youth and privacy."
"COMM-494KI","Undergraduate","News and Public Opinion","Communication","Digital technology has transformed the news environment and diversified how public opinion is formed and expressed. This course is designed to offer a framework for understanding the broad impact of these changes on citizens as well as the democratic system. We will discuss foundational theories of political communication and address emerging issues in the digital news environment, ranging from the use of artificial intelligence in the newsroom to the changing perceptions of information credibility. This course fulfills the IE (Integrative Experience) requirement at UMass Amherst."
"COMP-LIT-121","Undergraduate","International Short Story","Comparative Literature","This class offers an introduction to the short story as a literary genre and will cover works from different parts of the world. The course is designed to familiarize students with the analytical tools to read, interpret, and discuss short fiction. We will explore the cultural contexts and the power relations operative with each individual story, especially with reference to race, class, and gender. Assigned texts may include fantastic tales, surprise endings, or science fiction. (Gen. Ed. AL)"
"COMPSCI-532","Graduate","Systems for Data Science","Computer Science","In this course, students will learn the fundamentals behind large-scale systems in the context of data science. We will cover the issues involved in scaling up (to many processors) and out (to many nodes) parallelism in order to perform fast analyses on large datasets. These include locality and data representation, concurrency, distributed databases and systems, performance analysis and understanding. We will explore the details of existing and emerging data science platforms, including MapReduce-Hadoop, Spark, and more."
"COMPSCI-546","Graduate","Applied Information Retrieval","Computer Science","This course is intended to cover information retrieval and other information processing activities, from an applied perspective. There will be numerous programming projects and quizzes. Topics will include: search engine construction (document acquisition, processing, indexing, and querying); learning to rank; information retrieval system performance evaluation; classification and clustering; other machine learning information processing tasks; and many more."
"COMPSCI-561","Graduate","System Defense and Test","Computer Science","This class trains students to detect and analyze weaknesses and vulnerabilities in target systems as a method of assessing the security of a system. Such techniques have various names, including penetration testing and ethical hacking. We focus on tools and techniques that an attacker would employ but from the perspective of an ethical system administrator. Broad topics include: tools and techniques for penetration testing and attacks, information gathering, social engineering, and defenses. Specific topics include malware, denial-of-service attacks, man-in-the-middle (MITM) attacks, SQL injection, buffer overflow, session hijacking, and system hacking, network sniffing and scans, wireless encryption weaknesses and other Wi-Fi issues, IDS/Firewall evasion, Metasploit tools, physical security, and setting up honeypots."
"COMPSCI-564","Graduate","Cyber Effects: Reverse Engineering, Exploit Analysis, and Capability Development","Computer Science","This course covers a range of topics related to cyber security and operations. As each topic could be its own course, they will be presented broadly. The focus is on real-world studies of reverse engineering, exploit analysis, and capability development within the context of computer network operations and attack. The course has a strong emphasis on hands-on exercises and projects. Industry-standard tools such as Ghidra and CVE will be leveraged. Lectures will cover a lot of material and the assignments will likely be on material that students have not had experience in, so individual online research will be necessary. Students are not expected to be at a professional skill level in each of these topics by the end of the course, but instead the objective is to ensure that each student has at least a fundamental understanding of each topic and how they influence each other. Students should be prepared to learn about both COMPSCI and ECE concepts."
"COMPSCI-565","Graduate","Advanced Digital Forensic Systems","Computer Science","This course introduces students to the principal activities and state-of-the-art techniques involved in developing digital forensics systems. Topics covered may include: advanced file carving and reconstruction, forensic analysis of modern filesystems, network forensics, mobile device forensics, memory forensics, anti-forensics, and forensic applications of machine learning."
"COMPSCI-589","Graduate","Machine Learning","Computer Science","Introduction to core machine learning models and algorithms for classification, regression, dimensionality reduction and clustering. The course will cover the mathematical foundations behind the most common machine learning algorithms, and the effective use in solving real-world applications. Requires a strong mathematical background and knowledge of one high-level programming language such as Python."
"COMPSCI-590AE","Graduate","Mobile and Wireless Networks","Computer Science","This course covers both the principles and the practice of mobile and wireless networks. Topics will include application use cases, the unique aspects of the wireless (as opposed to wireline) links, and approaches for handling mobility, authentication, security and privacy, energy management, user localization, and virtualization in mobile and wireless networks. The focus of &#039;practice&#039; will cover the overall architectures (both control plane and data plane) of 802.11 (WiFi) networks and 4G/5G cellular systems; Bluetooth, satellite, and IoT networks will also be briefly covered. This course counts as a CS Elective for the CS Major."
"COMPSCI-596E","Graduate","Indepedent Study- Machine Learning Applied to Child Rescue","Computer Science","Students will work collaboratively to construct production-grade software used to advance the goal of Child Rescue. This course is a group-based, guided independent study. Our goal is to build practical machine learning models to be used by professionals dedicated to rescuing children from abuse. Students will be encouraged to design and build their own diagnostic and machine learning tools, while also learning from professionals in the fields of digital forensics and law enforcement. An emphasis is placed on practicing real world professional software engineering skills, such as dealing with limiting scope, productionisation concerns, and working in the presence of poorly defined problems. The entire student group will meet once a week to share progress via short presentations."
"COMPSCI-645","Graduate","Database Design &amp; Implementation","Computer Science","Covers topics such as the relational model, query languages, database design; storage and indexing, query processing and optimization, transaction management; scalability and parallelization, big data systems; cloud databases; graph data; database management systems and machine learning."
"COMPSCI-651","Graduate","Optimization in Computer Science","Computer Science","Optimization techniques are frequently used in many areas of computer science, in particular in machine learning, to handle a variety of large-scale, data intensive problems. Moreover, algorithmic tools of ever-increasing sophistication are introduced at a fast pace, offering unparalleled opportunities to solve problems efficiently. This class will cover a wide range of optimization methods, including convex, nonconvex and discrete optimization. The first two thirds of the course are dedicated to foundational topics, whereas the last third is dedicated to the study and understanding of cutting-edge techniques presented at leading conferences in the field."
"COMPSCI-677","Graduate","Distributed and Operating Systems","Computer Science","An in-depth examination of principles of distributed systems and advanced operating systems. Topics include client-server programming, distributed scheduling, virtualization and cloud computing, distributed storage, IoT. Familiarity with an undergraduate course on operating systems (COMPSCI 377 or equivalent) is helpful."
"COMPSCI-682","Graduate","Neural Networks: A Modern Introduction","Computer Science","This course will focus on modern, practical methods for deep learning with neural networks. The course will begin with a description of simple classifiers such as perceptrons and logistic regression classifiers, and move on to standard neural networks, convolutional neural networks, some elements of recurrent neural networks, and transformers. The emphasis will be on understanding the basics and on practical application more than on theory. Many applications will be in computer vision, but we will make an effort to cover some natural language processing (NLP) applications as well. The current plan is to use Python and associated packages such as Numpy and Pytorch. Required background includes Linear Algebra, Probability and Statistics, and Multivariate Calculus. All assignments will be in the Python programming language."
"DACSS-601","Graduate","Data Science Fundamentals","Data Analytics and Computation","This course provides students with an introduction to the R programming language that will be used in all core courses and many of the technical electives. There is a growing demand for students with a background in generalist data science languages such as R, as opposed to more limited software such as Excel or statistics packages such as SPSS or Stata. The course will also provide students with a solid grounding in general data management and data wrangling skills that are required in all advanced quantitative and data analysis courses."
"DACSS-602","Graduate","Research Design","Data Analytics and Computation","This course introduces students to the basic language of behavioral research, with an emphasis on designing valid social science research. An emphasis is placed on measurement reliability and validity, internal research design validity, and generalizability, or external research design validity. Students will become familiar with a range of techniques used to gather social science data and measure and analyze different aspects of individual and social behavior, including experiments, surveys, semi-structured interviews, focus groups, coding of online and archival text sources, and social network analysis. Students will learn to identify threats to research validity and reliability associated with these different research approaches. All data analysis will be conducted in R. Students will also use Qualtrics and mTurk to collect data. This course is a required core course for the graduate certificate and the master?s degree in Data Analytics and Computational Social Science (DACSS)."
"DACSS-603","Graduate","Introduction to Quantitative Analysis","Data Analytics and Computation","This course serves as a rigorous introduction to quantitative empirical research methods, designed for doctoral students in social science and master?s students with a data analytics or computational social science focus. The material covered will include a brief introduction to the problem of causality, followed by modules on (1) measurement, (2) prediction, (3) exploratory data analysis (discovery), (4) probability (including distributions of random variables), and (5) uncertainty (including estimation theory, confidence intervals, hypothesis testing, power). Along the way, we will encounter linear regression and classification as tools of descriptive data summary, prediction and inference, and as part of a broader strategy of causal analysis. Simulations and data analysis will be conducted in the R statistical environment. This course is a required core course for the graduate certificate and the master?s degree in Data Analytics and Computational Social Science (DACSS)."
"DACSS-604","Graduate","Advanced Data-Driven Storytelling","Data Analytics and Computation","How can social scientists convey data through narrative and reports geared toward general audiences or specific stakeholders? How can they convey those data through visuals geared toward non-scientists? This hands-on course provides students with the knowledge and skills needed to generate strong, data-driven communication."
"DACSS-632","Graduate","News and Public Opinion","Data Analytics and Computation","Digital technology has transformed the news environment and diversified how public opinion is formed and expressed. This course is designed to offer a framework for understanding the broad impact of these changes on citizens as well as the democratic system. We will discuss foundational theories of political communication and address emerging issues in the digital news environment, ranging from the use of artificial intelligence in the newsroom to the changing perceptions of information credibility."
"DACSS-633","Graduate","Social Influence and Persuasion","Data Analytics and Computation","Welcome to Social Influence and Persuasion! Social influence is a powerful driving force for human behavior. Understanding the fundamental mechanism of social influence is essential for strategic communication and decision making. In this course, we will learn why and under what conditions our attitudes and actions can be influenced by those around us. We will explore key theories and research findings in social psychology and economics, and apply persuasive communication techniques and data analysis methods through case studies and hands-on projects."
"DACSS-690A","Graduate","Data Engineering","Data Analytics and Computation","This course is structured into two main segments: backend engineering and data engineering. Within the backend engineering module, students acquire foundational knowledge in Python and SQL, mastering the essential skills needed to construct backend APIs using Flask. Additionally, students gain proficiency in various backend engineering aspects, including the art of crafting and interpreting tests, implementing object-oriented design principles, data modeling techniques, and effectively integrating these competencies within extensive codebases (approximately 1,000 lines of code). Transitioning to the data engineering segment, students delve into advanced topics such as SQL optimization, cloud computing, analytics databases (including Snowflake and Redshift), and the construction of data pipelines utilizing tools like Airflow, AWS services, and DBT."
"DACSS-690C","Graduate","Computational Social Science Methods","Data Analytics and Computation","This course reviews different computational social science methods that are applied under different academic and professional situations. This includes different but complementary methods to format and explore data as tables, maps, graphs, and text. The course also includes basic methods for decision-making support such as optimization and social simulation. The course includes the use of version control applications, as well as promoting the practice of reproducibility and transparency. The course makes use of Python and R, including NetLogo for social simulation, Gephi for network exploration, and Git for version control. Those languages are not a pre-requisite for the course, as they will be used as templates."
"DACSS-690E","Graduate","Experimental Methods for the Social Sciences","Data Analytics and Computation","From policy &quot;nudges&quot; to marketing to social mobilization, experimental research helps shape many aspects of political and social life. In the course, you will get a chance to participate in, discuss, and learn to design and analyze a wide range of experimental treatments and outcomes. In addition, the course will introduce students to computational tools and software used to design and analyze experiments. Topics include measurement and estimation of semantic priming, moderation and mediation models, conjoint design and analysis, cloud-hosting of response-time studies, mixed effects, and API access to crowd-sourcing platforms such as mTurk."
"DACSS-691P","Graduate","Seminar- Polishing Your Professional Presence","Data Analytics and Computation","The course is designed to prepare students for the job market through four units: (1) Identifying Your Talents; (2) Developing Your Professional Presence; (3) Polishing Your Professional Presence, and (4) Developing a Collaborative Mindset. Among other topics, there will be specific workshops with trained professionals and alumni on writing CVs and cover letters, interviewing, creating an elevator pitch, identifying and making the most of personal strengths (using the Clifton Strengths Assessment), building a personal website, and more. There will be many opportunities for engagement and networking with alumni from the College of Social and Behavioral Sciences. Open to masters and PhD students only. Students can contact the DACSS program (dacss@umass.edu) for more information."
"DACSS-696","Graduate","Independent Study","Data Analytics and Computation",""
"DACSS-698","Graduate","Practicum","Data Analytics and Computation",""
"DACSS-756","Graduate","Machine Learning for Social Scientists","Data Analytics and Computation","This course will provide an overview of machine learning (ML) with special attention to applications for social and behavioral analytics. Machine learning combines insights from artificial intelligence, probability theory, statistical inference, and information theory to help automate tasks involving pattern recognition, prediction, and classification. &quot;Learning&quot; is analogous to &quot;inference&quot; in statistics and, in fact, the modern statistical toolkit includes various machine learning methods developed to handle large (and messy) datasets. The course focuses on statistical learning and is a good second or third course in statistical methods for graduate students in the social and behavioral sciences. We will examine key techniques of supervised and unsupervised learning and reflect upon appropriate and inappropriate applications of such approaches for those seeking to understand the social world. We shall also discuss the ethical issues involved in automated analysis and computer-assisted decision-making, including how they may in some cases help overcome human biases and in others instead only serve to reinforce these tendencies."
"DACSS-758","Graduate","Text as Data","Data Analytics and Computation","With the recent explosion in availability of digitized text, social scientists increasingly are turning to computational tools for the analysis of text as data. In this course, students will first learn how to convert text to formats suitable for analysis. From there, the course will introduce and proceed through tutorials on a variety of natural language processing approaches to the treatment of text-as-data. This will include relatively simple dictionary approaches for measurement, supervised learning approaches for document classification, vector representations, contextualized embeddings, and more."
"DACSS-790C","Graduate","Causal Inference","Data Analytics and Computation","As social scientists, we not only want to identify correlations and patterns in data but also want to explain why those patterns exist. In this course, students will first learn the fundamentals of causal inference, including key concepts and the directed acyclic graph (DAG) as a broadly applicable modeling framework. From there, the course will introduce and proceed through tutorials on a variety of causal inference approaches. This will include methods such as natural and field experiments, mediation analysis, instrumental variables, difference-in-differences (DID), propensity score matching, regression discontinuity, and synthetic control."
"DACSS-790N","Graduate","Network Inference","Data Analytics and Computation","This course covers various approaches for network inference and delves into the following questions: How do networks we observe emerge? Under what conditions do they change (or not)? What are the network outcomes individuals get based on their structural positions and roles? How do information and resources move from one spot to another within and beyond networks? Where does the flow stop? What are the mechanisms that lead to changes to networks? Do people form (or dissolve) social relations because of shared similarities (or outright differences) with others, or because they tend to be influenced by others already in their networks? Extending the discussion on descriptive and structural characteristics of network data in Social Network Analysis (DACSS 695N), this course introduces statistical frameworks with which network dynamics can be investigated. Recapitulating issues that make it hard to marry conventional frameworks for statistical inference with network data, such as autocorrelation and relational dependency, this course starts with mathematical models that utilize some mechanisms of network formation and continues on to statistical models. In particular, this course introduces some well-known statistical network models such as exponential random graph models (ERGMs), network regression models, latent space models, and stochastic actor-oriented model (SAOMs), as well as models that consider temporality in statistical frameworks such as temporal exponential random graph models (TERGMs) and diffusion in networks."
"DACSS-790Q","Graduate","Advanced Quantitative Methods","Data Analytics and Computation","This course will build on students&#039; previous foundations in probability, statistical inference, and linear regression. An introduction to generalized linear models (GLMs) and multilevel (mixed effects/hierarchical) models will be followed by additional advanced topics at the discretion of the instructor. These will include special cases of GLMs and multilevel models and may also consider measurement of latent variables (e.g. factor analysis, IRT)."
"E&amp;C-ENG-529","Graduate","Applied Machine Learning for the Internet of Things","Electrical and Computer Engineering","This course introduces concepts, techniques, and algorithms from artificial intelligence and machine learning, such as classification, regression, support vector machines, decision trees, neural networks, and deep neural networks. The application of these techniques to solve practical problems on computing and embedded systems is a focus of this course. Project assignments are used to reinforce concepts learned in lectures."
"E&amp;C-ENG-585","Graduate","Microwave Engineering II","Electrical and Computer Engineering","Analysis and design of passive microwave devices, including resonators, filters, and ferrite devices, in various transmission-line media. Noise and noise effects in detectors, mixers, and modulators. Introduction to FET amplifier design. Prerequisite: E&amp;C-ENG 584."
"E&amp;C-ENG-601","Graduate","Machine Learning for Engineers","Electrical and Computer Engineering","Machine learning is the practice of programming computers to learn and improve prediction through experience and data, and it is becoming pervasive in technology and science. This course will cover the mathematical underpinnings, algorithms, and practices that enable a computer to learn. Topics will include supervised learning, unsupervised learning, evaluation methodologies, and deep learning. The prerequisites of this course include introductory courses in linear algebra (e.g ECE 201 or Math 235), multivariate calculus (e.g., Math 233), and probability (e.g., ECE 214). Knowledge of Python programming is necessary to complete computer assignments and projects. Knowledge of vector spaces concepts, such as norms and vector products (e.g., ECE 565) and matrix algebra is desirable."
"E&amp;C-ENG-671","Graduate","Computer Networks","Electrical and Computer Engineering","Fundamental concepts and systems aspects of computer networks. Topics include a review of the layered Internet architecture and encompass router design, lookup and classification algorithms, scheduling algorithms, congestion control, wireless protocols, and network security. The goal of the course is to explore the key technical and research questions in computer networks as well as to convey the necessary analytical, simulation, and measurement techniques."
"E&amp;C-ENG-683","Graduate","Active Microwave Circuits","Electrical and Computer Engineering","Theory and techniques used in the design of modern microwave and millimeter wave active circuits. Emphasis on amplifier and oscillator circuits using devices such as FETs, HEMTs, HBTs and optoelectronic devices. Modern reference material used as much as possible."
"E&amp;C-ENG-686","Graduate","Intro to Radar Systems","Electrical and Computer Engineering","Introduction to fundamentals of radar systems. Radar range equation, critical radar components, and system performance. Detection, modulation, noise, and propagation effects. Prerequisite: E&amp;C-ENG 584 or equivalent."
"E&amp;C-ENG-689","Graduate","Phased Arrays","Electrical and Computer Engineering","Phased arrays are a key component in radars, wireless and satellite communications, remote sensing and imaging systems, and in scientific instruments such as radio telescopes. This course will provide a working knowledge of the key parameters of modern phased array antenna systems. Students will learn to critically evaluate the performance of phased array antenna systems and their main building blocks, with emphasis on factors that are important for high-performance radar and communication systems. Concepts, theory models and design principles will be developed. Students will learn to perform quantitative analyses of phased array parameters at the system and subsystem level. The course will utilize a text, but much material will be drawn from other sources such as IEEE papers. To be successful in this course students should have a good background and understanding of (1) Antenna Engineering (introductory graduate level, e.g. ECE 687 or equivalent) and (2) Microwave Engineering (introductory graduate level, e.g. ECE 584/585 or equivalent)."
"ECO-611","Graduate","Offshore Wind Energy: Environmental Impacts, Siting, Permitting and Stakeholder Engagement","Environmental Conservation","Before construction begins on an offshore wind farm, there is a rigorous process of assessing ecological and environmental impacts, obtaining any Federal and State permits, and engaging with stakeholders. This process is expensive, and vital to the successful installation of an offshore wind farm. A thorough understanding of these procedures is essential to all professionals in the offshore wind industry. This course is designed to guide the student through this process, from the time the potential offshore wind development site has been identified, until construction is complete and the wind farm is operational."
"ECO-620","Graduate","Studies in Building Information Modeling","Environmental Conservation","Provides graduate students with an opportunity to deepen their studies in Building Information Modeling (BIM), a concept that is at the heart of contemporary digital building planning and execution. This course also provides a thorough introduction into Autodesk Revit and covers applied topics in Trimble SketchUp, both industry-standard software in the AEC field. In addition to learning basic concepts from BCT 420 (advanced 3D modeling, digital fabrication, laser scanning, etc.), students in this course are also required to research various BIM-related topics and apply them through project work and presentations (e.g. parametric design, building energy modeling, estimating, scheduling, and others). Specific topics are tailored to the student?s personal field of work or research and the project is intended to support their related endeavors. Basic previous CAD knowledge (e.g. in AutoCAD, SketchUp) is expected (e.g. from BCT 320 or a similar course)."
