"course_code","course_name","description","department","credits"
"ACCT 4980","Accounting Communication and Analysis","Prereq:ACCT 3870Integrative studies in accounting. Development of critical thinking, ethical reasoning, professional research and teamwork skills. Written, visual, and oral communication with corporate stakeholders.
		
		 (Typically Offered:Fall)","Accounting (ACCT)","Credits:3"
"ACCT 5010","Financial Accounting","Prereq: Ivy College of Business Graduate Student or instructor permissionA general introduction to financial accounting information. Topics covered include the use and analysis of financial information, the regulatory environment, the role of International Financial Reporting Standards (IFRS), and the use of the internet and electronic spreadsheets as a means of accessing and analyzing financial data.","Accounting (ACCT)","Credits:3"
"ACCT 5150","Accounting Analytics","Prereq:ACCT 3840OR Enrolled in Master of Accounting OR Enrolled in Master of Accounting AnalyticsApplications and skills for performing data analytics in accounting contexts. Explores conceptual framework for providing data-driven insights and recommendations. Includes hands-on experiences working with different types of data and the latest analysis tools.
		
		 (Typically Offered:Fall)","Accounting (ACCT)","Credits:3"
"ACCT 5160","Business Law","Prereq:ACCT 2150Continuation of 2150. The Uniform Commercial Code as applied to sales contracts and negotiable instruments. Property law, wills and estates, insurance, secured transactions, corporation law, partnership law and antitrust law.
		
		 (Typically Offered:Fall, Spring)","Accounting (ACCT)","(Dual-listed withACCT 4160)"
"ACCT 5420X","Generative AI in Business Decision-Making","This intensive course is designed to equip students with the knowledge and skills to leverage generative AI in business decision-making. Through learning modules, interactive case studies, and practical assignments, students will learn to create effective prompts and use Generative AI to transform business processes and decision-making.
		
		 (Typically Offered:Fall, Spring, Summer)","Accounting (ACCT)","(Dual-listed withACCT 4420X/MIS 4420X)"
"ACCT 5610","Entrepreneurship and Accounting Information","Prereq:ACCT 2840or Graduate ClassificationAccounting information recording, dissemination, and use by entrepreneurs. Introduces pro forma financials, venture capital, private equity, and state and federal regulations for business creation and formation. Other topics include intrapreneurship, intellectual property, information privacy, cybersecurity, and internal controls, including managing the risk of embezzlement.","Accounting (ACCT)","(Dual-listed withACCT 4610/ENTSP 4610)"
"ACCT 5710","Real Estate Law","Prereq: Ivy College of Business Graduate Student or instructor permissionFundamentals of real estate finance and development from a legal perspective and in a transactional setting. Topics include land acquisition and finance, choice of entity, tax aspects, management, disposition of real property, and recent legal developments. Legal responsibilities of owners, designers, and contractors are also examined by highlighting typical contractual relationships in place throughout the design and construction process.","Accounting (ACCT)","Credits:3"
"ACCT 5800A","CPA Exam Preparation - AUD","Prereq: Graduate Standing or Permission of InstructorPreparation for the Auditing and Attestation (AUD) section of the Certified Public Accountant (CPA) examination. Graduation Restriction: Only two ofACCT 5800A, 5800B, 5800C, 5800D, 5800E, and 5800F may count toward graduation. Offered on a satisfactory-fail basis only.
		
		 (Typically Offered:Fall, Spring, Summer)","Accounting (ACCT)","Credits:3"
"ACCT 5800B","CPA Exam Preparation - BEC","Prereq: Graduate Standing or Permission of InstructorPreparation for the Business Environment and Concepts (BEC) section of the Certified Public Accountant (CPA) examination. Graduation Restriction: Only two ofACCT 5800A, 5800B, 5800C, 5800D, 5800E, and 5800F may count toward graduation. Offered on a satisfactory-fail basis only.
		
		 (Typically Offered:Fall, Spring, Summer)","Accounting (ACCT)","Credits:3"
"ACCT 5800C","CPA Exam Preparation - FAR","Prereq: Graduate Standing or Permission of InstructorPreparation for the Financial Accounting and Reporting (FAR) section of the Certified Public Accountant (CPA) examination. Graduation Restriction: Only two ofACCT 5800A, 5800B, 5800C, 5800D, 5800E, and 5800F may count toward graduation. Offered on a satisfactory-fail basis only.
		
		 (Typically Offered:Fall, Spring, Summer)","Accounting (ACCT)","Credits:3"
"ACCT 5800D","CPA Exam Preparation - REG","Prereq: Graduate Standing or Permission of InstructorPreparation for the Regulation (REG) section of the Certified Public Accountant (CPA) examination. Graduation Restriction: Only two ofACCT 5800A, 5800B, 5800C, 5800D, 5800E, and 5800F may count toward graduation. Offered on a satisfactory-fail basis only.
		
		 (Typically Offered:Fall, Spring, Summer)","Accounting (ACCT)","Credits:3"
"ACCT 5800E","CMA Exam Preparation - Part 1","Prereq: Graduate Standing or Permission of InstructorPreparation for Part 1 (Financial Planning, Performance, and Analytics) of the Certified Management Accountant (CMA) examination. Graduation Restriction: Only two ofACCT 5800A, 5800B, 5800C, 5800D, 5800E, and 5800F may count toward graduation. Offered on a satisfactory-fail basis only.
		
		 (Typically Offered:Fall, Spring, Summer)","Accounting (ACCT)","Credits:3"
"ACCT 5800F","CMA Exam Preparation - Part 2","Prereq: Graduate Standing or Permission of InstructorPreparation for Part 2 (Strategic Financial Management) of the Certified Management Accountant (CMA) examination. Graduation Restriction: Only two ofACCT 5800A, 5800B, 5800C, 5800D, 5800E, and 5800F may count toward graduation. Offered on a satisfactory-fail basis only.
		
		 (Typically Offered:Fall, Spring, Summer)","Accounting (ACCT)","Credits:3"
"ACCT 5810","Accounting for Decision Making","Prereq: Graduate classificationDecision analysis applied to managerial accounting issues. Generation of information for management decision making and control. Responsibility accounting and non-recurring decisions.","Accounting (ACCT)","Credits:3"
"ACCT 5820","Corporate Governance and Top Management","Prereq:MGMT 5030or permissionDuties, structure, and functioning of top management teams and corporate boards of directors. CEO/board tenure and succession planning, top management compensation, board committee composition, assessment of CEO and board performance, theories of corporate governance, management of the corporate strategic agenda, governance codes, international governance, and chairman/CEO duality. Case studies and contemporary issues discussed.","Accounting (ACCT)","(Cross-listed withMGMT 5820)"
"ACCT 5830","Application and Communication in Managerial Accounting","Prereq:ACCT 3830orACCT 5810Business simulation focusing on generation and communication of information to assist management with financial decision-making. Emphasis on developing teamwork, written communication, data visualization, and oral presentation skills.","Accounting (ACCT)","(Dual-listed withACCT 4830)"
"ACCT 5840","Advanced Accounting Information Systems","Prereq:ACCT 3840or Graduate ClassificationAdvanced accounting information systems concepts; database design and information retrieval, internal controls within computerized accounting information systems, financial reporting in an electronic environment.","Accounting (ACCT)","(Dual-listed withACCT 4840)"
"ACCT 5850","Taxes and Business Strategy","Prereq:ACCT 4850or Graduate ClassificationIntegration of concepts from accounting, finance, and economics to determine how taxes affect business decisions. Provides students with a conceptual framework for thinking about business tax planning and applies it to various common business decisions.","Accounting (ACCT)","Credits:3"
"ACCT 5860","Advanced Federal Taxation","Prereq: Enrolled in Master of Accounting OR Enrolled in Master of Accounting Analytics ORACCT 4850Advanced coverage of federal taxation including issues related to the taxation of corporations, partnerships, estates and trusts, and their owners. Includes coverage of rules, concepts, background, and planning opportunities related to a number of common transactions involving these entities.","Accounting (ACCT)","Credits:3"
"ACCT 5870","Volunteer Income Tax Assistance","Prereq: (ACCT 2850orACCT 5010) OR department permissionIntroduction to and field work in the preparation of individual income tax returns (state and federal). Basic coverage of filing and residency status, taxable income, exemptions, deductions, and credits. Tax software usage and online filing.
		
		 (Typically Offered:Spring)","Accounting (ACCT)","(Dual-listed withACCT 4870)"
"ACCT 5880","Governmental and Non-profit Institution Accounting","Prereq:ACCT 3860Accounting and financial reporting principles of local and state governments, including universities, schools, and hospitals. In addition, accounting and financial reporting of non-profit organizations will be addressed. Financial statements of local governmental units and the university are explored.","Accounting (ACCT)","(Dual-listed withACCT 4880)"
"ACCT 5890","Sustainability Reporting","Prereq:ACCT 3860orACCT 5010Theory and practice of social and environmental reporting, the role of the corporation in society, and the mechanisms by which society might hold corporations accountable for their actions.
		
		 (Typically Offered:Spring)","Accounting (ACCT)","(Dual-listed withACCT 4890)"
"ACCT 5900","Special Topics","Prereq: Department Permission for CourseFor students wishing to do individual research in a particular area of accounting.
		
		 (Typically Offered:Fall, Spring, Summer)","Accounting (ACCT)","Credits:1-3"
"ACCT 5910","Fraud Examination and Prevention","Prereq: Enrolled in Master of Accounting OR Enrolled in Master of Accounting Analytics ORACCT 4970ORACCT 5010Principles and methodology of fraud detection and deterrence. Addresses the causes and elements of fraud, asset theft, corruption, financial statement mis-representation, internal controls for fraud prevention, investigative evidence gathering, and legal aspects of fraud.","Accounting (ACCT)","Credits:3"
"ACCT 5920","Financial Statement Analysis","Prereq: ACCT 3860 or ACCT 5010Presentation and analysis of financial statement information from the point of view of the primary users of such data: owners and creditors. Topics include the financial reporting system, the primary financial statements, effects of accounting method choice on reported financial data, and firm valuation.","Accounting (ACCT)","Credits:3"
"ACCT 5930","Corporate Taxation","Prereq:ACCT 3860OR Enrolled in Master of Accounting OR Enrolled in Master of Accounting AnalyticsIntroduction to the fundamentals of corporate taxation issues. Discussion of concepts related to the formation and capital structure of corporations. Identification and effect of tax codes and regulations related to corporations. Discussion of operating rules, earnings and profits, distributions, as well as redemptions and liquidations of corporations.
		
		 (Typically Offered:Fall, Spring)","Accounting (ACCT)","(Dual-listed withACCT 4930)"
"ACCT 5950","Advanced Financial Accounting Problems","Prereq:ACCT 3870Accounting for business combinations and affiliated companies, intercompany transactions, and consolidated financial statements; Partnership accounting; Segment and Interim Reporting; Multinational accounting.","Accounting (ACCT)","(Dual-listed withACCT 4950)"
"ACCT 5960","Accounting in the Global Economy","Prereq: Enrolled in Master of Accounting OR Enrolled in Master of Accounting Analytics ORACCT 3860ORACCT 5010Financial reporting issues in a global environment, including introduction to International Financial Reporting Standards (IFRS) and the potential for the use of IFRS in the U.S. Accounting and managerial issues faced by multinational corporations. Technical issues such as transfer pricing, inflation accounting and taxation will be discussed.","Accounting (ACCT)","(Dual-listed withACCT 4960)"
"ACCT 5970","Advanced Auditing and Assurance Services","Prereq: ACCT 4970A study of advanced auditing and assurance issues. Topics include auditor independence, audit risk analysis, internal control evaluation and reporting, fraud detection, data analytic applications in auditing, audit reporting, auditors' legal liability, and non-financial information assurance.","Accounting (ACCT)","Credits:3"
"ACCT 5980","Financial Accounting: Theory and Contemporary Issues","Prereq: Enrolled in Master of Accounting OR Enrolled in Master of Accounting Analytics ORACCT 3860ORACCT 5010Theoretical discussion of the financial accounting and reporting environment. The usefulness of financial accounting information for decision making. Current financial accounting issues, the financial accounting standard setting process, FASB Standards Codification, and the role of the SEC in financial reporting.
		
		 (Typically Offered:Fall)","Accounting (ACCT)","Credits:3"
"ACCT 5990","Creative Component","Prereq: Admission to the Master of Accounting ProgramThis course prepares students to complete their creative component project option in the Master of Accounting degree.","Accounting (ACCT)","Credits:2"
"ACSCI 3910","Actuarial Exam P Lab","Prereq: Credit or enrollment inSTAT 3260orSTAT 3410Material review for actuarial exam P. Offered on a satisfactory-fail basis only.
		
		 (Typically Offered:Fall, Spring)","Actuarial Science (ACSCI)","Credits:1"
"ACSCI 3920","Actuarial Exam FM Lab","Prereq: Credit or enrollment inMATH 2400Material review for actuarial exam FM. Offered on a satisfactory-fail basis only.
		
		 (Typically Offered:Fall, Spring)","Actuarial Science (ACSCI)","Credits:1"
"ACSCI 4010","Loss Models I","Prereq:STAT 3410Probability distributions used to model uncertain events in actuarial practice. Aggregate models, evaluating the effect of various coverage modifications such a deductibles and limits. Construction of empirical models, calculations of common risk measures, and calculations of commonly used severity and frequency models. Various methods for estimating distributional parameters and their properties.
		
		 (Typically Offered:Fall)","Actuarial Science (ACSCI)","Credits:3"
"ACSCI 4020","Credibility Theory","Prereq:ACSCI 4010Method of moments and percentile matching. The method of maximum likelihood estimation for complete individual data, grouped data, censored and truncated data, and variance estimation. Bayesian estimation, including conjugate priors, posterior distributions, and the Poisson-gamma model. Credibility theory, including limited fluctuation credibility, applying Bayesian analysis for both discrete and continuous models, Buhlmann and Buhlmann-Straub models, and their relationship to Bayesian models. Simulating discrete and continuous random variables and the bootstrap method for estimating mean squared error.
		
		 (Typically Offered:Spring)","Actuarial Science (ACSCI)","Credits:3"
"ADVRT 2300","Advertising Principles","Historical, social, economic and legal aspects of advertising. Evaluations of advertising research, media, strategy and appeals. Study of the creation of advertising.","Advertising (ADVRT)","Credits:3"
"ADVRT 3010","Research and Strategic Planning for Advertising and Public Relations","Prereq:ADVRT 2300or PR 2200Use of primary and secondary research methods utilizing conventional and online tools for development of successful strategic communications and campaign development for advertising and public relations.","Advertising (ADVRT)","(Cross-listed withPR 3010)"
"ADVRT 3340","Advertising Creativity","Prereq:JLMC 1100; Minimum of C+ inJLMC 2010; Credit in ADVRT/PR 3010Development and execution of creative advertising materials. Copywriting, art direction and computer applications. Creative strategy development, execution and evaluation.","Advertising (ADVRT)","Credits:3"
"ADVRT 3350","Advertising Media Planning","Prereq:ADVRT 3010/PR 3010Concepts of media planning and selection in the development, execution and evaluation of advertising campaigns. Characteristics and capabilities of the advertising media. Utilization of online digital tools for market segmentation, uncovering consumer buying behaviors and attitudes, and media audience analysis.","Advertising (ADVRT)","Credits:3"
"ADVRT 3360","Advertising Account Management","Prereq:JLMC 1100; Minimum of C+ inJLMC 2010; Credit or concurrent enrollment inADVRT 3010/PR 3010Fundamentals of account management with emphasis on leadership, sales techniques, relationship building, presentation skills, and strategic thinking. Includes aspects of agency communications, team building, client management, evaluating creative concepts and media plans, and developing strategic proposals and campaign recommendations.","Advertising (ADVRT)","Credits:3"
"ADVRT 3900","Professional Skills Development","Prereq: (Minimum of C+ inJLMC 2010; JLMC major or ADVRT major or PR major or SMC major)Check with Greenlee School for course availability.No More Than 3 Credits In JLMC/ADVRT/PR 3900May Be Applied Toward Major Requirements For Graduation.
		
		 (Typically Offered:Fall, Spring)","Advertising (ADVRT)","(Cross-listed withJLMC 3900/PR 3900/SMC 3900)"
"ADVRT 3910","Short Course Intensive","Focused short courses on timely concepts. Check with Greenlee School for course availability. Offered on a satisfactory-fail basis only.","Advertising (ADVRT)","(Cross-listed withJLMC 3910/PR 3910/SMC 3910)"
"ADVRT 4340","Advertising Campaigns","Prereq: Minimum of C+ inADVRT 3340orADVRT 3360; ADVRT majorDevelopment of advertising campaigns including primary and secondary research, target audience analysis, campaign strategy, media planning, budgeting and creative execution.
		
		 (Typically Offered:Fall, Spring)","Advertising (ADVRT)","Credits:3"
"ADVRT 4350","Advertising Competition","Prereq: Instructor Permission for CourseConcepts of media planning and selection in the development, execution and evaluation of advertising campaigns. Characteristics and capabilities of the advertising media. Utilization of market segmentation, consumer buying and media audience databases. Offered irregularly.
		
		 (Typically Offered:Spring)","Advertising (ADVRT)","Credits:1-3"
"ADVRT 4360","Advertising Creative Portfolio","Prereq: Minimum of C+ inADVRT 3340, non-majors with instructor permissionAdvanced advertising writing and design. May include campaign development for competitions. Other projects include creative development in a variety of media for an online digital portfolio.
		
		 (Typically Offered:Spring)","Advertising (ADVRT)","Credits:3"
"ADVRT 4730","Social Media Strategy","Prereq: Sophomore classificationThe strategic use of social media, from both an advertising and public relationship standpoint, to the advantage of a client or organization. Examination and analysis of the social media space from a business perspective. Best practices in the areas of strategic planning, tactical execution, and measurement of social media platforms via online digital tools.
		
		 (Typically Offered:Fall, Spring)","Advertising (ADVRT)","(Cross-listed withJLMC 4730/PR 4730)"
"ADVRT 4900","Independent Study in Media and Communication","Prereq: Junior or Senior classification; Instructor PermissionProjects during which students may study problems associated with a medium, a professional specialization, a philosophical or practical concern, a reportorial method or writing technique, or a special topic in their field. Credit is not given for working on student or professional media without an accompanying research component. Graduation Restriction: No more than 3 credits of ADVRT/JLMC/PR/SMC 4900may be used toward a degree in the Greenlee School.","Advertising (ADVRT)","(Cross-listed withJLMC 4900/PR 4900/SMC 4900)"
"ADVRT 4970","Special Topics in Communication","Prereq: Junior classificationSeminars or one-time classes on topics of relevance to students in communication. See Schedule of Classes for topics.","Advertising (ADVRT)","(Cross-listed withJLMC 4970/PR 4970/SMC 4970)"
"ADVRT 4990A","Professional Media Internship: Required","Prereq: ([JLMC major;JLMC 1100; minimum of C+ inJLMC 3020orJLMC 3030] or [ADVRT major;JLMC 1100;ADVRT 3010or PR 3010; minimum of C+ inJLMC 2010] or [PR major;JLMC 1100;ADVRT 3010or PR 3010; minimum of C+ in PR 3210] or [SMC major;JLMC 1100;SMC 3040]); Advisor ApprovalInitial, required internship. A 400-hour (for 3 credits) internship in the student's specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors. Offered on a satisfactory-fail basis only.","Advertising (ADVRT)","(Cross-listed withJLMC 4990A/PR 4990A/SMC 4990A)"
"ADVRT 4990B","Professional Media Internship: Optional","Prereq: ([JLMC major;JLMC 1100; minimum of C+ inJLMC 3020orJLMC 3030] or [ADVRT major;JLMC 1100;ADVRT 3010or PR 3010; minimum of C+ inJLMC 2010] or [PR major;JLMC 1100;ADVRT 3010or PR 3010; minimum of C+ in PR 3210] or [SMC major;JLMC 1100;SMC 3040]); Advisor ApprovalOptional internship in the student's specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors. Offered on a satisfactory-fail basis only.
		
		 (Typically Offered:Fall, Spring, Summer)","Advertising (ADVRT)","(Cross-listed withJLMC 4990B/PR 4990B/SMC 4990B)"
"AERE 1600","Aerospace Engineering Problems With Computer Applications Laboratory","Prereq: Credit or enrollment inMATH 1650or satisfactory (76+) score on mathematics placement examIntroduction to aerospace engineering and systems thinking through engineering design team projects such as flight control of Lighter Than Air (LTA) vehicles. Introduction to programming using python. Solving aerospace engineering problems while learning about significant figures, estimation, units of measure, graphing, curve fitting, and presenting solutions through technical reports. Brief history of aerospace engineering. Satisfactory placement scores can be found at: https://math.iastate.edu/academics/undergraduate/aleks/placement/. Graduation Restriction: Only one ofENGR 1600,ABE 1600,AERE 1600,BME 1600,CE 1600,CHE 1600,CPRE 1850,EE 1850, IE 1480,ME 1600, andSE 1850may count towards graduation.
		
		 (Typically Offered:Fall, Spring)","Aerospace Engineering (AERE)","Credits:3"
"AERE 1600H","Aerospace Engineering Problems With Computer Applications Laboratory: Honors","Prereq: Credit or enrollment inMATH 1650or satisfactory (76+) score on mathematics placement exam; Membership in the University Honors ProgramSolving aerospace engineering problems and presenting solutions through technical reports. Significant figures and estimation. SI units. Graphing and curve fitting. Introduction to aerospace engineering and engineering design. Spreadsheet programs. History of aerospace. Systems thinking. Team projects. Satisfactory placement scores can be found at: https://math.iastate.edu/academics/undergraduate/aleks/placement/. Graduation Restriction: Only one ofENGR 1600,ABE 1600,AERE 1600,CE 1600,CHE 1600,CPRE 1850,EE 1850, IE 1480,ME 1600, andSE 1850may count towards graduation.
		
		 (Typically Offered:Fall, Spring)","Aerospace Engineering (AERE)","Credits:3"
"AERE 1610","Numerical, Graphical and Laboratory Techniques for Aerospace Engineering","Prereq: (Credit inABE 1600,AERE 1600,BME 1600,CE 1600,CHE 1600,CPRE 1850,EE 1850,ENGR 1600,IE 1600,ME 1600, or SE 1850) OR [(Enrollment inABE 1600,AERE 1600,BME 1600,CE 1600,CHE 1600,CPRE 1850,EE 1850,ENGR 1600, IE 1480,ME 1600, or SE 1850) AND Instructor Permission]Computer-based problem solving using Matlab(R), with emphasis on numerical methods. Introduction to solid modeling and aerospace design using SolidWorks.
		
		 (Typically Offered:Fall, Spring)","Aerospace Engineering (AERE)","Credits:4"
"AERE 1610H","Numerical, Graphical and Laboratory Techniques for Aerospace Engineering: Honors","Prereq: (Credit inABE 1600,AERE 1600,BME 1600,CE 1600,CHE 1600,CPRE 1850,EE 1850,ENGR 1600,IE 1600,ME 1600, or SE 1850) OR [(Enrollment inABE 1600,AERE 1600,BME 1600,CE 1600,CHE 1600,CPRE 1850,EE 1850,ENGR 1600,IE 1600,ME 1600, or SE 1850) AND Instructor Permission]; Membership in University Honors ProgramComputer-based problem solving using Matlab(R), with emphasis on numerical methods. Introduction to solid modeling and aerospace design using SolidWorks.
		
		 (Typically Offered:Fall, Spring)","Aerospace Engineering (AERE)","Credits:4"
"AERE 1920","Aerospace Seminar","Vectors, differentiation, integration, matrices, and systems of linear equations.
		
		 (Typically Offered:Spring)","Aerospace Engineering (AERE)","Credits:Required"
"AERE 1920H","Aerospace Seminar: Honors","Prereq: Membership in the University Honors ProgramVectors, differentiation, integration, matrices, and systems of linear equations.
		
		 (Typically Offered:Spring)","Aerospace Engineering (AERE)","Credits:Required"
