"course_code","course_title","credits","department","level","description"
"ACC 2013","Principles of Accounting I","(3-0) 3 Credit Hours. (TCCN = ACCT 2301)","Accounting (ACC)","Undergraduate","An introduction to business external financial reporting designed to create an awareness of the accounting concepts and principles used in preparing the three basic financial statements: the income statement, balance sheet, and statement of cash flow. The course is designed for all business students, whether future users or preparers of accounting information. Generally offered: Fall, Spring, Summer. Course Fees: BISP $10; BTSI $15.41; DL01 $75; LRB1 $15.41."
"ACC 2033","Principles of Accounting II","(3-0) 3 Credit Hours. (TCCN = ACCT 2302)","Accounting (ACC)","Undergraduate","Prerequisite:ACC 2013.
An introduction to the determination, development, and uses of internal accounting information needed by business management to satisfy customers while controlling and containing costs. The course is designed for all business students, whether future users or preparers of accounting information.
Generally offered: Fall, Spring, Summer. Course Fees: BISP $10; BTSI $15.41; DL01 $75; LRB1 $15.41."
"ACC 3023","Intermediate Accounting I","(3-0) 3 Credit Hours.","Accounting (ACC)","Undergraduate","Prerequisites: A grade of ""C-"" or better in bothACC 2013andACC 2033, successful completion of the Principles of Accounting Competency Exam (refer to Department of Accounting website), and declared major in the Carlos Alvarez College of Business.
An in-depth study of promulgated accounting theory and concepts with an emphasis on corporate financial accounting and reporting, with a focus on U.S. GAAP, and exposure to International Financial Reporting Standards (IFRS).
Generally offered: Fall, Spring, Summer. This course has Differential Tuition. Course fee: DL01 $75."
"ACC 3033","Intermediate Accounting II","(3-0) 3 Credit Hours.","Accounting (ACC)","Undergraduate","Prerequisites: A grade of ""C-"" or better inACC 3023and declared accounting major.
A continuation of the in-depth study of promulgated accounting theory and concepts with an emphasis on corporate financial accounting and reporting, with a focus on U.S. GAAP, and exposure to International Financial Reporting Standards (IFRS). Generally offered: Fall, Spring, Summer. This course has Differential Tuition. Course fee: DL01 $75."
"ACC 3043","Federal Income Taxation","(3-0) 3 Credit Hours.","Accounting (ACC)","Undergraduate","Prerequisite: A grade of ""C-"" or better inACC 3023orACC 3053and declared major in Carlos Alvarez College of Business. A conceptual introduction to the U.S. federal income tax system. Concepts include gross income, statutory deductions, property transactions, and computation of tax liabilities. Generally offered: Fall, Spring, Summer. This course has Differential Tuition.  Course Fee: DL01 $75."
"ACC 3053","Intermediate Accounting for Finance Majors","(3-0) 3 Credit Hours.","Accounting (ACC)","Undergraduate","Prerequisites: A grade of ""C-"" or better inACC 2013andACC 2033.
An intermediate accounting course with emphasis on interpretation of general-purpose financial statements and the related disclosure notes as they apply to credit analysis and other aspects of corporate finance. Common and significant accounts/transactions will be analyzed, especially those relating to the financing and equity sections of the financial statements.  This course cannot be applied toward an accounting major.  This course does not satisfy any of the educational requirements of the Texas State Board of Public Accountancy for qualification to sit for the Uniform Certified Public Accounting Examination. This course has Differential Tuition. Course fee: DL01 $75."
"ACC 3071","Professional Issues and Topics in Accounting I","(1-0) 1 Credit Hour.","Accounting (ACC)","Undergraduate","Prerequisite: A grade of ""C-"" or better inACC 2013andACC 2033and completion of or concurrent enrollment inACC 3023.  A study of accounting practice, professionalism, certification, deportment, research, discussion, writing, and presentation. Will apply to a bachelor’s degree. Will not count toward hours required to qualify for the CPA examination. This course has Differential Tuition."
"ACC 3081","Professional Issues and Topics in Accounting II","(1-0) 1 Credit Hour.","Accounting (ACC)","Undergraduate","Prerequisite: A grade of  ""C-"" or better inACC 3071. An advanced study of accounting practice, professionalism, certification, deportment, research, discussion, writing, and presentation. Will apply to a bachelor’s degree. Will not count toward hours required to qualify for the CPA examination. This course has Differential Tuition."
"ACC 3113","Accounting Information Systems","(3-0) 3 Credit Hours.","Accounting (ACC)","Undergraduate","Prerequisite: A grade of ""C-"" or better inACC 2033, and Microsoft Office Specialist Certification in Excel or a grade of ""C-"" or better in eitherIS 3003orIS 1413, and declared accounting major. A study of database management systems as they relate to the accounting function. Topics include database design and applications that focus on accounting, including the entity-relationship model, data modeling, object-oriented design, and database management. Generally offered: Fall, Spring, Summer. This course has Differential Tuition.  Course Fee: DL01 $75."
"ACC 3123","Cost Analysis","(3-0) 3 Credit Hours.","Accounting (ACC)","Undergraduate","Prerequisites: A grade of ""C-"" or better inACC 2033and declared accounting major.
A study of internal accounting information generation with an emphasis on cost accounting tools to develop, implement, and evaluate strategy; cost accounting methods to determine product cost; and cost management concepts and procedures for making business decisions. Generally offered: Fall, Spring, Summer. This course has Differential Tuition. Course fee: DL01 $75."
"ACC 3163","Quantitative Analysis for Accountants","(3-0) 3 Credit Hours.","Accounting (ACC)","Undergraduate","Prerequisite:ACC 3113with a grade of ""C-"" or better and declared accounting major or approval of Department Chair and Dean of the Carlos Alvarez College of Business. This course will provide a hands-on introduction to data analysis, summarizing and reporting tools, and data manipulation and search functions used by accountants. This is an application-oriented course that will provide students with  a knowledge of the most commonly used techniques to successfully analyze, interpret, forecast, and present accounting data for improved decision making. Big data analysis will also be covered. This course may not be repeated for credit. Generally offered: Fall, Spring, and Summer. This course has Differential Tuition.  Course Fee: DL01 $75."
"ACC 4013","Principles of Auditing","(3-0) 3 Credit Hours.","Accounting (ACC)","Undergraduate","Prerequisite: A grade of ""C-"" or better in bothACC 3033andACC 3113, and declared accounting major.  A study of the topic of auditing oriented primarily toward the financial auditing standpoint. The course focuses on the concepts and procedures of auditing applied to the audit of financial statements in accordance with the standards established by the Auditing Standards Board or the Public Company Accounting Oversight Board. Topics also covered include professional ethics, accounting and review services, and the public accounting profession. Generally offered: Fall, Spring, Summer. This course has Differential Tuition.  Course Fee: DL01 $75."
"ACC 4091","Professional Issues and Topics in Accounting III","(1-0) 1 Credit Hour.","Accounting (ACC)","Undergraduate","Prerequisites: A grade of “C-“ or better inACC 3081.
An applied study of accounting practice, professionalism, certification, deportment, research, discussion, writing, and presentation. Will apply to a bachelor’s degree. Will not count toward hours required to qualify for the CPA examination. This course has Differential Tuition."
"ACC 4163","Contemporary Issues in Accounting Practice","(3-0) 3 Credit Hours.","Accounting (ACC)","Undergraduate","Prerequisite: A grade of ""C-"" or better inACC 3033andACC 3043, and a declared accounting major. A study of contemporary accounting topics and professional accounting research using the Accounting Standards Codification.  Generally offered: Fall, Spring, Summer. This course has Differential Tuition."
"ACC 4911","Independent Study","(0-0) 1 Credit Hour.","Accounting (ACC)","Undergraduate","Prerequisite: A 3.0 Carlos Alvarez College of Business grade point average and permission in writing from the instructor, the Department Chair, and the Dean of the Carlos Alvarez College of Business. Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree. This course has Differential Tuition.  Course Fee: BISP $10; BTSI $15.41."
"ACC 4913","Independent Study","(0-0) 3 Credit Hours.","Accounting (ACC)","Undergraduate","Prerequisite: A 3.0 Carlos Alvarez College of Business grade point average, and permission in writing from the instructor, the Department Chair, and the Dean of the Carlos Alvarez College of Business. Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree. This course has Differential Tuition."
"ACC 4933","Internship in Accounting","(0-0) 3 Credit Hours.","Accounting (ACC)","Undergraduate","Prerequisites: 12 semester credit hours of upper-division accounting courses includingACC 3033, a 3.0 UTSA grade point average, a 3.0 grade point average in upper-division accounting courses, and permission in writing from the instructor, the Department Chair, and the Dean of the Carlos Alvarez College of Business; see academic advisor for required forms.
Provides students with on-the-job training in public, industry, not-for-profit, or governmental accounting units. A written report is required.ACC 4933may be completed only once for undergraduate degree credit. Credit cannot be earned for bothACC 4933and ACC 4963. Generally offered: Fall, Spring. This course has Differential Tuition."
"ACC 4953","Special Studies in Accounting","(3-0) 3 Credit Hours.","Accounting (ACC)","Undergraduate","Prerequisite: Consent of instructor. An organized course offering the opportunity for specialized study of accounting topics not normally or not often available as part of the regular course offerings.ACC 4953may be completed only once for degree credit.
Generally offered: Spring. This course has Differential Tuition.  Course Fee: DL01 $75."
"ASC 1031","Heritage and Values of the United States Air Force I","(1-3) 1 Credit Hour.","Aerospace Studies (ASC)","Undergraduate","A survey course designed to introduce students to the United States Air Force and Air Force Reserve Officer Training Corps. Focuses on the mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force opportunities, and an introduction to communication skills. Leadership Laboratory is mandatory for AFROTC cadets and complements the course by providing cadets with followership experiences. Generally offered: Fall.  Course Fee: LRRT $12.50."
"ASC 1041","Heritage and Values of the United States Air Force II","(1-3) 1 Credit Hour.","Aerospace Studies (ASC)","Undergraduate","A continuation ofASC 1031, students progress in acquiring skills and demonstrating their proficiency. Leadership Laboratory is mandatory for AFROTC cadets and complements the course by providing cadets with followership experiences. Generally offered: Spring. Course fee: LRRT $12.50."
"ASC 2031","The Evolution of United States Air Force Air and Space  Power I","(1-1) 1 Credit Hour.","Aerospace Studies (ASC)","Undergraduate","Examines general aspects of air and space power through a historical perspective. Covers a time period from the first balloons and dirigibles to the space-age systems of the Global War on Terror. Historical examples are provided to extrapolate development of AF distinctive capabilities and missions to demonstrate the evolution of today’s USAF air and space power. Examines several fundamental truths associated with war in the third dimension. Reviews importance of AF core values with use of operational examples and historical AF leaders. Stresses development of communication skills. Leadership Laboratory is mandatory for AFROTC cadets and complements the course by providing cadets with followership experiences. Generally offered: Fall. Course Fee: LRRT $12.50."
"ASC 2041","The Evolution of United States Air Force Air and Space  Power II","(1-1) 1 Credit Hour.","Aerospace Studies (ASC)","Undergraduate","A continuation ofASC 2031, students progress in acquiring skills and demonstrating their proficiency. Leadership Laboratory is mandatory for AFROTC cadets and complements the course by providing cadets with followership experiences. Generally offered: Spring."
"ASC 3013","Air Force Leadership and Communication Studies I","(3-3) 3 Credit Hours.","Aerospace Studies (ASC)","Undergraduate","A study of leadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, leadership ethics, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. Leadership Laboratory is mandatory for AFROTC cadets and complements the course by providing advanced leadership experiences in officer-type activities, giving students the opportunity to apply leadership and management principles. Generally offered: Fall. Course Fee: LRRT $37.50."
"ASC 3023","Air Force Leadership and Communication Studies II","(3-3) 3 Credit Hours.","Aerospace Studies (ASC)","Undergraduate","A continuation ofASC 3013, students progress in acquiring skills and demonstrating their proficiency. Leadership Laboratory is mandatory for AFROTC cadets and complements the course by providing advanced leadership experiences in officer-type activities, giving students the opportunity to apply leadership and management principles. Generally offered: Spring. Course fee: LRRT $37.50."
"ASC 4013","National Security Affairs/Preparation for Active Duty I","(3-3) 3 Credit Hours.","Aerospace Studies (ASC)","Undergraduate","Examines the national security process, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics of interest focus on the military as a profession, officership, military justice, civilian control of the military, preparation for active duty, and current issues affecting military professionalism. Within the structure, continued emphasis is given to refining communication skills. Leadership Laboratory is mandatory for AFROTC cadets and complements the course by providing advanced leadership experiences in officer-type activities, giving students the opportunity to apply leadership and management principles.
Generally offered: Fall. Course Fee: LRRT $37.50."
"ASC 4023","National Security Affairs/Preparation for Active Duty II","(3-3) 3 Credit Hours.","Aerospace Studies (ASC)","Undergraduate","Continuation ofASC 4013, students progress in acquiring skills and demonstrating their proficiency. Leadership Laboratory is mandatory for AFROTC cadets and complements the course by providing advanced leadership experiences in officer-type activities, giving students the opportunity to apply leadership and management principles. Generally offered: Spring. Course fee: LRRT $37.50."
"AAS 2013","Introduction to African American Studies","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","Offers an interdisciplinary introduction to major topics in African American Studies. Course materials will address basic contours of the Black experience in the United States. Topics that may be investigated include historical, autobiographical, political, cultural, sociological, literary, and/or popular responses to and representation of African Americans in the United States. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture. Generally offered: Fall, Spring.  Course Fee: DL01 $75; LRC1 $12; LRH1 $20.54; STSH $30.81."
"AAS 2113","African American Culture, Leadership and Social Issues","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","This course examines topics related to twentieth-century African American culture, leadership, and social experiences. The focus of this course includes emphasis on civic engagement, leadership, and/or cultural expression (i.e., music, performance arts, film, visual arts) that informs collective identities, social movements, and/or relevant social issues. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture. Course Fees: LRC1 $12; LRH1 $20.54; STSH $30.81; DL01 $75."
"AAS 3013","Black Communities and Culture","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","This course examines Black communities and their cultural expressions (e.g., art, music, film, literature, cultural identity). The substantive and disciplinary emphasis can vary from one semester to another. Course Fees: LRH1 $20.54; STSH $30.81; DL01 $75."
"AAS 3023","Global Blackness and Afro-Latinidad","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","This course offers a survey of the African Diaspora from a cultural perspective, exploring the ways African descendent peoples in the Americas have created Black selves, community, and struggle through transnational imagination and action. The role of Afro-Latinidad, Black social movements, culture, music, and the arts will be considered in terms of how they have come to shape the African Diaspora as an evolving space of Black social making and moving. (Same asMAS 3053andWGSS 3023. Credit can only be earned for one of the following:MAS 3053,WGSS 3023, orAAS 3023.)  Course Fee: LRH1 $20.54; STSH $30.81."
"AAS 3113","Doing Black Studies Research","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","This course introduces students to the practice of conducting independent research. Though it concentrates on the empirical study of Black communities and experiences, this course provides useful introductions to both quantitative and qualitative methods for students in the humanities and social sciences, regardless of major. Students will learn and practice a diverse set of methodologies, and consider the ethics of Black Studies research before proposing their own project. Course Fees: LRH1 $20.54; STSH $30.81; DL01 $75."
"AAS 3123","Civil Rights Movement and African American Education","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","This course provides an introduction to the period of struggle in American history known as the Civil Rights Movement. The objective is to survey the major historical figures, organizations, locations, strategies, and ideas that coalesce to make the history of the movement. The course will analyze the historical trajectory of educational policies with particular emphasis on the Brown v. Board of Education decision in 1954 and its implications over the following 20 years.  Course Fee: DL01 $75; LRH1 $20.54; STSH $30.81."
"AAS 3133","African Americans in Higher Education","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","This course explores the history of African Americans in higher education. The course examines especially significant post-secondary issues and topics in the twentieth and twenty-first centuries, such as access, equity, diversity, student organizations, institutional leadership, and current events.  Course Fee: LRH1 $20.54; STSH $30.81."
"AAS 3433","An Introduction to Critical Race Theory (CRT)","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","This course is an introduction to Critical Race Theory (CRT), a theory used to study racial inequity. In this course, students will learn the foundational tenets of CRT, its major theoretical constructs, and its methodological approaches. They will also explore various strands, such as TribalCrit, LatCrit, AsianCrit, and DisCrit. They will consider its utility and limitations while applying it to their own understanding of racial injustice."
"AAS 3883","Black and Brown Latinx Music Ensemble","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","Ensemble specializing in Afro-Latinx and all genres of Mexican American music. Open to all students by audition. May be repeated for credit. Course focuses on refining performance technique and style, examines the historical development of Afro-Latinx and Mexican American music genres, their cross-cultural interactions and influences in their migration into the US, and music as an integral part of Latinx/Chicanx society, culture, education, and economy. Repertoire will vary from semester to semester, depending on the instructor and ensemble instrumentation. All instruments and voices are welcome to audition. This is a performing ensemble. Rehearsal and performance/concert participation is required. (Same asMAS 3883. Credit cannot be earned for bothMAS 3883andAAS 3883.)  Course Fee: LRH1 $20.54; STSH $30.81."
"AAS 4013","Topics in African American Studies","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","This course analyzes historical and contemporary issues and phenomena associated with African Americans. It explores different methodological approaches by inquiring about these issues and phenomena, and presents varying arguments and ideological positions concerning these public-affairs matters. May be repeated for credit when topics vary. Two or more topics courses may be taken concurrently. Generally offered: Fall, Spring.  Course Fee: DL01 $75; LRH1 $20.54; STSH $30.81."
"AAS 4023","Black and Brown Youth Resistance","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","This course examines theories of youth resistance, and specifically the ways in which youth of color have and continue to resist, whether through organizing social justice movements, self-expression, and/or cultural production. Drawing from Critical Youth Studies, Ethnic Studies, and Women of Color feminisms, this course explores how youth as a whole, and youth of color specifically, are socially constructed in the U.S. and the impact of these constructions of race, gender, sexuality, and age structurally on youth in terms of the policies that are created that impact their everyday lives. This course also explores the contributions youth of color have made and continue to make in society, not only through organizing but also through their everyday forms of resistance such as their behaviors, languaging, forms of self-expression, engagement with popular culture, and resulting cultural production. (Same asMAS 4023. Credit cannot be earned for bothAAS 4023andMAS 4023.)  Course Fee: LRH1 $20.54; STSH $30.81."
"AAS 4033","Women of Color Feminisms","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","This course centers feminist epistemological contributions of Women of Color. As a result of their positionalities, Women of Color have developed their own organizations, printing presses, research approaches, and critical theories, and have contributed to social change. This course examines critical theories that make up Black, Chicana/x and Latina/x, Indigenous, and Asian/Asian American feminisms. Women of Color feminisms have advanced change through their scholarship, activism, community organizing, participation in mutual aid, cultural production, and critique of and resistance to coloniality in all of its forms. This course uses an intersectional approach to examining the contributions of Women of Color feminisms across disciplines to include, but not limited to, education, public health, popular culture, community organizing, policy, and cultural production. (Same asMAS 4033andWGSS 4033. Credit can only be earned for one of the following:AAS 4033,WGSS 4033, orMAS 4033.)  Course Fee: LRH1 $20.54; STSH $30.81."
"AAS 4043","Intersectionality","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","Intersectionality, a concept introduced by Kimberlé Crenshaw, theorizes how interrelated systems of power, particularly racism, capitalism, and patriarchy, produce dilemmas for Black women distinct from White women and Black men. Over the last 25 years, the application of the concept has expanded into an analytical tool to study the experiences across a wide range of identities and communities. This course examines the historical trajectory of intersectionality as a theoretical concept and research paradigm rooted in Black feminism(s) and intersectional frameworks in Black women’s activism and writing, which has long drawn attention to how race, class, and gender mutually determine social location. (Same asWGSS 4053. Credit cannot be earned for bothWGSS 4053andAAS 4043.)  Course Fee: LRH1 $20.54; STSH $30.81."
"AAS 4103","Writing Black Lives","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","This course is an examination of selected works detailing the complexities of Black lives across the Diaspora. Focused on developing both critical reading and critical writing skills, this course allows students to study Black life writers and simultaneously consider how self-invention, creativity, and imagination are used in the writing of Black lives. Black life writing, as practice, combats white supremacist stereotypes about Black characters, both historical and present day. We will read various approaches to Black life writing, and students will develop life writing skills in areas critical to Black experiences, culminating in a writing project in the genres of their choosing (essay, short story, folk tale, novel, or autobiography, for example). Course fees: LRH1 $20.54; STSH $30.81."
"AAS 4113","The Black Church and Social Change in the 20th-Century","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","This course examines key characteristics, leaders, and theological shifts across a wide of array of religious institutions known as the ""Black Church."" The course focuses on the Black Church's varied influences on the development of social organizations, cultural expressions, localized and national leadership, and educational institutions that serve the needs and desires of Black communities throughout the 20th century.  Course Fee: LRH1 $20.54; STSH $30.81."
"AAS 4133","Black Social Movements","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","Beginning with the violence of the Jim Crow South, and the ongoing segregation in the north and west, this course examines a variety of Black social movements through the current day. Readings, discussions, and assignments will explore the life cycle and impact of each Black social movement, as well as the historical, economic, and political contexts in which they developed. Ethnographies and oral histories from movement participants will be at the center of this exploration. (Same asWGSS 4133. Credit cannot be earned for bothAAS 4133andWGSS 4133.)  Course Fee: LRH1 $20.54; STSH $30.81."
"AAS 4143","Black and Brown Latinas/xs in Music and Society","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","A survey of the impact of Black and Brown women/femmes on US and global cultures and societies. The course will emphasize the stylistic and technical nuances and sound production from Black, Brown, and Afro-Latina/x/o diasporas. Examination of women, gender, and sexuality within Black and Brown sonic spaces and analysis of the global histories of the African, Indigenous, and Mexican diasporas through a sociopolitical lens. (Same asMAS 4143. Credit cannot be earned for bothMAS 4143andAAS 4143.)  Course Fee: LRH1 $20.54; STSH $30.81."
"AAS 4213","Senior Capstone","(3-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","Prerequisites:AAS 2013,AAS 3013, andREGS 2003. 
This course is designed to facilitate the work of African American Studies majors as they complete their capstone projects. Working with the professor, and in collaboration with their classmates, students will produce an original contribution to the field grounded in African American Studies methods and theory. Over the course of the semester, we will examine and work through the challenges of producing original research. Course fees: LRH1 $20.54; STSH $30.81."
"AAS 4911","Independent Study","(0-0) 1 Credit Hour.","African American Studies (AAS)","Undergraduate","Prerequisites: Permission in writing (form available) from the instructor, the student’s advisor, the program director, and Dean of the College in which the course is offered.
Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree. A maximum of 3 semester credit hours may be applied to the minor. Course Fee: STSH $10.27."
"AAS 4912","Independent Study","(0-0) 2 Credit Hours.","African American Studies (AAS)","Undergraduate","Prerequisites: Permission in writing (form available) from the instructor, the student’s advisor, the program director, and Dean of the College in which the course is offered.
Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree. A maximum of 3 semester credit hours may be applied to the minor. Course Fee: STSH $20.54."
"AAS 4913","Independent Study","(0-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","Prerequisite: Permission in writing (form available) from the instructor, the student’s advisor, the program director, and Dean of the College in which the course is offered. Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree. A maximum of 3 semester credit hours may be applied to the minor.  Course Fee: LRH1 $20.54; STSH $30.81."
"AAS 4933","Internship in African American Studies","(0-0) 3 Credit Hours.","African American Studies (AAS)","Undergraduate","Prerequisite: Consent of internship coordinator.
Supervised experience relevant to African American studies within selected community organizations. A maximum of 3 semester credit hours may be applied to the minor. Course Fees: LRH1 $20.54; STSH $30.81."
