course_name,department,college,subject,description
Abstraction,AFVS 124K,FAS,"Art, Film, and Visual Studies","This course emphasizes the role of composition, color and form outside of representation. How does an artist working outside of nameable objects transfer intent? Far from creating a mess - this course seeks to explore through making, the means, reasons and many definitions of abstraction. Starting with the square - students will move from visual problem solving on two dimensional surfaces into their own projects. While the initial emphasis will focus on abstraction in painting, students are enco"
Sleight of Hand Sleight of Mind: Creative Process and Photography,AFVS 148,FAS,"Art, Film, and Visual Studies","Sleight of Hand Sleight of Mind is an intermediate/advanced studio photography seminar. Your self-directed image-making practice will be balanced by learning to parse creative decisions that are part of image-making. Supported by readings on contemporary photography and creative process, the class is designed to sharpen your understanding of lens-based and image-based creativity. We will analyze unaltered photographs, as well as photographic processes such as cutting, collaging, hammering, paint"
Film Direction: From Script to Screen,AFVS 150B,FAS,"Art, Film, and Visual Studies","This production course is an advanced continuation of 150A. It is compulsory for students to have the first draft of their short screenplays on the first day of class. Content includes scene analysis and script revision, directing professional and non-professional actors, cinematography, blocking and mise-en-scène, sound design, editing and post-production. Students will be given assignments related to their written screenplays throughout the course, culminating in what will be their fina"
The Bolex: Working in Film,AFVS 152F,FAS,"Art, Film, and Visual Studies","All work in this course will be shot on 16mm film using Bolex cameras. Some projects will be silent and cut with splicers, others will add a soundtrack and will be edited using a computer. Through a series of non-fiction projects, students will explore the possibilities of the 16mm film image and the freedom of working with silence or in non-synchronous sound. Class time will include technical workshops, film screenings and discussions of student work."
Intermediate Animation,AFVS 153PR,FAS,"Art, Film, and Visual Studies","Building on fundamentals engaged at the beginning level, the Intermediate Animation studio course explores animation practice from the inside out, with emphasis on timing and tactility as expressed in movement. The course is comprised of three elements. First, weekly in-class material and spatial explorations. Second, screening and discussion of historically, culturally, and technically significant animated works. And third, the development and creation of a short-form animated project of the st"
Thinking with Images: The Mechanics of the Essay Film (New Film Production Course),AFVS 156F,FAS,"Art, Film, and Visual Studies","This intermediate production course equips students with essential skills for building an essay film, bridging the gap between conceptual ideas and actionable production plans. The first half of the semester focuses on development and pre-production, covering research methods, location scouting, subject engagement, writing for the screen, budgeting, and pitch deck creation. For the second half of the semester, students will enact these plans to produce a short or mid-length film. Classes will co"
Sensory Ethnography 1,AFVS 158AR,FAS,"Art, Film, and Visual Studies","An introduction to “sensory ethnography,” a media practice that seeks to rejuvenate and innovate in visual anthropology, cinema, and art.  Students will learn to record and edit video and audio to produce original media works about embodied experience, culture, ecology, political-economy, and history. This is a year-long course that supports students' independent projects through the summer and the following semester."
Sensory Ethnography 2,AFVS 158BR,FAS,"Art, Film, and Visual Studies","An introduction to “sensory ethnography,” a media practice that seeks to rejuvenate and innovate in visual anthropology, cinema, and art.  Students will learn to record and edit video and audio to produce original media works about embodied experience, culture, ecology, political-economy, and history. This is a year-long course that supports students' independent projects through the summer and the following semester."
The Matrix of the Visible: From Thought to Screen,AFVS 161H,FAS,"Art, Film, and Visual Studies","An intermediate filmmaking course that explores through theory and practice (studio workshops, in-class film screenings, critical readings and group discussion) the ground of the moving image and its potential for the creation of shared spaces of invention. Through examination of and experimentation with different approaches to camera-work, mis-en-scene, form, montage and sound, students will be encouraged to expand their perception of the moving image medium. Students will be required during t"
Vertical Cinema,AFVS 165V,FAS,"Art, Film, and Visual Studies","The ever-increasing flexibility of video presentation technology creates the opportunity to reconsider cinema’s most deeply rooted conventions. In this production course, students reflect on the cultural connotations of verticality (from portraiture to social media and the aesthetics of witness), to create their own vertical video projects using a range of available cameras. Through screenings, readings, discussions, workshops, and museum visits focused on creators who have investigated and disr"
Contemporary Moving Image Practices,AFVS 172,FAS,"Art, Film, and Visual Studies","This course looks at diverse practices that comprise the contemporary moving image landscape including avant-garde film, video and installation art, experimental narrative cinema, and documentary. Most weeks will feature a guest artist who will be present (in person or virtually) for a screening and presentation of their work, and students will have the opportunity to engage in close dialogues with them in a seminar setting. Guests will include a broad range of international filmmakers and artis"
Surroundings: Media and Environment,AFVS 174E,FAS,"Art, Film, and Visual Studies","This seminar investigates the relationship between media and environment, charting their changing and overlapping senses from the 19th century to today. The course both reconsiders the “environmental” in the work of fundamental media theorists and examines how contemporary filmmakers, artists, and writers provocatively blur art and science, the human and the non-human, the cultural and the natural. Questions focus on how climate, economic, and political realities challenge artists to critically"
Indigenous Cinema,AFVS 187,FAS,"Art, Film, and Visual Studies","This seminar looks at contemporary and historical documentary, narrative, and experimental films made by Indigenous filmmakers and artists. The focus is primarily on North America, but includes works from around the world."
"Curation, Conservation and Programming",AFVS 209R,FAS,"Art, Film, and Visual Studies","For research and independent projects in the archives, collections, and exhibitions of the Carpenter Center for the Visual Arts, the Harvard Film Archive, or the Harvard Museums and other campus arts institutions. Open only by petition to the Department; petitions should be presented during the term preceding enrollment, and must be signed by the instructor or staff member with whom the project is to be done."
Critical Printing,AFVS 215,FAS,"Art, Film, and Visual Studies","Incorporating both studio and seminar instruction, this intensive course will explore printmaking’s history, trace its particular forms of intelligence, and test its future potential. The class will meet for three hours of studio and two hours of seminar/discussion per week. Assignments will include weekly readings, a short scholarly paper, and two studio projects. For the first half of the semester, students will pursue a rigorous grounding in a particular historical technique (etching/in"
New Media Theory,AFVS 241,FAS,"Art, Film, and Visual Studies","This graduate course surveys new developments in media theory and provides an overview of advanced approaches to the study of media. We will look at different schools and streams of thought that productively expand and transform the established corpus of media theory. This year, our survey of recent media theoretical positions will also serve as the conceptual ground for our upcoming FVS graduate conference in April 2023. Weekly response papers, film screenings, and research projects will be vit"
Audio in Multimodal Practice,AFVS 254,FAS,"Art, Film, and Visual Studies","This course presents an opportunity for students engaged in media anthropology, critical media practice, art, or other audiovisual enterprises to focus primarily on the sonic aspects of their engagements, and to gain experience and expertise in working with audio in conjunction with other media."
Film and Visual Studies Workshop,AFVS 301,FAS,"Art, Film, and Visual Studies",
Reading and Research,AFVS 310,FAS,"Art, Film, and Visual Studies",
Directed Study,AFVS 320,FAS,"Art, Film, and Visual Studies",
Teaching Workshop,AFVS 330R,FAS,"Art, Film, and Visual Studies","This course serves as an introduction to teaching in Art, Film, and Visual Studies, as well as a forum for designing instruction. There will be an emphasis on discussions of hybrid methodologies between research and practice."
Film Study Center Non-Fiction Filmmaking Workshop,AFVS 351HF,FAS,"Art, Film, and Visual Studies",A graduate workshop for Film Study Center non-fiction film and video projects.
Graduate Studio Workshop,AFVS 390,FAS,"Art, Film, and Visual Studies","This graduate-level studio class is for advanced students in Film & Visual Studies and Critical Media Practice, who wish to develop their artistic practice in conjunction with their scholarship.  Students develop individual and collaborative studio projects that explore the principles and potential of the visual and performing arts.  Projects may be in drawing, painting, printmaking, sculpture, photography, video, film, installation, graphic design, or performance."
Introductory Akkadian II,AKKAD AB,FAS,Near Eastern Languages & Civ,"An introduction to the Semitic language of Akkadian, primarily through the Old Babylonian dialect and cuneiform writing system as used during the time of Hammurabi (c. 1750 BCE). Students learn the fundamentals of grammar and the writing system, as well as the most common cuneiform signs in official and cursive script. Readings span a variety of genres, including private letters, judicial documents, literary and religious texts, divinatory compendia, legal code, and royal inscriptions. The cours"
Akkadian Language and Literature,AKKAD 300,FAS,Near Eastern Languages & Civ,
Elementary Modern Albanian II,ALBANIAN AB,FAS,Near Eastern Languages & Civ,"Emphasis on all aspects of Albanian grammar toward developing a solid foundation for speaking, listening, reading, writing, and vocabulary skills.  Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit."
Elementary Amharic,AMHARIC AB,FAS,African & African Amer Studies,"A study of Amharic the statutory national language and major lingua franca of Ethiopia at the Elementary level (First year part 2). Contact hours supplemented by language digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year.This course is offered only in the Spring."
Intermediate Amharic,AMHARIC BB,FAS,African & African Amer Studies,"A study of Afrikaans a major language spoken in South Africa at the Intermediate level (Second year part 2). Contact hours supplemented by digital resources sessions. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. Students taking Afrikaans BA in the Spring must note that Afrikaans BB is offered only in the Spring."
Advanced Amharic II,AMHARIC 101BR,FAS,African & African Amer Studies,"A study of Amharic the statutory national language and major lingua franca of Ethiopia at the Advanced level in the Spring semester. As needed, successive advanced readings in Amharic may be taken under Amharic 101br every Spring."
Colloquium on Pedagogy and Professional Development,AMSTDIES 314B,FAS,American Studies,"Topics in pedagogy and professional development for third-year students in American Studies. Strongly recommended for American Studies G-3s, and open to others by permission of the instructor.Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit."
Movement and Migration in the Ancient Mediterranean,ANCSTD 201,FAS,"Classics, The","People often have a hard time staying put, and this course asks why. It will scrutinize the phenomena of movement, mobility, and migration across the ancient Mediterranean world through textual, visual, and material evidence. It will look at both individual and collective movement and the various stimuli that encouraged both. Religion will feature prominently, as we study sanctuaries, ceremonies, and rituals that inspired movement or mobility at either the local, regional, or imperial level. Mor"
"Age of Empires: Violence, Ideology, and the Making of Ancient Near Eastern Societies",ANE 116,FAS,Near Eastern Languages & Civ,"What is empire? Why and how are some political collectives more successful than others in achieving dominance over diverse geographic locales and social groups? What role does violence and ideology play in the imperial project? And what strategies do communities employ to negotiate their position under non-local rule? This course explores the range of answers to such questions by surveying the rise and fall of several major Bronze and Iron Age empires of ancient southwest Asia, including New Kin"
Introduction to the Hebrew Bible/Old Testament 2: Latter Prophets and Writings,ANE 120B,FAS,Near Eastern Languages & Civ,"A critical introduction to the literature and theology of the Hebrew Bible, considered in light of the historical contexts of its formation and the interpretive contexts of its reception within Judaism and Christianity. The course, the second part of a divisible, year-long sequence, will focus on the Latter Prophets and the Writings."
Social Archaeology of Iron Age Ancient Israel,ANE 211,FAS,Near Eastern Languages & Civ,"This course examines past societies of the ancient southern Levant through the archaeological record of the Iron Age (ca. 1175–550 BCE). The course focusses on the kingdoms and cultures of Israel, Judah, Philistia, Ammon, Moab and Edom, engaging with the periods prior to their formation, the processes that shaped them, and the aftereffects of their demise. Specific course topics include state formation, nomadism, cross-cultural interaction, identity, economies, power in society, empire, resistan"
Reading and Research in Ancient Near Eastern Studies,ANE 301,FAS,Near Eastern Languages & Civ,
Reading and Research in Biblical Studies,ANE 330,FAS,Near Eastern Languages & Civ,
Supervised Reading and Research in Archaeology,ANTHRO 91XR,FAS,Anthropology,"Special study of selected topics in archaeology, given on an individual basis and directly supervised by a member of the department. May be taken for a letter grade or pass/fail. To enroll, a student must submit a petition form (available from the Head Tutor for Archaeology or downloadable from the department's Anthropology[Archaeology] website), signed by the adviser with whom he or she wishes to study, and a proposed plan of study."
Supervised Reading and Research in Social Anthropology,ANTHRO 91ZR,FAS,Anthropology,"Special study of selected topics in Anthropology, given on an individual basis and directly supervised by a member of the Department. May be taken for a letter grade or Pass/Fail. To enroll, a student must submit to the Anthropology Undergraduate Office, Tozzer 103B, a course form signed by the adviser under whom s/he wishes to study and a proposed plan of study. Anthro 91zr form available from the Undergrad Office, or the department website."
Archaeological Research Methods in Museum Collections,ANTHRO 92XR,FAS,Anthropology,Special (individual) study of Peabody Museum (PM) collections approved by the PM Director and directly supervised by a member of the PM curatorial staff. Requires a project involving a museum collection developed in consultation with the supervisor.
Social Anthropology Research Methods in Museum Collections,ANTHRO 92ZR,FAS,Anthropology,"Special (individual) study of Peabody Museum collections directly supervised by a faculty member and a member of the curatorial staff. Requires a project involving a Harvard Museum collection, developed in consultation with the supervisors."
Sophomore Tutorial in Archaeology,ANTHRO 97X,FAS,Anthropology,"This course will focus on archaeological thinking, the cognitive skeleton of the discipline of archaeology, the principles and the logic that are the foundation of all archaeological conclusions and research. Central to this is an understanding of research design, archaeological theory and interpretation, culture and material culture; as well as an understanding of how to examine and construct an archaeological argument."
Sophomore Tutorial in Social Anthropology,ANTHRO 97Z,FAS,Anthropology,"This course is designed to introduce undergraduate students to social/cultural theory in light of anthropological methods, arguments, concerns, and writing. As a discipline, anthropology is rooted in conveying and theorizing the particularities of lived social realities—which are often messy, complex, and unruly. On the other hand, social theory tends to provide a more abstract, though still empirically grounded, analytical framework, concepts, and theories about the nature of social life,"
Junior Tutorial for Thesis Writers in Anthropology,ANTHRO 98B,FAS,Anthropology,"This individual tutorial is for anthropology students intending to write a senior thesis, and is normally undertaken with an advanced graduate student during the second term of junior year. Students will have weekly meetings with the project advisor for the purposes of developing the appropriate background research on theoretical, thematic, regional, and methodological literature relevant to their thesis topic, and fully refining their summer research proposal. The tutorial's final paper wil"
Thesis Tutorial in Anthropology - Senior Year,ANTHRO 99B,FAS,Anthropology,"This is a full year research and writing seminar limited to senior honors candidates. The course is intended to provide students with practical guidance and advice during the thesis writing process through structured assignments and peer feedback on work-in-progress. It is intended to supplement not replace faculty thesis advising (with the requirement of consulting regularly with the advisor built into the assignments) and, most importantly, allow students to share their work and experiences wi"
Archaeology of Harvard Yard II: Laboratory Methods and Analysis,ANTHRO 1131,FAS,Anthropology,"Open to students who participated in the fall term investigations in Harvard Yard, this course focuses on the detailed analysis of the materials recovered in the excavations, within the context of archival and comparative archaeological and historical research. The analysis will also include an evaluation of the results of the ground-penetrating radar surveys conducted prior to the excavations, as part of the research design for the next season of investigations."
Sensory Ethnography 1,ANTHRO 1836AR,FAS,Anthropology,"An introduction to “sensory ethnography,” a media practice that seeks to rejuvenate and innovate in visual anthropology, cinema, and art.  Students will learn to record and edit video and audio to produce original media works about embodied experience, culture, ecology, political-economy, and history. This is a year-long course that supports students' independent projects through the summer and the following semester."
