"code","title","description","credits","instructor"
"ANTH 102A","Human Skeletal Biology","Presents basic human osteology allowing students to identify skeletal material by element. Emphasizes the dynamic nature of bone by integrating anatomy with a discussion of bone physiology within the context of the human life cycle.","5",""
"ANTH 103","Forensic Anthropology","Covers the basic analysis of human skeletal remains for the medicolegal profession. Assessment of age, sex, ancestry, and general physical characteristics, trauma, and disease are discussed. Addresses the legal responsibilities of the anthropologist. Online lectures with in-class discussion sections, quizzes, and exams. Students cannot receive credit for this course and ANTH 103I.","5",""
"ANTH 104","Human Variation and Adaptation","Explores the major environmental factors (temperature, altitude, diet, and disease); how they are perceived by the human body; the physiological, micro- and macroanatomical responses; and how behavior and culture can modify the impact of these stresses. ANTH 1 is highly recommended as preparation. (Formerly Human Adaptability.)","5",""
"ANTH 105","Human Paleopathology","Examines paleopathology beginning with ancient hominid populations and proceeding to modern populations. Uses both the skeletal evidence and historical documentation when available. Considers evolutionary, cultural, and biological factors. Topics include: osteological diagnosis of infectious disease; trauma; nutritional deficiencies; dental disease; and developmental defects.","5",""
"ANTH 106","Primate Behavior and Ecology","The nature of primate social systems and social bonds is examined in the light of evolutionary and ecological concepts. We explore the evolution of primate social system behavior and culture, as well as the ecologies of primate populations.","5",""
"ANTH 106A","Chimpanzee Behavior and Culture A","","",""
"ANTH 106B","Chimpanzee Behavior and Culture","Provides students with an in depth understanding of the non-invasive study of chimpanzee behavior from video footage. The interactive lab aspect of this class focuses on how to non-invasively monitor the presence and behavioral diversity of wildlife using camera trap technology. Students are exposed to the primary scientific literature and gain experience handling and maintaining large datasets in excel, and work as a team throughout this class.","2",""
"ANTH 106C","Chimpanzee Behavior and Culture","Provides students with an in depth understanding of the non-invasive study of chimpanzee behavior from video footage. The interactive lab aspect of this class focuses on how to non-invasively monitor the presence and behavioral diversity of wildlife using camera trap technology. Students are exposed to the primary scientific literature and gain experience handling and maintaining large datasets in excel, and work as a team throughout this class.","2",""
"ANTH 107A","Methods and Research in Biological Anthropology: Genetics","Introduces the molecular analyses of anthropological questions and explores the intersection of genetics and anthropology. Covers the basic principles of molecular and population genetics as they relate to the study of humans. Prerequisite(s): ANTH 1 and ANTH 104. ANTH 102A is recommended. Enrollment by permission of instructor. (Formerly ANTH 107, Methods and Research in Molecular Anthropology.)","5",""
"ANTH 107B","Methods and Research in Biological Anthropology: Stable Isotopes","This combination of lectures, readings, discussions, and hands-on laboratory experience provides a comprehensive overview of stable isotope research to reconstruct diet and mobility. Discover the wide application of isotopic research in biological anthropology, bioarcheology, primatology and forensics. Prerequisite(s): at least one of ANTH 101, ANTH 104, ANTH 106, ANTH 107, or ANTH 110F and by permission of the instructor. (Formerly Methods and Research in Stable Isotope Ecology.)","5",""
"ANTH 107C","Methods and Research in Biological Anthropology: Chimpanzee Behavior and Culture","Lab class analyzing trail camera footage from chimpanzees and other wildlife, and installing our own cameras in the UCSC forest. Also includes readings and discussion of papers related to the newest findings on chimpanzee behavioral diversity and culture. Prerequisite(s): ANTH 106. Enrollment is by instructor consent.","5",""
"ANTH 107D","Methods and Research in Biological AnthropologyâComputational Population Genetics","Practical introduction to computational population genetics. Covers the basic principles of population and evolutionary genetics, and explores those with a range of computational methods for the analysis of genetic diversity, population structure, and admixture. Enrollment is by instructor consent.","5",""
"ANTH 107E","Methods And Research In Biological Anthropology: Lithic Technology","Introduction to lithic and ceramic analysis in archaeology. Includes lab analysis, discussions of classification and typology, and exploration of the concept of style as it relates to ceramics and lithics in archaeology. (Formerly ANTH 182A, Lithic Technology.)","5",""
"ANTH 108","Neanderthals","Homo sapiens neanderthalensis (neanderthals), once considered brutish, are increasingly seen as behaviorally modern. This course uses primary academic research to explore the social behaviors, technology, anatomy, and genetics of neanderthals, gaining a holistic understanding of our closest ancestor.","5",""
"ANTH 109","Evolution of Sex","Provides a physical anthropology understanding of the evolution of sex. Focuses on genetics and the altercations in allele associations that take place as a result of sexual processes.","5",""
"ANTH 110A","Public Life and Contemporary Issues","How can cultural anthropology help us to understand current events unfolding locally, nationally, and globally? Students learn how to read newspapers differently--that is, through the lens of cultural analysis. The world of everyday politics and society, as it unfolds in debates happening right now, forms the topical substance of the course.","5",""
"ANTH 110B","From Indiana Jones to Stonehenge: Archaeology as Popular Culture","Addresses the meaning of archaeology as generated in television, movies, literature, newspapers, and even National Geographic. Students engage with several case-studies illustrating how archaeology is portrayed in popular culture.","5",""
"ANTH 110C","California Pasts","This course is structured around four critical moments--missionization, Rancho-Era, Gold Rush, and World War II--through the eyes of the ethnic and racial minorities who experienced them. Special attention is given to oral, archival, and archaeological sources which reveal California's multiethnic pasts.","5",""
"ANTH 110D","Tourism Imaginaries and Encounters","Explores anthropological approaches to the study of tourism, in particular themes of authenticity, othering, visual economies, development, identity politics, alternative tourisms, and material culture with reference to history, power, and location.","5",""
"ANTH 110E","Anthropology of Global Environmental Change","Introduces anthropological and historical approaches to environmental change and globalization. Key themes include: capitalism and industrialization, environmental politics, global culture, and relations between humans and other species.","5",""
"ANTH 110F","Evolution of Human Diet","Presents the evolution of human diet and subsistence from a biological anthropological perspective. Covers the key hypothesis and methodologies related to diet, from our early fossil ancestors up to agriculture and animal husbandry.  (Formerly Biocultural Approaches to Food.)","5",""
"ANTH 110G","Westside Stories: Race, Place and the California Imaginary","From South Central to La MisiÃ³n, this course explores the role of race and culture in creating the California Dream. Draws on films, music, and activism as lenses into the complex flows of power that shape our communities.","5",""
"ANTH 110H","Brazilian Amazon Cultures and Environments","General introduction to the astonishing diversity of cultures and environments in the Brazilian Amazon. Designed to provide upfront understanding of what underlies perverse (non)development and forest destruction, but also social defense of the forest and sustainable life within it.","5",""
"ANTH 110I","Cultures of Sustainability and Social Justice","Brings together diverse forms of cultural knowledge and complexities of everyday life to illuminate longstanding concerns of sustainability and justice. Investigates multiple theories of sustainable development as well as tools, techniques, and contexts for ecological integrity, economic security, empowerment, responsibility and social well-being characteristic of sustainable communities. Case studies are drawn from around the world highlighting the work of Right Livelihood Award Laureates in tandem with UC faculty.","5",""
"ANTH 110IG","Cultures Of Sustainability And Social Justice Abroad","Brings together diverse forms of cultural knowledge and complexities of everyday life to illuminate longstanding concerns of sustainability and justice. Investigates multiple theories of sustainable development as well as tools, techniques, and contexts for ecological integrity, economic security, empowerment, responsibility and social wellbeing characteristic of sustainable communities. Case studies highlight the work of Right Livelihood Award Laureates in tandem with UC faculty. This course is a hybrid course. The in-person component allows for an in-person study abroad experience whereby students visit sites relevant to the curriculum and have lectures and discussions with Right Livelihood Laureates and the instructor. The asynchronous online component facilitates student engagement with custom pre-recorded video interviews with UC faculty and Right Livelihood Laureates from around the world.","5",""
"ANTH 110J","Emerging Humanity","Using an anthropological and archaeological perspective to learn about human history before AD 1500, course explores fossil remains of human ancestors and traces the more recent history of humanity from forgers/hunters to the emergence of complex societies/civilizations. Topics include human biological evolution, the development of organized human societies, the origins of food production (domestication of plants and animals), the origins of the world's earliest urban centers, and the development of social inequality.","5",""
"ANTH 110K","Culture Through Food","Examines anthropology of food and politics of eating. Cultural and social uses of food in rituals of solidarity or fasting, identities and meanings of food for individuals, and consumption in the global context are key components of study.","5",""
"ANTH 110M","Cultures of Mental Health","Examines diversity of mental health across cultures, psychiatric categories, and institutions. Assessment of human experiences via illness narratives, ethnographic research, and historical contexts.","5",""
"ANTH 110L","The Human Ocean","From coral reefs to Arctic sea ice, this course examines how humans interact with and transform earth's oceans, and how humans are shaped by the sea. Topics include: marine conservation, migration, shipping and logistics, slavery, fisheries management, and climate change.","5",""
"ANTH 110N","Anthropology of Food","Focuses on social institutions around the world that shape food and its meanings; how people use food to organize their worlds; and production, sharing, or consumption of food as a political or meaningful act.","5",""
"ANTH 110O","Postcolonial Britain and France","Transdisciplinary examination of the politics and culture of postcolonial Britain and France. Topics include: immigration from South Asia, Africa, and the Caribbean; racism and antiracism; minority difference and citizenship practices; and the emergence of Islam as a major category of identity and difference.","5",""
"ANTH 110P","India and Indian Diaspora through Film","Students in this course view the complexity and diversity of the Indian Diaspora through themes such as family, caste, food, gender, politics, religion, sexuality, and immigration policies affecting the diaspora. How do the vastly diverse groups of Indian Americans perceive their own ethnic identity? How do they respond to the dual impulses of assimilation and integration? And how might their self-conception influence the composition of their social networks? Course explores these themes through readings and Bollywood films.","5",""
"ANTH 110Q","Queer Sexuality in Black Popular Culture","From Janet Mock to Young M.A., queerness has become hypervisible in Black popular culture--but at what cost? Using music, television, and social media as central texts, students investigate the intersections of sexuality, gender, and race in public life.","5",""
"ANTH 110R","Discourses in American Religions and Their Role in Public Life","Introduces dominant discourses about major American religions and their role in public life, with particular attention to intersecting differences, such as race, sex/gender, and disability, and to shifting religious/political boundaries. Visual and textual media, political commentary, and popular ethnographies are analyzed.","5",""
"ANTH 110S","Evolution of Democracy","Examines the state and its institutions from a historical, social, and cross-cultural perspective, paying attention to the varied discourses and practices that constitute what we call the state.","5",""
"ANTH 110T","Motherhood in American Culture","Examines the culture wars around motherhood in the United States with a focus on the political mobilization of normative ideas about the correct way to mother, from the moment of conception on. Special attention is given to the historical construction of deviant motherhood among marginalized groups.","5",""
"ANTH 110U","Histories and Cultures of Piracy","An interdisciplinary yet anthropologically informed approach to studying pirates and piracy across different historical eras and spaces. Explores the role of pirates in world history from ancient to present times, including piracy both at sea and online.","5",""
"ANTH 110V","American Capitalism","Capitalism shapes our lives in unequal ways, but what is it? Course explores histories and machinations of capitalism in the Americas, focusing on the United States. Investigates what capitalism is, how it operates, its origins, and what might come next.","5",""
"ANTH 110W","Land and Waterscapes Entropology","Establishes anthropological interconnections of emergent worlds where environmental matters, social justice, and human survival interrelate. Focuses on anti-essential nature and waterscape ethnographies in which different pluricultures revalidate local understandings as ways of contesting increasing forms of land and water privatization.","5",""
"ANTH 110Y","Feeding California","Online course introducing students to social practices, political processes, and cultural contexts that shape food production and consumption. Considers identity, heritage, choice, power, agency, body practices, belonging, access, safety, and security. Prioritizes California case studies, with comparative examples from around the world.","5",""
"ANTH 110Z","Introduction to Disability Studies","Provides an introduction to the interdisciplinary field of disability studies, including the key terms and debates of disability studies; representations of disability in print, televisual, and social media; and the legal, political, and justice-oriented frameworks that impact disability in the U.S., with a focus on intersectional disability justice.","5",""
"ANTH 111","Human Ecology","Reviews the environmental, physiological, behavioral, and cultural ways that humans interact with their physical surroundings. The effects of human culture on the environment and of the environment on the shape of human culture is emphasized.","5",""
"ANTH 112","Life Cycles","Examines the human life cycle using an evolutionary framework. Examines key aspects of the human life stages using findings and concepts from developmental biology, physiology, nutrition, evolutionary ecology, and life-history theory.","5",""
"ANTH 113","Tutoring Writing in Anthropology","Trains students to tutor writing in undergraduate anthropology courses; supports and guides them during the quarter they are tutoring. Enrollment by interview only. Prerequisite(s): satisfaction of the Composition requirement.","2",""
"ANTH 119","Indigenous Visual Culture","Examines the relationship between visual cultures and indigenous peoples. First, class discusses what is visual anthropology. Second, class examines the relationship between museums and indigenous peoples. Third, class examines ethnographic photography and indigenous uses of photography. Fourth, class examines the uses of ethnographic film, and then its relationship to indigenous peoples. Finally, class examines indigenous uses of film.","5",""
"ANTH 121","Socialism","Ethnography-based course that examines the social worlds of socialism, with particular focus on state socialism. Topics include: social problems that inspired socialist movements; implementation and experience of socialism in daily life; and significance of class, race, nation, science, technology, rationality.","5",""
"ANTH 122","Postsocialism","Examines the demise of socialist systems. Addresses the political, social, cultural, and economic experiences of everyday life that led to that demise, what new social inequalities have arisen since, and how citizens use the socialist past to critique the present.","5",""
"ANTH 123","Psychological Anthropology","An introduction to some of the central theoretical issues in psychological anthropology. Psychoanalytic, cognitive, and relativist perspectives on the link between person and society are discussed and compared.","5",""
