"course_code","course_title","department","credits","description"
"AE 2220","Dynamics","Aerospace Engineering (AE)","3 Credit Hours.","Motion of particles and mass center of bodies, kinematics and kinetics of rigid bodies in plane motion, work-energy and impulse-momentum methods, 3-D dynamics of rigid bodies."
"AE 2220R","AE 2220 Recitation","Aerospace Engineering (AE)","0 Credit Hours.","This recitation is an optional session in support ofAE 2220. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions."
"AE 2221","3D Dynamics","Aerospace Engineering (AE)","1 Credit Hour.","Kinematics and kinetics of rigid bodies in three-dimensional motion."
"AE 2221R","AE 2221 Recitation","Aerospace Engineering (AE)","0 Credit Hours.","This recitation is an optional session in support ofAE 2221. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions."
"AE 2355","Aerospace Systems Design Competition II","Aerospace Engineering (AE)","3 Credit Hours.","Team-oriented aerospace systems design project directed by a faculty advisor. Typically a national student competition in aircraft, rotorcraft, or spacecraft design.  Technical role commensurate with sophomore standing."
"AE 2610","Introduction to Experimental Methods in Aerospace","Aerospace Engineering (AE)","1 Credit Hour.","Introduction to laboratory instrumentation and measurement techniques used in aerospace. Basic application of sensor principles, uncertainty analysis, interpretation and analysis of experimental data, and documentation."
"AE 2611","Technical Communications for Aerospace Engineers","Aerospace Engineering (AE)","1 Credit Hour.","Development of technical communication skills required by aerospace engineers. Includes written, oral and visual communication methods."
"AE 2698","Undergraduate Research Assistantship","Aerospace Engineering (AE)","1-12 Credit Hours.","Independent research conducted under the guidance of a faculty member."
"AE 2699","Undergraduate Research","Aerospace Engineering (AE)","1-12 Credit Hours.","Independent research conducted under the guidance of a faculty member."
"AE 2801","Special Topics","Aerospace Engineering (AE)","1 Credit Hour.","Normally taken by sophomores. Course material devoted to special topics in aerospace engineering."
"AE 2802","Special Topics","Aerospace Engineering (AE)","2 Credit Hours.","Normally taken by sophomores. Course material is devoted to special topics in aerospace engineering."
"AE 2803","Special Topics","Aerospace Engineering (AE)","3 Credit Hours.","Normally taken by sophomores. Course material devoted to special topics in aerospace engineering."
"AE 2901","Special Problems","Aerospace Engineering (AE)","1-21 Credit Hours.","Research topic selected in consultation with advisor. A brief description, endorsed by the faculty advisor, must be approved by the School."
"AE 2902","Special Problems","Aerospace Engineering (AE)","1-21 Credit Hours.","Research topic selected in consultation with advisor. A brief description, endorsed by the faculty advisor, must be approved by the School."
"AE 2903","Special Problems","Aerospace Engineering (AE)","1-21 Credit Hours.","Research topic selected in consultation with advisor. A brief description, endorsed by the faculty advisor, must be approved by the School."
"AE 2XXX","Aeorspace Engineering Elective","Aerospace Engineering (AE)","1-21 Credit Hours.",""
"AE 3030","Aerodynamics","Aerospace Engineering (AE)","4 Credit Hours.","Aerodynamics of airfoils and wings in subsonic, transonic and supersonic flight. Laminar and turbulent boundary layers and effects of viscosity on aerodynamic performance."
"AE 3030R","Aerodynamics Recitation","Aerospace Engineering (AE)","0 Credit Hours.","Recitation course forAE 3030."
"AE 3090","Numerical Methods for Aerospace Engineering","Aerospace Engineering (AE)","3 Credit Hours.","Basic numerical methods in Aerospace Engineering taught in Fortran or C, language instruction included.  Numerical integration, interpolation, FFT, linear algebra, initial and boundary value problems."
"AE 3140","Structural  Analysis","Aerospace Engineering (AE)","3 Credit Hours.","Application to structural analysis. Basic equations of elasticity. Bending, shearing and torsion of thin walled structures. Energy methods for structural analysis and application to finite element theory for trusses and beam structures. Students cannot receive credit for bothAE 3140and AE 3125."
"AE 3330","Introduction to Aerospace Vehicle Performance","Aerospace Engineering (AE)","3 Credit Hours.","Orbital mechanics, orbit determination, and spacecraft maneuvers. Basics of airplane flight including climb, cruise, takeoff, and landing. Actuator disk theory and elements of rotorcraft performance."
"AE 3340","Design and Systems Engineering Methods","Aerospace Engineering (AE)","2 Credit Hours.","Overview of aerospace design and systems engineering. Tools to organize the design process and to support design decisions. Introduction to numerical optimization and trade studies."
"AE 3355","Aerospace Systems Design Competition III","Aerospace Engineering (AE)","3 Credit Hours.","Team-oriented aerospace systems design project directed by a faculty advisor. Typically a national student competition in aircraft, rotorcraft, or spacecraft design.  Technical or leadership role commensurate with junior standing."
"AE 3450","Thermodynamics and Compressible Flow","Aerospace Engineering (AE)","3 Credit Hours.","First and second laws of thermodynamics. Thermodynamic properties and state equations. Isentropic flow. Flows with shocks and expansions.  Flows with friction and heat transfer. Students cannot receive credit for bothAE 3450andAE 2010."
"AE 3530","System Dynamics and Vibration","Aerospace Engineering (AE)","3 Credit Hours.","Modeling and analysis of lumped- and distributed-parameter systems, free and forced vibration in mechanical systems, free vibration in structural systems. Students cannot receive credit for bothAE 3530andME 3017orAE 3530and AE 3515."
"AE 3531","Control System Analysis and Design","Aerospace Engineering (AE)","3 Credit Hours.","Control system performance analysis and specifications, classical methods of control system analysis and design, introduction to modern control methods. Students cannot receive credit forAE 3531and AE 3515 orAE 3531andME 4452."
"AE 3610","Experiments in Fluid and Solid Mechanics","Aerospace Engineering (AE)","2 Credit Hours.","Experimental laboratory in solid and fluid mechanics, aerodynamics, propulsion. Emphasis on measurement techniques, analysis and interpretation of data, comparison to analytical predictions, and reporting."
"AE 3801","Special Topics","Aerospace Engineering (AE)","1 Credit Hour.","Normally taken by juniors. Course material devoted to special topics in aerospace engineering."
"AE 3802","Special Topics","Aerospace Engineering (AE)","2 Credit Hours.","Normally taken by juniors. Course material devoted to special topics in aerospace engineering."
"AE 3803","Special Topics","Aerospace Engineering (AE)","3 Credit Hours.","Normally taken by juniors. Course material devoted to special topics in aerospace engineering."
"AE 3901","Special Problems","Aerospace Engineering (AE)","1-21 Credit Hours.","Research topic selected in consultation with advisor. A brief description, endorsed by the faculty advisor, must be approved by the School."
"AE 3902","Special Problems","Aerospace Engineering (AE)","1-21 Credit Hours.","Research topic selected in consultation with advisor. A brief description, endorsed by the faculty advisor, must be approved by the School."
"AE 3903","Special Problems","Aerospace Engineering (AE)","1-21 Credit Hours.","Research topic selected in consultation with advisor. A brief description, endorsed by the faculty advisor, must be approved by the School."
"AE 3XXX","Aerospace Engineering Elective","Aerospace Engineering (AE)","1-21 Credit Hours.",""
"AE 4040","Computational Fluid Dynamics","Aerospace Engineering (AE)","3 Credit Hours.","Discretization of PDEs, stability and accuracy considerations, iterative and time/space marching schemes, aerospace applications."
"AE 4060","Aeroacoustics","Aerospace Engineering (AE)","3 Credit Hours.","Concepts and techniques, noise sources, data acquisition and reduction, aeroacoustic resonances, commonalities in the music of wind instruments and sources of aircraft noise, community impact."
"AE 4070","Introduction to Propeller and Rotor Theory","Aerospace Engineering (AE)","3 Credit Hours.","A study of the theory and equations used in the design of propellers and helicopter rotors."
"AE 4071","Rotorcraft Aeromechanics","Aerospace Engineering (AE)","3 Credit Hours.","Basic rotor aerodynamics and dynamics, helicopter performance and trim, introduction to helicopter stability, control and vibration."
"AE 4080","Aerothermodynamics","Aerospace Engineering (AE)","3 Credit Hours.","Convective heat transfer and viscous drag in high- temperature and high-speed flowfields. Inviscid hypersonic theory, real gas effects, and wall thermal protection strategies."
"AE 4132","Finite Element Analysis","Aerospace Engineering (AE)","3 Credit Hours.","An introduction to classical approximation techniques and the fundamentals of the finite element-method applied to structures and structural dynamics with aerospace applications."
"AE 4170","Structural Integrity and Durability","Aerospace Engineering (AE)","3 Credit Hours.","Multiaxial stress states, inelasticity in metals and polymers, yield criteria, metal fatigue, fracture, stress intensity factors, fracture toughness, fatigue crack growth, metal creep, and polymer viscoelasticity."
"AE 4220","Structural Dynamics and Aeroelasticity","Aerospace Engineering (AE)","3 Credit Hours.","Structural dynamics of one-dimensional systems. Analysis of static aeroelastic phenomena, unsteady aerodynamics, and flutter.  Equations of motion for complete aeroelastic systems; solution techniques."
"AE 4311","Aircraft Design I: Conceptual Design","Aerospace Engineering (AE)","3 Credit Hours.","Conceptual design and synthesis of fixed wing aircraft."
"AE 4312","Aircraft Design II: Preliminary Design","Aerospace Engineering (AE)","3 Credit Hours.","Preliminary design and synthesis of fixed wing aircraft."
"AE 4321","Space System Design I: Conceptual Design","Aerospace Engineering (AE)","3 Credit Hours.","Conceptual design and synthesis of space systems. Students apply mission and spacecraft design principles."
"AE 4322","Space System Design II: Mission Design","Aerospace Engineering (AE)","3 Credit Hours.","Advanced design applications of space systems. Students apply mission and spacecraft design principles."
"AE 4331","Rotorcraft Design I: Conceptual Design","Aerospace Engineering (AE)","3 Credit Hours.","Conceptual design of traditional, urban air mobility, unmanned rotorcraft vehicles."
"AE 4332","Rotorcraft Design II: Preliminary Design","Aerospace Engineering (AE)","3 Credit Hours.","Preliminary design of traditional, urban air mobility, unmanned rotorcraft vehicles."
"AE 4341","Aircraft Design","Aerospace Engineering (AE)","3 Credit Hours.","Aircraft Vehicle Design. Preliminary design or case study of a complete flight vehicle, including a propulsion system, a structural system, and a control system. Students cannot receive credit for bothAE 4341and AE 4350."
"AE 4342","Space System Design","Aerospace Engineering (AE)","3 Credit Hours.","Spacecraft subsystems and synthesis. Students apply mission and spacecraft design principles in developing a space flight mission concept. Topics may vary. Students cannot receive credit forAE 4342and AE 4356."
"AE 4343","Rotorcraft Design","Aerospace Engineering (AE)","3 Credit Hours.","Rotorcraft Vehicle Design. Preliminary design or case study of a complete rotorcraft flight vehicle, including a propulsion system, a structural system, and a control system. Students cannot receive credit for bothAE 4343and AE 4358 orAE 4343andAE 6333."
"AE 4355","Aerospace Systems Design Competition IV","Aerospace Engineering (AE)","3 Credit Hours.","Team-oriented aerospace systems design project directed by a faculty advisor.  Typically a national student competition in aircraft, rotorcraft, or spacecraft design. Technical or leadership role commensurate with senior standing."
"AE 4361","Space Flight Operations","Aerospace Engineering (AE)","3 Credit Hours.","This course introduces the foundations and analysis of space flight operations for human and robotic space missions."
"AE 4370","Life Cycle Cost Analysis","Aerospace Engineering (AE)","3 Credit Hours.","Modeling of total cost of complex systems over their entire life cycle.  Modeling risk uncertainty for complex energy, environmental, and military systems."
"AE 4376","Accident Causation and System Safety","Aerospace Engineering (AE)","2 Credit Hours.","This course provides an in-depth examination of the multi-disciplinary issues in accident causation and system safety (prevention) across different industries."
"AE 4451","Jet and Rocket Propulsion","Aerospace Engineering (AE)","3 Credit Hours.","Principles of aerospace propulsion systems. Thermodynamic cycles. Thermodynamics of combustion. Turbine engine and rocket performance characteristics. Cycle/component analysis of engines and turbomachinery."
"AE 4453","Advanced Aircraft Propulsion","Aerospace Engineering (AE)","3 Credit Hours.","Analysis, preliminary design of turbomachinery and combustors for aircraft; engine design, off-design performance. Introduction to advanced architectures: including scramjets, pressure gain combustion, electric propulsion."
"AE 4461","Introduction to Combustion","Aerospace Engineering (AE)","3 Credit Hours.","Basics of combustion and combustion devices. Chemical thermodynamics, reaction rates, premixed/nonpremixed flames, ignition, stabilization, and pollutants.  Applications in turbine, rocket, and internal combustion engines."
"AE 4531","Aircraft Flight Dynamics","Aerospace Engineering (AE)","3 Credit Hours.","Three-dimensional rigid body dynamics, aircraft equations of motion, static and dynamic stability, flight control design, introduction to aeroelastic phenomena. Students cannot receive credit for bothAE 4531and AE 3521."
"AE 4532","Spacecraft Flight Dynamics","Aerospace Engineering (AE)","3 Credit Hours.","Cover fundamental material in orbit and attitude dynamics. Investigate orbits, rendezvous/intercept maneuvers, interplanetary transfers, attitude coordinates, attitude stability, attitude control, and attitude estimation. Students cannot receive credit for bothAE 4532and AE 4310."
"AE 4552","Introduction to Humans & Autonomy","Aerospace Engineering (AE)","3 Credit Hours.","Learn the fundamental principles underlying the functions performed by humans and by autonomous systems in dynamic, complex domains. Credit will not be awarded for bothAE 4552and AE 6552."
"AE 4580","Introduction to Avionics Integration","Aerospace Engineering (AE)","3 Credit Hours.","Avionics in modern aerospace vehicle systems, including impact on design and performance. Specific case-studies; covers: navigation, GPS, stability augmentation, radar, health monitoring, databases, human factors, and software."
"AE 4610","Dynamics and Control Laboratory","Aerospace Engineering (AE)","2 Credit Hours.","Experiments in dynamics and control related to aerospace engineering topics."
"AE 4698","Undergraduate Research Assistantship","Aerospace Engineering (AE)","1-12 Credit Hours.","Independent research conducted under the guidance of a faculty member."
"AE 4699","Undergraduate Research","Aerospace Engineering (AE)","1-12 Credit Hours.","Independent research conducted under the guidance of a faculty member."
"AE 4701","Wind Engineering","Aerospace Engineering (AE)","3 Credit Hours.","An introductory course on wind energy and its potential; modeling and design of wind turbines; analysis of the economic benefits of wind turbine systems.  Credit not allowed for bothAE 4701andME 4701."
"AE 4757","Biofluid Mechanics","Aerospace Engineering (AE)","3 Credit Hours.","Introduction to the study of blood flow in the cardiovascular system.  Emphasis on modeling and the potential of flow studies for clinical research application. Crosslisted with CHE andME 4757."
"AE 4758","Biosolid Mechanics","Aerospace Engineering (AE)","3 Credit Hours.","The mechanics of living tissue, e.g., arteries, skin, heart muscle, ligament, tendon, cartilage, and bone.  Constitutive equations and some simple mechanical models. Mechanics of cells. Applications. Crosslisted with CHE andME 4758."
"AE 4760","Engineering Acoustics and Noise Control","Aerospace Engineering (AE)","3 Credit Hours.","Study of acoustics related to noise and its control; acoustics terminology wave propagation, wave equation solutions, instrumentation, data processing, room acoustics, noise control, noise legislation. Crosslisted withME 4760."
"AE 4791","Mechanical Behavior of Composites","Aerospace Engineering (AE)","3 Credit Hours.","Stress-strain behavior of composites, property of matrix and reinforcing materials, mechanics of fiber-reinforced composites, lamina and laminate analysis, and mechanical performance.  Crosslisted with CEE, CHE, ME, MSE, and PTFE 4791."
"AE 4793","Composite Materials and Processes","Aerospace Engineering (AE)","3 Credit Hours.","Basic principles of selection and design of composite materials and their manufacturing and testing. Cost factors. Laboratory exercises on manufacturing and tests. Crosslisted with CEE, CHE, ME, MSE, and PTFE 4793."
"AE 4794","Composite Materials and Manufacturing Testing","Aerospace Engineering (AE)","4 Credit Hours.","Basic principles of selection and sign of composite materials and their manufacturing and testing. Cost factors. Laboratory exercises on manufacturing and tests. Crosslisted with CEE, CHE, ME, MSE, and PTFE 4794."
"AE 4801","Special Topics","Aerospace Engineering (AE)","1 Credit Hour.","Normally taken by seniors.  Course material devoted to special topics in aerospace engineering."
"AE 4802","Special Topics","Aerospace Engineering (AE)","2 Credit Hours.","Normally taken by seniors. Course material devoted to special topics in aerospace engineering."
"AE 4803","Special Topics","Aerospace Engineering (AE)","3 Credit Hours.","Normally taken by seniors.  Course material devoted to special topics in aerospace engineering."
"AE 4804","Special Topics","Aerospace Engineering (AE)","4 Credit Hours.","Normally taken by seniors.  Course material devoted to special topics in aerospace engineering."
"AE 4806","Special Topics","Aerospace Engineering (AE)","3 Credit Hours.","Special Topics."
"AE 4863","Special Topics","Aerospace Engineering (AE)","3 Credit Hours.","Special Topics in Aerospace Engineering."
"AE 4864","Special Topics","Aerospace Engineering (AE)","4 Credit Hours.","Special Topics in Aerospace Engineering."
"AE 4883","Special Topics","Aerospace Engineering (AE)","3 Credit Hours.",""
"AE 4901","Special Problems in Aerospace Engineering","Aerospace Engineering (AE)","1-21 Credit Hours.","Research topic selected in consultation with advisor. A brief description, endorsed by the faculty advisor, must be approved by the School."
"AE 4902","Special Problems in Aerospace Engineering","Aerospace Engineering (AE)","1-21 Credit Hours.","Research topic selected in consultation with advisor. A brief description, endorsed by the faculty advisor, must be approved by the School."
"AE 4903","Special Problems","Aerospace Engineering (AE)","1-21 Credit Hours.","Research topic selected in consultation with advisor. A brief description, endorsed by the faculty advisor, must be approved by the School."
"AE 4XXX","Aerospace Engineering Elective","Aerospace Engineering (AE)","1-21 Credit Hours.",""
"AE 6009","Viscous Fluid Flow","Aerospace Engineering (AE)","3 Credit Hours.","Fundamental conservation laws.  Laminar flows, wall-bound and free shear flows. Separation, heat transfer, and compressibility effects. Introduction to flow instability and transition to turbulence."
"AE 6012","Turbulent Flows","Aerospace Engineering (AE)","3 Credit Hours.","Basic characteristics of turbulence.  Statistical methods. Reynolds averaging, kinetic energy budget, and scaling issues.  Homogeneity and isotrophy.  Free and wall bounded shear flows. Simulation and modeling."
"AE 6015","Advanced Aerodynamics","Aerospace Engineering (AE)","3 Credit Hours.","Introduce concepts, derivation and application of aerodynamic fundamentals. Emphasis on advanced knowledge in analysis and design of fixed-wing, launch/atmospheric return vehicles, and rotating systems."
"AE 6020","High-Speed Flow","Aerospace Engineering (AE)","3 Credit Hours.","Transonic small disturbance theory. Transonic potential flow modeling. Supercritical airfoil design. Physics of hypersonic flow.  Newtonian flow. Modeling of hypersonic viscous and inviscid flow."
"AE 6030","Unsteady Aerodynamics","Aerospace Engineering (AE)","3 Credit Hours.","Unsteady potential theory for various speed ranges. Calculation of steady and unsteady aerodynamic loads on airfoils and wings.  Vortex flows. Topics of current research interest."
"AE 6042","Computational Fluid Dynamics","Aerospace Engineering (AE)","4 Credit Hours.","Finite-difference, finite volume methods for solution of Navier-Stokes and Euler equations. Classification of equations, stability, grids, boundary conditions, implicit and explicit methods, turbulence modeling."
"AE 6050","High-temperature Gas Dynamics I","Aerospace Engineering (AE)","3 Credit Hours.","Defining equations for compressible flows, real gas properties and their effect on the behavior of equilibrium and non-equilibrium flows."
"AE 6060","Aeroacoustics","Aerospace Engineering (AE)","3 Credit Hours.","Lighthill's theory of aerodynamic noise and extensions, flow/acoustic interactions, feedback phenomenon, supersonic jet noise, aeroacoustics of ducts, propeller noise, helicopter noise, sonic boom."
"AE 6070","Rotary Wing Aerodynamics","Aerospace Engineering (AE)","3 Credit Hours.","Vortex wake modeling; analytical inflow theories; modern computational methods for rotary wing aerodynamic analysis; aerodynamic noise."
"AE 6080","Dynamics of Turbulence","Aerospace Engineering (AE)","3 Credit Hours.","Fundamental physics of turbulent flows.  Vorticity dynamics, Kolmogorov similarity hypotheses and nonlinear interactions. Mixing and dispersion. Direct and large-eddy simulations, Reynolds stress modeling.  Advanced topics."
"AE 6100","Advanced Structural Analysis I","Aerospace Engineering (AE)","3 Credit Hours.","Stability of elastic systems under quasi-static loads. Classical, kinetic, and potential energy approaches through rigid member models.  Buckling of elastic bars and frames. Energy methods."
"AE 6106","Analysis of Aerospace Structural Elements","Aerospace Engineering (AE)","3 Credit Hours.","This course focuses on the analysis of advanced aerospace structures. Beam theory is reviewed, plate theory is introduced.  Classical and energy solutions are presented."
"AE 6114","Fundamentals of Solid Mechanics","Aerospace Engineering (AE)","3 Credit Hours.","Unified overview of fundamental aspects of solid mechanics, from nonlinear continuum mechanics to linear elasticity, including an introduction to energy methods and other special topics."
"AE 6115","Fundamentals of Aerospace Structural Analysis","Aerospace Engineering (AE)","3 Credit Hours.","Overview and fundamentals of aerospace structural analysis, including virtual work and energy methods, buckling and advanced structural theories."
"AE 6170","Structural Optimization","Aerospace Engineering (AE)","3 Credit Hours.","Mathematical methods of constrained optimization, sensitivity analysis, approximation concepts, decomposition techniques, shape optimization in the context of structural design."
"AE 6200","Advanced Aeroelasticity I","Aerospace Engineering (AE)","3 Credit Hours.","Understanding and analysis of aeroelastic phenomena in fixed-wing aircraft, static aeroelasticity, dynamic aeroelasticity, and dynamic response and transient stresses in aircraft structures."
"AE 6210","Advanced Dynamics I","Aerospace Engineering (AE)","3 Credit Hours.","Kinematics of particles and rigid bodies, angular velocity, inertia properties, holonomic and nonholonomic constraints, generalized forces."
"AE 6211","Advanced Dynamics II","Aerospace Engineering (AE)","3 Credit Hours.","A continuation ofAE 6210.  Equations of motion, Newtonian frames, consistent linearization, energy and momentum integrals, collisions, mathematical representation of finite rotation."
"AE 6220","Rotorcraft Structural Dynamics and Aeroelasticity","Aerospace Engineering (AE)","3 Credit Hours.","Elementary blade dynamics, flap-lag dynamics, ground resonance, structural dynamics of rotating beams, nonlinear elastic blade analysis, harmonic balance and trim, Floquet theory."
"AE 6230","Structural Dynamics","Aerospace Engineering (AE)","3 Credit Hours.","Dynamic response of single-degree-of-freedom systems, Lagrange's equations; modal decoupling; vibration of Euler-Bernoulli and Timoshenko beams, membranes and plates."
"AE 6270","Applied Nonlinear Dynamics","Aerospace Engineering (AE)","3 Credit Hours.","Nonlinear vibration methods through averaging and multiple scales, bifurcation, periodic and quasi-periodic systems, transition to chaos, characterization of chaotic vibrations, thermodynamics of chaos, chaos control."
"AE 6310","Optimization for the Design of Engineered Systems","Aerospace Engineering (AE)","3 Credit Hours.","Introduction to optimization problem formulations for engineering design, algorithms for constrained nonlinear programming, multiobjective and multidisciplinary optimization, and robust design optimization."
"AE 6333","Rotorcraft Design I","Aerospace Engineering (AE)","3 Credit Hours.","System approach to conceptual design of aerospace systems with emphasis on rotorcraft. Comprehensive methodologies for aerospace vehicle synthesis and sizing. Integration of technologies. Students cannot receive credit for bothAE 6333andAE 4343."
"AE 6334","Rotorcraft Design II","Aerospace Engineering (AE)","4 Credit Hours.","Students work together on this application to complete the preliminary design stage of a specific rotorcraft. Participants are exposed to disciplinary and interdisciplinary issues."
"AE 6343","Aircraft Design I","Aerospace Engineering (AE)","3 Credit Hours.","Stochastic approach to conceptual design of aerospace systems with emphasis on aircraft and missiles. Comprehensive methodologies for aerospace vehicle synthesis and sizing. Integration of technologies."
"AE 6344","Aircraft Design II","Aerospace Engineering (AE)","4 Credit Hours.","Students work together on this application to complete the preliminary design stage of a specific aircraft or missile. Participants are exposed to disciplinary and interdisciplinary issues."
"AE 6353","Orbital Mechanics","Aerospace Engineering (AE)","3 Credit Hours.","First graduate-level astrodynamics class that includes two-body orbital mechanics, orbit determination, orbit prediction, orbital maneuvers, lunar and interplanetary trajectories, orbital rendzvous and space navigation."
"AE 6355","Planetary Entry, Descent and Landing","Aerospace Engineering (AE)","3 Credit Hours.","Entry flight mechanics and dynamics, aerothermodynamics, thermal protection systems, aerodynamic decelerators, descent and landing.  Robotic and human exploration mission studies for aerobraking, planetary entry, aerocapture."
"AE 6356","Spacecraft Attitude Estimation and Control","Aerospace Engineering (AE)","3 Credit Hours.","Attitude representations, dynamics, estimation, and control. Spacecraft attitude sensors and actuators. Attitude determination and control topics applied to spacecraft and space missions."
"AE 6357","Satellite Orbit Determination","Aerospace Engineering (AE)","3 Credit Hours.","Satellite Orbit Determination is a graduate-level course designed to provide the theoretical and practical knowledge to estimate the position of a satellite from tracking measurements."
"AE 6361","Air Breathing Propulsion System Design I","Aerospace Engineering (AE)","3 Credit Hours.","Air breathing propulsion design with emphasis on multidisciplinary design issues related to system integration, cycle selection, performance, cost, reliability, maintainability, etc."
"AE 6362","Safety by Design","Aerospace Engineering (AE)","4 Credit Hours.","Autonomous situational flight model allows students to examine complex behaviors in the ""pilot-vehicle-operational conditions"" system.  Flight certification and airworthiness requirements are mapped into formal scenarios."
"AE 6372","Aerospace Systems Engineering","Aerospace Engineering (AE)","3 Credit Hours.","Introduction to aerospace systems engineering. Systems engineering and quality engineering methods and tools. Top-down design decision support processes, computer integrated environments, Integrated Product/Process Development (IPPD)."
"AE 6373","Advanced Design Methods I","Aerospace Engineering (AE)","4 Credit Hours.","Introduction to modern probabilistic design methods and techniques. Design of experiments, Taguchi methods, response surface equations, robust design, risk and uncertainty, technology assessment and selection."
"AE 6383","Applied Design Laboratory","Aerospace Engineering (AE)","1 Credit Hour.","Introduction to computing tools and processes used in subsequent applied design courses in graduate fixed wing, rotary wing, and space systems design tracks."
"AE 6393","Introduction to System of Systems Engineering Principles","Aerospace Engineering (AE)","3 Credit Hours.","Introduce students to the development and analysis of complex System of Systems, and their practical application to formulate Grand Challenge projects."
"AE 6394","System of Systems Engineering Applications","Aerospace Engineering (AE)","4 Credit Hours.","Application of developed System of Systems analysis frameworks for the performance of Grand Challenge projects."
"AE 6410","Combustion Dynamics","Aerospace Engineering (AE)","3 Credit Hours.","Acoustic wave propagation in inhomogeneous flows, flame-acoustic wave interactions, and control of combustion-driven oscillations."
"AE 6412","Turbulent Combustion","Aerospace Engineering (AE)","3 Credit Hours.","Fundamentals of interaction between flow turbulence and reactive scalars.  Theoretical, numerical, and experimental methods. Physics of premixed, non-premixed, and partially premixed turbulent combustion."
"AE 6440","Turbine Engine Aerothermodynamics","Aerospace Engineering (AE)","3 Credit Hours.","Analysis and design of gas turbine engine components including axial flow compressors, turbines, inlets, and nozzles.  Heat transfer and turbine blade cooling."
"AE 6450","Rocket Propulsion","Aerospace Engineering (AE)","3 Credit Hours.","Analysis and design of rocket engines including liquid, solid, hybrid, and advanced propulsion systems."
"AE 6451","Electric Propulsion","Aerospace Engineering (AE)","3 Credit Hours.","The course provides a solid background of the operating principles, performance characteristics, and design features of the state-of-the-art electric propulsion systems."
"AE 6503","Helicopter Stability and Control","Aerospace Engineering (AE)","3 Credit Hours.","Helicopter general equations of motion, rotor forces and moments, helicopter stability and control characteristics, handling qualities, flight control system design."
"AE 6505","Random Processes and Kalman Filtering","Aerospace Engineering (AE)","3 Credit Hours.","Probability and random variables and processes; correlation; shaping filters; simulation of sensor errors; Wiener filter; random vectors; covariance propagation; recursive least-squares; Kalman filter; extensions."
"AE 6506","Aerospace Guidance and Navigation","Aerospace Engineering (AE)","3 Credit Hours.","Earth's shape and gravity. Introduction to inertial navigation. GPS aiding. Error analysis. Guidance systems. Analysis of the guidance loop. Estimation of guidance variables. Adjoint analysis."
"AE 6511","Optimal Guidance and Control","Aerospace Engineering (AE)","3 Credit Hours.","Euler-Lagrange formulation; Hamilton-Jacobi approach; Pontryagin's minimum principle; Systems with quadratic performance index; Second variation and neighboring extremals; Singular solutions; numerical solution techniques."
"AE 6513","Mathematical Principles of Planning and Decision-Making for Autonomy","Aerospace Engineering (AE)","3 Credit Hours.","The course will introduce the students to the mathematical tools and the theory 
for formulating and solving problems that involve high-level decision-making for controlling and planning of autonomous systems with an emphasis on aerospace applications."
