"department","course_code","course_name","course_hours","course_description"
"Africana Studies (AFRA)","AFRA 3564","African American History Since 1865.","(3 Credits)","(Also offered as HIST 3564.) History of African American people since the Civil war. Contributions by black people to American development. African American activity in international arenas."
"Africana Studies (AFRA)","AFRA 3565","African American Women's History.","(3 Credits)","(Also offered as HIST 3565.) African American women's history in the United States, including black women's activism and leadership; roles within the larger African Diaspora; engagement in local, national, and international freedom struggles; and redefinitions of identities as wives, mothers, leaders, citizens, and workers. Special attention given to the diversity of black women’s experiences, and to the dominant images of black women in America from Mumbet (the first enslaved woman to sue for her freedom and win) to contemporary issues of race, sex, and class."
"Africana Studies (AFRA)","AFRA 3568","Hip Hop, Politics and Youth Culture in America.","(3 Credits)","(Also offered as HIST 3568.) History of hip-hop, its musical antecedents and its role in popular culture. Race, class, and gender are examined as well as hip-hop's role in popular political discourse."
"Africana Studies (AFRA)","AFRA 3569","Slavery in Film.","(3 Credits)","(Also offered as HIST 3569.) Depictions of chattel slavery in cinema and popular media over time. Topics include histories of slavery, race and identity, media studies, and cultural studies."
"Africana Studies (AFRA)","AFRA 3575","Black Documentary Film Archival Practices.","(3 Credits)","(Also offered as JOUR 3575.) Critical and historical examination of Black American archival usage through documentary films and media."
"Africana Studies (AFRA)","AFRA 3618","Comparative Slavery in the Americas.","(3 Credits)","(Also offered as HIST 3618.) The rise and fall of trans-Atlantic slavery. Topics include resistance, migration, antislavery mobilization, abolitionism, empire, revolution, cultural production, political economy, labor, gender, race and identity formation."
"Africana Studies (AFRA)","AFRA 3619","History of the Caribbean.","(3 Credits)","(Also offered as HIST 3619.) Encounter experience; slavery, antislavery mobilization, and abolitionism; colonialism; citizenship and nation building; race and gender; political cultures and movements; migration/immigration; cultural production; and political economy; topics will be examined from a historical perspective. CA 1. CA 4-INT."
"Africana Studies (AFRA)","AFRA 3619W","History of the Caribbean.","(3 Credits)","(Also offered as HIST 3619W.) Encounter experience; slavery, antislavery mobilization, and abolitionism; colonialism; citizenship and nation building; race and gender; political cultures and movements; migration/immigration; cultural production; and political economy; topics will be examined from a historical perspective. CA 1. CA 4-INT."
"Africana Studies (AFRA)","AFRA 3620","Cuba, Puerto Rico, and the Spanish Caribbean.","(3 Credits)","(Also offered as HIST 3620.) Discovery and settlement, slavery and plantation economy, recent political and economic developments, and United States relations with the Spanish Caribbean."
"Africana Studies (AFRA)","AFRA 3642","African-American Politics.","(3 Credits)","(Also offered as POLS 3642.) Political behavior, theory, and ideology of African-Americans, with emphasis on contemporary U.S. politics. CA 4."
"Africana Studies (AFRA)","AFRA 3647","Black Leadership and Civil Rights.","(3 Credits)","(Also offered as POLS 3647.) Black leadership, emphasizing the principles, goals, and strategies used by African-American men and women to secure basic citizenship rights during the civil rights era."
"Africana Studies (AFRA)","AFRA 3652","Black Feminist Politics.","(3 Credits)","(Also offered as POLS 3652.) An introduction to major philosophical and theoretical debates at the core of black feminist thought, emphasizing the ways in which interlocking systems of oppression uphold and sustain each other."
"Africana Studies (AFRA)","AFRA 3898","Variable Topics.","(3 Credits)",""
"Africana Studies (AFRA)","AFRA 4100","Experiential/Service Learning Seminar.","(4 Credits)","(Also offered as AAAS 4100.) Interdisciplinary examination of the history of social justice organizing in the U.S.; theories, strategies, and practice of community organizing movements such as those for immigration, environmental, reproductive, and racial justice. Includes practice in community organizing and political advocacy."
"Africana Studies (AFRA)","AFRA 4994W","Senior Seminar.","(3 Credits)","Critical training and comprehensive examination of African American studies, using primary and secondary sources."
"Africana Studies (AFRA)","AFRA 4996","Honors Thesis Preparation.","(3 Credits)","Preliminary reading in primary and secondary sources or key texts in research field in consultation with thesis advisor."
"Africana Studies (AFRA)","AFRA 4997W","Senior Thesis in Africana Studies.","(3 Credits)","Honors Research and writing in the major with close supervision of multiple drafts."
"Agricultural and Resource Economics (ARE)","ARE 1110E","Population, Food, and the Environment.","(3 Credits)","The role of agriculture in the growth and development of societies throughout the world. Economic, social, and environmental problems of food production and resource needs in developing and advanced societies. CA 2."
"Agricultural and Resource Economics (ARE)","ARE 1150","Principles of Applied and Resource Economics.","(3 Credits)","An introduction to microeconomic analysis with applications to food, nutrition, health, natural resources, and the environment. Topics include consumer and firm behavior, supply, demand, markets, and economic policy. CA 2."
"Agricultural and Resource Economics (ARE)","ARE 1333Q","Introduction to Data and Visualization.","(3 Credits)","The use of Excel tools and commands to organize, analyze, and interpret data and create reports that can be understood by lay audiences in an increasingly data-driven world."
"Agricultural and Resource Economics (ARE)","ARE 2150","Intermediate Applied and Resource Economics.","(3 Credits)","Applications of intermediate level microeconomic theory to problems and policy issues in agriculture, natural resources, and the environment. Topics include supply, demand, market equilibrium, consumer and producer behavior, perfect competition, and welfare economics. Emphasis will be placed on using the theory in applied and computational exercises."
"Agricultural and Resource Economics (ARE)","ARE 2155","Imperfect Competition and Behavioral Economics.","(3 Credits)","Extension of intermediate microeconomic theory to include noncompetitive markets and psychology to consumer behavior. Topics include monopolies and oligopolies (and their welfare implications); game theory (including adverse selection and moral hazard); and behavioral economics (such as time inconsistency, loss aversion, and pro-social preferences). Emphasis will be placed on real-world applications of theory in agriculture, health, natural resources, and the environment."
"Agricultural and Resource Economics (ARE)","ARE 2210","Essentials of Accounting and Business.","(3 Credits)","An analysis of basic business principles, fundamentals and concepts for agribusiness entrepreneurs. Taught with SARE 460."
"Agricultural and Resource Economics (ARE)","ARE 2215","Business Management.","(3 Credits)","Analysis of marketing, management, and financial decision-making tools in agribusiness."
"Agricultural and Resource Economics (ARE)","ARE 2250E","Energy Economics: Sustainable Transitions.","(3 Credits)","Application of economics theory, methods and concepts to focus on electricity markets, electricity generation, financing of the power transmission grid, regulation, policies and the welfare effects of policies within the current generation and implications for future generations. Topics include energy demand and supply, energy pricing, the environmental consequences of energy consumption and production, the regulation and design of energy systems and markets, and economics of policies designed to facilitate transitions to carbon neutrality, such as carbon credits, offsets, and renewable portfolio standards. Lectures, computer applications with data, analysis of current events, and class discussions. CA 2."
"Agricultural and Resource Economics (ARE)","ARE 2260","Food Policy.","(3 Credits)","Analysis of food and agricultural policies in the United States and abroad. Designed for students with diverse departmental affiliations."
"Agricultural and Resource Economics (ARE)","ARE 2261W","Writing in Food Policy.","(1 Credit)","A writing intensive course on issues related to food policy, integrated with course content in ARE 2260."
"Agricultural and Resource Economics (ARE)","ARE 2434E","Environmental and Resource Policy.","(3 Credits)","Emergence of environmental policies from the local, legal, and regulatory angles. Formalization and structure of environmental policy with a focus on the hurdles, design, and implementation of policy, particularly air and water policy. Suitable for all majors."
"Agricultural and Resource Economics (ARE)","ARE 2435W","Writing in Environmental and Resource Policy.","(1 Credit)","A writing intensive course integrated with course content in ARE 2434E."
"Agricultural and Resource Economics (ARE)","ARE 2464","Measuring Impact of Programs that Raise Human Well-being.","(3 Credits)","The theory and practice behind measuring impacts and costs of programs that raise human welfare through poverty alleviation, economic development, and social and environmental justice. Case studies will show how governments and organizations can best optimize programming. Examples include how to increase incomes and farm productivity, how to decrease disease and child mortality, and how to improve resilience to climate change. Topics include survey design, performance indicators, the logical framework and results matrix, sample design, impact evaluation methodologies and project appraisal."
"Agricultural and Resource Economics (ARE)","ARE 2525","Sustainability Policy and Management.","(3 Credits)","What factors do we need to consider for evaluating sustainability and its implementation? How do those factors depend on the topic at hand? This course is an effort to answer these two questions and to provide perspectives and tools to better evaluate whether we should or should not pursue a particular sustainability option. We will discuss a wide array of topics in sustainability, such as waste, healthcare, energy, food, climate, and the production of animal agriculture. CA 2."
"Agricultural and Resource Economics (ARE)","ARE 3221","Managerial Economics and Business Strategies.","(3 Credits)","The application of microeconomic analysis to decision-making techniques of businesses and management units with a particular focus on the food industry covering topics such as electing or developing products, deciding on product output and pricing, organizational design, promotional strategies, worker hiring and training, and investment and financing."
"Agricultural and Resource Economics (ARE)","ARE 3222","Marketing and Consumer Behavior.","(3 Credits)","This course focuses on principles of contemporary marketing, including consumer behavior, social media, product, promotion, distribution and pricing strategies, with special emphasis on food and health."
"Agricultural and Resource Economics (ARE)","ARE 3223","Business Organization and Labor Markets.","(3 Credits)","Analytical tools that economists use to evaluate the organizational and hiring decisions of firms. Emphasis on the effect of government policies and programs on how many workers are hired, how much they are paid, and how other forms of compensation are structured. Specific areas of consideration may include: minimum wages, federal income tax, payroll and self-employment taxes, unemployment insurance, immigration, health insurance, retirement account contributions, the use of contractors in place of employees (the so-called ""gig economy""), legal form of organization, and business liability. Special emphasis on using original sources, including federal statistical agency data products, reports from federal oversight bodies, US Code, and IRS publications."
"Agricultural and Resource Economics (ARE)","ARE 3225","Price Analysis and Futures Trading.","(3 Credits)","Principles and applications of market price determination, with special emphasis on the use of futures markets for profit and price risk management. Includes food and energy case studies, internet applications, and a futures simulation exercise."
"Agricultural and Resource Economics (ARE)","ARE 3305E","Economic Development, Environment, and Policy.","(3 Credits)","Integrating the topics of economic development and the environment. Overview of economic development and growth in developed and developing nations. Classical and modern theories of economic growth and measures of economic inequality. Population growth, sustainable economic development, rural-urban interactions, agricultural transformation, and impacts on the environment. The role of education and health, policies for economic development, and climate adaptation."
"Agricultural and Resource Economics (ARE)","ARE 3333","Computational Analysis in Applied Economics.","(3 Credits)","Learn fundamental concepts of statistics and economics through analysis of economic data using computer spreadsheets. Students should have a laptop computer in class."
"Agricultural and Resource Economics (ARE)","ARE 3437E","Marine Fisheries Economics and Policy.","(3 Credits)","Explores the various natural, human and management components of the fishery system and presents the application of economic and policy analysis for the optimal allocation of resources to a fishery."
"Agricultural and Resource Economics (ARE)","ARE 3438E","Climate Economics.","(3 Credits)","Analysis of the interactive relationship between the economy and climate change. Use of principles and tools of economics to focus on the costs of changes in the severity and frequency of weather events, how these costs are influenced by markets and policies, and how costs and benefits are distributed across populations within the U.S and across the globe in the short and long terms. Examination of household, firm-level, national and international decision-making as influenced by climate change, taking into account uncertainty, diverging interests, external costs, and evaluation of models used to alternative scenarios."
"Agricultural and Resource Economics (ARE)","ARE 4205","Market Planning and Survey Research in the Food Industry.","(3 Credits)","Overview of market planning in the food industry, with emphasis on survey design and implementation. Student groups will work with clients to develop tailored market plans."
"Agricultural and Resource Economics (ARE)","ARE 4210","Data Science for Decision Making in Applied and Resource Economics.","(3 Credits)","This course introduces data science and its transformative role in decision-making across business and policy applications in applied and resource economics. Students will learn to analyze and interpret data using R, with hands-on practice in visualization, A/B testing, regression analysis, and machine learning. Designed for beginners, it emphasizes intuitive approaches and practical applications, preparing students to apply data science in real-world contexts."
"Agricultural and Resource Economics (ARE)","ARE 4215","Sustainable Business Planning.","(3 Credits)","The practice of creating a sustainable business plan as a critical step for entrepreneurial success. In this class you will learn principles of marketing, financial and human resource management as well as budgeting techniques and the legal and organizational structure of businesses while creating a sustainable business plan."
"Agricultural and Resource Economics (ARE)","ARE 4217","Business Finance and Investment Management.","(3 Credits)","Theory and practice of business finance and investment management, including sources of funding, the capital structure of corporations, the actions that managers take to increase the value of the firm, and the tools and analysis used to allocate financial resources. Emphasis on investment decision-making, corporate risk management, capital flow management, and mergers and acquisitions. Use of real-world applications to provide students with a solid background in the economic theory of business finance and investment management in food and resource industries."
"Agricultural and Resource Economics (ARE)","ARE 4279","International Commodity Trade.","(3 Credits)","The basic principles of international commodity trade and market institutions. Applications to current problems of international commodity trade and policy."
"Agricultural and Resource Economics (ARE)","ARE 4305","Sustainable Economic Development.","(3 Credits)","The role of sustainable economic development of less developed economies. Microeconomic dimensions of agricultural development, food security, agricultural production and supply, foreign assistance, and government programming."
"Agricultural and Resource Economics (ARE)","ARE 4438E","Valuing the Environment.","(3 Credits)","Conceptual and practical understanding of main methods used to evaluate economic  benefits of environmental protection and damages from degradation. Methods include: change in productivity, hedonic pricing, travel cost method, contingent valuation, defensive expenditures, replacement costs, and cost-of-illness. Topics covered include: recreation, soil-erosion, energy, forestry, hazardous waste, air pollution, deforestation, wetlands, wildlife, biodiversity, noise, visibility, water, and water pollution."
"Agricultural and Resource Economics (ARE)","ARE 4444","Economics of Energy, Climate, and the Environment.","(3 Credits)","Economics of energy issues with special reference to local and regional environmental quality, global climate change, and energy markets. Environmental and economic implications of developing alternative sources of energy. Regulatory policies in relation to transportation, industry, commercial and residential energy use."
"Agricultural and Resource Economics (ARE)","ARE 4462E","Environmental and Resource Economics.","(3 Credits)","Natural resource use and environmental quality analysis using economic theory. Reviews of empirical research and relevant policy issues."
"Agricultural and Resource Economics (ARE)","ARE 4464","Cost-Benefit Analysis and Applications.","(3 Credits)","Foundations and applications of cost-benefit analysis for evaluation of public policies relevant to environment, protection, health, economic development, and other public policies. Applications include data-driven assignments and analysis."
"Agricultural and Resource Economics (ARE)","ARE 4476","International Trade and Policy.","(3 Credits)","Analysis of international trade and trade policy focusing on agricultural and food markets. Covers trade-related issues concerning economic development and growth. Focus on current challenges to the multilateral trading system and the theoretical foundation for understanding the economic importance of firms, international trade, and global capital flows. Introduction of methods and tools for counterfactual evaluation of trade policies. Taught concurrently with ARE 5476."
"Agricultural and Resource Economics (ARE)","ARE 4897","Honors Thesis.","(3 Credits)",""
"Agricultural and Resource Economics (ARE)","ARE 4900","Farm Credit Fellows Seminar.","(1 Credit)","Course offered with Farm Credit East. Students learn agribusiness concepts from the lender's perspective. Students taking this course will be assigned a grade of S (satisfactory) or U (unsatisfactory)."
"Agricultural and Resource Economics (ARE)","ARE 4991","Professional Internship.","(1-6 Credits)","Provides students with a meaningful experience in a formalized applied resource economics program under supervised conditions. Each student taking this course must submit a formal written report for evaluation and meet all other course requirements as specified by the instructor. Requires Independent Study Authorization with consent of department head and advisor."
"Agricultural and Resource Economics (ARE)","ARE 4993","Foreign Study.","(1-15 Credits)","Special topics taken in a foreign study program. Consent of department head required, normally to be granted prior to the student's departure."
"Agricultural and Resource Economics (ARE)","ARE 4995","Special Topics.","(1-6 Credits)","Topics and credits to be published prior to the registration period preceding the semester offerings."
"Agricultural and Resource Economics (ARE)","ARE 4999","Independent Study.","(1-6 Credits)","Designed primarily for Resource Economics majors. Open to students with Independent Study Authorization."
"Agricultural and Resource Economics (RH) (SARE)","SARE 450","Principles of Applied and Resource Economics.","(3 Credits)","An introduction to microeconomic analysis with applications to food, nutrition, health, natural resources, and the environment. Topics include consumer and firm behavior, supply, demand, markets, and economic policy. Taught with ARE 1150."
"Agricultural and Resource Economics (RH) (SARE)","SARE 460","Fundamentals of Accounting and Management for the Agribusiness Firm.","(3 Credits)","An analysis of basic business principles, fundamentals and concepts for business entrepreneurs."
"Agricultural and Resource Economics (RH) (SARE)","SARE 495","Special Topics.","(1-3 Credits)","(Also offered as SANR 495.) Total credits allowed toward graduation requirements are restricted as outlined in Ratcliffe Hicks section."
