"course_code","course_name","description","department","credits"
"ACTG 456","Business Law II: Business Organizations","Business organizaions, including: agency, general partnerships, limited partnerships, corporations, limited liability companies, securities regulations, bankruptcy, suretyship, bailments, real property, wills and trusts, accounting liability. Course Information: 3 undergraduate hours. 4 graduate hours. Prerequisite(s): A passing grade inACTG 355or the equivalent.","Accounting (ACTG)","3 or 4 hours"
"ACTG 465","Governmental and Non-Profit Accounting","Financial transaction analysis and recording system; budget preparation and control; concepts and principles underlying the financial reports of governmental and non-profit organizations. Course Information: 3 undergraduate hours. 4 graduate hours. Prerequisite(s): A passing grade inACTG 316.","Accounting (ACTG)","3 or 4 hours"
"ACTG 470","Ethical Environment of Business","An examination of the decision making process on both the individual and organizational levels. The effect of moral, legal, and economic factors on the decision making process. Course Information: 3 undergraduate hours. 4 graduate hours. Prerequisite(s): A passing grade inACTG 211.","Accounting (ACTG)","3 or 4 hours"
"ACTG 474","Accounting Information Systems","Skills and concepts that enable the documentation, design and use of accounting information systems, understanding transaction cycles, sound internal controls, accounting software and the electronic business environment. Course Information: 3 undergraduate hours. 4 graduate hours. Extensive computer use required. Prerequisite(s):  Grade of C or better inACTG 210and Grade of C or better inACTG 211; andIDS 200.","Accounting (ACTG)","3 or 4 hours"
"ACTG 475","Database Accounting Systems","Concepts and principles of designing database systems to perform accounting functions, applications of microcomputer accounting software packages systems design tools, and computerized transaction cycles. Course Information: Same asIDS 475. 3 undergraduate hours. 4 graduate hours. Extensive computer use required. Prerequisite(s): A passing grade in bothACTG 211andIDS 200.","Accounting (ACTG)","3 or 4 hours"
"ACTG 476","Enterprise Accounting Systems","Uses ERP software and analytics to teach transaction processing, internal controls, dashboard design, analytical tools and visual presentation of accounting data used to manage large organizations. Course Information: 3 undergraduate hours. 4 graduate hours. Extensive computer use required. Prerequisite(s):ACTG 475or equivalent database experience. Recommended Background: Good Excel skills are very helpful;IDS 331would be an excellent background course.","Accounting (ACTG)","3 or 4 hours"
"ACTG 484","International Accounting","Financial accounting for international operations, multinational managerial accounting and control, comparative international accounting, international reporting issues and international taxation. Course Information: 3 undergraduate hours. 4 graduate hours. Prerequisite(s): Grade of D or better inACTG 316.","Accounting (ACTG)","3 or 4 hours"
"ACTG 485","Valuation and Analysis","Financial analysis and valuation of firms. Corporate strategies, financial reporting issues and market perceptions. Course Information: 3 undergraduate hours. 4 graduate hours. Extensive computer use required. Prerequisite(s):ACTG 315andFIN 300for undergraduate students. One accounting and one finance class or consent of the instructor for graduate students.","Accounting (ACTG)","3 or 4 hours"
"ACTG 492","Accounting Data Analytics","Accounting professionals look at huge financial and transactional data available from multitude of corporate and external sources. Businesses can use information and analytics tools to improve their performance metrics and generate valuable insights. Course Information: 3 undergraduate hours. 4 graduate hours. Extensive computer use required. Prerequisite(s):ACTG 315andACTG 326andACTG 474; orACTG 500. Recommended background: Grade of C or better inACTG 435and Grade of C or better inACTG 476.","Accounting (ACTG)","3 or 4 hours"
"ACTG 493","Accounting Cases, Research and Analysis","Examines US GAAP, alternatives, SEC filings and company financial statements, through cases and research projects using various research methodologies. Satisfies research requirements for CPA candidacy. Course Information: 3 undergraduate hours. 4 graduate hours. Prerequisite(s): A passing grade inACTG 316.","Accounting (ACTG)","3 or 4 hours"
"ACTG 494","Special Topics in Accounting","Topics rotate in various areas of accounting, including but not restricted to financial, managerial, governmental and nonprofit accounting, law and business ethics. Explores current issues and proposed alternatives. Course Information: Prerequisite(s): Two courses in accounting or finance beyondACTG 211andFIN 300or the equivalent.","Accounting (ACTG)","1-4 hours"
"ACTG 495","Competitive Strategy","Multidisciplinary analysis of organization strategy and policy, using case method and/or business simulation. Assignments involve extensive library research and oral and written reports. Course Information: Credit is not given forACTG 495if the student has credit inIDS 495orMGMT 495orFIN 495. Prerequisite(s): Senior standing in the College of Business Administration and completion of all other core courses; or consent of the instructor.","Accounting (ACTG)","4 hours"
"ACTG 499","Research Experience","Research experience under the supervision of a faculty member.  The faculty member and student will determine the research project.  Each student must submit a report and each student must participate at a research event on campus. Course Information: May be repeated to a maximum of 12 hours. Students may register in more than one section per term. Prerequisite(s): Approval of the Department.","Accounting (ACTG)","1-3 hours"
"ACTG 500","Introduction to Financial Accounting","Concepts and principles of financial accounting for preparation and evaluation of external reports and financial statements. Course Information: Extensive computer use required. Prerequisite(s): Admission to the MBA, M.S. in Accounting or Marketing or Master of Healthcare Administration program.","Accounting (ACTG)","4 hours"
"ACTG 502","Financial Accounting I","Accounting theory and practice related to asset valuation, revenue recognition, and the determination of short-term liabilities; aspects of financial statement analysis related to these issues. Course Information: Prerequisite(s): ACTG  500.","Accounting (ACTG)","4 hours"
"ACTG 503","Financial Accounting II","Contemporary financial accounting issues, including liabilities, pensions, tax allocation, leases, price level reporting, investments, capital transactions and financial statement analysis. Course Information: Prerequisite(s):ACTG 500andACTG 502or the equivalents.","Accounting (ACTG)","4 hours"
"ACTG 506","Management Accounting","Design of cost accounting systems; alternate costing methods; costing for decision making; budget planning and performance evaluation. Course Information: Prerequisite(s):ACTG 500.","Accounting (ACTG)","4 hours"
"ACTG 508","Federal Income Tax - Graduate","Concepts and provisions of federal income taxation generally applicable to individual taxpayers, corporations and partnerships. Course Information: Credit is not given forACTG 508if the student has credit forACTG 445. Prerequisite(s):ACTG 502.","Accounting (ACTG)","4 hours"
"ACTG 509","Business Law: Commercial Transactions","Commercial transactions including: contracts, sales of goods, negotiable instruments, and secured transactions. Course Information: Prerequisite(s):ACTG 500or the equivalent.","Accounting (ACTG)","4 hours"
"ACTG 510","Financial and Managerial Accounting for Healthcare Management","Provides an introduction to accounting and financial management and serves as a foundation course in financial management for healthcare organizations. Course Information: Prerequisite(s): Approval of the Department. Recommended background: Prior accounting or financial coursework or experience would be helpful but not required.","Accounting (ACTG)","3 hours"
"ACTG 515","Accounting Theory and Paradigms","Theory construction, conceptual framework, and paradigmatic avenues in accounting with relation to applications. Course Information: Prerequisite(s):ACTG 502or the equivalent. Class Schedule Information: Extensive computer use required.","Accounting (ACTG)","4 hours"
"ACTG 516","Financial Statement Analysis","Use of financial information by decision makers external to the firm; using data analytics to assess profitability and risk analysis; financial forecasting and equity valuation. Course Information: Extensive computer use required. Prerequisite(s):ACTG 502or the equivalent; or approval of the department.","Accounting (ACTG)","4 hours"
"ACTG 525","Management Control and Data-Based Decision Making","Uses data analytics to understand management decision making including planning, budgeting, cost management, management control, and performance measurement systems. Course Information: Extensive computer use required. Prerequisite(s):ACTG 506or equivalent; or approval of department.","Accounting (ACTG)","4 hours"
"ACTG 534","Auditing-Graduate","Designed to provide students with an understanding of issues relevant to the public accounting profession, and a brief introduction to audit testing and procedures. Course Information: Credit is not given forACTG 534if the student has a credit inACTG 435or the equivalent. Prerequisite(s):ACTG 502andACTG 503or the equivalent.","Accounting (ACTG)","4 hours"
"ACTG 535","Advanced Auditing","Examines contemporary issues in auditing using case analysis and advances in technology. Builds on basic audit principles to provide a more in-depth analysis of complex auditing issues and auditing standards.  Prerequisite(s):ACTG 435or equivalent; or department approval.","Accounting (ACTG)","4 hours"
"ACTG 537","Fraud Examination","Concepts and skills necessary for examining  financial fraud. Content  will include  fraud schemes, prevention and detection of fraud, ethics, forensic software tools, auditing techniques, and the law and regulations governing fraud cases.  Course Information:  Extensive computer use required.  Prerequisite(s):ACTG 474andACTG 502or equivalents.","Accounting (ACTG)","4 hours"
"ACTG 545","Advanced Taxation of Business Entities","Analyzes the tax treatment, problems, and planning techniques involving corporations, partnerships, and other business entities. Further incorporates tax planning into business decisions including distributions, transfer pricing, and reorganizations. Course Information: Extensive computer use required. Prerequisite(s):ACTG 445or equivalent; or department approval.","Accounting (ACTG)","4 hours"
"ACTG 565","Advanced Government and Nonprofit Accounting","Financial accounting principles applicable to governments and nonprofit organizations. Transactions and events are analyzed, leading to the preparation and analysis of financial statements.  Course Information:  Prerequisite(s):ACTG 503or equivalent.","Accounting (ACTG)","4 hours"
"ACTG 570","The Legal and Ethical Environment of Business","An examination of the decision making process on both the individual and organizational levels. The effect of moral, legal, and economic factors on the decision making process. Course Information: Prerequisite(s):ACTG 502or equivalent; or department approval.","Accounting (ACTG)","4 hours"
"ACTG 585","Corporate Valuation and Accounting Information","Valuation using discounted cash flow and multiples. Use of financial disclosures to construct forecasts. How multiples behave. How accounting affects valuation ratios. Course Information: Credit is not given forACTG 585if the student has credit forACTG 485. Prerequisite(s):ACTG 502; andFIN 510orFIN 520; or approval of the department.","Accounting (ACTG)","4 hours"
"ACTG 590","Advanced Topics in Accounting","Coves current authoritative accounting standards and applications to accounting practice. Helps to provide mastery of recent developments in accounting and reporting frameworks. Course Information: Extensive computer use required. Prerequisite(s):ACTG 503or equivalent; or department approval.","Accounting (ACTG)","4 hours"
"ACTG 592","Advanced Statistical Analyses for Accountants","Provide understanding of how to perform advanced statistical analyses useful for leveraging accounting information to solve business problems. Uses statistical modeling to solve advanced business problems. Course Information: Extensive computer use required. Prerequisite(s):ACTG 506or equivalent andACTG 392or equivalent; or department approval. Recommended background:ACTG 492or equivalent.","Accounting (ACTG)","4 hours"
"ACTG 593","Professional Accounting Research","Applies research methodology to professional standards to guide measurement, classification, and disclosure of financial transactions. Develop a capacity to use existing tax code and case law to solve and defend complex tax positions. Course Information: Extensive computer use required. Prerequisite(s):ACTG 502or equivalent; or department approval.","Accounting (ACTG)","4 hours"
"ACTG 594","Special Topics in Accounting - Graduate","Topics rotate in the various areas of accounting, including but not restricted to financial, managerial, governmental and nonprofit accounting, explores current issues and proposed alternatives. Course Information:  May be repeated.  Students may register in more than one section per term.  Extensive computer use required.  Prerequisite(s): Approval of the department.","Accounting (ACTG)","1-4 hours"
"ACTG 596","Independent Study in Accounting - Master's","Independent study on an accounting topic chosen with faculty approval; requires a study plan and a paper of length and specification required by a faculty member. Course Information: Prerequisite(s):ACTG 515andACTG 525.","Accounting (ACTG)","1-4 hours"
"ACTG 599","Ph","Research on topic of the doctoral dissertation. Course Information: Satisfactory/Unsatisfactory grading only. May be repeated. Students may register in more than one section per term. Prerequisite(s): Faculty acceptance of thesis proposal.","Accounting (ACTG)","D"
"ANAT 315","Anatomy I","Structural and functional anatomy of the human head, neck and orofacial complex .  Class Schedule Information:  To be properly registered, students must enroll in one Laboratory and one Lecture-Discussion.","Anatomy and Cell Biology (ANAT)","4 hours"
"ANAT 316","Anatomy II","Introduction to the structural and functional systems biology of the human body.  Course Information:  Prerequisite(s):ANAT 315.","Anatomy and Cell Biology (ANAT)","1 hour"
"ANAT 399","Undergraduate Laboratory Research","Laboratory research for advanced undergraduates. Course Information: Animals used in instruction. Satisfactory/Unsatisfactory grading only. May be repeated. Application of credit toward the degree is contingent upon the approval of the student's college and/or department. Prerequisite(s): Junior standing or above and consent of the instructor.","Anatomy and Cell Biology (ANAT)","1-4 hours"
"ANAT 403","Human Neuroanatomy","Morphological organization of the nervous system. Functional correlations of neural structures. Course Information:  Same asNEUS 403.  Meets eight weeks of the semester.  Prerequisite(s): Graduate standing and consent of the instructor.  Must be in a degree program.  Class Schedule Information:  To be properly registered, students must enroll in one Laboratory and one Lecture.","Anatomy and Cell Biology (ANAT)","3 hours"
"ANAT 414","Neuroanatomy for Allied Health Program","Basic Development and gross features of the central nervous system and systems neuroanatomy; motor, sensory and integrative functional areas. Class Schedule Information:  To be properly registered, students must enroll in one Laboratory and one Lecture.","Anatomy and Cell Biology (ANAT)","3 hours"
"ANAT 439","Gross Human Anatomy I","Gross structure of the adult human thorax, abdomen, pelvis and perineum, emphasizing spatial relationships and functional/clinical relevance. Includes embryology and radiology topics. Course Information: Limited to six (6) students. Prerequisite(s): Graduate standing in a degree-granting program only and consent of the instructor. Class Schedule Information:  To be properly registered, students must enroll in one Laboratory and one Lecture-Discussion.","Anatomy and Cell Biology (ANAT)","3 hours"
"ANAT 440","Gross Human Anatomy II","Gross structure of the adult human head & neck/deep back and limbs, emphasizing spatial relationships and functional/clinical relevance. Includes embryology and radiology topics. Course Information: Limited to six (6) students. Prerequisite(s): Graduate standing in a degree-granting program only and consent of the instructor. Class Schedule Information:  To be properly registered, students must enroll in one Laboratory and one Lecture-Discussion.","Anatomy and Cell Biology (ANAT)","4 hours"
"ANAT 441","Gross Human Anatomy","Functional and structural anatomy of the body. Course Information: For allied health students. Prerequisite(s): Graduate standing and consent of the instructor; or enrollment in the Doctor of Physical Therapy program or M.S. in Biomedical Visualization program. Class Schedule Information:  To be properly registered, students must enroll in one Laboratory and one Lecture.","Anatomy and Cell Biology (ANAT)","5 hours"
"ANAT 442","Cell Structure and Human Histology","Structure and function of cells and fundamental tissues. Function and microscopic anatomy of organs. Course Information: Prerequisite(s): Graduate standing and consent of the instructor. Class Schedule Information:  To be properly registered, students must enroll in one Laboratory and one Lecture-Discussion.","Anatomy and Cell Biology (ANAT)","5 hours"
"ANAT 443","Case Studies in Clinical Anatomy","Clinical approach to human anatomy by examining a series of case studies. An introduction to clinical medicine using problem based learning to integrate anatomical knowledge with clinical signs and patient symptoms. Course Information: Prerequisite(s):ANAT 441.","Anatomy and Cell Biology (ANAT)","3 hours"
"ANAT 511","Experimental Foundations of Psychopharmacology","An introduction to the molecular mechanisms underlying synaptic transmission; review of the principal neurotransmitter systems and the biochemical, anatomical and behavioral methods used to study these systems. Course Information: Same asNEUS 511. Prerequisite(s): Grade of B or better or concurrent registration inNEUS 501and Grade of B or better or concurrent registration inNEUS 502; or Grade of B or better or concurrent registration inBIOS 484and Grade of B or better or concurrent registration inBIOS 485; or consent of the instructor.","Anatomy and Cell Biology (ANAT)","2 hours"
"ANAT 520","Concepts of Synaptic Function and Morphology","Overview of current and classical methods employed in the study of synapses. A review of some of the most interesting aspects of synaptic function, such as sources of synaptic vesicles, synaptic patterns, synaptic plasticity, and synaptic specificity. Course Information: Prerequisite(s): Consent of the instructor.","Anatomy and Cell Biology (ANAT)","2 hours"
"ANAT 521","Plasticity in the Nervous System","Neural plasticity is the ability to adaptively modify neural structure or function. Topics range from developmental plasticity to aging, including response to injury and neurodegenerative diseases, trophic factors, learning and memory, and neural transplantation. Course Information: Prerequisite(s):ANAT 403or consent of instructor.","Anatomy and Cell Biology (ANAT)","2 hours"
"ANAT 523","Biology of MicroRNAs and other Small RNAs","History, overview and biology of small RNA pathways, including microRNAs, siRNAs, RNA interference, roles in various biological processes, implication in disease pathophysiology, and potential therapies.  Course Information: Same asBIOS 523. Prerequisite(s): Consent of the instructor.","Anatomy and Cell Biology (ANAT)","2 hours"
"ANAT 525","Molecular and Cellular Mechanisms of Neurodegenerative Diseases","Molecular, cellular and physiological mechanisms underlying neuropathology in neurodegenerative diseases and trauma to the central and peripheral nervous system of humans. Course Information: Same asNEUS 525. Recommended background: A basic course in neuroscience.","Anatomy and Cell Biology (ANAT)","2 hours"
"ANAT 527","Cellular and Systems Neurobiology","Molecular and cellular properties of ion channels in neurons and sensory cells and their relationship to brain and sensory systems. Course Information: Same asBIOS 527andNEUS 527. Prerequisite(s): Credit in one neuroscience course or consent of the instructor.","Anatomy and Cell Biology (ANAT)","3 hours"
"ANAT 544","Advanced Craniofacial Anatomy","Functional and clinical aspects of head and neck anatomy. Includes laboratory dissection and readings from the anatomical, clinical and other literature. Course Information: Same asOSCI 544. Specimen provision by sponsoring department required. Prerequisite(s): DDS or MD degrees, a course in human head and neck anatomy. Class Schedule Information: To be properly registered, students must enroll in one Laboratory-Discussion and one Lecture-Discussion.","Anatomy and Cell Biology (ANAT)","3 hours"
"ANAT 554","Neuroendocrinology","Survey of neuroendocrine integration including neuroendocrine regulation of development, homeostasis, reproduction, and behavior. The hypothalamohypophyseal axis receives special attention from both morphologic and functional viewpoints. Course Information: Prerequisite(s):ANAT 403or the equivalent.","Anatomy and Cell Biology (ANAT)","2 hours"
"ANAT 560","Practicum in the Teaching of Anatomy","Provides an opportunity for supervised discussion and evaluation of materials and methods in teaching the basic anatomical sciences. Course Information: Satisfactory/Unsatisfactory grading only. May be repeated. No graduation credit. For anatomy and cell biology teaching assistants. Prerequisite(s):  Consent of the instructor.","Anatomy and Cell Biology (ANAT)","1 hour"
"ANAT 585","Cell Biology","Functional and structural organization of the cell with emphasis on the cellular basis of physiological activity. Course Information: Same asMIM 585andPHYB 585.","Anatomy and Cell Biology (ANAT)","4 hours"
"ANAT 586","Cell and Molecular Neurobiology","Structure and function of voltage-dependent and neurotransmitter-gated ion channels; the role of these ion channels in synaptic transmission, synaptic modification, and neuromodulation. Course Information: Same asBIOS 586. Prerequisite(s): BIOS 442 or consent of the instructor.","Anatomy and Cell Biology (ANAT)","3 hours"
"ANAT 594","Special Topics in Anatomy and Cell Biology","Topics may include cell biology, molecular biology, neuronal cell biology, neuroscience, cancer biology and other topics of current significance in anatomy and cell biology. Course Information: May be repeated if topics vary. Students may register in more than one section per term. Prerequisite(s): Consent of the instructor.","Anatomy and Cell Biology (ANAT)","1-4 hours"
"ANAT 595","Department Seminar","Oral presentations are made by students each session on timely journal articles, followed by in-depth discussions of the reported research. Presentation of research by invited lecturers. Course Information: Satisfactory/Unsatisfactory grading only.","Anatomy and Cell Biology (ANAT)","1 hour"
"ANAT 596","Independent Study","Independent study under the direction of a faculty member.","Anatomy and Cell Biology (ANAT)","1-4 hours"
"ANAT 598","Master's Thesis Research","Thesis research under the direction of a faculty member. Course Information: Satisfactory/Unsatisfactory grading only.","Anatomy and Cell Biology (ANAT)","0-16 hours"
"ANAT 599","Research in Anatomy","Independent research, directed by a faculty member. Course Information: Satisfactory/Unsatisfactory grading only.","Anatomy and Cell Biology (ANAT)","0-16 hours"
"ANTH 100","The Human Adventure","A survey of approaches to the study of the origins and the cultural and biological development of humankind. Course Information: No credit given towards the major in Anthropology. Class Schedule Information: To be properly registered, students must enroll in one Discussion/Recitation and one Lecture.Past course, and  World Cultures course.","Anthropology (ANTH)","3 hours"
"ANTH 101","World Cultures: Introduction to Social Anthropology","Concepts and methods in the study of world cultures from a comparative anthropological perspective, emphasizing selected non-U.S. societies, cultures, and ethnographic regions. Class Schedule Information:  To be properly registered, students must enroll in one Discussion/Recitation and one Lecture.Individual and Society course, and  World Cultures course.","Anthropology (ANTH)","3 hours"
"ANTH 102","Introduction to Archaeology","This course surveys world prehistory and introduces students to the theories and methods archaeologists use to understand the past. Class Schedule Information:  To be properly registered, students must enroll in one Laboratory and one Lecture.Natural World - With Lab course, and  Past course.","Anthropology (ANTH)","4 hours"
"ANTH 105","Human Evolution","Human evolution and variability; methods of assessing fossil evidence for evolutionary change; principles of biological adaptation. Class Schedule Information:  To be properly registered, students must enroll in one Laboratory and one Lecture.Natural World - With Lab course, and  Past course.","Anthropology (ANTH)","4 hours"
"ANTH 200","Anthropological Theory","Theoretical approaches to the study of culture and society in anthropology. Course Information: Prerequisite(s):ANTH 101or consent of the instructor.","Anthropology (ANTH)","3 hours"
"ANTH 201","Asian Markets, Corporations, and Social Justice","A critical analysis of multinational corporations as social institutions and their commodification and representation of Asian and Asian American cultures and economies. Includes topics like KPop, fair trade, sweatshops, and the beauty industry. Course Information: Same asGLAS 201. Prerequisite(s):GLAS 100; or consent of the instructor.World Cultures course.","Anthropology (ANTH)","3 hours"
"ANTH 207","Asian Cities: Urban Cultures of the Global South","The dynamics of urbanization in a number of Asian cities, including Mumbai, Shanghai, Singapore and Dubai, that have emerged as important nodes in the global economy, and that exemplify contemporary urban culture as it manifests cross-culturally. Course Information: Same asGLAS 207. Prerequisite(s):ANTH 101; or consent of the instructor.World Cultures course.","Anthropology (ANTH)","3 hours"
"ANTH 208","Virtual Lives: Science, Technology, and Culture","An anthropological perspective on science and technology. The role of science and technology on the social and cultural worlds in which we live. Course Information: Prerequisite(s):ENGL 161. Class Schedule: To be properly registered, students must be enrolled in one Lecture and one Discussion.World Cultures course.","Anthropology (ANTH)","3 hours"
"ANTH 215","Anthropology of Religion","Exploration of varieties of religious experience, including magic and witchcraft, with emphasis on non-Western religions and the role of religious institutions in social integration. Course Information: Same asRELS 215. Prerequisite(s):ENGL 161.Individual and Society course, and  World Cultures course.","Anthropology (ANTH)","3 hours"
