department,course_code,course_title,course_description,course_credits
ADST - Addiction Studies,Practicum I in Addiction Studies,ADST 4330,"This course will focus on priority clinical issues and will provide a concentrated study in specific areas of addiction studies. The course is intended to explore potential addiction counseling careers, facilitate professional development in the addiction studies profession, and introduce critical ethical and practical concerns encountered by addiction professionals. This course is intended to complement and provide preparation for the Practicum II course.",3
ADST - Addiction Studies,Clinical Issues in Addiction Studies,ADST 4340,"The course focuses on treatment, prevention, and intervention approaches as these relate to addictions. Therapeutic rehabilitation approaches (group, individual, family, conjoint) are addressed in relation to the various populations. Evaluation, assessment, consultation, and referral are processed in the therapeutic approaches that are covered. Crisis intervention is an essential area when working with addictive populations and is included in the therapeutic approaches.",3
ADST - Addiction Studies,Culture and Family in Addiction Studies,ADST 4345,"This course overviews diverse populations in order to present the impact of family, culture, and society on substance use and abuse. Evaluation, treatment, prevention, and intervention techniques and practices will be addressed. Legal and ethical aspects related to diverse populations who have addictions will be explored.",3
ADST - Addiction Studies,Principles of Addiction Counseling,ADST 4365,This course is designed as an introduction to a variety of clinical approaches to addiction counseling. Explores evidence-based methods of counseling services and theories of individual and family counseling. Course learning will include familiarity with the American Society of Addiction Medicine's (ASAM) placement criteria and Motivational Interviewing.,3
ADST - Addiction Studies,Addiction Counseling Skills,ADST 4370,"An overview of skills in treatment admission, clinical assessment, treatment planning, counseling services, documentation, case management, and discharge & continuing care.",3
ADST - Addiction Studies,Practicum II in Addiction Studies,ADST 4602,This course includes 300 hours of supervised field experience (about 22 hours/week of direct service/field experience) in a public or private setting serving persons with substance use disorders and three hours of class. The practicum site must meet specific program requirements and be approved by the University practicum supervisor. Weekly assignments will focus on the daily components of the rehabilitation process and will be addressed in a weekly class session.,6
ANTH - Anthropology,Human Cultures in World Prehistory,ANTH 1302,"An introduction to the vast variety of past human cultures and experiences. The focus is on understanding how the cultural expressions of ideas, values, and beliefs of past peoples and societies have affected their diverse adaptations to a constantly changing world.",3
ANTH - Anthropology,Human Evolution,ANTH 1324,"An introduction to human biological and cultural evolution, hominid morphology, human variation and prehistoric development, done in the context of historical development, and multiculturalism using appropriate scientific methodologies and theoretical bases.",3
ANTH - Anthropology,The Anthropology of Expressive Culture,ANTH 1354,"The examination of language of human expressive culture in a multicultural perspective. The course reviews such topics as human tradition, folkways, folk literature and poetry, folk drama, indigenous literature, architecture, and religious expressions. The objective of this course is to expand the student's knowledge of the human condition and human cultures, especially in relation to behaviors, ideas, and values articulated in the language of expressive behavior.",3
ANTH - Anthropology,Introduction to Archeology,ANTH 2302,General introduction to the field of archaeology. Emphasis on methodology of data collection and analysis plus a comprehensive review of major archaeological discoveries as they reflect understanding of diverse historical and cultural development of both ancient and modern societies.,3
ANTH - Anthropology,Global Health and Social Justice: Interdisciplinary Approaches to Illness and Inequality,ANTH 2311,"This lower-division interdisciplinary course in global health and social justice is designed to enrich the educational experiences of undergraduates across all disciplines. It teaches students to critically analyze the strengths and weaknesses of intersecting (and at times contrasting) disciplinary approaches related to health. Students will gain familiarity with the disciplinary orientations of medical anthropology, social medicine, global health Jaw, health policy/health economics, public health, and epidemiology. Furthermore, students will learn to write concisely, synthesize information, evaluate related arguments, and develop their own critical perspectives. The course meets the GE Core in 090 Foundational Area-Integrative/Experiential Learning in the Interdisciplinary section.",3
ANTH - Anthropology,Introduction to Cultural Anthropology,ANTH 2351,"An introduction to cultural anthropology. Major aspects of culture (social organization, economics, religion, etc.), cultural patterns, cultural processes, cultural diversity and sociocultural change are examined in the context of historical development, contemporary societal conditions, and multiculturalism using appropriate methodological and theoretical analyses.",3
ANTH - Anthropology,Museum Studies Internship,ANTH 3343,"Provides students with practical, hands-on experience through active participation in museum work alongside museum professionals. While performing a variety of tasks, each student will receive instruction concerning key features common to all museums such as policies and procedures, artifact cataloging, care, and conservation, exhibit preparation, and education programs and publicity. May be repeated for additional credit as topic varies. A total of 6 credits can be earned.",3
ANTH - Anthropology,Archive Studies Internship,ANTH 3344,"Students have the opportunity to gain practical firsthand experience by actively working alongside professionals within a variety of archival situations. While working with collections as diverse as photographic archives, historic documents and newspapers and the computerized Rio Grande Valley Folklore Archive, each student will receive instruction in proper policies and procedures for the collection, study, cataloging and conservation of archive materials. May be repeated for additional credit as topic varies. A total of 6 credits can be earned.",3
ANTH - Anthropology,Anthropology Community Internship,ANTH 3345,"Students have the opportunity to gain practical experience working in a community organization, government agency or business enterprise related to their career goals. Students work closely with agency staff and perform a variety of tasks essential to the mission and goals of the organization. Interns are considered professional staff and participate in staff meetings, conduct research, analyze data or other tasks deemed useful by the organization. By working closely with other professionals at the site, students learn firsthand how anthropological concepts and skills can be used to understand social problems in their community. Student evaluation by weekly journal, agency report, and meetings with internship coordinator. May be repeated for additional credit as topic varies. A total of 6 credits can be earned.",3
ANTH - Anthropology,Forensic Anthropology,ANTH 4303,"This course introduces students to the basic principles of forensic anthropology through a critical approach of the methods and techniques employed in this multidisciplinary field. Students will learn to identify, collect, and interpret forensic evidence from an anthropological perspective. The course includes an overview of osteology, methods of establishing a biological profile of unidentified remains, and progresses to the various methods of personal identification, estimation of the postmortem interval, and circumstances of death. Finally, the course addresses social justice topics by analyzing the application of forensic anthropology to humanitarian and human rights abuse.",3
ANTH - Anthropology,Indians of North America,ANTH 4304,"To explore the diverse nature of Native American cultures at the time of European contact. In this class, students will see how ethnographers, ethnohistorians, and historians have recorded the lifeway of contemporary aboriginal societies and have reconstructed their prehistoric past. Consideration will be given to the impact of European contact and how that has altered ""Western"" images of the North American Indian. Women and men will be equally considered in order to give a balanced view of the richness of these cultures. Equivalent course:HIST 3326. A student may receive credit in only one course.",3
ANTH - Anthropology,Great Discoveries in Archaeology,ANTH 4305,"This course examines many of the most famous archaeological discoveries of the past century that have shed light on humans and their culture, human origins, world history and the development of human behavior. Popular assumptions about these finds will be evaluated in light of current anthropological theories and within the historical, context of the era in which they were found in order to discern a more accurate knowledge of the past. Equivalent course:HIST 3306. A student may receive credit in only one course.",3
ANTH - Anthropology,Anthropology of Borders,ANTH 4306,"Anthropology of Borders takes border zones and issues crucial to understanding them both as its field site and point of comparative analysis. From Spanish-French Catalonia to the borderlands of Indonesia, this course investigates issues commonplace to zones of contact such as linguistic variation and innovation as well as the role of the state in construction and codifying notions of citizenship. By looking at borders from a comparative ethnographic perspective, the course seeks to contextualize issues faced by borderlanders of South Texas within a global framework.",3
ANTH - Anthropology,"Shipwrecks, Pirates, and Sea: Maritime Archaeology and History",ANTH 4307,"Maritime archaeology is a profession combining traditional fields and extensive practical experience. Anthropology, history, archaeology, geography, and related sciences provide the theoretical and practical methodology with which maritime sites are found, tested, and interpreted. This course is designed to provide students with the fields background, range, and relevant examples involving both history and archaeology.",3
ANTH - Anthropology,Anthropology of Sex & Gender,ANTH 4309,"This course is concerned with anthropological studies of sex, sexuality and gender, exploring the intersection of biological and social discourses in various anthropological themes. It uses cross-cultural studies to focus on sex, gender and sexuality in various aspects of social life and encourages critical assessment of contemporary debates.",3
ANTH - Anthropology,Food and Culture,ANTH 4310,This course examines the interaction between human culture and food from an anthropological perspective. It examines the social roles of food and how economic forces are transforming food systems in the world today.,3
ANTH - Anthropology,Medical Anthropology,ANTH 4311,"This course introduces students to the diverse field of medical anthropology. It examines the human experiences of health and disease in cross-cultural, historical, and evolutionary perspectives.",3
ANTH - Anthropology,Political and Legal Anthropology,ANTH 4312,"This course involves the anthropological analysis of political and legal institutions as revealed in relevant theoretical debates and with reference to ethnographic examples. Topics included in this course are the development of political and legal anthropology and their key concepts; studies of the state, kingship and other forms of authority; forms of knowledge and power; political competition and conflict; indigenous responses to colonialism; civil society and citizenship; nationalism, ethnicity, and genocide; theories of order and normative domain; law as command and law as rules; the legal dimensions of hierarchy and authority; dispute institutions and processes, legal pluralism; Indian, Islamic and other non-Western legal systems.",3
ANTH - Anthropology,Environmental Anthropology,ANTH 4314,"Introduction to human/environmental interactions from various anthropological perspectives. History of anthropological approaches to the environment, emphasizing the mutual interconnectedness of people and nature. Survey of evolutionary models, cultural ecology, systems approaches, indigenous knowledge, ethnoecology, nature and the state, political ecology, ecofeminism environmentalism, and environmental justice.",3
ANTH - Anthropology,Discovering the Rio Grande Valley,ANTH 4315,"This course will be taught by a team of faculty in Anthropology, History, Geology, and Biology who will cover in-depth content of the Rio Grande Valley from various disciplinary points of view. This class is part of the CHAPS (Community Historic Archaeology Project with the Schools) program that focuses on primary field research. Students will examine land titles/abstracts, study the geology of the region, conduct oral histories, and research the flora and fauna of this area. May be repeated for additional credit as topic varies. A total of 6 credits can be earned.",3
ANTH - Anthropology,Open Source GIS for Cultural Resources,ANTH 4316,A study of the application of open source geographic information systems (GIS) software to archaeology and cultural resources management (CRM). This course provides students with transferable skills tailored to real-world applications. No previous GIS experience is required.,3
ANTH - Anthropology,Field Experience Borderlands,ANTH 4317,"This course provides students an opportunity to design and conduct a research project in the Rio Grande Valley. Instruction focuses on field methods, ethics, technology, and community engagement.",3
ANTH - Anthropology,Anthropology of Conflict and Human Rights,ANTH 4320,"This course reviews anthropological perspectives on human conflict, violence, human rights violations, and crimes against humanity, from a biocultural lens. This course examines the contributions of cultural anthropology (ethnography), bioarcheology, and forensic anthropology to understand past and present human conflicts at multiple scales.",3
ANTH - Anthropology,Human Skeletal Anatomy,ANTH 4321,"This course examines the human skeletal anatomy (osteology), principles of bone biology, skeletal growth, development, maturation, and variation. This is a foundational course to different fields of anthropology, particularly paleoanthropology (human evolution), primatology, bioarchaeology, skeletal biology, and forensic anthropology, and a foundation course to allied disciplines in biomedical sciences.",3
ANTH - Anthropology,Ancient Diseases in Modern Bodies,ANTH 4322,"This course provides an overview of human health and disease in a diachronic and bicultural perspective. It focuses on an interdisciplinary approach to human health by combining perspectives from evolutionary medicine and paleopathology. This course examines how evolution might have affected our present-day susceptibility to disease. It will explore the methods and approaches to disease in the past, namely principles of diagnosis of disease in the skeletal system which is information applied to several fields of anthropology (forensic anthropology, medical anthropology, paleoanthropology, bioarchaeology) and other health-related fields.",3
ANTH - Anthropology,Mexican American Culture,ANTH 4323,"This course is concerned with the culture and tradition of Mexican-Americans. The cultural history, organization of the family, traditions, lifestyle, kinship patterns, values, and social organization of Mexican-American culture will be emphasized.",3
ANTH - Anthropology,Anthropological Theory and Method,ANTH 4345,"Instruction in the methodology (e.g., interviewing, participant observation, network analysis) and theoretical perspectives of anthropology.",3
ANTH - Anthropology,Peoples and Cultures of Mexico,ANTH 4348,"This course provides an introduction to the diverse peoples and cultures of Mexico and Central America. The traditions, beliefs, and practices of different cultures will be examined through an emphasis on the ethnography and ethnohistory of indigenous cultures of the region.",3
ANTH - Anthropology,Mexican American Folk Medicine,ANTH 4350,"This course is concerned with popular medical traditions found among Mexicans and Mexican Americans. It identifies influences from European and Native American sources, and examines ongoing changes in the folk medical landscape.",3
ANTH - Anthropology,Global Health: Critical Perspectives,ANTH 4351,"This advanced-level course examines how health unfolds within contexts of social inequality. The course critically analyzes existing medical research, explores interdisciplinary methods, and proposes dynamic solutions for social justice in global health.",3
ANTH - Anthropology,Historical Archaeology,ANTH 4361,"Examines the development of the modern world (1500s-Present) from the perspective of historical archaeology, the subdiscipline combing artifacts, documents, and oral histories.",3
ANTH - Anthropology,Interpreting the Past: Theory and Method in Archaeology,ANTH 4363,This course examines the connections between major theoretical orientations and methodological approaches from archaeologys past and present with an emphasis on contemporary practice. It emphasizes how the ways in which we think about the past impact how we practice archaeology and vice versa .,3
ANTH - Anthropology,Religion in Society,ANTH 4364,This course surveys both classical and newer approaches to the study of religion. The course is designed to give students a social science understanding of the leading approaches to religion.,3
ANTH - Anthropology,Archaeology of South America,ANTH 4365,"A study of the prehistory of South America, with an emphasis on the Andean area. Cultural development will be traced from the time of the first inhabitants through the Incas. The development of complex societies leading up to the Incas will be emphasized.",3
ANTH - Anthropology,Ecuadorian Archaeology,ANTH 4366,"This class will be conducted in Ecuador. The student will be residing in Ecuador with the instructor of record, engaged in lectures and hands-on learning as they excavate the Valdivia site of Buen Suceso. Students will learn the major characteristics, geographic location, and temporal expanse of major South American prehispanic cultures. Particular emphasis within the course will be given to the cultural sequence of coastal Ecuador, the constellation of early (Formative) cultures on the continent, and the connections that Ecuadorians had to other places.",3
ANTH - Anthropology,Archaeology of Mexico and Central America,ANTH 4369,"A study of the prehistory of Mexico and Central America beginning with the first cultures to inhabit the area and ending with the arrival of the Spanish. Major civilizations of the area, including the Olmecs, Mayas and Aztecs, will be emphasized.",3
ANTH - Anthropology,Texas Archaeology,ANTH 4370,"A study of Indigenous communities inhabiting the lands comprising the modern boundaries of the state of Texas. This course examines the development of Indigenous cultures, including their relationships with neighboring peoples in northern Mexico and surrounding states.",3
ANTH - Anthropology,Archaeology of North America,ANTH 4374,A study of the prehistory of North America north of Mexico. The course deals with cultural development from the time of the initial peopling of the New World until the arrival of Columbus. Major cultural developments in the southwestern and eastern United States will be emphasized.,3
ANTH - Anthropology,Global Cultural Heritage Issues and Debates,ANTH 4377,"What is cultural heritage? How is heritage defined throughout the worked today and how has this changed over time? Is heritage a human right? Who has the right to claim and control heritage resources? This class will address these questions, and so many more, through an interdisciplinary approach to global cultural heritage issues. Students will learn about diverse heritage practices including the identification, assessment, research, preservation, interpretation, and promotion of various forms of cultural heritage. Students will also be introduced to international and national cultural heritage regulations, laws, and policies. Ultimately, students will be asked to think locally, about heritage identification, commemoration, and interpretation here in the Valley.",3
ANTH - Anthropology,Topics in Anthropology,ANTH 4385,Topics are varied according to availability of faculty and student interest. May be repeated for additional credit as topic varies. A total of 15 credits can be earned.,3
ANTH - Anthropology,Directed Studies,ANTH 4390,A study of selected topics in anthropology. Topics are varied according to availability of faculty and student interest. May be repeated for additional credit as topic varies. A total of 6 credits can be earned.,3
ANTH - Anthropology,Fieldwork in Anthropology,ANTH 4395,Students gain practical experience by participating in anthropological research projects that involve fieldwork. Each student will work closely with one or more professionals. This will enable students to learn about the specific topic under investigation as they gain practical experience in applying appropriate field research methods. May be repeated for additional credit as topic varies. A total of 9 credits can be earned.,3
ARAB - Arabic,Beginning Arabic I,ARAB 1311,"This course is a study of fundamental skills in listening, speaking, reading and writing. It includes basic vocabulary, grammatical structures, and culture.",3
ARAB - Arabic,Beginning Arabic II,ARAB 1312,"This course is the second of two basic course in the Arabic language. It is a continuation of the study of fundamental skills in listening comprehension, speaking, reading and writing; including basic vocabulary, grammatical structures and culture.",3
ARTS - Arts,Art Appreciation,ARTS 1301,"A general introduction to the visual arts designed to create an appreciation of the vocabulary, media techniques, and purposes of the creative process. Students will critically interpret and evaluate works of art within formal, cultural, and historical contexts.",3
ARTS - Arts,"Art History I, Prehistoric to the 14th-Century",ARTS 1303,A comprehensive examination of the major artistic and architectural achievements of western civilization from Paleolithic through Gothic.,3
ARTS - Arts,"Art History II, 14th-Century to the Present",ARTS 1304,A comprehensive examination of the major artistic and architectural achievements of western civilization from the Renaissance to the present.,3
ARTS - Arts,2D Foundations,ARTS 1311,"An introduction to the fundamental terminology, concepts, theory, and application of two-dimensional design.",3
ARTS - Arts,3D Foundations,ARTS 1312,Investigation into the phenomena extant in the three-dimensional arts. A variety of materials handling and creative methods for the purposes of creative methods for the purposes of creating three-dimensional forms will be considered.,3
ARTS - Arts,Drawing I,ARTS 1316,"Emphasis on descriptive, expressive, and conceptual approaches. Learning to see and interpret a variety of subjects while using diverse materials and techniques. Engagement in critical analysis and understanding drawing as a discipline.",3
ARTS - Arts,Drawing II,ARTS 1317,Drawing II is a continuation ofARTS 1316Drawing I with an emphasis on forms of expression that represent the human figure.,3
ARTS - Arts,Design Communications I,ARTS 2313,"Graphically interpreting images is the craft of graphic designers and illustrators who bring unique perspectives and meaning to content. Explore visual expression through the industry-standard vector graphics editing and layout software. This hands-on course is the first fundamentals course in the visual communication curriculum. Create illustrations, designs, and type treatments through a series of exercises and projects while building marketable skillsets.",3
ARTS - Arts,Design Communications II,ARTS 2314,"Explore visual expression using the industry-standard raster editing program. This is the second fundamentals course and introduces the tools used in image-making while building the student’s marketable skillsets. In this hands-on course, students apply photo editing, manipulation, and compositing techniques to photographic images. Projects for digital and print collateral apply comprehensive non-destructive techniques.",3
ARTS - Arts,Painting I,ARTS 2316,"ARTS 2316, Painting I, will provide each student with specific painting media experience extended from his or her knowledge of two-dimensional design and drawing, technical approach to materials and application of relevant principals of design. Students will be introduced to basic skills sets relevant to the discipline of painting. Various key course concepts will include, but are not limited to, the application of value, shape, form and the implementation of basic color relationships as applied to the discipline of painting. The application of relevant design principals as applied to representational painting, various techniques of paint application and relevant studio practices may also be covered in the course. Students will also be introduced to the preparation of painting supports. Painting materials utilized will be oil based paints and can also include water based paints such as acrylics and/or watercolor.",3
ARTS - Arts,Sculpture I,ARTS 2326,Introductory course in sculptural concepts through basic sculptural media.,3
ARTS - Arts,Sculpture II,ARTS 2327,A continuation ofARTS 2326Sculpture I but with a greater emphasis on aiding the student in solving individual problems using sculptural media and techniques.,3
ARTS - Arts,Visual Communication Design I,ARTS 2331,"A multi-disciplinary field encompasses many perspectives, methods, and disciplines for a rich toolkit used by designers. This introduction to visual communications design is the first in a series of three design courses that focus on the media and artifacts used to deliver messages. Design thinking, design processes, and design terminology help students navigate various projects combining words and images to create messages.",3
ARTS - Arts,Printmaking I,ARTS 2333,"Introduction to printmaking as a means of personal expression and aesthetic communication. Relief, mono-, silkscreen, and other printmaking processes.",3
ARTS - Arts,Beginning Jewelry/Metalworking,ARTS 2341,"Instruction is given in the use of hand tools, metals handling, and creative use of shop equipment. Emphasis on creative artistic expression focusing on jewelry as a portable art form. Other materials are considered.",3
ARTS - Arts,Ceramics I,ARTS 2346,"Introduction to ceramic design concentrating on hand building. Some work with the potter's wheel, glazing, and firing.",3
ARTS - Arts,Photography I,ARTS 2356,"This course provides an immersive introduction to the field of photography through digital tools. The emphasis is on basic camera exposure controls (ISO, shutter, aperture), lenses, visual photographic language, composition, and historic and contemporary artists. Students will utilize industry-standard applications for post-processing, workflow, and output methods, including printing.",3
ARTS - Arts,Analog Photography I,ARTS 2358,"This course is an immersive introduction to the black & white darkroom. Exposure controls, metering controls, film development techniques, and darkroom printing techniques. Students must provide their own analog film camera.",3
ARTS - Arts,Typography I,ARTS 2363,"This class focuses on the study of typography as a language made visible. Students will generate letterforms, including analysis of basic alphabet categories, historical background, and rationale of individual letter-style characteristics. Students develop an understanding of the properties of typefaces anatomy, vocabulary, context, and how typography helps readers read and navigate a text. Topics include investigating letterform structure and type classification systems, typographic terminology, history of type and printing, principles of spacing, legibility, hierarchy, and typographic form. The fundamentals of typography and typographic design are explored as a tool for expression and communication in experimental and practical projects.",3
ARTS - Arts,Intermediate Jewelry/Metalworking,ARTS 3303,Continuation of jewelry/metalworking processes with an emphasis on advanced techniques.,3
ARTS - Arts,Intermediate Drawing,ARTS 3311,Advanced concepts in drawing with semester duration figurative intensive curriculum. This will include referential observational drawing from live models and may also include study of human skeletal system and some anatomical study. Course may also include exploration of various drawing mediums and expressive use of the figurative motif.,3
ARTS - Arts,Intermediate Painting,ARTS 3321,Studio problems in painting.,3
ARTS - Arts,Painting for Non-majors,ARTS 3322,"This course will encompass a broad studio based overview of the discipline of painting for non-studio art-major undergraduate students. The course will provide each student with specific painting media experience engaging and extending their knowledge of two dimensional design principals, standard studio practices, technical approaches as applied to painting, investigation of relevant conceptual concerns, and developments in painting from a historical perspective. Various key course concepts may include, but are not limited to, the application of principals of design such as line, shapes, form, value, texture, space, implementation of color relationships, introduction to figuration, introduction to representational painting and may also include introduction to non-objective image production. Students will also be introduced to the preparation of paining supports. Painting materials utilized will be oil based paints and may also include water based paints such as acrylic and/or water color. A written component will be included as part of the course curriculum.",3
ARTS - Arts,Image and Illustration,ARTS 3330,"Communication of ideas through processes and techniques of graphic design and illustration. This course merges learning in digital applications with design practices. Taking conceptually based ideas from the sketch process to screen media, students will gain an understanding of the computer graphics packages currently in use. They will experience the typical workflow of a design environment, where graphic programs are used in unison, each making their contribution to resolve the complete design. Emphasis will be on creative decision-making and personal expression.",3
ARTS - Arts,Visual Communications,ARTS 3331,"Exploring the translation of verbal into visual language through a variety of media. Basic design concepts including image usage, symbol, and color in visual communication as well as the principles of typographic composition, message structure, and human perception.",3
ARTS - Arts,Print Design and PrePress,ARTS 3333,"Prepress is the vital link between the graphic design industry and the press printing industry. The prepress and production processes turn the designer’s creative concepts into printable. This hands-on course covers best practices for printing terminology, CMYK ink, and profile management, preparing photos, and design elements, understanding various printing techniques, managing press checks, and paper specifications.",3
ARTS - Arts,Digital Photography Theme for Non-Majors,ARTS 3334,"This course for non-majors introduces the art and craft of digital photography within the framework of a theme determined by the instructor. Over the span of the semester, students will work with their cameras and post-processing applications to develop a workflow. Students must supply their own digital camera.",3
ARTS - Arts,Typography II,ARTS 3337,"Effective typography is a balance of the relationship of legibility, readability, and aesthetics. Students explore how to design and communicate complex information that is primarily of typographic nature. In this studio course, students examine two and three-dimensional typographic systems; and develop a professional level of competency in normative and expressive typography.",3
ARTS - Arts,Foundry Studies in Sculpture,ARTS 3340,The expansion of visual expression in sculpture through multiple methods of liquid material manipulation. Concentration on mold making and the physical characteristics of diverse molten and liquid materials. Interaction with molten metals and glass in a controlled environment and experimentation with cold cast materials.,3
ARTS - Arts,Intermediate Sculpture,ARTS 3341,Emphasis on individual development. Consideration of additional media for sculptural expression.,3
