course_code,course_name
ART-GE 2987,Interdisciplinary Projects: Articulating The Visual Arts
ART-GE 2988,Interdisciplinary Projects: Contemporary Art Practice
ART-GE 2990,Graduate Studio
ART-GE 2993,Visiting Artist & Faculty Critiques
ARTCR-GE 2459,Art & Ideas: What is Social Practice Art?
ARTED-GE 2015,"Race, Education and the Politics of Visual Representation"
ARTED-GE 2070,"Critical Pedagogy, Artists, and the Public Sphere"
ARTED-GE 2271,Social Justice Education Through Art: Elementary Teaching
ARTED-GE 2277,Media Literacy and Visual Culture: Teaching Art in a Digital Age
ARTMD-GH 5001,Graduate Critique Seminar 1
ARTMD-GH 5051,Individual Studio Critique & Review 1
ARTMD-GH 5053,Individual Studio Critique & Review 3
ARTMD-GH 5120,"Repetition, Degeneration and Imprint"
ARTMD-GH 5122,Time and Memory Studio Elective Course
ARTMD-GH 5132,Ethnography and the Arts
ARTMD-GH 5730,"Studio: Archives, Methods, Screens"
ARTP-GE 2300,Independent Study
ARTT-GE 2010,Introduction to Art Therapy
ARTT-GE 2032,Art Therapy with Groups
ARTT-GE 2034,Art Therapy with Adolescents
ARTT-GE 2041,Integrative Mental Health
ARTT-GE 2145,Theory & Practice of Art Therapy
ARTT-GE 2149,Ethical Issues in Art Therapy
ARTT-GE 2150,Techniques/Supervision in Art Therapy
ARTT-GE 2160,Art for Art Therapists
ARTT-GE 2171,Adaptive Techniques in Art Therapy
ARTT-GE 2280,Research in Art Therapy
ARTT-GE 2302,Internship in Art Therapy
ARVA-GE 2000,Visual Arts Administration Colloquium
ARVA-GE 2016,Art Collecting
ARVA-GE 2019,Exhibition Design
ARVA-GE 2030,Environment of Visual Arts Administration
ARVA-GE 2032,Development for The Visual Arts
ARVA-GE 2109,Digital Technologies and the Art Organization
ARVA-GE 2133,Strategic Planning and Governance
ARVA-GE 2171,Appraisal & Valuation of Art
ARVA-GE 2216,Market Histories
ARVA-GE 2299,Research in Visual Arts Administration
ARVA-GE 2302,Internship in Visual Arts Administration
ARVA-GE 2914,VAA Topics: A Global Survey of Performance Art History
ARVA-GE 2915,"VAA Topics: Art Market, Analysis and Investment"
ARVA-GE 2927,VAA Topics: Art During Crisis
ASPP-GT 2000,"All School Seminar:: Land, World, Cosmos"
ASPP-GT 2001,Issues in Arts Politics
ASPP-GT 2002,Grad Sem Cultural Activism
ASPP-GT 2003,Graduate Colloquium
ASPP-GT 2006,"Special Topics:: Music, Race, and Ethnicity"
ASPP-GT 2006,"Special Topics:: Traveling Gaze: Empire, the Cinema/ Media"
ASPP-GT 2006,Special Topics:: War: Aesthetic Approaches/Theoretical Retreats
ASPP-GT 2049,Memory and Memoir:
ASPP-GT 2070,Language as Action: Poetry as Resistance & Love
BE-GY 6103,"Anatomy, Physiology, & Biophysics I"
BE-GY 6303,Bio-optics
BE-GY 6353,Special Topics in Biomedical Engineering: Computational Biophotonics
BE-GY 6403,Digital Signal Processing I
BE-GY 6453,Probability and Stochastic Processes
BE-GY 6473,Applied Mathematics and Statistics for Biomedical Engineering
BE-GY 6513,Biomedical Device Design and Development
BE-GY 6523,Biomems and Microfluidics
BE-GY 6803,Biomaterials: Engineering Principles and Design Consideration
BE-GY 8103,Systems & Computational Simulation for Biomedical Engineering
BE-GY 871X,Guided Studies in Biomedical Engineering
BE-GY 873X,Research in Biomedical Engineering
BE-GY 9443,Tissue Engineering
BE-GY 9603,Neural and Physiological Signal Processing
BE-GY 9730,Colloquium in Biomedical Engineering
BE-GY 9740,Seminar in Biomedical Engineering
BE-GY 997X,MS Thesis in Biomedical Engineering
BE-GY 999X,PhD Dissertation in Biomedical Engineering
BI-GY 7663,Problem Solving For Bioinformatics
BI-GY 7673,Applied Biostatistics for Bioinformatics
BI-GY 7683,Biology and Biotechnology for Bioinformatics
BI-GY 7693,Population Genetics and Evolutionary Biology for Bioinformatics
BI-GY 7743,Machine Learning and Data Science for Bioinformatics
BI-GY 7753,Bioinformatics Guided Studies
BI-GY 810X,Bioinformatics Capstone
BILED-GE 2001,Bilingual Multicultural Education: Theory and Practice
BILED-GE 2300,Independent Study
BILED-GE 2991,Student Teaching Bilingual Education: Elementary/Secondary (1)
BIOL-GA 1001,Bio Core I: Molecular Systems
BIOL-GA 1006,Toxicology
BIOL-GA 1007,Programming for Biologists
BIOL-GA 1032,Metabolic Disorders
BIOL-GA 1045,Protein Biochemistry
BIOL-GA 1051,Cell Biology:: The Nucleus & Beyond
BIOL-GA 1080,Emerging Pathogens
BIOL-GA 1122,Lab Molecular Biology I
BIOL-GA 1124,Lab in Molecular Bio III
BIOL-GA 1132,Genomics of Human Populations
BIOL-GA 1133,Machine Learning in Medicine and Biology
BIOL-GA 1134,Topics in Quantitative Biology
BIOL-GA 2003,Bio Core III: Molecules & Cells/Discussion Based
BIOL-GA 2007,Current Topics in Biology III:: Cancer Roadmaps- cascades of intracelluar errors
BIOL-GA 2008,Current Topics in Biology IV:: Structure and Function of Biomacromolecules
BIOL-GA 2024,Tissue Interface I
BIOL-GA 2026,Introduction to Electron Microscopy
BIOL-GA 2030,Statistics in Biology
BIOL-GA 2048,Integrative Seminars in Oral Biology I: Oral Systemic Connections
BIOL-GA 3001,The Art of Scientific Investigation
BIOL-GA 3015,Pre-Doctoral Colloquium
BIOL-GA 3034,Predoc Col Srvy Lab Mthd
BIOL-GA 3303,Research
BIOL-GA 3305,Reading
BIOL-GA 3313,Internship for MS
BIOL-GA 3323,Internship for PhD
BIOL-GA 3340,Reading in Oral Biology
BIOL-GA 3350,Directed Individual Research in Oral Biology I
BMIN-GA 1001,Methods in Quantitative Biology
BMIN-GA 1002,Bioinformatics
BMIN-GA 1003,Introduction to Healthcare AI
BMIN-GA 1004,Machine Learning
BMIN-GA 1358,Introduction to Programming
BMIN-GA 2003,BMI Master Practicum II
BMIN-GA 2004,Professional Studies in BMI
BMIN-GA 2005,Independent Studies In BMI
BMIN-GA 2436,Realtime and Big Data Analytics
BMIN-GA 2590,Natural Language Processing
BMIN-GA 3005,Consulting in Biomedical Informatics
BMIN-GA 4533,Healthcare Data Management
BMSC-GA 2000,Scientific Integrity & the Responsible Conduct Rearch
BMSC-GA 2004,Molecular Mechanisms in Biology
BMSC-GA 2005,Intro to Cell Neurosci
BMSC-GA 2202,Medical Microbiology
BMSC-GA 2213,Genetics and Genomics: From Peas to People
BMSC-GA 2306,Intro to Immunology
BMSC-GA 2604,Bioinformatics
BMSC-GA 2606,"Seminar and Work in Progress in Cell, Developmental and Regenerative Biology"
BMSC-GA 3007,Research Cell Biology
BMSC-GA 3201,Rsch in Microbiology
BMSC-GA 3301,Research in Pathology
BMSC-GA 3403,Rsch in Develop Genetics
BMSC-GA 3501,Research in Physiology & Neuroscience
BMSC-GA 3713,Research in Biochemistry & Molecular Biophysics
BMSC-GA 4404,Fund Concepts Magnetic Resonance Imaging (Mri)
BMSC-GA 4417,Research in Biomedical Imaging
BMSC-GA 4418,Tutorial in Biomedical Imaging
BMSC-GA 4419,Drug Development in a New Era
BMSC-GA 4426,Medical Imaging
BMSC-GA 4428,Pract Magnetic Resonance Imaging II
BMSC-GA 4430,Research in Stem Cell Biology
BMSC-GA 4433,Assembly & Function of Circuits in the CNS
BMSC-GA 4436,Research in Computational Biomedicine
BMSC-GA 4439,Machine Learning
BMSC-GA 4442,Research in Immunology
BMSC-GA 4449,Methods in Quantitative Biology
BMSC-GA 4451,Data Analysis and Biostatistics with R
BMSC-GA 4455,Introduction to Healthcare AI
BMSC-GA 4463,Readings in Neuroscience
BMSC-GA 4467,Host Pathogen Interactions
BMSC-GA 4488,Research in Epidemiology
BMSC-GA 4489,Research in Biostatistics
BMSC-GA 4494,Advanced Regression Modeling
BMSC-GA 4497,Flow Cytometry
BMSC-GA 4498,Advanced Integrative Omics
BMSC-GA 4507,Systematic Reviews and Meta-Analyses
BMSC-GA 4508,Introduction to Economic Evaluation in Health and Medicine
BMSC-GA 4510,Healthcare Delivery Science
BMSC-GA 4511,Principles of Population Health Science
BMSC-GA 4514,Research in Population Health
BMSC-GA 4524,Life Course Epidemiology
BMSC-GA 4525,Introduction to Biomedical Entrepreneurship: Foundations of Biomedical Startups
BMSC-GA 4532,A PhD Experience (APEX)
BMSC-GA 4533,Healthcare Data Management
BMSC-GA 4534,Independent Study in Biomedical Sciences
BMSC-GA 4536,Clinical Anatomy and Organ Systems: Anatomy
BMSC-GA 4536,Clinical Anatomy and Organ Systems: Infection & Immunity
BMSC-GA 4536,Clinical Anatomy and Organ Systems: Skin and Skin Cancer
BMSC-GA 4536,Clinical Anatomy and Organ Systems: The Cardiovascular System
BMSC-GA 4536,Clinical Anatomy and Organ Systems: The Nervous System
BMSC-GA 4536,Clinical Anatomy and Organ Systems: The Pulmonary System
BMSC-GA 4536,Clinical Anatomy and Organ Systems: The Renal System
BMSC-GA 4537,Systems Biomedicine and Society: Genetics
BMSC-GA 4538,Biomedical Sciences Works in Progress
BMSC-GA 4539,Research in Biomedical Sciences
BT-GY 6023,Biotechnology and Health Care
BT-GY 6033,Biosensors and Biochips
BT-GY 6053,Introduction to Neuroscience for Biotechnologists
BT-GY 6083,Advanced Cell and Molecular Biology
BT-GY 6093,Biomedical Materials & Devices for Human Body Repair
BT-GY 7013,Special Topics in Biotechnology: Intro to Bioinformatics
BT-GY 7013,Special Topics in Biotechnology: Pharma Asset Strategy
BT-GY 7043,Computer-Aided Protein and Drug Design
BT-GY 871X,Project in Biotechnology
BT-GY 8723,Capstone Project in Biotechnology
BTE-GY 950X,Project in Biotechnology and Entrepreneurship
BTE-GY 9513,Project in Biotechnology and Entrepreneurship
CAP-GP 3148,Capstone: Advanced Research Projects in Quantitative Analysis I
CAP-GP 3226,Capstone: Advanced Projects in International Policy & Management I
CAP-GP 3301,Capstone: Advanced Lab in Social Innovation I
CAP-GP 3401,"Capstone: Advanced Projects in Policy, Management, Finance, and Advocacy I"
CAP-GP 3601,Capstone: Advanced Projects in Urban Planning I
CAP-GP 3801,"Capstone: Advanced Projects in Health Finance, Management, and Policy I"
CAP-GP 3803,Capstone: Advanced Simulation in Healthcare Management
CBE-GY 6813,Chemical Reactor Analysis and Design
CBE-GY 902X,Guided Studies in Chemical Engineering
CBE-GY 9413,Selct Tpcs Chem & Bio Engr II: Bio-Optics
CBE-GY 9413,Selct Tpcs Chem & Bio Engr II: Colloids and Surface Chemistry
CBE-GY 9413,Selct Tpcs Chem & Bio Engr II: Foundations of Chemical Engineering
CBE-GY 9413,Selct Tpcs Chem & Bio Engr II: Introduction to Sustainable Energy Systems
CBE-GY 9910,Seminar in Chemical  & Biology Engineering
CBE-GY 997X,MS Thesis in Chemical & Biological Engineering
CBE-GY 998X,Research in Chemical & Biomolecular Engineering
CBE-GY 999X,PhD Dissertation in Chemical and Biological Engineering
CE-GY 6013,Theory of Structural Analysis and Design
CE-GY 6053,Monitoring Cities
CE-GY 6063,Bridge Engineering
CE-GY 6193,Wind and Earthquake Engineering
CE-GY 6253,Structural Dynamics
CE-GY 7373,Environmental Chemistry & Microbiology
CE-GY 7673,Environmental Impact Assessment
CE-GY 7703,Solid Waste Management
CE-GY 7733,Geomatics and GIS Application in Civil and Environmental Engineering
CE-GY 7815,Urban Systems Studio
CE-GY 7893,Engineering Application of Deep Learning
CE-GY 7983,Selected Topics in Infrastructure Systems: UNDERSTANDING THE URBAN SUBSURFACE
CE-GY 8233,"Planning, Construction, and Management of Sustainable Energy Systems"
CE-GY 8243,Construction Modeling Techniques
CE-GY 8253,Project Management for Construction
CE-GY 8263,Construction Cost Estimating
CE-GY 8283,Risk Analysis
CE-GY 8333,"Marketing for Construction Management and Engineering Services
Mktg for Const Mgmt & Engr Serv"
CE-GY 8343,Construction Site Safety
CE-GY 8353,Construction Scheduling
CE-GY 8373,Construction Accounting and Finance
CE-GY 8393,"Leadership, Ethics and Project Execution"
CE-GY 8423,Ground Improvement
CE-GY 8663,Advanced Foundation Design
CE-GY 901X,Readings in Civil Engineering
CE-GY 9105,Principles of Professional Practice I: Ethics
CE-GY 9950,PhD Candidates Research Seminar
CE-GY 9963,MS Project in Civil & Urban Engineering Department
CE-GY 997X,MS Thesis in Civil & Urban Engineering Dept
CE-GY 998X,Dissertation Level Research
CE-GY 999X,PHD Diss in Civil Engineering Department
CEH-GA 1016,Special Topics: Aesthetics of Decline
CEH-GA 1018,Tpcs Sem:: Provincilizing Cisness
CEH-GA 1048,International Studies in Human Rights
CEH-GA 1283,Topics in Cultural Journalism:
CEH-GA 3000,Independent Study
CEH-GA 3001,Independent Study
CEH-GA 3003,Topics in The City: Discard Studies
CEH-GA 3005,XE Master's Project
CEH-GA 3015,Interdisciplinarity
CEH-GA 3019,Master's Project Workshop
CEH-GA 3030,Internship
CEH-GA 3035,Global Modernisms
CEH-GA 3050,Topics in Experimental Writing: Spitting Images: Experiments in Poetry and Critici
CEH-GA 3060,Global Perspectives and Conflict
CEH-GA 3061,Genre Trouble: Monstrous Texts and Experiments in Writing
CHEM-GA 1113,Chemistry of the Transition Metals
CHEM-GA 1313,Physical Organic Chemistry
CHEM-GA 1315,Supramolecular Chemistry
CHEM-GA 1400,Spectroscopic Analysis in Organic and Inorganic Chemistry
CHEM-GA 1818,Adv Biophysical Chem
CHEM-GA 1883,Molecular Biochemistry
CHEM-GA 2262,Special Topics:: Theory and Applications of Spectroscopy
CHEM-GA 2400,The Science of Materials
CHEM-GA 2600,Statistical Mechanics
CHEM-GA 2665,Quantum Mechanics
CHEM-GA 2671,Special Topics Physical Chemistry:: Medicinal Chemistry
CHEM-GA 2672,Special Topics:: Materials Characterization Methods
CHEM-GA 2673,Professional Development
CHEM-GA 2931,Research
CHEM-GA 3010,Graduate Seminar
CHEM-GA 3200,Original Research Proposal
CINE-GT 1010,Film Form/Film Sense: Industries & Aesthetics
CINE-GT 1015,Film History/Historiog
CINE-GT 1025,"Topics in Media & Cultural Studies: Cinema, Migration, & Diaspora"
CINE-GT 1135,History of Sinophone World Cinema I
CINE-GT 1141,Film Criticism
CINE-GT 1325,The Musical
CINE-GT 1402,Culture and Media
CINE-GT 1800,Introduction to Moving Image Archiving and Preservation
CINE-GT 1802,Conservation and Preservation of Moving Image Material--Principles
CINE-GT 1804,"Copyright, Legal Issues, and Policy"
CINE-GT 1807,Digital Preservation
CINE-GT 1808,Digital Literacy for Moving Image Archiving and Preservation
CINE-GT 1995,Video Production Sem I
CINE-GT 2117,Brazilian Cinema I
CINE-GT 2123,American Cinema: Origins to 1960
CINE-GT 2601,PhD Research Methodologies
CINE-GT 2900,Adv Independent Study
CINE-GT 2904,MIAP Independent Study
CINE-GT 2912,MIAP Directed Internship
CINE-GT 2913,MIAP Introduction to Fieldwork
CINE-GT 2920,Moving Image and Sound: Basic Issues and Training
CINE-GT 2950,Cinema Studies Internship I
CINE-GT 3006,Adv Seminar: Structures of Passing
CINE-GT 3011,Advanced Seminar:: Foregrounding the Background
CINE-GT 3101,Visual Historiography
CINE-GT 3403,Video Preservation I
CINE-GT 3490,Advanced Topics in Preservation Studies
CINE-GT 3907,Directed Reading/Researc
CLASS-GA 1012,Latin Rhetoric/Stylistic
CLASS-GA 1013,Greek Literature Survey
CLASS-GA 3000,Sem in Classical Studies: Island Archaeologies of the Mediterranean
CLASS-GA 3001,"Tpcs in Roman History: Suetonius, ""De Vitis Caesarum"""
CLASS-GA 3002,Spec Topics:: Polytheism(s) and Society
CLASS-GA 3101,Dir Read in Latin Lit I
CLASS-GA 3201,Dir Read in Greek Lit I
CLASS-GA 3301,Dir Read in Roman Hist I
CLASS-GA 3302,Dir Rdg in Roman Hist II
CLASS-GA 3402,Dir Rdg in Greek Hist II
CLASS-GA 3509,Supervised Rsch or Rdng
CLASS-GA 3998,Dissertation Research
COLIT-GA 1400,Sem in Lit:Rsch Mthds Tchnqs:
COLIT-GA 2000,Advanced Writing Seminar
COLIT-GA 2201,Literature Seminar: Mediterraneanism in Literature and Culture
COLIT-GA 2453,Tpcs in Lit Theory II:: Decolonizing Theory
COLIT-GA 2601,Topics in 19th Century Cult:: GWF Hegel on the Philosophy of Religion
COLIT-GA 2610,Special Tpcs in Theory:: Fredric Jameson
COLIT-GA 2645,Topics:: Con games: Playing W/ Truth in Lit & Cinema
COLIT-GA 2645,Topics:: Plasticity and Form
COLIT-GA 2917,Topic in Lit & Mod Cult: The Form of Freedom
COLIT-GA 2917,Topic in Lit & Mod Cult: Trans/Queer Modernisms
COLIT-GA 2956,Topics:: Gesture: Theory and Practice
COLIT-GA 2967,Special Topics:
COLIT-GA 2967,Special Topics:: Theories of Language & Maternality
COLIT-GA 2991,Individual Research
COLIT-GA 2992,Academic Internship
COLIT-GA 3323,Tpcs in Renaissance Lit
COLIT-GA 3925,Topic Lit Contemp/Cult:: Origins of 'Origins of Totalitarianism
COLIT-GA 3991,Thesis Research
COLIT-GA 3998,Directed Research I
COLIT-GA 3999,Directed Research II
CONM1-GC 1015,Construction Cost Estimating
CONM1-GC 3911,Professional Internship
CORE-GG 2025,Proseminar: Theory and Methods in the Social Sciences: Interdisciplinary Perspectives
CORE-GG 2026,Proseminar: Traditions of Interpretation
CORE-GG 2029,"Proseminar in the Arts: Why Do You Want to Make It, andHow Can You Make It Better?"
CORE-GG 2038,Proseminar: Creative Writing Across Genres
CORE-GG 2402,Master's Thesis I
CORE-GG 2403,Master's Thesis II
CORE-GG 2999,Thesis Advisement
CORE-GP 1011,Statistical Methods
CORE-GP 1018,Microeconomics
CORE-GP 1020,Management and Leadership
CORE-GP 1021,Financial Management
CORE-GP 1022,Introduction to Public Policy
CP-GY 9911,Internship for MS I
CP-GY 9921,Internship for MS II
CP-GY 9941,Internship for PhD I
CP-GY 9951,Internship for PhD II
CP-GY 9961,Internship for PhD III
CP-GY 9971,Internship for PhD IV
CRWRI-GA 1910,Workshop in Poetry I
CRWRI-GA 1920,Workshop in Fiction I
CRWRI-GA 1930,The Craft of Creative Nonfiction
CRWRI-GA 1940,Workshop in Creative Nonfiction
CRWRI-GA 1951,The Craft of Poetry
CRWRI-GA 1960,The Craft of Fiction
CRWRI-GA 3004,Independent Study
CS-GY 6003,Foundations of Computer Science
CS-GY 6033,Design and Analysis of Algorithms I
CS-GY 6043,Design and Analysis of Algorithms II
CS-GY 6053,Foundation of Data Science
CS-GY 6063,Software Engineering I
CS-GY 6083,Principles of Database Systems
CS-GY 6233,Introduction to Operating Systems
CS-GY 6313,Information Visualization
CS-GY 6373,Programming Languages
CS-GY 6513,Big Data
CS-GY 6543,Human Computer Interaction
CS-GY 6553,Game Design
CS-GY 6573,Penetration Testing and Vulnerability Analysis
CS-GY 6613,Artificial Intelligence I
CS-GY 6643,Computer Vision
CS-GY 6803,Information Systems Security Engineering and Management
CS-GY 6813,"Information, Security and Privacy"
CS-GY 6823,Network Security
CS-GY 6843,Computer Networking
CS-GY 6903,Applied Cryptography
CS-GY 6913,Web Search Engines
CS-GY 6923,Machine Learning
CS-GY 6953,Deep Learning
CS-GY 6963,Digital Forensics
CS-GY 8843,Virtual and Augmented Reality
CS-GY 9053,Special Topics in Computer Science: ST: Intro to Java
CS-GY 9163,Application Security
CS-GY 9215,Special Topics in Computer Science: Cyber Resiliency Management
CS-GY 9215,Special Topics in Computer Science: Cyber Risk Management
CS-GY 9223,Selected Topics in CS: Cloud Computing
CS-GY 9223,Selected Topics in CS: Cloud Security
CS-GY 9223,Selected Topics in CS: Human-Centered AI
CS-GY 9223,Selected Topics in CS: Intro to Blockchain & Distributed Ledger Tech (Dlt
CS-GY 9223,Selected Topics in CS: Intro to Offensive Security
CS-GY 9223,Selected Topics in CS: Machine Learning for Cybersecurity
CS-GY 9223,Selected Topics in CS: Mobile Security
CS-GY 9223,Selected Topics in CS: Open Source/Professional Software Development
CS-GY 9223,Selected Topics in CS: Operational Technology Security
CS-GY 9223,Selected Topics in CS: Post-Quantum Cryptography
CS-GY 9223,Selected Topics in CS: Responsible AI and the Law
CS-GY 9223,Selected Topics in CS: Software Supply Chain Security
CS-GY 9413,Readings in Computer Science I
CS-GY 9963,Advanced Project in Computer Science
CS-GY 997X,MS Thesis in Computer Science
CS-GY 999X,PhD Dissertation in Computer Science
CSCD-GE 2000,Master of Science Student Seminar
CSCD-GE 2021,Adult Language Disorders
CSCD-GE 2028,Stuttering and Cluttering
CSCD-GE 2037,Voice Disorders
CSCD-GE 2039,Language Disorders in Preschool Children
CSCD-GE 2060,Dysphagia in Adults and Children
CSCD-GE 2075,Principles of Intervention with Speech-Language Disorders
CSCD-GE 2108,Speech Sound Disorders in Children
CSCD-GE 2109,Critical Evaluation of Research in CSD
CSCD-GE 2111,Clinical Practicum I: Pre-Clinic
CSCD-GE 2115,Clinical Practicum II: Diagnostic Assessment
CSCD-GE 2116,Clinical Practicum III: Treatment
CSCD-GE 2117,Field Placement Practicum IV: Pediatrics
CSCD-GE 2118,Field Placement Practicum V: Adults
CSCD-GE 2125,Speech Science: Instrumentation
CSCD-GE 2141,Culturally Responsive Practices I: Healthcare & Global Context
CSCD-GE 2420,Research Colloquium in Communicative Sciences and Disorders
CSCD-GE 2424,Honors Research: Communicative Sciences and Disorders I
CSCD-GE 3022,Grant Writing for Health Fields
CSCD-GE 3400,Doct Sem Communicative Sciences & Disorders
CSCI-GA 1170,Fundamental Algorithms
CSCI-GA 1180,Mathematical Techniques for Cs Applications
CSCI-GA 2110,Programming Languages
CSCI-GA 2112,Scientific Computing
CSCI-GA 2250,Operating Systems
CSCI-GA 2262,Data Comm & Networks
CSCI-GA 2270,Computer Graphics
CSCI-GA 2271,Computer Vision
CSCI-GA 2420,Numerical Methods I
CSCI-GA 2433,Database Systems
CSCI-GA 2434,Advanced Topics Database Systems
CSCI-GA 2436,Realtime and Big Data Analytics
CSCI-GA 2437,Big Data Application Development
CSCI-GA 2560,Artificial Intelligence
CSCI-GA 2565,Machine Learning
CSCI-GA 2566,Foundations of Machine Learning
CSCI-GA 2572,Deep Learning
CSCI-GA 2630,Foundations of Networks and Mobile Systems
CSCI-GA 2810,Design and Innovation
CSCI-GA 2820,DevOps and Agile Methodologies
CSCI-GA 2840,Entrepreneurship Capstone
CSCI-GA 2965,Heuristic Problm Solving
CSCI-GA 3033,Spec Top Computer SCI:
CSCI-GA 3033,Spec Top Computer SCI:: Bayesian Machine Learning
CSCI-GA 3033,Spec Top Computer SCI:: Big Data and ML Systems
