subject,level,course_code,course_title,credits
Admission,Lower-Division,CM110D,Posthumans,4
Admission,Lower-Division,M111,Ellingtonia,4
Admission,Lower-Division,112A,"Sunken Place: Racism, Survival, and Black Studies M115.) Seminar, four hours. Learning from CM135A. African American Art before 1900",4
Admission,Lower-Division,CM113B,"Legislative Theater for Race and Gender Lecture, four hours. Exploration of issues in outreach possibilities for sovereignty and liberation both at",Unknown Credits
Admission,Lower-Division,M142,"Race, Gender, and Punishment",4
Admission,Lower-Division,M158E,African American Nationalism in First Half,Unknown Credits
Admission,Lower-Division,M144,Ethnic Politics: African American Politics,4
Admission,Lower-Division,M159P,Constructing Race,4
Admission,Lower-Division,M148,"Politics of Struggle: Race, Solidarity, and Re- ments and screenings, with focus on questions of how",Unknown Credits
Admission,Lower-Division,M150D,"Recent African American Urban History: patterns of adaptation among black Americans. P/NP inar, three hours. Enforced requisite: course M170A",Unknown Credits
Admission,Lower-Division,M154C,"Black Experience in Latin America and Ca- as circumstances under which workers and unions ture, two and one half hours. Designed for juniors/se-",Unknown Credits
Admission,Lower-Division,CM166,Future of Work in Decarcerated California,Unknown Credits
Admission,Lower-Division,M154D,"Black Experience in Latin America and Ca- ture of jobs that are attached to current system of discussion, one hour. Overview of nonviolence and its",Unknown Credits
Admission,Lower-Division,M155,Afro-Latina/o Experience(s) in U.S.,4
Admission,Lower-Division,175,Racial and Ethnic Disparities in Healthcare,5
Admission,Lower-Division,176,"Race, Racism, and Law",4
Admission,Lower-Division,177,African Americans in Higher Education,4
Admission,Lower-Division,M178,Sociology of Caribbean,4
Admission,Lower-Division,M179A,Topics in African American Literature,5
Admission,Lower-Division,184A,"Research in Black Life, Institutions, and Cul- 189HC. Honors Contracts",1
Admission,Lower-Division,184B,"Research in Black Life, Institutions, and Cul- topics in greater depth through supplemental read-",Unknown Credits
Admission,Lower-Division,M194A,"Language, Literacy, and Human Develop-",Unknown Credits
Admission,Lower-Division,184C,"Research in Black Life, Institutions, and opment in educational contexts. Focus on relationship be applied toward major requirements. May be re-",Unknown Credits
Admission,Graduate,M200A,Advanced Historiography: Afro-American,Unknown Credits
Admission,Graduate,M200B,Political Economy of Race,4
Admission,Graduate,201A,"Survey of Black Studies Research: Themes, ducting research on hip-hop in preparation for com-",Unknown Credits
Admission,Graduate,M200C,Black Families and Relationships,4
Admission,Graduate,201B,Survey of African American Studies Research uralization of concept of human and with it uniquely,Unknown Credits
Admission,Graduate,200D,African American Women’s History,4
Admission,Graduate,201C,Research Proposal Writing Seminar,4
Admission,Graduate,M200E,Studies in Afro-American Literature,4
Admission,Graduate,M200G,"Race, Class, and Gender: Constructing alized and theorized diasporic condition of Black peo- public policy and legislative change. Students and",Unknown Credits
Admission,Graduate,203A,"Pan-Africanism: History and Historiography, creative methods are used to engage perspectives on",Unknown Credits
Admission,Graduate,CM135A,S/U or letter grading. be repeated for credit. S/U grading,Unknown Credits
Admission,Graduate,CM235B,"African American Art, 1900 to 1963",4
Admission,Graduate,CM135B,S/U or letter grading. uate students. May not be applied toward MA course,Unknown Credits
Admission,Graduate,M240,Assessment and Treatment of African Ameri- requirements. S/U grading,Unknown Credits
Admission,Graduate,241,Special Topics in Afro-American Studies,4
Admission,Graduate,M256,Topics in African American Art,4
Admission,Graduate,C266,Future of Work in Decarcerated California,4
Admission,Graduate,C266B,Future of Work in Decarcerated California II: termined by research being conducted by working,Unknown Credits
Admission,Graduate,270A,Survey of Afro-American Research,4
Admission,Graduate,C291,Variable Topics in Afro-American Studies,4
Admission,Graduate,C191,Letter grading,Unknown Credits
Admission,Graduate,375,Teaching Apprentice Practicum,1 to 4
Admission,Graduate,598,Research for and Preparation of MA Thesis,4
Admission,Graduate,19,Fiat Lux Freshman Seminars,1
Admission,Graduate,89HC,Honors Contracts,1
Admission,Graduate,99,Student Research Program,1 to 2
Admission,Upper-Division,M118,Student-Initiated Retention and Outreach Is-,Unknown Credits
Admission,Upper-Division,C120,Working in Tribal Communities: Introduction,Unknown Credits
Admission,Upper-Division,C121,Working in Tribal Communities: Preparing for standing and knowledge about current conditions and scheduled with course C278. Letter grading,Unknown Credits
Admission,Upper-Division,158,Nation Building,4
Admission,Upper-Division,C221,Letter grading,Unknown Credits
Admission,Upper-Division,C122XP,Working in Tribal Communities: Community- that has shaped political development of American In- repeated with language change and approval of inter-,Unknown Credits
Admission,Upper-Division,M161,Comparative American Indian Societies,4
Admission,Upper-Division,M123,Afro-Indigenous History: from Enslavement case studies. Letter grading. Perspectives of American Indian Life; Law and Amer-,Unknown Credits
Admission,Upper-Division,M162,Language Endangerment and Linguistic Re- ican Indian; History of American Indians (cultural area);,Unknown Credits
Admission,Upper-Division,M129,"Participatory Action Research on Youth Or- immersion, language and culture classes, master-ap- dents. Honors content noted on transcript. P/NP or",Unknown Credits
Admission,Upper-Division,CM168,Healthcare for American Indians,4
Admission,Upper-Division,C130,California Indian Strategies for Contemporary to integrate theory and practice through experiential,Unknown Credits
Admission,Upper-Division,C170,California Indian History,4
Admission,Upper-Division,C270,Letter grading,Unknown Credits
Admission,Upper-Division,M195CE,"Comparative Approaches to Community search and teaching balance disciplinary and theoret- by faculty members, other students, and project direc-",Unknown Credits
Admission,Upper-Division,197,Individual Studies in American Indian Studies. Peoples,4
Admission,Upper-Division,198A-198B-198C,Honors Research in American In- ment in Indigenous Communities,4
Admission,Upper-Division,199C,Individual Studies: Capstone Synthesis,4
Admission,Graduate,M200B,Cultural World Views of Native America,4
Admission,Graduate,M200C,Contemporary Issues of American Indians. Fieldwork,4
Admission,Graduate,M200B,Letter grading. ty-Engaged Learning,4
Admission,Graduate,267,S/U or letter grading. 274. Good Native Governance,4
Admission,Graduate,M265A-265B,Federal Indian Law I.,1 to 8
Admission,Graduate,M267,Federal Indian Law II.,1 to 8
Admission,Graduate,M267A-267B,Federal Indian Law II.,1 to 8
Admission,Graduate,C268,Healthcare for American Indians,4
Admission,Graduate,C270,California Indian History,4
Admission,Graduate,C170,S/U or letter grading. attention is paid to U.N. General Assembly’s 2007 practice their clinical skills. Students are also,Unknown Credits
Admission,Graduate,M272,Seminar: Cultural Property Law,3
Admission,Lower-Division,19,Fiat Lux Freshman Seminars,1
Admission,Lower-Division,99,Student Research Program,1 to 2
Admission,Lower-Division,199,Directed Research in Anesthesiology,2 to 8
Admission,Lower-Division,99,Student Research Program,1 to 2
Admission,Lower-Division,2,Archaeology: Introduction,5
Admission,Lower-Division,112P,Selected Topics in Historical Archaeology,4
Admission,Lower-Division,112Q,Archaeology of Chiefdoms,4
Admission,Lower-Division,112R,Cities Past and Present,4
Admission,Lower-Division,112S,Politics of Past,4
Admission,Lower-Division,113P,Archaeology of North America,4
Admission,Lower-Division,113Q,California Archaeology,4
Admission,Lower-Division,113R,Southwestern Archaeology,4
Admission,Lower-Division,114P,Ancient Civilizations of Mesoamerica,4
Admission,Lower-Division,C117,Selected Laboratory Topics in Archaeology. M124R. Evolution of Language,4
Admission,Lower-Division,114Q,"Ancient Civilizations of Andean South Ameri- repeated for credit with topic change. Concurrently guage from biological, comparative, developmental,",Unknown Credits
Admission,Lower-Division,M115,Archaeology of Egypt and Sudan,4
Admission,Lower-Division,126M,Molecular Anthropology,4
Admission,Lower-Division,M126N,"Genes, Disease, and Culture",4
Admission,Lower-Division,126P,Paleopathology,4
Admission,Lower-Division,126Q,Evolution of Genus Homo,4
Admission,Lower-Division,128P,Primate Behavior Nonhuman to Human,4
Admission,Lower-Division,M128Q,Animal Communication,4
Admission,Lower-Division,M128S,"Primate Genetics, Ecology, and Conserva- mosphere, bioeconomics of environmental contami- ferent cultural and historical contexts. Study of com-",Unknown Credits
Admission,Lower-Division,M128T,Amazon in Anthropocene,4
Admission,Lower-Division,138P,Field Methods in Cultural Anthropology,5
Admission,Lower-Division,M138Q,"Fieldwork in Asian American and Pacific Is- or letter grading. fecting change, as background to understanding con-",Unknown Credits
Admission,Lower-Division,139,Selected Topics in Cultural Anthropology,4
Admission,Lower-Division,140,Study of Social Systems,4
Admission,Lower-Division,141,Careers in Anthropology,4
Admission,Lower-Division,142P,Anthropology of Religion,4
Admission,Lower-Division,142Q,Ethnic and Religious Minorities,4
Admission,Lower-Division,143,Economic Anthropology,4
Admission,Lower-Division,C144M,Multispecies Anthropology,4
Admission,Lower-Division,M144P,Constructing Race,4
Admission,Lower-Division,154P,"Multilingualism: Communities and Histories in 158P. Global Hip Hop Culture(s): Hip Hop, Race, and M166Q. Culture Area of Maghrib (North Africa)",4
Admission,Lower-Division,154Q,Gender and Language in Society,4
Admission,Lower-Division,154SL,"Gender and Language across Communities. scheduled). Study of selected topics in linguistic an- igin of agriculture, trade, and cities. Presentation of",Unknown Credits
Admission,Lower-Division,155,"Native American Languages and Their Speak- their origins, formation, and development. Particular NP or letter grading",Unknown Credits
Admission,Lower-Division,M156,Language Endangerment and Linguistic Re- 162. Ethnography of South America,4
Admission,Lower-Division,C157P,Language and Politics,4
Admission,Lower-Division,M158,Culture of Jazz Aesthetics,4
Admission,Lower-Division,191,Variable Topics Research Seminars: Anthropol- and tracing of formation of discipline. Faculty guest 203C. Core Seminar: Sociocultural Anthropology—,Unknown Credits
Admission,Lower-Division,191HA,Beginning Seminar,4
Admission,Lower-Division,191HB,Field Methods,4
Admission,Lower-Division,191HC,Data Analysis,4
Admission,Lower-Division,191HD,Writing for Anthropology,4
Admission,Lower-Division,M201C,Archaeological Research Design,4
Admission,Lower-Division,191HE,"Writing for Publication and Conference Pre- M201B. How to design archaeological projects in genre, and critical engagement with ways that authors",Unknown Credits
Admission,Lower-Division,193,Journal Club Seminars: Anthropology,1
Admission,Lower-Division,194,Research Group Seminars: Anthropology,1
Admission,Lower-Division,195CE,"Community and Corporate Internships in search and learn about, and engage with, work being ology to implement them and to appreciate and eval-",Unknown Credits
Admission,Lower-Division,197,Individual Studies in Anthropology,2 to 8
Admission,Lower-Division,199,Directed Research in Anthropology,2 to 8
Admission,Graduate,200,Anthropology Graduate Proseminar,4
Admission,Graduate,M216,Topics in Asian Archaeology,4
Admission,Graduate,CM217,"Selected Laboratory Topics in Archaeology. tion: Community Health Sciences 132, bilingual En- three hours. Hands-on introduction to using photog-",Unknown Credits
Admission,Graduate,219,Selected Topics in Anthropological/Archaeo- as Community Health Sciences M260 and Latin Amer-,Unknown Credits
Admission,Graduate,221,"Behavior, Evolution, and Culture",2
Admission,Graduate,222,Graduate Core Seminar: Biological Anthropolo- letter grading. velopments in understanding gender systems cross-,Unknown Credits
Admission,Graduate,223,Experimental Biological Anthropology,2
Admission,Graduate,229,Current Problems in Biological Anthropology. present state of research in psychocultural studies,Unknown Credits
Admission,Graduate,230,Practice Theory and Beyond,4
Admission,Graduate,232P,Anthropology and Media Theory,4
Admission,Graduate,232Q,Ethnographies of Information Technology,4
Admission,Graduate,246,Contemporary Problems in Africa,4
Admission,Graduate,M247P,Japan in Age of Empire,4
Admission,Graduate,M247Q,"Central Asian Studies: Discipline, Methods, ideologies, policies and practices of publication and hours; laboratory, one hour. Intensive seminar/field",Unknown Credits
Admission,Graduate,247R,Modernization and Taiwan Indigenous Societ- M285B. Qualitative Research: Analysis and Dissem-,Unknown Credits
Admission,Graduate,M248,Anthropology and History of Mediterranean. combinations of just four relational models (RMs) to,Unknown Credits
Admission,Graduate,249,Selected Topics in Social Anthropology,4
Admission,Graduate,252A,Ethnography of Communication,4
Admission,Graduate,253,"Language Ideologies: Political Economy of Lecture, three hours. Primarily designed for graduate Special Studies",Unknown Credits
Admission,Graduate,495,Teaching Anthropology,2 to 4
Admission,Graduate,501,Cooperative Program,2 to 8
Admission,Graduate,596,Individual Studies for Graduate Students,2
Admission,Graduate,597,"Preparation for PhD Qualifying Examinations. economic status, race, gender, and situational iden- Gregson T. Schachner, PhD (Anthropology)",Unknown Credits
Admission,Graduate,598,Research for and Preparation of MA Capstone (such as cross-cultural misunderstanding and lan- Environment and Sustainability),Unknown Credits
Admission,Graduate,599,Research for PhD Dissertation,2 to 12
Admission,Graduate,596,Directed Individual Study,2 to 12
Admission,Graduate,597,Preparation for PhD Candidacy Examination. (4,Unknown Credits
Admission,Lower-Division,19,Fiat Lux Freshman Seminars,1
Admission,Lower-Division,30,Science in Archaeology,4
Admission,Lower-Division,89,Honors Seminars,1
Admission,Lower-Division,89HC,Honors Contracts,1
Admission,Lower-Division,99,Student Research Program,1 to 2
Admission,Upper-Division,M201A-M201B,Graduate Core Seminars: Archaeol-,Unknown Credits
Admission,Upper-Division,C110,"Archaeological Materials Identification and cient metals, aspects of extraction and alloying, corro-",Unknown Credits
Admission,Upper-Division,501,Cooperative Program,2 to 8
Admission,Upper-Division,596,Individual Studies for Graduate Students. (2 to tional techniques including physical and digi-,Unknown Credits
Admission,Upper-Division,597,Preparation for PhD Qualifying Examinations. • Use of representational techniques to docu-,Unknown Credits
Admission,Upper-Division,598,MA Paper Preparation,2 to 12
Admission,Upper-Division,599,"PhD Dissertation Research and Preparation. (2 Mohamed Sharif, MS • Demonstrated written awareness of the his-",Unknown Credits
Admission,Upper-Division,10B,Histories of Architecture and Urbanism II.,5
Admission,Upper-Division,30,Introduction to Architectural Studies,5
Admission,Upper-Division,103,Introduction to Architectural Design,6
Admission,Upper-Division,CM130,Space and Place,4
Admission,Lower-Division,1,Introduction to Design,2
Admission,Lower-Division,133,Modernism and Metropolis,5
Admission,Lower-Division,189,Advanced Honors Seminars,1
Admission,Lower-Division,141,Technology I: Projections,5
Admission,Lower-Division,191,Interventions: Urban humanities in Action environment to natural environment through whole,Unknown Credits
Admission,Lower-Division,142,Technology II: Building Materials and Methods. ical knowledge learned in Digital Humanities 151 to M271. Elements of Urban Design,4
Admission,Lower-Division,199,Directed Research or Senior Project in Archi- basic knowledge of elements and methods of urban,Unknown Credits
Admission,Lower-Division,143,Technology III: Digital Technology,5
Admission,Lower-Division,220A,Introduction to real estate development process,Unknown Credits
Admission,Lower-Division,M201,Theories of Architecture,4
Admission,Lower-Division,CM153,Introduction to Sustainable Architecture,Unknown Credits
Admission,Lower-Division,C188CS,Special Topics in Architecture and Urban,Unknown Credits
Admission,Lower-Division,289,Special Topics in Architecture and Urban De- of advanced-level studios and fourth-term standing 432. Structures II.,4
Admission,Lower-Division,C289CS,"Special Topics in Architecture and Urban ically examines final student design work) required at bending, shear, and deflections. Torsion members. In-",Unknown Credits
Admission,Lower-Division,C289T,"Special Topics in Architecture and Urban outside study, six hours. Preparation: satisfactory 433. Structures III.",4
Admission,Lower-Division,290,Special Topics in Critical Studies in Architectur-,Unknown Credits
Admission,Lower-Division,291,Theory of Architectural Programming,4
Admission,Lower-Division,M293,"Politics, Ideology, and Design",4
Admission,Lower-Division,294A-294B,Environmental Psychology,4
Admission,Lower-Division,M295,Introduction to Urban Humanities,4
Admission,Lower-Division,375,Teaching Apprentice Practicum,1 to 4
Admission,Lower-Division,415,Comprehensive Studio,6
Admission,Lower-Division,401,Advanced Topics Studio,6
Admission,Lower-Division,402,Final Advanced Topics Studio,6
Admission,Lower-Division,501,Cooperative Program,2 to 8
Admission,Lower-Division,596,"Directed Individual Research and Study in Ar- approaches to making and interpreting art, as 31B, 31C, and one course from Art History 20",Unknown Credits
Admission,Lower-Division,597,Preparation for Comprehensive Examination or gree coursework and Master of Fine Arts (MFA),Unknown Credits
Admission,Lower-Division,598,"Preparation in Architecture/Urban Design for photography, and sculpture. Students are en- least four of the following studio areas of which",Unknown Credits
Admission,Lower-Division,599,"PhD Dissertation Research in Architecture. (2 voices and craft their own practices. Art ma- 145A, 147 or 147A, 148 or 148A, 149 or 149A,",Unknown Credits
Admission,Lower-Division,11A,Painting,4
Admission,Lower-Division,11B,Photography,4
Admission,Lower-Division,11C,Printmaking,4
Admission,Lower-Division,11D,New Genres,4
Admission,Lower-Division,11E,Ceramics,4
Admission,Lower-Division,19,Fiat Lux Freshman Seminars,1
Admission,Lower-Division,99,Student Research Program,1 to 2
Admission,Lower-Division,20,Production,2
Admission,Lower-Division,100,Issues in Contemporary Art,5
Admission,Lower-Division,21A,Production: Photographic Print,2
Admission,Lower-Division,20,"Techniques and processes, including basics of be repeated for maximum of 20 units. Letter grading. lected projects in photography and related media,",Unknown Credits
Admission,Lower-Division,130,Advanced Drawing,5
Admission,Lower-Division,21B,Production: Moving Image and Sound,2
Admission,Lower-Division,31A,Rise of Modernism in Global Context,5
Admission,Lower-Division,31B,Global Modernism,5
Admission,Lower-Division,149A,Advanced Interdisciplinary Studio: Topics in M186AL-M186BL-M186CL. Beyond Mexican Mural: or other activities and led by lecture course instructor,Unknown Credits
Admission,Lower-Division,150,Senior Studio,5
Admission,Lower-Division,170,Special Topics in Studio,2 to 4
Admission,Lower-Division,C180,Seminar: Art,4
Admission,Lower-Division,C181,Exhibition and System,4
Admission,Lower-Division,150,Examination of temporary exhibition and its asso- tween faculty member and student. Tangible evidence,Unknown Credits
Admission,Lower-Division,C182,Exhibitions and Public Programs,4
Admission,Lower-Division,C183,Special Topics in Art,2
Admission,Lower-Division,M184,Chicana Art and Artists,4
Admission,Lower-Division,M185,"Whose Monument Where: Course on Public topic, conduct preparatory research, and begin prepa- particular discipline. Individual studio visits and con-",Unknown Credits
Admission,Lower-Division,M186A,"Beyond Mexican Mural: Beginning Mural- Tutorial, to be arranged. Enforced requisite: course tion, performance, video, film, and other nontraditional",Unknown Credits
Admission,Lower-Division,276,Graduate Group Critique,4
Admission,Lower-Division,277,Graduate Ceramics,2 to 8
Admission,Lower-Division,278,Interdisciplinary Studio,2 to 8
Admission,Lower-Division,279,Open Area Studio,2 to 8
Admission,Lower-Division,C280,Seminar: Art,4
Admission,Lower-Division,C180,Letter grading. politically responsible art history,Unknown Credits
Admission,Lower-Division,C281,Exhibition and System,4
Admission,Lower-Division,C282,Exhibitions and Public Programs,4
Admission,Lower-Division,C283,Special Topics in Art,2
Admission,Lower-Division,284,Special Topics Technical Studio,2 to 4
Admission,Lower-Division,C287,"Contemporary Art Collections in Los Angeles. Saloni Mathur, PhD creative project; identify and evaluate docu-",Unknown Credits
Admission,Lower-Division,375,Teaching Apprentice Practicum,1 to 4
Admission,Lower-Division,400A-400B,Visiting Artists Studio,2
Admission,Lower-Division,400C,Visiting Artists Studio,4
Admission,Lower-Division,31,"It is strongly recommended that the C125A, 125B, C126, C139B, C139C, CM141,",Unknown Credits
Admission,Lower-Division,29,Chinese Art,5
Admission,Lower-Division,30,Arts of Japan,5
Admission,Lower-Division,88,Lower-Division Seminars,4
Admission,Lower-Division,19,Fiat Lux Freshman Seminars,1
Admission,Lower-Division,20,Ancient Art,5
Admission,Lower-Division,21,Medieval Art,5
Admission,Lower-Division,22,Renaissance and Baroque Art,5
Admission,Lower-Division,23,Modern Art,5
Admission,Lower-Division,24,Architecture in Modern World,5
Admission,Upper-Division,25,Museum Studies,5
Admission,Upper-Division,27,Art and Architecture of Ancient Americas,5
Admission,Upper-Division,M110C,Ancient Egyptian Temple and City of The-,Unknown Credits
Admission,Upper-Division,115C,Romanesque Art and Architecture,4
Admission,Upper-Division,C115D,Gothic Art and Architecture,4
Admission,Upper-Division,115E,Late Gothic Art and Architecture,4
Admission,Upper-Division,C115F,Medieval Paris,4
Admission,Upper-Division,C116A,Middle Byzantine Art and Architecture,4
Admission,Upper-Division,C216A,P/NP or letter grading,4
Admission,Upper-Division,C116B,Late Byzantine Art and Architecture,4
Admission,Upper-Division,130,Selected Topics in Modern Art,4
Admission,Upper-Division,C117A,Medieval Archaeology,4
Admission,Upper-Division,C131A,"Contemporary Art, 1940s to 1950s",4
Admission,Upper-Division,C117B,Selected Topics in Medieval Art,4
Admission,Upper-Division,M118A,Medieval Armenian Art,4
Admission,Upper-Division,M118B,"Armenian Painting, 17th to 20th Century",4
Admission,Upper-Division,C118C,Selected Topics in Armenian Art,4
Admission,Upper-Division,119A,Western Islamic Art,4
Admission,Upper-Division,119B,Eastern Islamic Art,4
Admission,Upper-Division,M119C,Introduction to Islamic Archaeology,4
Admission,Upper-Division,133D,Architecture in U.S.,4
Admission,Upper-Division,M119D,Archaeology and Art of Christian and Islam- postmodern aesthetic. C128C. Selected Topics. Lec- asserting human control over natural world; its place,Unknown Credits
Admission,Upper-Division,CM135A,African American Art before 1900,4
Admission,Upper-Division,CM135B,"African American Art, 1900 to 1963",4
Admission,Upper-Division,C136A,Selected Topics in African American Art,4
Admission,Upper-Division,137,Arts of Native North America,4
Admission,Upper-Division,CM139A,Maya Art and Architecture,4
Admission,Upper-Division,C139B,Aztec Art and Architecture,4
Admission,Upper-Division,C148C,Art and Material Culture of Late Imperial,Unknown Credits
Admission,Upper-Division,C139C,Inca Art and Architecture,4
Admission,Upper-Division,C148D,Advanced Chinese Art,4
Admission,Upper-Division,C140,Selected Topics in Arts of Indigenous Ameri- hours. Study in Chinese painting and sculpture. Con- 154A. Early Art of India,4
Admission,Upper-Division,C148E,Art in Modern China,4
Admission,Upper-Division,CM141,Colonial Latin American Art,4
Admission,Upper-Division,C142A,Mexican Art in Modern Age,4
Admission,Upper-Division,C142B,Latin American Art of 20th Century,4
Admission,Upper-Division,C158A,Selected Topics in Asian Arts and Architec- M179. Cultural Heritage and Identity Representa- upper-division students under guidance of faculty,Unknown Credits
Admission,Upper-Division,C160,Art and Empire,4
Admission,Upper-Division,161,Cities in History,4
Admission,Upper-Division,C169,Selected Topics in Architectural History,4
Admission,Upper-Division,C170A,Museum Studies,4
Admission,Upper-Division,C170B,Museum Studies Practicum,2 to 4
Admission,Upper-Division,C171,Selected Topics in Museum Studies,4
Admission,Upper-Division,188SB,Limited to junior/senior USIE facilitators. Indi-,Unknown Credits
Admission,Upper-Division,C271,P/NP or letter grading,Unknown Credits
Admission,Upper-Division,C172A,Preservation of Art,4
Admission,Upper-Division,C172B,"Art: Fakes, Forgeries, and Authenticity",4
Admission,Upper-Division,212A,Topics in Aegean Art,4
Admission,Upper-Division,212B,Topics in Classical Art,4
Admission,Upper-Division,212C,Classical Art,4
Admission,Upper-Division,C214D,Selected Topics in Ancient Art,4
Admission,Upper-Division,C215A,Late Antique Art and Architecture,4
Admission,Upper-Division,C215B,Early Medieval Art and Architecture,4
Admission,Upper-Division,C215D,Gothic Art and Architecture,4
Admission,Upper-Division,C215F,Medieval Paris,4
Admission,Upper-Division,C216A,Middle Byzantine Art and Architecture,4
Admission,Upper-Division,C116A,"S/U or letter grading. three hours. Painting, sculpture, and photography in",Unknown Credits
Admission,Upper-Division,C216B,Late Byzantine Art and Architecture,4
Admission,Upper-Division,C217A,Medieval Archaeology,4
Admission,Upper-Division,C217B,Selected Topics in Medieval Art,4
Admission,Upper-Division,217C,Medieval Art,4
Admission,Upper-Division,217D,"Byzantine Art, Architecture, and Archaeology. century, tracing in detail emergence of Dada avant-",Unknown Credits
Admission,Upper-Division,C218,Selected Topics in Armenian Art,4
Admission,Upper-Division,C220A,Selected Topics in Islamic Art,4
Admission,Upper-Division,230A,"European Art, 1700 to 1900",4
Admission,Upper-Division,237,Native North American Art,4
Admission,Upper-Division,C239A,Maya Art and Architecture,4
Admission,Upper-Division,C239B,Aztec Art and Architecture,4
Admission,Upper-Division,C239C,Inca Art and Architecture,4
Admission,Upper-Division,C240A,Selected Topics in Arts of Indigenous Amer- course C148A. S/U or letter grading. three hours. Variable topics in Korean art that reflect,Unknown Credits
Admission,Upper-Division,240B,"Art and Architecture of Indigenous Americas. C248C. Art and Material Culture of Late Imperial historical perspectives, methods, and theories. Indi-",Unknown Credits
Admission,Upper-Division,C241,Colonial Latin American Art,4
Admission,Upper-Division,C242A,Mexican Art in Modern Age,4
Admission,Upper-Division,C242B,Latin American Art of 20th Century,4
Admission,Upper-Division,C248G,Gardens in Chinese Art and Culture,4
Admission,Upper-Division,M243,"Hemispheric and Transnational Approaches philosophical, artistic, social, and cultural contexts regular and/or visiting faculty members. May be re-",Unknown Credits
Admission,Upper-Division,C249A,Selected Topics in Chinese Art,4
Admission,Upper-Division,C245A,Architecture and Urbanism in Africa,4
Admission,Upper-Division,C245B,Contemporary Arts of Africa,4
Admission,Upper-Division,C269,Selected Topics in Architectural History,4
Admission,Upper-Division,10,Arts Encounters: Exploring Arts Literacy in 21st,Unknown Credits
Admission,Upper-Division,C270A,Museum Studies,4
Admission,Upper-Division,C270B,Museum Studies Practicum,2 to 4
Admission,Upper-Division,C271,Selected Topics in Museum Studies,4
Admission,Upper-Division,C171,S/U or letter grading. signed for graduate students. Required of all new other activities and led by lecture course instructor,Unknown Credits
Admission,Upper-Division,C272A,Preservation of Art,4
Admission,Upper-Division,M272B,"Principles, Practice, and Ethics in Conser- 501. Cooperative Program",2 to 8
Admission,Upper-Division,189,Advanced Honors Seminars,1
Admission,Upper-Division,598,Research for and Preparation of MA Thesis. (2 letter grading,Unknown Credits
Admission,Upper-Division,C272C,"Art: Fakes, Forgeries, and Authenticity",4
Admission,Upper-Division,C172B,S/U or letter grading. in a given subject may propose designing their,Unknown Credits
Admission,Upper-Division,"40W, 50 or 50W",A minimum of 20 units applied toward the mi-,Unknown Credits
Admission,Lower-Division,10,History of Asian Americans,5
Admission,Lower-Division,M168,Exploration of issues in retention at UCLA engagement. Satisfies Writing II requirement. Letter,Unknown Credits
Admission,Lower-Division,50,Asian American Women,5
Admission,Lower-Division,20,Contemporary Asian American Communities. grading,Unknown Credits
Admission,Lower-Division,30W,Asian American Literature and Culture,5
Admission,Upper-Division,103,Social Science Research Methods,4
Admission,Upper-Division,104A,Field Studies Methods in Asian Pacific Com- and Maxine Hong Kingston. P/NP or letter grading,Unknown Credits
