Course Code,Course Title
AAEC 6214,Food and Health Microeconomics
AAEC 6304,International Trade and Finance
AAEC 6314,Topics Applied Dev Econ
AAEC 6524,Env Theory &amp; Policy Analysis
AAEC 6534,Economic Valuation of Environmental Change
AAEC 6554,Panel Data Econometrics
AAEC 6564,Bayesian Econometric Analysis
AAEC 6984,Special Study
AAEC 7994,Research and Dissertation
ACIS 1004,Accounting Foundations
ACIS 1104,Careers in Accounting and Information Systems
ACIS 1504,Introduction to Business Analytics  and  Business Intelligence
ACIS 1984,Special Study
ACIS 2024,Small Business Accounting
ACIS 2115,Principles of Accounting
ACIS 2116,Principles of Accounting
ACIS 2124,Nonprofit Accounting and Financial Management
ACIS 2504,Introduction to Accounting Analytics
ACIS 2954,Business Study Abroad
ACIS 3115,Intermediate Financial Accounting
ACIS 3116,Intermediate Financial Accounting
ACIS 3314,Tax Impact on Decisions
ACIS 3504,Accounting Systems and Controls
ACIS 3554,"Networks, Telecommunications and Security"
ACIS 3954,Study Abroad
ACIS 4024,Information Systems Audit and Control
ACIS 4114,Advanced Financial Accounting
ACIS 4124,Governmental and Nonprofit Accounting
ACIS 4194,Analysis of Financial Statements
ACIS 4214,Cost Planning and Control
ACIS 4344,Tax for Financial Planners
ACIS 4364,Taxation of Business Operations
ACIS 4414,Financial Statement Auditing
ACIS 4444,Forensic Accounting
ACIS 4454,Artificial Intelligence in Accounting and Auditing
ACIS 4514,Database Management Systems
ACIS 4544,Applied Accounting Analytics
ACIS 4654,Accounting Analytics
ACIS 4664,Sustainability Accounting
ACIS 4684,Information Systems Security and Assurance
ACIS 4954,Study Abroad
ACIS 4974,Independent Study
ACIS 4984,Special Study
ACIS 4994,Undergraduate Research
ACIS 5014,Information Systems Audit and Control
ACIS 5064,Taxation of Business Operations &amp; Advanced Individual Income Tax
ACIS 5104,Fundamentals of Accounting
ACIS 5114G,Advanced Financial Accounting
ACIS 5124,Governmental and Nonprofit Accounting
ACIS 5144,Financial Statements for Managers
ACIS 5154,Analyzing Financials and Implementing Controls
ACIS 5194,Financial Statement Analysis
ACIS 5314,Tax Concepts and Research
ACIS 5324,Taxation of Business Entities
ACIS 5334,Advanced Corporate Tax
ACIS 5364,Multi-jurisdictional Tax Concepts
ACIS 5414,Advanced Financial Statement Auditing
ACIS 5424,Research and Analysis in Accounting
ACIS 5444,Forensic and Investigative Accounting
ACIS 5504,Information Systems Design and Database Concepts
ACIS 5524,Advanced Database Management Systems
ACIS 5534,Information Systems Analysis and Design
ACIS 5574,Healthcare Data Management
ACIS 5584,Info Sys Security &amp; Assurance
ACIS 5604,Accounting Fundamentals
ACIS 5614,Implementing Management Controls
ACIS 5624,Cybersecurity Governance and Risk Management
ACIS 5644,Applied Accounting Analytics
ACIS 5654,Advanced Accounting Analytics
ACIS 5654G,Advanced Accounting Analytics
ACIS 5664,"Environmental, Social, and Governance Accounting"
ACIS 5704,Managing Information for Executive Decision Making
ACIS 5744,Business Analytics and Visualizations
ACIS 5754,Internship in Accounting
ACIS 5894,Final Examination
ACIS 5954,Study Abroad
ACIS 5964,Field Study
ACIS 5974,Independent Study
ACIS 5984,Special Study
ACIS 5994,Research And Thesis
ACIS 6004,Accounting and Information Systems Research Methods
ACIS 6014,Behavioral Research in Accounting Seminar
ACIS 6024,Financial Capital Markets in Accounting Seminar
ACIS 6044,Seminar in Archival Audit Research
ACIS 6984,Special Study
ACIS 7994,Research And Dissertation
ADS 5064,Foundations of Data Science
ADS 5224,Communication in Team-based Data Science
ADS 5525,Statistical Learning
ADS 5526,Statistical Learning
ADS 5804,Capstone Experience I: Definition and Data
ADS 5814,Capstone Experience II: Implementation
ADV 2034,Visual Communication Strategies
ADV 2134,Introduction to Health Communication
ADV 3004,Advertising Copywriting and Brand Storytelling
ADV 3014,Account Planning and Media Buying
ADV 3024,Ethics and Social Responsibility in Advertising
ADV 3034,Topics in Public Relations and Advertising
ADV 4324,Issues in Health Communication
ADV 5204,Health Communication
ADV 5554,Health Communication Campaigns
AFST 1714,Introduction to African American Studies
AFST 1814,Introduction to African Studies
AFST 2044,Contemporary African American Theatre
AFST 2104,African American Linguistics
AFST 2144,African Religions
AFST 2204,Race and Gender in Religion and Culture
AFST 2264,"Race, Class, Gender, and Sexualities"
AFST 2275,African-American History
AFST 2276,African-American History
AFST 2354,The Civil Rights Movement
AFST 2454,Race and Racism
AFST 2644,Introduction to African-American Literature
AFST 2734,The Black Woman in the U.S.
AFST 2754,Sports and the Afro-American Experience
AFST 2774,Black Aesthetics
AFST 2974,Independent Study
AFST 2984,Special Study
AFST 2984G,Special Study
AFST 3444,African American Images in Film
AFST 3454,African American Leadership for Social Change
AFST 3954,Study Abroad
AFST 3984,Special Study
AFST 4354,Topics in Africana Studies
AFST 4704,History of African-American Theatre
AFST 4754,Internship
AFST 4774,Blacks in the Performing Arts
AFST 4964,Field Study
AFST 4974,Independent Study
AFST 4974H,Independent Study
AFST 4984,Special Study
AFST 4994,Undergraduate Research
AFST 4994H,Undergraduate Research
AFST 5234,Research Methods in Africana Studies
AFST 5314,Theories in Africana Studies
AFST 5974,Independent Study
AFST 5984,Special Study
AFST 6234,African American Identity
AFST 6984,Special Study
AHRM 1014,Design and Art for Consumers
AHRM 1104,Introduction to AHRM and Student Resources
AHRM 2014,Design for Consumers Studio
AHRM 2404,Consumer Rights
AHRM 3464,Appalachian Communities
AHRM 4984,Special Study
AHRM 5904,Project and Report
AHRM 5954,Study Abroad
AHRM 5964,Practicum
AHRM 5974,Independent Study
AHRM 5984,Special Study
AHRM 5994,Research and Thesis
AHRM 7994,Research and Dissertation
AINS 1104,Introduction to American Indian Studies
AINS 2104,Oral Traditions and Culture
AINS 2414,Identity and Inclusion in Agricultural and Life Sciences
AINS 2804,Contemporary Native American Literatures
AINS 2974,Independent Study
AINS 3174,Native American History
AINS 3184,Food Sovereignty
AINS 3304,The Languages of Native America
AINS 3684,Indigenous Peoples and World Politics
AINS 4004,Topics in American Indian Studies
AINS 4114,Indigenous Foodways
AINS 4754,Internship
AINS 4964,Field Study
AINS 4974,Independent Study
AINS 4984,Special Study
AINS 4994,Undergraduate Research
AINS 5984,Special Study
AIS 2404,Introduction to Biomedical Research
AIS 2984,Special Study
AIS 2994,Undergraduate Research
AIS 3984,Special Study
AIS 4404,IHSR Discussing the Scientific Literature
AIS 4414,IHSR Presenting Scientific Research
AIS 4984,Special Study
AIS 4994,Undergraduate Research
AIS 5984,Special Study
ALCE 2094,Introduction to Metal Fabrication
ALCE 2294,Animal Structures and Environment
ALCE 2414,Identity and Inclusion in Agricultural and Life Sciences
ALCE 2484,Engine and Power Train Technology
ALCE 2964,Field Study
ALCE 2974,Independent Study
ALCE 2984,Special Study
ALCE 3004,Educational Programs in Agricultural and Life Sciences
ALCE 3014,Leadership Effectiveness for Professionals in Agricultural Organizations
ALCE 3084,Agricultural Metal Fabrication
ALCE 3494,Advanced Welding Technology
ALCE 3624,Communicating Ag and Life Sciences in Writing
ALCE 3634,Communicating Ag and Life Sciences in Speaking
ALCE 3814,Life Sciences Communication &amp; Public Engagement
ALCE 3900,Bridge Experience
ALCE 3954,Study Abroad
ALCE 4004,Teaching Adults in Agriculture
ALCE 4014,Introduction to Cooperative Extension
ALCE 4024,Managing Agricultural Supervised Occupational Experience Project
ALCE 4034,Methods of Planning Education Programs for Agriculture
ALCE 4044,Agricultural Sciences Seminar
ALCE 4054,Internship in Coop Extension
ALCE 4064,Ag Mechanical Lab Management
ALCE 4234,Curriculum for Career and Occupational Education
ALCE 4244,Teaching and Training Methods in Agricultural and Life Sciences
ALCE 4254,Adult Vocational&amp;Technical Ed
ALCE 4304,Community Education and Development
ALCE 4744,"Methods, Materials and Practices in Instruction"
ALCE 4754,Internship in Education
ALCE 4884,Youth Program Management
ALCE 4964,Field Study/Practicum
ALCE 4974,Independent Study
ALCE 4984,Special Study
ALCE 4994,Undergraduate Research
ALCE 5014,Non-Formal Teaching  and  Learning: Principles  and  Methods
ALCE 5044,Program and Curriculum Design in Agricultural and Extension Education
ALCE 5054,STEM Integration in Agricultural Education
ALCE 5074,"Foundations of Agricultural, Leadership, and Community Education"
ALCE 5104,Research Applications in Agricultural and Extension Education
ALCE 5114,Serving Intnl Ag &amp; Education
ALCE 5154,Partnerships and Volunteerism
ALCE 5204,Evaluation of Extension and Outreach Programs
ALCE 5224,"Team Science, Cooperation, and Interdisciplinary Work"
ALCE 5304G,Community Education and Development
ALCE 5564,International Agriculture  and  Diplomacy
ALCE 5614,Politics and Practice of Food Security and Social Justice
ALCE 5704,Systems Thinking Pedagogy and Praxis
ALCE 5754,Internship in Ag&amp;Extension Ed
ALCE 5814,"Topics in Agricultural, Leadership, and Community Education"
ALCE 5904,Project and Report
ALCE 5954,Study Abroad
ALCE 5964,Field Study
ALCE 5974,Independent Study
ALCE 5984,Special Study
ALCE 5994,Research and Thesis
ALCE 6014,Theoretical Foundations of Non-Formal Learning
ALCE 6234,Theory  and  Practice of Community-Based Participatory Research
ALCE 6415,Introduction to Graduate Teaching Scholars (GTS)
ALCE 6416,Introduction to Graduate Teaching Scholars (GTS)
ALCE 6425,University Teaching Development (GTS)
ALCE 6426,University Teaching Development (GTS)
ALCE 6435,Engagement in University Teaching (GTS)
ALCE 6436,Engagement in University Teaching (GTS)
ALCE 6974,Independent Study
ALCE 6984,Special Study
ALCE 7964,Field Studies
ALCE 7994,Research and Dissertation
ALS 1004,"Agriculture, the Arts and Society"
ALS 1014,Gardens as Art
ALS 1024,Digitized Agriculture
ALS 1034,The Aesthetics of Food
ALS 1234,CALS First Year Seminar
ALS 1984,Special Study
ALS 1984L,Special Study
ALS 2204,Sustainable Food Systems
ALS 2304,Comparative Animal Physiology and Anatomy
ALS 2404,Biotechnology in A Global Society
ALS 2504,Animals in Society
ALS 2604,Intro to Interdisciplinary Research Practices
ALS 2964,Field Study
ALS 2974,Independent Study
ALS 2984,Special Study
ALS 2984L,Special Study
ALS 2994,Undergraduate Research
ALS 3104,Animal Breeding and Genetics
ALS 3204,Animal Nutrition and Feeding
ALS 3304,Physiology of Reproduction
ALS 3314,Physiology of Reproduction Lab
ALS 3404,Ecological Agriculture: Theory and Practice
ALS 3954,Study Abroad
ALS 3984,Special Study
ALS 4204,Concepts in Community Food Systems
ALS 4214,Capstone: Civic Agriculture and Food Systems
ALS 4224,"Food, Agriculture, and Society Capstone Seminar"
ALS 4244,Global Food Security and Health Capstone Experience
ALS 4554,Neurochemical Regulation
ALS 4574,Social Behavior of Birds and Mammals
ALS 4614,"Watershed Assessment, Management, and Policy"
ALS 4714,Global Seminar
ALS 4814,Nutritional Neuroscience
ALS 4964,Field Study/Practicum
ALS 4974,Independent Study
ALS 4984,Special Study
ALS 4994,Undergraduate Research
ALS 4994H,Undergraduate Research
ALS 5024,Building Multicultural Competence in Agriculture and Life Sciences
ALS 5094,Effective Grant Writing for the Biomedical aand Behavioral Sciences
ALS 5104,Communicating Research and Leadership in Agriculture and Life Sciences
ALS 5116,Nutrition
ALS 5134,Community-Based Applications of Qualitative Inquiry
ALS 5204,Research and Information Systems in the Life Sciences
ALS 5214,Information Systems and Research in the Life Sciences
ALS 5224,Introduction to Genomic Data Science
ALS 5234,Advanced Concepts in Community Food Systems
ALS 5304,Advanced Physiology and Anatomy of Domestic Animals
ALS 5324,Research Ethics in Agriculture and Life Sciences
ALS 5334,Professional Communication Agriculture  and  Life Sciences
ALS 5404,Management and Analysis of Agricultural Experiments
ALS 5904,Project and Report
ALS 5954,Study Abroad
ALS 5964,Field Work/Practicum
ALS 5974,Independent Study
ALS 5984,Special Study
ALS 6314,Endocrinology
ALS 6984,Special Study
ALS 7964,Field Studies
AOE 2024,Thin-Walled Structures
AOE 2054,Electronics for Aerospace and Ocean Engineers
AOE 2074,Computational Methods
AOE 2104,Introduction to Aerospace Engineering and Aircraft Performance
AOE 2114,Fundamentals of Flight Training AOE
AOE 2204,Introduction to Ocean Engineering
AOE 2664,Exploration of the Space Environment
AOE 2974,Independent Study
AOE 2984,Special Study
AOE 2994,Undergraduate Research
AOE 2994H,Undergraduate Research
AOE 3014,Fluid Dynamics for Aerospace and Ocean Engineers
AOE 3034,System Dynamics and Control
AOE 3044,Boundary Layer and Heat Transfer
AOE 3054,Experimental Methods
AOE 3114,Aerodynamics &amp; Compressibility
AOE 3124,Aerospace Structures
AOE 3134,Air Vehicle Dynamics
AOE 3144,Space Vehicle Dynamics
AOE 3154,Astromechanics
AOE 3164,Aerothermodynamics and Propulsion Systems
AOE 3214,Ocean Wave Mechanics
AOE 3224,Ocean Structures
AOE 3234,Ocean Vehicle Dynamics
AOE 3264,Thermodynamics and Marine Propulsion
AOE 3354,Avionics Systems
AOE 3564,Principles of Project Design and Management
AOE 3804,Special Topics in Aircraft Systems
AOE 3984,Special Study
AOE 4004,State-Space Control
AOE 4024,An Introduction to the Finite Element Method
AOE 4034,Introduction to Mechanical and Structural Vibrations
AOE 4054,Stability of Structures
AOE 4064,Fluid Flows in Nature
AOE 4065,Air Vehicle Design
AOE 4066,Air Vehicle Design
AOE 4084,Engineering Design Optimization
AOE 4105,Experiments for Aerospace Design
AOE 4106,Experiments for Aerospace Design
AOE 4114,Applied Computational Aerodynamics
AOE 4124,Configuration Aerodynamics
AOE 4140,Spacecraft Dynamics and Control
AOE 4165,Space Vehicle Design
AOE 4166,Space Vehicle Design
AOE 4174,Spacecraft Propulsion
AOE 4205,Experiments for Ocean Vehicle Design
AOE 4206,Experiments for Ocean Vehicle Design
AOE 4224,Atmospheric and Ocean Vehicle Model Identification
AOE 4234,Aerospace Propulsion Systems
AOE 4244,Naval and Marine Engineering Systems Design
AOE 4264,Principles of Naval Engineering
AOE 4265,Ocean Vehicle Design
AOE 4266,Ocean Vehicle Design
AOE 4274,Intermediate Ship Structural Analysis
AOE 4324,Energy Methods for Structures
AOE 4334,Ship Dynamics
AOE 4344,Dynamics of High-Speed Marine Craft
AOE 4365,Launch Vehicle Design
AOE 4366,Launch Vehicle Design
AOE 4404,Applied Numerical Methods
AOE 4414,Computer Aided Space Mission Analysis
AOE 4434,Introduction to Computational Fluid Dynamics
AOE 4454,Spacecraft Position/Navigation/Timing and Orbit Determination
AOE 4464,Introduction to Global Positioning System (GPS) Theory and Design
AOE 4474,Propellers and Turbines
AOE 4514,Nonlinear Dynamics and Chaos
AOE 4604,"Booster Design, Fabrication, and Operation"
AOE 4614,Aerospace Materials and Modeling Techniques
AOE 4624,Foundations of Aero and Hydroacoustics
AOE 4634,Wind Turbine Technology and Aerodynamics
AOE 4654,Space Weather: The Solar Wind and Magnetosphere
AOE 4674,Upper Atmosphere/Ionosphere Space Weather
AOE 4804,"Special Topics in Dynamics, Control, and Estimation"
AOE 4814,Special Topics in Propulsion
AOE 4824,Special Topics in Energy and the Environment
AOE 4864,Special Topics in Space Engineering
AOE 4974,Independent Study
AOE 4984,Special Study
AOE 4994,Undergraduate Research
AOE 4994H,Undergraduate Research
AOE 5024,Vehicle Structures
AOE 5034,Mechanical and Structural Vibrations
AOE 5054,Elastic Stability
AOE 5064,Structural Optimization
AOE 5074,Advanced Ship Structural Analysis
AOE 5084,Submarine Design
AOE 5104,Advanced Aero and Hydrodynamics
AOE 5114,High Speed Aerodynamics
AOE 5124,Aero and Hydroacoustics
AOE 5144,Boundary Layer Theory and Heat Transfer
AOE 5154,Data Analysis in Fluid Dynamics
AOE 5164,Fluid-Structure Interaction
AOE 5174,Introduction to Plasma Science
AOE 5184,High Speed Propulsion
AOE 5204,Vehicle Dynamics and Control
AOE 5224G,Advanced Atmospheric and Ocean Vehicle Model Identification
AOE 5234,Orbital Mechanics
AOE 5304,Advanced Naval Architecture
AOE 5314,Naval and Marine Engineering Systems Design
AOE 5315,Naval Ship Design
AOE 5316,Naval Ship Design
AOE 5324,Principles of Naval Engineering with Applications
AOE 5334,Advanced Ship Dynamics
AOE 5354,Industrial Robotics
AOE 5404,Numerical Methods for Aerospace and Ocean Engineering
AOE 5434G,Advanced Introduction to Computational Fluid Dynamics
AOE 5444G,Advance Dynamics of High Speed Marine Craft
AOE 5604,Modeling Composites Damage
AOE 5614,Modeling Multifunct Composites
AOE 5634,Aerospace and Ocean Materials and Modeling Techniques
AOE 5654,Intro to Space Science I
AOE 5664,Upper Atmosphere and Ionosphere
AOE 5704,Sensors and Algorithms for Autonomous Navigation
AOE 5734,Convex Optimization
AOE 5744,Linear Systems Theory
AOE 5754,Applied Linear Systems
AOE 5764,Applied Linear Control
AOE 5774,Nonlinear Systems Theory
AOE 5784,Model-Based Estimation and Kalman Filtering
AOE 5894,Final Examination
AOE 5904,Project and Report
AOE 5944,Seminar
AOE 5974,Independent Study
AOE 5984,Special Study
AOE 5994,Research and Thesis
AOE 6064,Reliability-Based Design Optimization
AOE 6114,Transonic Aerodynamics
AOE 6124,Hypersonic Aerodynamics
AOE 6145,Computational Fluid Dynamics
AOE 6154,Turbulent Shear Flow
AOE 6174,Computational Plasma Dynamics
AOE 6204,Adv Vehicle Dynamics &amp; Control
AOE 6234,Advanced Orbital Mechanics
AOE 6254,Turbulence Modeling and Simulation
AOE 6314,Advanced Dynamics
AOE 6434,Computational Fluid Dynamics and Heat Transfer
AOE 6444,Verification and Validation in Scientific Computing
AOE 6744,Linear Control Theory
AOE 6774,Adaptive Control Systems
AOE 6974,Independent Study
AOE 6984,Special Study
AOE 7994,Research and Dissertation
APS 1704,Introduction to Appalachian Studies
APS 2124,Music Traditions in Appalachia
APS 2404,Folk Cultures in Appalachia
APS 2434,The Cultural Politics of Music in Appalachia
APS 2974,Independent Study
APS 2974H,Independent Study
APS 2984,Special Study
APS 3124,Societal Health in North America
APS 3214,History of Appalachia
APS 3464,Appalachian Communities
APS 3624,Appalachian Literature
APS 3984,Special Study
APS 4034,Appalachian Languages and Cultures
APS 4094,Appalachian Community Research
APS 4414,Issues in Appalachian Studies
APS 4964,Field Study
APS 4974,Independent Study
APS 4974H,Independent Study
APS 4984,Special Study
APS 4994,Undergraduate Research
APS 4994H,Undergraduate Research
APS 5004,Foundations of Appalachian Studies
APS 5974,Independent Study
APS 5984,Special Study
APSC 1454,Introduction to Animal  and  Poultry Science
APSC 1464,Animal and Poultry Science Laboratory
APSC 1504,Animal and Poultry Sciences First Year Experience
APSC 1524,Beginning Equitation
APSC 1984,Special Study
APSC 2004,Animal and Poultry Sciences Seminar
APSC 2104,Poultry Laboratory
APSC 2114,Livestock Management and Handling
APSC 2124,Horse Handling Practicum
APSC 2164,Companion and Laboratory Animal Care and Handling
APSC 2424,Introduction to the Equine Industry
APSC 2524,Intermediate Equitation
APSC 2574,Domesticated Animal Behavior
APSC 2624,Beginning Equitation Over Fences
APSC 2714,Design of Precision Animal Agricultural Systems
APSC 2824,Equine Conformation and Biomechanics
APSC 2964,Field Study
APSC 2974,Independent Study
APSC 2984,Special Study
APSC 2994,Undergraduate Research
APSC 3024,Equine Science and Management
APSC 3064,Companion and Laboratory Animal Science
APSC 3134,Animal Agriculture and the Environment
APSC 3214,Principles of Meat Science
APSC 3224,Meat Science Laboratory
APSC 3254,Animal Products
APSC 3334,Animal Welfare and Bioethics
APSC 3434,Host Microbe Interactions
APSC 3504,Poultry Science and Health
APSC 3524,Intermediate Equitation Over Fences
APSC 3624,Advanced Equitation Over Fences
APSC 3684,Special Topics in Animal and Poultry Sciences
APSC 3754,Principles of Livestock Evaluation
APSC 3764,Livestock Merchandising
APSC 3824,Equine Training and Marketing
APSC 3954,Study Abroad
APSC 3964,Field Study
APSC 3974,Independent Study
APSC 3984,Special Study
APSC 4004,Contemporary Issues in the Animal Sciences
APSC 4054,Genomics
APSC 4064,Issues in Companion Animal Management
APSC 4124,Equine Health and Disease
APSC 4204,Advanced Equine Nutrition and Feeding
APSC 4224,Equine Exercise Physiology
APSC 4264,Companion and Exotic Animal Nutrition
APSC 4304,Principles  and  Practices of Bovine Reproduction
APSC 4324,Equine Reproduction and Neonatal Care
APSC 4404,Commercial Poultry Enterprise Management
APSC 4414,Beef and Sheep Production and Industry
APSC 4424,Horse Production and Management
APSC 4444,Swine Production
APSC 4464,Companion and Laboratory Animal Health and Management
APSC 4514,Animal Growth and Development
APSC 4554,Advanced Livestock Enterprise Management
APSC 4624,Topics in Equine Science
APSC 4774,Nutrition and the Animal Brain
APSC 4954,Capstone Experience in Animal and Poultry Sciences
APSC 4964,Field Study
APSC 4974,Independent Study
APSC 4974H,Independent Study
APSC 4984,Special Study
APSC 4994,Undergraduate Research
APSC 4994H,Undergraduate Research
APSC 5004,Graduate Seminar
APSC 5014,Professional Development of Graduate Students
APSC 5114,Advanced Ruminant Nutrition and Feeding
APSC 5134,Applied Behavior Analysis for Animal Behaviorists
APSC 5154,Behavioral Biology of Domesticated Animals
APSC 5164,Ethology  and  Applied Ethology of Domesticated Animals
APSC 5184,Research Methods for Animal Behaviorists
APSC 5224,Animal Welfare Assessment
APSC 5234,Applications of Applied Animal Behavior
APSC 5244,Applied Equine Behavior
APSC 5254,Managed Animal Ethology  and  Welfare
APSC 5264,Animal Cognition
APSC 5334,Adjunctive Approaches to Behavior Change in Animals
APSC 5344,Mammalian Embryology
APSC 5374,Animal Behavior Consulting
APSC 5404,Reproductive Technologies in Cattle
APSC 5444,Contemp Issues Reprod Biology
APSC 5514G,Advanced Animal Growth and Development
APSC 5524,Advanced Muscle Biology
APSC 5534,Biosensors
APSC 5554,Mammal Genome Biology
APSC 5604,Writing Effective Fellowship Grant Applications
APSC 5894,Final Examination
APSC 5904,Project and Report
APSC 5974,Independent Study
APSC 5984,Special Study
APSC 5994,Research and Thesis
APSC 6984,Special Study
APSC 7994,Research and Dissertation
ARBC 1105,Elementary Arabic
ARBC 1106,Elementary Arabic
ARBC 1114,Accelerated Elementary Arabic
ARBC 2105,Intermediate Arabic
ARBC 2106,Intermediate Arabic
ARBC 2774,Arab Culture and Civilization
ARBC 2974,Independent Study
ARBC 2984,Special Study
ARBC 3105,Advanced Arabic
ARBC 3106,Advanced Arabic
ARBC 3124,Arabic for Oral Proficiency
ARBC 3274,War and Arab Culture
ARBC 3304,Modern Arabic Literature in Translation
ARBC 3474,Topics in Arab Cinema
ARBC 3514,Media Arabic
ARBC 3644,Religion in the Middle East
ARBC 3954,Study Abroad
ARBC 3984,Special Study
ARBC 4104,"Advanced Grammar, Conversation, and Cultural Competency"
ARBC 4154,Advanced Composition and Stylistics
ARBC 4334,Research in Arab Culture
ARBC 4974,Independent Study
ARBC 4984,Special Study
ARBC 4994,Undergraduate Research
ARCH 0984,Special Study
ARCH 1004,Understanding Community through your Campus
ARCH 1015,Foundation Design Laboratory
ARCH 1016,Foundation Design Laboratory
ARCH 1024,Innovative Design Thinking
ARCH 1034,Seeing Design: Transforming Observations
ARCH 1044,Life in the Built Environment
ARCH 1115,Qualifying Design Laboratory
ARCH 1116,Qualifying Design Laboratory
ARCH 1984,Special Study
ARCH 2004,"Architecture and Culture: Buildings, Equity and Climate"
ARCH 2015,Architecture II
ARCH 2016,Architecture II
ARCH 2034,Art of Building
ARCH 2044,Building Materials
ARCH 2114,Sustainability by Design
ARCH 2974,Independent Study
ARCH 2984,Special Study
ARCH 3015,Architecture III
ARCH 3016,Architecture III
ARCH 3054,Building Analysis
ARCH 3065,Building Materials and Assemblies
ARCH 3066,Building Materials and Assemblies
ARCH 3115,Histories of Architecture
ARCH 3116,Histories of Architecture
ARCH 3204,Topics Modules in Architecture History &amp; Theory
ARCH 3214,Topic Modules in Building Science and Technology
ARCH 3224,Topics Modules in Architectural Media and Methods
ARCH 3234,Topics Modules in Architecture and Praxis
ARCH 3304,Topics in Architecture History &amp; Theory
ARCH 3404,Topics in Building Science and Technology
ARCH 3504,Topics in Architectural Media and Methods
ARCH 3604,Topics in Architecture and Praxis
ARCH 3900,Bridge Experience
ARCH 3954,Study Abroad
ARCH 3974,Independent Study
ARCH 3984,Special Study
ARCH 4004,Architecture IV - Option Lab
ARCH 4014,Architecture IV - Integrative Design
ARCH 4034,Building Cities
ARCH 4044,Professional Practice in Architecture
ARCH 4055,Environment and Building Systems
ARCH 4056,Environment and Building Systems
ARCH 4075,Building Structures
ARCH 4076,Building Structures
ARCH 4114,"Ideas, Concepts, and Representations of Architecture"
ARCH 4124,Advanced Topics in Architecture History &amp; Theory
ARCH 4144,Advanced Building Structures I
ARCH 4154,Advanced Building Structures II
ARCH 4224,Advanced Topics in Building Science and Technology
ARCH 4324,Advanced Topics in Architectural Media and Methods
