"course_code","course_name","course_level","course_hours","course_description"
"A&VS 298","Honors","Undergraduate","1-3 Hours","PR: Students in Honors Program and consent by the honors director. Independent reading, study, or research."
"A&VS 330","Equine Facility Design and Management","Undergraduate","3 Hours","PR: A&VS 281. Design of safe, functional equine facilities. Business, legal, environmental, and other issues involved with running an equine facility."
"A&VS 343","Equine Hoof and Limb","Undergraduate","3 Hours","Students in this course gain in-depth knowledge of the anatomy and physiology of the equine hoof and limb. Students will study tendons, ligaments, bones, soundness, hoof structure, shoeing principles, laminitis, and navicular disease."
"A&VS 370L","Riding Theory and Techniques Laboratory","Undergraduate","3 Hours","PR: A&VS 282 or A&VS 282L with a minimum grade of C-. Advanced methods and techniques for performance in hunter and stock horse events; anatomical, physiological, and psychological implications; preparation of horses and riders."
"A&VS 372","Careers in the Equine Industry","Undergraduate","3 Hours","Provides an in-depth understanding of the careers available in the equine industry and prepares students to enter the job market."
"A&VS 393","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"A&VS 402","Values and Ethics","Undergraduate","3 Hours","PR: Senior standing or consent.  Current ethical aspects in agriculture and forestry and their impact on societal values."
"A&VS 404","Career Development","Undergraduate","1 Hour","Identification of career opportunities and preparation of employment applications. Development of personal skills for interviewing for employment."
"A&VS 409","Food Animal Diseases","Undergraduate","3 Hours","PR: Junior and above or consent.  General discussion of diseases, disease processes and management affecting farm animals excluding horses."
"A&VS 410L","Calving Management Laboratory","Undergraduate","3 Hours","PR:ANNU 260and Junior standing. Application of current management practices for calving beef cows for early calf management and for service sire selection."
"A&VS 411L","Dairy Heifer Management Laboratory","Undergraduate","3 Hours","PR:ANNU 260and Junior standing. Application of current management practices for raising dairy calves from birth through establishment of pregnancy."
"A&VS 412L","Lambing Management Laboratory","Undergraduate","1 Hour","PR:ANNU 260and Junior standing. Application of current management practices for lambing ewes and lamb management from birth through first months of life."
"A&VS 413","Camelid Physiology & Management","Undergraduate","3 Hours","PR: Junior standing andANNU 260.  Application of current management practices for alpaca management."
"A&VS 425L","Principles of Therapeutic Horsemanship 1 Laboratory","Undergraduate","3 Hours","Explores the history, organization, principles, and procedures of an equine assisted activities and therapies program with the use of therapy horses for persons with disabilities."
"A&VS 426L","Principles of Therapeutic Horsemanship 2 Laboratory","Undergraduate","3 Hours","PR: A&VS 425 or A&VS 425L. Expand knowledge of therapeutic horsemanship based on their learning from A&VS 425. Criteria for becoming a professional in equine assisted activities and therapy fields will be emphasized."
"A&VS 435","Marketing Registered Livestock","Undergraduate","3 Hours","PR: Junior standing or consent.  Application of strategies for marketing animals in the registered livestock industry in West Virginia and the surrounding states."
"A&VS 451","Current Literature in Animal Science","Undergraduate","3 Hours","PR:ANNU 260.  Evaluation of current research in animal science; its application to production and management. Note: Previously listed as ANPR 250."
"A&VS 461","Racehorse Industry Tour","Undergraduate","3 Hours","Travel course designed to introduce students to the Thoroughbred and Standard-bred Racing Industries, including career opportunities and current events within it."
"A&VS 462","Performance Horse Industry Tour","Undergraduate","3 Hours","Travel course designed to introduce students to the various aspects of the Performance Horse Industry, including career opportunities and current events within it."
"A&VS 463","Equine Events Management","Undergraduate","3 Hours","Planning, marketing, facility preparations and horse show management necessary to run a successful nationally-sanctioned equine event."
"A&VS 476L","Animal Assisted Activities and Therapy Laboratory","Undergraduate","3 Hours","PR: A&VS 276. Lecture and laboratory sessions focus on Animal Assisted Activities and Therapies. Students will learn to critically evaluate the research in this area and will learn hands-on about implementing Animal Assisted Activities with varying populations."
"A&VS 480","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480, the student must: (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480A","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480A, the student must: (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480B","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480B, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtained approval from the instructor assigned the course responsibility."
"A&VS 480C","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480C, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480D","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480D, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480E","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480E, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtained approval from the instructor assigned the course responsibility."
"A&VS 480F","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480F, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480G","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480G, the student must (1) be in good standing, (2)obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480H","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480H, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480I","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480I, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480J","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480J, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480K","Assigned Topics","Undergraduate","1-6 Hours","To be eligible to register in A&VS 480K, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480L","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480L, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480M","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480M, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480N","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480N, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480O","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register for A&VS 480O, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480P","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480P, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480Q","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480Q, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480R","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480R, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480S","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480S. the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480T","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480T, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480U","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480U, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480V","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480V, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480W","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480W, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480X","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480X, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480Y","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480Y, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 480Z","Assigned Topics","Undergraduate","1-4 Hours","To be eligible to register in A&VS 480Z, the student must (1) be in good standing, (2) obtain approval of the instructor supervising the topic, and (3) obtain approval from the instructor assigned the course responsibility."
"A&VS 481L","Volunteerism for Equine Assisted Activities and Therapies Laboratory","Undergraduate","3 Hours","Discuss and demonstrate the importance of the role of the volunteer in the equine assisted activities and therapies fields."
"A&VS 482","Practicum for Equine Assisted Activities and Therapies Instructor Certification","Undergraduate","3 Hours","Prepares therapeutic riding instructors for certification within the guidelines fo the Professional Association of Therapeutic Horsemanship (PATH)."
"A&VS 486L","Advanced Service Dog Training Laboratory","Undergraduate","3 Hours","PR: A&VS 276 with a minimum grade of C-. Students will train advanced commands to psychiatric and mobility service dogs in training. Topics covered include dog selection, temperament testing, training methods, and legal issues."
"A&VS 490","Teaching Practicum","Undergraduate","1-3 Hours","PR: Consent. Teaching practice as a tutor or assistant."
"A&VS 491","Professional Field Experience","Undergraduate","1-18 Hours","PR: Consent. (May be repeated up to a maximum of 18 hours.) Prearranged experiential learning program, to be planned, supervised, and evaluated for credit by faculty and field supervisors. Involves temporary placement with public or private enterprise for professional competence development."
"A&VS 492","Directed Study","Undergraduate","1-3 Hours","Directed study, reading, and/or research."
"A&VS 493","Special Topics","Undergraduate","6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"A&VS 494","Seminar","Undergraduate","1-3 Hours","PR: Consent. Presentation and discussion of topics of mutual concern to students and faculty."
"A&VS 495","Independent Study","Undergraduate","1-6 Hours","Faculty-supervised study of topics not available through regular course offerings."
"A&VS 496","Senior Thesis","Undergraduate","1-3 Hours","PR: Consent."
"A&VS 497","Research","Undergraduate","1-6 Hours","Independent research projects."
"A&VS 498","Honors","Undergraduate","1-3 Hours","PR: Students in honors program and consent by the honors director.  Independent reading, study or research."
"A&VS 499","Global Service Learning","Undergraduate","3 Hours","PR: Consent. Theory and practice of global service-learning. The main objective will be to pair the experiential aspects of meaningful and sustained service in the host community with work from the student’s anchor course by offering a methodological framework for cultural immersion and community service as well as adding to the content of the anchor course."
"ACCT 201","Principles of Accounting 1","Undergraduate","3 Hours","This course introduces basic concepts of financial and managerial accounting with emphasis on how accounting reports are used by internal and external users."
"ACCT 202","Principles of Accounting 2","Undergraduate","3 Hours","PR:ACCT 201with a minimum grade of C-. This course introduces financial accounting concepts and reporting with an emphasis on measuring, recording and reporting transactions for business entities."
"ACCT 293","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"ACCT 298","Honors","Undergraduate","1-3 Hours","PR: Students in Honors Program and consent by the honors director. Independent reading, study, or research."
"ACCT 311","Intermediate Accounting","Undergraduate","3 Hours","PR: WVU sections requireACCT 201andACCT 202with a grade of B- or better in each and PR or CONC:ACCT 321, WVUIT sections requireACCT 201andACCT 202with a grade of C- or better. Development of accounting theory and practice, with emphasis on asset accounting."
"ACCT 312","Intermediate Accounting","Undergraduate","3 Hours","PR:ACCT 311with a grade of C- or better. Theory and practice of accounting for liabilities, revenue recognition, and stockholders’ equity; financial statement preparation."
"ACCT 321","Introduction to Accounting Systems","Undergraduate","3 Hours","PR:ACCT 202with a minimum grade of B- and (CS 101orBCOR 121) with a minimum grade of C-. Manual and automated accounting procedures emphasizing the accounting cycle, internal controls, and data analysis software certification."
"ACCT 322","Accounting Systems","Undergraduate","3 Hours","PR:ACCT 321andBCOR 330with a minimum grade of C- in each. Analysis of accounting data using current technologies to assist in accounting and business decisions."
"ACCT 331","Managerial Accounting","Undergraduate","3 Hours","PR:ACCT 201with a minimum grade of C-. This course is intended for non-accounting majors. Analysis of internal accounting practices with emphasis on use of data for performance evaluation, control, motivation, through accounting systems, and decision-making. (No credit available to students having credit forACCT 431andACCT 432.)."
"ACCT 393","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"ACCT 415","Advanced Accounting","Undergraduate","3 Hours","PR:ACCT 312and (ACCT 321orACCT 323). Accounting for business combinations, consolidations, foreign currency translation, governmental and nonprofit entities, and equity method investment accounting."
"ACCT 425","Accounting Analytics","Undergraduate","3 Hours","PR:ACCT 311andACCT 321with a minimum grade of C- in each. This course introduces students to higher order business analytics methods, and topics that impact the way businesses make decisions that are relevant to the field of accounting. Topics such as data collection, data technologies, and data mining are covered focusing on impacting business outcomes. Cannot get credit for bothACCT 425andBUDA 450."
"ACCT 426","Analytics for Accounting Analysis","Undergraduate","3 Hours","PR: (ACCT 425orBUDA 450) with a minimum grade of C-. This course enables students to use higher order concepts and models in data mining that impact business that are relevant to the field of accounting. Concepts such as supervised and unsupervised learning will be covered, with a focus on business outcomes, cases, and communication. Cannot get credit forACCT 426andBUDA 451."
"ACCT 427","Accounting Information Systems Audit","Undergraduate","3 Hours","PR:ACCT 321with a minimum grade of C-. Course provides an overview of the information technology (IT) audit function from an information systems administration perspective. This course will examine in detail how to build and manage an effective IT audit operation capable of analyzing, assessing, and evaluating physical, technical, and operational cybersecurity controls using information systems auditing standards and frameworks."
"ACCT 431","Cost Management","Undergraduate","3 Hours","PR:ACCT 202with a minimum grade of B-.   Strategic cost management concepts and techniques used for decision making, control, and product and service costing."
"ACCT 440","Introduction to Income Taxation Accounting","Undergraduate","3 Hours","PR:ACCT 311with a minimum grade of C-. This course provides and introduction and overview of overview of U.S. federal income taxation of individuals, partnerships, corporations, and property transactions."
"ACCT 441","Individual Income Tax Accounting","Undergraduate","3 Hours","PR:ACCT 440with a minimum grade of C-. An advanced study of Federal income taxation of individuals, flow-through entities, and property transactions."
"ACCT 442","Entity Income Tax Accounting","Undergraduate","3 Hours","PR: WVU sections requireACCT 440with a minimum grade of C-, WVUIT sections requireACCT 441with a minimum grade of C-. An advanced study of Federal income taxation of corporations, estates, trusts, exempt organizations, multi-state and international transactions, and financial reporting obligations related to tax transactions."
"ACCT 445","Corporate Financial Management","Undergraduate","3 Hours","PR: (ACCT 311orACCT 321) with a minimum grade of C-. This course provides students with the essential competencies associated with corporate financial management / controllership, including cash management, performance measurement, budgeting, fraud prevention and establishing codes for corporate ethical behavior."
"ACCT 446","Internal Auditing","Undergraduate","3 Hours","PR: (ACCT 311orACCT 321) with a minimum grade of C-. This course provides students with the fundamental knowledge and skills needed to succeed as entry-level internal audit professionals."
"ACCT 451","Auditing Theory","Undergraduate","3 Hours","PR:ACCT 312. Standards and procedures related to the independent audit of financial statements."
"ACCT 452","Assurance Services and Professional Standards","Undergraduate","3 Hours","PR:ACCT 451with a minimum grade of C-. Course exposes students to the professional objectives, principles, and standards for assurance services, including risk assessment, attestation reports, and related communications. Develop and apply assurance services skills and professional standards using a hands-on experiential learning approach."
"ACCT 461","Accounting for Nonbusiness Entities","Undergraduate","3 Hours","PR:ACCT 312and (ACCT 321orACCT 323). Accounting, reporting, and budgeting for governmental and nonprofit entities and the use of fund accounting data for planning and control."
"ACCT 479","Fraud Examination Concepts and Practice","Undergraduate","3 Hours","This course provides students with the fundamental knowledge and skills needed to enter the field of fraud examination in the business fields."
"ACCT 480","Forensic Accounting Concepts and Practice","Undergraduate","3 Hours","This course provides students with the fundamental knowledge and skills needed to enter the field of forensic accounting."
"ACCT 490","Teaching Practicum","Undergraduate","1-3 Hours","PR: Consent.  Teaching practice as a tutor or assistant."
"ACCT 491","Professional Field Experience","Undergraduate","1-18 Hours","PR: Consent.  (May be repeated up to a maximum of 18 hours.)  Prearranged experiential learning program, to be planned, supervised, and evaluated for credit by faculty and field supervisors. Involves temporary placement with public or private enterprise for professional competence development."
"ACCT 492","Directed Study","Undergraduate","1-3 Hours","Directed study, reading, and/or research."
"ACCT 493","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses. (Maximum of nine semester hours in any or all courses numbered 493 offered by the College of Business and Economics may be applied toward bachelor's and master's degree.)."
"ACCT 494","Seminar","Undergraduate","1-3 Hours","PR: Consent.  Presentation and discussion of topics of mutual concern to students and faculty."
"ACCT 495","Independent Study","Undergraduate","1-6 Hours","Faculty supervised study of topics not available through regular course offerings."
"ACCT 496","Senior Thesis","Undergraduate","1-3 Hours","PR: Consent."
"ACCT 497","Research","Undergraduate","1-6 Hours","Independent research projects."
"ACCT 498","Honors","Undergraduate","1-3 Hours","PR: Students in honors program and consent by the honors director.  Independent reading, study or research."
"ACE 106","Athletic Coaching Education","Undergraduate","3 Hours","Overview of athletic coaching profession including careers opportunities, critical current issues/trends, professional standards and the professional organizations."
"ACE 149","Introduction to Applied Anatomy","Undergraduate","3 Hours","This course introduces basic structure and function of the human body and examines the underpinning anatomy and applied science of human movement, often through a physical activity and sport performance lens."
"ACE 168","Sport Officiating","Undergraduate","3 Hours","Study of the art, science, industry standards, and best practices of the officiating profession across all levels of sport. This is an undergraduate lecture and interaction based course that will require students to read, interact, synthesize information pertaining to the professional duties and requirements of sports officiating profession."
"ACE 215","Sport for the Exceptional Athlete","Undergraduate","3 Hours","Examines the past, present and future of sport for athletes with disabilities and those competing at the Masters-level. The focus is on the coaching of these unique populations of competitive and recreational athletes."
"ACE 256","Principles and Problems of Coaching","Undergraduate","3 Hours","Designed to teach students the principles and problems of interscholastic athletic coaching."
"ACE 265","Diversity and Sport","Undergraduate","3 Hours","Covers historical and current topics relevant to diversity in sport as it relates to current sport practices. Practical strategies for facilitating acceptance of diversity within individual/team sports are discussed."
"ACE 293","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"ACE 298","Honors","Undergraduate","1-3 Hours","PR: Students in Honors Program and consent by the honors director. Independent reading, study, or research."
"ACE 307","Applied Sport Physiology","Undergraduate","3 Hours","Examines the application of physiological principles of sport and physical activity training on physical fitness and sport performance in humans."
"ACE 310","Coaching Pedagogy","Undergraduate","3 Hours","Pedagogical theory applied to coaching context, including roles and responsibilities, planning, instruction and feedback, and assessment for sport contexts."
"ACE 327","Applied Biomechanics","Undergraduate","3 Hours","Fundamentals of kinematics and kinetics related to human movement. Basics of biomechanics applied to the concepts of injury prevention and performance improvement. Overview of various biomechanical data collection and analysis."
"ACE 357","Techniques of Coaching: Swimming","Undergraduate","2 Hours","Designed to permit students to gain athletic coaching experience through a supervised on-site experience with a varsity athletic team."
"ACE 374","Fitness Field Testing","Undergraduate","3 Hours","Provide content knowledge and practical experience concerned with health screening, fitness testing, assessment and evaluation. Content needed for ACE national certification exam."
"ACE 393","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
"ACE 410","Training Theories for Coaches","Undergraduate","3 Hours","Application of sport training theories to building, designing and assessing athlete training plans, seasonal team development and long term athlete development from physical literacy to peak performance at all participation levels."
"ACE 430","Coaching Education Administration","Undergraduate","3 Hours","An administrative focus of leadership, finance, fundraising, planning, facility development, personnel supervision, public relations, rules and regulations, purchase and care of equipment and the conducting of athletic events."
"ACE 453","Applied Sport Science Stats","Undergraduate","3 Hours","PR:ACE 457andSTAT 211with a minimum grade of C- in each. Applied statistics in sport science includes a review of basic research design, data collection in applied athletic settings, the selection and use of appropriate statistical procedures in sport science, as well as data visualization techniques that can be used to make decisions regarding athlete status."
"ACE 457","Introduction to Sport Technology and Sport Science","Undergraduate","3 Hours","This course focuses on developing the skills needed to develop and implement appropriate monitoring and training evaluation plans in sport training. Additionally, students will learn to evaluate technology based tools to allow coaches to optimizing the training process and training adjustment decisions."
"ACE 458","Internship: Practicum & Data Collection","Undergraduate","3 Hours","PR:ACE 457with a minimum grade of C-. Practical internship experience preparing training and competition monitoring programs as well as monitoring and collecting sport training and sport performance data using sport technologies."
"ACE 459","Internship: Practicum & Data Analysis","Undergraduate","3 Hours","PR:ACE 458with a minimum grade of C-. Practical internship experience analyzing training and competition monitoring data and utilizing it for coaching based decisions using sport technologies."
"ACE 468","Sport Movement Analysis","Undergraduate","3 Hours","PR:PET 124andPET 125with a minimum grade of C- in each. This course is designed to introduce a prospective coach to the principles of human movement."
"ACE 469","Basic Strength and Conditioning for Coaches","Undergraduate","3 Hours","Present basic exercise performance methodologies to assist in coaching athletics. Types of training include speed drills, agility drills, conditioning workouts, flexibility exercises, balance- improvement drills, and proper training-environment safety techniques."
"ACE 471","Gender and Sport","Undergraduate","3 Hours","Explore the history of sex and gender in sport, and investigate how sex and gender have influenced opportunities and experiences in sport for participants, coaches, administrations, parents, and fans."
"ACE 473","Strength and Conditioning Coaching Techniques","Undergraduate","3 Hours","Hands-on experience performing and coaching exercises to improve athletic performance. Specifics include resistance training, core exercises, proprioception rehabilitation, injury prevention, flexibility exercises, plyometric and explosive techniques, speed training, agility exercises."
"ACE 475","Capstone Strength and Conditioning","Undergraduate","3 Hours","PR:ACE 469andACE 473andACE 487and HN&F 200 with a minimum grade of C- in all. Prearranged experiential learning program, to be planned, supervised, and evaluated for credit by faculty and field supervisors in strength and conditioning environment. Involves temporary placement with public or private enterprise for professional competence development."
"ACE 487","Sport Specific Strength/Conditioning","Undergraduate","3 Hours","Present optimal training for athletics of different sports in trained and untrained states. Specific protocols in resistance training and conditioning, correcting specific running and speed mechanics and agility movements."
"ACE 488","Practicum Coaching Exceptional Athletes","Undergraduate","3 Hours","Integration of theoretical knowledge and development issues with practical field experiences working with athletes with disabilities."
"ACE 489","Practicum Coaching Youth Sport","Undergraduate","3 Hours","PR:ACE 256,PET 244, and one of the ACE Techniques of Coaching. Integration of theoretical knowledge and development issues with practical field experiences in coaching youth."
"ACE 490","Teaching Practicum","Undergraduate","1-3 Hours","PR: Consent. Teaching practice as a tutor or assistant."
"ACE 491","Professional Field Experience","Undergraduate","1-6 Hours","PR: Consent. (May be repeated up to a maximum of 18 hours.) Prearranged experiential learning program, to be planned, supervised, and evaluated for credit by faculty and field supervisors. Involves temporary placement with public or private enterprise for professional competence development."
"ACE 492","Directed Study","Undergraduate","1-3 Hours","Directed study, reading, and/or research."
"ACE 493","Special Topics","Undergraduate","1-6 Hours","PR: Consent.   Investigation of topics not covered in regularly scheduled courses."
"ACE 494","Seminar","Undergraduate","1-3 Hours","PR: Consent. Presentation and discussion of topics of mutual concern to students and faculty."
"ACE 495","Independent Study","Undergraduate","1-6 Hours","Faculty supervised study of topics not available through regular course offerings."
"ACE 496","Senior Thesis","Undergraduate","1-3 Hours","PR: Consent."
"ACE 497","Research","Undergraduate","1-6 Hours","Independent research projects."
"ACE 498","Honors","Undergraduate","1-3 Hours","PR: Students in Honors Program and consent by the honors director. Independent reading, study, or research."
"ADPR 215","Introduction to Advertising and Public Relations","Undergraduate","3 Hours","PR: College of Media majors only. This introductory course in strategic communications provides a broad overview of professional advertising and public relations practices and their role in society. (Course is equivalent toADV 215,PR 215, & STCM 215.)."
"ADPR 319S","Creative Design and Strategy","Undergraduate","3 Hours","PR: (ADPR 215orADV 215orPR 215or STCM 215) with a minimum grade of C-. Editing and production techniques for public relations and advertising media (brochures, reports, newsletters, etc.,) including copy preparation, typography, graphic design, layout and desktop publishing."
"ADPR 410","Influencer Strategies","Undergraduate","3 Hours","PR: (JRL 101 orMDIA 101) and (ADPR 215orADV 201orADV 215orPR 215or STCM 215) with a minimum grade of C- in each. This course explores the role of influencer marketing in meeting marketing goals. Students will learn how to strategically plan an influencer campaign by discovering the campaign performance metrics (KPIs) that most accurately measure campaign success (ROI), budgeting influencer opportunities, and carrying out channel selection. Students will also contemplate the future of influencer marketing and its many prospective implications."
"ADPR 421S","Advertising & PR Audience Insights & Analysis","Undergraduate","3 Hours","PR: (ADV 315 orADV 315Sor PR 324 orPR 324SorSTCM 315) with a minimum grade of C-. This course focuses on in-depth examination of the multi-faceted world of advertising and public relations research, and the array of complex tools used to produce meaningful results. (Also listed as ADV 421, PR 422, & STCM 521)."
"ADPR 435S","Visual Brand Storytelling","Undergraduate","3 Hours","PR: (MDIA 215 orMDIA 215Sor JRL 215) and (MDIA 225 orMDIA 225Sor JRL 225) and (ADPR 215orADV 215orPR 215or STCM 215) with a minimum grade of C- in each. In this class, students will tell character, culture and place-driven stories that connect emotionally with a target audience. Students will collaborate with a client to produce real-world outcomes that are based on creative strategy and messaging. Through the use of traditional visual mediums and emerging technology students will plan, produce and publish content for print and digital platforms."
"ADPR 439","Strategic Social Media","Undergraduate","3 Hours","PR: JRL 101 orMDIA 101and (ADPR 215orADV 201orADV 215orPR 215or STCM 215 orIMC 215) with a minimum grade of C- in each. This online majors-only course is an accelerated examination of the social media landscape with a focus on crafting messages and successful case studies related to how social media channels can be strategically used to meet the goals of corporate, non-profit, political and issue-based outreach messaging."
