"code","title","credits","department","campus","description"
"ACNT1391","Special Topics in Fraud Investigation","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","A study of the identification, detection, investigation, and prevention of financial fraud. Topics address recently identified current events, skills, knowledge, and/or attitudes and behaviors pertinent to the technology or occupation and relevant to the professional development of the student. This course is for students who possess a Bachelor's degree and is part of the Certificate in Professional Accountancy. This course meets Texas State Board of Public Accountancy standards to satisfy a qualifying educational credit required for the CPA examination."
"ACNT1392","Robotic Process Automation Foundations","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","Develop a foundational understanding of Robotic Process Automation (RPA).  Students will study RPA components, challenges, risks and use cases.  Students will use RPA software to perform business and accounting tasks."
"ACNT1393","Special Topics in Taxation","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Topics address recently identified current events, skills, knowledge, and/or attitudes and behaviors pertinent to the technology or occupation and relevant to the professional development of the student. Includes understanding of topics in taxation that influence decision making in the areas of compliance, investing, tax planning, selection of entity formation, liability issues, and considerations for maximizing the amount of income families and individuals may retain. This course meets the qualifying educational credit required for the CPA examination and is part of the Accounting Advanced Technical Certificate (ATC). This course is for students who possess a Bachelor's degree."
"ACNT2303","Intermediate Accounting I","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","Analysis of generally accepted accounting principles, concepts, and theory underlying the preparation of financial statements."
"ACNT2304","Intermediate Accounting II","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","Continued in-depth analysis of generally accepted accounting principles underlying the preparation of financial statements including comparative analysis and statement of cash flows."
"ACNT2309","Cost Accounting","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Budgeting, cost analysis and cost control systems using traditional and contemporary costing methods and theories in decision making. This course meets the qualifying educational credit required for the CPA examination and is part of the Accounting Advanced Technical Certificate (ATC).This course is for students who possess a Bachelor's degree and is part of the Advanced Technical Certificate in Professional Accountancy."
"ACNT2330","Gov. and Not-For-Profit Accounting","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","A study of basic fund accounting and financial reporting concepts for governmental and not-for-profit entities. Students will understand the difference between not-for-profit and for-profit entity accounting; and apply accounting and financial reporting principles as they relate to governmental and not-for-profit entities. The student will prepare budgets and financial statements for government and non-profit organizations. This course meets the qualifying educational credit required for the CPA examination and is part of the Accounting Advanced Technical Certificate (ATC). This course is for students who possess a Bachelor's degree."
"ACNT2331","Internal Control and Auditing","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","Internal controls, auditing standards and processes used by internal auditors, managers, and independent public accountants."
"ACNT2332","Accounting Information Systems","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, Tomball, University Park, ","A study of accounting information systems and related subsystems, including data collection, security, retrieval, manipulation, filtering and sorting of data. This course is for students who possess a Bachelor's degree and is part of the Certificate in Professional Accountancy. This course is non-transferable. This course meets Texas State Board of Public Accountancy standards to satisfy a qualifying educational credit required for the CPA examination."
"ACNT2333","Advanced Accounting","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Methods of measuring and communicating financial information with emphasis on consolidated statements and other complex business transactions. Students will prepare consolidated financial statements; apply concepts in the formation, operation, termination, and liquidation of partnerships; and analyze and record complex transactions affecting foreign currency transactions and remeasurements. This course meets the qualifying educational credit required for the CPA examination and is part of the Accounting Advanced Technical Certificate (ATC). This course is for students who possess a Bachelor's degree."
"ACNT2336","Financial Statement Analysis","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Financial statement analysis from a decision-maker's perspective. This course may also be offered for qualifying education credit for CPA examinations by Texas community colleges that meet Texas State Board of Public Accountancy standards. This course is for students who possess a Bachelor's degree and is part of the Accounting Advanced Technical Certificate (ATC). Licensing/Certification Agency: State Board of Public Accountancy."
"ACNT2337","International Financial Reporting","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","An examination of the aspects of accounting which apply to multinational businesses. This is an International Studies Area of Concentration course.  This course is for students who possess a Bachelor's degree and is part of the Certificate in Professional Accountancy. This course meets Texas State Board of Public Accountancy standards to satisfy a qualifying educational credit required for the CPA examination."
"ACNT2345","Technical Writing for Accountants","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Examination and application of effective written business and accounting communications. This course may also be offered for qualifying education credit for CPA examinations by Texas community colleges that meet Texas State Board of Public Accountancy standards. This course is for students who possess a Bachelor's degree and is part of the Advanced Technical Certificate in Professional Accountancy. Licensing/Certification Agency: State Board of Public Accountancy."
"ACNT2370","Financial Statement Auditing Theory","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Exploration of the necessary skills and knowledge needed to offer services in assurance, attestation or auditing engagements. The main focus is the process used by external auditors to conduct financial statement audits. This course is for students who possess a Bachelor's degree and is part of the Advanced Technical Certificate in Professional Accountancy."
"ACNT2380","Cooperative Education","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Career-related activities encountered in the student's area of specialization offered through an individualized agreement among the college, employer, and student. Under the supervision of the college and the employer, the student combines classroom learning with work experience. Includes a lecture component."
"ACNT2381","Co-op Work Experience Seminar II","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, ","Career-related activities encountered in the student's area of specialization offered through an individualized agreement among the college, employer, and student. Under the supervision of the college and the employer, the student combines classroom learning with work experience. Includes a lecture component."
"AFSC1271","Foundations of United States Air Force I","2","AFSC - ROTC Air Force","North Harris, ","Overall roles and missions of the USAF; career fields available. Emphasis on military customs and courtesies, appearance standards, core values, written and personal communication. Introduction to American military history."
"AFSC1272","Foundations of US Air Force II","2","AFSC - ROTC Air Force","North Harris, ","Explores the basic verbal and written communication skills and an operational understanding of the Air Force Core Values. Students will know the importance of managing diversity and the concepts and consequences of harassment.  The basic concepts of Air Force leadership as well as the concept of effective team building will be developed."
"AFSC2271","Evolution-USAF Air/Space Power I","2","AFSC - ROTC Air Force","North Harris, ","Introduces the concept of war and the role the Air Force plays.  Students will know the career opportunities available, the benefits afforded an Air Force member, and know and develop productive life skills.  Basic oral and written communication skills will be demonstrated.  The focus is on developing basic knowledge and comprehension of Air Force leadership dimensions while gaining a big picture understanding of the ROTC program, its purpose in the Air Force and its advantages for the student."
"AFSC2272","Evolution-USAF Air/Space Power II","2","AFSC - ROTC Air Force","North Harris, ","Overviews the key terms and definitions used to describe air and space power.  Students will know the milestones and historical events, leaders, and technological advancements which surround the evolution and employment of USAF air and space power.  Basic verbal and written communication skills along with an operational understanding of Air Force Core Values will be demonstrated."
"AIRP1108","Drone Pilot Test Preparation","1","AIRP - Aircraft Pilot and Navigator","Montgomery, ","This course is designed to prepare students to better understand the information that will be tested on the Remote Pilot Certificate exam.  Includes regulations, airspace classification and operating requirements, weather, loading and performance, and operations specifics."
"AIRP1255","Intermediate Flight","2","AIRP - Aircraft Pilot and Navigator","Montgomery, ","Provides students with flight hours and skills necessary to fulfill cross-country hours required for the Federal Aviation Administration Commercial Pilot Certificate. 

Minimum estimated flight cost is $8,545.00.  Please see www.lonestar.edu/pilot for detailed course costs."
"AIRP1305","Aircraft Science","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","An introduction to the study of basic sciences in the aeronautical field as it pertains to theoretical and practical application in aircraft construction and design."
"AIRP1307","Aviation Meteorology","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","Coverage of meteorological phenomena affecting aircraft flight. Topics include basic concepts of aviation meteorology in the study of temperature, pressure, moisture, stability, clouds, air masses, fronts, thunderstorms, icing, and fog. Also includes analysis and use of weather data for flight planning."
"AIRP1313","Introduction to Aviation","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","A study of the historical development of the aviation industry, including key events in civil, military, and space exploration and an overview of legislation relating to aviation."
"AIRP1315","Private Flight","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","Flight and ground training to prepare student for completion of the Federal Aviation Administration Private Pilot Certificate.
Departmental approval required for registration.
Passing grade in course is dependent on passing the FAA end-of-course check ride.
Minimum estimated flight cost is $11,410.00.  See www.LoneStar.edu/pilot for detailed course costs."
"AIRP1317","Private Pilot Ground School","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","Ground school for the Federal Aviation Administration Private Pilot Certificate, providing the student with the necessary aeronautical knowledge that can be used for Private Pilot Certification. Topics include principles of flight, radio procedures, weather, navigation, aerodynamics, and Federal Aviation Administration regulations.  
Departmental approval required for registration. 
End-of-course exam is the FAA written certification exam. A passing grade in course is dependent on passing grade on FAA written certification exam. 
Minimum estimated FAA exam cost is $175.00.  See www.LoneStar.edu/pilot for detailed course costs."
"AIRP1341","Advanced Air Navigation","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","Skill development in advanced airplane systems and performance including radio navigation and cross-country flight planning. Includes an introduction to instrument flight operations and navigation."
"AIRP1343","Aerodynamics","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","Study of the physical laws of flight. Topics include physical terms and the four forces of flight. Aircraft design, stability control, and high-speed flight characteristics are also included."
"AIRP1345","Aviation Safety","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","A study of the fundamentals essential to the safety of flight. A survey of the aviation industry including decision-making factors, accident reporting, accident investigation, air traffic systems, aircraft technologies, and accident case studies."
"AIRP1347","Human Factors in Aviation","3","AIRP - Aircraft Pilot and Navigator","Montgomery, North Harris, ","Instruction in flight physiology, the decision-making process, pilot health maintenance, psychological aspects of flight, human behavior as related to the aircraft flight deck, and aeromedical information of significance to flight crews. Instruction in human behavior and ergonomics as applied to workplace safety."
"AIRP1351","Instrument Ground School","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","A study of basic instrument radio and navigation fundamentals used in instrument flight. Topics include a description and practical use of navigation systems and instruments, charts used for instrument flight, and Federal Aviation Administration regulations.

End-of-course exam is the FAA written certification exam. Passing grade in course is dependent on passing grade on FAA written certification exam.

Minimum estimated FAA exam cost is $175.00. See www.LoneStar.edu/pilot for detailed course costs."
"AIRP1451","Instrument Ground School","4","AIRP - Aircraft Pilot and Navigator","Montgomery, ","A study of basic instrument radio and navigation fundamentals used in instrument flight. Topics include a description and practical use of navigation systems and instruments, charts used for instrument flight, and Federal Aviation Administration regulations. 

End-of-course exam is the FAA written certification exam. Passing grade in course is dependent on passing grade on FAA written certification exam.

Minimum estimated FAA exam cost is $175.00.  See www.LoneStar.edu/pilot for detailed course costs."
"AIRP2236","Certified Flight Instructor - Flight","2","AIRP - Aircraft Pilot and Navigator","Montgomery, ","Flight and ground instruction required to qualify for the Federal Aviation Administration Certified Flight Instructor. Preparation for the Federal Aviation Administration Airman Certification Standards for Certified Flight Instructor airplane and instrument ratings. Passing grade in course is dependent on passing the FAA end-of-course check rides (CFI Airplane and CFI Instrument). Minimum estimated flight cost is $13,495.00.  See www.LoneStar.edu/pilot for detailed course costs.
"
"AIRP2239","Commercial Flight","2","AIRP - Aircraft Pilot and Navigator","Montgomery, ","Flight instruction necessary to qualify for the Federal Aviation Administration Commercial Pilot Certificate. Instruction includes both dual and solo flight training to prepare the student to perform commercial pilot maneuvers. Preparation for the Federal Aviation Administration Airman Certification Standards for Commercial Pilot Certificate single engine and multi engine rating.  Passing grade in course is dependent on passing the FAA end-of-course check ride. Minimum estimated flight cost is $36,925.00.  See www.LoneStar.edu/pilot for detailed course costs.
"
"AIRP2250","Instrument Flight","2","AIRP - Aircraft Pilot and Navigator","Montgomery, ","Preparation for the Federal Aviation Administration Airman Certification Standards for the Instrument Rating. 
Passing grade in course is dependent on passing the FAA end-of-course check ride. 
Minimum estimated flight cost is $17,610.00. See www.LoneStar.edu/pilot for detailed course costs.



"
"AIRP2280","Co-op-Airline/Commercial/Professional Pilot and Flight Crew","2","AIRP - Aircraft Pilot and Navigator","Montgomery, ","Career-related activities encountered in the student's area of specialization offered through an individualized agreement among the college, employer, and student.  Under the supervision of the college and the employer, the student combines classroom learning with work experience.  Includes a lecture component."
"AIRP2333","Aircraft Systems","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","Study of the theory, operation, and application of pneumatic, hydraulic, electrical, fuel, environmental, protection, and warning systems. Emphasis on subsystems and control systems."
"AIRP2337","Commercial Ground School","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","A study of advanced aviation topics used for Federal Aviation Administration certification at the commercial pilot level. Preparation for the Federal Aviation Administration Airman Certification Standards for Commercial Pilot Certificate.
End-of-course exam is the FAA written certification exam. Passing grade in course is dependent on passing grade on FAA written certification exam. 
Minimum estimated FAA exam cost is $175.00.  See www.LoneStar.edu/pilot for detailed course costs.
"
"AIRP2339","Commercial Flight","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","Flight instruction necessary to qualify for the Federal Aviation Administration Commercial Pilot Certificate. Instruction includes both dual and solo flight training to prepare the student to perform commercial pilot maneuvers. Preparation for the Federal Aviation Administration Airman Certification Standards for Commercial Pilot Certificate single engine and multi engine rating. 
Passing grade in course is dependent on passing the FAA end-of-course check ride. 
Minimum estimated flight cost is $36,925.00. See www.LoneStar.edu/pilot for detailed course costs."
"AIRP2349","Instructor Ground School","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","Skill development in the fundamentals of teaching and learning in an aviation- oriented environment. Introduction to the techniques of instruction and analysis of flight maneuvers. Preparation for the Federal Aviation Administration Airman Certification Standards for Certified Flight Instructor airplane and instrument ratings.  

End-of-course exams are the FAA written certification exams. Passing grade in course is dependent on passing grade on FAA written certification exams. 
Minimum estimated FAA exam cost is $175.00.  See www.LoneStar.edu/pilot for detailed course costs."
"AIRP2355","Propulsion Systems","3","AIRP - Aircraft Pilot and Navigator","Montgomery, ","In-depth coverage of aircraft engine theory and principles of operation of various types of aircraft engines. Topics include propellers, superchargers, engine accessories, controls, and instrumentation."
"ANTH2301","Physical Anthropology","3","ANTH - Anthropology","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Houston North, Online, ","This course examines the biological and cultural study of humans as well as the similarities and differences between humans and other primates. The course spans various topics, including mechanisms of genetic change and an overview of human origins and biocultural adaptations. Introduces methods and theory in the excavation and interpretation of material remains of past cultures and reveals how anthropology can be applied to solve health and medical problems in cultures around the world."
"ANTH2302","Introduction to Archeology","3","ANTH - Anthropology","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Houston North, Online, ","The study of the human past through material remains. The course includes a discussion of methods and theories relevant to archeological inquiry. Topics may include the adoption of agriculture, response to environmental change, the emergence of complex societies, and ethics in the discipline."
"ANTH2346","General Anthropology","3","ANTH - Anthropology","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Houston North, Online, ","The study of human beings, their antecedents, related primates, and their cultural behavior and institutions. Introduces the major subfields: physical and cultural anthropology, archeology, linguistics, their applications, and ethics in the discipline."
"ANTH2351","Cultural Anthropology","3","ANTH - Anthropology","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Houston North, Online, ","This course explores cultural diversity through the study of contemporary and recent groups of humans including their social, religious, economic, and political organization. Included is the study of how practicing cultural relativism increases understanding of other cultures and how cultural anthropology can be applied to solve human problems."
"ANTH2389","Academic Cooperative in Anthropology","3","ANTH - Anthropology","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Houston North, Online, ","An instructional program designed to integrate on-campus study with practical hands-on experience in anthropology."
"ANTHH2301","Honors Physical Anthropology","3","ANTHH - Honors Anthropology","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Houston North, Online, ","This course examines the biological and cultural study of humans as well as the similarities and differences between humans and other primates. The course spans various topics, including mechanisms of genetic change and an overview of human origins and biocultural adaptations. Introduces methods and theory in the excavation and interpretation of material remains of past cultures and reveals how anthropology can be applied to solve health and medical problems in cultures around the world."
"ANTHH2302","Honors Introduction to Archeology","3","ANTHH - Honors Anthropology","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Houston North, Online, ","The study of the human past through material remains. The course includes a discussion of methods and theories relevant to archeological inquiry. Topics may include the adoption of agriculture, response to environmental change, the emergence of complex societies, and ethics in the discipline."
"ANTHH2351","Honors Cultural Anthropology","3","ANTHH - Honors Anthropology","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Houston North, Online, ","This course explores cultural diversity through the study of contemporary and recent groups of humans including their social, religious, economic, and political organization. Included is the study of how practicing cultural relativism increases understanding of others' cultures and how cultural anthropology can be applied to solve human problems."
"ANTHH2389","Honors Academic Cooperative in Anthropology","3","ANTHH - Honors Anthropology","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Houston North, Online, ","An instructional program designed to integrate on-campus study with practical hands-on experience in anthropology."
"ARAB1411","Beginning Arabic I","4","ARAB - Arabic Language","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Houston North, Online, ","This course includes beginner's punctuation, oral practice, conversation, development of listening comprehension, basic principles of grammar, simple exercises in composition, easy reading which includes cultural material."
"ARAB1412","Beginning Arabic II","4","ARAB - Arabic Language","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Houston North, Online, ","This course is a continuation of ARAB 1411 with increased emphasis on comprehension, speaking, reading, and writing.  Intensive drills to increase vocabulary and knowledge of structure."
"ARAB2311","Intermediate Arabic I","3","ARAB - Arabic Language","CyFair, Kingwood, Montgomery, North Harris, Tomball, Houston North, Online, University Park, ","This course stresses both oral and written exercises to increase vocabulary, expansion of grammatical principles and short themes written on a variety of topics.  Selected readings are included to improve comprehension in Arabic."
"ARAB2312","Intermediate Arabic II","3","ARAB - Arabic Language","CyFair, Kingwood, Montgomery, North Harris, Tomball, Houston North, Online, University Park, ","This course is a continuation of ARAB 2311. Continued reinforcement of grammatical principles and development of writing skills are stressed."
"ARCE1315","Structural Steel Detailing","3","ARCE - Architecture","CyFair, North Harris, Houston North, ","This course covers the preparation of structural steel drawings and bills of material for the purpose of fabrication and erection. Emphasis will be placed upon using structural design framing plans to develop detailed steel members, connections, and assemblies."
"ARCE1352","Structural Drafting","3","ARCE - Architecture","CyFair, Kingwood, Montgomery, North Harris, Tomball, Houston North, ","A study of structural systems including concrete foundations and frames, wood framing and trusses, and structural steel framing systems.  Includes detailing of concrete, wood, and steel to meet industry standards including the American Institute of SteelConstruction and the American Concrete Institute."
"ARTC1302","Digital Imaging I","3","ARTC - Design and Visual Communication","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Houston North, ","Digital imaging using raster image editing and/or image creation software: scanning, resolution, file formats, output devices, color systems, and image-acquisitions. Prerequisites: Competent knowledge of either Macintosh or Windows operating system."
"ARTC1313","Digital Publishing I","3","ARTC - Design and Visual Communication","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","The fundamentals of using digital layout as a primary publishing tool and the basic concepts and terminology associated with typography and page layout."
"ARTC1317","Design Communications I","3","ARTC - Design and Visual Communication","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","Study of design development relating to graphic design terminology, tools and media, and layout and design concepts. Topics include integration of type, images and other design elements, and developing computer skills in industry standard computer programs."
"ARTC1327","Typography","3","ARTC - Design and Visual Communication","CyFair, Kingwood, North Harris, University Park, ","A study of letterforms and typographic concepts as elements of graphic communication. Emphasis on developing a current, practical typographic knowledge based on industry standards."
"ARTC1353","Computer Illustration","3","ARTC - Design and Visual Communication","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Use of tools and transformation options of an industry-standard vector drawing program to create complex illustrations or drawings."
"ARTC2305","Digital Imaging II","3","ARTC - Design and Visual Communication","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Principles of digital image processing and electronic painting. Emphasis on bitmapped or raster-based image marking and the creative aspects of electronic illustration for commercial and fine art applications."
"ARTC2313","Digital Publishing II","3","ARTC - Design and Visual Communication","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Includes layout procedures from thumbnails and roughs to final comprehensive and print output. Emphasis on design principles for the creation of advertising and publishing materials, and techniques for efficient planning and documenting projects."
"ARTC2335","Portfolio Development","3","ARTC - Design and Visual Communication","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Preparation of a portfolio comprised of completed graphic design class projects. Evaluation and demonstration of portfolio presentation methods based on the student's specific area of study."
"ARTC2347","Design Communications II","3","ARTC - Design and Visual Communication","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","An advanced study of the design process and art direction. Emphasis on form and content through the selection, creation, and integration of typographic, photographic, illustrative, and design elements."
"ARTC2380","Cooperative Education - Commercial and Advertising Art","3","ARTC - Design and Visual Communication","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Career-related activities encountered in the student's area of specialization offered through an individualized agreement among the college, employer, and student. Under the supervision of the college and the employer, the student combines classroom learning with work experience. Includes a lecture component."
"ARTS1301","Art Appreciation","3","ARTS - Studio Art & Art History","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A general introduction to the visual arts designed to create an appreciation of the vocabulary, media, techniques, and purposes of the creative process. Students will critically interpret and evaluate works of art within formal, cultural, and historical contexts."
"ARTS1303","Art History: Prehistory to Gothic","3","ARTS - Studio Art & Art History","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A chronological analysis of the historical and cultural contexts of the visual arts from the prehistoric times to the 14th century."
"ARTS1304","Art History: Renaissance to Modern","3","ARTS - Studio Art & Art History","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A chronological analysis of the historical and cultural contexts of the visual arts from the 14th century to the present."
"ARTS1311","2-D Design","3","ARTS - Studio Art & Art History","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","An introduction to the fundamental terminology, concepts, theory, and application of two-dimensional design."
"ARTS1312","3-D Design","3","ARTS - Studio Art & Art History","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","An introduction to the fundamental terminology, concepts, theory, and application of three-dimensional design."
