"code","title","credits","subject","description"
"01:016:363","WOMEN WRITERS OF AFRICA",3.0,"NB",""
"01:050:101","INTRODUCTION TO AMERICAN STUDIES",3.0,"NB",""
"01:050:102","INTRODUCTION TO RACE AND ETHNICITY IN AMERICA",3.0,"NB",""
"01:050:240","LATINO LITERATURE AND CULTURE",3.0,"NB",""
"01:050:245","ASIAN AMERICAN EXPERIENCE",3.0,"NB",""
"01:050:246","THE BLACK EXPERIENCE IN AMERICA",3.0,"NB",""
"01:050:248","NATIVE AMERICAN EXPERIENCE",3.0,"NB",""
"01:050:259","POPULAR CULTURE",3.0,"NB",""
"01:050:263","AMERICAN FOLKLORE",3.0,"NB",""
"01:050:265","AM EXPER FILM&VIDEO",3.0,"NB",""
"01:050:271","IMMIGRANT STATES",3.0,"NB",""
"01:050:272","AMERICAN FOOD, PAST AND PRESENT",3.0,"NB",""
"01:050:282","TOPICS IN AMERICAN STUDIES",1.5,"NB",""
"01:050:284","TOPICS IN AMERICAN STUDIES",1.5,"NB",""
"01:050:286","INDEPENDENT STUDY IN AMERICAN CULTURE",1.5,"NB",""
"01:050:303","THE DECADE IN AMERICAN CULTURE",3.0,"NB",""
"01:050:306","AMERICAN DETECTIVE FICTION AND FILM",3.0,"NB",""
"01:050:310","METHODS AND PRACTICES IN AMERICAN STUDIES",3.0,"NB",""
"01:050:316","TWENTY-FIRST CENTURY EXPRESSION: ON AND OFF THE NET",3.0,"NB",""
"01:050:323","AMERICAN HORROR",3.0,"NB",""
"01:050:324","WAYWARD AMERICANS",3.0,"NB",""
"01:050:355","MUSEUMS, MONUMENTS, AND AMERICAN CULTURE",3.0,"NB",""
"01:050:357","AMERICAN BODIES",3.0,"NB",""
"01:050:377","ASIAN-AMERICAN LITERATURES IN ENGLISH",3.0,"NB",""
"01:050:380","INTERNSHIP IN AMERICAN STUDIES",3.0,"NB",""
"01:050:389","SEMINAR IN AMERICAN STUDIES",3.0,"NB",""
"01:050:391","INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE",3.0,"NB",""
"01:050:491","INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE","","NB",""
"01:070:101","CULTURE AND SOCIAL LIFE",3.0,"NB",""
"01:070:102","INTRODUCTION TO HUMAN EVOLUTION",4.0,"NB",""
"01:070:105","INTRO TO ARCHAEOLOGY",4.0,"NB",""
"01:070:108","LANGUAGE, CULTURE, AND SOCIETY",3.0,"NB",""
"01:070:111","EXTINCTION",4.0,"NB",""
"01:070:112","WORLD PREHISTORY",3.0,"NB",""
"01:070:162","GREAT EXCAVATIONS IN THE GARDEN STATE",1.5,"NB",""
"01:070:163","ISLANDS AND LOST CONTINENTS",1.5,"NB",""
"01:070:164","ARCHAEOLOGY MURDER MYSTERIES",1.5,"NB",""
"01:070:201","EVOLUTION AND HUMAN BEHAVIOR",3.0,"NB",""
"01:070:203","CLIMATE CHANGE, DISASTER, AND           RECONSTRUCTION",3.0,"NB",""
"01:070:212","THE LIFE OF PRIMATES",3.0,"NB",""
"01:070:213","ENVIRONMENT AND HUMAN EVOLUTION",3.0,"NB",""
"01:070:217","PSYCHOLOGY & CULTURE",3.0,"NB",""
"01:070:218","INTRODUCTION TO FORENSIC ANTHROPOLOGY",3.0,"NB",""
"01:070:223","ANTHRO OF LATIN AMER",3.0,"NB",""
"01:070:248","ANTHRO OF CHINA",3.0,"NB",""
"01:070:317","METH ANALY CULT ANTH",3.0,"NB",""
"01:070:325","EVOLUTION & CULTURE",3.0,"NB",""
"01:070:327","LIFE IN THE EARLY HOLOCENE",3.0,"NB",""
"01:070:331","XENOPHOBIA AND THE OTHER IN EUROPE TODAY",3.0,"NB",""
"01:070:333","COLONIAL ARCHAEOLOGY",3.0,"NB",""
"01:070:350","PRIMATOL HUM EVOL",3.0,"NB",""
"01:070:362","EVOLUTION OF HUMAN DIET",3.0,"NB",""
"01:070:367","ANTHROPOLOGY GOES TO THE MOVIES",3.0,"NB",""
"01:070:386","INTERNSHIP IN ANTHROPOLOGY",3.0,"NB",""
"01:070:390","FOSSIL HOMININ ANATOMY",3.0,"NB",""
"01:070:495","IND STUDY IN ANTHRO","","NB",""
"01:070:496","IND STUDY IN ANTHRO","","NB",""
"01:070:497","HONORS IN ANTHROPOLOGY",3.0,"NB",""
"01:070:499","INDEPENDENT STUDY",1.0,"NB",""
"01:074:140","ELEMENTARY ARABIC I",4.0,"NB",""
"01:074:141","ELEMENTARY ARABIC II",4.0,"NB",""
"01:074:240","INTERMEDIATE ARABIC I",4.0,"NB",""
"01:074:340","ADVANCED ARABIC I",3.0,"NB",""
"01:078:115","ELEMENTARY ARMENIAN I",3.0,"NB",""
"01:082:101","BUILDING THE FUTURE: AN INTRODUCTION TO ARCHITECTURE",3.0,"NB",""
"01:082:105","INTRODUCTION TO ART HISTORY: PREHISTORY TO 1400",3.0,"NB",""
"01:082:106","INTRODUCTION TO ART HISTORY:1400 TO THE PRESENT",3.0,"NB",""
"01:082:202","INTRODUCTION TO CONTEMPORARY ART",3.0,"NB",""
"01:082:203","SACRED SITES MATERIALIZING AND          EXPERIENCING THE DIVINE",3.0,"NB",""
"01:082:206","ART OF INDIA",3.0,"NB",""
"01:082:214","RENAISSANCE ART IN EUROPE",3.0,"NB",""
"01:082:215","BAROQUE MAGNIFICENCE",3.0,"NB",""
"01:082:220","CRITICAL ISSUES IN ART HISTORY",3.0,"NB",""
"01:082:341","VENICE",3.0,"NB",""
"01:082:351","ART IN THE UNITED STATES: 1776-1913",3.0,"NB",""
"01:082:362","NATIVE ARTS N AMER",3.0,"NB",""
"01:082:377","GOTHIC",3.0,"NB",""
"01:082:382","NINETEENTH-CENTURY PHOTOGRAPHY",3.0,"NB",""
"01:082:391","NINETEENTH CENTURY ARCHITECTURE AND SOCIETY IN THE UNITED STATES",3.0,"NB",""
"01:082:430","FOUNDATIONS IN CULTURAL HERITAGE AND    PRESERVATION STUDIES",3.0,"NB",""
"01:082:441","SPECIAL TOPICS IN POLITICS, HISTORY, ANDHERITAGE",3.0,"NB",""
"01:082:447","INTERNSHP HIST PRESV",3.0,"NB",""
"01:082:479","SP TPC ASIAN ART",3.0,"NB",""
"01:082:491","CAPSTONE IN ART HISTORY",3.0,"NB",""
"01:082:493","INDIVIDUAL STUDIES IN ART HISTORY",3.0,"NB",""
"01:082:495","INTERNSHP ART HIST",3.0,"NB",""
"01:082:497","HONORS IN ART HISTORY",3.0,"NB",""
"01:090:101","THE BYRNE SEMINARS",1.0,"NB",""
"01:090:111","HONORS COLLOQUIUM",1.0,"NB",""
"01:090:120","FIGS SEMINAR",1.0,"NB",""
"01:090:121","INTERNATIONAL STUDENT TRANSITION SEMINAR",1.0,"NB",""
"01:090:124","RU FIRST YEAR TRANSITION",1.0,"NB",""
"01:090:126","IDEA INCUBATOR",3.0,"NB",""
"01:090:130","COHORT SEMINAR I",1.0,"NB",""
"01:090:132","COHORT SEMINAR III",1.0,"NB",""
"01:090:181","ACADEMIC SUCCESS SEMINAR PROGRAM",1.0,"NB",""
"01:090:201","INTERNSHIP SAS",3.0,"NB",""
"01:090:203","CO-OP ARTS & SCIENCE",6.0,"NB",""
"01:090:204","RUTGERS EXPERIENTIAL LEARNING AND       CONDENSED INTERNSHIP COURSE",1.0,"NB",""
"01:090:210","CAREER EXPLORATIONS IN ARTS AND SCIENCES",1.5,"NB",""
"01:090:220","STUDENTS IN TRANSITION",1.0,"NB",""
"01:090:226","SPECIAL TOPICS",3.0,"NB",""
"01:090:292","INTERDISCIPLINARY HONORS SEMINAR",3.0,"NB",""
"01:090:293","INTERDISCIPLINARY HONORS SEMINAR",3.0,"NB",""
"01:090:294","INTERDISCIPLINARY HONORS SEMINAR",3.0,"NB",""
"01:090:295","INTERDISCIPLINARY HONORS SEMINAR",3.0,"NB",""
"01:090:296","INTERDISCIPLINARY HONORS SEMINAR",3.0,"NB",""
"01:090:297","INTERDISCIPLINARY HONORS SEMINAR",3.0,"NB",""
"01:090:308","IRW LRNG COMM",1.5,"NB",""
"01:090:325","SPECIAL TOPICS",3.0,"NB",""
"01:090:327","SPECIAL TOPICS","","NB",""
"01:090:393","IND STUDY & RESEARCH","","NB",""
"01:090:491","RESEARCH WORKSHOP",1.0,"NB",""
"01:090:493","INDEPENDENT STUDY AND RESEARCH","","NB",""
"01:090:495","HNR INTERDISC THESIS",3.0,"NB",""
"01:090:497","HONORS COLLEGE INTERDISCIPLINARY THESIS","","NB",""
"01:090:498","HONORS COLLEGE INTERDISCIPLINARY THESIS","","NB",""
"01:098:101","ELEMENTARY FILIPINO",4.0,"NB",""
"01:098:242","E ASIAN CIVS:MOD",3.0,"NB",""
"01:098:262","ASIAN AMER EXPER",3.0,"NB",""
"01:098:393","INDEPENDENT STUDY OF ASIAN LANGUAGES ANDLITERATURES",3.0,"NB",""
"01:098:444","SEMINAR ON EAST ASIAN SOCIETIES",3.0,"NB",""
"01:119:103","PRINCIPLES OF BIOL",4.0,"NB",""
"01:119:115","GENERAL BIOLOGY I",4.0,"NB",""
"01:119:116","GENERAL BIOLOGY II",4.0,"NB",""
"01:119:117","BIOLOGICAL RESEARCH LABORATORY",2.0,"NB",""
"01:119:127","ANATOMY AND PHYSIOLOGY: HEALTH SCIENCES",4.0,"NB",""
"01:119:131","MICROBIOL HLTH SCI",3.0,"NB",""
"01:119:132","MICRO-HLTH SCI LAB",1.0,"NB",""
"01:119:150","BIOLOGY, SOCIETY, AND BIOMEDICAL ISSUES",3.0,"NB",""
"01:119:154","GENETICS/LAW/SOC POL",3.0,"NB",""
"01:119:155","HUMAN GENETICS",3.0,"NB",""
"01:119:195","BRAIN MIND BEHAVIOR",3.0,"NB",""
"01:119:199","PREPARATION FOR GENERAL BIOLOGY",4.0,"NB",""
"01:119:201","INDEP STUDY BIOLOGY","","NB",""
"01:119:202","INDEP STUDY BIOLOGY","","NB",""
"01:119:307","RESEARCH IN BIOLOGY","","NB",""
"01:119:308","RESEARCH IN BIOLOGY","","NB",""
"01:119:406","RESEARCH IN BIOLOGY","","NB",""
"01:119:407","RESEARCH IN BIOLOGY","","NB",""
"01:119:408","HONORS IN BIOLOGY","","NB",""
"01:122:491","RESEARCH IN BIOMATHEMATICS",3.0,"NB",""
"01:122:492","RESEARCH IN BIOMATHEMATICS",3.0,"NB",""
"01:146:201","INDEPENDENT STUDY IN CELL BIOLOGY AND NEUROSCIENCE","","NB",""
"01:146:245","FUNDAMENTALS OF NEUROBIOLOGY",3.0,"NB",""
"01:146:270","FUNDAMENTALS OF CELL AND DEVELOPMENTAL BIOLOGY",3.0,"NB",""
"01:146:295","ESSENTIALS OF CELL BIOLOGY AND          NEUROSCIENCE",3.0,"NB",""
"01:146:307","RESEARCH IN CELL BIOLOGY AND NEUROSCIENCE","","NB",""
"01:146:328","HUMAN PARASITOLOGY",3.0,"NB",""
"01:146:329","HUMAN PARASITOLOGY LABORATORY",1.0,"NB",""
"01:146:350","INTRODUCTION TO LIGHT MICROSCOPY FOR    THE LIFE SCIENCES",1.0,"NB",""
"01:146:356","SYSTEMS PHYSIOLOGY",3.0,"NB",""
"01:146:357","SYSTEMS PHYSIOL LAB",1.0,"NB",""
"01:146:406","RESEARCH IN CELL BIOLOGY AND NEUROSCIENCE","","NB",""
"01:146:408","HONORS RESEARCH","","NB",""
"01:146:410","RESEARCH THESIS IN CBN I",3.0,"NB",""
"01:146:445","SYNAPSES, NEURONS, AND CIRCUITS",3.0,"NB",""
"01:146:447","CLINICAL NEUROBIOLOGY",3.0,"NB",""
"01:146:456","ADVANCED PHYSIOLOGY",3.0,"NB",""
"01:146:465","NEURO PAIN ADDICTION",3.0,"NB",""
"01:146:473","GENETIC REGULATION IN CELL BIOLOGY",3.0,"NB",""
"01:146:474","IMMUNOLOGY",3.0,"NB",""
"01:160:126","CHEMISTRY OF ART",3.0,"NB",""
"01:160:127","IMPACT OF CHEMISTRY",3.0,"NB",""
"01:160:128","CHEMISTRY OF LIFE",3.0,"NB",""
"01:160:134","INTRO TO CHEMISTRY",3.0,"NB",""
"01:160:159","GEN CHEM FOR ENGRS",3.0,"NB",""
"01:160:161","GENERAL CHEMISTRY",4.0,"NB",""
"01:160:162","GENERAL CHEMISTRY",4.0,"NB",""
"01:160:163","HONORS GENERAL CHEM",4.0,"NB",""
"01:160:165","EXTENDED GENERAL CHEMISTRY",4.0,"NB",""
"01:160:171","INTRODUCTION TO EXPERIMENTATION",1.0,"NB",""
"01:160:209","ELEMENT ORGANIC CHEM",3.0,"NB",""
"01:160:211","ELEM ORGANIC LAB",1.0,"NB",""
"01:160:251","ANALYTICAL CHEMISTRY",3.0,"NB",""
"01:160:307","ORGANIC CHEMISTRY",4.0,"NB",""
"01:160:308","ORGANIC CHEMISTRY",4.0,"NB",""
"01:160:310","ORGANIC CHEM LAB",2.5,"NB",""
"01:160:311","ORGANIC CHEM LAB",2.0,"NB",""
"01:160:315","HONORS ORGANIC CHEMISTRY",4.0,"NB",""
"01:160:327","PHYSICAL CHEMISTRY I",4.0,"NB",""
"01:160:342","PHYS CHEM:BIOCHEMSYS",3.0,"NB",""
"01:160:348","INSTRUMENTAL ANAL",3.0,"NB",""
"01:160:351","INORGANIC CHEMISTRY 1",3.0,"NB",""
"01:160:353","INORGANIC CHEMISTRY 3",1.5,"NB",""
"01:160:387","INTRODUCTION TO CHEMISTRY EDUCATION",3.0,"NB",""
"01:160:391","INDEPENDENT STUDY IN CHEMISTRY","","NB",""
"01:160:411","ADV ORGANIC CHEM I",3.0,"NB",""
"01:160:421","ATOMIC & MOLEC STRCT",3.0,"NB",""
"01:160:425","THERMODYNAMICS I",3.0,"NB",""
"01:160:437","PHYS CHEM BIO SYSTEM",3.0,"NB",""
"01:160:471","ADVANCED INORG CHEM",3.0,"NB",""
"01:160:482","CHEMICAL BIOLOGY",3.0,"NB",""
"01:160:491","SEM IN CHEMISTRY",1.0,"NB",""
"01:160:493","INTERNSHIP IN CHEMISTRY","","NB",""
"01:160:495","SENIOR RESEARCH PROJECT: CHEMISTRY","","NB",""
"01:160:497","HNR RESEARCH IN CHEM","","NB",""
"01:160:499","INTRODUCTION TO TEACHING CHEMISTRY LAB",3.0,"NB",""
"01:165:101","ELEMENTARY CHINESE",4.0,"NB",""
"01:165:102","ELEMENTARY CHINESE",4.0,"NB",""
"01:165:111","CHINESE CALIGRAPHY I",2.0,"NB",""
"01:165:121","BEGINNING CHINESE READING & WRITING FOR MANDARIN SPEAKERS",3.0,"NB",""
"01:165:201","INTERMEDIATE CHINESE",4.0,"NB",""
"01:165:215","INTRODUCTION TO CHINESE CIVILIZATION",3.0,"NB",""
"01:165:222","INTERMEDIATE CHINESE READING AND WRITINGFOR MANDARIN SPEAKERS",3.0,"NB",""
"01:165:242","CLASSICAL CHINESE POPULAR FICTION & DRAMA IN TRANSLATION",3.0,"NB",""
"01:165:301","ADVANCED MOD CHINESE",3.0,"NB",""
"01:165:310","MODERN CHINESE LITERATURE IN TRANSLATION",3.0,"NB",""
"01:165:321","INTRODUCTION TO CLASSICAL CHINESE",3.0,"NB",""
"01:165:361","BUSINESS CHINESE",3.0,"NB",""
"01:165:401","ADV CHIN CONV & COMP",3.0,"NB",""
"01:165:463","NATURE IN CHINESE LITERATURE",3.0,"NB",""
"01:165:476","WOMEN IN PRE-MODERN CHINA",3.0,"NB",""
"01:165:493","INDEPENDENT STUDIES IN CHINESE FALL","","NB",""
"01:165:497","HONORS IN CHINESE",6.0,"NB",""
"01:175:201","INTRODUCTION TO FILM I",3.0,"NB",""
"01:175:265","AMERICAN EXPERIMENTAL FILM AND VIDEO",3.0,"NB",""
"01:175:316","AMERICAN CINEMA II",3.0,"NB",""
"01:175:320","WORLD CINEMA I",3.0,"NB",""
"01:175:349","CONTEMPORARY GERMAN & EUROPEAN CINEMA",3.0,"NB",""
"01:175:377","TPCS IN WORLD CINEMA",3.0,"NB",""
"01:175:398","INTERNSHIP IN CINEMA STUDIES",3.0,"NB",""
"01:175:420","SEMINAR: FILM THEORY",3.0,"NB",""
"01:175:475","HONORS THESIS IN CINEMA STUDIES 1",3.0,"NB",""
"01:185:201","COGNITIVE SCIENCE: A MULTIDISCIPLINARY  INTRODUCTION",4.0,"NB",""
"01:185:301","COGNITION AND DECISION MAKING",4.0,"NB",""
"01:185:320","RESEARCH METHODS IN COGNITIVE SCIENCE",3.0,"NB",""
"01:185:325","FROM DATA TO SCIENCE COMMUNICATION      IN R",3.0,"NB",""
"01:185:335","NEURAL STRUCTURE OF LANGUAGE",3.0,"NB",""
"01:185:395","RESEARCH IN COGNITIVE SCIENCE","","NB",""
"01:185:396","RESEARCH IN COGNITIVE SCIENCE","","NB",""
"01:185:412","ADVANCED TOPICS II",3.0,"NB",""
"01:185:414","ADVANCED TOPICS IN COG SCI: DECISION MAKING",3.0,"NB",""
"01:185:415","ADVANCED TOPICS IN COGNITIVE SCIENCE: LANGUAGE",3.0,"NB",""
"01:185:417","ADVANCED TOPICS IN COGNITIVE SCIENCE: PERCEPTION",3.0,"NB",""
"01:185:430","COGNITIVE NEUROSCIENCE THROUGH CASE STUDIES",4.0,"NB",""
"01:185:495","SENIOR HONORS THESIS",3.0,"NB",""
"01:185:496","SENIOR HONORS THESIS",3.0,"NB",""
"01:190:102","MEDICAL TERMINOLOGY",3.0,"NB",""
"01:190:201","ANCIENT GREECE",3.0,"NB",""
"01:190:205","GREEK CIVILIZATION",3.0,"NB",""
"01:190:206","ROMAN CIVILIZATION",3.0,"NB",""
"01:190:207","GREEK AND ROMAN MYTHOLOGY",3.0,"NB",""
"01:190:301","FOOD AND DRINK IN THE ANCIENT WORLD",3.0,"NB",""
"01:190:325","CULTS, MAGIC, AND WITCHCRAFT",3.0,"NB",""
"01:190:370","GREEK FILM: LOVE, EROS & DEATH",3.0,"NB",""
"01:190:372","CITIES CLASCL WORLD",3.0,"NB",""
"01:190:491","INDP STUDY CLASSICS","","NB",""
"01:190:492","INDP STUDY CLASSICS","","NB",""
"01:190:495","HONORS PROJECT",4.0,"NB",""
"01:195:101","INTRODUCTION TO WORLD LITERATURE",3.0,"NB",""
"01:195:120","GLOBAL SCIENCE FICTION",3.0,"NB",""
"01:195:135","SHORT FICTION",3.0,"NB",""
"01:195:140","BEING HUMAN",3.0,"NB",""
"01:195:203","MASTERWORKS OF WESTERN LITERATURE",3.0,"NB",""
"01:195:227","TALES OF HORROR",3.0,"NB",""
"01:195:233","UNDERSTANDING THE FRENCH ENLIGHTENMENT",3.0,"NB",""
"01:195:235","DETECTIVE STORIES",3.0,"NB",""
"01:195:240","ANIMALS AND HUMANS",3.0,"NB",""
"01:195:244","INTRODUCTION TO MYTH",3.0,"NB",""
"01:195:260","INTRODUCTION TO CARIBBEAN LITERATURE",3.0,"NB",""
"01:195:270","PAST TODAY",3.0,"NB",""
"01:195:296","A CULTURAL HISTORY OF ARTIFICIAL        INTELLIGENCE",3.0,"NB",""
"01:195:301","INTRODUCTION TO LITERARY THEORY",3.0,"NB",""
"01:195:312","RUSSIAN AND EAST EUROPEAN SCIENCE FICTION",3.0,"NB",""
"01:195:348","STORIES OF RUSSIAN LIFE: MEMORY, INVENTION, EXPERIENCE",3.0,"NB",""
"01:195:351","THE LITERATURES OF THE AMERICAS",3.0,"NB",""
"01:195:354","19TH CENTURY NOVEL",3.0,"NB",""
"01:195:363","WOMEN WRITERS OF AFRICA",3.0,"NB",""
"01:195:373","JUSTICE AND VIOLENCE",3.0,"NB",""
"01:195:374","MARX,NIETZSCHE,FREUD",3.0,"NB",""
"01:195:382","KAFKA AND WORLD LITERATURE",3.0,"NB",""
"01:195:394","JR/SR COMP LIT SEM",3.0,"NB",""
"01:195:430","GENDER, NATION, AND LITERATURE IN SOUTH ASIA",3.0,"NB",""
"01:195:480","SPECIAL TOPICS IN COMPARATIVE LITERATURE",3.0,"NB",""
"01:195:493","INDEPENDENT STUDY","","NB",""
"01:195:495","HONORS IN COMPARATIVE LITERATURE",3.0,"NB",""
"01:198:105","GREAT IDEAS IN COMPUTER SCIENCE",1.0,"NB",""
"01:198:107","COMPUTING FOR MATH AND THE SCIENCES",4.0,"NB",""
"01:198:110","PRINCIPLES OF COMPUTER SCIENCE",3.0,"NB",""
"01:198:111","INTRO COMPUTER SCI",4.0,"NB",""
"01:198:112","DATA STRUCTURES",4.0,"NB",""
"01:198:142","DATA 101",4.0,"NB",""
"01:198:170","COMPUTER APPLICATIONS FOR BUSINESS",3.0,"NB",""
"01:198:205","INTRODUCTION TO DISCRETE STRUCTURES I",4.0,"NB",""
"01:198:206","INTRODUCTION TO DISCRETE STRUCTURES II",4.0,"NB",""
"01:198:210","DATA MANAGEMENT FOR DATA SCIENCE",4.0,"NB",""
"01:198:211","COMPUTER ARCHITECTURE",4.0,"NB",""
"01:198:213","SOFTWARE METHODOLOGY",4.0,"NB",""
"01:198:214","SYSTEMS PROGRAMMING",4.0,"NB",""
"01:198:314","PRINCIPLES OF PROGRAMMING LANGUAGES",4.0,"NB",""
"01:198:323","NUMER ANAL COMPUTING",4.0,"NB",""
"01:198:334","INTRODUCTION TO IMAGING AND MULTIMEDIA",4.0,"NB",""
"01:198:336","PRINCIPLES OF INFORMATION AND DATA MANAGEMENT",4.0,"NB",""
"01:198:344","DESIGN AND ANALYSIS OF COMPUTER ALGORITHMS",4.0,"NB",""
"01:198:345","ALGORITHMS IN SOCIETY",4.0,"NB",""
"01:198:352","INTERNET TECHNOLOGY",4.0,"NB",""
"01:198:405","SEM COMPUTER&SOCIETY",3.0,"NB",""
"01:198:416","OPERATING SYSTEMS DESIGN",4.0,"NB",""
"01:198:419","COMPUTER SECURITY",4.0,"NB",""
"01:198:425","BRAIN-INSPIRED COMPUTING",4.0,"NB",""
"01:198:428","INTRODUCTION TO COMPUTER GRAPHICS",4.0,"NB",""
"01:198:437","DATABASE SYSTEMS IMPLEMENTATION",4.0,"NB",""
"01:198:439","INTRODUCTION TO DATA SCIENCE",4.0,"NB",""
"01:198:440","INTRODUCTION TO ARTIFICIAL INTELLIGENCE",4.0,"NB",""
"01:198:452","FORMAL LANG&AUTOMATA",3.0,"NB",""
"01:198:460","INTRODUCTION TO COMPUTATIONAL ROBOTICS",4.0,"NB",""
"01:198:461","MACHINE LEARNING PRINCIPLES",4.0,"NB",""
"01:198:462","INTRODUCTION TO DEEP LEARNING",4.0,"NB",""
"01:198:493","INDEPENDENT STUDY IN COMPUTER SCIENCE","","NB",""
"01:202:201","INTRODUCTION TO CRIMINAL JUSTICE",3.0,"NB",""
"01:202:202","POLICE",3.0,"NB",""
"01:202:203","PRISONS AND PRISONERS",3.0,"NB",""
"01:202:204","CRIME AND PUBLIC POLICY",3.0,"NB",""
"01:202:205","CRIMINAL PROCEDURE",3.0,"NB",""
"01:202:307","CRIMINAL JUSTICE RESEARCH METHODS",3.0,"NB",""
"01:202:309","CRIMINAL LAW: THEORY AND PRACTICE",3.0,"NB",""
"01:202:315","RACE, INTERNATIONAL LAW AND EMPIRE",3.0,"NB",""
"01:202:322","JUVENILE JUSTICE",3.0,"NB",""
"01:202:327","SEX, CRIME, AND JUSTICE",3.0,"NB",""
"01:202:351","FORENSIC SCIENCE",4.0,"NB",""
"01:202:388","CRIMINAL JUSTICE SEMINAR",3.0,"NB",""
"01:202:406","INTERNSHIP IN CRIMINAL JUSTICE",3.0,"NB",""
