"course_code","course_name","credits","college_name","department","description"
"ACN 7310","Advanced Research Methods","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 7310 HCS 7310   Advanced methods of inquiry and analysis unique to cognition and neuroscience, communication sciences and disorders, or psychological sciences. May be repeated for credit as topics vary (12 semester credit hours maximum). Prerequisite: ACN 6313 or HCS 6313 or PSYC 6313 or instructor consent required. (3-0) Y"
"ACN 7313","The General Linear Model","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 7313 HCS 7313PSYC 7313   This course reviews basic concepts in statistical analysis and focuses on simple and multiple regression and Analysis of Variance (ANOVA)-related statistical techniques in a behavioral science context. Special emphasis is placed on implementing and interpreting complex ANOVA designs (e.g., nested ANOVA, factorial ANOVA involving multiple between-subjects and within-subjects factors. Lecture. Offered annually. Prerequisites: (ACN 6312 or HCS 6312 or PSYC 6312 or HCS 5312 or ACN 5312 or PSYC 5312) and department consent required. (3-0) Y"
"ACN 7320","Topics in Multivariate Data Analysis using R","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 7320 HCS 7320   R programming language (including writing functions and using special packages). Using the R programming language to analyze standard designs used in Behavioral and Brain Science. Includes designing publication ready graphics and analysis of experimental data and surveys. May be repeated for credit as topics vary (9 semester credit hours maximum). Prerequisite: ACN 6313 or HCS 6313 or PSYC 6313 or instructor consent required. Corequisite: ACN 7321. (3-0) Y"
"ACN 7321","Topics in Multivariate Data Analysis Theory","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 7321 HCS 7321   Principal component analysis, correspondence analysis, multidimensional scaling, discriminant analysis, partial least square methods, multi-table analysis, cluster analysis, and various other statistical techniques. Includes discussion of computationally intensive cross-validation inference methods such as jackknife and bootstrap. May be repeated for credit as topics vary (9 semester credit hours maximum). Prerequisite: ACN 6313 or HCS 6313 or PSYC 6313 or instructor consent required. Corequisite: ACN 7320. (3-0) Y"
"ACN 7324","Seminar in Cochlear Implants and Technology for Persons Who are Deaf or Hard of Hearing","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 7324 AUD 7324COMD 7324   This course provides an overview of prosthetic alternatives to conventional amplification for individuals with significant hearing loss. Topics include candidacy determination, technology, basics of device programming and troubleshooting, awareness of controversial areas related to cochlear implantation, and future trends in cochlear implantation. Further, this course will cover current issues in the medical, audiological, speech/language, quality of life, and educational management of children and adults with cochlear implants. This course also has a complementary laboratory course. Prerequisites: BBSC majors only and department consent required. (3-0) Y"
"ACN 7338","Brain Connectivity","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 7338 HCS 7338   Systems and cognitive neuroscience based approach towards measuring and understanding patterns of brain connectivity in humans and non-human animals. Prerequisites: (HCS 6346 or HCS 6338) and instructor consent required. (3-0) R"
"ACN 7343","Neuropharmacology","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 7343 HCS 7343   Biology of neurotransmission in the central and peripheral nervous systems. Includes major categories of neurotransmitters and receptors, their neurophysiology, and their associated diseases. Pharmacological agents that manipulate these neurotransmitter systems either for the treatment of disease or for their abuse potential are covered. Prerequisites: (ACN 6340 or HCS 6340 or ACN 6346 or HCS 6346 or PSYC 6346) and department consent required. (3-0) T"
"ACN 7351","Aging and the Nervous System","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 7351 HCS 7351   Critical evaluation of research and theory concerning the impact of aging on neuronal function. Cognitive dysfunctions, dementias, and underlying neuropathologies, as well as neurophysiological and neurochemical changes that accompany normal aging. Prerequisites: BBSC majors only and department consent required. (3-0) R"
"ACN 7354","Neural Basis of Music and Language","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 7354 COMD 7354HCS 7354   Music and language are integral and universal components of human nature, as proven by their ubiquity across all cultures. There is a growing body of evidence indicating connections between music and language abilities. The advent of state-of-the-art neuroscience technology allows us to study the relations more systematically at the neural level. This course is designed to offer a general overview of the neuroscience of speech, language, and music, a glimpse of research in this emerging discipline, and a sample of the wide variety of current and possible applications for speech/language interventions of clinical and aging populations. The course does not require a background in neuroscience. Prerequisite: BBSC majors only or instructor consent required. (3-0) Y"
"ACN 7364","Cognitive Neuroscience of Human Memory","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 7364 HCS 7364   Seminar-based class that covers the cognitive neuroscience of human long term memory. It combines a historical perspective with discussion of current controversies and advances. Prerequisite: Bachelor's or Master's degree in psychology or computer science or neuroscience or instructor's consent. (3-0) Y"
"ACN 7372","Seminar in Neuroscience","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 7372 HCS 7372   Selected topics and current research in neuroscience. May be repeated for credit as topics vary (12 semester credit hours maximum). Prerequisite: BBSC majors only. (3-0) Y"
"ACN 7383","Neuropathology and Behavior","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 7383 HCS 7383PSYC 7383   This seminar will cover a variety of diseases and disorders of the central nervous system (CNS), including aging, Alzheimer's disease, vascular disease, effects of stress and alcohol on the brain, motor diseases, demyelinating disease, traumatic brain injury, chronic pain, psychopathology, and psychoneuroimmunology. The course focus is on understanding the neural basis of disease and the cognitive correlates of those disorders. The role of neuroimaging techniques in understanding the underlying mechanisms of disease, as well as in disease diagnosis will be emphasized. We will examine the value of converging methods in psychology, cognitive neuroscience, and the biological sciences in understanding human neuropathology. Prerequisites: (ACN 6338 or HCS 6338 or instructor consent) and BBSC majors only and department consent required. (3-0) Y"
"ACN 7387","Developmental Neurobiology of Language and Cognition","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 7387 COMD 7387HCS 7387   Consideration of current neurological data concerning the pre/postnatal development of the brain and how changes in brain structure and function provide the foundations of children's language development and language disorders. We will examine models of the neural substrates and circuitry underpinning developmental changes in language, cognitive control and working memory, episodic memory, and visual face processing in both typical (monolingual and bilingual) language users and in children with developmental language disorders including specific language impairment, developmental language disorders, reading disabilities, autism spectrum disorder, and cognitive-communicative language disorders. Prerequisites: (COMD 6308 and COMD 6377) or instructor consent required. (3-0) Y"
"ACTS 6301","Principles of Long Term Actuarial Mathematics I","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 6301   The purpose of this class is to develop the students' knowledge of the theoretical basis of life contingent actuarial models and the application of those models to life insurance and other financial risks. Life contingencies, survival models, life insurances, life annuities, and their corresponding premiums will be studied. Reserves for life insurance and life annuities will be introduced. This class covers parts of SOA Exams FAM and ALTAM. Prerequisites: (STAT 5351 and ACTS 6308) and instructor consent required. (3-0) Y"
"ACTS 6302","Investment and Financial Markets","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 6302   This 3 semester credit hour course develops the students' knowledge of the theoretical basis of Corporate Finance, certain actuarial models and the application of those models to insurance and other financial risks. The topics discussed include mean-variance portfolio theory, asset pricing models, market efficiency and behavioral finance, investment risk and project analysis, capital structure, forwards and futures, and introduction to options. This class covers parts of CAS exam 3F and provides coverage of SOA VEE credits on Corporate finance. Prerequisites: STAT 5351 with a grade of C- or higher and (ACTS 6308 with a grade of C- or higher or passing SOA exam FM to waive ACTS 6308). (3-0) Y"
"ACTS 6303","Principles of Long Term Actuarial Mathematics II","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 6303   The purpose of this class is to further develop the students' knowledge of the theoretical basis of life contingent actuarial models and the application of those models to insurance and other financial risks. Reserves for life insurances and life annuities, multiple-life models, multiple-decrement models, multi-state models, long-term insurance coverages, pension plans and retirement benefits, Markov chains, profit tests, and estimation of mortality rates will be studied. This class covers parts of SOA Exams FAM and ALTAM. Prerequisite: ACTS 6301 and instructor consent required. (3-0) Y"
"ACTS 6304","Principles of Short Term Actuarial Mathematics I","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 6304   The purpose of this class is to develop the students' knowledge of the severity, frequency and aggregate risk models and the application of those models to property and casualty insurance and other financial risks. Coverage modifications, risk measures and construction and selection of parametric models using the maximum likelihood estimator (MLE) technique will be discussed. This class covers parts of SOA Exams FAM and ASTAM; CAS Exams MAS I, MAS II and 5. Prerequisites: STAT 5352 and instructor consent required. (3-0) Y"
