"school","subject","course_code","course_name","credits","description"
"School of Business","Undergraduate Business","BUS-D 301","The International Business Environment","3 cr.","P: ECON-E 201, ECON-E 202, 56 credit hours. The national and international environmental aspects of international business. Examines the cultural, political, economic, systemic, legal-regulatory, trade, and financial environments; and how they affect the international business activities of firms in the United States and, selectively, in other countries."
"School of Business","Undergraduate Business","BUS-D 302","International Business: Operations of International Enterprises","3 cr.","P: BUS-D 301. The administration of international aspects of business organizations through an examination of their policy formulation, forms of foreign operations, methods of organization and control, and functional adjustments."
"School of Business","Undergraduate Business","BUS-D 496","Foreign Study in Business","3 cr.","This is an undergraduate summer course which provides students with the opportunities to travel to selected countries in order to help them gain an in depth and practical understanding of the macro and micro aspects of doing business in those countries. The broader goal of the course is to familiarize students with the environmental dynamics that arise when business activities transcend international borders. A variety of environmental dimensions--economic, financial, political, legal, and cultural--are examined. Successful completion of this course should allow students to understand and appreciate the diversity and complexity of the global environment today's businesses have to grapple with."
"School of Business","Undergraduate Business","BUS-F 151","Personal Finances of the College Student","3 cr.","Introduction to the basic planning tools and concepts for college-age financial literacy.Â  Emphasis on financial decisions and challenges facing a typical college student.Â  Topics include, careers, goal setting, budgeting, tax planning and credit, including options for financing higher education.Â  Foundation of the Financial Literacy Curriculum."
"School of Business","Undergraduate Business","BUS-F 300","Introduction to Financial Management","3 cr.","An introduction to financial management and the role of the financial manager.Â  Topics covered include a description of financial markets and basic financial analysis, working capital management, basic valuation and capital expenditure analysis are also covered.Â  Credit not given for both BUS-F 301 and BUS-F 300; no credit given toward a B.S. in Business."
"School of Business","Undergraduate Business","BUS-F 301","Financial Management","3 cr.","P: Admission to BUS, 56 credits, BUS-A 202, ECON-E 201, ECON-E 202, ECON-E 270. Conceptual framework of the firm's investment, financing, and dividend decision; includes working capital management, capital budgeting, and capital structure strategies."
"School of Business","Undergraduate Business","BUS-F 302","Financial Decision Making","3 cr.","P: BUS-F 301. Application of financial theory and techniques of analysis in the search of optimal solutions to financial management problems."
"School of Business","Undergraduate Business","BUS-F 365","Personal Financial Planning","3 cr.","P: BUS-F 301. General course oriented towards theory and application of personal financial planning topics, with focus on the process of accumulating and protecting wealth, towards the goal of obtaining financial independence. Time value of money exercises and money management tools are utilized. Other topics examined include personal insurance issues, investments, in private and public securities, retirement planning, and estate planning."
"School of Business","Undergraduate Business","BUS-F 414","Financial Statement Analysis","3 cr.","P: BUS-F 301. The course provides an understanding of the information contained in corporate financial statements and associated reports. The focus of this course is on the analysis, interpretation and prediction of financial statements. The course emphasizes the analysis and application of financial statement information for investment, credit, and management decisions."
"School of Business","Undergraduate Business","BUS-F 420","Equity and Fixed Income Investment","3 cr.","P: BUS-F 301. Conceptual and analytical frameworks for formulating investment policies, analyzing securities, and constructing portfolio strategies for individuals and institutions."
"School of Business","Undergraduate Business","BUS-F 451","Financial Modeling","3 cr.","This course involves the development and application of computer-based financial models. Models from corporate finance and investments use Microsoft Excel. This course helps students develop advanced spreadsheet skills for financial analysis. These skills include not only ""number crunching"" techniques, but also ""best practices"" in constructing models for investment and corporate decisions."
"School of Business","Undergraduate Business","BUS-F 480","Professional Practice in Finance","3-6 cr.","P: BUS-F 301, junior or senior standing in major area and consent of instructor. Work experience is offered in cooperating firms and agencies. Comprehensive written report required. Grades of S or F are assigned by faculty."
"School of Business","Undergraduate Business","BUS-F 490","Independent Study in Finance","1-3 cr.","P: Consent of instructor. Supervised individual study and research in a student's special field of interest. The student will propose the investigation desired and, in conjunction with the instructor, develop the scope of work to be completed. Written report required."
"School of Business","Undergraduate Business","BUS-F 491","Internship in Finance","3 cr.","P: Junior or Senior standing and consent of supervising faculty member. Work experience in cooperating firm or organization. Forty (40) hours of work related to the academic discipline must be completed per credit hour earned. Internship should be coordinated with the supervising faculty member and the application should be completed and turned in to the School of Business office. S/F graded."
"School of Business","Undergraduate Business","BUS-F 494","International Finance","3 cr.","P: BUS-F 301 or equivalent. Covers the international dimension of both investments and corporate finance. Develop strategies for investing internationally, including lodging exchange rate risk, adjusting to client preferences and home currencies, evaluating performance, estimating a corporation's exposure to real exchange rate risk, strategies to hedge risk or to dynamically adjust to shocks, and reasons for a corporation to hedge. Also covers international capital budgeting, multinational transfer pricing, and international cash management."
"School of Business","Undergraduate Business","BUS-J 401","Administrative Policy","3 cr.","P: BUS-F 301, BUS-M 301, BUS-P 301, BUS-Z 302. Administration of business organizations â policy formulation, organization, methods, and executive control."
"School of Business","Undergraduate Business","BUS-J 404","Business and Society","3 cr.","P: Senior standing. Intellectual, philosophical, and scientific foundations of business. The business dynamic; its role in the evolution of enterprise and society from the small and simple to the large and complex; structure, discipline, and goals of a business society."
"School of Business","Undergraduate Business","BUS-K 201","The Computer in Business","3 cr.","Introduction to digital computers and illustrations of their use in business. Stored program concept, types of languages, instruction in a special language, utilization of Business Computing Center. Impact of computers upon business management and organization. Note: Student may receive credit for only one of BUS-K 201, CSCI-C 201, and CSCI-C 301."
"School of Business","Undergraduate Business","BUS-K 302","Introduction to Management Science","3 cr.","P: BUS-K 201 or equivalent, ECON-E 270, MATH-M 118 or MATH-M 133 and MATH-M 134 or MATH-M 215. An introductory management science course with a forecasting component of approximately 25 percent of the course. Topics covered include multiple regression, smoothing techniques, linear programming, integer programming, statistical decision theory, simulation and network analysis; coverage may also include inventory theory, Markov process, and goal programming. Heavy emphasis on the application of these topics to business decision making using computer."
"School of Business","Undergraduate Business","BUS-K 353","Business Analytics and Modeling","3 cr.","P: ECON-E 270 and (BUS-S 302 or BUS-K 321). High quality information is the key to successful management of businesses. Despite large quantity of data that is collected by organizations, managers struggle to obtain information that would help them in decision making. Data mining or predictive analytics is the use of machine learning algorithms to find patterns of relationships between data elements in large and noisy data sets, which can lead to actions that accrue organizational benefits, for example, by reduction of costs, enhancement of revenue and better management of business risks. Compared to traditional statistics, which often provide hindsight, the field of predictive analytics seeks to find patterns and classifications that look toward the future. By finding patterns previously not seen, predictive analytics not only provides a more complete understanding of data but also is the basis for models that predict, thus, enabling managers to make better decisions.Â"
"School of Business","Undergraduate Business","BUS-L 200","Elements of Business Law","3 cr.","This course introduces various legal rules governing contracts, their formation, performance, breach, and legal and equitable remedies. The primary focus will be on legal and equitable remedies. The primary focus will be on legal rules applicable to business. No credit toward a B.S.in Business; no credit for both BUS-L 200 or BUS-L 201."
"School of Business","Undergraduate Business","BUS-L 201","Legal Environment of Business","3 cr.","P: Sophomore standing. Emphasis on the nature of law by examining a few areas of general interest: duty to avoid harming others (torts), duty to keep promises (contracts), and government regulation of business (trade regulation). Credit not given for both BUS-L 201 and BUS-L 200."
"School of Business","Undergraduate Business","BUS-L 406","Employment Problems and the Law","3 cr.","P: BUS-L 201. Current legal problems in the area of employment. Topics include race and sex discrimination, harassment, the American with Disabilities Act, employment at ill, privacy issues such as drug testing, and limits on monitoring and testing."
"School of Business","Undergraduate Business","BUS-M 255","Topics in Marketing","1-5 cr.","P: Sophomore Standing Variable topic, variable credit course in Marketing."
"School of Business","Undergraduate Business","BUS-M 300","Introduction to Marketing","3 cr.","Examination of the market economy and marketing institutions in the U.S.Â  Decision making and planning from the manager's point of view; impact of marketing actions from the consumer's point of view. Credit not given for BUS-M 300 and BUS-M 301; no credit given toward a B.S. in Business."
"School of Business","Undergraduate Business","BUS-M 301","Introduction to Marketing Management","3 cr.","P: Admission to BUS, junior standing, ECON-E 201, ECON-E 202, BUS-A 201, BUS-A 202. Overview of marketing for all undergraduates. Marketing planning and decision making, examined from firm's and consumer's points of view; marketing concept and its company-wide implications; integration of marketing with other functions. Market structure and behavior and their relationship to marketing strategy. Marketing systems viewed in terms of both public and private policy in a pluralistic society."
"School of Business","Undergraduate Business","BUS-M 405","Buyer Behavior","3 cr.","P: BUS-M 301. Description and explanation of consumer behavior in retail markets. Topics include demographic, socioeconomic, psychographic, attitudinal, and group influences on consumer decision making. Applications to promotion, product design, distribution, pricing, and segmentation strategies."
"School of Business","Undergraduate Business","BUS-M 415","Advertising and Promotion Management","3 cr.","P: BUS-M 301. Basic advertising and sales-promotion concepts. The design, management, and integration of a firm's promotional strategy. Public policy aspects and the role of advertising in marketing communications in different cultures."
"School of Business","Undergraduate Business","BUS-M 450","Marketing Strategy","3 cr.","P: BUS-M 301 BUS-M 405, and senior standing with a marketing concentration. Ideally taken in student's last semester. Elective capstone course for marketing majors. Draws on and integrates materials previously taken. Focuses on decision problems in marketing strategy and policy design, and application of analytical tools for marketing and decision making."
"School of Business","Undergraduate Business","BUS-M 455","Topics in Marketing: Customer Relationship Marketing","3 cr.","P: BUS-M 301 and BUS-S 302. Managing customer life cycle, customer retention, understanding relationships, strategic customer relationship management, customer service, social media, and social customer relationship management."
"School of Business","Undergraduate Business","BUS-M 460","Digital Marketing","3 cr.","P: BUS-M 301 and consent of instructor. In the digital age of marketing, social networks and mobile applications have revolutionized how firms and consumers interact along the customer journey. This course provides a comprehensive survey of digital marketing approaches used by firms to achieve overall marketing goals. Students will get hands-on experience with social and digital marketing tools. Through a combination of lecture, case studies, and course projects students will learn to create and evaluate digital marketing strategies.Â"
"School of Business","Undergraduate Business","BUS-M 480","Professional Practice in Marketing","3-6 cr.","P: BUS-M 301, junior or senior standing with a concentration in marketing and permission of instructor. Work experience is provided in cooperating firms and agencies. Comprehensive written report required. Grades of S or F are assigned by the faculty."
"School of Business","Undergraduate Business","BUS-M 490","Special Studies in Marketing","3-6 cr.","P: BUS-M 301 and permission of instructor. Offers supervised individual study and research in the student's field of interest. The student will propose the investigation desired and, in conjunction with the instructor, will develop the scope of the work to be completed. Comprehensive written report required."
"School of Business","Undergraduate Business","BUS-M 491","Internship in Marketing","3 cr.","P: Junior or Senior standing and consent of supervising faculty member. Work experience in cooperating firm or organization. Forty (40) hours of work related to the academic discipline must be completed per credit hour earned. Internship should be coordinated with the supervising faculty member and the application should be completed and turned in to the School of Business office. S/F Graded."
"School of Business","Undergraduate Business","BUS-P 301","Operations Management","3 cr.","P: ECON-E 201, ECON-E 202, ECON-E 270. Analysis of planning and control decisions made by the operations manager of any enterprise. Topics include forecasting, production and capacity planning, project planning, operations scheduling, inventory control, work measurement, and productivity improvement."
"School of Business","Undergraduate Business","BUS-P 421","Supply Chain Management","3 cr.","P: BUS-P 301. This course focuses on the strategic design of supply chains with a particular focus on understanding customer value.Â  Supply chain strategy examines how companies can use the supply chain to gain a competitive advantage.Â  Students develop the ability to conceptualize, design, and implement supply chains aligned with product, market, and customer characteristics.Â  The course approaches supply chain management from a managerial perspective and introduces concepts in a format useful for management decision making including using case analysis, team-based learning and business presentations.Â  Topics include: Supply chain mapping; Supply chains and new products; Customer relationship management; Sustainability and SCM; Performance metrics; Collaboration; Customer service; and Supply chain risk management."
"School of Business","Undergraduate Business","BUS-P 491","Internship in Operations Management","3 cr.","P: Junior or Senior standing and consent of supervising faculty member. Work experience in cooperating firm or organization. Forty (40) hours of work related to the academic discipline must be completed per credit hour earned. Internship should be coordinated with the supervising faculty member and the application should be completed and turned in to the School of Business office."
"School of Business","Undergraduate Business","BUS-S 302","Management Information Systems","3 cr.","P: junior standing, BUS-K 201 or consent of instructor. Overview of management information systems (MIS) within a business context, MIS theory and practice as they relate to management and organization theories; current trends in MIS; managerial usage of information systems; computer hardware, software, and telecommunications; functional information systems; systems development process; the role of microcomputers. Experiential learning with widely used software packages."
"School of Business","Undergraduate Business","BUS-S 491","Internship in Management Information Systems","3 cr.","P: Junior or Senior standing and consent of supervising faculty member. Work experience in cooperating firm or organization. Forty (40) hours of work related to the academic discipline must be completed per credit hour earned. Internship should be coordinated with the supervising faculty member and the application should be completed and turned in to the School of Business office."
"School of Business","Undergraduate Business","BUS-W 100","Business Administration: Introduction","3 cr.","Business administration from the standpoint of a manager of a business firm operating in the contemporary economic, political, and social environment. No credit if taken in the junior or senior year."
"School of Business","Undergraduate Business","BUS-W 311","New Venture Creation","3 cr.","P: BUS-Z 302. Primarily for those interested in creating a new business venture.Â  Emphasis is on personal, rather than corporate goals and strategy; and on problems of creation, rather than management of an enterprise.Â  Each student develops an investment feasibility study for a new company he would like to create."
"School of Business","Undergraduate Business","BUS-W 430","Organizations and Organizational Change","3 cr.","P: BUS-Z 302. Analysis and development of organizational theories, with emphasis on environmental dependencies, socio-technical systems, structural design, and control of the performance of complex systems. Issues in organizational change such as barriers to change, appropriateness of intervention strategies and techniques, organizational analysis, and evaluation of formal change programs."
"School of Business","Undergraduate Business","BUS-W 480","Professional Practice in Management","3-6 cr.","P: BUS-Z 302, junior or senior standing with a concentration in management and consent of instructor. Application filed through Professional Practice Programs office. Provides work experience in cooperating firm or agency. Comprehensive written report required. Grades of S or F are assigned by faculty."
"School of Business","Undergraduate Business","BUS-W 490","Independent Study in Business Administration","1-6 cr.","P: Consent of instructor. Supervised individual study and research in student's special field of interest.Â  The student will propose the investigation desired and, in conjunction with the instructor, develop the scope of work to be completed."
"School of Business","Undergraduate Business","BUS-W 491","Internship in Management","3 cr.","P: Junior or Senior standing and consent of supervising faculty member. Work experience in cooperating firm or organization. Forty (40) hours of work related to the academic discipline must be completed per credit hour earned. Internship should be coordinated with the supervising faculty member and the application should be completed and turned in to the School of Business office."
"School of Business","Undergraduate Business","BUS-X 107","Freshman Seminar in Business","3 cr.","The Freshman Seminar in Business course is designed to assist freshman in their transition into college. This course provides students with the essential skills needed to succeed in college. Module I of this course focuses on student success; during the first 5 weeks, students will focus on study skills, team building, peer leadership, and interpersonal skills. Module II focuses on financial planning; students will focus on goal setting, budgeting, financial planning, cash management, and credit management. Module III focuses on career exploration; this final module allows students to begin thinking about their concentrations, their future, and what it will take to properly prepare themselves for their future careers."
"School of Business","Undergraduate Business","BUS-X 293","Honors Seminar in Business","1-3 cr.","For student in the Business Honors Program. May be taken twice for credit."
"School of Business","Undergraduate Business","BUS-X 410","Business Career Planning and Placement","1 cr.","This course will focus on career planning and development. Students will explore different career opportunities and work to identify within themselves the skills needed to succeed as a professional in a fast-changing, business environment. Assists students in obtaining positions consistent with career goals. Career planning, organized employment campaigns, job-application methods, performing well in interviews, and initial conduct on job will be topics covered in this course. We will also explore general professional development, such as the importance of effective networking and effective communication."
"School of Business","Undergraduate Business","BUS-X 487","Seminar in Business Administration","3-6 cr.","Instruction of an interdisciplinary nature for student groups involved in university-related, nonprofit ventures. Interested groups must be sponsored by a School of Business faculty member, as approved by the Curriculum Management and Assurance of Learning Committee (CMALC). May be repeated up to a maximum of 6 credits. Students must have a cumulative G.P.A. of 2.0 to enroll in the course."
"School of Business","Undergraduate Business","BUS-X 493","Honors Seminar in Business","1-3 cr.","For students in the Business Honors Program. May be repeated twice for credit."
"School of Business","Undergraduate Business","BUS-Z 302","Managing and Behavior in Organizations","3 cr.","P: PSY-P 103, and junior standing. Integration of behavior and organizational theories. Application of concepts and theories toward improving individual, group, and organizational performance. Builds from a behavioral foundation toward an understanding of managerial processes. Credit given for only one of BUS-Z 300, BUS-Z 301, or BUS-Z 302."
"School of Business","Undergraduate Business","BUS-Z 344","Introduction to Human Resource Management","3 cr.","P: BUS-Z 302. Introductory overview of human resources management. Special emphasis will be given to legal issues, diversity in the work force, and contemporary practices. Note: Credit not given for both BUS-Z 440 Personnel-Human Resource Management and BUS-Z 344."
"School of Business","Undergraduate Business","BUS-Z 440","Personnel-Human Resource Management","3 cr.","P: BUS-Z 302. Nature of human resource development and utilization in American society and organizations. Government programs and policies, labor force statistics, organizational personnel departments, personnel planning, forecasting, selection, training and development. Integration of government and organizational human resource programs."
"School of Business","Undergraduate Business","BUS-Z 456","Leadership Skills","3 cr.","P: BUS-Z 302. 


This course teaches students to identify and strengthen their general leadership skills and analyze the competitive job market to establish and develop career-specific leadership skills. Students are required to fulfill a minimum of 10 hours of leadership activities within an organization to hone and reflect upon their leadership skills.Â"
"School of Business","Undergraduate Business","BUS-Z 460","Organizational Culture and Engagement Best Practices","3 cr.","P: BUS-Z 302 and consent of instructor. This course addresses various aspects of human resources management as it relates to diagnosing and designing an intentional culture and best practices in employee engagement. The focus of the course is to understand how effective and aligned HR practices contribute to sustaining the organizational culture and exceeding stakeholder expectations."
"School of Business","Undergraduate Business","BUS-Z 470","Issues in Human Resources Management","3 cr.","P: BUS-Z 302 This course examines in depth selected topics in human resource management, such as HRIS, strategic human resource planning, recruitment, selection, engagement, culture, performance appraisal, compensation, training, employee rights, or health and safety."
"School of Business","Undergraduate Business","BUS-Z 480","Professional Practice in Human Resource Management","3-6 cr.","P: BUS-Z 302, junior or senior standing with a concentration in management and consent of instructor. Application filed through Professional Practice Programs office. Provides work experience in cooperating firm or agency. Comprehensive written report required. Grades of S or F assigned by faculty."
"School of Business","Undergraduate Business","BUS-Z 490","Independent Study in Personnel Management and Organizational Behavior","1-3 cr.","P: BUS-Z 302. For senior-year students with consent of instructor. Research, analysis, and discussion of current topics. Written report required."
"School of Business","Undergraduate Business","BUS-Z 491","Internship in Human Resources Management","3 cr.","P: Junior or Senior standing and consent of supervising faculty member. Work experience in cooperating firm or organization. Forty (40) hours of work related to the academic discipline must be completed per credit hour earned. Internship should be coordinated with the supervising faculty member and the application should be completed and turned in to the School of Business office."
"School of Business","Economics","ECON-E 200","Fundamentals of Economics","3 cr.","Study of the basic institutions of market economy and the role they play in defining and pursuing economic goals in the U.S. economy. Emphasis is placed upon the effects of existing economic institutions; current economic policy alternatives as they affect both the individual and the society. No credit toward a B.S.Â in Business; no credit for both ECON-E 200 and ECON-E 201."
"School of Business","Economics","ECON-E 201","Introduction of Microeconomics","3 cr.","P: MATH-M 105. Scarcity, opportunity cost, competitive market pricing, and interdependence as an analytical core. Individual sections apply this core to a variety of current economic policy problems such as poverty, pollution, excise taxes, rent controls, and farm subsidies."
"School of Business","Economics","ECON-E 202","Introduction to Macroeconomics","3 cr.","P: MATH-M 105. Measuring and explaining total economic performance, money, and monetary and fiscal policy as an analytical core. Individual sections apply this core to a variety of current economic policy problems such as inflation, unemployment, economic growth, and underdeveloped countries."
"School of Business","Economics","ECON-E 270","Introduction to Statistical Theory in Economics and Business","3 cr.","P: MATH-M 118. Review of basic probability concepts. Sampling, inference, and testing statistical hypotheses. Applications of regression and correlation theory, analysis of variance, and elementary decision theory. Credit not given for both ECON-E 270, PSY-K 300 and MATH-K 310."
"School of Business","Economics","ECON-E 300","Survey of Economics","3 cr.","Provides the macroeconomic and microeconomic understanding that mangers will use throughout their careers. Microeconomic topics include supply and demand, pricing, production and costs, and applications of microeconomic theory. Macroeconomic topics include international economics, monetary and fiscal policies, aggregate demand and aggregate supply, and models of the macro economy. This course does NOT count towards an undergraduate degree in business."
"School of Business","Economics","ECON-E 307","Current Economic Issues:  Game Theory","3 cr.","P: ECON-E 201. Current economic issues, problems, and research methods.Â  Designed to in depth an economic issue currently before the public or to examine a particular aspect of the methodology of economics.Â  Examples would be a study of the economic aspects of discrimination, a study of urban economic policy, or a study of simplified models in economics."
"School of Business","Economics","ECON-H 203","Introduction to Microeconomics Honors","3 cr.","For students in the Honors Program."
"School of Business","Hospitality and Tourism","HTM-H 191","Food Service Sanitation","3 cr.","The application of sanitary and public health engineering principles to food services and lodging operations."
"School of Business","Hospitality and Tourism","HTM-H 310","Event Catering Management","3 cr.","P: Sophomore standing. Exploration of off premise and on premise catering requirement. Concept of event food management including menu planning, budget preparation, logistics management, guest relations and marketing."
"School of Business","Hospitality and Tourism","HTM-H 315","Consumer Health","3 cr.","P: 30 + credit hours. This course is an overview or survey course of health products and services.Â  The health system is large and complex.Â  Therefore, the consumer needs to exercise proper discretion in selecting and properly utilizing the myriad of medical goods and services based upon personal values and decision-making skills. This course will also explore consumer issues related to proper selection of food and nutritional productions comparing different food labeling and costs.Â  Chronic Diseases in America are discussed from a consumer health approach."
"School of Business","Hospitality and Tourism","HTM-L 310","Event Catering Management Lab","1 cr.","P: HTM-H 191 and or HTM-H 310. Students will apply their knowledge of food and catering to execute and evaluate catered events."
"School of Business","Hospitality and Tourism","HTM-R 355","Outdoor Recreation Consortium","3 cr.","P: Sophomore standing. This experiential learning course is designed to convey both practical information and direct experience to students about components of outdoor recreation.Â  To accomplish this goal, students are taught practical skills at the Kokomo campus (e.g., basic survival, orienteering, fire-starting, etc.) and then they embark on a week-long camping trip at a state or national park (e.g. Great Smokey Mountain National Park or and Indiana State Park).Â  On the trip, students will set up a base camp followed by daily excursions."
"School of Business","Hospitality and Tourism","HTM-T 100","Introduction to Tourism Studies","3 cr.","Travel, trends, travel-modes, and economic impact on destination area.Â  Emphasis on local, regional, and national tourism."
"School of Business","Hospitality and Tourism","HTM-T 171","Introduction to Convention/Meeting Management","3 cr.","An overview of the conventions, expositions and meetings industry.Â  Focus will be on the operational aspects of various industry segments and the intra-industry of each."
"School of Business","Hospitality and Tourism","HTM-T 181","Lodging Industry Operations","3 cr.","Concepts of organization, communication, ethics and policy formulation in the front office.Â  Introducing the basic techniques and trends in systems and equipment available to meet the needs of the management and the guest."
"School of Business","Hospitality and Tourism","HTM-T 191","Sanitation and Health in Food Service, Lodging and Tourism","3 cr.","The application of sanitary and public health engineering principles to food service and lodging operations."
"School of Business","Hospitality and Tourism","HTM-T 210","Special Event Management","3 cr.","P: HTM-T 171 Course topics include planning for social events such as themed parties, weddings, balls, fundraiser recognition and entertainment events."
"School of Business","Hospitality and Tourism","HTM-T 218","Wines of the World","3 cr.","P: 21 years of age. An examination of wines produced in other countries, identifying the characteristics of the growing regions, types of wines produced, economic considerations of purchasing imported wines and marketing these wines to increase beverage sales."
"School of Business","Hospitality and Tourism","HTM-T 219","Management of Sports Events","3 cr.","Amateur or professional sport event planning will include discussion of site selection, logistics, personnel, marketing, economics, and legalities of hosting an event."
"School of Business","Hospitality and Tourism","HTM-T 271","Mechanics of Meeting Planning","3 cr.","P: HTM-T 171. An analysis of details pertinent to the organization and execution of a meeting. Topics include finances and contracts, site selection, program development, marketing, evaluation and wrap-up."
"School of Business","Hospitality and Tourism","HTM-T 306","Destination Planning","3 cr.","To prepare a business plan that presents a comprehensive outline of a proposed hospitality operation and includes a financial portfolio and work history of the applicant."
"School of Business","Hospitality and Tourism","HTM-T 310","Event Catering Management","3 cr.","Exploration of off and on premise catering requirement. Concept of event food management including menu planning, budget preparation, logistics management, guest relations and marketing."
"School of Business","Hospitality and Tourism","HTM-T 325","Food and Beverage Management","3 cr.","P: HTM-T 191. This course will educate students on the standards required for food and beverage operations. Â They will learn how to effectively manage food and beverage controls, operating budgets, health and safety in food preparation, menu management and pricing, purchasing and supplier selection, and service quality standardization."
"School of Business","Hospitality and Tourism","HTM-T 328","Introduction to Microbrewing","3 cr.","P: 21 years of age. This course deals with the principles of microbrewing, and each student will learn the basic concepts necessary to create beer. In this sense, students should come away from this class with the knowledge to build his or her own microbrewery. As well, this class teaches a general appreciation for brewing and beers around the world."
"School of Business","Hospitality and Tourism","HTM-T 334","Cultural Heritage Tourism","3 cr.","Cultural and heritage tourism balances visitor interests and needs against protecting cultural and heritage resources. This course examines the range of cultural and heritage assets that can become viable tourism attractions and looks at ways of linking quality cultural heritage tourism to community development. Special emphasis will be placed on Indiana cultural and heritage tourism."
"School of Business","Hospitality and Tourism","HTM-T 351","Tourism Experiences","3 cr.","P: HTM-T 100.  This course aims to evaluate tourism experiences from an interdisciplinary perspective, including the role of humans, nature/landscapes, built environments and technologies in staging tourism-experiences.Â  Elements include analysis and evaluation of tourism experiences involving hospitality, resorts, cultural/heritage locations, urban destinations and events.Â  The class will include techniques for managing quality tourism experiences and the developing new tourism experience for a tourism location."
"School of Business","Hospitality and Tourism","HTM-T 355","Interpretation and Tour Guiding for Destinations","3 cr.","P: HTM-T 100.  This course explores the communication processes and practices between resource managers and visitors at tourism locations including natural, cultural, historic and learning resource sites. Â This course includes principles and techniques of gathering, analyzing and disseminating information through various media, such as exhibits, presentations, publications and programs at museums, natural and cultural centers, and other tourism attractions."
"School of Business","Hospitality and Tourism","HTM-T 362","Economics of Tourism","3 cr.","P: HTM-T 100.  C: ECON-E 201 or ECON-E 200. To discuss the economic impact of travel on tourism's various sectors, and the quantitative methods that can be applied to travel forecasting and tourism principles."
"School of Business","Hospitality and Tourism","HTM-T 371","Special Event Management","3 cr.","Course topics include planning for social events such as themed parties, weddings, balls, fundraiser recognition and entertainment events."
"School of Business","Hospitality and Tourism","HTM-T 375","International Tourism","3 cr.","This course will help students have a better understanding of tourism practices from a global perspective by appraising the impact of international tourism from a cultural, social and economic point of view. Â This will involve examing the history, policy, and trends in the industry, research various aspects of the tourism industry, identifying potential careers, and acquiring workable use of terms, concepts, and principles."
"School of Business","Hospitality and Tourism","HTM-T 385","Beer and Spirits Management","3 cr.","P: 21 years of age. Students will be introduced to the basic principles of beer and spirits production with a primary focus on manufacturing quality criteria, beer and spirits styles, and sensory standards. Evaluation by tasting is an integral part of this course."
