"course_code","course_title","credits","department","level","description"
"MATE 5103","Principles of Materials Engineering: Fundamentals of Structure, Chemistry, and Physical Properties","(3-0) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Graduate standing or consent of instructor. Overviews of the fundamental underpinnings of structure-property relations of materials, which determines their behavior at the macro-, micro-, nano-, molecular- and atomic-levels, as used in passive and active components and systems for applications such as sensing, actuation, energy conversion and storage. This course has Differential Tuition."
"MATE 5113","Functions, Evaluations and Synthesis Technology of Advanced Materials","(3-0) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite:MATE 5103or consent of instructor. Introduction to state-of-the-art materials processing, properties evaluation, and performance optimization of semiconductor, electroceramics, composites, nanomaterials, and thin films. This course has Differential Tuition."
"MATE 5213","Sensing and Sensor Materials","(3-0) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Graduate standing or consent of instructor. Fundamentals of design, fabrication, and evaluation of advanced sensing materials and modern sensor technology. This course has Differential Tuition."
"MATE 5223","Structure-Chemistry-Property Relations in Materials Science and Engineering","(2-3) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Graduate standing or consent of instructor. Principles that govern assembly of crystal structures, building models of many of the technologically important crystal structures, and discussion of the impact of structure on the various fundamental mechanisms responsible for important and unique physical properties. Theory and principles are introduced along with hands-on experience of building structure models. Major topics include: Symmetry and Crystal Physics; Density, Mechanical Strength, and Anisotropy; Electronic Transport in Materials; and Thermal Properties. This course has Differential Tuition."
"MATE 5233","Anisotropy and Crystalline Materials","(2-3) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite:MATE 5103or consent of instructor. Symmetry operations through coordinate transformation matrices and stereographic projections. Tensor operations applied to anisotropic crystals, polar and axial symmetries. Principle and design of sensor applications including pyroelectricity, pyromagnetism, thermal expansion, dielectric constant, magnetic susceptibility, piezoelectricity, piezomagnetism, electrostriction, magnetostriction, index of refraction, and nonlinear optical effects. Mathematica is used to model and analyze a variety of tensor properties. This course has Differential Tuition."
"MATE 5243","Optic and Nonlinear Optical Materials","(3-0) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Graduate standing or consent of instructor. Mechanisms of polarization nonlinearity, electromagnetic wave propagation in optical and nonlinear optic materials, optoelectronic materials and their device applications. This course has Differential Tuition."
"MATE 5253","Magnetic Materials and Electromagnetic Engineering","(3-0) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Graduate standing or consent of instructor. Fundamental understanding of material responses to applied electromagnetic fields, correlated with time inversion symmetry, material chemistry, crystal structure, and microstructure for controlling and engineering electronic and magnetic properties. This course has Differential Tuition."
"MATE 5393","Topics in Advanced Materials Engineering","(3-0) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Graduate standing or consent of instructor. Topics to be selected on the structure and properties, preparation and processing, characterization and performance evaluation of materials, computational modeling and simulation, with emphasis on ceramics, electronic materials, engineered composites for sensor, actuator, energy conversion and storage, or biomedical applications. May be repeated for credit as topics vary for a given concentration. This course has Differential Tuition.  Course Fee: LRE1 $25; STSE $30."
"MATE 5493","Topics in Materials Engineering and Application","(2-3) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Graduate standing or consent of instructor.
Topic 1: Advanced technology in materials/devices fabrication and property evaluation
Topic 2: Micro- and nano-structure imaging and characterization
Topic 3: Thermodynamic phenomenological modeling of crystalline system, computational materials simulation and finite element Multiphysics analysis
Topic 4: Critical analysis of current development and literature in relevant materials research subject.
Concentration I aims at sensor, actuator, energy conversion and storage applications, while Concentration II aims at biocompatible materials and biomedical applications. Instructor may specify which concentration a given topic serves in a given semester or the course serves both concentrations. May be repeated for credit as topics vary. This course has Differential Tuition."
"MATE 5513","Fundamentals of Microfabrication and Application","(3-0) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Graduate standing or consent of instructor. This course describes the science of miniaturization which is essential for nanotechnology development. Microfabrication techniques for micro-electro-mechanical systems (MEMS), bioMEMS, microfluidics, and nanomaterials and their applications in biomedical research will be covered. This course has Differential Tuition.  Course Fee: LRE1 $25; STSE $30."
"MATE 5523","Biosensors: Fundamentals and Applications","(3-0) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Graduate standing or consent of instructor. This course will cover biosensing basics and in-depth view of device design and performance analysis. Topics include optical, electrochemical, acoustic, piezoelectric, and nano-biosensors. Emphasized applications in biomedical, environmental, and homeland security areas are discussed. This course has Differential Tuition."
"MATE 5543","Current Analytical Tools for Biomaterials Characterizations","(3-0) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Graduate standing or consent of instructor. This course introduces the fundamentals of biomaterials characterizations and its limitations. May be repeated for credit when topics vary. This course has Differential Tuition."
"MATE 6941","Master's Project","(0-0) 1 Credit Hour.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Consent of the Graduate Advisor of Record and Project Advisor. Conducted under the guidance of the Supervising Professor and the advice of the Master’s Nonthesis Committee. The nonthesis project will be an independent investigation or research in the chosen concentration and is generally completed in one semester. Additionally, the nonthesis investigation will be documented, evaluated by the Master’s Nonthesis Committee, and placed in the student’s record indicating successful completion of the project. May be repeated for credit, but not more than 3 hours will apply to the Master’s degree. This course has Differential Tuition."
"MATE 6942","Master's Project","(0-0) 2 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Consent of the Graduate Advisor of Record and Project Advisor. Conducted under the guidance of the Supervising Professor and the advice of the Master’s Nonthesis Committee. The nonthesis project will be an independent investigation or research in the chosen concentration and is generally completed in one semester. Additionally, the nonthesis investigation will be documented, evaluated by the Master’s Nonthesis Committee, and placed in the student’s record indicating successful completion of the project. May be repeated for credit, but not more than 3 hours will apply to the Master’s degree. This course has Differential Tuition."
"MATE 6943","Master's Project","(0-0) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Consent of the Graduate Advisor of Record and Project Advisor. Conducted under the guidance of the Supervising Professor and the advice of the Master’s Nonthesis Committee. The nonthesis project will be an independent investigation or research in the chosen concentration and is generally completed in one semester. Additionally, the nonthesis investigation will be documented, evaluated by the Master’s Nonthesis Committee, and placed in the student’s record indicating successful completion of the project. May be repeated for credit, but not more than 3 hours will apply to the Master’s degree. This course has Differential Tuition."
"MATE 6951","Directed Research in Advanced Materials Engineering","(0-0) 1 Credit Hour.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Graduate standing and permission in writing of the instructor and the Graduate Advisor of Record. Independent reading, research, discussion, and/or writing under the direction of a faculty member. For students needing specialized work not normally or not often available as part of the regular course offerings. May be repeated for credit, but not more than 3 hours will apply to the Master’s degree. This course has Differential Tuition."
"MATE 6952","Directed Research in Advanced Materials Engineering","(0-0) 2 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Graduate standing and permission in writing of the instructor and the Graduate Advisor of Record. Independent reading, research, discussion, and/or writing under the direction of a faculty member. For students needing specialized work not normally or not often available as part of the regular course offerings. May be repeated for credit, but not more than 3 hours will apply to the Master’s degree. This course has Differential Tuition."
"MATE 6953","Directed Research in Advanced Materials Engineering","(0-0) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Graduate standing and permission in writing of the instructor and the Graduate Advisor of Record. Independent reading, research, discussion, and/or writing under the direction of a faculty member. For students needing specialized work not normally or not often available as part of the regular course offerings. May be repeated for credit, but not more than 3 hours will apply to the Master’s degree. This course has Differential Tuition."
"MATE 6961","Comprehensive Examination","(0-0) 1 Credit Hour.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Consent of the Graduate Advisor of Record. Independent study course for the purpose of taking the Comprehensive Examination. May be repeated for credit as many times as approved by the Graduate Studies Committee. Enrollment is required each term in which the Comprehensive Examination is taken if no other courses are being taken that term. The grade report for the course is either “CR” (satisfactory performance on the Comprehensive Examination) or “NC” (unsatisfactory performance on the Comprehensive Examination). This course has Differential Tuition."
"MATE 6981","Master's Thesis Research","(0-0) 1 Credit Hour.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Consent of the Graduate Advisor of Record and Thesis Advisor. Thesis research and preparation conducted under the guidance of the Supervising Professor and the advice of the Master’s Thesis Committee. The thesis is an original contribution to scholarship, based on intense independent investigation or graduate research in the chosen concentration. Thesis option students are required to successfully present and defend their thesis, which serves as the oral comprehensive examination for the thesis option. Final approval of the thesis by the Graduate School will serve as an indication of the successful completion of the research. May be repeated for credit, but not more than 6 hours will apply to the Master’s degree. Credit will be awarded upon completion of the thesis. Enrollment is required each term in which the thesis is in progress. This course has Differential Tuition."
"MATE 6982","Master's Thesis Research","(0-0) 2 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Consent of the Graduate Advisor of Record and Thesis Advisor. Thesis research and preparation conducted under the guidance of the Supervising Professor and the advice of the Master’s Thesis Committee. The thesis is an original contribution to scholarship, based on intense independent investigation or graduate research in the chosen concentration. Thesis option students are required to successfully present and defend their thesis, which serves as the oral comprehensive examination for the thesis option. Final approval of the thesis by the Graduate School will serve as an indication of the successful completion of the research. May be repeated for credit, but not more than 6 hours will apply to the Master’s degree. Credit will be awarded upon completion of the thesis. Enrollment is required each term in which the thesis is in progress. This course has Differential Tuition."
"MATE 6983","Master's Thesis Research","(0-0) 3 Credit Hours.","Advanced Materials Engineering (MATE)","Graduate","Prerequisite: Consent of the Graduate Advisor of Record and Thesis Advisor. Thesis research and preparation conducted under the guidance of the Supervising Professor and the advice of the Master’s Thesis Committee. The thesis is an original contribution to scholarship, based on intense independent investigation or graduate research in the chosen concentration. Thesis option students are required to successfully present and defend their thesis, which serves as the oral comprehensive examination for the thesis option. Final approval of the thesis by the Graduate School will serve as an indication of the successful completion of the research. May be repeated for credit, but not more than 6 hours will apply to the Master’s degree. Credit will be awarded upon completion of the thesis. Enrollment is required each term in which the thesis is in progress. This course has Differential Tuition."
"AAS 6943","Internship in African American Studies","(0-0) 3 Credit Hours.","African American Studies (AAS)","Graduate","A supervised experience, relevant to the student’s program of study within selected community organizations and agencies. May be repeated for a total of 6 semester credit hours. Course Fees: GH01 $90; INT1 $150; STSH $30."
"AAS 6953","Independent Study","(0-0) 3 Credit Hours.","African American Studies (AAS)","Graduate","Independent reading, research, discussion, and/or writing under the direction of a faculty member. For students needing specialized work not normally or not often available as part of the regular course offerings. May be repeated for credit, but no more than 6 hours will apply to the Master's Degree. Course Fees: GH01 $90; STSH $30."
"AAS 6973","Special Topics in African American Studies","(3-0) 3 Credit Hours.","African American Studies (AAS)","Graduate","An organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special problems/topics courses may be repeated for credit when the topics vary, but no more than 6 hours, regardless of discipline, will apply to the Master's degree. Course Fees: GH01 $90; LRH1 $20; STSH $30."
"ANT 5023","History, Method, and Theory of Archaeology","(3-0) 3 Credit Hours.","Anthropology (ANT)","Graduate","A survey of the history and development of archaeology, research techniques, and method and theory of prehistoric research. May be repeated for credit with different instructors. Course Fee: GL01 $90."
"ANT 5033","Theory in Cultural Anthropology","(3-0) 3 Credit Hours.","Anthropology (ANT)","Graduate","This course surveys the main conceptual, methodological, and theoretical developments in cultural anthropology. (Formerly titled “Paradigms of Americanist Anthropology.”) Course Fee: GL01 $90; STLF $18.48."
"ANT 5043","Seminar in Laboratory Methods in Anthropology","(3-0) 3 Credit Hours.","Anthropology (ANT)","Graduate","This seminar reviews the physical and technical aspects of analysis of anthropological materials. May be repeated for credit when topics vary. Course Fee: GL01 $90."
"ANT 5073","Advanced Biological Anthropology","(3-0) 3 Credit Hours.","Anthropology (ANT)","Graduate","An intensive review of the history of biological anthropology and current developments in method and theory. Topics will be drawn from the four major areas of biological anthropology: genetics and evolutionary theory, human variation and adaptation, primatology, and paleoanthropology. Course Fee: GL01 $90; STLF $18.48."
"ANT 5113","Professional Skills Development","(3-0) 3 Credit Hours.","Anthropology (ANT)","Graduate","This course provides an overview of the various skills necessary for obtaining a position and working in an academic environment, one specifically involving research and teaching at the university level. Topics include: basic leadership skills, grant application preparation, research ethics, giving a presentation/poster, developing a syllabus, preparing for the job market, what to expect as a new faculty member, how to peer review manuscript/grant applications, communicating science to the public, and mentoring future students. Course Fee: GL01 $90."
"ANT 5283","Hunters and Gatherers","(3-0) 3 Credit Hours.","Anthropology (ANT)","Graduate","A study of the major issues archaeologists address concerning the cultural ecology and cultural evolution of hunters and gatherers around the world. Course Fee: GL01 $90."
"ANT 5313","Seminar in Archaeological Research Techniques","(3-0) 3 Credit Hours.","Anthropology (ANT)","Graduate","This course addresses key archaeological research strategies involved in the acquisition and analysis of archaeological data. Topics may include survey and excavation strategies as well as analyses of various archaeological materials, such as ceramics or lithics. The course highlights the integration of these techniques into broader research designs and their application to important questions about the past. May be repeated for credit when topics vary. Course Fee: GL01 $90."
"ANT 5413","Seminar in the Prehistory of Texas and Adjacent Areas","(3-0) 3 Credit Hours.","Anthropology (ANT)","Graduate","Intensive study of prehistoric and early historic aboriginal cultures of Texas and adjacent areas. Focus is on problems of interpretation, current archaeological research of the region, and the impact of federal legislation on Texas archaeology. Course Fee: GL01 $90."
"ANT 5453","Seminar on the Archaeology of the American Southwest and Adjacent Regions","(3-0) 3 Credit Hours.","Anthropology (ANT)","Graduate","Review of the major prehistoric cultures of the American Southwest, including the Anasazi, Mogollon, and Hohokam cultural regions and adjacent areas. Emphasis is on current research. Course Fee: GL01 $90."
"ANT 5483","Landscape and Settlement","(3-0) 3 Credit Hours.","Anthropology (ANT)","Graduate","This course explores the wide array of data and theories used to identify and explain the patterned distribution of human activity. The significance of settlement pattern data is underscored, and relationships between data and theory are critically evaluated. Course Fee: GL01 $90; STLF $18.48."
"ANT 5553","Field Course in Archaeology","(3-0) 3 Credit Hours.","Anthropology (ANT)","Graduate","Prerequisite: Consent of instructor.
The opportunity for advanced training in field procedures and their applications to problem-oriented field research. May be repeated for credit. Course Fee: GL01 $90."
"ANT 5556","Field Course in Archaeology","(2-12) 6 Credit Hours.","Anthropology (ANT)","Graduate","Prerequisite: Consent of instructor.
The opportunity for advanced training in field procedures and their applications to problem-oriented field research. May be repeated for credit. Course Fee: GL01 $180."
"ANT 5563","Seminar in Andean Archaeology and Ethnography","(3-0) 3 Credit Hours.","Anthropology (ANT)","Graduate","This seminar focuses on Andean anthropology from the perspective of archaeology, ethnology, and ethnohistory. Topics include the development of civilizations such as Tiwanaku and the Inka, the Colonial period, and the politics of indigenism and the state. May be repeated for credit when topics vary. Course Fee: GL01 $90."
"ANT 5573","Anthropology and Science","(3-0) 3 Credit Hours.","Anthropology (ANT)","Graduate","This course examines anthropology’s historical and ongoing relationship to science, scientific theory, and the ethnography of science. Attention is paid to methodological, epistemological, and ontological debates as they inform current practices. Course Fee: GL01 $90; STLF $18.48."
