"course_code","course_name","credits","college_name","department","description"
"AMS 2300","American Popular Culture","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 2300   Examines American culture historically through some of its most popular cultural forms: fiction, film, magazines, advertising, music, sports, television and media. Considers the economics of cultural production, ways of critically reading popular texts, and how consumers make use of popular culture. Pays particular attention to the ways gender, race, and class influence how popular texts are created and consumed. (3-0) Y"
"AMS 2330","Religion and Politics","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 2330   This course is designed to introduce students to the relationship between religion and politics from the Colonial period to the present. Students will explore the role of Catholicism, Protestantism, Judaism, and Islam on the national political landscape. (3-0) Y"
"AMS 2341","American Studies for the Twenty-First Century","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 2341   An introduction to American cultural studies, its theories, and methodologies. Topics may include: religion and politics; transnationalism; gender and sexuality; class, labor and consumption; race and ethnicity. The course develops students' abilities to interpret cultural texts, to make and evaluate historical and literary arguments, and to situate contemporary cultural debates in larger historical and theoretical frames. (3-0) Y"
"AMS 2375","Sport and Culture","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 2375   This course explores the representation of sports in popular culture in order to examine their impact on American attitudes about race, gender, class, and power. (3-0) Y"
"AMS 2390","Topics in American Studies","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 2390   The course is designed mainly for sophomores. May be repeated for credit as topics vary (9 semester credit hours maximum). (3-0) R"
"AMS 3302","American Cultures","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 3302   Study of contemporary American cultures. The course examines institutions, culture regions, and the interaction between mainstream American culture and various subcultures. (3-0) Y"
"AMS 3316","Interpersonal Communication","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 3316   Study of theory and practice of interpersonal communication. The focus will be on learning and applying various concepts and skills needed to improve the quality and effectiveness of communication in both personal and professional aspects of life. (3-0) S"
"AMS 3322","American Ethnic Experience: Immigrants After 1945","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 3322   Study of the experiences, conditions, and contributions of the new immigrants who have arrived in America since 1945. Topics include the changes in immigration policies, new patterns of ethnic relations, and impact of new immigrants on American society. (3-0) T"
"AMS 3327","American Studies: Histories, Theories, Methodologies","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 3327   This course surveys the development of the field of American Studies, highlighting its interdisciplinary character. Students will be introduced to the texts, theories, and debates that have shaped the discipline. Additionally, they will explore the resources, methods, and techniques American Studies scholars have traditionally employed, and will gain experience in applying those practices to their own interdisciplinary research projects. (3-0) Y"
"AMS 3350","Crisis Communication","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 3350   An introduction to the concepts, terms, strategies, and foundations of communication prior to, during and after a crisis. This course looks beyond the basic elements of communication into how a crisis changes elements of communication. (3-0) Y"
"AMS 3374","Entrepreneurs in America","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 3374   An interdisciplinary introduction to various kinds of entrepreneurial ventures. The basic purpose of the course is to discover and understand the factors that govern the success (or failure) of entrepreneurial ventures and the role of the entrepreneur in a capitalist economy. (3-0) R"
"AMS 4300","Oral and Written Communication for the Classroom","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 4300   This course provides future teachers with the ability to understand, use, and teach effective classroom communication and to employ effective speaking techniques as well as write efficacious sentences, paragraphs, and essays and make effective oral presentations. By becoming proficient in these areas, future teachers will know how to score student essays and deliver viable classroom instruction. (3-0) S"
"AMS 4301","1960's Radicals, Revolutionaries, and Reactionaries","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 4301   This course delves into the decade of the 1960s. Students will use primary and secondary texts to examine how events during the 1960s are remembered and how various social movements offered competing visions for America. (3-0) Y"
"AMS 4304","Communication in America","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 4304   This course examines the basic verbal and non-verbal elements affecting communication in American society. Perspectives to be addressed include communication across cultures, gender differences in communication, interpersonal communication styles, and communication in peer groups, families, and work contexts. In addition, the effects of technology on communication and its impact on individuals and society will be explored. (3-0) T"
"AMS 4305","World History for Teachers","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 4305   This course is a comprehensive thematic survey of world history that parallels the standards in the Texas Essential Knowledge and Skills (TEKS) as required for teachers in grades 8 through 12. (3-0) S"
"AMS 4327","The Culture of Bullying in America","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 4327   This course provides a broad overview of the phenomenon of bullying in our culture as it plays out in schools, organizations, cyberspace, and the workplace. The course will examine current events/incidents, research, and trends on bullying in American culture, past to present. Bullying within schools, bully/victim characteristics and trends, gender in bullying, and bullying motivations will also be discussed. The course will consider the notion of ""rank"" in the dimensions of bullying and how it relates to the epidemic of bullying in American life, along with culture as it intersects with bullying activities and moral development. (3-0) Y"
"AMS 4360","Gender and Alcohol in America","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 4360   This course examines women and men's historical role as crusaders against alcohol and identifies how the role of reformer was gendered. Identifies the genesis of the disease concept of alcoholism and how it was applied to men and women in different ways. This course also examines gendered ideas about male and female drinking and how they are represented in popular culture, literature, and film. (Same as GST 4360) (3-0) Y"
"AMS 4379","Special Topics in American Studies","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 4379   The course is designed mainly for seniors. May be repeated for credit as topics vary (9 semester credit hours maximum). (3-0) Y"
"AMS 4381","Senior Honors in American Studies","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 4381   Required for graduation magna cum laude or summa cum laude. Prerequisite: Completion of at least 39 and no more than 45 hours of work towards a degree in American Studies and instructor consent required. (3-0) R"
"AMS 4385","Professional Communications in Business","3 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 4385   Combines theory and practice in improving both the written and spoken word in business. Students learn to evaluate professional and technical audiences and how to communicate more effectively to those audiences. Principles of composition, organization, tone, format, and punctuation are reviewed. Exercises in effective speaking and group presentations are also conducted. This course is offered in an online format only. At the discretion of the professor, exams of fully online courses may use proctoring software that requires a webcam scan of the testing area and the recording of all activity during the exam. (3-0) Y"
"AMS 4V80","Independent Study","1-6 semester credit hours","School of Interdisciplinary Studies","American Studies","AMS 4V80   Independent study under a faculty member's direction. May be repeated for credit (6 semester credit hours maximum). Instructor consent required. ([1-6]-0) R"
"ANGM 2303","Project Management for Arts, Technology, and Emerging Communication I","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 2303   Introduction to project management and professional practice. Course examines various aspects of project management in the digital age, including team building, group dynamics, communication, collaborative practice, pipeline development, and presentation. (0-3) S"
"ANGM 2305","Programming for Digital Arts","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 2305   This course introduces the foundations of programming to solve problems and generate art for applications in graphics, animation, film, games, and visualization. Topics include foundational coding skills to read, modify, and write code from scratch. (1-1) S"
"ANGM 2309","Drawing for Animation","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 2309   This online course provides fundamental drawing skills and techniques required of artists in the animation and entertainment industry. Students will draw scenes in 1, 2, and 3 point perspective, create object turns, and learn how basic image composition and value create clarity, resulting in the creation of visually engaging storytelling drawings. This course allows students to work digitally, traditionally, or both. Online only. (0-3) S"
"ANGM 2310","Animation and Game Fundamentals","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 2310   This course will provide students a foundation in the practices and methods of computer animation and games. Students will gain exposure to the various areas of production pipelines through lectures supported by hands-on lab sessions. Topics may include the state of the industry, non-traditional applications, basic project management, and future directions. (3-0) S"
"ANGM 2315","Animation Origins and Techniques","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 2315   This course investigates the historical development of animation as a worldwide medium from its origins to contemporary times. In each class, pioneering commercial and experimental animations, their artists and studios are showcased, studied, and analyzed, considering their relevance and influence on current-day animation practices and techniques. (3-0) Y"
"ANGM 2325","History of Visual Effects","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 2325   This course will focus on the creative history of Visual Effects in live-action films and feature animation. The course material will cover the origins of traditional VFX techniques all the way up to modern contemporary visualization methods. We will study the evolution of Visual Effects through the work and influence of VFX pioneers, creative visionaries, and landmark films. (3-0) Y"
"ANGM 2335","History of Audio Technology in Media","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 2335   This course examines the cultural, social, and economic influence audio recording technology has had on all forms of visual media. Students will discover the linear development of the recording process, learn how each technological breakthrough impacted media as an industry, and discuss the influence of current technology on media. (3-0) Y"
"ANGM 2345","Introduction to Audio Production","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 2345   This course will provide students with a foundation in audio recording, editing, mixing, and in concepts of sound design related to animation, video games, movies, and other multimedia productions. (0-3) S"
"ANGM 2375","History of Games","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 2375   Exploration of the history and culture of digital and analog games, from the early days of the computer industry to the beginning of the 21st century. Students in the course will investigate the origins of game design principles and mechanics that influence modern game design philosophy and the field of game studies. (3-0) Y"
"ANGM 3304","Character Design","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 3304   Character Design explores basic design principles such as shape language, silhouette, proportion, etc. as they relate to characters for games, animation, and other visual and interactive media. This course will cover human & animal construction, form, turnarounds, size comparisons, and dynamic posing, along with development of costumes, character personality, and emotional expressions to formulate believable, relatable, and appealing designs. This course explores multiple mediums, traditional & digital. Prerequisite: ANGM 2309 with a grade of B or better. (0-3) S"
"ANGM 3305","Computer Animation I","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 3305   This course presents the concepts, tools and techniques used in 3D key frame animation. Topics will cover the 12 principles of animation including squash and stretch, anticipation, overlapping motion, timing, and more. Students will learn to animate using per-existing rigs and set-ups. Prerequisite: ANGM 2310 with a grade of B or better. (0-3) S"
"ANGM 3306","Modeling and Texturing I","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 3306   This course presents the basic concepts and fundamentals of computer modeling and texture creation. The principles and techniques covered are universal and can be applied to animation and gaming, as well as other visualization areas. This course does not require any previous 3D animation experience and will assume all students are new to 3D modeling and texturing, and industry professional software. Prerequisite: ANGM 2310 with a grade of B or better. (0-3) S"
"ANGM 3307","Lighting and Composition I","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 3307   This course presents basic concepts and fundamentals of digital lighting and basic composition. The principles and techniques covered are universal and can be applied to both animation and gaming, as well as other visualization areas. This course does not require previous 3D animation experience and will assume all students are new to 3D lighting and industry professional software. Prerequisite: ANGM 2310 with a grade of B or better. (0-3) S"
"ANGM 3308","Rigging I","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 3308   This course presents the concepts, tools, and techniques used in 3D animation for setting up clean and efficient 3D rigs that are easily able to be animated. Topics will include hierarchical structures, joints and bones, constraints, creating useful and predictable deformations, and setting up simple and intuitive control structures for use in animation. Introductory animation techniques will also be covered. Prerequisite: ANGM 2310 with a grade of B or better. (0-3) S"
"ANGM 3310","Introduction to Proceduralism","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 3310   This course introduces procedural methods and techniques used to create 3D graphics for film, motion graphics, real-time experiences and visualization. Topics include procedural assets, environments, animation, lighting and compositing. Students learn foundational Houdini skills to create procedural art. Prerequisite: ANGM 2310 with a grade of B or better. (0-3) Y"
"ANGM 3311","Scripting for Animation","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 3311   Exploration of processes and practices in tools, engine, and pipeline development for games, animation, and other digital media. Prerequisites: (ANGM 2305 or CS 1335 or CS 1337) and (ANGM 2310 with a grade of B or better). (0-3) S"
"ANGM 3312","Surfacing and Shading","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 3312   This course introduces advanced techniques for surfacing and materials creation used in both film and games. Specific techniques may include UVing, procedural shaders, and look development using image editing and animation software. Students will also gain experience developing shaders inside a game engine. Prerequisite: ANGM 3306. (0-3) R"
"ANGM 3313","2D Animation","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 3313   2D Animation introduces students to traditional 2D digital animation techniques. A solid foundation of animation principles and theories will be built before exploring more advanced topics such as weight, physicality, emotion, and basic character. Prerequisite: ANGM 2309 with a grade of B or better. (0-3) S"
"ANGM 3314","Background Design","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 3314   Background Design is an introduction to designing dynamic interiors and exteriors for games and animation. This course will focus on proper perspective, composition, set dressing, scale, and more as they relate to designing believable buildings and environments no matter the genre. This course explores multiple mediums, traditional and digital. Prerequisite: ANGM 2309 with a grade of B or better. (0-3) Y"
"ANGM 3315","Animation Studies","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 3315   This course offers an overview of the academic field of animation studies, approaching it through key pillars: theory and concepts; form and genres; diversity and representation. Students learn to watch and write about animation critically, discussing its content and production process while critically reflecting upon the industry's current state. Prerequisite: ANGM 2315 or ATCM 2321 or ATCM 3301. (3-0) Y"
"ANGM 3320","Stop Motion Animation","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Animation and Games","ANGM 3320   Course offers introductory Animation principles while exploring stop frame animation including techniques and stylized principles utilized in this unique animation style and its various types and processes. Sections may be devoted to a single form of stop frame animation or to a variety of subjects in the field. (0-3) R"
