"course_code","course_name","description","department","credits"
"EAC 536","Issues and Trends In Education For the Health Professions","An analysis of educational and social factors influencing change in health professions education. Problems of student selection and program articulation, and implications for health occupations education and health services of recent legislation impacting health care.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 538","Instructional Strategies In Adult and Higher Education","Forms of instruction appropriate for the teaching of adults. Special emphasis upon methods for maximum involvement of the adult learner.  Relevant concepts, theories and principles for selection, utilization and evaluation of instructional strategies with focus on integration of theory into practice. Development of student proficiency in use of applicable teaching techniques for adult and community college education through participation in classroom exercises.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 539","Teaching in the Online Environment","The course focuses on exploring the issues and considerations in online teaching and introduce students to some of the tools involved in the process.  Students will develop strategies for teaching online and for managing the online classroom.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 540","Foundations of Higher Education and Student Affairs","Examines knowledge that guides professional practice in higher education and student affairs, such as: history of higher education, professional development practices, student characteristics, group process, and helping and advising skills.  Programmatic applications are emphasized through class assignments.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 541","Administration and Finance of Student Affairs","Examination of the role of student affairs in higher education institutions to include: organizational structures, leadership and decision-making, planning and budgeting, staffing and supervision.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 542","College Environments","Study of the history and philosophy of student affairs, the impact of college on students and current issues of concern to students and student affairs professionals.  Good practices of student affairs in the context of student learning are identified and current literature is reviewed.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 543","Student Development Theory","Gain an understanding of the major student development theories and emerging professional literatures in this area. Provide opportunities for students to develop skills in applying student developmental theory to specific student affairs settings, issues, and populations.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 544","History of the College Student Experience in the United States","This course will review the history of higher education in the United States from the colonial period to the present with particular attention to the ways in which shifting policies and practices in higher education institutions have affected the college student experience and the student affairs profession.  Graduate standing or PBS status required.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 545","Higher Education Masters Professional Seminar","Emphasizes application of concepts and theories learned in previously completed coursework to understand and analyze current issues facing student affairs professionals. Focuses particularly on the job search process and transition out of graduate school. Facilitates the transition from student to full-time student affairs professional through critical examination, synthesis, integration, and practical application of prior and concurrent coursework.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 551","Research in Adult & Higher Education","Introduces master's students studying adult learning and higher education to two major research paradigms in education, quantitative and qualitative research, and to the research literature of disciplines related to the education of adults. Students will learn how to distinguish between research and non-research materials, and how to evaluate quantitative and qualitative research studies on the basis of their research merit.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 552","College Student Retention","Exploration of college student retention theories, relevant research, and exemplary retention programs.  Examines student retention and completion within four-year colleges and universities as well as student persistence within and transfer from community colleges.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 555","Ethics in the Workplace and Education","Introduction to ethics and social responsibility in adult education, training, higher education and other work and educational environments in a global setting.  Emphasis on addressing moral and ethical issues in the workplace and education by applying critical thinking and analysis processes to ethical dilemmas.  Graduate standing or PBS status required.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 556","Organization Change in HRD: Theory & Practice","Organization Change in Human Resource Development provides an introduction to the theory and practice of change within the context of adult education programs, other organizations, communities and societies.  Graduate standing or PBS status required.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 559","The Adult Learner","An inquiry into the characteristics and background, learning processes, motivation and participation of adult learners in a variety of educational contexts.  Emphasis on adult learning theories, models, principles and their application to educational design and delivery.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 560","Assessment & Evaluation in Adult & Higher Education","Introduces students to assessment and evaluation principles and practices from a range of perspectives.  Covers uses and limitations of a broad range of assessment and evaluation approaches in adult education settings, with particular focus on college and university teaching.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 580","Designing Instructional Systems in Training and Development","Introduction to instructional design models including needs assessment, systematic training design and development techniques and proactive strategies for evaluating training programs.  Instructional design issues of work-based training, learner characteristics and effects of technology on instructional design, implementation and evaluation processes.  Graduate standing or PBS status required.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 581","Advanced Instructional Design in Training and Development","In-depth analysis of instructional systems design (ISD) theory and practice using professional competency models.  Organizational training requirements, development of performance objectives and measures, design of instructional materials, and address of evaluation issues in training programs in business and industry.  Research and development of instructional design projects relating to ISD process and model.  Graduate standing or PBS status required.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 582","Organization and Operation Of Training and Development Programs","Overview of occupational education practice in business and industrial settings. Presentation of roles common to training and development specialists, including managerial concerns related to organization, operation and financial training and development programs.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 583","Needs Assessment and Task Analysis in Training and Development","Current needs assessment and task analysis methods and techniques used in business and industrial settings.  Development of comprehensive needs assessment plans for diagnosing and documenting human performance deficiencies/improvement opportunities through training programs in business settings.  Graduate standing or PBS status required.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 584","Evaluating Training Transfer and Effectiveness","Philosophy, strategies, and procedures for evaluating effectiveness of training programs.  Development of multi-level evaluation plan for use with training program to study outcomes and process of training from perception to organizational impact.  Design of evaluation methods and instruments, data collection, analysis, and interpretation for each level of evaluation emphasizing transfer of training.  Graduate standing or PBS status required.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 585","Integrating Technology into Training Program","Appropriate technologies for design and delivery of effective training programs.  Performance-based training models for distance and individualized learning through audio, video, computer-based, and multimedia technologies.  Planning decisions for selecting/developing appropriate technologies to support specific training outcomes, adult learner characteristics, and organizational training resources.  Graduate standing or PBS status required.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 586","Methods and Techniques Of Training and Development","Methods and techniques common to model occupational education programs in business and industrial settings.  Focus on design and evaluation of effective learning programs and instructional methodologies.  Graduate standing or PBS status required.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 595","Special Topics","Typically offered in Fall, Spring, and Summer","Adult & Higher Education (EAC)","(3-6 credit hours)"
"EAC 602","Seminar In Adult and Higher Education","Identification and scientific analysis of major issues and problems relevant to adult education or higher education. Course credit at the master's level through active student participation in a formal seminar and scientific appraisal and solution of a selected problem. Student acquisition of a broad perspective of issues confronting adult educators and experiences in scientific analysis and solution of specific issues.","Adult & Higher Education (EAC)","(1-3 credit hours)"
"EAC 624","Topical Problems In Adult and Community College Education","Study and scientific analysis of problems in adult education and preparation of a scholarly research type of paper. Credits Arranged.","Adult & Higher Education (EAC)","(1-3 credit hours)"
"EAC 630","Independent Study in Adult and Community College Education","Independent study for master's students in Adult and community College Education.","Adult & Higher Education (EAC)","(1-3 credit hours)"
"EAC 651","Internship In Adult and Community College Education","Utilization of the participant-observer role with required participation in selected educational situations. Emphasis upon observational skills' development, the recording of relevant observations through written journals, analysis of experiences identifying critical incidents and projection of events and consequences. Student development and selection of possible alternative courses of action in various situations and evaluation of the consequences of the selected course of action.","Adult & Higher Education (EAC)","(1-9 credit hours)"
"EAC 685","Master's Supervised Teaching","Teaching experience under the mentorship of faculty who assist the student in planning for the teaching assignment, observe and provide feedback to the student during the teaching assignment, and evaluate the student upon completion of the assignment.","Adult & Higher Education (EAC)","(1-3 credit hours)"
"EAC 692","Research Projects In Education","A project or problem in research in education for graduate students, supervised by members of graduate faculty. Choice of research on basis of individual students' interests and not to be part of thesis or dissertation research.","Adult & Higher Education (EAC)","(1-3 credit hours)"
"EAC 693","Master's Supervised Research","Instruction in research and research under the mentorship of a member of the Graduate Faculty.","Adult & Higher Education (EAC)","(1-9 credit hours)"
"EAC 695","Master's Thesis Research","Thesis research.","Adult & Higher Education (EAC)","(1-9 credit hours)"
"EAC 696","Summer Thesis Research","For graduate students whose programs of work specify no formal course work during a summer session and who will be devoting full time to thesis research.","Adult & Higher Education (EAC)","(1 credit hours)"
"EAC 699/ECD 699/ECI 699/ELP 699/EMS 699/EOE 699","Master's Thesis Preparation","For students who have completed all credit hour requirements and full-time enrollment for the master's degree and are writing and defending their theses.","Adult & Higher Education (EAC)","(1-9 credit hours)"
"EAC 700","Community College and Two-Year Postsecondary Education","Comprehensive community colleges and technical institutes and the state systems of which they are part: underlying concepts, design of educational needs to be serve, role in meeting these needs, historical development, issues in establishment and operation of state systems and individual institutions, unresolved issues and emerging trends.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 701","Administrative Concepts and Theories Applied To Adult and Community College Educ","For persons interested in building more consistent philosophy of educational administration, extension and strengthening of understanding of administrative concepts and processes, improved comprehension of theoretical and research foundations upon which administrative processes predicated, and increased ability for application of administrative concepts, theories and principles to management of complex education system.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 703","The Programming Process In Adult and Community College Education","Principles and processes in programming, including basic theories and support of concepts in  programming process. Attention to general programming framework, organizational needs and program roles of both professional and lay leaders.","Adult & Higher Education (EAC)","(3 credit hours)"
"EAC 704","Leadership In Higher and Community College Education","Issues and concepts of leadership development and practice in two- and four-year colleges and universities; interpretation and communication of institutional values and understanding of organizational processes. Attention to role of organizational culture in management improvement and institutional performance in higher education institutions.","Adult & Higher Education (EAC)","(3 credit hours)"
