Course Code,Title,Credits
COS1111,Professional Development Seminar I: Computer Science,"Credit Hours
1.0"
COS2222,Professional Development Seminar II: Computer Science,"Credit Hours
1.0"
COS3111,Professional Development Seminar I: Computer Science,"Credit Hours
1.0"
COS3222,Professional Development Seminar II: Computer Science,"Credit Hours
1.0"
COSC311,Professional Development Seminar I: Computer Science,"Credit Hours
1.0"
COSC322,Professional Development Seminar II: Computer Science,"Credit Hours
1.0"
CRR4000,Career Readiness,"Credit Hours
4.0"
CTI1105,Computer Operating Systems,"Credit Hours
3.0"
CTI1301,Virtual Computing,"Credit Hours
4.0"
CTI2006,Networking Technologies,"Credit Hours
3.0"
CTI2111,System Scripting Fundamentals,"Credit Hours
3.0"
CTI2318,Introduction to Information Security,"Credit Hours
3.0"
CTI2511,Cloud Networking,"Credit Hours
3.0"
CTI2701,Configuration Management Programming,"Credit Hours
4.0"
CTI3001,Introduction to Application Servers,"Credit Hours
4.0"
CTI3007,Virtualization Technologies,"Credit Hours
3.0"
CTI3111,Automating Resource Deployment,"Credit Hours
3.0"
CTI3231,Data Storage Systems,"Credit Hours
3.0"
CTI3323,Cloud Management Platforms,"Credit Hours
3.0"
CTI3561,Systems Performance and Capacity Management,"Credit Hours
3.0"
CTI3622,Database Systems,"Credit Hours
3.0"
CTI3933,Securing Systems and Data,"Credit Hours
3.0"
CTI4001,Network Security and Software,"Credit Hours
4.0"
CTI4421,Distributed Data,"Credit Hours
3.0"
CTI4751,Software-Driven Data Centers,"Credit Hours
4.0"
CWB119,Project and Portfolio I: Creative Writing,"Credit Hours
3.0"
CWB228,Project and Portfolio II: Creative Writing,"Credit Hours
3.0"
CWB338,Project and Portfolio III: Creative Writing,"Credit Hours
3.0"
CWM510,The Art of Visual Storytelling,"Credit Hours
4.0"
CWM540,Character Creation and Development,"Credit Hours
4.0"
CWM550,Script Analysis and Criticism,"Credit Hours
4.0"
CWM570,Episodic and Serial Writing,"Credit Hours
4.0"
CWM610,Writing for Games,"Credit Hours
4.0"
CWM621,Writing for Film and Animation,"Credit Hours
4.0"
CWM640,Creative Writing Portfolio I,"Credit Hours
4.0"
CWM650,Creative Writing Portfolio II,"Credit Hours
4.0"
CWM670,Multimedia Adaptation,"Credit Hours
4.0"
CWM680,Advanced Visual Storytelling,"Credit Hours
4.0"
CWM690,The Business of Creative Writing,"Credit Hours
4.0"
CWR155,Project I: Creative Writing,"Credit Hours
2.0"
CWR156,Portfolio I: Creative Writing,"Credit Hours
1.0"
CWR3111,Professional Development Seminar I: Creative Writing,"Credit Hours
1.0"
CWR3222,Professional Development Seminar II: Creative Writing,"Credit Hours
1.0"
CWRC311,Professional Development Seminar I: Creative Writing,"Credit Hours
1.0"
CWRC322,Professional Development Seminar II: Creative Writing,"Credit Hours
1.0"
CYB349,Project and Portfolio IV: Cybersecurity,"Credit Hours
3.0"
CYB359,Project and Portfolio V: Cybersecurity,"Credit Hours
3.0"
CYB469,Project and Portfolio VI: Cybersecurity,"Credit Hours
3.0"
CYB479,Project and Portfolio VII: Cybersecurity,"Credit Hours
3.0"
CYB3011,Introduction to Cryptography,"Credit Hours
3.0"
CYB3215,Identity and Access Management,"Credit Hours
3.0"
CYB3311,Security Compliance and Privacy,"Credit Hours
3.0"
CYB3355,Threat Intelligence and Defense,"Credit Hours
3.0"
CYB3612,Software Security,"Credit Hours
3.0"
CYB3841,Information Assurance and Compliance,"Credit Hours
3.0"
CYB4381,Threat Protection and Testing,"Credit Hours
3.0"
CYB4781,Cyber Crime and Incident Response,"Credit Hours
4.0"
DAD239,Project and Portfolio III: Digital Arts and Design,"Credit Hours
3.0"
DAD464,Live Event Design,"Credit Hours
4.0"
DADC311,Professional Development Seminar I: Digital Arts and Design,"Credit Hours
1.0"
DADC322,Professional Development Seminar II: Digital Arts and Design,"Credit Hours
1.0"
DCB239,Project and Portfolio III: Digital Cinematography,"Credit Hours
3.0"
DCN1107,Composition and Visual Design,"Credit Hours
4.0"
DCN3317,Location Lighting,"Credit Hours
3.0"
DCN3435,Electronic Field Production,"Credit Hours
4.0"
DCN3656,Art Design and Location Shooting,"Credit Hours
3.0"
DCN4111,Film Criticism,"Credit Hours
3.0"
DCN4365,Advanced Post and Story Development,"Credit Hours
4.0"
DCN4421,Mobility and Data Management,"Credit Hours
4.0"
DEP1013,Psychology of Play,"Credit Hours
3.0"
DEV1000,Introduction to Development I,"Credit Hours
4.0"
DEV1001,Introduction to Development I,"Credit Hours
4.0"
DEV2000,Introduction to Development II,"Credit Hours
4.0"
DEV2001,Introduction to Development II,"Credit Hours
4.0"
DEV2300,Application Development,"Credit Hours
4.0"
DEV2301,Application Development,"Credit Hours
4.0"
DEV2319,Interfaces and Usability,"Credit Hours
3.0"
DEV2501,Interface Programming,"Credit Hours
4.0"
DGC3111,Professional Development Seminar I: Digital Cinematography,"Credit Hours
1.0"
DGC3222,Professional Development Seminar II: Digital Cinematography,"Credit Hours
1.0"
DGT101,Graphic Principles I,"Credit Hours
4.0"
DGT201,Graphic Principles II,"Credit Hours
4.0"
DGT312,3-D Arts,"Credit Hours
4.0"
DGT332,Typography and Page Layout,"Credit Hours
4.0"
DGT333,3-D for Motion Design,"Credit Hours
3.0"
DGT339,2-D Animation Techniques,"Credit Hours
3.0"
DGT341,Motion Graphics,"Credit Hours
4.0"
DGT346,Digital Audio and Video,"Credit Hours
3.0"
DGT363,Editing Digital Video,"Credit Hours
3.0"
DGT372,Interactive Media Design and Usability,"Credit Hours
4.0"
DGT375,Media Integration,"Credit Hours
4.0"
DGT432,Broadcast Design,"Credit Hours
3.0"
DGT441,Advanced Motion Graphics,"Credit Hours
4.0"
DGT461,Motion Graphics Production,"Credit Hours
4.0"
DIG1301,Model Creation,"Credit Hours
4.0"
DIG3100,Graphic Web Design,"Credit Hours
4.0"
DIG3395,Motion Capture,"Credit Hours
3.0"
DMK473,Digital Analytics and Reporting,"Credit Hours
4.0"
DMK512,Advanced Digital Marketing Strategies,"Credit Hours
3.0"
DMK542,Digital Design and Usability,"Credit Hours
3.0"
DMK662,Digital Analytics and Optimization,"Credit Hours
3.0"
DMK672,Digital Marketing and the Law,"Credit Hours
3.0"
DMK691,Digital Marketing Campaign Development,"Credit Hours
3.0"
DMK3111,Professional Development Seminar I: Digital Marketing,"Credit Hours
1.0"
DMK3222,Professional Development Seminar II: Digital Marketing,"Credit Hours
1.0"
EBM591,Product and Artist Management,"Credit Hours
3.5"
EBM692,Final Project: Business Plan,"Credit Hours
3.5"
ECO2005,Introduction to Economics,"Credit Hours
4.0"
ECW1225,Creative Skills Development,"Credit Hours
4.0"
ECW1409,Multimedia Storytelling,"Credit Hours
3.0"
ECW2123,Literary Techniques and Story Development,"Credit Hours
4.0"
ECW2841,Developing New Worlds: Environment and Historical Research,"Credit Hours
4.0"
ECW2953,Publishing and Distribution,"Credit Hours
4.0"
ECW3055,Scriptwriting Techniques,"Credit Hours
4.0"
ECW3111,Literary Genre I: Comedy and Tragedy,"Credit Hours
4.0"
ECW3211,"Literary Genre II: Horror, Mystery, and Suspense","Credit Hours
4.0"
ECW3311,Literary Genre III: Science Fiction and Fantasy,"Credit Hours
4.0"
ECW3702,Television Writing,"Credit Hours
3.0"
ECW3722,Children's Entertainment,"Credit Hours
3.0"
ECW4101,Writing Workshop I: Film,"Credit Hours
4.0"
ECW4220,Writing Workshop II: Television,"Credit Hours
4.0"
ECW4322,Writing Workshop III: Comics,"Credit Hours
3.0"
ECW4421,Writing Workshop IV: Video Games and Interactive Formats,"Credit Hours
4.0"
EDM533,Visual and Verbal Communication in Instructional Design,"Credit Hours
3.0"
EME6227,Game Strategies and Motivation,"Credit Hours
3.0"
EME6630,Learning Management Systems and Organization,"Credit Hours
3.0"
ENC326,Professional Writing,"Credit Hours
4.0"
ENC1101,English Composition I,"Credit Hours
4.0"
ENC3110,Technical Writing,"Credit Hours
4.0"
ENT239,Project and Portfolio III: Entertainment Business,"Credit Hours
3.0"
ENT3111,Professional Development Seminar I: Entertainment Business,"Credit Hours
1.0"
ENT3222,Professional Development Seminar II: Entertainment Business,"Credit Hours
1.0"
ENTB410,Event Management,"Credit Hours
4.0"
ENTB2714,Data Analysis and Reporting,"Credit Hours
3.0"
ENTB3013,Principles of Business Finance,"Credit Hours
4.0"
ENTB3314,Global Media Management,"Credit Hours
3.0"
ENTB4212,Audience Metrics,"Credit Hours
3.0"
ENTB4485,Entertainment Business Models,"Credit Hours
3.0"
ENTB4525,Professional Selling,"Credit Hours
4.0"
ENTB4623,Entrepreneurship in the Entertainment Business,"Credit Hours
3.0"
FAV119,Project and Portfolio I: Film and Video,"Credit Hours
3.0"
FAV229,Project and Portfolio II: Film and Video,"Credit Hours
3.0"
FBS239,Project and Portfolio III: Film,"Credit Hours
3.0"
FIL155,Project I: Film and Video,"Credit Hours
2.0"
FIL156,Portfolio I: Film and Video,"Credit Hours
1.0"
FIL1037,History of Motion Picture Arts,"Credit Hours
4.0"
FLM280,Fundamentals of Production I,"Credit Hours
4.0"
FLM368,Directing,"Credit Hours
3.0"
FLM378,Fundamentals of Production II,"Credit Hours
4.0"
FLM464,Producing,"Credit Hours
4.0"
FLM1009,Introduction to Postproduction,"Credit Hours
4.0"
FLM1422,Introduction to Film and Video,"Credit Hours
3.0"
FLM3413,Broadcast Production I,"Credit Hours
4.0"
FLM3415,Broadcast Production II,"Credit Hours
4.0"
FLM3421,Film Positions I,"Credit Hours
4.0"
FLM3422,Film Positions II,"Credit Hours
4.0"
FLM4418,Advanced Production I,"Credit Hours
4.0"
FLM4419,Advanced Production II,"Credit Hours
4.0"
FLMC311,Professional Development Seminar I: Film,"Credit Hours
1.0"
FLMC322,Professional Development Seminar II: Film,"Credit Hours
1.0"
FPR520,Filmmaking Concepts and Practices,"Credit Hours
5.0"
FPR530,Script Production and Analysis,"Credit Hours
5.0"
FPR550,Directing Talent,"Credit Hours
5.0"
FPR561,Independent Filmmaking,"Credit Hours
5.0"
FPR580,Visual Storytelling Techniques and Technology,"Credit Hours
5.0"
FPR610,Film Production Thesis I: Pre-Production,"Credit Hours
5.0"
FPR620,Film Production Thesis II: Production,"Credit Hours
5.0"
FPR631,Story Development for Film,"Credit Hours
5.0"
FPR650,Film Production Thesis III: Post-Production,"Credit Hours
5.0"
FPR660,Film Production Thesis IV: Film Assembly,"Credit Hours
5.0"
FPR680,Business of Film,"Credit Hours
5.0"
GAB239,Project and Portfolio III: Game Art,"Credit Hours
3.0"
GAR3111,Professional Development Seminar I: Game Art,"Credit Hours
1.0"
GAR3222,Professional Development Seminar II: Game Art,"Credit Hours
1.0"
GARC311,Professional Development Seminar I: Game Art,"Credit Hours
1.0"
GARC322,Professional Development Seminar II: Game Art,"Credit Hours
1.0"
GBE119,Project and Portfolio I: Game Business and Esports,"Credit Hours
3.0"
GBE229,Project and Portfolio II: Game Business and Esports,"Credit Hours
3.0"
GBE339,Project and Portfolio III: Game Business and Esports,"Credit Hours
3.0"
GBE349,Project and Portfolio IV: Game Business and Esports,"Credit Hours
3.0"
GBE359,Project and Portfolio V: Game Business and Esports,"Credit Hours
3.0"
GBE469,Project and Portfolio VI: Game Business and Esports,"Credit Hours
3.0"
GBE1001,Introduction to the Gaming Industry,"Credit Hours
4.0"
GBE1021,Introduction to Esports Production,"Credit Hours
4.0"
GBE2001,Gaming Culture and Engagement,"Credit Hours
3.0"
GBE2501,Game Business Models,"Credit Hours
4.0"
GBE3111,Professional Development Seminar I: Game Business and Esports,"Credit Hours
1.0"
GBE3201,Gaming Community and Social Media,"Credit Hours
4.0"
GBE3222,Professional Development Seminar II: Game Business and Esports,"Credit Hours
1.0"
GBE4301,Strategic Game Marketing,"Credit Hours
3.0"
GBE4601,Global Gaming Business and Esports,"Credit Hours
3.0"
GBE4901,Esports and Gaming Management,"Credit Hours
3.0"
GDB229,Project and Portfolio II: Game Development,"Credit Hours
3.0"
GDB239,Project and Portfolio III: Game Development,"Credit Hours
3.0"
GDB349,Project and Portfolio IV: Game Development,"Credit Hours
3.0"
GDB359,Project and Portfolio V: Game Development,"Credit Hours
3.0"
GDB469,Project and Portfolio VI: Game Development,"Credit Hours
3.0"
GDB479,Project and Portfolio VII: Game Development,"Credit Hours
3.0"
GDD245,3-D Content Creation,"Credit Hours
3.0"
GDD258,Software Engineering,"Credit Hours
4.0"
GDD291,Operating Systems,"Credit Hours
3.0"
GDD379,Engine Development,"Credit Hours
4.0"
GDD483,Game Architecture,"Credit Hours
3.0"
GDD4319,Game Integration,"Credit Hours
3.0"
GDM513,User Research Data Analysis,"Credit Hours
3.5"
GDM542,Game Design,"Credit Hours
3.0"
GDM551,Methods and the User Experience,"Credit Hours
3.5"
GDM570,Prototyping and Content Creation,"Credit Hours
3.5"
GDM603,Advanced Production Techniques,"Credit Hours
3.5"
GDM615,Game Production Tools,"Credit Hours
3.5"
GDM625,Asset Management,"Credit Hours
3.5"
GDM635,Quality Assurance,"Credit Hours
3.5"
GDM655,Advanced Design Workshop,"Credit Hours
3.5"
GDM670,Game Usability and Testing,"Credit Hours
3.5"
GDM692,Thesis Portfolio,"Credit Hours
3.5"
GDN119,Project and Portfolio I: Game Design,"Credit Hours
3.0"
GDN155,Project I: Game Design,"Credit Hours
2.0"
GDN156,Portfolio I: Game Design,"Credit Hours
1.0"
GDN228,Project and Portfolio II: Game Design,"Credit Hours
3.0"
GDN338,Project and Portfolio III: Game Design,"Credit Hours
3.0"
GDN1009,Introduction to Programming,"Credit Hours
3.0"
GDN1111,Professional Development Seminar I: Game Design,"Credit Hours
1.0"
GDN1151,Design Tools,"Credit Hours
4.0"
GDN1232,Introduction to Game Design,"Credit Hours
4.0"
GDN2111,Scripting for Designers I,"Credit Hours
3.0"
GDN2112,Scripting for Designers II,"Credit Hours
4.0"
GDN2123,Systems Design,"Credit Hours
4.0"
GDN2211,Level Design I,"Credit Hours
4.0"
GDN2222,Professional Development Seminar II: Game Design,"Credit Hours
1.0"
GDN3111,Professional Development Seminar I: Game Design,"Credit Hours
1.0"
GDN3113,Scripting for Designers III,"Credit Hours
3.0"
GDN3222,Professional Development Seminar II: Game Design,"Credit Hours
1.0"
GDN3232,Building Functional Groups,"Credit Hours
4.0"
GDN3251,Game Mechanics I,"Credit Hours
3.0"
GDN3252,Game Mechanics II,"Credit Hours
3.0"
GDN3311,Level Design II,"Credit Hours
3.0"
GDN3333,Professional Development Seminar III: Game Design,"Credit Hours
2.0"
GDN3361,Analytics and Decision-Making,"Credit Hours
3.0"
GDN4003,Systems Progression,"Credit Hours
3.0"
GDN4235,Production and Planning,"Credit Hours
3.0"
GDN4318,Game Balancing,"Credit Hours
3.0"
GDN4542,Game Design Preproduction,"Credit Hours
4.0"
GDN4920,Game Systems Integration,"Credit Hours
4.0"
GDNC111,Professional Development Seminar I: Game Design,"Credit Hours
1.0"
GDNC222,Professional Development Seminar II: Game Design,"Credit Hours
1.0"
GDNC311,Professional Development Seminar I: Game Design,"Credit Hours
1.0"
GDNC322,Professional Development Seminar II: Game Design,"Credit Hours
1.0"
GDV3111,Professional Development Seminar I: Game Development,"Credit Hours
1.0"
GDV3222,Professional Development Seminar II: Game Development,"Credit Hours
1.0"
GDVC311,Professional Development Seminar I: Game Development,"Credit Hours
1.0"
GDVC322,Professional Development Seminar II: Game Development,"Credit Hours
1.0"
GEB612,Business Plan Development,"Credit Hours
3.5"
GEB6508,Entertainment Business Finance,"Credit Hours
3.5"
GEN242,Linear Algebra,"Credit Hours
4.0"
GEN262,Physics,"Credit Hours
4.0"
GEN1011,Creative Presentation,"Credit Hours
3.0"
GEN3322,Probability,"Credit Hours
4.0"
GRA1161,Shading and Lighting,"Credit Hours
4.0"
GRD162,Concepts in Photography,"Credit Hours
4.0"
GRD239,Project and Portfolio III: Graphic Design,"Credit Hours
3.0"
GRD324,Color Theory,"Credit Hours
4.0"
GRD339,Packaging and Prototypes,"Credit Hours
3.0"
GRD344,Digital Publishing,"Credit Hours
4.0"
GRD354,Creating Brand Experience,"Credit Hours
3.0"
GRD356,Logos and Symbols,"Credit Hours
3.0"
GRD473,Concepts in Advertising,"Credit Hours
3.0"
GRD3111,Professional Development Seminar I: Graphic Design,"Credit Hours
1.0"
GRD3222,Professional Development Seminar II: Graphic Design,"Credit Hours
1.0"
GRD4411,Interactive Editorial Design,"Credit Hours
4.0"
GRDC311,Professional Development Seminar I: Graphic Design,"Credit Hours
1.0"
GRDC322,Professional Development Seminar II: Graphic Design,"Credit Hours
1.0"
HIS3320,Historical Archetypes and Mythology,"Credit Hours
4.0"
HUM302,Cultural Studies,"Credit Hours
4.0"
HUM3505,Popular Culture in Media,"Credit Hours
4.0"
IAT349,Project and Portfolio IV: Interactive Technology,"Credit Hours
3.0"
IAT359,Project and Portfolio V: Interactive Technology,"Credit Hours
3.0"
IAT469,Project and Portfolio VI: Interactive Technology,"Credit Hours
3.0"
IDT520,Strategies for Learner Engagement,"Credit Hours
3.0"
IDT552,Corporate Training and Motivational Development,"Credit Hours
3.0"
IDT562,Instructional Design and Evaluation,"Credit Hours
3.0"
IDT574,Digital Media and Learning Applications,"Credit Hours
3.0"
IDT610,Filmmaking Principles for Instructional Design,"Credit Hours
3.0"
IDT680,Media Asset Creation,"Credit Hours
3.0"
IDT690,Instructional Design and Technology Final Project,"Credit Hours
3.0"
IEN515,Creativity and Innovation,"Credit Hours
3.0"
IEN535,Business Feasibility,"Credit Hours
3.0"
IEN540,Product Design and Development,"Credit Hours
3.0"
IEN551,Business Venture Research,"Credit Hours
3.0"
IEN555,Business Model Development,"Credit Hours
3.0"
IEN560,Legal Issues for Entrepreneurs,"Credit Hours
3.0"
IEN620,Marketing Strategies for Entrepreneurs,"Credit Hours
3.0"
IEN630,Entrepreneurial Finance,"Credit Hours
3.0"
IEN670,Innovative Work Environments,"Credit Hours
3.0"
IEN680,Business Model Implementation and Management,"Credit Hours
3.0"
IEN699,Business Model Presentation and Thesis,"Credit Hours
3.0"
IEP082,Fundamentals of English Writing,"Credit Hours
2.0"
IEP083,Fundamentals of Conversational English,"Credit Hours
2.0"
IEP084,Reading 1,"Credit Hours
2.0"
IEP085,Listening and Speaking 1,"Credit Hours
2.0"
IEP086,Writing 1,"Credit Hours
2.0"
IEP087,Grammar 1,"Credit Hours
2.0"
IEP088,Listening and Speaking 2,"Credit Hours
2.0"
IEP089,Writing 2,"Credit Hours
2.0"
IEP090,Reading 2,"Credit Hours
2.0"
IEP091,Grammar 2,"Credit Hours
2.0"
IEP092,Writing 3,"Credit Hours
2.0"
IEP093,Grammar 3,"Credit Hours
2.0"
IEP094,Listening and Speaking 3,"Credit Hours
2.0"
IEP095,Reading 3,"Credit Hours
2.0"
IEP096,Grammar 4,"Credit Hours
2.0"
IEP097,Listening and Speaking 4,"Credit Hours
2.0"
IEP098,Reading 4,"Credit Hours
2.0"
IEP099,Writing 4,"Credit Hours
2.0"
IMK241,Fundamentals of Web Design,"Credit Hours
4.0"
IMK322,"Content Strategy, Development, and Marketing","Credit Hours
3.0"
IMK345,Social Media Marketing,"Credit Hours
3.0"
IMK444,Affiliate Marketing,"Credit Hours
4.0"
IMK481,Search Engine Optimization,"Credit Hours
4.0"
IMK484,Principles of Online Campaign Development,"Credit Hours
4.0"
IMK522,New Media Marketing,"Credit Hours
3.0"
IMK592,Consumer Behavior and Analysis,"Credit Hours
3.0"
IMK622,Advanced Search Engine Optimization,"Credit Hours
3.0"
IMK642,Strategic Internet Public Relations,"Credit Hours
3.0"
IMK4311,Digital Entrepreneurship,"Credit Hours
3.0"
IMK4317,Display Advertising and Email Marketing,"Credit Hours
3.0"
IMK4410,Mobile and Emerging Technology Marketing,"Credit Hours
4.0"
ITE119,Project and Portfolio I: Information Technology,"Credit Hours
3.0"
ITE155,Project I: Information Technology,"Credit Hours
2.0"
ITE156,Portfolio I: Information Technology,"Credit Hours
1.0"
ITE229,Project and Portfolio II: Information Technology,"Credit Hours
3.0"
ITE239,Project and Portfolio III: Information Technology,"Credit Hours
3.0"
ITE349,Project and Portfolio IV: Information Technology,"Credit Hours
3.0"
ITE359,Project and Portfolio V: Information Technology,"Credit Hours
3.0"
