"course_code","course_title","department","credits","description"
"ACTG 317","EXTERNAL REPORTING I","Accounting (ACTG)","4 Credits","Examines the theory and practice of financial accounting, the processing and controls phases of the accounting system, and reporting to external parties. Emphasis is placed on the accounting cycle and financial statement structure and content. The emphasis on the accounting cycle includes the processing and tracing of transaction data from source documents to financial statements. Prerequisite:(BA 211with C or better orBA 211Hwith C or better orBA 211Zwith C or better orBA 211HZwith C or better) and (BA 213[C] orBA 213H[C] orBA 213Z[C] orBA 213HZ[C])"
"ACTG 318","EXTERNAL REPORTING II","Accounting (ACTG)","4 Credits","Continuation fromACTG 317and the theory and practice of financial accounting and the reporting to external parties. Covers financial reporting objectives to provide information that is useful in investment and credit decisions, in assessing cash flow prospects, and about company resources and claims to those resources. Prerequisite:ACTG 317with C- or better"
"ACTG 319","EXTERNAL REPORTING III","Accounting (ACTG)","4 Credits","Continuation fromACTG 318and the theory and practice of financial accounting and the reporting to external parties. Covers financial reporting objectives to provide information that is useful in investment and credit decisions, in assessing cash flow prospects, and about company resources and claims to those resources. Prerequisite:ACTG 318with C- or better"
"ACTG 321","COST MANAGEMENT I","Accounting (ACTG)","4 Credits","Reinforces and builds on the language and concepts of management accounting. Emphasizes different models for product costing and examines their effects on profit planning, budgeting, motivation, and control. Prerequisite:ACTG 317with C- or better"
"ACTG 379","ACCOUNTING ANALYTICS","Accounting (ACTG)","4 Credits","Covers the analysis of data as it pertains to accounting professionals. The focuses include analytic techniques for decision making and the examination of “big data” involving accounting information. Hands-on experiences will develop skills with select software tools used in data analytics for accounting professionals. Prerequisite:ACTG 318with C- or better and (BA 370[C-] orBA 370H[C-])"
"ACTG 403","THESIS","Accounting (ACTG)","1-16 Credits"," This course is repeatable for 16 credits."
"ACTG 405","READING & CONFERENCE","Accounting (ACTG)","1-6 Credits"," This course is repeatable for 12 credits."
"ACTG 406","PROJECTS","Accounting (ACTG)","1-16 Credits"," This course is repeatable for 16 credits."
"ACTG 407","SEMINAR","Accounting (ACTG)","1-12 Credits"," This course is repeatable for 16 credits."
"ACTG 409","PRACTICUM","Accounting (ACTG)","1-12 Credits"," This course is repeatable for 12 credits."
"ACTG 410","INTERNSHIP","Accounting (ACTG)","1-12 Credits"," This course is repeatable for 18 credits."
"ACTG 417","ADVANCED ACCOUNTING","Accounting (ACTG)","4 Credits","Explores advanced financial accounting theory and practice, building on the External Reporting course seriesACTG 317/ACTG 318/ACTG 319. Focuses on topics including corporate combinations, consolidated financial statements, and other emerging accounting issues. Prerequisite:ACTG 319with C- or better"
"ACTG 420","IT AUDITING","Accounting (ACTG)","4 Credits","Explores key information systems issues such as planning, acquisition, delivery, and monitoring from a risk and control perspective. Covers the use of IT audit standards, guidelines, and frameworks and build data analysis tool skills. Prerequisite:(ACTG 317with C- or better and (BA 370[C-] orBA 370H[C-])) orBIS 371[C-] or BA 371 [C-] orBIS 471[C-] or BA 479 [C-]"
"ACTG 424","TAXATION I","Accounting (ACTG)","4 Credits","Covers concepts related to business taxation and focuses primarily on 1) basic income tax law as it relates to businesses, 2) the role of income taxes in decision making processes, and 3) basic income tax research. Intended to assist students in preparation to become a professional, and thus contains components designed to aid in the development of technical, analytical, problem-solving and communication skills. Prerequisite:ACTG 319with C- or better"
"ACTG 425","ADVANCED TAXATION","Accounting (ACTG)","4 Credits","Examines federal tax system as it applies to corporations, partnerships, and estates and trusts. Emphasizes on understanding tax planning for business owners and refining the ability to research tax issues. Prerequisite:ACTG 319with C- or better"
"ACTG 427","ASSURANCE AND ATTESTATION SERVICES","Accounting (ACTG)","4 Credits","Assertions of enterprises gain credibility when examined by an independent third party. Assurance and attestation provide credibility. Coverage includes ethics, risk, materiality, internal control, evidence and reporting. Prerequisite:ACTG 319with C- or better"
"ACTG 428","ADVANCED AUDIT ANALYTICS","Accounting (ACTG)","4 Credits","An advanced course covering audit theory, current audit practice and auditor professional skills. Includes in-class activities, readings, presentations, research and group discussions of relevant advanced audit topics. Understand the use and future of data analytics in the audit profession. Theory, current audit practice and auditor professional skills. Prerequisite:ACTG 427with C- or better"
"ACTG 442","FINANCIAL STATEMENT ANALYSIS","Accounting (ACTG)","4 Credits","Develops the understanding and skill to use financial statements for investment decisions, credit decisions, performance analysis, and forecasting. Three main topic areas: analysis overview, accounting analysis, and financial analysis. Prerequisite:FIN 342with C- or better or ((BA 240with C- or better orBA 240Hwith C- or better orBA 360with C- or better orBA 360Hwith C- or better) andACTG 317[C-]) Equivalent to:FIN 442"
"ACTG 499","SELECTED TOPICS IN ACCOUNTING","Accounting (ACTG)","1-6 Credits"," This course is repeatable for 12 credits."
"ACTG 520","IT AUDITING","Accounting (ACTG)","4 Credits","Explores key information systems issues such as planning, acquisition, delivery, and monitoring from a risk and control perspective. Covers the use of IT audit standards, guidelines, and frameworks and build data analysis tool skills."
"AHE 410","INTERNSHIP/WORK EXPERIENCE","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," This course is repeatable for 16 credits."
"AHE 440","INTRODUCTION TO ADULT LEARNING","Adult Education & Higher Education Leadership (AHE)","3 Credits","Explores various theories and principles of development for the adult learner. Integrates various methods of understanding for how adults learn and process information. Develops a personal philosophy of adult education. Recommended:ED 253"
"AHE 445","INSTRUCTIONAL METHODS FOR ADULT LEARNING","Adult Education & Higher Education Leadership (AHE)","3 Credits","Explores instructional strategies to facilitate adult learning in higher education and workplace settings. Develops resources for instructing and evaluating adult learner experiences through observation and practice."
"AHE 450","EXPLORING LEADERSHIP IN EDUCATION","Adult Education & Higher Education Leadership (AHE)","3 Credits","Examines leadership and management theories often used in education and training settings, while studying values, characteristics, and challenges in the development of a philosophy and portfolio. Explores the value of diversity within leadership in education and training."
"AHE 501","RESEARCH","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," Equivalent to:ED 501 This course is repeatable for 16 credits."
"AHE 503","THESIS","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," This course is repeatable for 999 credits."
"AHE 506","PROJECTS","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," This course is repeatable for 16 credits."
"AHE 510","INTERNSHIP","Adult Education & Higher Education Leadership (AHE)","1-18 Credits","By special permission and arrangement. This course is repeatable for 18 credits."
"AHE 522","INSTRUCTIONAL TECHNOLOGY I","Adult Education & Higher Education Leadership (AHE)","1 Credit","Explores technologies used in distance education to deliver content and facilitate active learning through learner creation of digital portfolios and artifacts using online tools and apps. Corequisites:AHE 553"
"AHE 523","INSTRUCTIONAL TECHNOLOGY II","Adult Education & Higher Education Leadership (AHE)","1 Credit","An overview of best practices in digital-age learning design, including implementation of backward design principles. Prerequisite:AHE 522with C or better Corequisites:AHE 533"
"AHE 524","INSTRUCTIONAL TECHNOLOGY III","Adult Education & Higher Education Leadership (AHE)","1 Credit","Students will develop the knowledge and skills needed to design and create complete online teachings/courses within a learning management system. Prerequisite:AHE 522with C or better andAHE 523[C] Corequisites:AHE 531"
"AHE 525","INSTRUCTIONAL TECHNOLOGY IV","Adult Education & Higher Education Leadership (AHE)","1 Credit","Learners will research and demonstrate how to use a current innovative instructional technology, as well as develop skills in understanding trends and preparing for future innovations in instructional technology. Prerequisite:AHE 522with C or better andAHE 523[C] andAHE 524[C] Corequisites:AHE 547"
"AHE 531","INSTRUCTIONAL DESIGN","Adult Education & Higher Education Leadership (AHE)","4 Credits","Designed for instructors, trainers, managers, organizational consultants or others who are responsible for the development of programs and courses in community colleges, the workplace or other settings. Using systems concepts and methods, students will learn to design learner-centered instructional programs and courses."
"AHE 532","PROGRAM EVALUATION","Adult Education & Higher Education Leadership (AHE)","4 Credits","Assessing outcomes in college curriculum and workplace training programs from a systems perspective and evaluation of program effectiveness. Particular emphasis on formative and summative evaluation, frameworks for program evaluation, quantitative and qualitative methods and analysis, communicating and reporting evaluation findings, and the ethics and standards of evaluation practice."
"AHE 533","NEEDS ASSESSMENT AND RESEARCH","Adult Education & Higher Education Leadership (AHE)","4 Credits","Introduces workplace learning needs assessment (WLNA) and research principles and practices for individual and collaborative learning groups. Prerequisite:AHE 553with C or better"
"AHE 534","ORGANIZATIONS AND SYSTEMS THEORY","Adult Education & Higher Education Leadership (AHE)","4 Credits","Introduces principles and practices underlying individual and collaborative work group learning. Participants will learn how to create an environment that promotes effective and efficient workplace learning."
"AHE 547","INSTRUCTIONAL STRATEGIES FOR ADULT LEARNERS","Adult Education & Higher Education Leadership (AHE)","4 Credits","Exploration of and practice using instructional strategies to enhance adult learning. Acquisition of an instructional strategy tool kit as well as a method for evaluating adult learning events."
"AHE 549","ETHICAL AND PROFESSIONAL ISSUES","Adult Education & Higher Education Leadership (AHE)","4 Credits","Focuses on issues facing professionals working with adult learners as well as ethical issues relevant to the practice and scholarship in the field. Combines instruction in inquiry-based teaching methods and learning theory with work in professional settings, such as for-profit and non-profit organizations and government agencies."
"AHE 553","ADULT LEARNING & DEVELOPMENT","Adult Education & Higher Education Leadership (AHE)","4 Credits","Introduce participants to key theories, orientations, models, and principles of learning and development in adulthood."
"AHE 567","LEADERSHIP DEVELOPMENT AND HUMAN RELATIONS","Adult Education & Higher Education Leadership (AHE)","4 Credits","Exploration of multiple theories of leadership in different organizational contexts; synthesize theory with experience to construct a personal framework for leadership practice."
"AHE 575","EDUCATIONAL FINANCE","Adult Education & Higher Education Leadership (AHE)","3 Credits","Finance, budgeting and accounting for sources of revenue; deferral, state and local financing, budgeting and accounting models, practical experience combined with examination of theory, trends and issues. Focus in either public schools, community colleges or higher education through practical experience."
"AHE 582","LEGAL ISSUES IN HIGHER EDUCATION","Adult Education & Higher Education Leadership (AHE)","3 Credits","A comprehensive presentation and discussion of the law governing administration within community colleges and college/universities with a special emphasis on student services administration."
"AHE 599","SPECIAL TOPICS","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," This course is repeatable for 16 credits."
"AHE 601","RESEARCH","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," Equivalent to:ED 601 This course is repeatable for 16 credits."
"AHE 602","INDEPENDENT STUDY","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," Equivalent to:ED 602 This course is repeatable for 16 credits."
"AHE 603","THESIS","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," This course is repeatable for 999 credits."
"AHE 605","READING AND CONFERENCE","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," Equivalent to:ED 605 This course is repeatable for 16 credits."
"AHE 606","PROJECTS","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," This course is repeatable for 16 credits."
"AHE 607","SEMINAR","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," Equivalent to:ED 607 This course is repeatable for 16 credits."
"AHE 608","WORKSHOP","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," Equivalent to:ED 608 This course is repeatable for 16 credits."
"AHE 609","PRACTICUM CLINICAL EXPERIENCE","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," This course is repeatable for 16 credits."
"AHE 610","INTERNSHIP","Adult Education & Higher Education Leadership (AHE)","1-15 Credits"," This course is repeatable for 15 credits."
"AHE 611","QUANTITATIVE ANALYSIS IN EDUCATIONAL RESEARCH I","Adult Education & Higher Education Leadership (AHE)","3 Credits","Foundational course to methods and statistics used in quantitative educational research. Examines data analysis, statistical procedures, and interpretation of results within postsecondary environments."
"AHE 612","RESEARCH PERSPECTIVES IN EDUCATION","Adult Education & Higher Education Leadership (AHE)","3 Credits","Research perspectives, how they are influenced by worldviews, and how these worldviews influence research. Recommended:Completion or concurrent enrollment in an introductory statistics course"
"AHE 613","RESEARCH ANALYSIS AND INTERPRETATION IN EDUCATION","Adult Education & Higher Education Leadership (AHE)","3 Credits","Critical analysis of scholarly studies in education from a variety of research perspectives. Recommended:AHE 612and completion or concurrent enrollment in an intermediate statistics course"
"AHE 614","ADVANCED RESEARCH METHODS IN EDUCATION","Adult Education & Higher Education Leadership (AHE)","1-3 Credits","Selected topics in research methods as appropriate for research perspectives in education. This course is repeatable for 6 credits. Recommended:AHE 613"
"AHE 616","QUANTITATIVE ANALYSIS IN EDUCATIONAL RESEARCH II","Adult Education & Higher Education Leadership (AHE)","3 Credits","Develop conceptual and practical understanding of research and evaluation in higher education. Course topics include basic statistics, survey design, data analysis, and assessment issues. As an advanced statistics course, students will have the opportunity to apply concepts and gain direct research experience by conducting an original research project. Prerequisite:AHE 611with C or better"
"AHE 617","NEEDS ASSESSMENT IN HIGHER EDUCATION","Adult Education & Higher Education Leadership (AHE)","3 Credits","Explores needs assessment as an applied research tool. Addresses definitions of types of needs assessment and compares needs assessment approaches. Applies research skills in the creation, design and implementation of a pilot needs assessment project focused around educational inequities."
"AHE 618","QUALITATIVE ANALYSIS IN EDUCATIONAL RESEARCH","Adult Education & Higher Education Leadership (AHE)","3 Credits","Introduces learners to a variety of qualitative research perspectives and methodologies. Participants will examine these approaches by critiquing a scholarly article containing qualitative methods; formulating qualitative questions; writing a short proposal; collecting, coding, and analyzing data; and writing a final synthesis paper."
"AHE 619","QUALITATIVE ANALYSIS IN EDUCATIONAL RESEARCH II","Adult Education & Higher Education Leadership (AHE)","3 Credits","Focuses on the interlocking concepts of theory and data to broaden understanding and application of qualitative methodologies to improve research design and analysis from varying disciplinary approaches for the study of higher education. Prerequisite:AHE 618with C or better"
"AHE 623","CONTEMPORARY ISSUES IN HIGHER EDUCATION","Adult Education & Higher Education Leadership (AHE)","3 Credits","Examines contemporary challenges facing higher education institutions and identifies connections between broader issues and problems of practice. Compares and contrasts issues and problems at different institutional types. Identifies relationships between major issues, policies, and external factors."
"AHE 630","PROGRAM EVALUATION IN HIGHER EDUCATION","Adult Education & Higher Education Leadership (AHE)","3 Credits","Examines program evaluation methods and frameworks used in higher education. Describes key models, theories, strategies, and underlying assumptions of evaluation practice and addresses appropriate evaluation designs. Explores the political and contextual factors that affect the practice of evaluation and effective methods for disseminating evaluation findings. Applies evaluation skills to assess efficacy and effectiveness of solutions focused on a problem of practice."
"AHE 634","POWER AND PRIVILEGE IN LEADERSHIP","Adult Education & Higher Education Leadership (AHE)","3 Credits","Critically analyzes how systemic power and privilege serve to maintain/reproduce systemic inequities. Evaluates ways leadership identity is socially constructed and identifies leadership style in relation to identity. Distinguishes between academic and student affairs leadership. Analyzes leaders’ engagement with the environment and assesses critical perspectives, models, and theories that inform leadership practice."
"AHE 638","HISTORY OF HIGHER EDUCATION","Adult Education & Higher Education Leadership (AHE)","3 Credits","Surveys American higher education across 200-plus years of American history, with a specific emphasis in this section on the American community college."
"AHE 640","HIGHER EDUCATION ADMINISTRATION I","Adult Education & Higher Education Leadership (AHE)","3 Credits","Examines the role of academic and student affairs leaders in managing effective and inclusive institutions. Explores creating equity-focused policies and practices that promote diverse and inclusive learning environments. Addresses how leaders can formulate equitable strategies to recruit, retain, and develop faculty, staff and leaders and analyzes leadership strategies for navigating institutional and environmental crises. Evaluates skills to foster productive cross-campus collaborations between units, divisions, and departments."
"AHE 641","HIGHER EDUCATION ADMINISTRATION II","Adult Education & Higher Education Leadership (AHE)","3 Credits","Examines the role of external relations in leading effective and inclusive higher education institutions. Identifies the relationship between leaders, various stakeholders and external constituents, and analyzes strategies for leaders to effectively communicate with the media. Describes the role and responsibilities of college and university boards. Identifies leaders’ role in fundraising and philanthropy and compares strategies for individual fundraising and project fundraising at different institutional types. Evaluates community engagement strategies for higher education leaders. Analyzes the influence of globalization and internationalization on higher education practice, policy, procedures, and programs."
"AHE 643","ORGANIZATION THEORY-HIGHER EDUCATION","Adult Education & Higher Education Leadership (AHE)","3 Credits","An introduction to organizational theory (OT). The texts allow us to explore how systems thinking is applied to our world, and how we can use it to better understand the nature of human social engagement. Both OT and living systems theories are deeply associated with improvement and change theories in higher education settings and business."
"AHE 644","POLICY ISSUES IN HIGHER EDUCATION","Adult Education & Higher Education Leadership (AHE)","3 Credits","Examines state and national policy issues impacting leadership in higher education. Describes contexts underlying policies impacting college access and outcomes and distinguishes theoretical approaches for higher education policymaking. Explores how leaders inform and influence policy within systems of higher education. Applies knowledge to an analysis of policy issues impacting higher education."
"AHE 645","ETHICAL PRACTICE","Adult Education & Higher Education Leadership (AHE)","3 Credits","Reviews major ethical theories with an emphasis on practical applications related to community college professional practice."
"AHE 648","ORGANIZATIONAL DEVELOPMENT AND CHANGE IN HIGHER EDUCATION","Adult Education & Higher Education Leadership (AHE)","3 Credits","Examines the role of strategic, operational, and fiscal management and planning in leading inclusive and equitable higher education institutions. Analyzes strategies to efficiently and effectively manage institutional resources and explores the role of leaders in developing and executing strategic plans. Explains the role of leaders in supporting regional and program accreditation and compares different models of change. Identifies ways for leaders to lead proactive change and innovation. Analyzes the role of a budget manager including strategies for managing budget cuts and fluctuations. Explores elements of a budget, budget cycle, and steps for creating a budget and setting priorities."
"AHE 652","INDIVIDUAL LEVEL THEORY IN HIGHER EDUCATION","Adult Education & Higher Education Leadership (AHE)","3 Credits","Analyze the role of theory in conducting equity-focused higher education research. Diagram systemic inequities in higher education and evaluate individual-level theories. Compare approaches to developing theories across social science disciplines. Identify appropriate theories and theoretical concepts for use in research."
"AHE 672","INTRODUCTION TO RESEARCH METHODS IN HIGHER EDUCATION","Adult Education & Higher Education Leadership (AHE)","3 Credits","Introduces research methodologies designed to enable students to comprehend and critically evaluate research across social science disciplines, as well as prepare them for ethical research activities. Engages with the research process, including but not limited to the importance of existing literature, the role theoretical frameworks play, and generating impactful research questions. Exposes different methodological approaches to collecting data focused mostly on quantitative and qualitative research, as well as the limitations and advantages associated with the various methods (i.e., interviews, focus groups, secondary data analysis, etc.). Explores research epistemologies and how these beliefs influence worldview and subsequent research."
"AHE 699","SPECIAL TOPICS","Adult Education & Higher Education Leadership (AHE)","1-16 Credits"," This course is repeatable for 16 credits."
"AAE 210","INTRODUCTION TO AEROSPACE ENGINEERING","Aeronautical & Astronautical Engineering (AAE)","4 Credits","Focuses on engineering fundamentals of aeronautics and astronautics, including an introduction to aerodynamics, propulsion, structures, orbital mechanics and mission planning. Presents current industry practices in aerospace vehicle specifications, manufacturing, flight testing and certification. Prerequisite:ENGR 211with C or better orENGR 211Hwith C or better"
"AAE 411","AEROSPACE APPLICATIONS IN MECHANICAL ENGINEERING","Aeronautical & Astronautical Engineering (AAE)","4 Credits","Explores the fundamentals of mechanical engineering applications to aerospace. Features an overview of modern aircraft and spacecraft analysis, with an emphasis on performance, stability, structures, materials, FAA and FAR standards and current professional practices in the conceptual design of aerospace vehicles. Integrates course topics into students projects. Prerequisite:AAE 210with C or better andME 217[C] and (ME 330[C] orME 330H[C] orNSE 330[C]) Equivalent to:ME 411 Recommended:ME 311"
"AAE 412","SPACE SYSTEMS ENGINEERING","Aeronautical & Astronautical Engineering (AAE)","4 Credits","Introduces current practices for space systems engineering for Earth-orbiting and interplanetary spacecraft. Discusses fundamentals of space mission design, space environment, astronautics, flight dynamics, guidance and navigation, stability and control, thermal control, power, communications, and propulsion. Prerequisite:AAE 210with C or better andME 217[C] and (ME 373[C] orME 373H[C]) Recommended:AAE 411"
"AAE 413","AERO VEHICLES COMPONENTS DESIGN","Aeronautical & Astronautical Engineering (AAE)","4 Credits","Develop mechanical design of aircraft subcomponents. Analyze and model aircraft components and evaluate their integration on aircraft. Apply real-world aircraft component design project with associated deliverables to customer, including basic requirements for Federal Aviation Administration (FAA) certification. Prerequisite:AAE 210with C or better andME 217[C] andME 316[C] and (ME 330[C] orME 330H[C] orNSE 330[C]) and (ME 373[C] orME 373H[C])"
"AAE 415","UAV ENGINEERING","Aeronautical & Astronautical Engineering (AAE)","4 Credits","Develop a strong foundation in Unmanned Aerial Vehicles (UAV) systems technologies. Engineering evaluation of UAV systems, subcomponents, aircraft missions, operations and Federal Aviation Administration (FAA) requirements. Apply actual UAV models and subsystems to a real-world project on UAV deployment for humanitarian and environmental missions. Write a technical report as a team-project, developing and demonstrating critical thinking and engineering reporting skills in the subject. CROSSLISTED asAAE 415/HEST 415. Prerequisite:AAE 210with C or better andME 217[C] andME 316[C] and (ME 330[C] orME 330H[C] orNSE 330[C]) and (ME 373[C] orME 373H[C]) Equivalent to:HEST 415"
