"course_code","course_name","credits","college_name","description"
"AMS529","American between the Wars","3","College of Arts & Sciences Courses","This course examines a crucial period in the modern American experience beginning with the end of one world war and ending with the beginning of another.  Adjusting to modernity required Americans to square old values with new departures, something that makes this period more than merely two decades linked by the calendar and the Stock Market Crash.  Top to bottom, between 1919 and 1941, Americans redefined themselves and their society, embraced (some of them) and debated (nearly all of them), often hotly, old beliefs, new conceptions, and the implications of a modern, machine-driven, consumer society.  What they argued over then, is what is still argued over, issues and assertions students should find very familiar.  Students will look closely at this debate from its origins in post-war prosperity and its evolution through Great Depression scarcity, paying particular attention to such crucial issues as Modernism, consumerism, the growth of American national culture, and the influence of commercialized forms of popular expression on everyday lives and values. "
"AMS530","Special Topics","3","College of Arts & Sciences Courses","Selected American topics in American Studies offered by AMS faculty members or Americanists from related departments. Recent example: Women in America. Special Topics Course"
"AMS531","Studies In Pop Culture","3","College of Arts & Sciences Courses","Research and discussion of selected topics in American popular culture: literature, music, network broadcasting, advertising, film, and drama. "
"AMS532","Studies In The Arts","3","College of Arts & Sciences Courses","Research and discussion of selected topics in literature, film, painting, photography, and architecture, and the role of the artist in 19th- and 20th-century America. "
"AMS536","Studies Social Experience","3","College of Arts & Sciences Courses","Research and discussion of selected topics in the American social experience. "
"AMS539","Urban Spaces","3","College of Arts & Sciences Courses","This interdisciplinary social science course provides an introduction to the cultural and physical ecology of cities, focusing primarily on urbanization in the United States from the late 19th century to the present.  Course readings include classical scholars in urbanism and urban design. Contemporary urban environmental histories explore population shifts and land use along the urban gradient from the suburbs to urban centers, with attention to water, sewer, and transportation infrastructure, pollution, and urban sprawl. "
"AMS545","The ""Good War""","3","College of Arts & Sciences Courses","In popular memory, then and since, it is, say many, the defining moment of the twentieth century, perhaps all the American experience.  Between 1941 and 1945, the American people waged global war, an undertaking of unprecedented scale and urgency.  After Pearl Harbor, the national will stiffened and at least for the duration, the story goes, Americans forgot their differences, rallied to the cause, and through their collective suffering and sacrifice saved the world.   This was not just a necessary war; it was a good war fought against a palpable evil in a world reduced to rival spheres of right and wrong whose only acceptable end, “victory,” justified any means however extreme.  Virtue abroad, cohesion at home, and prosperity in the marketplace, the war united all three in a way previous Americans had only dreamed about and never achieved before or since.  Small wonder, then, that over the years since 1945, in a world less simple and a society more divided, the memory of World War II has hardened into myth, the golden, “feel good”  moment of rectitude, shared sacrifice, and uncomplicated moral triumph.  This course is very much about that moment and the myth it established.  Please note, it is not a military history of the Second World War, replete with situation maps, production figures, and casualty reports.  It is instead a topical examination of the American experience at home and abroad, 1941-45.  It focuses critically on five related subjects, each providing ample opportunity to examine the myth and memory of “Good War America,” this pivotal moment in national and global history. "
"AMS565","Fictions of American Identity","3","College of Arts & Sciences Courses","This course explores nineteenth- and twentieth-century American literature and culture. Novels and short stories by Zora Neale Hurston, Henry James, Gish Jen, James Weldon Johnson, Toni Morrison, Vladimir Nabokov, and other writers are studied in the context of debates over slavery, national identity, women’s roles, immigration and assimilation, social mobility, sexual mores, consumer culture, and race relations. Paper assignments emphasize close reading techniques and process-oriented writing. Assigned literary critical readings include papers written by students in this class and subsequently published in The Explicator, a journal of text-based critical essays. Writing proficiency within this discipline is required for a passing grade in this course. "
"AMS585","American Experience to 1865","3","College of Arts & Sciences Courses","An exploration of the formative years of the American cultural experience, from early European encounters with the New World to the attainment of continental nationhood. The course will draw upon insights from many disciplines and will include several kinds of cultural evidence (for example: literature, art, and photography; religious, political, and social thought and behavior; and economic, technological, and geographical development) as well as consideration of recent major synthetic works of cultural scholarship. Topics covered include the growth of colonial societies; the Revolutionary movement and the political foundations of the American Republic; the Market Revolution and the rise of middle-class culture; the antebellum South and the emerging West; and the origins and evolution of American cultural diversity. Offered fall semester. "
"AMS589","Approaches to Teaching American Studies","3","College of Arts & Sciences Courses","This course offers supervision and mentorship to second-year masters students when they teach an introductory level on topics of their choosing (the topics will vary each semester according to the instructor of record's choosing). Whether or not students plan to continue teaching (in whatever forms it takes) in their careers, learning how to teach applies to lots of fields: practicing how to gather and synthesize information, how to help unfamiliar audiences understand the key points, how to lead discussions, how to improve at public speaking, how to get more comfortable with various technical processes, and other issues. Prerequisite(s):18 AMS credit hours"
"AMS592","American Topic Seminar","3","College of Arts & Sciences Courses","Study of special topics within the American cultural experience. Recent examples include American literary realism, women in America, the Civil Rights movement, the picture press, music and ethnicity, the politics of culture, regionalism in American culture, the changing American family, homelessness in America, American autobiography, American monuments, contemporary American folklore, Southern popular culture, Southern iconoclasts, politics and culture, historical memory, America by design, the other in America, women in America, race in America, 19th-century popular culture, and slavery and the Civil War in historic memory. Special Topics Course"
"AMS595","Ams Colloquium: Res & Methods","3","College of Arts & Sciences Courses","Discussion of methodological and theoretical issues in American Studies. "
"AMS596","Ams Colloquium: Scholarly Writ","3","College of Arts & Sciences Courses","Presentation of research and methods. "
"ANT500","Discussions in Anthropological Practice","1","College of Arts & Sciences Courses","Students will explore the multifaceted landscape of anthropological practice in this lecture series. This course is designed to cultivate a nuanced understanding of the various methods, theories, challenges, and ethical considerations that shape contemporary anthropological research and practice. Through a blend of theoretical exploration and real-world case studies, students will develop the intellectual tools necessary to conduct research within the complex intersections of culture, society, and human experience. "
"ANT501","Theory and Method in Linguistic Anthropology","3","College of Arts & Sciences Courses","Advanced introduction to contemporary linguistic anthropology: explores various theoretical and methodological approaches to the study of language as a semiotic resource for social actors and communities. "
"ANT502","Health Inequities","3","College of Arts & Sciences Courses","Explores the gendered, ethnic, cultural, and class dimensions that underlie the patterning of disease and illness worldwide, with attention to the long-term health effects of racism, sexism and poverty. Topics include reproductive and sexual health, obesity, body image, HIV/AIDS, mental illness, homelessness, and more. "
"ANT505","Culture, Mind, and Behavior","3","College of Arts & Sciences Courses","The cultural and linguistic basis of cognitive organization, local systems of folk classification, and the collection and analysis of data of shared cultural and social information. Offered according to demand. "
"ANT506","Biocultural Bodies","3","College of Arts & Sciences Courses","This course will explore the body as the object and subject of culture. It will examine how viewing the body as a biocultural canvas and looking at culture as “lived through” the materiality of the body influences our understandings of health and health care. Students will be challenged to examine health as a concept that is quantifiable and generalizable as well experiential and person-centered. They will be challenged to view the discipline of medicine as a framework for employing verifiable and shared (or questionable and contested) knowledge of biological systems whose foundational assumptions and core meanings are grounded in particular social and cultural worlds. "
"ANT507","Psychological Anthropology","3","College of Arts & Sciences Courses","In this course, we review three main models of research within psychological anthropology: psychodynamic, cognitive, and experiential/phenomenological. We also gain a comprehensive understanding of person-centered ethnography, which involves in-depth interviews designed to reveal individuals’ self-perceptions and experiences in relation to the sociocultural context. Students gain practice in this methodology by conducting a series of interviews over the course of the semester. "
"ANT509","Ancient Maya Civilizations","3","College of Arts & Sciences Courses","What was the lived daily experience in the pre-contact Maya world? How did aspects of material culture such as architecture, food, musical instruments, tools, and clothing frame Maya society, and how were these elements also framed by it? How are perceptions of the ancient Maya marshaled in today’s politics and policies? In this course, we will engage with the world of the pre- and post-contact Maya, through scholarship that explores the material culture of daily life. The course is arranged around framing questions about the past through ethnographic and ethnohistoric accounts of daily life; using diverse scientific methods and theoretical perspectives to address these questions; and interpreting and possibly re-interpreting daily life of the ancient Maya, focusing on the dynamic interplay between the material and the social. "
"ANT510","Ethnography of Communication","3","College of Arts & Sciences Courses","Students in this course will learn to use the concepts and methods of ethnography of communication by developing and carrying out a research project on language and social interaction.  You will learn how social interaction is organized, how to document and study it, and how to address such evidence to to anthropological and applied problems. Graduate students will produce a research report worthy of submission to a research conference of their professional scholarly organization.  All students will finish the course with a critical and sophisticated understanding of how social interaction works in a variety of contexts. "
"ANT511","Culture Health & Healing","3","College of Arts & Sciences Courses","Provides the student with an overview of health, illness, and healing as they vary between and within cultural systems. "
"ANT512","Anthropology of Europe","3","College of Arts & Sciences Courses","The course examines ethnicity, nationalism, democratization, unification, and fragmentation with an emphasis on specific countries or regions within Europe. Classic anthropological topics, such as kinship, political organization, ritual, and religion are employed in the study of European nations, ethnicities, and minority communities. "
"ANT514","Anthropology of Africa","3","College of Arts & Sciences Courses","A survey of the standards, customs, and beliefs that exist among African cultures. Students in this class will learn about the extensive diversity of cultural beliefs and behaviors across the African continent, make connections between local/global historical events and contemporary contexts, and critically evaluate the factors influencing perceptions of African cultures. Students will additionally compare contemporary and historical ethnographies as well as those written by African and non-African anthropologists. This class has applications for those interested in anthropology, international relations, politics, and history. "
"ANT519","Myth, Ritual, And Magic","3","College of Arts & Sciences Courses","Across cultures, people rely on various belief systems to bring meaning to their lives and understanding of the world around them. This course will dive into the anthropological literature on themes related to religion, including myth, ritual, magic, witchcraft, totemism, shamanism and trance. Cross-cultural ethnographic examples—including a range of religious, spiritual, and magical belief systems—will be provided to illuminate how anthropologists analyze belief systems in their interpretations of culture. "
"ANT521","Ethnography","3","College of Arts & Sciences Courses","Ethnography is a hallmark of anthropology. It is at once a theoretical approach, set of methods, and style of writing. This course highlights ethnographic theory, methods for collecting ethnographic material, and techniques for writing about culture by reading exemplary texts, discussing key concepts, and practicing various methods. Each student will develop an ethnographic project that involves fieldwork, data analysis, and writing. "
"ANT522","Archaeological Ethics","3","College of Arts & Sciences Courses","Students all encounter dilemmas in their everyday lives. Oftentimes, these situations do not present a clear solution, forcing us to ponder the morals and codes we live by and the manner in which we attempt to present logical responses to ethical conundrums. The field of archaeology may, at first, seem like an odd candidate for discussion of ethics given that it studies past peoples. Students will learn that archaeology is indeed heavily situated in the present and has many ties to such subjects as identity, notions of nationhood and nation-building, collective memory, and historical revision. This class will explore the legal and ethical dimensions of modern archaeology through a consideration of the archaeology as a profession, professional codes on archaeological ethics, the relationship between archaeology and others (the public, ethnic groups, collectors, etc.), international and national approaches to archaeological heritage management, the antiquities trade, maritime law, underwater archaeology, and treasure hunting, cultural resource management in the United States, and archaeological education. "
"ANT523","Legal Anthropology","3","College of Arts & Sciences Courses","What is law? Do all societies have it? Is there really something distinct about “thinking like a lawyer”? This seminar primarily draws on anthropological studies of legal systems and practices to show that the answers to these questions are surprisingly complex. We will study law both cross-culturally and, within the United States, cross-contextually, in order to explore what really distinguishes legal rules from cultural norms and to ask whether basic legal concepts exist across cultures. "
"ANT525","Geographical Information Systems for Archaeologists","3","College of Arts & Sciences Courses","This course covers the basic background and skills necessary to manage and analyze spatial datasets using GIS (Geographic Information Systems). We will emphasize the GIS concepts and techniques that are most useful to archaeologists, and we will be working with real archaeological data for all labs and projects. Topics include data acquisition, spatial queries, working with rasters, catchments, cost‐surface analysis and visualization analysis. The course includes a weekly guided lab on ESRI ArcGIS software. "
"ANT527","Radiocarbon for Archaeologists","3","College of Arts & Sciences Courses","Radiocarbon (AMS 14C) dating is the most commonly used dating method in archaeological research. The purpose of this class is to gain a deep understanding of radiocarbon so that we, as archaeologists, can better sample/collect, calibrate, and analyze these data for our own research, and critically evaluate the scholarly literature. We will further our understanding of radiocarbon and its archaeological applications through course lectures, presentations and discussions of the recent literature, calculation and calibration activities, and individual research projects. This course has relevancy for any student interested in field archaeology, as it will train them to collect appropriate samples for dating and design dating strategies that are consistent with their research goals. "
"ANT528","Analytical Archaeology","3","College of Arts & Sciences Courses","Contemporary issues in concept formation, theory construction, methods, and techniques. Offered according to demand. "
"ANT533","Geoarchaeology","3","College of Arts & Sciences Courses","Geoarchaeology is a field-based discipline that implements earth science methods in archaeology. This course explores the varied applications of earth science in the investigation of archaeological sites by using a landscape-approach to survey geoarchaeological case studies. Methodological emphasis will be on stratigraphy, sedimentology, and soils. This course include will be mixed lecture and student-led seminar-style discussion on our weekly readings. Student participation in the form of weekly discussions, a research paper, and a final class presentation are expected. This course is intended for any student interested in learning more about field interpretation of archaeological sites. "
"ANT534","Archaeology of Food","3","College of Arts & Sciences Courses","This course will undertake a broad survey of the literature on modern and ancient foodways, addressing major themes including the domestication of plants and animals; food and social complexity; food, power, politics, and status; the daily meal; feasting and drinking; plating and presentation; food preferences/taste and disgust; and the intimate relationship between food and identity. Furthermore, we discuss the wide range of methods and techniques in the archaeologist’s toolkit that aid in the undertaking of gastronomic research, including the analysis of plant and animal remains, residues recovered from cooking and serving ware, and the chemical composition of human bones. "
"ANT543","Adv Field Archaeology","3","College of Arts & Sciences Courses","Directed field study in the excavation and analysis of archaeological deposits. Each student must design and conduct a research project, then adequately report the results. Off campus. "
"ANT545","Historical Archaelology","3","College of Arts & Sciences Courses","12 hours of anthropology or permission of instructor; graduate standing This course combines the methods used in historical archaelogy with a basic  survey of the archaeological record of the historic period of North America. "
"ANT550","Probs In Anthropology","3","College of Arts & Sciences Courses","Devoted to issues not covered in other courses. Offered according to demand. Special Topics Course"
"ANT562","Ancient Andean Civilizations","3","College of Arts & Sciences Courses","The Andes is a region of geographic and environmental extremes that witnessed the early rise of complex societies long before the Inca Empire. In this course, we examine the prehispanic cultures that resided in this region—from the peopling of South America to the aftermath of Spanish Conquest. "
"ANT564","Paleoethnobotany","3","College of Arts & Sciences Courses","This laboratory class is designed to introduce archaeological laboratory methods, reasoning and interpretation through paleoethnobotanical identification and data analysis. We will be studying the major classes of plant remains likely to be encountered in archaeological sites, how to identify them, and how to organize the data to produce interpretable results. The course will emphasize the use of plant remains to answer archaeological questions, rather than study the plant remains for their own sake. "
"ANT574","Neuroanthropology","3","College of Arts & Sciences Courses","This course provides an introduction to evolutionary and biocultural approaches within anthropology to the central and peripheral nervous systems and their interconnections. Topics include the evolution of the brain; how culture and social structure shape the brain, its development, and its activity; and anthropological perspectives on connections among culture, behavior, brain, mind, and body. "
"ANT575","The Plastic Human: Our Biology, Culture, & Evolution","3","College of Arts & Sciences Courses","An introduction to the biocultural and evolutionary bases of human adaptability. "
"ANT576","Nutritional Anthropology","3","College of Arts & Sciences Courses","An introduction to anthropological inquiries and methods in nutrition including food habits, food systems, dietary variability, and food movements using an engaged anthropological framework. This experiential learning class teaches students how to conduct nutritional anthropological fieldwork within local community settings. "
"ANT581","Anthropology is Elemental: Teaching Anthropology in Primary and Secondary Settings","3","College of Arts & Sciences Courses","This course is an introduction to teaching anthropology at the primary and secondary levels. It is a service-learning course, which means that all students will serve as instructors in a local anthropology course offered in the Tuscaloosa area. This course will expose students to applied anthropology through teaching the anthropological perspective via an activity-based four-subfield curriculum in conjunction with local elementary schools, after-school programs, or similar community partners. These programs will be taught by teams, and each student will be responsible for attending weekly course meetings, developing curricular material and implementing it in a classroom setting, and co-teaching with other students. "
"ANT598","Individ Investigations","1-9","College of Arts & Sciences Courses","Directed nonthesis research in archaeology, cultural anthropology, anthropological linguistics, or physical anthropology. "
"ANT599","Thesis Research","1-6","College of Arts & Sciences Courses","No description available. "
"ANT600","Research Design","3","College of Arts & Sciences Courses","This course will acquaint incoming graduate student with the logical sequence of stages involved in the conduct of original research, and to provide an introduction to the broad range of skills necessary to achieve this. Each student will be expected to design and carry out preliminary data collection, write up the results, and use the experience as the basis for writing a fundable research grant proposal. Prerequisites for the course are graduate standing, and consent of professor for any student not enrolled in the UA Anthropology graduate program. "
"ANT601","Advanced Research Methods","3","College of Arts & Sciences Courses","This seminar is designed to refine doctoral students' background in qualitative and quantitative research methods necessary for dissertation research. Emphasis is placed on the integration of qualitative and quantitative methods for students doing ethnographic research, and techniques of numerical induction for archaeology students. "
"ANT602","Advanced Qualitative Methods in Anthropology","3","College of Arts & Sciences Courses","This course provides students with an in-depth understanding of qualitative ethnographic research methods. It also provides students with the skills to understand and critically evaluate reports based on qualitative analysis. Students will learn to formulate qualitative research questions that tie directly into existing research literature. "
"ANT603","Theory & Method In Archaelogy","3","College of Arts & Sciences Courses","An examination of contemporary archaeological theory and method and their development during the 19th and 20th centuries. "
"ANT604","Sem Archaeolgy Complex Society","3","College of Arts & Sciences Courses","Contemporary issues in the archaeology of complex societies, including different aspects of complexity and attempts to classify and measure them. "
"ANT610","Theory Method Medical Anthropl","3","College of Arts & Sciences Courses","A detailed introduction to theory and method in medical anthropology. Approaches include adaptation, biocultural, psychoanalytic, stress, and other theoretical perspectives. "
"ANT612","Sem Biocultural Anthropology","3","College of Arts & Sciences Courses","A biocultural overview of the anthropology of health. Topics include biological and cultural approaches to various dimensions of human health and illness. "
"ANT621","Native Americans Ethnohy Persp","3","College of Arts & Sciences Courses","An examination of Indians and Eskimos of North America during the historical period, focusing on the impact of European contact on culture and society. "
"ANT625","Survey History Archaeology","3","College of Arts & Sciences Courses","A critical examination of archaeology's history as a science, with emphasis on intellectual trends, changes in method and theory, and recent developments. Offered once a year. "
"ANT640","Landmarks Anthropologcl Resear","3","College of Arts & Sciences Courses","This course examines seminal works in the history of anthropology. Works may include books or smaller publications that exemplify important developments in theory and method. "
"ANT641","Culture","3","College of Arts & Sciences Courses","This seminar reviews past and contemporary theories and approaches used in cultural anthropology. "
"ANT670","Principles of Biological Anthropology","3","College of Arts & Sciences Courses","A series of seminars and lectures designed to refine the student's knowledge of research on nonhuman primates, fossil hominids, population genetics, and human variation and adaptation. Offered once a year. "
"ANT698","Individual Investigations","1-9","College of Arts & Sciences Courses","Directed dissertation research in archaeology, cultural anthropology, anthropological linguistics, or physical anthropology. "
"ANT699","Dissertation Research","1-15","College of Arts & Sciences Courses","No description available. "
"ARB580","Readings in Arabic","3","College of Arts & Sciences Courses","This course focuses on the acquisition of basic grammatical structures, expanding vocabulary and reading comprehension skills. It develops functional communication abilities in written Modern Standard Arabic. Topics will be presented using authentic materials. The course is also designed to help students gain a better understanding of cultural practices and perspectives in many Arabic countries. This course is for graduate programs campus-wide. It will provide graduate students with the necessary knowledge and tools in their research, especially with scientific terms and language structure. Students intending to do research in or about the Middle East and North Africa will find this course beneficial. Prerequisite(s):Instructor's approval. Placement test for language level."
"ARB604","Feminist Theory and Arab Literature","3","College of Arts & Sciences Courses","This course allows for an in-depth look at the diverse literature written by women or about women who represent a number of cultures in the Arab world in nations from the Mashrek (Middle East) to the Maghreb (North Africa). The second primary goal is to study such women through the eyes of leading Arab women theorists who have made an impact not only in their own countries, but also on disciplines intersecting with women’s and gender studies worldwide. Students will explore through literary texts the Arab woman’s place in her respective society, in political and economic systems, and in the family. The course will provide an overview of Arab and Islamic feminism throughout history, from its origins to recent movements. Newer theories in gender studies will also be included in the course. Theories from Cultural Studies will also be studied because in-depth studies of the condition of the Arab woman reveal that sources of oppression are more culture-based. "
"ARH550","Literature Of Art","3","College of Arts & Sciences Courses","Principles and methodology of the discipline as described in the writing of its founders and chief makers; bibliographical research method and mastery. Required of all art history MA students. "
"ARH552","Advanced Research Seminar","3","College of Arts & Sciences Courses","This advanced seminar focuses on the development and application of discipline-specific research skills.  Students will broaden their knowledge of art historical methodologies and themes generally, as well as construct a research program specific to their area of study (Medieval, Early Modern, Modern/Contemporary, etc.).  Each class session will address a different theme or topic that students will discuss in relation/apply to individual topics or questions.  Generally, these sessions will focus on historiographic issues, ideas, and trends, as well as professional expectations with regard to scholarship and academic practice.  As part of this course, students are expected to work closely not only with the instructor and their peers in the class, but also with their major (faculty) advisor.   This seminar is intended to be taken after students completeARH 550(Literature of Art) since it demands the further study and application of the methods and theoretical approaches learned in that course. Prerequisite(s):ARH 550"
"ARH555","Asian Seminar","3","College of Arts & Sciences Courses","This seminar course considers a broad range of issues, objects, and themes relevant to the study of Asian art. "
"ARH560","Medieval Seminar","3","College of Arts & Sciences Courses","This course considers a broad range of issues, objects, and themes relevant to the study of art and architecture in medieval Europe. Class sessions will be organized around readings selected to introduce existing scholarship and methods while stimulating new questions for future research. "
"ARH565","Topics in Renaissance Art/Renaissance Seminar","3","College of Arts & Sciences Courses","This graduate-level seminar will explore a variety of critical themes and issues in the study of Early Modern/Renaissance art. Special Topics Course"
"ARH570","Baroque & Rococo Seminar","3","College of Arts & Sciences Courses","This seminar course considers a broad range of issues, objects, and themes relevant to the study of Baroque or Rococo art. "
"ARH575","Nineteenth-Century Seminar","3","College of Arts & Sciences Courses","This seminar course considers a broad range of issues, objects, and themes relevant to the study of nineteenth-century art. "
"ARH577","American Art Seminar","3","College of Arts & Sciences Courses","This seminar course considers a broad range of issues, objects, and themes relevant to the study of American art in a historical context. "
"ARH580","Twentieth-Century Seminar","3","College of Arts & Sciences Courses","This seminar course considers a broad range of issues, objects, and themes relevant to the study of modern or contemporary art. "
"ARH588","Topics in African American Art Graduate Seminar","3","College of Arts & Sciences Courses","This course considers a broad range of issues, objects, and themes relevant to the study of African American art. Class sessions will be organized around readings selected to introduce existing scholarship and methods while stimulating new questions for future research. Topics may include African American Photography, American Spectacles and Race, African American Film, African American Portraiture, and Race and American Mythologies. Special Topics Course"
"ARH598","Independent Study","3","College of Arts & Sciences Courses","Independent study allows students to pursue academic interests outside the formal classroom setting under the supervision of a faculty member of the department. The activities may include reading, research, or a special project.  Independent study is not a substitute for courses regularly available in the department curriculum and is only available to students who are ready to conduct in-depth and largely self-directed research on a specific topic.  Enrollment is subject to approval by the Graduate Program Director and a supervising faculty member.  A proposal of the topic, and program of work must be submitted to the instructor for approval. Prerequisite(s):Graduate student status and permission of the instructor"
"ARH599","Thesis Research","1-12","College of Arts & Sciences Courses","This independent research course partially fulfills required master’s-level research thesis hours toward the master’s degree in art history. The course is conducted under the guidance of the thesis advisor. Discussion and advisor guidance will be directed towards readings of research articles and development of research methodology, with the aim of producing a unique research contribution that represents a novel development in the field, or a novel perspective on a pre-existing topic in the field. "
"ART506","Independent Studies","1-6","College of Arts & Sciences Courses","Students may make proposals for projects not taught in the regular curriculum. These must be approved by a faculty sponsor and the chairperson of the department. Special Topics Course"
"ART508","Special Projects","3","College of Arts & Sciences Courses","Special projects course titles include Alternative Photographic Process, Photo-based Printmaking, Water Media on Paper, Figurative Modeling and Sculpture, Experimental Drawing and The Photographic Artist's Book. "
"ART510","Advanced Drawing Seminar","3","College of Arts & Sciences Courses","The focus of this course will be the study and production of drawings as an activity that documents our memories, examines and explains the world around us, transforms our perceptions of time and space, and helps us invent new ways of seeing and thinking. "
"ART511","Graduate Seminar","3","College of Arts & Sciences Courses","A critical examination of contemporary issues, philosophies, criteria, and ideas in art. "
"ART512","Ceramics","2-6","College of Arts & Sciences Courses","The ceramics program has a fully equipped facility with a complete inventory of clay and glaze materials. Facilities include equipment for clay mixing and preparation; workstations for forming and throwing; gas, wood fire, raku, and electric kilns; and materials for experimental kiln construction. Personal instruction is given in all forming techniques, glaze calculations, and firings. Students are encouraged to experiment with the medium and explore new processes. Emphasis is placed on the student's development of concepts and forms. "
"ART516","Painting","2-6","College of Arts & Sciences Courses","The primary goal of the painting program is to enhance the student's ability in conceiving of a strong personal vision. The program defines painting as a complex and vital art form that exists in a state of constant flux, a tradition that is both mired in history and capable of regularly redefining itself. It equally embraces students who define painting as a practice that goes far beyond the brush, and those who employ more traditional methodologies. "
"ART518","Photography","2-6","College of Arts & Sciences Courses","Photography is viewed as a means of personal expression and exploration, emphasizing development of the student's vision. Instruction is individually tailored and, although the facilities are designed for black and white printing, the exploration of alternative applications is encouraged. Graduate students are expected to increase their knowledge of the history of photography and contemporary art, and participate in teaching undergraduates. Facilities include a film developing area, two darkrooms, and a critique space. Computers are accessed through the digital media area. "
"ART520","Printmaking","2-6","College of Arts & Sciences Courses","Graduate printmaking is conducted in a workshop situation, including group critiques and technical demonstrations. The program philosophy embraces a broad spectrum of activities relating to the idea of the multiple and the history of printed material. Students are expected to master traditional techniques and encouraged to work in an interdisciplinary manner, exploring the boundaries of the media area. The facility comprises equipment for intaglio and relief printing, stone and plate lithography, screen printing, and photo-based/digital printmaking. "
"ART522","Sculpture","3-6","College of Arts & Sciences Courses","The sculpture program allows students to work with an extensive range of media and processes while emphasizing conceptual development and refined technical ability. Sculpture encompasses traditional media, methods, and processes as well as technologies that can be adapted to sculptural activities, idioms, and forms. Facilities include a full wood shop, metal fabrication shop, foundry, critique/installation room, and graduate studio space. "
"ART525","Graduate Critiques","3","College of Arts & Sciences Courses","This course examines the studio practice through critical discourse, defending and discussing aesthetic philosophy and its application to research in the visual arts. "
"ART612","Ceramics","2-6","College of Arts & Sciences Courses","The ceramics program has a fully equipped facility with a complete inventory of clay and glaze materials. Facilities include equipment for clay mixing and preparation; workstations for forming and throwing; gas, wood fire, raku, and electric kilns; and materials for experimental kiln construction. Personal instruction is given in all forming techniques, glaze calculations, and firings. Students are encouraged to experiment with the medium and explore new processes. Emphasis is placed on the student's development of concepts and forms. "
"ART616","Painting","2-6","College of Arts & Sciences Courses","The primary goal of the painting program is to enhance the student's ability in conceiving of a strong personal vision. The program defines painting as a complex and vital art form that exists in a state of constant flux, a tradition that is both mired in history and capable of regularly redefining itself. It equally embraces students who define painting as a practice that goes far beyond the brush, and those who employ more traditional methodologies. "
"ART618","Photography","2-6","College of Arts & Sciences Courses","Photography is viewed as a means of personal expression and exploration, emphasizing development of the student's vision. Instruction is individually tailored and, although the facilities are designed for black and white printing, the exploration of alternative applications is encouraged. Graduate students are expected to increase their knowledge of the history of photography and contemporary art, and participate in teaching undergraduates. Facilities include a film developing area, two darkrooms, and a critique space. Computers are accessed through the digital media area. "
"ART620","Printmaking","2-6","College of Arts & Sciences Courses","Graduate printmaking is conducted in a workshop situation, including group critiques and technical demonstrations. The program philosophy embraces a broad spectrum of activities relating to the idea of the multiple and the history of printed material. Students are expected to master traditional techniques and encouraged to work in an interdisciplinary manner, exploring the boundaries of the media area. The facility comprises equipment for intaglio and relief printing, stone and plate lithography, screen printing, and photo-based/digital printmaking. "
